205_157088_000000_000000	Ellen McCormick choked a little as she answered him, promising to do what he asked.	Ellen McCormick choked a little as she answered him, promising to do what he asked.	false	0	3.6	21.931015
205_157088_000004_000000	He was rather surprised the next morning to find he had entirely forgotten Rossland.	He was rather surprised the next morning to find he had entirely forgotten Rossland.	true	101.81	106.54	18
205_157088_000004_000001	While he was attending to his affairs at the bank, Olaf secured information that Rossland was resting comfortably in the hospital and had not one chance in ten of dying.	While he was attending to his affairs at the bank, Olaf secured information that Rossland was resting comfortably in the hospital and had not one chance in ten of dying.	true	106.88	117.34	19
205_157088_000004_000002	It was not Alan's intention to see him.	It was not Alan's intention to see him.	true	117.71	120.07	18
205_157088_000004_000003	He wanted to hear nothing he might have to say about Mary Standish.	He wanted to hear nothing he might have to say about Mary Standish.	true	120.14	124.3	17
205_157088_000004_000004	To associate them in any way, as he thought of her now, was little short of sacrilege.	To associate them in any way, as he thought of her now, was little short of sacrilege.	true	124.79	130.48	17
205_157088_000004_000005	He was conscious of the change in himself, for it was rather an amazing upsetting of the original Alan Holt.	He was conscious of the change in himself, for it was rather an amazing upsetting of the original Alan Holt.	false	130.58	137.02	18.952589
205_157088_000004_000006	That person would have gone to Rossland with the deliberate and businesslike intention of sifting the matter to the bottom that he might disprove his own responsibility and set himself right in his own eyes. In self-defense he would have given Rossland an opportunity to break down with cold facts the disturbing something which his mind had unconsciously built up.	That person would have gone to Rossland with the deliberate and businesslike intention of sifting the matter to the bottom that he might disprove his own responsibility and set himself right in his own eyes. In self defense he would have given Rossland an opportunity to break down with cold facts the disturbing something which his mind had unconsciously built up.	true	137.3	159.37	19
205_157088_000004_000007	But the new Alan revolted.	But the new Alan revolted.	true	160.01	161.88	18.080538
205_157088_000004_000008	He wanted to carry the thing away with him, he wanted it to live, and so it went with him, uncontaminated by any truths or lies which Rossland might have told him.	He wanted to carry the thing away with him, he wanted it to live, and so it went with him, uncontaminated by any truths or lies which Rossland might have told him.	true	161.88	172.33	18
205_157088_000005_000000	They left Cordova early in the afternoon, and at sunset that evening camped on the tip of a wooded island a mile or two from the mainland. Olaf knew the island and had chosen it for reasons of his own.	They left Cordova early in the afternoon, and at sunset that evening camped on the tip of a wooded island a mile or two from the mainland. Olaf knew the island and had chosen it for reasons of his own.	true	173.54	186.31	19.112251
205_157088_000005_000001	It was primitive and alive with birds.	It was primitive and alive with birds.	true	186.65	189.1	17
205_157088_000005_000002	Olaf loved the birds, and the cheer of their vesper song and bedtime twitter comforted Alan.	Olaf loved the birds, and the cheer of their vesper song and bedtime twitter comforted Alan.	true	189.11	195.37	20
205_157088_000005_000003	He seized an ax, and for the first time in seven months his muscles responded to the swing of it.	He seized an ax, and for the first time in seven months his muscles responded to the swing of it.	true	195.74	201.4	16
205_157088_000005_000004	And Ericksen, old as his years in the way of the north, whistled loudly and rumbled a bit of crude song through his beard as he lighted a fire, knowing the medicine of the big open was getting its hold on Alan again.	And Ericksen, old as his years in the way of the north, whistled loudly and rumbled a bit of crude song through his beard as he lighted a fire, knowing the medicine of the big open was getting its hold on Alan again.	false	202.4	215.29	18
205_157088_000005_000005	To Alan it was like coming to the edge of home once more.	To Alan it was like coming to the edge of home once more.	true	215.69	218.95	18
205_157088_000005_000006	It seemed an age, an infinity, since he had heard the sputtering of bacon in an open skillet and the bubbling of coffee over a bed of coals with the mysterious darkness of the timber gathering in about him. He loaded his pipe after his chopping, and sat watching Olaf as he mothered the half-baked bannock loaf.	It seemed an age, an infinity, since he had heard the sputtering of bacon in an open skillet and the bubbling of coffee over a bed of coals with the mysterious darkness of the timber gathering in about him. He loaded his pipe after his chopping, and sat watching Olaf as he mothered the half baked bannock loaf.	false	219.32	239.59	19.918266
205_157088_000005_000007	It made him think of his father.	It made him think of his father.	true	239.81	241.69	18.446938
205_157088_000005_000008	A thousand times the two must have camped like this in the days when Alaska was new and there were no maps to tell them what lay beyond the next range.	A thousand times the two must have camped like this in the days when Alaska was new and there were no maps to tell them what lay beyond the next range.	true	241.73	251.89	19.598383
205_157088_000006_000000	Olaf felt resting upon him something of the responsibility of a doctor, and after supper he sat with his back to a tree and talked of the old days as if they were yesterday and the day before, with tomorrow always the pot of gold at the end of the rainbow which he had pursued for thirty years.	Olaf felt resting upon him something of the responsibility of a doctor, and after supper he sat with his back to a tree and talked of the old days as if they were yesterday and the day before, with tomorrow always the pot of gold at the end of the rainbow which he had pursued for thirty years.	true	252.2	270.28	19
205_157088_000006_000001	He was sixty just a week ago this evening, he said, and he was beginning to doubt if he would remain on the beach at Cordova much longer.	He was sixty just a week ago this evening, he said, and he was beginning to doubt if he would remain on the beach at Cordova much longer.	true	270.71	279.25	16
205_157088_000006_000002	Siberia was dragging him--that forbidden world of adventure and mystery and monumental opportunity which lay only a few miles across the strait from the Seward Peninsula.	Siberia was dragging him-that forbidden world of adventure and mystery and monumental opportunity which lay only a few miles across the strait from the Seward Peninsula.	true	279.53	290.41	16
205_157088_000006_000003	In his enthusiasm he forgot Alan's tragedy.	In his enthusiasm he forgot Alan's tragedy.	true	291.02	294.28	17
205_157088_000006_000004	He cursed Cossack law and the prohibitory measures to keep Americans out.	He cursed Cossack law and the prohibitory measures to keep Americans out.	true	294.56	299.5	17
205_157088_000006_000005	More gold was over there than had ever been dreamed of in Alaska; even the mountains and rivers were unnamed; and he was going if he lived another year or two--going to find his fortune or his end in the Stanovoi Mountains and among the Chukchi tribes.	More gold was over there than had ever been dreamed of in Alaska; even the mountains and rivers were unnamed; and he was going if he lived another year or two-going to find his fortune or his end in the Stanovoi Mountains and among the Chukchi tribes.	true	299.81	315.58	16
205_157088_000006_000006	Twice he had tried it since his old comrade had died, and twice he had been driven out.	Twice he had tried it since his old comrade had died, and twice he had been driven out.	true	315.89	321.58	18
205_157088_000006_000007	The next time he would know how to go about it, and he invited Alan to go with him.	The next time he would know how to go about it, and he invited Alan to go with him.	true	321.83	326.89	20.83671
205_157088_000007_000000	There was a thrill in this talk of a land so near, scarcely a night ride across the neck of Bering Sea, and yet as proscribed as the sacred plains of Tibet.	There was a thrill in this talk of a land so near, scarcely a night ride across the neck of Bering Sea, and yet as proscribed as the sacred plains of Tibet.	true	328.07	337.84	17
205_157088_000007_000001	It stirred old desires in Alan's blood, for he knew that of all frontiers the Siberian would be the last and the greatest, and that not only men, but nations, would play their part in the breaking of it.	It stirred old desires in Alan's blood, for he knew that of all frontiers the Siberian would be the last and the greatest, and that not only men, but nations, would play their part in the breaking of it.	true	338.42	351.67	18
205_157088_000007_000002	He saw the red gleam of firelight in Olaf's eyes.	He saw the red gleam of firelight in Olaf's eyes.	true	351.92	355.33	14
205_157088_000008_000000	"And if we don't go in first from _this side_, Alan, the yellow fellows will come out some day from _that,"_ rumbled the old sour-dough, striking his pipe in the hollow of his hand.	"And if we don't go in first from underscore this side underscore, Alan, the yellow fellows will come out some day from underscore that,"underscore rumbled the old sour dough, striking his pipe in the hollow of his hand.	false	357.14	367.3	20.300957
205_157088_000008_000001	"And when they do, they won't come over to us in ones an' twos an' threes, but in millions. That's what the yellow fellows will do when they once get started, an' it's up to a few Alaska Jacks an' Tough-Nut Bills to get their feet planted first on the other side.	"And when they do, they won't come over to us in ones an' twos an' threes, but in millions. That's what the yellow fellows will do when they once get started, an' it's up to a few Alaska Jacks an' Tough Nut Bills to get their feet planted first on the other side.	false	367.52	383.23	19.874084
205_157088_000008_000002	Will you go?"	Will you go?"	true	383.33	384.58	17.09423
205_157088_000009_000000	Alan shook his head.	Alan shook his head.	false	385.67	387.24	21.80147
205_157088_000009_000001	"Some day--but not now." The old flash was in his eyes and he was seeing the fight ahead of him again--the fight to do his bit in striking the shackles of misgovernment from Alaska and rousing the world to an understanding of the menace which hung over her like a smoldering cloud.	"Some day-but not now." The old flash was in his eyes and he was seeing the fight ahead of him again-the fight to do his bit in striking the shackles of misgovernment from Alaska and rousing the world to an understanding of the menace which hung over her like a smoldering cloud.	true	387.24	405.7	19.041836
205_157088_000009_000002	"But you're right about the danger," he said.	"But you're right about the danger," he said.	true	406.4	409.06	19.886116
205_157088_000009_000003	"It won't come from Japan to California.	"It won't come from Japan to California.	true	409.16	411.43	18
205_157088_000009_000004	It will pour like a flood through Siberia and jump to Alaska in a night.	It will pour like a flood through Siberia and jump to Alaska in a night.	false	411.44	416.22	21
205_157088_000009_000005	It isn't the danger of the yellow man alone, Olaf.	It isn't the danger of the yellow man alone, Olaf.	false	416.22	419.19	15
205_157088_000009_000006	You've got to combine that with Bolshevism, the menace of blackest Russia.	You've got to combine that with Bolshevism, the menace of blackest Russia.	true	419.19	423.82	20.5504
205_157088_000009_000007	A disease which, if it crosses the little neck of water and gets hold of Alaska, will shake the American continent to bed-rock.	A disease which, if it crosses the little neck of water and gets hold of Alaska, will shake the American continent to bed rock.	false	423.86	432.28	18
205_157088_000009_000008	It may be a generation from now, maybe a century, but it's coming sure as God makes light--if we let Alaska go down and out.	It may be a generation from now, maybe a century, but it's coming sure as God makes light-if we let Alaska go down and out.	true	432.56	440.59	19
205_157088_000009_000009	And my way of preventing it is different from yours."	And my way of preventing it is different from yours."	true	440.9	443.92	16
205_157088_000010_000000	He stared into the fire, watching the embers flare up and die.	He stared into the fire, watching the embers flare up and die.	true	445.37	449.56	21
205_157088_000010_000001	"I'm not proud of the States," he went on, as if speaking to something which he saw in the flames.	"I'm not proud of the States," he went on, as if speaking to something which he saw in the flames.	true	449.93	455.47	19.832088
205_157088_000010_000002	"I can't be, after the ruin their unintelligent propaganda and legislation have brought upon Alaska.	"I can't be, after the ruin their unintelligent propaganda and legislation have brought upon Alaska.	true	455.6	462.37	20
205_157088_000010_000003	But they're our salvation and conditions are improving.	But they're our salvation and conditions are improving.	true	462.59	465.88	18
205_157088_000010_000004	I concede we have factions in Alaska and we are not at all unanimous in what we want.	I concede we have factions in Alaska and we are not at all unanimous in what we want.	true	466.28	471.97	19
205_157088_000010_000005	It's going to be largely a matter of education.	It's going to be largely a matter of education.	true	472.22	474.91	18
205_157088_000010_000006	We can't take Alaska down to the States--we've got to bring them up to us.	We can't take Alaska down to the States-we've got to bring them up to us.	true	475.04	480.07	22.299486
205_157088_000010_000007	We must make a large part of a hundred and ten million Americans understand.	We must make a large part of a hundred and ten million Americans understand.	true	480.35	485.29	16
205_157088_000010_000008	We must bring a million of them up here before that danger-flood we speak of comes beyond the Gulf of Anadyr.	We must bring a million of them up here before that danger flood we speak of comes beyond the Gulf of Anadyr.	true	485.66	492.79	20
205_157088_000010_000009	It's God's own country we have north of Fifty-eight, Olaf.	It's God's own country we have north of Fifty eight, Olaf.	true	493.4	497.23	19
205_157088_000010_000010	And we have ten times the wealth of California.	And we have ten times the wealth of California.	true	497.42	500.5	18
205_157088_000010_000011	We can care for a million people easily.	We can care for a million people easily.	true	500.84	503.35	16
205_157088_000010_000012	But bad politics and bad judgment both here in Alaska and at Washington won't let them come.	But bad politics and bad judgment both here in Alaska and at Washington won't let them come.	false	503.45	509.98	21.37506
205_157088_000010_000013	With coal enough under our feet to last a thousand years, we are buying fuel from the States.	With coal enough under our feet to last a thousand years, we are buying fuel from the States.	true	510.26	516.165	19
205_157088_000010_000014	We've got billions in copper and oil, but can't touch them.	We've got billions in copper and oil, but can't touch them.	true	516.165	519.88	19
205_157088_000010_000015	We should have some of the world's greatest manufacturing plants, but we can not, because everything up here is locked away from us.	We should have some of the world's greatest manufacturing plants, but we can not, because everything up here is locked away from us.	true	520.16	527.65	18
205_157088_000010_000016	I repeat that isn't conservation.	I repeat that isn't conservation.	true	527.78	530.5	19.507208
205_157088_000010_000017	If they had applied a little of it to the salmon industry--but they didn't.	If they had applied a little of it to the salmon industry-but they didn't.	true	531.11	535.57	18.741758
205_157088_000010_000018	And the salmon are going, like the buffalo of the plains.	And the salmon are going, like the buffalo of the plains.	true	535.67	539.2	17.759558
205_157088_000011_000000	"The destruction of the salmon shows what will happen to us if the bars are let down all at once to the financial banditti.	"The destruction of the salmon shows what will happen to us if the bars are let down all at once to the financial banditti.	true	539.99	547.15	19
205_157088_000011_000001	Understanding and common sense must guard the gates.	Understanding and common sense must guard the gates.	true	547.64	550.78	19
205_157088_000011_000002	The fight we must win is to bring about an honest and reasonable adjustment, Olaf.	The fight we must win is to bring about an honest and reasonable adjustment, Olaf.	false	551.15	556.35	19
205_157088_000011_000003	And that fight will take place right here--in Alaska--and not in Siberia.	And that fight will take place right here-in Alaska-and not in Siberia.	true	556.35	561.82	21.418842
205_157088_000011_000004	And if we don't win--"	And if we don't win-"	true	561.92	563.41	15
205_157088_000012_000000	He raised his eyes from the fire and smiled grimly into Olaf's bearded face.	He raised his eyes from the fire and smiled grimly into Olaf's bearded face.	true	564.23	569.32	18
205_157088_000013_000000	"Then we can count on that thing coming across the neck of sea from the Gulf of Anadyr," he finished.	"Then we can count on that thing coming across the neck of sea from the Gulf of Anadyr," he finished.	true	570.8	577.36	19.645414
205_157088_000013_000001	"And if it ever does come, the people of the States will at last face the tragic realization of what Alaska could have meant to the nation."	"And if it ever does come, the people of the States will at last face the tragic realization of what Alaska could have meant to the nation."	true	577.43	586.81	19.565119
205_157088_000014_000000	The force of the old spirit surged uppermost in Alan again, and after that, for an hour or more, something lived for him in the glow of the fire which Olaf kept burning.	The force of the old spirit surged uppermost in Alan again, and after that, for an hour or more, something lived for him in the glow of the fire which Olaf kept burning.	false	588.08	598.87	19
205_157088_000014_000001	It was the memory of Mary Standish, her quiet, beautiful eyes gazing at him, her pale face taking form in the lacy wisps of birch-smoke.	It was the memory of Mary Standish, her quiet, beautiful eyes gazing at him, her pale face taking form in the lacy wisps of birch smoke.	true	599.36	610.15	19.138416
205_157088_000014_000002	His mind pictured her in the flame-glow as she had listened to him that day in Skagway, when he had told her of this fight that was ahead.	His mind pictured her in the flame glow as she had listened to him that day in Skagway, when he had told her of this fight that was ahead.	true	610.25	618.43	18
205_157088_000014_000003	And it pleased him to think she would have made this same fight for Alaska if she had lived.	And it pleased him to think she would have made this same fight for Alaska if she had lived.	true	618.86	624.25	18
205_157088_000014_000004	It was a thought which brought a painful thickening in his breath, for always these visions which Olaf could not see ended with Mary Standish as she had faced him in his cabin, her back against the door, her lips trembling, and her eyes softly radiant with tears in the broken pride of that last moment of her plea for life.	It was a thought which brought a painful thickening in his breath, for always these visions which Olaf could not see ended with Mary Standish as she had faced him in his cabin, her back against the door, her lips trembling, and her eyes softly radiant with tears in the broken pride of that last moment of her plea for life.	true	624.62	646.42	19
205_157088_000015_000000	He could not have told how long he slept that night.	He could not have told how long he slept that night.	true	647.54	650.35	19
205_157088_000015_000001	Dreams came to him in his restless slumber, and always they awakened him, so that he was looking at the stars again and trying not to think.	Dreams came to him in his restless slumber, and always they awakened him, so that he was looking at the stars again and trying not to think.	false	650.36	659.08	18
205_157088_000015_000002	In spite of the grief in his soul they were pleasant dreams, as though some gentle force were at work in him subconsciously to wipe away the shadows of tragedy. Mary Standish was with him again, between the mountains at Skagway; she was at his side in the heart of the tundras, the sun in her shining hair and eyes, and all about them the wonder of wild roses and purple iris and white seas of sedge-cotton and yellow-eyed daisies, and birds singing in the gladness of summer.	In spite of the grief in his soul they were pleasant dreams, as though some gentle force were at work in him subconsciously to wipe away the shadows of tragedy. Mary Standish was with him again, between the mountains at Skagway; she was at his side in the heart of the tundras, the sun in her shining hair and eyes, and all about them the wonder of wild roses and purple iris and white seas of sedge cotton and yellow eyed daisies, and birds singing in the gladness of summer.	false	659.33	692.29	18
205_157088_000015_000003	He heard the birds.	He heard the birds.	true	692.66	694.05	17.39395
205_157088_000015_000004	And he heard the girl's voice, answering them in her happiness and turning that happiness from the radiance of her eyes upon him.	And he heard the girl's voice, answering them in her happiness and turning that happiness from the radiance of her eyes upon him.	true	694.05	702.07	16
205_157088_000015_000005	When he awoke, it was with a little cry, as if someone had stabbed him; and Olaf was building a fire, and dawn was breaking in rose-gleams over the mountains.	When he awoke, it was with a little cry, as if someone had stabbed him; and Olaf was building a fire, and dawn was breaking in rose gleams over the mountains.	false	702.62	719.7	17.627413
