7145_87280_000000_000000	_CHAPTER VII_	underscore CHAPTER seven underscore	false	0	16.32	22.889149
7145_87280_000005_000003	She sought Brandon upon all occasions, and made opportunities to meet him; not openly--at any rate, not with Brandon's knowledge, nor with any connivance on his part, but apparently caring little what he or any one else might see.	She sought Brandon upon all occasions, and made opportunities to meet him; not openly-at any rate, not with Brandon's knowledge, nor with any connivance on his part, but apparently caring little what he or any one else might see.	true	194.48	211.81	22.364147
7145_87280_000005_000004	Love lying in her heart had made her a little more shy than formerly in seeking him, but her straightforward way of taking whatever she wanted made her transparent little attempts at concealment very pathetic.	Love lying in her heart had made her a little more shy than formerly in seeking him, but her straightforward way of taking whatever she wanted made her transparent little attempts at concealment very pathetic.	true	212.81	226.54	20.070082
7145_87280_000006_000000	As for Brandon, the shaft had entered his heart, too, poor fellow, as surely as love had dawned in Mary's, but there was this difference: With our princess--at least I so thought at the time--the sun of love might dawn and lift itself to mid-heaven and glow with the fervent ardor of high noon--for her blood was warm with the spark of her grandfather's fire--and then sink into the west and make room for another sun to-morrow.	As for Brandon, the shaft had entered his heart, too, poor fellow, as surely as love had dawned in Mary's, but there was this difference: With our princess-at least I so thought at the time-the sun of love might dawn and lift itself to mid heaven and glow with the fervent ardor of high noon-for her blood was warm with the spark of her grandfather's fire-and then sink into the west and make room for another sun to morrow.	true	227.18	256.27	20.140041
7145_87280_000006_000001	But with Brandon's stronger nature the sun would go till noon and there would burn for life.	But with Brandon's stronger nature the sun would go till noon and there would burn for life.	true	256.79	263.29	20.843607
7145_87280_000006_000002	The sun, however, had not reached its noon with Brandon, either; since he had set his brain against his heart, and had done what he could to stay the all-consuming orb at its dawning.	The sun, however, had not reached its noon with Brandon, either; since he had set his brain against his heart, and had done what he could to stay the all consuming orb at its dawning.	true	263.51	274.63	20.790451
7145_87280_000006_000003	He knew the hopeless misery such a passion would bring him, and helped the good Lord, in so far as he could, to answer his prayer, and lead him not into temptation.	He knew the hopeless misery such a passion would bring him, and helped the good Lord, in so far as he could, to answer his prayer, and lead him not into temptation.	true	275.33	286.72	20.472383
7145_87280_000006_000004	As soon as he saw the truth, he avoided Mary as much as possible.	As soon as he saw the truth, he avoided Mary as much as possible.	true	287.51	292.45	19.254679
7145_87280_000007_000000	As I said, we had spent several evenings with Mary after we came home from Windsor, at all of which her preference was shown in every movement.	As I said, we had spent several evenings with Mary after we came home from Windsor, at all of which her preference was shown in every movement.	true	292.79	301.66	21.237139
7145_87280_000007_000001	Some women are so expressive under strong emotion that every gesture, a turn of the head, a glance of the eyes, the lifting of a hand or the poise of the body, speaks with a tongue of eloquence, and such was Mary.	Some women are so expressive under strong emotion that every gesture, a turn of the head, a glance of the eyes, the lifting of a hand or the poise of the body, speaks with a tongue of eloquence, and such was Mary.	true	302.21	317.8	21.269806
7145_87280_000007_000002	Her eyes would glow with a soft fire when they rested upon him, and her whole person told all too plainly what, in truth, it seemed she did not care to hide.	Her eyes would glow with a soft fire when they rested upon him, and her whole person told all too plainly what, in truth, it seemed she did not care to hide.	true	318.44	329.68	20.103403
7145_87280_000007_000003	When others were present she would restrain herself somewhat, but with only Jane and myself, she could hardly maintain a seemly reserve.	When others were present she would restrain herself somewhat, but with only Jane and myself, she could hardly maintain a seemly reserve.	true	330.35	339.52	20.105597
7145_87280_000007_000004	During all this time Brandon remained cool and really seemed unconscious of his wonderful attraction for her.	During all this time Brandon remained cool and really seemed unconscious of his wonderful attraction for her.	true	340.34	347.26	20.76378
7145_87280_000007_000005	It is hard to understand why he did not see it, but I really believe he did not.	It is hard to understand why he did not see it, but I really believe he did not.	true	347.81	353.26	21.404573
7145_87280_000007_000006	Although he was quite at ease in her presence, too much so, Mary sometimes thought, and strangely enough sometimes told him in a fit of short-lived, quickly repented anger that always set him laughing, yet there was never a word or gesture that could hint of undue familiarity.	Although he was quite at ease in her presence, too much so, Mary sometimes thought, and strangely enough sometimes told him in a fit of short-lived, quickly repented anger that always set him laughing, yet there was never a word or gesture that could hint of undue familiarity.	true	353.69	371.47	20.614304
7145_87280_000007_000007	It would probably have met a rebuff from the princess part of her; for what a perversity, both royal and feminine, she wanted all the freedom for herself.	It would probably have met a rebuff from the princess part of her; for what a perversity, both royal and feminine, she wanted all the freedom for herself.	true	372.08	382.21	21.014622
7145_87280_000007_000008	In short, like any other woman, she would rather love than be loved, that is, until surrender day should come; then of course....	In short, like any other woman, she would rather love than be loved, that is, until surrender day should come; then of course....	false	382.4	393.34	18.566364
7145_87280_000008_000000	After these last two meetings, although the invitations came frequently, none was accepted.	After these last two meetings, although the invitations came frequently, none was accepted.	true	394.07	400	19.035742
7145_87280_000008_000001	Brandon had contrived to have his duties, ostensibly at least, occupy his evenings, and did honestly what his judgment told him was the one thing to do; that is, remain away from a fire that could give no genial warmth, but was sure to burn him to the quick.	Brandon had contrived to have his duties, ostensibly at least, occupy his evenings, and did honestly what his judgment told him was the one thing to do; that is, remain away from a fire that could give no genial warmth, but was sure to burn him to the quick.	true	400.34	419.59	20.839445
7145_87280_000008_000002	I saw this only too plainly, but never a word of it was spoken between us.	I saw this only too plainly, but never a word of it was spoken between us.	true	420.11	425.23	20.912384
7145_87280_000009_000000	The more I saw of this man, the more I respected him, and this curbing of his affections added to my already high esteem.	The more I saw of this man, the more I respected him, and this curbing of his affections added to my already high esteem.	true	426.2	434.83	20
7145_87280_000009_000001	The effort was doubly wise in Brandon's case.	The effort was doubly wise in Brandon's case.	true	435.23	438.13	20
7145_87280_000009_000002	Should love with his intense nature reach its height, his recklessness would in turn assert itself, and these two would inevitably try to span the impassable gulf between them, when Brandon, at least, would go down in the attempt.	Should love with his intense nature reach its height, his recklessness would in turn assert itself, and these two would inevitably try to span the impassable gulf between them, when Brandon, at least, would go down in the attempt.	false	438.29	454.81	20.738548
7145_87280_000009_000003	His trouble, however, did not make a mope of him, and he retained a great deal of his brightness and sparkle undimmed by what must have been an ache in his heart.	His trouble, however, did not make a mope of him, and he retained a great deal of his brightness and sparkle undimmed by what must have been an ache in his heart.	true	455.06	466.21	22.021358
7145_87280_000009_000004	Though he tried, without making it too marked, to see as little of Mary as possible, their meeting once in a while could not be avoided, especially when one of them was always seeking to bring it about.	Though he tried, without making it too marked, to see as little of Mary as possible, their meeting once in a while could not be avoided, especially when one of them was always seeking to bring it about.	true	466.58	479.8	20.411327
7145_87280_000009_000005	After a time, Mary began to suspect his attempts to avoid her, and she grew cold and distant through pique.	After a time, Mary began to suspect his attempts to avoid her, and she grew cold and distant through pique.	false	480.56	488.32	21.64701
7145_87280_000009_000006	Her manner, however, had no effect upon Brandon, who did not, or at least appeared not to notice it.	Her manner, however, had no effect upon Brandon, who did not, or at least appeared not to notice it.	true	488.66	495.94	20.782055
7145_87280_000009_000007	This the girl could not endure, and lacking strength to resist her heart, soon returned to the attack.	This the girl could not endure, and lacking strength to resist her heart, soon returned to the attack.	true	496.88	503.71	22.720228
7145_87280_000010_000000	Mary had not seen Brandon for nearly two weeks, and was growing anxious, when one day she and Jane met him in a forest walk near the river.	Mary had not seen Brandon for nearly two weeks, and was growing anxious, when one day she and Jane met him in a forest walk near the river.	true	505.13	513.82	16
7145_87280_000010_000001	Brandon was sauntering along reading when they overtook him. Jane told me afterwards that Mary's conduct upon coming up to him was pretty and curious beyond the naming.	Brandon was sauntering along reading when they overtook him. Jane told me afterwards that Mary's conduct upon coming up to him was pretty and curious beyond the naming.	true	514.43	525.19	20.336576
7145_87280_000010_000002	At first she was inclined to be distant, and say cutting things, but when Brandon began to grow restive under them and showed signs of turning back, she changed front in the twinkling of an eye and was all sweetness.	At first she was inclined to be distant, and say cutting things, but when Brandon began to grow restive under them and showed signs of turning back, she changed front in the twinkling of an eye and was all sweetness.	true	525.8	539.62	21.113205
7145_87280_000010_000003	She laughed and smiled and dimpled, as only she could, and was full of bright glances and gracious words.	She laughed and smiled and dimpled, as only she could, and was full of bright glances and gracious words.	true	539.9	547.54	21.888088
7145_87280_000011_000000	She tried a hundred little schemes to get him to herself for a moment--the hunting of a wild flower or a four-leaved clover, or the exploration of some little nook in the forest toward which she would lead him--but Jane did not at first take the hint and kept close at her heels.	She tried a hundred little schemes to get him to herself for a moment-the hunting of a wild flower or a four leaved clover, or the exploration of some little nook in the forest toward which she would lead him-but Jane did not at first take the hint and kept close at her heels.	true	548.27	565.18	21.530535
7145_87280_000011_000001	Mary's impulsive nature was not much given to hinting--she usually nodded and most emphatically at that--so after a few failures to rid herself of her waiting lady she said impatiently: "Jane, in the name of heaven don't keep so close to us.	Mary's impulsive nature was not much given to hinting-she usually nodded and most emphatically at that-so after a few failures to rid herself of her waiting lady she said impatiently: "Jane, in the name of heaven don't keep so close to us.	true	565.67	582.49	19.869488
7145_87280_000011_000002	You won't move out of reach of my hand, and you know how often it inclines to box your ears."	You won't move out of reach of my hand, and you know how often it inclines to box your ears."	true	582.65	587.83	16
7145_87280_000012_000000	Jane did know, I am sorry for Mary's sake to say, how often the fair hand was given to such spasms; so with this emphasized hint she walked on ahead, half sulky at the indignity put upon her, and half amused at her whimsical mistress.	Jane did know, I am sorry for Mary's sake to say, how often the fair hand was given to such spasms; so with this emphasized hint she walked on ahead, half sulky at the indignity put upon her, and half amused at her whimsical mistress.	true	588.2	604.03	21
7145_87280_000013_000000	Mary lost no time, but began the attack at once.	Mary lost no time, but began the attack at once.	true	604.82	608.14	16
7145_87280_000014_000000	"Now, sir, I want you to tell me the truth; why do you refuse my invitations and so persistently keep away from me?	"Now, sir, I want you to tell me the truth; why do you refuse my invitations and so persistently keep away from me?	true	608.72	616.6	19.872744
7145_87280_000014_000001	I thought at first I would simply let you go your way, and then I thought I--would not. Don't deny it.	I thought at first I would simply let you go your way, and then I thought I-would not. Don't deny it.	true	616.91	623.595	21.65657
7145_87280_000014_000002	I know you won't.	I know you won't.	true	623.595	624.87	18.157335
7145_87280_000014_000003	With all your faults, you don't tell even little lies; not even to a woman--I believe.	With all your faults, you don't tell even little lies; not even to a woman-I believe.	true	624.87	630.19	20.44473
7145_87280_000014_000004	Now there is a fine compliment--is it not?--when I intended to scold you!" She gave a fluttering little laugh, and, with hanging head, continued: "Tell me, is not the king's sister of quality sufficient to suit you?	Now there is a fine compliment-is it not?--when I intended to scold you!" She gave a fluttering little laugh, and, with hanging head, continued: "Tell me, is not the king's sister of quality sufficient to suit you?	true	630.47	644.65	19.880886
7145_87280_000014_000005	Perhaps you must have the queen or the Blessed Virgin?	Perhaps you must have the queen or the Blessed Virgin?	true	645.14	648.73	19.487099
7145_87280_000014_000006	Tell me now?" And she looked up at him, half in banter, half in doubt.	Tell me now?" And she looked up at him, half in banter, half in doubt.	true	649.04	653.98	20.266882
7145_87280_000015_000000	"My duties--," began Brandon.	"My duties-," began Brandon.	true	655.25	658.66	22.609718
7145_87280_000016_000000	"Oh! bother your duties.	"Oh! bother your duties.	true	659.24	660.81	22.360775
7145_87280_000016_000001	Tell me the truth."	Tell me the truth."	true	660.81	662.02	22.939783
7145_87280_000017_000000	"I will, if you let me," returned Brandon, who had no intention whatever of doing anything of the sort.	"I will, if you let me," returned Brandon, who had no intention whatever of doing anything of the sort.	true	663.2	670.09	20.965755
7145_87280_000017_000001	"My duties now occupy my time in the evening----"	"My duties now occupy my time in the evening----"	true	671.06	674.22	19
7145_87280_000018_000000	"That will not do," interrupted Mary, who knew enough of a guardsman's duty to be sure it was not onerous.	"That will not do," interrupted Mary, who knew enough of a guardsman's duty to be sure it was not onerous.	true	674.22	681.07	20
7145_87280_000018_000001	"You might as well come to it and tell the truth; that you do not like our society." And she gave him a vicious little glance without a shadow of a smile.	"You might as well come to it and tell the truth; that you do not like our society." And she gave him a vicious little glance without a shadow of a smile.	true	681.53	690.37	20.425009
7145_87280_000019_000000	"In God's name, Lady Mary, that is not it," answered Brandon, who was on the rack.	"In God's name, Lady Mary, that is not it," answered Brandon, who was on the rack.	true	690.74	696.58	20.347952
7145_87280_000019_000001	"Please do not think it.	"Please do not think it.	true	697.19	698.95	20.750975
7145_87280_000019_000002	I cannot bear to have you say such a thing when it is so far from the real truth."	I cannot bear to have you say such a thing when it is so far from the real truth."	true	699.02	703.77	18.902311
7145_87280_000020_000000	"Then tell me the real truth."	"Then tell me the real truth."	false	703.77	706.6	19.506088
7145_87280_000021_000000	"I cannot; I cannot.	"I cannot; I cannot.	true	707.75	710.26	24.712898
7145_87280_000021_000001	I beg of you not to ask.	I beg of you not to ask.	true	710.51	712.665	20.213894
7145_87280_000021_000002	Leave me! or let me leave you.	Leave me! or let me leave you.	true	712.665	715.21	20.022457
7145_87280_000021_000003	I refuse to answer further."	I refuse to answer further."	true	715.28	717.07	20.521847
7145_87280_000021_000004	The latter half of this sentence was uttered doggedly and sounded sullen and ill-humored, although, of course, it was not so intended.	The latter half of this sentence was uttered doggedly and sounded sullen and ill humored, although, of course, it was not so intended.	true	717.56	726.07	21.781122
7145_87280_000021_000005	He had been so perilously near speaking words which would probably have lighted, to their destruction--to his, certainly--the smoldering flames within their breast that it frightened him, and the manner in which he spoke was but a tone giving utterance to the pain in his heart.	He had been so perilously near speaking words which would probably have lighted, to their destruction-to his, certainly-the smoldering flames within their breast that it frightened him, and the manner in which he spoke was but a tone giving utterance to the pain in his heart.	true	726.47	743.59	21.622753
7145_87280_000022_000000	Mary took it as it sounded, and, in unfeigned surprise, exclaimed angrily: "Leave you?	Mary took it as it sounded, and, in unfeigned surprise, exclaimed angrily: "Leave you?	true	744.2	751.18	21.198507
7145_87280_000022_000001	Do I hear aright?	Do I hear aright?	true	751.73	753.4	18.858004
7145_87280_000022_000002	I never thought that I, the daughter and sister of a king, would live to be dismissed by a--by a--any one."	I never thought that I, the daughter and sister of a king, would live to be dismissed by a-by a-any one."	false	753.86	765.31	22.300926
7145_87280_000023_000000	"Your highness--" began Brandon; but she was gone before he could speak.	"Your highness-" began Brandon; but she was gone before he could speak.	true	766.28	770.92	21.504251
7145_87280_000024_000000	He did not follow her to explain, knowing how dangerous such an explanation would be, but felt that it was best for them both that she should remain offended, painful as the thought was to him.	He did not follow her to explain, knowing how dangerous such an explanation would be, but felt that it was best for them both that she should remain offended, painful as the thought was to him.	true	771.68	783.43	22.447227
7145_87280_000025_000000	Of course, Mary's womanly self-esteem, to say nothing of her royal pride, was wounded to the quick, and no wonder.	Of course, Mary's womanly self esteem, to say nothing of her royal pride, was wounded to the quick, and no wonder.	true	784.07	791.41	22.011293
7145_87280_000026_000000	Poor Brandon sat down upon a stone, and, as he longingly watched her retiring form, wished in his heart he were dead.	Poor Brandon sat down upon a stone, and, as he longingly watched her retiring form, wished in his heart he were dead.	true	792.26	800.08	22.243208
7145_87280_000026_000001	This was the first time he really knew how much he loved the girl, and he saw that, with him at least, it was a matter of bad to worse; and at that rate would soon be--worst.	This was the first time he really knew how much he loved the girl, and he saw that, with him at least, it was a matter of bad to worse; and at that rate would soon be-worst.	true	800.48	813.85	20.107786
7145_87280_000027_000000	Now that he had unintentionally offended her, and had permitted her to go without an explanation, she was dearer to him than ever, and, as he sat there with his face in his hands, he knew that if matters went on as they were going, the time would soon come when he would throw caution to the dogs and would try the impossible--to win her for his own.	Now that he had unintentionally offended her, and had permitted her to go without an explanation, she was dearer to him than ever, and, as he sat there with his face in his hands, he knew that if matters went on as they were going, the time would soon come when he would throw caution to the dogs and would try the impossible-to win her for his own.	true	814.88	836.71	21.139812
7145_87280_000027_000001	Caution and judgment still sat enthroned, and they told him now what he knew full well they would not tell him after a short time--that failure was certain to follow the attempt, and disaster sure to follow failure.	Caution and judgment still sat enthroned, and they told him now what he knew full well they would not tell him after a short time-that failure was certain to follow the attempt, and disaster sure to follow failure.	true	837.44	850.99	20.323246
7145_87280_000027_000002	First, the king would, in all probability, cut off his head upon an intimation of Mary's possible fondness for him; and, second, if he should be so fortunate as to keep his head, Mary could not, and certainly would not, marry him, even if she loved him with all her heart.	First, the king would, in all probability, cut off his head upon an intimation of Mary's possible fondness for him; and, second, if he should be so fortunate as to keep his head, Mary could not, and certainly would not, marry him, even if she loved him with all her heart.	true	851.54	870.55	21.41714
7145_87280_000027_000003	The distance between them was too great, and she knew too well what she owed to her position.	The distance between them was too great, and she knew too well what she owed to her position.	true	871.16	877.3	21.689335
7145_87280_000027_000004	There was but one thing left--New Spain; and he determined while sitting there to sail with the next ship.	There was but one thing left-New Spain; and he determined while sitting there to sail with the next ship.	false	878.3	885.25	20.644304
7145_87280_000028_000000	The real cause of Brandon's manner had never occurred to Mary. Although she knew her beauty and power, as she could not help but know it--not as a matter of vanity, but as a matter of fact--yet love had blinded her where Brandon was concerned, and that knowledge failed to give her light as to his motives, however brightly it might illumine the conduct of other men toward whom she was indifferent.	The real cause of Brandon's manner had never occurred to Mary. Although she knew her beauty and power, as she could not help but know it-not as a matter of vanity, but as a matter of fact-yet love had blinded her where Brandon was concerned, and that knowledge failed to give her light as to his motives, however brightly it might illumine the conduct of other men toward whom she was indifferent.	true	886.1	911.8	19.969643
7145_87280_000029_000000	So Mary was angry this time; angry in earnest, and Jane felt the irritable palm more than once.	So Mary was angry this time; angry in earnest, and Jane felt the irritable palm more than once.	true	912.38	919.66	20.740961
7145_87280_000029_000001	I, too, came in for my share of her ill temper, as most certainly would Brandon, had he allowed himself to come within reach of her tongue, which he was careful not to do.	I, too, came in for my share of her ill temper, as most certainly would Brandon, had he allowed himself to come within reach of her tongue, which he was careful not to do.	true	919.97	930.46	19.389353
7145_87280_000029_000002	An angry porcupine would have been pleasant company compared with Mary during this time.	An angry porcupine would have been pleasant company compared with Mary during this time.	true	931.16	935.92	18
7145_87280_000029_000003	There was no living with her in peace.	There was no living with her in peace.	true	936.02	938.14	21.938263
7145_87280_000029_000004	Even the king fought shy of her, and the queen was almost afraid to speak.	Even the king fought shy of her, and the queen was almost afraid to speak.	true	938.54	943	21.355343
7145_87280_000029_000005	Probably so much general disturbance was never before or since collected within one small body as in that young Tartar-Venus, Mary.	Probably so much general disturbance was never before or since collected within one small body as in that young Tartar Venus, Mary.	true	943.28	951.58	15
7145_87280_000029_000006	She did not tell Jane the cause of her vexation, but only said she "verily hated Brandon," and that, of course, was the key to the whole situation.	She did not tell Jane the cause of her vexation, but only said she "verily hated Brandon," and that, of course, was the key to the whole situation.	true	952.16	961.81	21.142025
7145_87280_000030_000000	After a fortnight, this ill-humor began to soften in the glowing warmth of her heart, which was striving to reassert itself, and the desire to see Brandon began to get the better of her sense of injury.	After a fortnight, this ill humor began to soften in the glowing warmth of her heart, which was striving to reassert itself, and the desire to see Brandon began to get the better of her sense of injury.	true	962.42	973.96	19.636602
7145_87280_000031_000000	Brandon, tired of this everlasting watchfulness to keep himself out of temptation, and, dreading at any moment that lapse from strength which is apt to come to the strongest of us, had resolved to quit his place at court and go to New Spain at once.	Brandon, tired of this everlasting watchfulness to keep himself out of temptation, and, dreading at any moment that lapse from strength which is apt to come to the strongest of us, had resolved to quit his place at court and go to New Spain at once.	true	974.69	990.46	20.91261
7145_87280_000031_000001	He had learned, upon inquiry, that a ship would sail from Bristol in about twenty days, and another six weeks later.	He had learned, upon inquiry, that a ship would sail from Bristol in about twenty days, and another six weeks later.	true	990.86	998.59	20.05488
7145_87280_000031_000002	So he chose the former and was making his arrangements to leave as soon as possible.	So he chose the former and was making his arrangements to leave as soon as possible.	true	998.66	1003.45	18
7145_87280_000032_000000	He told me of his plans and spoke of his situation: "You know the reason for my going," he said, "even if I have never spoken of it.	He told me of his plans and spoke of his situation: "You know the reason for my going," he said, "even if I have never spoken of it.	false	1004.21	1012.02	21.924276
7145_87280_000032_000001	I am not much of a Joseph, and am very little given to running away from a beautiful woman, but in this case I am fleeing from death itself. And to think what a heaven it would be.	I am not much of a Joseph, and am very little given to running away from a beautiful woman, but in this case I am fleeing from death itself. And to think what a heaven it would be.	true	1012.02	1022.67	21.185856
7145_87280_000032_000002	You are right, Caskoden; no man can withstand the light of that girl's smile.	You are right, Caskoden; no man can withstand the light of that girl's smile.	false	1022.67	1029.13	22.39451
7145_87280_000032_000003	I am unable to tell how I feel toward her.	I am unable to tell how I feel toward her.	true	1029.95	1032.91	20.25496
7145_87280_000032_000004	It sometimes seems that I can not live another hour without seeing her; yet, thank God, I have reason enough left to know that every sight of her only adds to an already incurable malady. What will it be when she is the wife of the king of France?	It sometimes seems that I can not live another hour without seeing her; yet, thank God, I have reason enough left to know that every sight of her only adds to an already incurable malady. What will it be when she is the wife of the king of France?	true	1033.01	1049.2	20.239756
7145_87280_000032_000005	Does it not look as if wild life in New Spain is my only chance?"	Does it not look as if wild life in New Spain is my only chance?"	true	1050.05	1054.21	16
7145_87280_000033_000000	I assented as we joined hands, and our eyes were moist as I told him how I should miss him more than anyone else in all the earth--excepting Jane, in mental reservation.	I assented as we joined hands, and our eyes were moist as I told him how I should miss him more than anyone else in all the earth-excepting Jane, in mental reservation.	true	1055.48	1065.49	17
7145_87280_000034_000000	I told Jane what Brandon was about to do, knowing full well she would tell Mary; which she did at once.	I told Jane what Brandon was about to do, knowing full well she would tell Mary; which she did at once.	false	1066.58	1073.02	20.53148
7145_87280_000035_000000	Poor Mary!	Poor Mary!	true	1073.57	1074.91	18.233292
7145_87280_000035_000001	The sighs began to come now, and such small vestiges of her ill-humor toward Brandon as still remained were frightened off in a hurry by the fear that she had seen the last of him.	The sighs began to come now, and such small vestiges of her ill humor toward Brandon as still remained were frightened off in a hurry by the fear that she had seen the last of him.	true	1074.91	1086.04	17
7145_87280_000036_000000	She had not before fully known that she loved him.	She had not before fully known that she loved him.	true	1086.32	1089.46	23.001831
7145_87280_000036_000001	She knew he was the most delightful companion she had ever met, and that there was an exhilaration about his presence which almost intoxicated her and made life an ecstasy, yet she did not know it was love.	She knew he was the most delightful companion she had ever met, and that there was an exhilaration about his presence which almost intoxicated her and made life an ecstasy, yet she did not know it was love.	true	1089.59	1102.21	19.942337
7145_87280_000036_000002	It needed but the thought that she was about to lose him to make her know her malady, and meet it face to face.	It needed but the thought that she was about to lose him to make her know her malady, and meet it face to face.	true	1102.64	1109.62	20
7145_87280_000037_000000	Upon the evening when Mary learned all this, she went into her chamber very early and closed the door.	Upon the evening when Mary learned all this, she went into her chamber very early and closed the door.	true	1110.74	1116.49	14
7145_87280_000037_000001	No one interrupted her until Jane went in to robe her for the night, and to retire.	No one interrupted her until Jane went in to robe her for the night, and to retire.	true	1117.16	1122.34	21.510744
7145_87280_000037_000002	She then found that Mary had robed herself and was lying in bed with her head covered, apparently asleep.	She then found that Mary had robed herself and was lying in bed with her head covered, apparently asleep.	true	1123.22	1129.48	19.907856
7145_87280_000037_000003	Jane quietly prepared to retire, and lay down in her own bed.	Jane quietly prepared to retire, and lay down in her own bed.	true	1129.94	1134.46	20.13265
7145_87280_000037_000004	The girls usually shared one couch, but during Mary's ill-temper she had forced Jane to sleep alone.	The girls usually shared one couch, but during Mary's ill temper she had forced Jane to sleep alone.	true	1135.4	1142.17	19.706388
7145_87280_000038_000000	After a short silence Jane heard a sob from the other bed, then another, and another.	After a short silence Jane heard a sob from the other bed, then another, and another.	true	1143.35	1149.88	20.832613
7145_87280_000039_000000	"Mary, are you weeping?" she asked.	"Mary, are you weeping?" she asked.	true	1151.3	1154.95	25.415129
7145_87280_000040_000000	"Yes."	"Yes."	true	1155.59	1156.33	28.898367
7145_87280_000041_000000	"What is the matter, dear?"	"What is the matter, dear?"	true	1157.78	1159.3	21.3867
7145_87280_000042_000000	"Nothing," with a sigh.	"Nothing," with a sigh.	true	1159.97	1162.27	18.934546
7145_87280_000043_000000	"Do you wish me to come to your bed?"	"Do you wish me to come to your bed?"	true	1164.11	1166.05	21.952095
7145_87280_000044_000000	"Yes, I do." So Jane went over and lay beside Mary, who gently put her arms about her neck.	"Yes, I do." So Jane went over and lay beside Mary, who gently put her arms about her neck.	false	1166.93	1174.02	20.884157
