7910_80534_000000_000000	'Sidney!	'Sidney!	false	1.35	1.8	20.350487
7910_80534_000010_000001	Inadequate nourishment, and especially an unsatisfied palate, frequently have this result in female children among the poor; it is an anticipation of what will befall them as soon as they find their way to the publichouse.	Inadequate nourishment, and especially an unsatisfied palate, frequently have this result in female children among the poor; it is an anticipation of what will befall them as soon as they find their way to the publichouse.	true	133.94	148.39	24.269402
7910_80534_000011_000000	Having administered a scolding, Mrs. Eagles went into the room which she and her husband occupied.	Having administered a scolding, mrs Eagles went into the room which she and her husband occupied.	true	149.3	155.35	22.844841
7910_80534_000011_000001	It was so encumbered with furniture that not more than eight or ten square feet of floor can have been available for movement.	It was so encumbered with furniture that not more than eight or ten square feet of floor can have been available for movement.	true	155.72	163.03	26.749683
7910_80534_000011_000002	On the bed sat Mr. Eagles, a spare, large-headed, ugly, but very thoughtful-looking man; he and Sidney Kirkwood had been acquaintances and fellow-workmen for some years, but no close intimacy had arisen between them, owing to the difference of their tastes and views.	On the bed sat mr Eagles, a spare, large headed, ugly, but very thoughtful looking man; he and Sidney Kirkwood had been acquaintances and fellow workmen for some years, but no close intimacy had arisen between them, owing to the difference of their tastes and views.	true	163.31	182.23	26.00374
7910_80534_000011_000003	Eagles was absorbed in the study of a certain branch of political statistics; the enthusiasm of his life was Financial Reform. Every budget presented to Parliament he criticised with extraordinary thoroughness, and, in fact, with an acumen which would have made him no inefficient auxiliary of the Chancellor himself.	Eagles was absorbed in the study of a certain branch of political statistics; the enthusiasm of his life was Financial Reform. Every budget presented to Parliament he criticised with extraordinary thoroughness, and, in fact, with an acumen which would have made him no inefficient auxiliary of the Chancellor himself.	false	182.9	203.56	25.534212
7910_80534_000011_000004	Of course he took the view that the nation's resources were iniquitously wasted, and of course had little difficulty in illustrating a truth so obvious; what distinguished him from the ordinary malcontent of Clerkenwell Green was his logical faculty and the surprising extent of the information with which he had furnished himself.	Of course he took the view that the nation's resources were iniquitously wasted, and of course had little difficulty in illustrating a truth so obvious; what distinguished him from the ordinary malcontent of Clerkenwell Green was his logical faculty and the surprising extent of the information with which he had furnished himself.	false	204.32	226.21	23.822552
7910_80534_000011_000005	Long before there existed a 'Financial Reform Almanack,' Eagles practically represented that work in his own person.	Long before there existed a 'Financial Reform Almanack,' Eagles practically represented that work in his own person.	true	226.76	234.61	23.838453
7910_80534_000011_000006	Disinterested, ardent, with thoughts for but one subject in the scope of human inquiry, he lived contentedly on his two pounds a week, and was for ever engaged in the theoretic manipulation of millions. Utopian budgets multiplied themselves in his brain and his note-books. He devised imposts such as Minister never dreamt of, yet which, he declared, could not fail of vast success.	Disinterested, ardent, with thoughts for but one subject in the scope of human inquiry, he lived contentedly on his two pounds a week, and was for ever engaged in the theoretic manipulation of millions. Utopian budgets multiplied themselves in his brain and his note books. He devised imposts such as Minister never dreamt of, yet which, he declared, could not fail of vast success.	false	234.89	260.86	23.382093
7910_80534_000011_000007	'You just look at these figures!' he would exclaim to Sidney, in his low, intense voice.	'You just look at these figures!' he would exclaim to Sidney, in his low, intense voice.	false	261.14	266.83	23.944025
7910_80534_000011_000008	'There it is in black and white!' But Sidney's faculties were quite unequal to calculations of this kind, and Eagles could never summon resolve to explain his schemes before an audience.	'There it is in black and white!' But Sidney's faculties were quite unequal to calculations of this kind, and Eagles could never summon resolve to explain his schemes before an audience.	true	267.02	278.77	23.630854
7910_80534_000011_000009	Indefatigably he worked on, and the work had to be its own reward.	Indefatigably he worked on, and the work had to be its own reward.	true	278.9	283.96	26.637106
7910_80534_000012_000000	He was busy in the usual way this afternoon, as he sat on the bed, coatless, a trade journal open on his knees.	He was busy in the usual way this afternoon, as he sat on the bed, coatless, a trade journal open on his knees.	true	284.57	291.64	24.847607
7910_80534_000012_000001	His wife never disturbed him; she was a placid, ruminative woman, generally finding the details of her own weekly budget quite a sufficient occupation.	His wife never disturbed him; she was a placid, ruminative woman, generally finding the details of her own weekly budget quite a sufficient occupation.	true	291.98	301.81	25.549385
7910_80534_000012_000002	When she had taken off her bonnet and was turning out the contents of her bag, Eagles remarked quietly:	When she had taken off her bonnet and was turning out the contents of her bag, Eagles remarked quietly:	true	302.24	308.2	28.426844
7910_80534_000013_000000	'They'll have a bad journey.'	'They'll have a bad journey.'	true	308.54	310.06	20.490389
7910_80534_000014_000000	'What a day for her to be travelling all that distance, poor thing!	'What a day for her to be travelling all that distance, poor thing!	true	310.64	314.16	30.932241
7910_80534_000014_000001	But perhaps it ain't so bad out o' London.'	But perhaps it ain't so bad out o' London.'	false	314.16	316.87	23.381573
7910_80534_000015_000000	Lowering their voices, they began to talk of John Hewett and the daughter he was bringing from Lancashire, where she had lain in hospital for some weeks.	Lowering their voices, they began to talk of john Hewett and the daughter he was bringing from Lancashire, where she had lain in hospital for some weeks.	false	317.12	325.54	23.947945
7910_80534_000015_000001	Of the girl and her past they knew next to nothing, but Hewett's restricted confidences suggested disagreeable things.	Of the girl and her past they knew next to nothing, but Hewett's restricted confidences suggested disagreeable things.	false	326	333.67	23.456964
7910_80534_000015_000002	The truth of the situation was, that John had received by post, from he knew not whom, a newspaper report of the inquest held on the body of Grace Danver, wherein, of course, was an account of what had happened to Clara Vale; in the margin was pencilled, 'Clara Vale's real name is Clara Hewett.' An hour after receiving this John encountered Sidney Kirkwood.	The truth of the situation was, that john had received by post, from he knew not whom, a newspaper report of the inquest held on the body of Grace Danver, wherein, of course, was an account of what had happened to Clara Vale; in the margin was pencilled, 'Clara Vale's real name is Clara Hewett.' An hour after receiving this john encountered Sidney Kirkwood.	true	334.07	358.09	23.241425
7910_80534_000015_000003	They read the report together.	They read the report together.	true	358.22	359.95	23.97588
7910_80534_000015_000004	Before the coroner it had been made public that the dead woman was in truth named Rudd; she who was injured refused to give any details concerning herself, and her history escaped the reporters.	Before the coroner it had been made public that the dead woman was in truth named Rudd; she who was injured refused to give any details concerning herself, and her history escaped the reporters.	true	360.44	372.88	25.336006
7910_80534_000015_000005	Harbouring no doubt of the information thus mysteriously sent him--the handwriting seemed to be that of a man, but gave no further hint as to its origin--Hewett the next day journeyed down into Lancashire, Sidney supplying him with money.	Harbouring no doubt of the information thus mysteriously sent him-the handwriting seemed to be that of a man, but gave no further hint as to its origin-Hewett the next day journeyed down into Lancashire, Sidney supplying him with money.	true	373.88	388.875	23.400265
7910_80534_000015_000006	He found Clara in a perilous condition; her face was horribly burnt with vitriol, and the doctors could not as yet answer for the results of the shock she had suffered.	He found Clara in a perilous condition; her face was horribly burnt with vitriol, and the doctors could not as yet answer for the results of the shock she had suffered.	false	388.875	400.36	25.412292
7910_80534_000015_000007	One consolation alone offered itself in the course of Hewett's inquiries; Clara, if she recovered, would not have lost her eyesight.	One consolation alone offered itself in the course of Hewett's inquiries; Clara, if she recovered, would not have lost her eyesight.	true	400.88	409.425	21.72881
7910_80534_000015_000008	The fluid had been thrown too low to effect the worst injury; the accident of a trembling hand, of a movement on her part, had kept her eyes untouched.	The fluid had been thrown too low to effect the worst injury; the accident of a trembling hand, of a movement on her part, had kept her eyes untouched.	true	409.425	419.59	23.63798
7910_80534_000016_000000	Necessity brought the father back to London almost at once, but the news sent him at brief intervals continued to be favourable.	Necessity brought the father back to London almost at once, but the news sent him at brief intervals continued to be favourable.	true	420.32	428.71	22.052603
7910_80534_000016_000001	Now that the girl could be removed from the infirmary, there was no retreat for her but her father's home.	Now that the girl could be removed from the infirmary, there was no retreat for her but her father's home.	true	429.38	435.46	24.925259
7910_80534_000016_000002	Mr. Peel, the manager, had made her a present of 20_l_.--it was all he could do; the members of the company had subscribed another 5_l_., generously enough, seeing that their tour was come perforce to an abrupt close.	mr Peel, the manager, had made her a present of twenty underscore l underscore.--it was all he could do; the members of the company had subscribed another five underscore l underscore., generously enough, seeing that their tour was come perforce to an abrupt close.	false	435.86	451	23.645094
7910_80534_000016_000003	Clara's career as an actress had ended. . . .	Clara's career as an actress had ended. . . .	true	451.01	453.79	19.814367
7910_80534_000017_000000	When the fog's artificial night deepened at the close of the winter evening, Mrs. Eagles made the Hewetts' two rooms as cheerful as might be, expecting every moment the arrival of John and his companion.	When the fog's artificial night deepened at the close of the winter evening, mrs Eagles made the Hewetts' two rooms as cheerful as might be, expecting every moment the arrival of john and his companion.	false	453.83	466.21	22.67713
7910_80534_000017_000001	The children were aware that an all but forgotten sister was returning to them, and that she had been very ill; they promised quietude.	The children were aware that an all but forgotten sister was returning to them, and that she had been very ill; they promised quietude.	true	466.22	474.04	25.713934
7910_80534_000017_000002	Amy set the tea-table in order, and kept the kettle ready. . . .	Amy set the tea table in order, and kept the kettle ready. . . .	true	474.41	477.76	23.042135
7910_80534_000017_000003	The knock for which they were waiting!	The knock for which they were waiting!	true	478.04	479.98	24.20077
7910_80534_000017_000004	Mrs. Eagles withdrew into her own room; Amy went to the door.	mrs Eagles withdrew into her own room; Amy went to the door.	true	480.35	484.63	25.743387
7910_80534_000018_000000	A tall figure, so wrapped and veiled that nothing but the womanly outline could be discerned, entered, supported by John Hewett.	A tall figure, so wrapped and veiled that nothing but the womanly outline could be discerned, entered, supported by john Hewett.	true	485.24	492.4	27.121056
7910_80534_000019_000000	'Is there a light in the other room, Amy?' John inquired in a thick voice.	'Is there a light in the other room, Amy?' john inquired in a thick voice.	true	492.98	497.38	27.891102
7910_80534_000020_000000	'Yes, father.'	'Yes, father.'	true	497.45	498.61	30.814106
7910_80534_000021_000000	He led the muffled form into the chamber where Amy and Annie slept.	He led the muffled form into the chamber where Amy and Annie slept.	true	499.19	503.29	29.162836
7910_80534_000021_000001	The door closed, and for several minutes the three children stood regarding each other, alarmed, mute.	The door closed, and for several minutes the three children stood regarding each other, alarmed, mute.	true	503.33	509.92	22.824636
7910_80534_000021_000002	Then their father joined them.	Then their father joined them.	true	510.23	511.81	21.43119
7910_80534_000021_000003	He looked about in an absent way, slowly drew off his overcoat, and when Amy offered to take it, bent and kissed her cheek.	He looked about in an absent way, slowly drew off his overcoat, and when Amy offered to take it, bent and kissed her cheek.	true	512.03	519.87	27.615612
7910_80534_000021_000004	The girl was startled to hear him sob and to see tears starting from his eyes.	The girl was startled to hear him sob and to see tears starting from his eyes.	true	519.87	524.44	20
7910_80534_000021_000005	Turning suddenly away, he stood before the fire and made a pretence of warming himself; but his sobs overmastered him.	Turning suddenly away, he stood before the fire and made a pretence of warming himself; but his sobs overmastered him.	true	524.96	533.11	21.304535
7910_80534_000021_000006	He leaned his arms on the mantel-piece.	He leaned his arms on the mantel piece.	true	533.48	535.75	18.944319
7910_80534_000022_000000	'Shall I pour out the tea, father?' Amy ventured to ask, when there was again perfect silence.	'Shall I pour out the tea, father?' Amy ventured to ask, when there was again perfect silence.	true	536.12	542.05	26.955948
7910_80534_000023_000000	'Haven't you had yours?' he replied, half-facing her.	'Haven't you had yours?' he replied, half facing her.	true	542.18	545.14	21.117733
7910_80534_000024_000000	'Not yet.'	'Not yet.'	false	545.15	546.57	26.59596
7910_80534_000025_000000	'Get it, then--all of you.	'Get it, then-all of you.	true	546.57	548.26	30.868307
7910_80534_000025_000001	Yes, you can pour me out a cup--and put another on the little tray.	Yes, you can pour me out a cup-and put another on the little tray.	true	548.42	552.22	22.489157
7910_80534_000025_000002	Is this stuff in the saucepan ready?' 'Mrs. Eagles said it would be in five minutes.'.	Is this stuff in the saucepan ready?' 'mrs Eagles said it would be in five minutes.'.	true	552.47	557.41	24.57501
7910_80534_000026_000000	'All right.	'All right.	true	557.69	558.64	21.005384
7910_80534_000026_000001	Get on with your eatin', all of you.'	Get on with your eatin', all of you.'	true	558.83	560.8	19.312561
7910_80534_000027_000000	He went to Mrs. Eagles' room and talked there for a short time. Presently Mrs. Eagles herself came out and silently removed from the saucepan a mixture of broth and meat.	He went to mrs Eagles' room and talked there for a short time. Presently mrs Eagles herself came out and silently removed from the saucepan a mixture of broth and meat.	true	561.29	572.56	23.29752
7910_80534_000027_000001	Having already taken the cup of tea to Clara, Hewett now returned to her with this food.	Having already taken the cup of tea to Clara, Hewett now returned to her with this food.	true	573.14	578.235	22.118658
7910_80534_000027_000002	She was sitting by the fire, her face resting upon her hands.	She was sitting by the fire, her face resting upon her hands.	true	578.235	582.1	21.437342
7910_80534_000027_000003	The lamp was extinguished; she had said that the firelight was enough.	The lamp was extinguished; she had said that the firelight was enough.	true	582.35	586.785	25.730103
7910_80534_000027_000004	John deposited his burden on the table, then touched her shoulder gently and spoke in so soft a voice that one would not have recognised it as his.	john deposited his burden on the table, then touched her shoulder gently and spoke in so soft a voice that one would not have recognised it as his.	true	586.785	595.9	22.016037
7910_80534_000028_000000	'You'll try an' eat a little, my dear?	'You'll try an' eat a little, my dear?	true	596.54	598.36	18.335402
7910_80534_000028_000001	Here's somethin' as has been made particular.	Here's somethin' as has been made particular.	true	598.52	600.945	28.747236
7910_80534_000028_000002	After travellin'--just a spoonful or two.'	After travellin'--just a spoonful or two.'	true	600.945	603.49	28.325533
7910_80534_000029_000000	Clara expressed reluctance.	Clara expressed reluctance.	true	603.74	606.07	33.23914
7910_80534_000030_000000	'I don't feel hungry, father.	'I don't feel hungry, father.	true	606.29	607.995	24.506805
7910_80534_000030_000001	Presently, perhaps.'	Presently, perhaps.'	true	607.995	609.43	23.413637
7910_80534_000031_000000	'Well, well; it do want to cool a bit.	'Well, well; it do want to cool a bit.	true	609.74	612.39	22.325994
7910_80534_000031_000001	Do you feel able to sit up?'	Do you feel able to sit up?'	true	612.39	614.02	25.487816
7910_80534_000032_000000	'Yes.	'Yes.	true	614.45	615.28	20.881584
7910_80534_000032_000001	Don't take so much trouble, father.	Don't take so much trouble, father.	true	615.38	617.235	25.135117
7910_80534_000032_000002	I'd rather you left me alone.'	I'd rather you left me alone.'	true	617.235	618.85	22.28655
7910_80534_000033_000000	The tone was not exactly impatient; it spoke a weary indifference to everything and every person.	The tone was not exactly impatient; it spoke a weary indifference to everything and every person.	true	619.64	626.17	26.774174
7910_80534_000034_000000	'Yes, I'll go away, dear.	'Yes, I'll go away, dear.	true	626.57	628.21	25.793932
7910_80534_000034_000001	But you'll eat just a bit?	But you'll eat just a bit?	true	628.25	629.71	27.837696
7910_80534_000034_000002	If you don't like this, you must tell me, and I'll get something you could fancy.'	If you don't like this, you must tell me, and I'll get something you could fancy.'	true	629.78	633.52	25.677433
7910_80534_000035_000000	'It'll do well enough.	'It'll do well enough.	true	634.07	635.58	22.17103
7910_80534_000035_000001	I'll eat it presently; I promise you.'	I'll eat it presently; I promise you.'	true	635.58	637.81	25.094526
7910_80534_000036_000000	John hesitated before going.	john hesitated before going.	true	638.42	640.33	22.590292
7910_80534_000037_000000	'Clara--shall you mind Amy and Annie comin' to sleep here?	'Clara-shall you mind Amy and Annie comin' to sleep here?	true	640.7	644.62	22.642654
7910_80534_000037_000001	If you'd rather, we'll manage it somehow else.'	If you'd rather, we'll manage it somehow else.'	true	644.63	647.32	27.29047
7910_80534_000038_000000	'No.	'no	true	647.45	648.19	28.687635
7910_80534_000038_000001	What does it matter?	What does it matter?	true	648.32	649.44	24.049328
7910_80534_000038_000002	They can come when they like, only they mustn't want me to talk to them.'	They can come when they like, only they mustn't want me to talk to them.'	true	649.44	652.99	24.33525
7910_80534_000039_000000	He went softly from the room, and joined the children at their tea.	He went softly from the room, and joined the children at their tea.	true	653.72	656.86	22.531342
7910_80534_000039_000001	His mood had grown brighter.	His mood had grown brighter.	false	657.44	659.79	22.239374
7910_80534_000039_000002	Though in talking he kept his tone much softened, there was a smile upon his face, and he answered freely the questions put to him about his journey.	Though in talking he kept his tone much softened, there was a smile upon his face, and he answered freely the questions put to him about his journey.	false	659.79	667.93	24
7910_80534_000039_000003	Overcome at first by the dark aspect of this home-coming, he now began to taste the joy of having Clara under his roof, rescued alike from those vague dangers of the past and from the recent peril.	Overcome at first by the dark aspect of this home coming, he now began to taste the joy of having Clara under his roof, rescued alike from those vague dangers of the past and from the recent peril.	true	668.36	681.255	22.976683
7910_80534_000039_000004	Impossible to separate the sorrow he felt for her blighted life, her broken spirit, and the solace lurking in the thought that henceforth she could not abandon him.	Impossible to separate the sorrow he felt for her blighted life, her broken spirit, and the solace lurking in the thought that henceforth she could not abandon him.	true	681.255	690.79	24.90862
7910_80534_000039_000005	Never a word to reproach her for the unalterable; it should be as though there were no gap between the old love and its renewal in the present.	Never a word to reproach her for the unalterable; it should be as though there were no gap between the old love and its renewal in the present.	true	691.4	699.88	24.368843
7910_80534_000039_000006	For Clara used to love him, and already she had shown that his tenderness did not appeal to her in vain; during the journey she had once or twice pressed his hand in gratitude.	For Clara used to love him, and already she had shown that his tenderness did not appeal to her in vain; during the journey she had once or twice pressed his hand in gratitude.	true	700.07	711.16	20.926502
7910_80534_000039_000007	How well it was that he had this home in which to receive her!	How well it was that he had this home in which to receive her!	true	711.32	714.85	22.07734
7910_80534_000039_000008	Half a year ago, and what should he have done?	Half a year ago, and what should he have done?	true	714.86	717.37	25.318867
7910_80534_000039_000009	He would not admit to himself that there were any difficulties ahead; if it came to that, he would manage to get some extra work in the evening and on Saturday afternoons.	He would not admit to himself that there were any difficulties ahead; if it came to that, he would manage to get some extra work in the evening and on Saturday afternoons.	true	717.47	727.06	24.1489
7910_80534_000039_000010	He would take Sidney into council.	He would take Sidney into council.	true	727.28	729.31	23.740042
7910_80534_000039_000011	But thereupon his face darkened again, and he lost himself in troubled musing.	But thereupon his face darkened again, and he lost himself in troubled musing.	true	729.65	734.2	24.5794
7910_80534_000040_000000	Midway in the Sunday morning Amy told him that Clara had risen and would like him to go and sit with her.	Midway in the Sunday morning Amy told him that Clara had risen and would like him to go and sit with her.	true	734.24	740.41	19.41795
7910_80534_000040_000001	She would not leave her room; Amy had put it in order, and the blind was drawn low.	She would not leave her room; Amy had put it in order, and the blind was drawn low.	false	740.57	745.96	22.817043
7910_80534_000040_000002	Clara sat by the fireside, in her attitude of last night, hiding her face as far as she was able.	Clara sat by the fireside, in her attitude of last night, hiding her face as far as she was able.	true	746.72	752.89	21.177662
7910_80534_000040_000003	The beauty of her form would have impressed anyone who approached her, the grace of her bent head; but the countenance was no longer that of Clara Hewett; none must now look at her, unless to pity. Feeling herself thus utterly changed, she could not speak in her former natural voice; her utterance was oppressed, unmusical, monotonous.	The beauty of her form would have impressed anyone who approached her, the grace of her bent head; but the countenance was no longer that of Clara Hewett; none must now look at her, unless to pity. Feeling herself thus utterly changed, she could not speak in her former natural voice; her utterance was oppressed, unmusical, monotonous.	true	753.26	774.28	24.729168
7910_80534_000041_000000	When her father had taken a place near her she asked him, 'Have you got that piece of newspaper still?'	When her father had taken a place near her she asked him, 'Have you got that piece of newspaper still?'	true	774.95	780.73	23.953741
7910_80534_000042_000000	He had, and at her wish produced it.	He had, and at her wish produced it.	true	780.89	783.76	22.660154
7910_80534_000042_000001	Clara held it in the light of the fire, and regarded the pencilled words closely.	Clara held it in the light of the fire, and regarded the pencilled words closely.	true	784.01	788.71	24.110012
7910_80534_000042_000002	Then she inquired if he wished to keep it, and on his answering in the negative threw it to be burnt.	Then she inquired if he wished to keep it, and on his answering in the negative threw it to be burnt.	false	789.14	795.37	22.783136
7910_80534_000042_000003	Hewett took her hand, and for a while they kept silence.	Hewett took her hand, and for a while they kept silence.	true	796.16	799.42	26.780764
7910_80534_000043_000000	'Do you live comfortably here, father?' she said presently.	'Do you live comfortably here, father?' she said presently.	true	799.43	802.6	25.134106
7910_80534_000044_000000	'We do, Clara.	'We do, Clara.	true	802.76	803.89	25.225624
7910_80534_000044_000001	It's a bit high up, but that don't matter much.'	It's a bit high up, but that don't matter much.'	true	804.08	806.65	24.282784
7910_80534_000045_000000	'You've got new furniture.'	'You've got new furniture.'	true	806.69	808.18	29.350626
7910_80534_000046_000000	'Yes, some new things.	'Yes, some new things.	true	808.22	810.13	26.387886
7910_80534_000046_000001	The old was all done for, you know.'	The old was all done for, you know.'	true	810.47	812.41	24.003527
7910_80534_000047_000000	'And where did you live before you came here?'	'And where did you live before you came here?'	true	812.99	815.17	25.251059
7910_80534_000048_000000	'Oh, we had a place in King's Cross Road--it wasn't much of a place, but I suppose it might a' been worse.'	'Oh, we had a place in King's Cross Road-it wasn't much of a place, but I suppose it might a' been worse.'	true	815.87	821.56	22.80638
7910_80534_000049_000000	'And that was where--?'	'And that was where-?'	true	821.84	823.06	29.698606
7910_80534_000050_000000	'Yes--yes--it was there.'	'Yes-yes-it was there.'	true	823.34	825.34	22.741817
7910_80534_000051_000000	'And how did you manage to buy this furniture?' Clara asked, after a pause.	'And how did you manage to buy this furniture?' Clara asked, after a pause.	true	825.77	829.72	22.910027
7910_80534_000052_000000	'Well, my dear, to tell you the truth--it was a friend as--an old friend helped us a bit.'	'Well, my dear, to tell you the truth-it was a friend as-an old friend helped us a bit.'	true	829.91	835.6	26.15568
7910_80534_000053_000000	'You wouldn't care to say who it was?'	'You wouldn't care to say who it was?'	true	835.82	837.88	23.084621
7910_80534_000054_000000	John was gravely embarrassed.	john was gravely embarrassed.	true	838.37	840.34	28.087715
7910_80534_000054_000001	Clara moved her head a little, so as to regard him, but at once turned away, shrinkingly, when she met his eyes.	Clara moved her head a little, so as to regard him, but at once turned away, shrinkingly, when she met his eyes.	true	840.41	846.82	21.874128
7910_80534_000055_000000	'Why don't you like to tell me, father?	'Why don't you like to tell me, father?	true	847.79	849.795	25.711485
7910_80534_000055_000001	Was it Mr. Kirkwood?'	Was it mr Kirkwood?'	true	849.795	851.32	23.863848
7910_80534_000056_000000	'Yes, my dear, it was.'	'Yes, my dear, it was.'	true	851.57	853.18	23.831861
7910_80534_000057_000000	Neither spoke for a long time.	Neither spoke for a long time.	true	853.91	855.85	26.942871
7910_80534_000057_000001	Clara's head sank lower; she drew her hand away from her father's, and used it to shield her face.	Clara's head sank lower; she drew her hand away from her father's, and used it to shield her face.	true	856.01	861.85	20.477558
7910_80534_000057_000002	When she spoke, it was as if to herself.	When she spoke, it was as if to herself.	true	862.04	864.79	26.09163
7910_80534_000058_000000	'I suppose he's altered in some ways?'	'I suppose he's altered in some ways?'	true	865.19	867.46	24.375889
7910_80534_000059_000000	'Not much; I don't see much change, myself, but then of course-- No, he's pretty much the same.'	'Not much; I don't see much change, myself, but then of course- No, he's pretty much the same.'	true	867.65	874.03	22.25379
7910_80534_000060_000000	'He's married, isn't he?	'He's married, isn't he?	true	874.13	875.49	22.967794
7910_80534_000061_000000	'Married?	'Married?	true	875.49	876.4	19.122063
7910_80534_000061_000001	Why, what made you think that.	Why, what made you think that.	true	876.53	878.1	21.287014
7910_80534_000061_000002	Clara?	Clara?	true	878.1	878.8	23.240849
7910_80534_000061_000003	No, not he.	No, not he.	true	878.87	880.2	21.065577
7910_80534_000061_000004	He had to move not long ago; his lodgin's is in Red Lion Street now.'	He had to move not long ago; his lodgin's is in Red Lion Street now.'	true	880.2	885.19	24.046864
7910_80534_000062_000000	'And does he ever come here?'	'And does he ever come here?'	true	885.44	886.99	22.000732
7910_80534_000063_000000	'He has been--just now an' then.'	'He has been-just now an' then.'	true	887.24	889.39	22.98467
7910_80534_000064_000000	'Have you told him?'	'Have you told him?'	true	889.73	890.92	22.435116
7910_80534_000065_000000	'Why--yes, dear--I felt I had to.'	'Why-yes, dear-I felt I had to.'	true	891.17	893.92	30.46011
7910_80534_000066_000000	'There's no harm.	'There's no harm.	true	893.99	895.065	26.208635
7910_80534_000066_000001	You couldn't keep it a secret.	You couldn't keep it a secret.	true	895.065	896.65	27.030085
7910_80534_000066_000002	But he mustn't come whilst I'm here; you understand that, father?'	But he mustn't come whilst I'm here; you understand that, father?'	true	896.69	900.31	23.003622
7910_80534_000067_000000	'No, no, he shan't.	'No, no, he shan't.	true	900.59	902.14	17.093628
7910_80534_000067_000001	He shall never come, if you don't wish it.'	He shall never come, if you don't wish it.'	true	902.3	904.39	22.158613
7910_80534_000068_000000	'Only whilst I'm here.'	'Only whilst I'm here.'	true	904.73	906.28	24.39398
7910_80534_000069_000000	'But--Clara--you'll _always_ be here.'	'But-Clara-you'll underscore always underscore be here.'	false	906.68	909.7	24.801733
