22_121148_000000_000000	as the great Corneille has said.	as the great Corneille has said.	false	0	2.88	19.933352
22_121148_000007_000004	My questions betrayed so many preconceived notions, and went so straight for the weak points in this terrible dual existence, that Louis has since confessed to me the alarm it caused him to find in me so little of the ignorant maiden.	My questions betrayed so many preconceived notions, and went so straight for the weak points in this terrible dual existence, that Louis has since confessed to me the alarm it caused him to find in me so little of the ignorant maiden.	true	252.77	266.53	19.335066
22_121148_000008_000000	Then I listened to what he had to say in reply.	Then I listened to what he had to say in reply.	true	267.62	270.43	19
22_121148_000008_000001	He got mixed up in his arguments, as people do when handicapped by fear; and before long it became clear that chance had given me for adversary one who was the less fitted for the contest because he was conscious of what you magniloquently call my "greatness of soul." Broken by sufferings and misfortune, he looked on himself as a sort of wreck, and three fears in especial haunted him.	He got mixed up in his arguments, as people do when handicapped by fear; and before long it became clear that chance had given me for adversary one who was the less fitted for the contest because he was conscious of what you magniloquently call my "greatness of soul." Broken by sufferings and misfortune, he looked on himself as a sort of wreck, and three fears in especial haunted him.	true	270.83	295.3	20.70198
22_121148_000009_000000	First, we are aged respectively thirty-seven and seventeen; and he could not contemplate without quaking the twenty years that divide us.	First, we are aged respectively thirty seven and seventeen; and he could not contemplate without quaking the twenty years that divide us.	true	296.06	304.45	20
22_121148_000009_000001	In the next place, he shares our views on the subject of my beauty, and it is cruel for him to see how the hardships of his life have robbed him of youth.	In the next place, he shares our views on the subject of my beauty, and it is cruel for him to see how the hardships of his life have robbed him of youth.	false	305	314.02	21
22_121148_000009_000002	Finally, he felt the superiority of my womanhood over his manhood.	Finally, he felt the superiority of my womanhood over his manhood.	true	314.72	319.12	17.768755
22_121148_000009_000003	The consciousness of these three obvious drawbacks made him distrustful of himself; he doubted his power to make me happy, and guessed that he had been chosen as the lesser of two evils.	The consciousness of these three obvious drawbacks made him distrustful of himself; he doubted his power to make me happy, and guessed that he had been chosen as the lesser of two evils.	true	319.46	330.91	20.362663
22_121148_000010_000000	One evening he tentatively suggested that I only married him to escape the convent.	One evening he tentatively suggested that I only married him to escape the convent.	true	331.67	336.4	18
22_121148_000011_000000	"I cannot deny it," was my grave reply.	"I cannot deny it," was my grave reply.	true	337.16	340.03	22.961227
22_121148_000012_000000	My dear, it touched me to the heart to see the two great tears which stood in his eyes.	My dear, it touched me to the heart to see the two great tears which stood in his eyes.	true	340.91	346.24	19
22_121148_000012_000001	Never before had I experienced the shock of emotion which a man can impart to us.	Never before had I experienced the shock of emotion which a man can impart to us.	true	346.73	351.76	17
22_121148_000013_000000	"Louis," I went on, as kindly as I could, "it rests entirely with you whether this marriage of convenience becomes one to which I can give my whole heart.	"Louis," I went on, as kindly as I could, "it rests entirely with you whether this marriage of convenience becomes one to which I can give my whole heart.	true	352.94	362.05	19
22_121148_000013_000001	The favor I am about to ask from you will demand unselfishness on your part, far nobler than the servitude to which a man's love, when sincere, is supposed to reduce him.	The favor I am about to ask from you will demand unselfishness on your part, far nobler than the servitude to which a man's love, when sincere, is supposed to reduce him.	true	362.57	373.45	20.44157
22_121148_000013_000002	The question is, Can you rise to the height of friendship such as I understand it?	The question is, Can you rise to the height of friendship such as I understand it?	true	373.91	378.25	15
22_121148_000014_000000	"Life gives us but one friend, and I wish to be yours.	"Life gives us but one friend, and I wish to be yours.	true	379.49	382.75	18
22_121148_000014_000001	Friendship is the bond between a pair of kindred souls, united in their strength, and yet independent.	Friendship is the bond between a pair of kindred souls, united in their strength, and yet independent.	true	383.06	388.66	20
22_121148_000014_000002	Let us be friends and comrades to bear jointly the burden of life.	Let us be friends and comrades to bear jointly the burden of life.	true	389.09	393.07	21.68104
22_121148_000014_000003	Leave me absolutely free.	Leave me absolutely free.	true	393.38	395.44	20
22_121148_000014_000004	I would put no hindrance in the way of your inspiring me with a love similar to your own; but I am determined to be yours only of my own free gift.	I would put no hindrance in the way of your inspiring me with a love similar to your own; but I am determined to be yours only of my own free gift.	true	395.75	404.41	19
22_121148_000014_000005	Create in me the wish to give up my freedom, and at once I lay it at your feet.	Create in me the wish to give up my freedom, and at once I lay it at your feet.	false	404.72	409.69	19.412586
22_121148_000015_000000	"Infuse with passion, then, if you will, this friendship, and let the voice of love disturb its calm.	"Infuse with passion, then, if you will, this friendship, and let the voice of love disturb its calm.	true	410.27	416.11	21
22_121148_000015_000001	On my part I will do what I can to bring my feelings into accord with yours.	On my part one will do what I can to bring my feelings into accord with yours.	false	416.48	420.91	16
22_121148_000015_000002	One thing, above all, I would beg of you.	One thing, above all, I would beg of you.	true	421.37	423.88	19.900885
22_121148_000015_000003	Spare me the annoyances to which the strangeness of our mutual position might give rise to our relations with others.	Spare me the annoyances to which the strangeness of our mutual position might give rise to our relations with others.	true	424.28	430.75	13
22_121148_000015_000004	I am neither whimsical nor prudish, and should be sorry to get that reputation; but I feel sure that I can trust to your honor when I ask you to keep up the outward appearance of wedded life."	I am neither whimsical nor prudish, and should be sorry to get that reputation; but I feel sure that I can trust to your honor when I ask you to keep up the outward appearance of wedded life."	true	431.18	442.03	20.920834
22_121148_000016_000000	Never, dear, have I seen a man so happy as my proposal made Louis.	Never, dear, have I seen a man so happy as my proposal made Louis.	true	443.42	447.76	16
22_121148_000016_000001	The blaze of joy which kindled in his eyes dried up the tears.	The blaze of joy which kindled in his eyes dried up the tears.	true	448.16	451.84	17
22_121148_000017_000000	"Do not fancy," I concluded, "that I ask this from any wish to be eccentric.	"Do not fancy," I concluded, "that I ask this from any wish to be eccentric.	false	452.42	457.78	20.63009
22_121148_000017_000001	It is the great desire I have for your respect which prompts my request.	It is the great desire I have for your respect which prompts my request.	true	458.06	462.49	21.263735
22_121148_000017_000002	If you owe the crown of your love merely to the legal and religious ceremony, what gratitude could you feel to me later for a gift in which my goodwill counted for nothing?	If you owe the crown of your love merely to the legal and religious ceremony, what gratitude could you feel to me later for a gift in which my goodwill counted for nothing?	true	463.07	472.63	18
22_121148_000017_000003	If during the time that I remained indifferent to you (yielding only a passive obedience, such as my mother has just been urging on me) a child were born to us, do you suppose that I could feel towards it as I would towards one born of our common love?	If during the time that I remained indifferent to you (yielding only a passive obedience, such as my mother has just been urging on me) a child were born to us, do you suppose that I could feel towards it as I would towards one born of our common love?	true	473.24	487.84	20
22_121148_000017_000004	A passionate love may not be necessary in marriage, but, at least, you will admit that there should be no repugnance.	A passionate love may not be necessary in marriage, but, at least, you will admit that there should be no repugnance.	true	488.36	495.58	20
22_121148_000017_000005	Our position will not be without its dangers; in a country life, such as ours will be, ought we not to bear in mind the evanescent nature of passion?	Our position will not be without its dangers; in a country life, such as ours will be, ought we not to bear in mind the evanescent nature of passion?	true	496.25	505.93	21
22_121148_000017_000006	Is it not simple prudence to make provision beforehand against the calamities incident to change of feeling?"	Is it not simple prudence to make provision beforehand against the calamities incident to change of feeling?"	true	506.45	512.83	15
22_121148_000018_000000	He was greatly astonished to find me at once so reasonable and so apt at reasoning; but he made me a solemn promise, after which I took his hand and pressed it affectionately.	He was greatly astonished to find me at once so reasonable and so apt at reasoning; but he made me a solemn promise, after which I took his hand and pressed it affectionately.	true	513.71	524.44	19
22_121148_000019_000000	We were married at the end of the week.	We were married at the end of the week.	true	525.05	527.14	23.604996
22_121148_000019_000001	Secure of my freedom, I was able to throw myself gaily into the petty details which always accompany a ceremony of the kind, and to be my natural self.	Secure of my freedom, I was able to throw myself gaily into the petty details which always accompany a ceremony of the kind, and to be my natural self.	true	527.33	536.74	19
22_121148_000019_000002	Perhaps I may have been taken for an old bird, as they say at Blois.	Perhaps I may have been taken for an old bird, as they say at Blois.	false	537.23	541.65	20.177616
22_121148_000019_000003	A young girl, delighted with the novel and hopeful situation she had contrived to make for herself, and may have passed for a strong-minded female.	A young girl, delighted with the novel and hopeful situation she had contrived to make for herself, and may have passed for a strong minded female.	false	541.65	549.94	19.938612
22_121148_000020_000000	Dear, the difficulties which would beset my life had appeared to me clearly as in a vision, and I was sincerely anxious to make the happiness of the man I married.	Dear, the difficulties which would beset my life had appeared to me clearly as in a vision, and I was sincerely anxious to make the happiness of the man I married.	true	550.58	559.99	19
22_121148_000020_000001	Now, in the solitude of a life like ours, marriage soon becomes intolerable unless the woman is the presiding spirit.	Now, in the solitude of a life like ours, marriage soon becomes intolerable unless the woman is the presiding spirit.	true	560.45	568.12	20.063446
22_121148_000020_000002	A woman in such a case needs the charm of a mistress, combined with the solid qualities of a wife.	A woman in such a case needs the charm of a mistress, combined with the solid qualities of a wife.	true	568.31	574.27	18
22_121148_000020_000003	To introduce an element of uncertainty into pleasure is to prolong illusion, and render lasting those selfish satisfactions which all creatures hold, and should shroud a woman in expectancy, crown her sovereign, and invest her with an exhaustless power, a redundancy of life, that makes everything blossom around her.	To introduce an element of uncertainty into pleasure is to prolong illusion, and render lasting those selfish satisfactions which all creatures hold, and should shroud a woman in expectancy, crown her sovereign, and invest her with an exhaustless power, a redundancy of life, that makes everything blossom around her.	true	574.73	595.69	19.948895
22_121148_000020_000004	The more she is mistress of herself, the more certainly will the love and happiness she creates be fit to weather the storms of life.	The more she is mistress of herself, the more certainly will the love and happiness she creates be fit to weather the storms of life.	false	596.18	603.67	19
22_121148_000021_000000	But, above all, I have insisted on the greatest secrecy in regard to our domestic arrangements.	But, above all, I have insisted on the greatest secrecy in regard to our domestic arrangements.	true	604.64	609.94	17
22_121148_000021_000001	A husband who submits to his wife's yoke is justly held an object of ridicule.	A husband who submits to his wife's yoke is justly held an object of ridicule.	true	610.19	614.95	19
22_121148_000021_000002	A woman's influence ought to be entirely concealed.	A woman's influence ought to be entirely concealed.	false	615.35	618.52	19.881771
22_121148_000021_000003	The charm of all we do lies in its unobtrusiveness. If I have made it my task to raise a drooping courage and restore their natural brightness to gifts which I have dimly descried, it must all seem to spring from Louis himself.	The charm of all we do lies in its unobtrusiveness. If I have made it my task to raise a drooping courage and restore their natural brightness to gifts which I have dimly descried, it must all seem to spring from Louis himself.	false	618.77	633.43	19
22_121148_000022_000000	Such is the mission to which I dedicate myself, a mission surely not ignoble, and which might well satisfy a woman's ambition.	Such is the mission to which I dedicate myself, a mission surely not ignoble, and which might well satisfy a woman's ambition.	false	633.95	642.22	19.862621
22_121148_000022_000001	Why, I could glory in this secret which shall fill my life with interest, in this task towards which my every energy shall be bent, while it remains concealed from all but God and you.	Why, I could glory in this secret which shall fill my life with interest, in this task towards which my every energy shall be bent, while it remains concealed from all but God and you.	false	642.95	652.75	19
22_121148_000023_000000	I am very nearly happy now, but should I be so without a friendly heart in which to pour the confession?	I am very nearly happy now, but should I be so without a friendly heart in which to pour the confession?	true	653.6	659.95	18.802734
22_121148_000023_000001	For how make a confidant of him?	For how make a confidant of him?	true	660.53	662.65	23
22_121148_000023_000002	My happiness would wound him, and has to be concealed.	My happiness would wound him, and has to be concealed.	true	663.02	666.4	21.869915
22_121148_000023_000003	He is sensitive as a woman, like all men who have suffered much.	He is sensitive as a woman, like all men who have suffered much.	true	666.65	670.51	18
22_121148_000024_000000	For three months we remained as we were before marriage.	For three months we remained as we were before marriage.	true	670.88	673.96	15
22_121148_000024_000001	As you may imagine, during this time I made a close study of many small personal matters, which have more to do with love than is generally supposed.	As you may imagine, during this time I made a close study of many small personal matters, which have more to do with love than is generally supposed.	true	674.36	683.44	17
22_121148_000024_000002	In spite of my coldness, Louis grew bolder, and his nature expanded.	In spite of my coldness, Louis grew bolder, and his nature expanded.	true	683.75	688.3	21
22_121148_000024_000003	I saw on his face a new expression, a look of youth.	I saw on his face a new expression, a look of youth.	true	688.61	692.23	18.422522
22_121148_000024_000004	The greater refinement which I introduced into the house was reflected in his person. Insensibly I became accustomed to his presence, and made another self of him.	The greater refinement which I introduced into the house was reflected in his person. Insensibly I became accustomed to his presence, and made another self of him.	true	692.54	702.37	19.835358
22_121148_000024_000005	By dint of constant watching I discovered how his mind and countenance harmonize.	By dint of constant watching I discovered how his mind and countenance harmonize.	true	702.77	707.71	14
22_121148_000024_000006	"The animal that we call a husband," to quote your words, disappeared, and one balmy evening I discovered in his stead a lover, whose words thrilled me and on whose arm I leant with pleasure beyond words.	"The animal that we call a husband," to quote your words, disappeared, and one balmy evening I discovered in his stead a lover, whose words thrilled me and on whose arm I leant with pleasure beyond words.	false	708.23	720.58	18
22_121148_000024_000007	In short, to be open with you, as I would be with God, before whom concealment is impossible, the perfect loyalty with which he had kept his oath may have piqued me, and I felt a fluttering of curiosity in my heart.	In short, to be open with you, as I would be with God, before whom concealment is impossible, the perfect loyalty with which he had kept his oath may have piqued me, and I felt a fluttering of curiosity in my heart.	false	721.01	733.81	20
22_121148_000024_000008	Bitterly ashamed, I struggled with myself.	Bitterly ashamed, I struggled with myself.	true	734.51	737.53	19.452997
22_121148_000024_000009	Alas! when pride is the only motive for resistance, excuses for capitulation are soon found.	Alas! when pride is the only motive for resistance, excuses for capitulation are soon found.	true	737.75	743.65	19
22_121148_000025_000000	We celebrated our union in secret, and secret it must remain between us. When you are married you will approve this reserve.	We celebrated our union in secret, and secret it must remain between us. When you are married you will approve this reserve.	true	744.71	752.05	20.152683
22_121148_000025_000001	Enough that nothing was lacking either of satisfaction for the most fastidious sentiment, or of that unexpectedness which brings, in a sense, its own sanction.	Enough that nothing was lacking either of satisfaction for the most fastidious sentiment, or of that unexpectedness which brings, in a sense, its own sanction.	true	752.33	761.77	18
22_121148_000025_000002	Every witchery of imagination, of passion, of reluctance overcome, of the ideal passing into reality, played its part.	Every witchery of imagination, of passion, of reluctance overcome, of the ideal passing into reality, played its part.	true	762.23	770.65	19.705885
22_121148_000026_000000	Yet, in spite of all this enchantment, I once more stood out for my complete independence.	Yet, in spite of all this enchantment, I once more stood out for my complete independence.	true	771.32	776.8	21.286297
22_121148_000026_000001	I can't tell you all my reasons for this.	I can't tell you all my reasons for this.	true	777.05	779.32	15
22_121148_000026_000002	To you alone shall I confide even as much as this.	To you alone shall I confide even as much as this.	true	779.6	782.8	15
22_121148_000026_000003	I believe that women, whether passionately loved or not, lose much in their relation with their husbands by not concealing their feelings about marriage and the way they look at it.	I believe that women, whether passionately loved or not, lose much in their relation with their husbands by not concealing their feelings about marriage and the way they look at it.	true	783.17	792.4	17
22_121148_000027_000000	My one joy, and it is supreme, springs from the certainty of having brought new life to my husband before I have borne him any children. Louis has regained his youth, strength, and spirits.	My one joy, and it is supreme, springs from the certainty of having brought new life to my husband before I have borne him any children. Louis has regained his youth, strength, and spirits.	true	793.28	804.73	20.278376
22_121148_000027_000001	He is not the same man.	He is not the same man.	true	805.16	806.86	21
22_121148_000027_000002	With magic touch I have effaced the very memory of his sufferings. It is a complete metamorphosis.	With magic touch I have effaced the very memory of his sufferings. It is a complete metamorphosis.	true	807.14	813.63	20
22_121148_000027_000003	Louis is really very attractive now. Feeling sure of my affection, he throws off his reserve and displays unsuspected gifts.	Louis is really very attractive now. Feeling sure of my affection, he throws off his reserve and displays unsuspected gifts.	false	813.63	822.1	20.400068
22_121148_000028_000000	To be the unceasing spring of happiness for a man who knows it and adds gratitude to love, ah! dear one, this is a conviction which fortifies the soul, even more than the most passionate love can do.	To be the unceasing spring of happiness for a man who knows it and adds gratitude to love, ah! dear one, this is a conviction which fortifies the soul, even more than the most passionate love can do.	true	823.1	834.97	17
22_121148_000028_000001	The force thus developed--at once impetuous and enduring, simple and diversified--brings forth ultimately the family, that noble product of womanhood, which I realize now in all its animating beauty.	The force thus developed-at once impetuous and enduring, simple and diversified-brings forth ultimately the family, that noble product of womanhood, which I realize now in all its animating beauty.	true	835.73	847.93	19.844337
22_121148_000029_000000	The old father has ceased to be a miser.	The old father has ceased to be a miser.	true	848.78	851.14	18.967308
22_121148_000029_000001	He gives blindly whatever I wish for.	He gives blindly whatever I wish for.	true	851.39	853.96	18
22_121148_000029_000002	The servants are content; it seems as though the bliss of Louis had let a flood of sunshine into the household, where love has made me queen.	The servants are content; it seems as though the bliss of Louis had let a flood of sunshine into the household, where love has made me queen.	false	854.3	862.87	18.839725
22_121148_000029_000003	Even the old man would not be a blot upon my pretty home, and has brought himself into line with all my improvements; to please me he has adopted the dress, and with the dress, the manners of the day.	Even the old man would not be a blot upon my pretty home, and has brought himself into line with all my improvements; to please me he has adopted the dress, and with the dress, the manners of the day.	true	863.54	875.44	18
22_121148_000030_000000	We have English horses, a coupe, a barouche, and a tilbury.	We have English horses, a coupe, a barouche, and a tilbury.	true	876.44	880.48	21
22_121148_000030_000001	The livery of our servants is simple but in good taste.	The livery of our servants is simple but in good taste.	true	880.91	884.05	17
22_121148_000030_000002	Of course we are looked on as spendthrifts.	Of course we are looked on as spendthrifts.	true	884.51	886.87	17
22_121148_000030_000003	I apply all my intellect (I am speaking quite seriously) to managing my household with economy, and obtaining for it the maximum of pleasure with the minimum of cost.	I apply all my intellect (I am speaking quite seriously) to managing my household with economy, and obtaining for it the maximum of pleasure with the minimum of cost.	true	887.21	897.73	21.861658
22_121148_000031_000000	I have already convinced Louis of the necessity of getting roads made, in order that he may earn the reputation of a man interested in the welfare of his district.	I have already convinced Louis of the necessity of getting roads made, in order that he may earn the reputation of a man interested in the welfare of his district.	false	898.52	906.85	17
22_121148_000031_000001	I insist too on his studying a great deal. Before long I hope to see him a member of the Council General of the Department, through the influence of my family and his mother's.	I insist too on his studying a great deal. Before long I hope to see him a member of the Council General of the Department, through the influence of my family and his mother's.	true	907.34	917.38	20
22_121148_000031_000002	I have told him plainly that I am ambitious, and that I was very well pleased his father should continue to look after the estate and practise economies, because I wished him to devote himself exclusively to politics.	I have told him plainly that I am ambitious, and that I was very well pleased his father should continue to look after the estate and practise economies, because I wished him to devote himself exclusively to politics.	true	917.96	930.22	20
22_121148_000031_000003	If we had children, I should like to see them all prosperous and with good State appointments.	If we had children, I should like to see them all prosperous and with good State appointments.	true	930.68	935.5	19
22_121148_000031_000004	Under penalty, therefore, of forfeiting my esteem and affection, he must get himself chosen deputy for the department at the coming elections; my family would support his candidature, and we should then have the delight of spending all our winters in Paris.	Under penalty, therefore, of forfeiting my esteem and affection, he must get himself chosen deputy for the department at the coming elections; my family would support his candidature, and we should then have the delight of spending all our winters in Paris.	true	935.99	951.07	20
22_121148_000031_000005	Ah! my love, by the ardor with which he embraced my plans, I can gauge the depth of his affection.	Ah! my love, by the ardor with which he embraced my plans, I can gauge the depth of his affection.	true	951.68	957.28	19
22_121148_000032_000000	To conclude here is a letter he wrote me yesterday from Marseilles, where he had gone to spend a few hours:	To conclude here is a letter he wrote me yesterday from Marseilles, where he had gone to spend a few hours:	true	958.16	964.39	17
22_121148_000033_000000	"MY SWEET RENEE,--When you gave me permission to love you, I began to believe in happiness; now, I see it unfolding endlessly before me.	"MY SWEET RENEE,--When you gave me permission to love you, I began to believe in happiness; now, I see it unfolding endlessly before me.	true	964.7	974.35	21.036808
22_121148_000033_000001	The past is merely a dim memory, a shadowy background, without which my present bliss would show less radiant.	The past is merely a dim memory, a shadowy background, without which my present bliss would show less radiant.	true	974.72	981.28	18
22_121148_000033_000002	When I am with you, love so transports me that I am powerless to express the depth of my affection; I can but worship and admire.	When I am with you, love so transports me that I am powerless to express the depth of my affection; I can but worship and admire.	true	981.77	990.49	20.560272
22_121148_000033_000003	Only at a distance does the power of speech return.	Only at a distance does the power of speech return.	true	990.89	994.06	19
22_121148_000033_000004	You are supremely beautiful, Renee, and your beauty is of the statuesque and regal type, on which time leaves but little impression.	You are supremely beautiful, Renee, and your beauty is of the statuesque and regal type, on which time leaves but little impression.	true	994.4	1002.04	17
22_121148_000033_000005	No doubt the love of husband and wife depends less on outward beauty than on graces of character, which are yours also in perfection; still, let me say that the certainty of having your unchanging beauty, on which to feast my eyes, gives me a joy that grows with every glance.	No doubt the love of husband and wife depends less on outward beauty than on graces of character, which are yours also in perfection; still, let me say that the certainty of having your unchanging beauty, on which to feast my eyes, gives me a joy that grows with every glance.	true	1002.56	1019.35	20
22_121148_000033_000006	There is a grace and dignity in the lines of your face, expressive of the noble soul within, and breathing of purity beneath the vivid coloring.	There is a grace and dignity in the lines of your face, expressive of the noble soul within, and breathing of purity beneath the vivid coloring.	true	1019.72	1028.65	20.082794
22_121148_000033_000007	The brilliance of your dark eyes, the bold sweep of your forehead, declare a spirit of no common elevation, sound and trustworthy in every relation, and well braced to meet the storms of life, should such arise.	The brilliance of your dark eyes, the bold sweep of your forehead, declare a spirit of no common elevation, sound and trustworthy in every relation, and well braced to meet the storms of life, should such arise.	true	1029.35	1042.36	19
22_121148_000033_000008	The keynote of your character is its freedom from all pettiness.	The keynote of your character is its freedom from all pettiness.	true	1043.03	1046.53	17
22_121148_000033_000009	You do not need to be told all this; but I write it because I would have you know that I appreciate the treasure I possess.	You do not need to be told all this; but I write it because I would have you know that I appreciate the treasure I possess.	false	1046.93	1053.46	18
22_121148_000033_000010	Your favors to me, however slight, will always make my happiness in the far-distant future as now; for I am sensible how much dignity there is in our promise to respect each other's liberty.	Your favors to me, however slight, will always make my happiness in the far distant future as now; for I am sensible how much dignity there is in our promise to respect each other's liberty.	true	1054.13	1065.91	18.980122
22_121148_000033_000011	Our own impulse shall with us alone dictate the expression of feeling.	Our own impulse shall with us alone dictate the expression of feeling.	true	1066.4	1070.56	21
22_121148_000033_000012	We shall be free even in our fetters.	We shall be free even in our fetters.	true	1071.05	1073.47	16
22_121148_000033_000013	I shall have the more pride in wooing you again now that I know the reward you place on victory.	I shall have the more pride in wooing you again now that I know the reward you place on victory.	true	1073.93	1079.2	18
22_121148_000033_000014	You cannot speak, breathe, act, or think, without adding to the admiration I feel for your charm both of body and mind.	You cannot speak, breathe, act, or think, without adding to the admiration I feel for your charm both of body and mind.	true	1079.6	1087.66	21.620428
22_121148_000033_000015	There is in you a rare combination of the ideal, the practical, and the bewitching which satisfies alike judgment, a husband's pride, desire, and hope, and which extends the boundaries of love beyond those of life itself. Oh! my loved one, may the genius of love remain faithful to me, and the future be full of those delights by means of which you have glorified all that surrounds me!	There is in you a rare combination of the ideal, the practical, and the bewitching which satisfies alike judgment, a husband's pride, desire, and hope, and which extends the boundaries of love beyond those of life itself. Oh! my loved one, may the genius of love remain faithful to me, and the future be full of those delights by means of which you have glorified all that surrounds me!	true	1088.18	1112.44	19.606724
