781_126737_000000_000000	CHAPTER VIII	CHAPTER eight	true	20.625	21.82	20.044147
781_126737_000014_000002	The delicacy guiding her choice to the least valuable and most dilapidated articles passed unacknowledged, because Winnie's philosophy consisted in not taking notice of the inside of facts; she assumed that mother took what suited her best.	The delicacy guiding her choice to the least valuable and most dilapidated articles passed unacknowledged, because Winnie's philosophy consisted in not taking notice of the inside of facts; she assumed that mother took what suited her best.	true	371.93	389.65	19.11492
781_126737_000014_000003	As to Mr Verloc, his intense meditation, like a sort of Chinese wall, isolated him completely from the phenomena of this world of vain effort and illusory appearances.	As to Mr Verloc, his intense meditation, like a sort of Chinese wall, isolated him completely from the phenomena of this world of vain effort and illusory appearances.	true	391.1	404.38	18.474152
781_126737_000015_000000	Her selection made, the disposal of the rest became a perplexing question in a particular way.	Her selection made, the disposal of the rest became a perplexing question in a particular way.	true	405.59	412.18	19.004032
781_126737_000015_000001	She was leaving it in Brett Street, of course.	She was leaving it in Brett Street, of course.	true	412.82	415.545	21
781_126737_000015_000002	But she had two children.	But she had two children.	true	415.545	417.19	18.813387
781_126737_000015_000003	Winnie was provided for by her sensible union with that excellent husband, Mr Verloc.	Winnie was provided for by her sensible union with that excellent husband, Mr Verloc.	true	417.98	423.82	17.67192
781_126737_000015_000004	Stevie was destitute--and a little peculiar.	Stevie was destitute-and a little peculiar.	true	424.43	427.81	19.411789
781_126737_000015_000005	His position had to be considered before the claims of legal justice and even the promptings of partiality.	His position had to be considered before the claims of legal justice and even the promptings of partiality.	true	428.27	435.58	17
781_126737_000015_000006	The possession of the furniture would not be in any sense a provision.	The possession of the furniture would not be in any sense a provision.	true	436.73	441.04	16
781_126737_000015_000007	He ought to have it--the poor boy.	He ought to have it-the poor boy.	true	441.11	443.56	19.705908
781_126737_000015_000008	But to give it to him would be like tampering with his position of complete dependence.	But to give it to him would be like tampering with his position of complete dependence.	true	444.26	449.44	17
781_126737_000015_000009	It was a sort of claim which she feared to weaken.	It was a sort of claim which she feared to weaken.	true	450.05	453.49	19.146645
781_126737_000015_000010	Moreover, the susceptibilities of Mr Verloc would perhaps not brook being beholden to his brother-in-law for the chairs he sat on.	Moreover, the susceptibilities of Mr Verloc would perhaps not brook being beholden to his brother in law for the chairs he sat on.	true	454.31	464.23	19.454193
781_126737_000015_000011	In a long experience of gentlemen lodgers, Mrs Verloc's mother had acquired a dismal but resigned notion of the fantastic side of human nature.	In a long experience of gentlemen lodgers, Mrs Verloc's mother had acquired a dismal but resigned notion of the fantastic side of human nature.	true	465.14	474.7	15
781_126737_000015_000012	What if Mr Verloc suddenly took it into his head to tell Stevie to take his blessed sticks somewhere out of that?	What if Mr Verloc suddenly took it into his head to tell Stevie to take his blessed sticks somewhere out of that?	true	475.7	483.85	20
781_126737_000015_000013	A division, on the other hand, however carefully made, might give some cause of offence to Winnie.	A division, on the other hand, however carefully made, might give some cause of offence to Winnie.	true	484.82	491.65	18.96195
781_126737_000015_000014	No, Stevie must remain destitute and dependent.	No, Stevie must remain destitute and dependent.	true	491.87	496.24	19.324999
781_126737_000015_000015	And at the moment of leaving Brett Street she had said to her daughter: "No use waiting till I am dead, is there?	And at the moment of leaving Brett Street she had said to her daughter: "No use waiting till I am dead, is there?	true	497.15	503.38	18.943073
781_126737_000015_000016	Everything I leave here is altogether your own now, my dear."	Everything I leave here is altogether your own now, my dear."	true	503.45	507.19	13
781_126737_000016_000000	Winnie, with her hat on, silent behind her mother's back, went on arranging the collar of the old woman's cloak.	Winnie, with her hat on, silent behind her mother's back, went on arranging the collar of the old woman's cloak.	true	508.88	516.73	18.043646
781_126737_000016_000001	She got her hand-bag, an umbrella, with an impassive face.	She got her hand bag, an umbrella, with an impassive face.	true	517.07	520.9	18
781_126737_000016_000002	The time had come for the expenditure of the sum of three-and-sixpence on what might well be supposed the last cab drive of Mrs Verloc's mother's life.	The time had come for the expenditure of the sum of three and sixpence on what might well be supposed the last cab drive of Mrs Verloc's mother's life.	false	521.42	532.6	19.600264
781_126737_000016_000003	They went out at the shop door.	They went out at the shop door.	true	532.7	534.91	21.219233
781_126737_000017_000000	The conveyance awaiting them would have illustrated the proverb that "truth can be more cruel than caricature," if such a proverb existed. Crawling behind an infirm horse, a metropolitan hackney carriage drew up on wobbly wheels and with a maimed driver on the box.	The conveyance awaiting them would have illustrated the proverb that "truth can be more cruel than caricature," if such a proverb existed. Crawling behind an infirm horse, a metropolitan hackney carriage drew up on wobbly wheels and with a maimed driver on the box.	true	536.48	555.88	18.505926
781_126737_000017_000001	This last peculiarity caused some embarrassment.	This last peculiarity caused some embarrassment.	true	556.7	560.23	21.454187
781_126737_000017_000002	Catching sight of a hooked iron contrivance protruding from the left sleeve of the man's coat, Mrs Verloc's mother lost suddenly the heroic courage of these days.	Catching sight of a hooked iron contrivance protruding from the left sleeve of the man's coat, Mrs Verloc's mother lost suddenly the heroic courage of these days.	true	560.72	573.01	19.782713
781_126737_000017_000003	She really couldn't trust herself.	She really couldn't trust herself.	true	573.38	575.77	20.062263
781_126737_000017_000004	"What do you think, Winnie?"	"What do you think, Winnie?"	true	576.59	578.04	18.70968
781_126737_000017_000005	She hung back.	She hung back.	true	578.04	579.25	18.016716
781_126737_000017_000006	The passionate expostulations of the big-faced cabman seemed to be squeezed out of a blocked throat.	The passionate expostulations of the big faced cabman seemed to be squeezed out of a blocked throat.	true	579.5	588.04	21.176485
781_126737_000017_000007	Leaning over from his box, he whispered with mysterious indignation.	Leaning over from his box, he whispered with mysterious indignation.	true	588.65	593.5	19
781_126737_000017_000008	What was the matter now?	What was the matter now?	true	593.75	595.3	19
781_126737_000017_000009	Was it possible to treat a man so?	Was it possible to treat a man so?	true	595.58	597.94	18
781_126737_000017_000010	His enormous and unwashed countenance flamed red in the muddy stretch of the street.	His enormous and unwashed countenance flamed red in the muddy stretch of the street.	true	598.67	605.17	18.621813
781_126737_000017_000011	Was it likely they would have given him a licence, he inquired desperately, if--	Was it likely they would have given him a licence, he inquired desperately, if-	true	605.48	610	17
781_126737_000018_000000	The police constable of the locality quieted him by a friendly glance; then addressing himself to the two women without marked consideration, said:	The police constable of the locality quieted him by a friendly glance; then addressing himself to the two women without marked consideration, said:	true	610.7	620.71	18.372686
781_126737_000019_000000	"He's been driving a cab for twenty years.	"He's been driving a cab for twenty years.	true	620.99	623.655	19
781_126737_000019_000001	I never knew him to have an accident."	I never knew him to have an accident."	true	623.655	626.47	19.45821
781_126737_000020_000000	"Accident!" shouted the driver in a scornful whisper.	"Accident!" shouted the driver in a scornful whisper.	true	626.87	630.31	17
781_126737_000021_000000	The policeman's testimony settled it.	The policeman's testimony settled it.	true	631.19	633.73	20.225386
781_126737_000021_000001	The modest assemblage of seven people, mostly under age, dispersed.	The modest assemblage of seven people, mostly under age, dispersed.	true	633.89	638.68	19.421463
781_126737_000021_000002	Winnie followed her mother into the cab.	Winnie followed her mother into the cab.	true	640.01	642.61	18.935677
781_126737_000021_000003	Stevie climbed on the box.	Stevie climbed on the box.	true	642.62	644.86	20.753757
781_126737_000021_000004	His vacant mouth and distressed eyes depicted the state of his mind in regard to the transactions which were taking place.	His vacant mouth and distressed eyes depicted the state of his mind in regard to the transactions which were taking place.	true	645.05	653.29	17
781_126737_000021_000005	In the narrow streets the progress of the journey was made sensible to those within by the near fronts of the houses gliding past slowly and shakily, with a great rattle and jingling of glass, as if about to collapse behind the cab; and the infirm horse, with the harness hung over his sharp backbone flapping very loose about his thighs, appeared to be dancing mincingly on his toes with infinite patience. Later on, in the wider space of Whitehall, all visual evidences of motion became imperceptible.	In the narrow streets the progress of the journey was made sensible to those within by the near fronts of the houses gliding past slowly and shakily, with a great rattle and jingling of glass, as if about to collapse behind the cab; and the infirm horse, with the harness hung over his sharp backbone flapping very loose about his thighs, appeared to be dancing mincingly on his toes with infinite patience. Later on, in the wider space of Whitehall, all visual evidences of motion became imperceptible.	true	653.87	693.67	17.739634
781_126737_000021_000006	The rattle and jingle of glass went on indefinitely in front of the long Treasury building--and time itself seemed to stand still.	The rattle and jingle of glass went on indefinitely in front of the long Treasury building-and time itself seemed to stand still.	true	694.46	704.77	17.595533
781_126737_000022_000000	At last Winnie observed: "This isn't a very good horse."	At last Winnie observed: "This isn't a very good horse."	true	706.04	710.14	18.207222
781_126737_000023_000000	Her eyes gleamed in the shadow of the cab straight ahead, immovable.	Her eyes gleamed in the shadow of the cab straight ahead, immovable.	true	710.87	715.33	16.070751
781_126737_000023_000001	On the box, Stevie shut his vacant mouth first, in order to ejaculate earnestly: "Don't."	On the box, Stevie shut his vacant mouth first, in order to ejaculate earnestly: "Don't."	true	715.52	722.59	19.011765
781_126737_000024_000000	The driver, holding high the reins twisted around the hook, took no notice.	The driver, holding high the reins twisted around the hook, took no notice.	true	724.82	729.55	17.294127
781_126737_000024_000001	Perhaps he had not heard.	Perhaps he had not heard.	true	729.62	731.325	19.514444
781_126737_000024_000002	Stevie's breast heaved.	Stevie's breast heaved.	true	731.325	733.18	17.911478
781_126737_000025_000000	"Don't whip."	"Don't whip."	true	733.28	734.38	24.56624
781_126737_000026_000000	The man turned slowly his bloated and sodden face of many colours bristling with white hairs.	The man turned slowly his bloated and sodden face of many colours bristling with white hairs.	true	735.38	742.3	16
781_126737_000026_000001	His little red eyes glistened with moisture. His big lips had a violet tint.	His little red eyes glistened with moisture. His big lips had a violet tint.	true	742.58	748.72	17.92997
781_126737_000026_000002	They remained closed.	They remained closed.	true	749.42	751.12	20.118206
781_126737_000026_000003	With the dirty back of his whip-hand he rubbed the stubble sprouting on his enormous chin.	With the dirty back of his whip hand he rubbed the stubble sprouting on his enormous chin.	false	751.16	757.03	18
781_126737_000027_000000	"You mustn't," stammered out Stevie violently.	"You mustn't," stammered out Stevie violently.	true	757.76	761.23	20
781_126737_000027_000001	"It hurts."	"It hurts."	true	761.3	762.31	19.155518
781_126737_000028_000000	"Mustn't whip," queried the other in a thoughtful whisper, and immediately whipped.	"Mustn't whip," queried the other in a thoughtful whisper, and immediately whipped.	true	763.4	768.58	18.380116
781_126737_000028_000001	He did this, not because his soul was cruel and his heart evil, but because he had to earn his fare.	He did this, not because his soul was cruel and his heart evil, but because he had to earn his fare.	true	768.86	775.63	18.198175
781_126737_000028_000002	And for a time the walls of St Stephen's, with its towers and pinnacles, contemplated in immobility and silence a cab that jingled.	And for a time the walls of saint Stephen's, with its towers and pinnacles, contemplated in immobility and silence a cab that jingled.	true	775.76	786.16	18.264555
781_126737_000028_000003	It rolled too, however.	It rolled too, however.	true	786.41	788.26	18.523802
781_126737_000028_000004	But on the bridge there was a commotion.	But on the bridge there was a commotion.	true	788.27	790.27	16.613985
781_126737_000028_000005	Stevie suddenly proceeded to get down from the box.	Stevie suddenly proceeded to get down from the box.	true	790.34	794.26	18
781_126737_000028_000006	There were shouts on the pavement, people ran forward, the driver pulled up, whispering curses of indignation and astonishment.	There were shouts on the pavement, people ran forward, the driver pulled up, whispering curses of indignation and astonishment.	true	794.48	802.3	19
781_126737_000028_000007	Winnie lowered the window, and put her head out, white as a ghost.	Winnie lowered the window, and put her head out, white as a ghost.	true	802.94	807.04	19.939001
781_126737_000028_000008	In the depths of the cab, her mother was exclaiming, in tones of anguish: "Is that boy hurt?	In the depths of the cab, her mother was exclaiming, in tones of anguish: "Is that boy hurt?	true	808.1	814.275	19.588139
781_126737_000028_000009	Is that boy hurt?"	Is that boy hurt?"	true	814.275	815.56	21.690447
781_126737_000029_000000	Stevie was not hurt, he had not even fallen, but excitement as usual had robbed him of the power of connected speech.	Stevie was not hurt, he had not even fallen, but excitement as usual had robbed him of the power of connected speech.	true	817.19	825.25	18.078081
781_126737_000029_000001	He could do no more than stammer at the window.	He could do no more than stammer at the window.	true	825.32	828.015	17
781_126737_000029_000002	"Too heavy.	"Too heavy.	true	828.015	828.78	13
781_126737_000029_000003	Too heavy." Winnie put out her hand on to his shoulder.	Too heavy." Winnie put out her hand on to his shoulder.	true	828.78	833.1	18.18822
781_126737_000030_000000	"Stevie!	"Stevie!	true	833.1	833.97	20.484608
781_126737_000030_000001	Get up on the box directly, and don't try to get down again."	Get up on the box directly, and don't try to get down again."	true	833.97	838.12	15
781_126737_000031_000000	"No.	"no	true	838.58	839.34	21.379814
781_126737_000031_000001	No. Walk.	no Walk.	true	839.34	840.45	23.165945
781_126737_000031_000002	Must walk."	Must walk."	true	840.45	841.45	23.126528
781_126737_000032_000000	In trying to state the nature of that necessity he stammered himself into utter incoherence.	In trying to state the nature of that necessity he stammered himself into utter incoherence.	false	842.54	848.77	15
781_126737_000032_000001	No physical impossibility stood in the way of his whim.	No physical impossibility stood in the way of his whim.	true	849.17	853.15	16
781_126737_000032_000002	Stevie could have managed easily to keep pace with the infirm, dancing horse without getting out of breath.	Stevie could have managed easily to keep pace with the infirm, dancing horse without getting out of breath.	false	853.55	861.01	17.42801
781_126737_000032_000003	But his sister withheld her consent decisively.	But his sister withheld her consent decisively.	true	861.02	864.85	17
781_126737_000032_000004	"The idea!	"The idea!	true	865.1	866.31	20.838171
781_126737_000032_000005	Whoever heard of such a thing!	Whoever heard of such a thing!	true	866.31	868.35	17.831608
781_126737_000032_000006	Run after a cab!" Her mother, frightened and helpless in the depths of the conveyance, entreated: "Oh, don't let him, Winnie.	Run after a cab!" Her mother, frightened and helpless in the depths of the conveyance, entreated: "Oh, don't let him, Winnie.	true	868.35	877.005	19.036419
781_126737_000032_000007	He'll get lost. Don't let him."	He'll get lost. Don't let him."	true	877.005	878.8	17.616245
781_126737_000033_000000	"Certainly not.	"Certainly not.	true	880.31	881.58	18.698288
781_126737_000033_000001	What next!	What next!	true	881.58	882.55	22.030306
781_126737_000033_000002	Mr Verloc will be sorry to hear of this nonsense, Stevie,--I can tell you.	Mr Verloc will be sorry to hear of this nonsense, Stevie,--I can tell you.	true	882.59	887.28	14
781_126737_000033_000003	He won't be happy at all."	He won't be happy at all."	true	887.28	888.91	20.750132
781_126737_000034_000000	The idea of Mr Verloc's grief and unhappiness acting as usual powerfully upon Stevie's fundamentally docile disposition, he abandoned all resistance, and climbed up again on the box, with a face of despair.	The idea of Mr Verloc's grief and unhappiness acting as usual powerfully upon Stevie's fundamentally docile disposition, he abandoned all resistance, and climbed up again on the box, with a face of despair.	true	890.51	907.3	18.484533
781_126737_000035_000000	The cabby turned at him his enormous and inflamed countenance truculently.	The cabby turned at him his enormous and inflamed countenance truculently.	false	908.69	914.19	18.138506
781_126737_000035_000001	"Don't you go for trying this silly game again, young fellow."	"Don't you go for trying this silly game again, young fellow."	true	914.19	917.74	14
781_126737_000036_000000	After delivering himself thus in a stern whisper, strained almost to extinction, he drove on, ruminating solemnly.	After delivering himself thus in a stern whisper, strained almost to extinction, he drove on, ruminating solemnly.	true	918.86	927.55	18
781_126737_000036_000001	To his mind the incident remained somewhat obscure.	To his mind the incident remained somewhat obscure.	true	928.19	931.99	15
781_126737_000036_000002	But his intellect, though it had lost its pristine vivacity in the benumbing years of sedentary exposure to the weather, lacked not independence or sanity.	But his intellect, though it had lost its pristine vivacity in the benumbing years of sedentary exposure to the weather, lacked not independence or sanity.	true	932.3	944.17	17
781_126737_000036_000003	Gravely he dismissed the hypothesis of Stevie being a drunken young nipper.	Gravely he dismissed the hypothesis of Stevie being a drunken young nipper.	true	944.6	950.14	16
781_126737_000037_000000	Inside the cab the spell of silence, in which the two women had endured shoulder to shoulder the jolting, rattling, and jingling of the journey, had been broken by Stevie's outbreak.	Inside the cab the spell of silence, in which the two women had endured shoulder to shoulder the jolting, rattling, and jingling of the journey, had been broken by Stevie's outbreak.	true	951.59	964.18	17
781_126737_000037_000001	Winnie raised her voice.	Winnie raised her voice.	true	964.4	966.13	18.453527
781_126737_000038_000000	"You've done what you wanted, mother.	"You've done what you wanted, mother.	true	966.74	968.62	19.760138
781_126737_000038_000001	You'll have only yourself to thank for it if you aren't happy afterwards.	You'll have only yourself to thank for it if you aren't happy afterwards.	true	968.87	973.02	17
781_126737_000038_000002	And I don't think you'll be. That I don't.	And I don't think you'll be. That I don't.	true	973.02	975.88	21.532446
781_126737_000038_000003	Weren't you comfortable enough in the house?	Weren't you comfortable enough in the house?	true	976.04	978.49	18.910841
781_126737_000038_000004	Whatever people'll think of us--you throwing yourself like this on a Charity?"	Whatever people'll think of us-you throwing yourself like this on a Charity?"	false	978.77	983.47	19.978075
781_126737_000039_000000	"My dear," screamed the old woman earnestly above the noise, "you've been the best of daughters to me.	"My dear," screamed the old woman earnestly above the noise, "you've been the best of daughters to me.	true	984.47	991.24	20
781_126737_000039_000001	As to Mr Verloc--there--"	As to Mr Verloc-there-"	true	991.28	993.58	22.31771
781_126737_000040_000000	Words failing her on the subject of Mr Verloc's excellence, she turned her old tearful eyes to the roof of the cab.	Words failing her on the subject of Mr Verloc's excellence, she turned her old tearful eyes to the roof of the cab.	true	994.82	1003.11	16
781_126737_000040_000001	Then she averted her head on the pretence of looking out of the window, as if to judge of their progress.	Then she averted her head on the pretence of looking out of the window, as if to judge of their progress.	false	1003.11	1010.56	17.228765
781_126737_000040_000002	It was insignificant, and went on close to the curbstone. Night, the early dirty night, the sinister, noisy, hopeless and rowdy night of South London, had overtaken her on her last cab drive.	It was insignificant, and went on close to the curbstone. Night, the early dirty night, the sinister, noisy, hopeless and rowdy night of South London, had overtaken her on her last cab drive.	true	1011.65	1027.15	18.46959
781_126737_000040_000003	In the gas-light of the low-fronted shops her big cheeks glowed with an orange hue under a black and mauve bonnet.	In the gas light of the low fronted shops her big cheeks glowed with an orange hue under a black and mauve bonnet.	true	1027.46	1036.72	18.623026
781_126737_000041_000000	Mrs Verloc's mother's complexion had become yellow by the effect of age and from a natural predisposition to biliousness, favoured by the trials of a difficult and worried existence, first as wife, then as widow.	Mrs Verloc's mother's complexion had become yellow by the effect of age and from a natural predisposition to biliousness, favoured by the trials of a difficult and worried existence, first as wife, then as widow.	true	1038.41	1055.56	18.70704
781_126737_000041_000001	It was a complexion, that under the influence of a blush would take on an orange tint.	It was a complexion, that under the influence of a blush would take on an orange tint.	true	1056.05	1062.13	20
781_126737_000041_000002	And this woman, modest indeed but hardened in the fires of adversity, of an age, moreover, when blushes are not expected, had positively blushed before her daughter.	And this woman, modest indeed but hardened in the fires of adversity, of an age, moreover, when blushes are not expected, had positively blushed before her daughter.	true	1062.13	1074.76	19.142136
781_126737_000041_000003	In the privacy of a four-wheeler, on her way to a charity cottage (one of a row) which by the exiguity of its dimensions and the simplicity of its accommodation, might well have been devised in kindness as a place of training for the still more straitened circumstances of the grave, she was forced to hid from her own child a blush of remorse and shame.	In the privacy of a four wheeler, on her way to a charity cottage (one of a row) which by the exiguity of its dimensions and the simplicity of its accommodation, might well have been devised in kindness as a place of training for the still more straitened circumstances of the grave, she was forced to hid from her own child a blush of remorse and shame.	false	1075.46	1101.79	17.80757
781_126737_000042_000000	Whatever people will think?	Whatever people will think?	true	1103.33	1105.36	19.491428
781_126737_000042_000001	She knew very well what they did think, the people Winnie had in her mind--the old friends of her husband, and others too, whose interest she had solicited with such flattering success.	She knew very well what they did think, the people Winnie had in her mind-the old friends of her husband, and others too, whose interest she had solicited with such flattering success.	true	1105.52	1117.87	18.632502
781_126737_000042_000002	She had not known before what a good beggar she could be.	She had not known before what a good beggar she could be.	true	1118.48	1121.8	16
781_126737_000042_000003	But she guessed very well what inference was drawn from her application.	But she guessed very well what inference was drawn from her application.	true	1121.9	1126.87	19.395073
781_126737_000042_000004	On account of that shrinking delicacy, which exists side by side with aggressive brutality in masculine nature, the inquiries into her circumstances had not been pushed very far.	On account of that shrinking delicacy, which exists side by side with aggressive brutality in masculine nature, the inquiries into her circumstances had not been pushed very far.	true	1127.6	1140.37	15
781_126737_000042_000005	She had checked them by a visible compression of the lips and some display of an emotion determined to be eloquently silent.	She had checked them by a visible compression of the lips and some display of an emotion determined to be eloquently silent.	true	1140.68	1149.4	17
781_126737_000042_000006	And the men would become suddenly incurious, after the manner of their kind.	And the men would become suddenly incurious, after the manner of their kind.	true	1150.13	1155.25	18.51772
