2769_176256_000000_000000	CHAPTER XXXVII	CHAPTER thirty seven
2769_176256_000045_000000	'What's the idiot mean!--with his old gent!	'What's the idiot mean!--with his old gent!
2769_176256_000045_000001	I'd old gent him if I got him!--There's not a creature about the place!'	I'd old gent him if I got him!--There's not a creature about the place!'
2769_176256_000046_000000	He returned into the front room,--I at his heels.	He returned into the front room,--I at his heels.
2769_176256_000046_000001	That certainly was empty,--and not only empty, but it showed no traces of recent occupation.	That certainly was empty,--and not only empty, but it showed no traces of recent occupation.
2769_176256_000046_000002	The dust lay thick upon the floor,--there was that mouldy, earthy smell which is so frequently found in apartments which have been long untenanted.	The dust lay thick upon the floor,--there was that mouldy, earthy smell which is so frequently found in apartments which have been long untenanted.
2769_176256_000047_000000	'Are you sure, Atherton, that there is no one at the back?'	'Are you sure, Atherton, that there is no one at the back?'
2769_176256_000048_000001	Jehu's drunk.' Throwing up the sash he addressed the driver.	Jehu's drunk.' Throwing up the sash he addressed the driver.
2769_176256_000048_000002	'What do you mean with your old gent at the window?--what window?'	'What do you mean with your old gent at the window?--what window?'
2769_176256_000049_000000	'That window, sir.'	'That window, sir.'
2769_176256_000050_000000	'Go to!--you're dreaming, man!--there's no one here.'	'Go to!--you're dreaming, man!--there's no one here.'
2769_176256_000051_000000	'Begging your pardon, sir, but there was someone there not a minute ago.'	'Begging your pardon, sir, but there was someone there not a minute ago.'
2769_176256_000053_000001	I saw him peeping through that bottom broken pane on your left hand as plainly as I see you.	I saw him peeping through that bottom broken pane on your left hand as plainly as I see you.
2769_176256_000053_000002	He must be somewhere about,--he can't have got away,--he's at the back.	He must be somewhere about,--he can't have got away,--he's at the back.
2769_176256_000053_000003	Ain't there a cupboard nor nothing where he could hide?'	Ain't there a cupboard nor nothing where he could hide?'
2769_176256_000054_000000	The cabman's manner was so extremely earnest that I went myself to see.	The cabman's manner was so extremely earnest that I went myself to see.
2769_176256_000054_000002	The room behind was small, and, despite the splintered glass in the window frame, stuffy.	The room behind was small, and, despite the splintered glass in the window frame, stuffy.
2769_176256_000054_000003	Fragments of glass kept company with the dust on the floor, together with a choice collection of stones, brickbats, and other missiles,--which not improbably were the cause of their being there.	Fragments of glass kept company with the dust on the floor, together with a choice collection of stones, brickbats, and other missiles,--which not improbably were the cause of their being there.
2769_176256_000054_000004	In the corner stood a cupboard,--but a momentary examination showed that that was as bare as the other.	In the corner stood a cupboard,--but a momentary examination showed that that was as bare as the other.
2769_176256_000054_000005	The door at the side, which Sydney had left wide open, opened on to a closet, and that was empty.	The door at the side, which Sydney had left wide open, opened on to a closet, and that was empty.
2769_176256_000054_000006	I glanced up,--there was no trap door which led to the roof.	I glanced up,--there was no trap door which led to the roof.
2769_176256_000054_000007	No practicable nook or cranny, in which a living being could lie concealed, was anywhere at hand.	No practicable nook or cranny, in which a living being could lie concealed, was anywhere at hand.
2769_176256_000055_000000	I returned to Sydney's shoulder to tell the cabman so.	I returned to Sydney's shoulder to tell the cabman so.
2769_176256_000056_000000	'There is no place in which anyone could hide, and there is no one in either of the rooms,--you must have been mistaken, driver.'	'There is no place in which anyone could hide, and there is no one in either of the rooms,--you must have been mistaken, driver.'
2769_176256_000057_000000	The man waxed wroth.	The man waxed wroth.
2769_176256_000058_000000	'Don't tell me!	'Don't tell me!
2769_176256_000058_000001	How could I come to think I saw something when I didn't?'	How could I come to think I saw something when I didn't?'
2769_176256_000059_000000	'One's eyes are apt to play us tricks;--how could you see what wasn't there?'	'One's eyes are apt to play us tricks;--how could you see what wasn't there?'
2769_176256_000060_000000	'That's what I want to know.	'That's what I want to know.
2769_176256_000060_000004	When the gentleman took to knocking, back he came,--to the same old spot, and flopped down on his knees.	When the gentleman took to knocking, back he came,--to the same old spot, and flopped down on his knees.
2769_176256_000060_000007	But when you pulls up the blind downstairs, to my surprise back he come once more.	But when you pulls up the blind downstairs, to my surprise back he come once more.
2769_176256_000060_000008	He shoves his old nose right through the smash in the pane, and wags his old head at me like a chattering magpie.	He shoves his old nose right through the smash in the pane, and wags his old head at me like a chattering magpie.
2769_176256_000060_000010	But for you to say that he wasn't there, and never had been,--blimey! that cops the biscuit.	But for you to say that he wasn't there, and never had been,--blimey! that cops the biscuit.
2769_176256_000061_000001	That the man was serious was unmistakable.	That the man was serious was unmistakable.
2769_176256_000061_000002	As he himself suggested, what inducement could he have had to tell a lie like that?	As he himself suggested, what inducement could he have had to tell a lie like that?
2769_176256_000061_000003	That he believed himself to have seen what he declared he saw was plain.	That he believed himself to have seen what he declared he saw was plain.
2769_176256_000061_000004	But, on the other hand, what could have become--in the space of fifty seconds!--of his 'old gent'?	But, on the other hand, what could have become-in the space of fifty seconds!--of his 'old gent'?
2769_176256_000062_000000	Atherton put a question.	Atherton put a question.
2769_176256_000063_000000	'What did he look like,--this old gent of yours?'	'What did he look like,--this old gent of yours?'
2769_176256_000064_000000	'Well, that I shouldn't hardly like to say.	'Well, that I shouldn't hardly like to say.
2769_176256_000064_000001	It wasn't much of his face I could see, only his face and his eyes,--and they wasn't pretty.	It wasn't much of his face I could see, only his face and his eyes,--and they wasn't pretty.
2769_176256_000064_000002	He kept a thing over his head all the time, as if he didn't want too much to be seen.'	He kept a thing over his head all the time, as if he didn't want too much to be seen.'
2769_176256_000066_000000	'Why,--one of them cloak sort of things, like them Arab blokes used to wear what used to be at Earl's Court Exhibition,--you know!'	'Why,--one of them cloak sort of things, like them Arab blokes used to wear what used to be at Earl's Court Exhibition,--you know!'
2769_176256_000067_000000	This piece of information seemed to interest my companions more than anything he had said before.	This piece of information seemed to interest my companions more than anything he had said before.
2769_176256_000068_000000	'A burnoose do you mean?'	'A burnoose do you mean?'
2769_176256_000069_000000	'How am I to know what the thing's called?	'How am I to know what the thing's called?
2769_176256_000070_000000	Mr Lessingham turned to me, all quivering with excitement.	Mr Lessingham turned to me, all quivering with excitement.
2769_176256_000072_000001	It is strange, to say the least of it, that the cabman should be the only person to see or hear anything of him.'	It is strange, to say the least of it, that the cabman should be the only person to see or hear anything of him.'
2769_176256_000073_000000	'Some devil's trick has been played,--I know it, I feel it!--my instinct tells me so!'	'Some devil's trick has been played,--I know it, I feel it!--my instinct tells me so!'
2769_176256_000074_000000	I stared.	I stared.
2769_176256_000075_000000	'By the Lord, I believe the Apostle's right,--the whole place reeks to me of hankey-pankey,--it did as soon as I put my nose inside.	'By the Lord, I believe the Apostle's right,--the whole place reeks to me of hankey pankey,--it did as soon as I put my nose inside.
2769_176256_000075_000001	In matters of prestidigitation, Champnell, we Westerns are among the rudiments,--we've everything to learn,--Orientals leave us at the post.	In matters of prestidigitation, Champnell, we Westerns are among the rudiments,--we've everything to learn,--Orientals leave us at the post.
2769_176256_000076_000000	He moved towards the door.	He moved towards the door.
2769_176256_000077_000000	'Something tripped me up,--what's this?' He was stamping on the floor with his foot.	'Something tripped me up,--what's this?' He was stamping on the floor with his foot.
2769_176256_000077_000001	'Here's a board loose.	'Here's a board loose.
2769_176256_000077_000003	Who knows what mystery's beneath?'	Who knows what mystery's beneath?'
2769_176256_000078_000000	I went to his aid.	I went to his aid.
2769_176256_000078_000002	His stepping on it unawares had caused his stumble.	His stepping on it unawares had caused his stumble.
2769_176256_000078_000003	Together we prised it out of its place,--Lessingham standing by and watching us the while.	Together we prised it out of its place,--Lessingham standing by and watching us the while.
2769_176256_000078_000004	Having removed it, we peered into the cavity it disclosed.	Having removed it, we peered into the cavity it disclosed.
2769_176256_000079_000000	There was something there.	There was something there.
