1446_122614_000000_000000	CHAPTER 23	CHAPTER twenty three	false	0	2.64	21.01359
1446_122614_000007_000003	Duncan soon detected their searching, but stolen, looks which, in truth, scanned his person and attire inch by inch; leaving no emotion of the countenance, no gesture, no line of the paint, nor even the fashion of a garment, unheeded, and without comment.	Duncan soon detected their searching, but stolen, looks which, in truth, scanned his person and attire inch by inch; leaving no emotion of the countenance, no gesture, no line of the paint, nor even the fashion of a garment, unheeded, and without comment.	true	288.86	305.02	21.817287
1446_122614_000008_000000	At length one whose hair was beginning to be sprinkled with gray, but whose sinewy limbs and firm tread announced that he was still equal to the duties of manhood, advanced out of the gloom of a corner, whither he had probably posted himself to make his observations unseen, and spoke.	At length one whose hair was beginning to be sprinkled with gray, but whose sinewy limbs and firm tread announced that he was still equal to the duties of manhood, advanced out of the gloom of a corner, whither he had probably posted himself to make his observations unseen, and spoke.	true	305.72	322.27	21.401989
1446_122614_000008_000001	He used the language of the Wyandots, or Hurons; his words were, consequently, unintelligible to Heyward, though they seemed, by the gestures that accompanied them, to be uttered more in courtesy than anger.	He used the language of the Wyandots, or Hurons; his words were, consequently, unintelligible to Heyward, though they seemed, by the gestures that accompanied them, to be uttered more in courtesy than anger.	true	322.88	334.78	21.059248
1446_122614_000008_000002	The latter shook his head, and made a gesture indicative of his inability to reply.	The latter shook his head, and made a gesture indicative of his inability to reply.	true	335.57	340.21	20.94472
1446_122614_000009_000000	"Do none of my brothers speak the French or the English?" he said, in the former language, looking about him from countenance to countenance, in hopes of finding a nod of assent.	"Do none of my brothers speak the French or the English?" he said, in the former language, looking about him from countenance to countenance, in hopes of finding a nod of assent.	true	340.67	351.31	19.15851
1446_122614_000010_000000	Though more than one had turned, as if to catch the meaning of his words, they remained unanswered.	Though more than one had turned, as if to catch the meaning of his words, they remained unanswered.	true	351.95	357.25	21.03253
1446_122614_000011_000000	"I should be grieved to think," continued Duncan, speaking slowly, and using the simplest French of which he was the master, "to believe that none of this wise and brave nation understand the language that the 'Grand Monarque' uses when he talks to his children.	"I should be grieved to think," continued Duncan, speaking slowly, and using the simplest French of which he was the master, "to believe that none of this wise and brave nation understand the language that the 'Grand Monarque' uses when he talks to his children.	true	357.53	372.73	20.318556
1446_122614_000011_000001	His heart would be heavy did he believe his red warriors paid him so little respect!"	His heart would be heavy did he believe his red warriors paid him so little respect!"	true	373.07	378.28	19.455286
1446_122614_000012_000000	A long and grave pause succeeded, during which no movement of a limb, nor any expression of an eye, betrayed the expression produced by his remark.	A long and grave pause succeeded, during which no movement of a limb, nor any expression of an eye, betrayed the expression produced by his remark.	true	378.74	388.27	21.539278
1446_122614_000012_000001	Duncan, who knew that silence was a virtue among his hosts, gladly had recourse to the custom, in order to arrange his ideas.	Duncan, who knew that silence was a virtue among his hosts, gladly had recourse to the custom, in order to arrange his ideas.	true	388.88	396.79	23.645378
1446_122614_000012_000002	At length the same warrior who had before addressed him replied, by dryly demanding, in the language of the Canadas:	At length the same warrior who had before addressed him replied, by dryly demanding, in the language of the Canadas:	true	397.7	404.95	18.967516
1446_122614_000013_000000	"When our Great Father speaks to his people, is it with the tongue of a Huron?"	"When our Great Father speaks to his people, is it with the tongue of a Huron?"	true	405.89	411.31	22.463932
1446_122614_000014_000000	"He knows no difference in his children, whether the color of the skin be red, or black, or white," returned Duncan, evasively; "though chiefly is he satisfied with the brave Hurons."	"He knows no difference in his children, whether the color of the skin be red, or black, or white," returned Duncan, evasively; "though chiefly is he satisfied with the brave Hurons."	true	411.95	426.07	20.31469
1446_122614_000015_000000	"In what manner will he speak," demanded the wary chief, "when the runners count to him the scalps which five nights ago grew on the heads of the Yengeese?"	"In what manner will he speak," demanded the wary chief, "when the runners count to him the scalps which five nights ago grew on the heads of the Yengeese?"	true	427.94	439.15	22.381626
1446_122614_000016_000000	"They were his enemies," said Duncan, shuddering involuntarily; "and doubtless, he will say, it is good; my Hurons are very gallant."	"They were his enemies," said Duncan, shuddering involuntarily; "and doubtless, he will say, it is good; my Hurons are very gallant."	true	440.06	450.76	19.9523
1446_122614_000017_000000	"Our Canada father does not think it.	"Our Canada father does not think it.	true	452.21	454.72	22.662453
1446_122614_000017_000001	Instead of looking forward to reward his Indians, his eyes are turned backward.	Instead of looking forward to reward his Indians, his eyes are turned backward.	true	455.3	460.48	22.526571
1446_122614_000017_000002	He sees the dead Yengeese, but no Huron.	He sees the dead Yengeese, but no Huron.	true	460.91	464.53	22.732718
1446_122614_000017_000003	What can this mean?"	What can this mean?"	true	465.56	467.08	21.904156
1446_122614_000018_000000	"A great chief, like him, has more thoughts than tongues.	"A great chief, like him, has more thoughts than tongues.	true	468.17	472.33	21.320488
1446_122614_000018_000001	He looks to see that no enemies are on his trail."	He looks to see that no enemies are on his trail."	true	473	476.68	21.720068
1446_122614_000019_000000	"The canoe of a dead warrior will not float on the Horican," returned the savage, gloomily.	"The canoe of a dead warrior will not float on the Horican," returned the savage, gloomily.	false	477.62	484.09	19.573013
1446_122614_000019_000001	"His ears are open to the Delawares, who are not our friends, and they fill them with lies."	"His ears are open to the Delawares, who are not our friends, and they fill them with lies."	true	484.7	492.22	19.953024
1446_122614_000020_000000	"It cannot be.	"It cannot be.	true	493.22	494.77	23.61396
1446_122614_000020_000001	See; he has bid me, who am a man that knows the art of healing, to go to his children, the red Hurons of the great lakes, and ask if any are sick!"	See; he has bid me, who am a man that knows the art of healing, to go to his children, the red Hurons of the great lakes, and ask if any are sick!"	true	495.08	506.95	21.965374
1446_122614_000021_000000	Another silence succeeded this annunciation of the character Duncan had assumed.	Another silence succeeded this annunciation of the character Duncan had assumed.	true	508.43	513.01	16.904129
1446_122614_000021_000001	Every eye was simultaneously bent on his person, as if to inquire into the truth or falsehood of the declaration, with an intelligence and keenness that caused the subject of their scrutiny to tremble for the result.	Every eye was simultaneously bent on his person, as if to inquire into the truth or falsehood of the declaration, with an intelligence and keenness that caused the subject of their scrutiny to tremble for the result.	true	513.5	526.51	21.336376
1446_122614_000021_000002	He was, however, relieved again by the former speaker.	He was, however, relieved again by the former speaker.	true	527.21	531.82	19.530165
1446_122614_000022_000000	"Do the cunning men of the Canadas paint their skins?" the Huron coldly continued; "we have heard them boast that their faces were pale."	"Do the cunning men of the Canadas paint their skins?" the Huron coldly continued; "we have heard them boast that their faces were pale."	false	533.57	545.41	20.818296
1446_122614_000023_000000	"When an Indian chief comes among his white fathers," returned Duncan, with great steadiness, "he lays aside his buffalo robe, to carry the shirt that is offered him.	"When an Indian chief comes among his white fathers," returned Duncan, with great steadiness, "he lays aside his buffalo robe, to carry the shirt that is offered him.	true	546.98	557.95	21.465687
1446_122614_000023_000001	My brothers have given me paint and I wear it."	My brothers have given me paint and I wear it."	true	558.41	562.39	20.45241
1446_122614_000024_000000	A low murmur of applause announced that the compliment of the tribe was favorably received.	A low murmur of applause announced that the compliment of the tribe was favorably received.	true	563.93	568.83	22.129066
1446_122614_000024_000001	The elderly chief made a gesture of commendation, which was answered by most of his companions, who each threw forth a hand and uttered a brief exclamation of pleasure.	The elderly chief made a gesture of commendation, which was answered by most of his companions, who each threw forth a hand and uttered a brief exclamation of pleasure.	false	568.83	579.64	21.84687
1446_122614_000024_000002	Duncan began to breathe more freely, believing that the weight of his examination was past; and, as he had already prepared a simple and probable tale to support his pretended occupation, his hopes of ultimate success grew brighter.	Duncan began to breathe more freely, believing that the weight of his examination was past; and, as he had already prepared a simple and probable tale to support his pretended occupation, his hopes of ultimate success grew brighter.	true	580.49	593.59	24.892464
1446_122614_000025_000000	After a silence of a few moments, as if adjusting his thoughts, in order to make a suitable answer to the declaration their guests had just given, another warrior arose, and placed himself in an attitude to speak.	After a silence of a few moments, as if adjusting his thoughts, in order to make a suitable answer to the declaration their guests had just given, another warrior arose, and placed himself in an attitude to speak.	true	594.26	607.18	22.412436
1446_122614_000025_000001	While his lips were yet in the act of parting, a low but fearful sound arose from the forest, and was immediately succeeded by a high, shrill yell, that was drawn out, until it equaled the longest and most plaintive howl of the wolf.	While his lips were yet in the act of parting, a low but fearful sound arose from the forest, and was immediately succeeded by a high, shrill yell, that was drawn out, until it equaled the longest and most plaintive howl of the wolf.	false	607.94	622.09	20.345873
1446_122614_000025_000002	The sudden and terrible interruption caused Duncan to start from his seat, unconscious of everything but the effect produced by so frightful a cry.	The sudden and terrible interruption caused Duncan to start from his seat, unconscious of everything but the effect produced by so frightful a cry.	true	623.39	631.57	21.51093
1446_122614_000025_000003	At the same moment, the warriors glided in a body from the lodge, and the outer air was filled with loud shouts, that nearly drowned those awful sounds, which were still ringing beneath the arches of the woods.	At the same moment, the warriors glided in a body from the lodge, and the outer air was filled with loud shouts, that nearly drowned those awful sounds, which were still ringing beneath the arches of the woods.	false	632.39	645.7	20.514818
1446_122614_000025_000004	Unable to command himself any longer, the youth broke from the place, and presently stood in the center of a disorderly throng, that included nearly everything having life, within the limits of the encampment.	Unable to command himself any longer, the youth broke from the place, and presently stood in the center of a disorderly throng, that included nearly everything having life, within the limits of the encampment.	true	646.88	658.96	22.710724
1446_122614_000025_000005	Men, women, and children; the aged, the inform, the active, and the strong, were alike abroad, some exclaiming aloud, others clapping their hands with a joy that seemed frantic, and all expressing their savage pleasure in some unexpected event.	Men, women, and children; the aged, the inform, the active, and the strong, were alike abroad, some exclaiming aloud, others clapping their hands with a joy that seemed frantic, and all expressing their savage pleasure in some unexpected event.	false	659.45	676.36	22.428946
1446_122614_000025_000006	Though astounded, at first, by the uproar, Heyward was soon enabled to find its solution by the scene that followed.	Though astounded, at first, by the uproar, Heyward was soon enabled to find its solution by the scene that followed.	true	677.45	684.04	23.667461
1446_122614_000026_000000	There yet lingered sufficient light in the heavens to exhibit those bright openings among the tree-tops, where different paths left the clearing to enter the depths of the wilderness.	There yet lingered sufficient light in the heavens to exhibit those bright openings among the tree tops, where different paths left the clearing to enter the depths of the wilderness.	true	684.8	693.94	22.489473
1446_122614_000026_000001	Beneath one of them, a line of warriors issued from the woods, and advanced slowly toward the dwellings.	Beneath one of them, a line of warriors issued from the woods, and advanced slowly toward the dwellings.	true	694.67	700.15	22.02923
1446_122614_000026_000002	One in front bore a short pole, on which, as it afterwards appeared, were suspended several human scalps.	One in front bore a short pole, on which, as it afterwards appeared, were suspended several human scalps.	true	700.82	708.13	23.550814
1446_122614_000026_000003	The startling sounds that Duncan had heard were what the whites have not inappropriately called the "death-hallo"; and each repetition of the cry was intended to announce to the tribe the fate of an enemy.	The startling sounds that Duncan had heard were what the whites have not inappropriately called the "death hallo"; and each repetition of the cry was intended to announce to the tribe the fate of an enemy.	true	709.7	722.47	21.910309
1446_122614_000026_000004	Thus far the knowledge of Heyward assisted him in the explanation; and as he now knew that the interruption was caused by the unlooked-for return of a successful war-party, every disagreeable sensation was quieted in inward congratulation, for the opportune relief and insignificance it conferred on himself.	Thus far the knowledge of Heyward assisted him in the explanation; and as he now knew that the interruption was caused by the unlooked for return of a successful war party, every disagreeable sensation was quieted in inward congratulation, for the opportune relief and insignificance it conferred on himself.	false	723.65	742.12	20.527534
1446_122614_000027_000000	When at the distance of a few hundred feet from the lodges the newly arrived warriors halted.	When at the distance of a few hundred feet from the lodges the newly arrived warriors halted.	true	743.06	748.27	21.212759
1446_122614_000027_000001	Their plaintive and terrific cry, which was intended to represent equally the wailings of the dead and the triumph to the victors, had entirely ceased.	Their plaintive and terrific cry, which was intended to represent equally the wailings of the dead and the triumph to the victors, had entirely ceased.	true	748.73	757.03	20.662
1446_122614_000027_000002	One of their number now called aloud, in words that were far from appalling, though not more intelligible to those for whose ears they were intended, than their expressive yells.	One of their number now called aloud, in words that were far from appalling, though not more intelligible to those for whose ears they were intended, than their expressive yells.	false	758.42	768.73	19.958511
1446_122614_000027_000003	It would be difficult to convey a suitable idea of the savage ecstasy with which the news thus imparted was received.	It would be difficult to convey a suitable idea of the savage ecstasy with which the news thus imparted was received.	true	769.85	776.74	19.110954
1446_122614_000027_000004	The whole encampment, in a moment, became a scene of the most violent bustle and commotion.	The whole encampment, in a moment, became a scene of the most violent bustle and commotion.	true	777.23	782.53	21.741096
1446_122614_000027_000005	The warriors drew their knives, and flourishing them, they arranged themselves in two lines, forming a lane that extended from the war-party to the lodges.	The warriors drew their knives, and flourishing them, they arranged themselves in two lines, forming a lane that extended from the war party to the lodges.	true	783.29	792.34	20.797379
1446_122614_000027_000006	The squaws seized clubs, axes, or whatever weapon of offense first offered itself to their hands, and rushed eagerly to act their part in the cruel game that was at hand.	The squaws seized clubs, axes, or whatever weapon of offense first offered itself to their hands, and rushed eagerly to act their part in the cruel game that was at hand.	true	792.92	804.07	20.921526
1446_122614_000027_000007	Even the children would not be excluded; but boys, little able to wield the instruments, tore the tomahawks from the belts of their fathers, and stole into the ranks, apt imitators of the savage traits exhibited by their parents.	Even the children would not be excluded; but boys, little able to wield the instruments, tore the tomahawks from the belts of their fathers, and stole into the ranks, apt imitators of the savage traits exhibited by their parents.	true	804.86	819.76	20.64507
1446_122614_000028_000000	Large piles of brush lay scattered about the clearing, and a wary and aged squaw was occupied in firing as many as might serve to light the coming exhibition.	Large piles of brush lay scattered about the clearing, and a wary and aged squaw was occupied in firing as many as might serve to light the coming exhibition.	true	821.42	831.01	21.732662
1446_122614_000028_000001	As the flame arose, its power exceeded that of the parting day, and assisted to render objects at the same time more distinct and more hideous.	As the flame arose, its power exceeded that of the parting day, and assisted to render objects at the same time more distinct and more hideous.	true	832.13	841.42	19.771046
1446_122614_000028_000002	The whole scene formed a striking picture, whose frame was composed of the dark and tall border of pines.	The whole scene formed a striking picture, whose frame was composed of the dark and tall border of pines.	true	841.82	848.17	21.345482
1446_122614_000028_000003	The warriors just arrived were the most distant figures.	The warriors just arrived were the most distant figures.	true	848.72	851.46	23.008059
1446_122614_000028_000004	A little in advance stood two men, who were apparently selected from the rest, as the principal actors in what was to follow.	A little in advance stood two men, who were apparently selected from the rest, as the principal actors in what was to follow.	false	851.46	859.12	23.405012
1446_122614_000028_000005	The light was not strong enough to render their features distinct, though it was quite evident that they were governed by very different emotions.	The light was not strong enough to render their features distinct, though it was quite evident that they were governed by very different emotions.	false	859.88	867.85	21.216286
1446_122614_000028_000006	While one stood erect and firm, prepared to meet his fate like a hero, the other bowed his head, as if palsied by terror or stricken with shame.	While one stood erect and firm, prepared to meet his fate like a hero, the other bowed his head, as if palsied by terror or stricken with shame.	true	868.28	877.72	22.237514
1446_122614_000028_000007	The high-spirited Duncan felt a powerful impulse of admiration and pity toward the former, though no opportunity could offer to exhibit his generous emotions.	The high spirited Duncan felt a powerful impulse of admiration and pity toward the former, though no opportunity could offer to exhibit his generous emotions.	false	878.72	889.03	20.851719
1446_122614_000028_000008	He watched his slightest movement, however, with eager eyes; and, as he traced the fine outline of his admirably proportioned and active frame, he endeavored to persuade himself, that, if the powers of man, seconded by such noble resolution, could bear one harmless through so severe a trial, the youthful captive before him might hope for success in the hazardous race he was about to run.	He watched his slightest movement, however, with eager eyes; and, as he traced the fine outline of his admirably proportioned and active frame, he endeavored to persuade himself, that, if the powers of man, seconded by such noble resolution, could bear one harmless through so severe a trial, the youthful captive before him might hope for success in the hazardous race he was about to run.	true	890.06	914.23	20.805672
1446_122614_000028_000009	Insensibly the young man drew nigher to the swarthy lines of the Hurons, and scarcely breathed, so intense became his interest in the spectacle.	Insensibly the young man drew nigher to the swarthy lines of the Hurons, and scarcely breathed, so intense became his interest in the spectacle.	true	914.99	925.12	20.5053
1446_122614_000028_000010	Just then the signal yell was given, and the momentary quiet which had preceded it was broken by a burst of cries, that far exceeded any before heard.	Just then the signal yell was given, and the momentary quiet which had preceded it was broken by a burst of cries, that far exceeded any before heard.	false	925.73	935.05	22.328009
1446_122614_000028_000011	The more abject of the two victims continued motionless; but the other bounded from the place at the cry, with the activity and swiftness of a deer.	The more abject of the two victims continued motionless; but the other bounded from the place at the cry, with the activity and swiftness of a deer.	true	936.05	944.44	22.818651
1446_122614_000028_000012	Instead of rushing through the hostile lines, as had been expected, he just entered the dangerous defile, and before time was given for a single blow, turned short, and leaping the heads of a row of children, he gained at once the exterior and safer side of the formidable array.	Instead of rushing through the hostile lines, as had been expected, he just entered the dangerous defile, and before time was given for a single blow, turned short, and leaping the heads of a row of children, he gained at once the exterior and safer side of the formidable array.	true	945.11	960.67	22.33362
1446_122614_000028_000013	The artifice was answered by a hundred voices raised in imprecations; and the whole of the excited multitude broke from their order, and spread themselves about the place in wild confusion.	The artifice was answered by a hundred voices raised in imprecations; and the whole of the excited multitude broke from their order, and spread themselves about the place in wild confusion.	true	961.13	971.5	21.434597
1446_122614_000029_000000	A dozen blazing piles now shed their lurid brightness on the place, which resembled some unhallowed and supernatural arena, in which malicious demons had assembled to act their bloody and lawless rites. The forms in the background looked like unearthly beings, gliding before the eye, and cleaving the air with frantic and unmeaning gestures; while the savage passions of such as passed the flames were rendered fearfully distinct by the gleams that shot athwart their inflamed visages.	A dozen blazing piles now shed their lurid brightness on the place, which resembled some unhallowed and supernatural arena, in which malicious demons had assembled to act their bloody and lawless rites. The forms in the background looked like unearthly beings, gliding before the eye, and cleaving the air with frantic and unmeaning gestures; while the savage passions of such as passed the flames were rendered fearfully distinct by the gleams that shot athwart their inflamed visages.	true	972.47	1003	20.298405
1446_122614_000030_000000	It will easily be understood that, amid such a concourse of vindictive enemies, no breathing time was allowed the fugitive.	It will easily be understood that, amid such a concourse of vindictive enemies, no breathing time was allowed the fugitive.	true	1003.4	1011.3	19.998503
1446_122614_000030_000001	There was a single moment when it seemed as if he would have reached the forest, but the whole body of his captors threw themselves before him, and drove him back into the center of his relentless persecutors.	There was a single moment when it seemed as if he would have reached the forest, but the whole body of his captors threw themselves before him, and drove him back into the center of his relentless persecutors.	false	1011.3	1022.41	21.094318
1446_122614_000030_000002	Turning like a headed deer, he shot, with the swiftness of an arrow, through a pillar of forked flame, and passing the whole multitude harmless, he appeared on the opposite side of the clearing.	Turning like a headed deer, he shot, with the swiftness of an arrow, through a pillar of forked flame, and passing the whole multitude harmless, he appeared on the opposite side of the clearing.	true	1022.93	1034.14	22.020418
1446_122614_000030_000003	Here, too, he was met and turned by a few of the older and more subtle of the Hurons.	Here, too, he was met and turned by a few of the older and more subtle of the Hurons.	true	1034.78	1039.9	21.930532
1446_122614_000030_000004	Once more he tried the throng, as if seeking safety in its blindness, and then several moments succeeded, during which Duncan believed the active and courageous young stranger was lost.	Once more he tried the throng, as if seeking safety in its blindness, and then several moments succeeded, during which Duncan believed the active and courageous young stranger was lost.	true	1040.39	1051.24	21.30522
1446_122614_000031_000000	Nothing could be distinguished but a dark mass of human forms tossed and involved in inexplicable confusion.	Nothing could be distinguished but a dark mass of human forms tossed and involved in inexplicable confusion.	false	1052.12	1058.53	22.884287
1446_122614_000031_000001	Arms, gleaming knives, and formidable clubs, appeared above them, but the blows were evidently given at random.	Arms, gleaming knives, and formidable clubs, appeared above them, but the blows were evidently given at random.	true	1059.23	1067.14	19.277065
1446_122614_000031_000002	The awful effect was heightened by the piercing shrieks of the women and the fierce yells of the warriors.	The awful effect was heightened by the piercing shrieks of the women and the fierce yells of the warriors.	true	1067.78	1073.35	21.922558
1446_122614_000031_000003	Now and then Duncan caught a glimpse of a light form cleaving the air in some desperate bound, and he rather hoped than believed that the captive yet retained the command of his astonishing powers of activity.	Now and then Duncan caught a glimpse of a light form cleaving the air in some desperate bound, and he rather hoped than believed that the captive yet retained the command of his astonishing powers of activity.	true	1073.96	1086.04	24.108532
1446_122614_000031_000004	Suddenly the multitude rolled backward, and approached the spot where he himself stood.	Suddenly the multitude rolled backward, and approached the spot where he himself stood.	true	1087.22	1092.28	23.404648
1446_122614_000031_000005	The heavy body in the rear pressed upon the women and children in front, and bore them to the earth.	The heavy body in the rear pressed upon the women and children in front, and bore them to the earth.	true	1093.25	1098.46	21.444653
1446_122614_000031_000006	The stranger reappeared in the confusion.	The stranger reappeared in the confusion.	true	1099.07	1101.34	24.16648
1446_122614_000031_000007	Human power could not, however, much longer endure so severe a trial.	Human power could not, however, much longer endure so severe a trial.	true	1101.92	1106.86	22.827559
1446_122614_000031_000008	Of this the captive seemed conscious.	Of this the captive seemed conscious.	true	1107.56	1109.95	26.37576
1446_122614_000031_000009	Profiting by the momentary opening, he darted from among the warriors, and made a desperate, and what seemed to Duncan a final effort to gain the wood. As if aware that no danger was to be apprehended from the young soldier, the fugitive nearly brushed his person in his flight.	Profiting by the momentary opening, he darted from among the warriors, and made a desperate, and what seemed to Duncan a final effort to gain the wood. As if aware that no danger was to be apprehended from the young soldier, the fugitive nearly brushed his person in his flight.	true	1110.53	1126.93	19.999968
1446_122614_000031_000010	A tall and powerful Huron, who had husbanded his forces, pressed close upon his heels, and with an uplifted arm menaced a fatal blow.	A tall and powerful Huron, who had husbanded his forces, pressed close upon his heels, and with an uplifted arm menaced a fatal blow.	true	1127.66	1136.59	22.36129
1446_122614_000031_000011	Duncan thrust forth a foot, and the shock precipitated the eager savage headlong, many feet in advance of his intended victim.	Duncan thrust forth a foot, and the shock precipitated the eager savage headlong, many feet in advance of his intended victim.	true	1137.5	1145.26	19.570402
