1422_146123_000000_000000	CHAPTER 17.	CHAPTER seventeen.	true	22.86	24.31	23.598701
1422_146123_000008_000004	The ticket marked "R.	The ticket marked "R.	true	365.45	366.81	23.112667
1422_146123_000008_000005	Byng" was in his pocket, and in his ruthless heart a firm resolve that R. Byng and no other should have the benefit of his assistance.	Byng" was in his pocket, and in his ruthless heart a firm resolve that r Byng and no other should have the benefit of his assistance.	false	366.81	375.97	20.426811
1422_146123_000009_000000	Maud could not understand it.	Maud could not understand it.	true	376.91	378.94	21.92336
1422_146123_000009_000001	That is to say, she resolutely kept herself from accepting the only explanation of the episode that seemed possible.	That is to say, she resolutely kept herself from accepting the only explanation of the episode that seemed possible.	true	379.4	386.35	22
1422_146123_000009_000002	In black and white she had asked George to go to London and see Geoffrey and arrange for the passage--through himself as a sort of clearing-house--of letters between Geoffrey and herself.	In black and white she had asked George to go to London and see Geoffrey and arrange for the passage-through himself as a sort of clearing house-of letters between Geoffrey and herself.	true	386.72	398.64	21.80366
1422_146123_000009_000003	She had felt from the first that such a request should be made by her in person and not through the medium of writing, but surely it was incredible that a man like George, who had been through so much for her and whose only reason for being in the neighbourhood was to help her, could have coldly refused without even a word.	She had felt from the first that such a request should be made by her in person and not through the medium of writing, but surely it was incredible that a man like George, who had been through so much for her and whose only reason for being in the neighbourhood was to help her, could have coldly refused without even a word.	true	398.64	417.13	20.301254
1422_146123_000009_000004	And yet what else was she to think?	And yet what else was she to think?	true	417.62	419.68	23.072617
1422_146123_000009_000005	Now, more than ever, she felt alone in a hostile world.	Now, more than ever, she felt alone in a hostile world.	true	419.99	423.82	20
1422_146123_000010_000000	Yet, to her guests she was bright and entertaining.	Yet, to her guests she was bright and entertaining.	true	424.61	428.38	24.282204
1422_146123_000010_000001	Not one of them had a suspicion that her life was not one of pure sunshine.	Not one of them had a suspicion that her life was not one of pure sunshine.	true	428.6	432.97	19
1422_146123_000011_000000	Albert, I am happy to say, was thoroughly miserable.	Albert, I am happy to say, was thoroughly miserable.	true	433.88	437.89	22.420815
1422_146123_000011_000001	The little brute was suffering torments.	The little brute was suffering torments.	true	438.2	440.38	21.250532
1422_146123_000011_000002	He was showering anonymous Advice to the Lovelorn on Reggie Byng--excellent stuff, culled from the pages of weekly papers, of which there was a pile in the housekeeper's room, the property of a sentimental lady's maid--and nothing seemed to come of it.	He was showering anonymous Advice to the Lovelorn on Reggie Byng-excellent stuff, culled from the pages of weekly papers, of which there was a pile in the housekeeper's room, the property of a sentimental lady's maid-and nothing seemed to come of it.	true	440.54	456.64	20.178932
1422_146123_000011_000003	Every day, sometimes twice and thrice a day, he would leave on Reggie's dressing-table significant notes similar in tone to the one which he had placed there on the night of the ball; but, for all the effect they appeared to exercise on their recipient, they might have been blank pages.	Every day, sometimes twice and thrice a day, he would leave on Reggie's dressing table significant notes similar in tone to the one which he had placed there on the night of the ball; but, for all the effect they appeared to exercise on their recipient, they might have been blank pages.	true	457.07	474.61	21.71418
1422_146123_000012_000000	The choicest quotations from the works of such established writers as "Aunt Charlotte" of Forget-Me-Not and "Doctor Cupid", the heart-expert of Home Chat, expended themselves fruitlessly on Reggie.	The choicest quotations from the works of such established writers as "Aunt Charlotte" of Forget Me Not and "Doctor Cupid", the heart expert of Home Chat, expended themselves fruitlessly on Reggie.	true	475.25	489.07	22.012371
1422_146123_000012_000001	As far as Albert could ascertain--and he was one of those boys who ascertain practically everything within a radius of miles--Reggie positively avoided Maud's society.	As far as Albert could ascertain-and he was one of those boys who ascertain practically everything within a radius of miles-Reggie positively avoided Maud's society.	false	489.29	499.87	20.518381
1422_146123_000013_000000	And this after reading "Doctor Cupid's" invaluable tip about "Seeking her company on all occasions" and the dictum of "Aunt Charlotte" to the effect that "Many a wooer has won his lady by being persistent"--Albert spelled it "persistuent" but the effect is the same--"and rendering himself indispensable by constant little attentions".	And this after reading "Doctor Cupid's" invaluable tip about "Seeking her company on all occasions" and the dictum of "Aunt Charlotte" to the effect that "Many a wooer has won his lady by being persistent"--Albert spelled it "persistuent" but the effect is the same-"and rendering himself indispensable by constant little attentions".	false	500.48	523.84	20.653238
1422_146123_000013_000001	So far from rendering himself indispensable to Maud by constant little attentions, Reggie, to the disgust of his backer and supporter, seemed to spend most of his time with Alice Faraday.	So far from rendering himself indispensable to Maud by constant little attentions, Reggie, to the disgust of his backer and supporter, seemed to spend most of his time with Alice Faraday.	true	524.51	536.08	20
1422_146123_000013_000002	On three separate occasions had Albert been revolted by the sight of his protege in close association with the Faraday girl--once in a boat on the lake and twice in his grey car.	On three separate occasions had Albert been revolted by the sight of his protege in close association with the Faraday girl-once in a boat on the lake and twice in his grey car.	true	536.48	547.93	22
1422_146123_000013_000003	It was enough to break a boy's heart; and it completely spoiled Albert's appetite--a phenomenon attributed, I am glad to say, in the Servants' Hall to reaction from recent excesses.	It was enough to break a boy's heart; and it completely spoiled Albert's appetite-a phenomenon attributed, I am glad to say, in the Servants' Hall to reaction from recent excesses.	true	548.42	560.92	22.908417
1422_146123_000013_000004	The moment when Keggs, the butler, called him a greedy little pig and hoped it would be a lesson to him not to stuff himself at all hours with stolen cakes was a bitter moment for Albert.	The moment when Keggs, the butler, called him a greedy little pig and hoped it would be a lesson to him not to stuff himself at all hours with stolen cakes was a bitter moment for Albert.	true	561.2	572.35	19
1422_146123_000014_000000	It is a relief to turn from the contemplation of these tortured souls to the pleasanter picture presented by Lord Marshmoreton. Here, undeniably, we have a man without a secret sorrow, a man at peace with this best of all possible worlds.	It is a relief to turn from the contemplation of these tortured souls to the pleasanter picture presented by Lord Marshmoreton. Here, undeniably, we have a man without a secret sorrow, a man at peace with this best of all possible worlds.	false	573.11	589.36	22.44087
1422_146123_000014_000001	Since his visit to George a second youth seems to have come upon Lord Marshmoreton.	Since his visit to George a second youth seems to have come upon Lord Marshmoreton.	true	589.91	594.85	17
1422_146123_000014_000002	He works in his rose-garden with a new vim, whistling or even singing to himself stray gay snatches of melodies popular in the 'eighties.	He works in his rose garden with a new vim, whistling or even singing to himself stray gay snatches of melodies popular in the 'eighties.	true	595.4	605.11	21.516783
1422_146123_000015_000000	Hear him now as he toils.	Hear him now as he toils.	true	605.54	607.33	20.044096
1422_146123_000015_000001	He has a long garden-implement in his hand, and he is sending up the death-rate in slug circles with a devastating rapidity.	He has a long garden implement in his hand, and he is sending up the death rate in slug circles with a devastating rapidity.	true	607.49	615.45	23
1422_146123_000016_000000	"Ta-ra-ra boom-de-ay Ta-ra-ra BOOM--"	"Ta ra ra boom de ay Ta ra ra BOOM-"	false	615.45	619.84	20.902882
1422_146123_000017_000000	And the boom is a death-knell.	And the boom is a death knell.	true	619.97	621.76	21
1422_146123_000017_000001	As it rings softly out on the pleasant spring air, another stout slug has made the Great Change.	As it rings softly out on the pleasant spring air, another stout slug has made the Great Change.	true	621.95	628.51	21.101673
1422_146123_000018_000000	It is peculiar, this gaiety.	It is peculiar, this gaiety.	true	629.12	631.09	26.650703
1422_146123_000018_000001	It gives one to think.	It gives one to think.	true	631.43	632.95	22.969343
1422_146123_000018_000002	Others have noticed it, his lordship's valet amongst them.	Others have noticed it, his lordship's valet amongst them.	true	633.29	637.41	19.468342
1422_146123_000019_000000	"I give you my honest word, Mr. Keggs," says the valet, awed, "this very morning I 'eard the old devil a-singing in 'is barth! Chirruping away like a blooming linnet!"	"I give you my honest word, mr Keggs," says the valet, awed, "this very morning I 'eard the old devil a singing in 'is barth! Chirruping away like a blooming linnet!"	false	637.41	649.47	18.555271
1422_146123_000020_000000	"Lor!" says Keggs, properly impressed.	"Lor!" says Keggs, properly impressed.	false	649.47	652.86	22.775976
1422_146123_000021_000000	"And only last night 'e gave me 'arf a box of cigars and said I was a good, faithful feller!	"And only last night 'e gave me 'arf a box of cigars and said I was a good, faithful feller!	false	652.86	658.77	22.04978
1422_146123_000021_000001	I tell you, there's somethin' happened to the old buster--you mark my words!"	I tell you, there's somethin' happened to the old buster-you mark my words!"	false	658.77	662.76	13
1422_146123_000022_000000	CHAPTER 18.	CHAPTER eighteen.	false	662.76	662.94	-7
1422_146123_000023_000000	Over this complex situation the mind of Keggs, the butler, played like a searchlight.	Over this complex situation the mind of Keggs, the butler, played like a searchlight.	false	662.94	664.26	13.685267
1422_146123_000023_000001	Keggs was a man of discernment and sagacity.	Keggs was a man of discernment and sagacity.	false	664.26	665.19	100
1422_146123_000023_000002	He had instinct and reasoning power.	He had instinct and reasoning power.	false	665.19	665.19	
1422_146123_000023_000003	Instinct told him that Maud, all unsuspecting the change that had taken place in Albert's attitude toward her romance, would have continued to use the boy as a link between herself and George: and reason, added to an intimate knowledge of Albert, enabled him to see that the latter must inevitably have betrayed her trust.	Instinct told him that Maud, all unsuspecting the change that had taken place in Albert's attitude toward her romance, would have continued to use the boy as a link between herself and George: and reason, added to an intimate knowledge of Albert, enabled him to see that the latter must inevitably have betrayed her trust.	false	665.19	666.21	15
1422_146123_000023_000004	He was prepared to bet a hundred pounds that Albert had been given letters to deliver and had destroyed them.	He was prepared to bet a hundred pounds that Albert had been given letters to deliver and had destroyed them.	false	666.21	667.56	14.019101
1422_146123_000023_000005	So much was clear to Keggs.	So much was clear to Keggs.	false	667.56	667.95	-20
1422_146123_000023_000006	It only remained to settle on some plan of action which would re-establish the broken connection.	It only remained to settle on some plan of action which would re-establish the broken connection.	false	667.95	669.03	-20
1422_146123_000023_000007	Keggs did not conceal a tender heart beneath a rugged exterior: he did not mourn over the picture of two loving fellow human beings separated by a misunderstanding; but he did want to win that sweepstake.	Keggs did not conceal a tender heart beneath a rugged exterior: he did not mourn over the picture of two loving fellow human beings separated by a misunderstanding; but he did want to win that sweepstake.	false	669.03	671.43	-9
