4071_39913_000000_000000	The Old Chest at Wyther Grange	The Old Chest at Wyther Grange	true	22.08	24.07	14
4071_39913_000004_000002	From some words which I had heard Grandmother let fall I was sure it had a history; it was the one thing she never explored in her periodical overhaulings.	From some words which I had heard Grandmother let fall I was sure it had a history; it was the one thing she never explored in her periodical overhaulings.	true	148.73	157.63	13
4071_39913_000004_000003	When I grew tired of playing I liked to creep up on it and sit there, picturing out my own fancies concerning it--of which my favourite one was that some day I should solve the riddle and open the chest to find it full of gold and jewels with which I might restore the fortune of the Laurances and all the traditionary splendours of the old Grange.	When I grew tired of playing I liked to creep up on it and sit there, picturing out my own fancies concerning it-of which my favourite one was that some day I should solve the riddle and open the chest to find it full of gold and jewels with which I might restore the fortune of the Laurances and all the traditionary splendours of the old Grange.	false	157.97	178.33	13
4071_39913_000005_000000	I was sitting there one day when Aunt Winnifred and Grandmother Laurance came up the narrow dark staircase, the latter jingling her keys and peering into the dusty corners as she came along the room. When they came to the old chest, Grandmother rapped the top smartly with her keys.	I was sitting there one day when Aunt Winnifred and Grandmother Laurance came up the narrow dark staircase, the latter jingling her keys and peering into the dusty corners as she came along the room. When they came to the old chest, Grandmother rapped the top smartly with her keys.	false	178.88	193.36	13
4071_39913_000006_000000	"I wonder what is in this old chest," she said.	"I wonder what is in this old chest," she said.	true	193.64	196.3	16.697891
4071_39913_000006_000001	"I believe it really should be opened.	"I believe it really should be opened.	true	196.67	198.46	13
4071_39913_000006_000002	The moths may have got into it through that crack in the lid."	The moths may have got into it through that crack in the lid."	true	198.59	201.58	8
4071_39913_000007_000000	"Why don't you open it, Mother?" said Mrs. DeLisle.	"Why don't you open it, Mother?" said mrs DeLisle.	true	201.86	204.49	12
4071_39913_000007_000001	"I am sure that key of Robert's would fit the lock."	"I am sure that key of Robert's would fit the lock."	true	204.53	206.98	12
4071_39913_000008_000000	"No," said Grandmother in the tone that nobody, not even Aunt Winnifred, ever dreamed of disputing.	"No," said Grandmother in the tone that nobody, not even Aunt Winnifred, ever dreamed of disputing.	true	207.05	213.46	7
4071_39913_000008_000001	"I will not open that chest without Eliza's permission.	"I will not open that chest without Eliza's permission.	true	213.92	216.73	12
4071_39913_000008_000002	She confided it to my care when she went away, and I promised that it should never be opened until she came for it."	She confided it to my care when she went away, and I promised that it should never be opened until she came for it."	true	216.89	222.79	12
4071_39913_000009_000000	"Poor Eliza," said Mrs. DeLisle thoughtfully.	"Poor Eliza," said mrs DeLisle thoughtfully.	true	223.31	226.12	12
4071_39913_000009_000001	"I wonder what she is like now.	"I wonder what she is like now.	true	226.37	228.16	13
4071_39913_000009_000002	Very much changed, like all the rest of us, I suppose.	Very much changed, like all the rest of us, I suppose.	false	228.44	231.9	13
4071_39913_000009_000003	It is almost thirty years since she was here.	It is almost thirty years since she was here.	true	231.9	234.13	12
4071_39913_000009_000004	How pretty she was!"	How pretty she was!"	true	234.35	235.99	15.365928
4071_39913_000010_000000	"I never approved of her," said Grandmother brusquely.	"I never approved of her," said Grandmother brusquely.	true	236.27	239.32	11
4071_39913_000010_000001	"She was a sentimental, fanciful creature.	"She was a sentimental, fanciful creature.	true	239.9	242.56	15.980404
4071_39913_000010_000002	She might have married well but she preferred to waste her life pining over the memory of a man who was not worthy to untie the shoelace of a Laurance."	She might have married well but she preferred to waste her life pining over the memory of a man who was not worthy to untie the shoelace of a Laurance."	false	242.75	250.96	11
4071_39913_000011_000000	Mrs. DeLisle sighed softly and made no reply.	mrs DeLisle sighed softly and made no reply.	true	251.24	254.2	14.686839
4071_39913_000011_000001	People said that she had had her own romance in her youth and that her mother had sternly repressed it.	People said that she had had her own romance in her youth and that her mother had sternly repressed it.	false	254.69	259.78	15
4071_39913_000011_000002	I had heard that her marriage with Mr. DeLisle was loveless on her part and proved very unhappy.	I had heard that her marriage with mr DeLisle was loveless on her part and proved very unhappy.	true	260.24	265.54	9
4071_39913_000011_000003	But he had been dead many years, and Aunt Winnifred never spoke of him.	But he had been dead many years, and Aunt Winnifred never spoke of him.	true	266.03	269.56	5
4071_39913_000012_000000	"I have made up my mind what to do," said Grandmother decidedly.	"I have made up my mind what to do," said Grandmother decidedly.	true	270.41	273.67	12
4071_39913_000012_000001	"I will write to Eliza and ask her if I may open the chest to see if the moths have got into it.	"I will write to Eliza and ask her if I may open the chest to see if the moths have got into it.	true	273.86	278.29	14
4071_39913_000012_000002	If she refuses, well and good.	If she refuses, well and good.	true	278.36	280.45	15.990098
4071_39913_000012_000003	I have no doubt that she _will_ refuse.	I have no doubt that she underscore will underscore refuse.	false	280.58	282.97	12
4071_39913_000012_000004	She will cling to her old sentimental ideas as long as the breath is in her body."	She will cling to her old sentimental ideas as long as the breath is in her body."	true	283.04	287.56	10
4071_39913_000013_000000	I rather avoided the old chest after this.	I rather avoided the old chest after this.	true	288.14	290.38	15
4071_39913_000013_000001	It took on a new significance in my eyes and seemed to me like the tomb of something--possibly some dead and buried romance of the past.	It took on a new significance in my eyes and seemed to me like the tomb of something-possibly some dead and buried romance of the past.	true	290.78	298.42	15.306524
4071_39913_000014_000000	Later on a letter came to Grandmother; she passed it over the table to Mrs. DeLisle.	Later on a letter came to Grandmother; she passed it over the table to mrs DeLisle.	true	299.84	304.63	10
4071_39913_000015_000000	"That is from Eliza," she said.	"That is from Eliza," she said.	true	304.97	306.73	15.857075
4071_39913_000015_000001	"I would know her writing anywhere--none of your modern sprawly, untidy hands, but a fine lady-like script, as regular as copperplate.	"I would know her writing anywhere-none of your modern sprawly, untidy hands, but a fine lady like script, as regular as copperplate.	true	307.04	316.06	12
4071_39913_000015_000002	Read the letter, Winnifred; I haven't my glasses and I dare say Eliza's rhapsodies would tire me very much.	Read the letter, Winnifred; I haven't my glasses and I dare say Eliza's rhapsodies would tire me very much.	false	316.46	322.6	11
4071_39913_000015_000003	You need not read them aloud--I can imagine them all.	You need not read them aloud-I can imagine them all.	true	323.09	325.84	5
4071_39913_000015_000004	Let me know what she says about the chest."	Let me know what she says about the chest."	true	326.39	328.36	15
4071_39913_000016_000000	Aunt Winnifred opened and read the letter and laid it down with a brief sigh.	Aunt Winnifred opened and read the letter and laid it down with a brief sigh.	true	328.94	332.71	9
4071_39913_000017_000000	"This is all she says about the chest.	"This is all she says about the chest.	true	333.29	335.53	17
4071_39913_000017_000001	'If it were not for one thing that is in it, I would ask you to open the chest and burn all its contents.	'If it were not for one thing that is in it, I would ask you to open the chest and burn all its contents.	false	335.78	341.74	10
4071_39913_000017_000002	But I cannot bear that anyone but myself should see or touch that one thing.	But I cannot bear that anyone but myself should see or touch that one thing.	true	342.11	346.54	13
4071_39913_000017_000003	So please leave the chest as it is, dear Aunt.	So please leave the chest as it is, dear Aunt.	true	346.73	349.33	12
4071_39913_000017_000004	It is no matter if the moths do get in.' That is all," continued Mrs. DeLisle, "and I must confess that I am disappointed.	It is no matter if the moths do get in.' That is all," continued mrs DeLisle, "and I must confess that I am disappointed.	true	349.7	357.43	14
4071_39913_000017_000005	I have always had an almost childish curiosity about that old chest, but I seem fated not to have it gratified.	I have always had an almost childish curiosity about that old chest, but I seem fated not to have it gratified.	true	357.59	364.93	13
4071_39913_000017_000006	That 'one thing' must be her wedding dress. I have always thought that she locked it away there."	That 'one thing' must be her wedding dress. I have always thought that she locked it away there."	false	365.3	370.9	12
4071_39913_000018_000000	"Her answer is just what I expected of her," said Grandmother impatiently.	"Her answer is just what I expected of her," said Grandmother impatiently.	true	371.45	375.31	16.650883
4071_39913_000018_000001	"Evidently the years have not made her more sensible. Well, I wash my hands of her belongings, moths or no moths."	"Evidently the years have not made her more sensible. Well, I wash my hands of her belongings, moths or no moths."	true	375.71	382.36	14
4071_39913_000019_000000	It was not until ten years afterwards that I heard anything more of the old chest.	It was not until ten years afterwards that I heard anything more of the old chest.	false	383.06	387.97	12
4071_39913_000019_000001	Grandmother Laurance had died, but Aunt Winnifred still lived at the Grange.	Grandmother Laurance had died, but Aunt Winnifred still lived at the Grange.	true	388.25	392.17	10
4071_39913_000019_000002	She was very lonely, and the winter after Grandmother's death she sent me an invitation to make her a long visit.	She was very lonely, and the winter after Grandmother's death she sent me an invitation to make her a long visit.	true	392.42	398.29	10
4071_39913_000020_000000	When I revisited the garret and saw the old blue chest in the same dusty corner, my childish curiosity revived and I begged Aunt Winnifred to tell me its history.	When I revisited the garret and saw the old blue chest in the same dusty corner, my childish curiosity revived and I begged Aunt Winnifred to tell me its history.	true	398.69	407.5	11
4071_39913_000021_000000	"I am glad you have reminded me of it," said Mrs. DeLisle.	"I am glad you have reminded me of it," said mrs DeLisle.	true	408.11	411.07	10
4071_39913_000021_000001	"I have intended to open the chest ever since Mother's death but I kept putting it off.	"I have intended to open the chest ever since Mother's death but I kept putting it off.	true	411.2	415.3	11
4071_39913_000021_000002	You know, Amy, poor Eliza Laurance died five years ago, but even then Mother would not have the chest opened.	You know, Amy, poor Eliza Laurance died five years ago, but even then Mother would not have the chest opened.	true	415.55	421.93	10
4071_39913_000021_000003	There is no reason why it should not be examined now.	There is no reason why it should not be examined now.	true	422.09	424.78	13
4071_39913_000021_000004	If you like, we will go and open it at once and afterwards I will tell you the story."	If you like, we will go and open it at once and afterwards I will tell you the story."	true	425.03	429.7	12
4071_39913_000022_000000	We went eagerly up the garret stairs.	We went eagerly up the garret stairs.	true	429.86	431.94	17
4071_39913_000022_000001	Aunt knelt down before the old chest and selected a key from the bunch at her belt.	Aunt knelt down before the old chest and selected a key from the bunch at her belt.	false	431.94	436.33	11
4071_39913_000023_000000	"Would it not be too provoking, Amy, if this key should not fit after all?	"Would it not be too provoking, Amy, if this key should not fit after all?	true	436.64	440.23	14
4071_39913_000023_000001	Well, I do not believe you would be any more disappointed than I."	Well, I do not believe you would be any more disappointed than i"	true	440.63	443.62	8
4071_39913_000024_000000	She turned the key and lifted the heavy lid.	She turned the key and lifted the heavy lid.	true	444.35	446.77	10
4071_39913_000024_000001	I bent forward eagerly.	I bent forward eagerly.	true	446.87	448.42	3
4071_39913_000024_000002	A layer of tissue paper revealed itself, with a fine tracing of sifted dust in its crinkles.	A layer of tissue paper revealed itself, with a fine tracing of sifted dust in its crinkles.	true	448.82	454.42	14
4071_39913_000025_000000	"Lift it up, child," said my aunt gently.	"Lift it up, child," said my aunt gently.	true	454.88	457.15	11
4071_39913_000025_000001	"There are no ghosts for you, at least, in this old chest."	"There are no ghosts for you, at least, in this old chest."	true	457.55	460.48	15
4071_39913_000026_000000	I lifted the paper up and saw that the chest was divided into two compartments.	I lifted the paper up and saw that the chest was divided into two compartments.	true	461.39	465.69	16
4071_39913_000026_000001	Lying on the top of one was a small, square, inlaid box. This Mrs. DeLisle took up and carried to the window.	Lying on the top of one was a small, square, inlaid box. This mrs DeLisle took up and carried to the window.	false	465.69	472.8	16
4071_39913_000026_000002	Lifting up the cover she laid it in my lap.	Lifting up the cover she laid it in my lap.	false	472.8	475.57	9
4071_39913_000027_000000	"There, Amy, look through it and let us see what old treasures have lain hidden there these forty years."	"There, Amy, look through it and let us see what old treasures have lain hidden there these forty years."	false	476	481.3	12
4071_39913_000028_000000	The first thing I took out was a small square case covered with dark purple velvet.	The first thing I took out was a small square case covered with dark purple velvet.	true	482.15	486.64	16
4071_39913_000028_000001	The tiny clasp was almost rusted away and yielded easily.	The tiny clasp was almost rusted away and yielded easily.	true	486.98	490.45	13
4071_39913_000028_000002	I gave a little cry of admiration.	I gave a little cry of admiration.	true	490.67	492.94	9
4071_39913_000028_000003	Aunt Winnifred bent over my shoulder.	Aunt Winnifred bent over my shoulder.	true	493.28	495.25	9
4071_39913_000029_000000	"That is Eliza's portrait at the age of twenty, and that is Willis Starr's.	"That is Eliza's portrait at the age of twenty, and that is Willis Starr's.	true	495.68	499.62	13
4071_39913_000029_000001	Was she not lovely, Amy?"	Was she not lovely, Amy?"	false	499.62	501.91	14.518306
4071_39913_000030_000000	Lovely indeed was the face looking out at me from its border of tarnished gilt.	Lovely indeed was the face looking out at me from its border of tarnished gilt.	false	502.52	506.74	10
4071_39913_000030_000001	It was the face of a young girl, in shape a perfect oval, with delicate features and large dark-blue eyes.	It was the face of a young girl, in shape a perfect oval, with delicate features and large dark blue eyes.	true	507.35	514.27	12
4071_39913_000030_000002	Her hair, caught high on the crown and falling on her neck in the long curls of a bygone fashion, was a warm auburn, and the curves of her bare neck and shoulders were exquisite.	Her hair, caught high on the crown and falling on her neck in the long curls of a bygone fashion, was a warm auburn, and the curves of her bare neck and shoulders were exquisite.	false	514.46	525.04	11
4071_39913_000031_000000	"The other picture is that of the man to whom she was betrothed.	"The other picture is that of the man to whom she was betrothed.	true	525.05	528.34	10
4071_39913_000031_000001	Tell me, Amy, do you think him handsome?"	Tell me, Amy, do you think him handsome?"	true	528.56	531.01	10
4071_39913_000032_000000	I looked at the other portrait critically.	I looked at the other portrait critically.	true	531.47	533.62	8
4071_39913_000032_000001	It was that of a young man of about twenty-five; he was undeniably handsome, but there was something I did not like in his face and I said so.	It was that of a young man of about twenty five; he was undeniably handsome, but there was something I did not like in his face and I said so.	true	533.9	542.8	14
4071_39913_000033_000000	Aunt Winnifred made no reply--she was taking out the remaining contents of the box.	Aunt Winnifred made no reply-she was taking out the remaining contents of the box.	true	543.44	548.17	10
4071_39913_000033_000001	There was a white silk fan with delicately carved ivory sticks, a packet of old letters and a folded paper containing some dried and crumpled flowers.	There was a white silk fan with delicately carved ivory sticks, a packet of old letters and a folded paper containing some dried and crumpled flowers.	true	548.45	557.38	12
4071_39913_000033_000002	Aunt laid the box aside and unpacked the chest in silence.	Aunt laid the box aside and unpacked the chest in silence.	false	557.84	561.16	15
4071_39913_000033_000003	First came a ball dress of pale-yellow satin brocade, made with the trained skirt, "baby" waist and full puffed sleeves of a former generation.	First came a ball dress of pale yellow satin brocade, made with the trained skirt, "baby" waist and full puffed sleeves of a former generation.	true	561.38	571.48	14
4071_39913_000033_000004	Beneath it was a case containing a necklace of small but perfect pearls and a pair of tiny satin slippers.	Beneath it was a case containing a necklace of small but perfect pearls and a pair of tiny satin slippers.	false	571.94	578.38	13
4071_39913_000033_000005	The rest of the compartment was filled with household linen, fine and costly but yellowed with age--damask table linen and webs of the uncut fabric.	The rest of the compartment was filled with household linen, fine and costly but yellowed with age-damask table linen and webs of the uncut fabric.	true	578.9	588.22	10
4071_39913_000034_000000	In the second compartment lay a dress.	In the second compartment lay a dress.	true	588.26	590.53	13
4071_39913_000034_000001	Aunt Winnifred lifted it out reverently.	Aunt Winnifred lifted it out reverently.	true	590.84	593.26	8
4071_39913_000034_000002	It was a gown of rich silk that had once been white, but now, like the linen, it was yellow with age.	It was a gown of rich silk that had once been white, but now, like the linen, it was yellow with age.	true	593.63	600.16	14
4071_39913_000034_000003	It was simply made and trimmed with cobwebby old lace.	It was simply made and trimmed with cobwebby old lace.	true	600.47	603.97	12
4071_39913_000034_000004	Wrapped around it was a long white bridal veil, redolent with some strange, old-time perfume that had kept its sweetness all through the years.	Wrapped around it was a long white bridal veil, redolent with some strange, old time perfume that had kept its sweetness all through the years.	true	604.28	612.58	14
4071_39913_000035_000000	"Well, Amy, this is all," said Aunt Winnifred with a quiver in her voice.	"Well, Amy, this is all," said Aunt Winnifred with a quiver in her voice.	false	613.07	617.11	10
4071_39913_000035_000001	"And now for the story.	"And now for the story.	true	617.72	619	15
4071_39913_000035_000002	Where shall I begin?"	Where shall I begin?"	true	619.25	620.41	16.12835
4071_39913_000036_000000	"At the very beginning, Aunty.	"At the very beginning, Aunty.	true	620.81	622.3	9
4071_39913_000036_000001	You see I know nothing at all except her name.	You see I know nothing at all except her name.	true	622.67	625.3	13
4071_39913_000036_000002	Tell me who she was and why she put her wedding dress away here."	Tell me who she was and why she put her wedding dress away here."	true	625.46	628.57	11
4071_39913_000037_000000	"Poor Eliza!" said Aunt dreamily.	"Poor Eliza!" said Aunt dreamily.	true	628.85	631.3	12
4071_39913_000037_000001	"It is a sorrowful story, Amy, and it seems so long ago now.	"It is a sorrowful story, Amy, and it seems so long ago now.	true	631.58	635.74	14.960992
4071_39913_000037_000002	I must be an old woman.	I must be an old woman.	true	635.99	637.39	9
4071_39913_000037_000003	Forty years ago--and I was only twenty then.	Forty years ago-and I was only twenty then.	true	637.76	640.93	13
4071_39913_000037_000004	Eliza Laurance was my cousin, the only daughter of Uncle Henry Laurance.	Eliza Laurance was my cousin, the only daughter of Uncle Henry Laurance.	true	641.36	645.64	12
4071_39913_000037_000005	My father--your grandfather, Amy, you don't remember him--had two brothers, each of whom had an only daughter.	My father-your grandfather, Amy, you don't remember him-had two brothers, each of whom had an only daughter.	true	645.74	652.57	12
4071_39913_000037_000006	Both these girls were called Eliza after your great-grandmother.	Both these girls were called Eliza after your great grandmother.	false	652.82	656.17	8
4071_39913_000037_000007	I never saw Uncle George's Eliza but once.	I never saw Uncle George's Eliza but once.	true	656.63	659.47	14
4071_39913_000037_000008	He was a rich man and his daughter was much sought after, but she was no beauty, I promise you that, and proud and vain to the last degree. Her home was in a distant city and she never came to Wyther Grange.	He was a rich man and his daughter was much sought after, but she was no beauty, I promise you that, and proud and vain to the last degree. Her home was in a distant city and she never came to Wyther Grange.	false	659.72	671.44	15
4071_39913_000038_000000	"The other Eliza Laurance was a poor man's daughter.	"The other Eliza Laurance was a poor man's daughter.	true	671.45	674.2	12
4071_39913_000038_000001	She and I were of the same age and did not look unlike each other, although I was not so pretty by half.	She and I were of the same age and did not look unlike each other, although I was not so pretty by half.	true	674.48	680.77	11
4071_39913_000038_000002	You can see by the portrait how beautiful she was, and it does her scant justice, for half her charm lay in her arch expression and her vivacious ways.	You can see by the portrait how beautiful she was, and it does her scant justice, for half her charm lay in her arch expression and her vivacious ways.	false	680.81	689.77	15
4071_39913_000038_000003	She had her little faults, of course, and was rather over much given to romance and sentiment.	She had her little faults, of course, and was rather over much given to romance and sentiment.	true	690.17	695.68	14
4071_39913_000038_000004	This did not seem much of a defect to me then, Amy, for I was young and romantic too.	This did not seem much of a defect to me then, Amy, for I was young and romantic too.	false	696.08	701.29	12
4071_39913_000038_000005	Mother never cared much for Eliza, I think, but everyone else liked her.	Mother never cared much for Eliza, I think, but everyone else liked her.	true	701.69	706	10
4071_39913_000038_000006	One winter Eliza came to Wyther Grange for a long visit.	One winter Eliza came to Wyther Grange for a long visit.	true	706.55	709.96	6
4071_39913_000038_000007	The Grange was a very lively place then, Amy.	The Grange was a very lively place then, Amy.	true	710.18	712.63	12
4071_39913_000038_000008	Eliza kept the old house ringing with merriment.	Eliza kept the old house ringing with merriment.	false	713	715.63	8
4071_39913_000038_000009	We went out a great deal and she was always the belle of any festivity we attended.	We went out a great deal and she was always the belle of any festivity we attended.	true	715.91	720.12	10
4071_39913_000038_000010	Yet she wore her honours easily; all the flattery and homage she received did not turn her head.	Yet she wore her honours easily; all the flattery and homage she received did not turn her head.	false	720.12	726.61	11
4071_39913_000039_000000	"That winter we first met Willis Starr.	"That winter we first met Willis Starr.	true	726.65	728.95	15.305397
4071_39913_000039_000001	He was a newcomer, and nobody knew much about him, but one or two of the best families took him up, and his own fascinations did the rest.	He was a newcomer, and nobody knew much about him, but one or two of the best families took him up, and his own fascinations did the rest.	false	729.29	737.2	13
4071_39913_000039_000002	He became what you would call the rage.	He became what you would call the rage.	true	737.6	740.83	9
4071_39913_000039_000003	He was considered very handsome, his manners were polished and easy, and people said he was rich.	He was considered very handsome, his manners were polished and easy, and people said he was rich.	true	740.96	746.86	16
4071_39913_000040_000000	"I don't think, Amy, that I ever trusted Willis Starr.	"I don't think, Amy, that I ever trusted Willis Starr.	true	747.35	750.63	15
4071_39913_000040_000001	But like all the rest, I was blinded by his charm.	But like all the rest, I was blinded by his charm.	false	750.63	754.12	13
4071_39913_000040_000002	Mother was almost the only one who did not worship at his shrine, and very often she dropped hints about penniless adventurers that made Eliza very indignant.	Mother was almost the only one who did not worship at his shrine, and very often she dropped hints about penniless adventurers that made Eliza very indignant.	true	754.58	763.9	10
4071_39913_000041_000000	"From the first he had paid Eliza marked attention and seemed utterly bewitched by her.	"From the first he had paid Eliza marked attention and seemed utterly bewitched by her.	true	764.06	769.18	13
4071_39913_000041_000001	Well, his was an easy winning.	Well, his was an easy winning.	true	769.49	771.43	15
4071_39913_000041_000002	Eliza loved him with her whole impulsive, girlish heart and made no attempt to hide it.	Eliza loved him with her whole impulsive, girlish heart and made no attempt to hide it.	true	771.62	776.83	11
4071_39913_000042_000000	"I shall never forget the night they were first engaged.	"I shall never forget the night they were first engaged.	true	777.38	780.43	12
4071_39913_000042_000001	It was Eliza's birthday, and we were invited to a ball that evening.	It was Eliza's birthday, and we were invited to a ball that evening.	true	780.53	784.15	8
4071_39913_000042_000002	This yellow gown is the very one she wore.	This yellow gown is the very one she wore.	true	784.43	787.03	10
4071_39913_000042_000003	I suppose that is why she put it away here--the gown she wore on the happiest night of her life.	I suppose that is why she put it away here-the gown she wore on the happiest night of her life.	true	787.58	793.18	11
4071_39913_000042_000004	I had never seen her look more beautiful--her neck and arms were bare, and she wore this string of pearls and carried a bouquet of her favourite white roses.	I had never seen her look more beautiful-her neck and arms were bare, and she wore this string of pearls and carried a bouquet of her favourite white roses.	true	794.18	802.9	12
4071_39913_000043_000000	"When we reached home after the dance, Eliza had her happy secret to tell us.	"When we reached home after the dance, Eliza had her happy secret to tell us.	true	803.39	807.97	12
4071_39913_000043_000001	She was engaged to Willis Starr, and they were to be married in early spring.	She was engaged to Willis Starr, and they were to be married in early spring.	true	808.19	812.47	13
4071_39913_000044_000000	"Willis Starr certainly seemed to be an ideal lover, and Eliza was so perfectly happy that she seemed to grow more beautiful and radiant every day.	"Willis Starr certainly seemed to be an ideal lover, and Eliza was so perfectly happy that she seemed to grow more beautiful and radiant every day.	false	813.17	821.59	15.04968
4071_39913_000045_000000	"Well, Amy, the wedding day was set.	"Well, Amy, the wedding day was set.	true	822.44	824.8	13
4071_39913_000045_000001	Eliza was to be married from the Grange, as her own mother was dead, and I was to be bridesmaid.	Eliza was to be married from the Grange, as her own mother was dead, and I was to be bridesmaid.	true	824.99	830.29	9
4071_39913_000045_000002	We made her wedding dress together, she and I. Girls were not above making their own gowns then, and not a stitch was set in Eliza's save those put there by loving fingers and blessed by loving wishes.	We made her wedding dress together, she and i Girls were not above making their own gowns then, and not a stitch was set in Eliza's save those put there by loving fingers and blessed by loving wishes.	true	830.57	841.63	13
4071_39913_000045_000003	It was I who draped the veil over her sunny curls--see how yellow and creased it is now, but it was as white as snow that day.	It was I who draped the veil over her sunny curls-see how yellow and creased it is now, but it was as white as snow that day.	true	842	849.28	13
4071_39913_000046_000000	"A week before the wedding, Willis Starr was spending the evening at the Grange.	"A week before the wedding, Willis Starr was spending the evening at the Grange.	true	849.47	853.45	13
4071_39913_000046_000001	We were all chattering gaily about the coming event, and in speaking of the invited guests Eliza said something about the other Eliza Laurance, the great heiress, looking archly at Willis over her shoulder as she spoke.	We were all chattering gaily about the coming event, and in speaking of the invited guests Eliza said something about the other Eliza Laurance, the great heiress, looking archly at Willis over her shoulder as she spoke.	true	853.7	865.12	13
4071_39913_000046_000002	It was some merry badinage about the cousin whose namesake she was but whom she so little resembled.	It was some merry badinage about the cousin whose namesake she was but whom she so little resembled.	false	865.25	871.24	13
4071_39913_000047_000000	"We all laughed, but I shall never forget the look that came over Willis Starr's face.	"We all laughed, but I shall never forget the look that came over Willis Starr's face.	true	871.7	876.37	15
4071_39913_000047_000001	It passed quickly, but the chill fear that it gave me remained.	It passed quickly, but the chill fear that it gave me remained.	true	876.68	880.62	14.579807
4071_39913_000047_000002	A few minutes later I left the room on some trifling errand, and as I returned through the dim hall I was met by Willis Starr.	A few minutes later I left the room on some trifling errand, and as I returned through the dim hall I was met by Willis Starr.	false	880.62	888.07	10
4071_39913_000047_000003	He laid his hand on my arm and bent his evil face--for it _was_ evil then, Amy--close to mine.	He laid his hand on my arm and bent his evil face-for it underscore was underscore evil then, Amy-close to mine.	false	888.59	895.6	10
4071_39913_000048_000000	"'Tell me,' he said in a low but rude tone, 'is there another Eliza Laurance who is an heiress?'	"'Tell me,' he said in a low but rude tone, 'is there another Eliza Laurance who is an heiress?'	true	896.75	903.19	13
4071_39913_000049_000000	"'Certainly there is,' I said sharply.	"'Certainly there is,' I said sharply.	true	903.98	906.49	17.098068
