345_1120_000000_000000	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	false	0	2.79	18.720335
345_1120_000039_000000	"Upon my word, Caroline, I should think it more possible to get Pemberley by purchase than by imitation."	"Upon my word, Caroline, I should think it more possible to get Pemberley by purchase than by imitation."	true	421.01	426.28	16
345_1120_000040_000000	Elizabeth was so much caught with what passed, as to leave her very little attention for her book; and soon laying it wholly aside, she drew near the card-table, and stationed herself between Mr. Bingley and his eldest sister, to observe the game.	Elizabeth was so much caught with what passed, as to leave her very little attention for her book; and soon laying it wholly aside, she drew near the card table, and stationed herself between mr Bingley and his eldest sister, to observe the game.	true	426.68	442.93	17.558964
345_1120_000041_000000	"Is Miss Darcy much grown since the spring?" said Miss Bingley; "will she be as tall as I am?"	"Is Miss Darcy much grown since the spring?" said Miss Bingley; "will she be as tall as I am?"	true	442.94	448.57	18
345_1120_000042_000000	"I think she will.	"I think she will.	true	449.48	450.55	21.563517
345_1120_000042_000001	She is now about Miss Elizabeth Bennet's height, or rather taller."	She is now about Miss Elizabeth Bennet's height, or rather taller."	true	451.25	454.78	16.279936
345_1120_000043_000000	"How I long to see her again!	"How I long to see her again!	false	455.81	457.47	17
345_1120_000043_000001	I never met with anybody who delighted me so much.	I never met with anybody who delighted me so much.	true	457.47	460.09	13
345_1120_000043_000002	Such a countenance, such manners!	Such a countenance, such manners!	true	460.91	463.09	15
345_1120_000043_000003	And so extremely accomplished for her age!	And so extremely accomplished for her age!	true	463.31	465.72	15
345_1120_000043_000004	Her performance on the pianoforte is exquisite."	Her performance on the pianoforte is exquisite."	true	465.72	468.4	14
345_1120_000044_000000	"It is amazing to me," said Bingley, "how young ladies can have patience to be so very accomplished as they all are."	"It is amazing to me," said Bingley, "how young ladies can have patience to be so very accomplished as they all are."	false	470	476.17	15
345_1120_000045_000000	"All young ladies accomplished!	"All young ladies accomplished!	true	477.35	479.47	19.61966
345_1120_000045_000001	My dear Charles, what do you mean?"	My dear Charles, what do you mean?"	true	479.54	482.14	19.029194
345_1120_000046_000000	"Yes, all of them, I think.	"Yes, all of them, I think.	true	482.78	484.48	20.01927
345_1120_000046_000001	They all paint tables, cover screens, and net purses.	They all paint tables, cover screens, and net purses.	true	485.18	488.865	19
345_1120_000046_000002	I scarcely know anyone who cannot do all this, and I am sure I never heard a young lady spoken of for the first time, without being informed that she was very accomplished."	I scarcely know anyone who cannot do all this, and I am sure I never heard a young lady spoken of for the first time, without being informed that she was very accomplished."	false	488.865	497.32	14
345_1120_000047_000000	"Your list of the common extent of accomplishments," said Darcy, "has too much truth.	"Your list of the common extent of accomplishments," said Darcy, "has too much truth.	true	498.23	503.83	18.056751
345_1120_000047_000001	The word is applied to many a woman who deserves it no otherwise than by netting a purse or covering a screen.	The word is applied to many a woman who deserves it no otherwise than by netting a purse or covering a screen.	true	504.05	510.13	12
345_1120_000047_000002	But I am very far from agreeing with you in your estimation of ladies in general.	But I am very far from agreeing with you in your estimation of ladies in general.	true	510.77	514.75	15
345_1120_000047_000003	I cannot boast of knowing more than half-a-dozen, in the whole range of my acquaintance, that are really accomplished."	I cannot boast of knowing more than half a dozen, in the whole range of my acquaintance, that are really accomplished."	true	514.94	521.52	16
345_1120_000048_000000	"Nor I, I am sure," said Miss Bingley.	"Nor I, I am sure," said Miss Bingley.	true	521.52	524.26	16.361551
345_1120_000049_000000	"Then," observed Elizabeth, "you must comprehend a great deal in your idea of an accomplished woman."	"Then," observed Elizabeth, "you must comprehend a great deal in your idea of an accomplished woman."	true	524.51	529.36	16
345_1120_000050_000000	"Yes, I do comprehend a great deal in it."	"Yes, I do comprehend a great deal in it."	true	529.64	531.855	12
345_1120_000051_000000	"Oh! certainly," cried his faithful assistant, "no one can be really esteemed accomplished who does not greatly surpass what is usually met with.	"Oh! certainly," cried his faithful assistant, "no one can be really esteemed accomplished who does not greatly surpass what is usually met with.	true	531.855	539.44	13
345_1120_000051_000001	A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and besides all this, she must possess a certain something in her air and manner of walking, the tone of her voice, her address and expressions, or the word will be but half-deserved."	A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and besides all this, she must possess a certain something in her air and manner of walking, the tone of her voice, her address and expressions, or the word will be but half deserved."	true	539.63	558.52	17
345_1120_000052_000000	"All this she must possess," added Darcy, "and to all this she must yet add something more substantial, in the improvement of her mind by extensive reading."	"All this she must possess," added Darcy, "and to all this she must yet add something more substantial, in the improvement of her mind by extensive reading."	true	559.43	568.63	15
345_1120_000053_000000	"I am no longer surprised at your knowing _only_ six accomplished women. I rather wonder now at your knowing _any_."	"I am no longer surprised at your knowing underscore only underscore six accomplished women. I rather wonder now at your knowing underscore any underscore."	false	569.72	576.78	18.4739
345_1120_000054_000000	"Are you so severe upon your own sex as to doubt the possibility of all this?"	"Are you so severe upon your own sex as to doubt the possibility of all this?"	true	576.78	580.87	10
345_1120_000055_000000	"I never saw such a woman.	"I never saw such a woman.	true	581.57	582.91	18.495764
345_1120_000055_000001	I never saw such capacity, and taste, and application, and elegance, as you describe united."	I never saw such capacity, and taste, and application, and elegance, as you describe united."	true	583.52	587.8	14
345_1120_000056_000000	Mrs. Hurst and Miss Bingley both cried out against the injustice of her implied doubt, and were both protesting that they knew many women who answered this description, when Mr. Hurst called them to order, with bitter complaints of their inattention to what was going forward.	mrs Hurst and Miss Bingley both cried out against the injustice of her implied doubt, and were both protesting that they knew many women who answered this description, when mr Hurst called them to order, with bitter complaints of their inattention to what was going forward.	true	588.56	602.08	14
345_1120_000056_000001	As all conversation was thereby at an end, Elizabeth soon afterwards left the room.	As all conversation was thereby at an end, Elizabeth soon afterwards left the room.	false	602.3	606.43	15.816227
345_1120_000057_000000	"Elizabeth Bennet," said Miss Bingley, when the door was closed on her, "is one of those young ladies who seek to recommend themselves to the other sex by undervaluing their own; and with many men, I dare say, it succeeds.	"Elizabeth Bennet," said Miss Bingley, when the door was closed on her, "is one of those young ladies who seek to recommend themselves to the other sex by undervaluing their own; and with many men, I dare say, it succeeds.	true	607.64	621.49	15
345_1120_000057_000001	But, in my opinion, it is a paltry device, a very mean art."	But, in my opinion, it is a paltry device, a very mean art."	true	621.95	626.05	16
345_1120_000058_000000	"Undoubtedly," replied Darcy, to whom this remark was chiefly addressed, "there is a meanness in _all_ the arts which ladies sometimes condescend to employ for captivation.	"Undoubtedly," replied Darcy, to whom this remark was chiefly addressed, "there is a meanness in underscore all underscore the arts which ladies sometimes condescend to employ for captivation.	false	626.09	636.85	14
345_1120_000058_000001	Whatever bears affinity to cunning is despicable."	Whatever bears affinity to cunning is despicable."	true	637.22	640.24	16
345_1120_000059_000000	Miss Bingley was not so entirely satisfied with this reply as to continue the subject.	Miss Bingley was not so entirely satisfied with this reply as to continue the subject.	true	640.88	645.07	15
345_1120_000060_000000	Elizabeth joined them again only to say that her sister was worse, and that she could not leave her.	Elizabeth joined them again only to say that her sister was worse, and that she could not leave her.	true	645.83	650.71	14
345_1120_000060_000001	Bingley urged Mr. Jones being sent for immediately; while his sisters, convinced that no country advice could be of any service, recommended an express to town for one of the most eminent physicians.	Bingley urged mr Jones being sent for immediately; while his sisters, convinced that no country advice could be of any service, recommended an express to town for one of the most eminent physicians.	true	651.02	661.6	12
345_1120_000060_000002	This she would not hear of; but she was not so unwilling to comply with their brother's proposal; and it was settled that Mr. Jones should be sent for early in the morning, if Miss Bennet were not decidedly better.	This she would not hear of; but she was not so unwilling to comply with their brother's proposal; and it was settled that mr Jones should be sent for early in the morning, if Miss Bennet were not decidedly better.	true	662.24	673.66	14
345_1120_000060_000003	Bingley was quite uncomfortable; his sisters declared that they were miserable.	Bingley was quite uncomfortable; his sisters declared that they were miserable.	true	674.36	679.06	16
345_1120_000060_000004	They solaced their wretchedness, however, by duets after supper, while he could find no better relief to his feelings than by giving his housekeeper directions that every attention might be paid to the sick lady and her sister.	They solaced their wretchedness, however, by duets after supper, while he could find no better relief to his feelings than by giving his housekeeper directions that every attention might be paid to the sick lady and her sister.	false	679.49	694.08	16.613113
