337_126286_000000_000000	THE TWELVE DANCING PRINCESSES	THE TWELVE DANCING PRINCESSES	true	17.79	20.38	19
337_126286_000008_000001	And the soldier broke a branch from each; and every time there was a loud noise, which made the youngest sister tremble with fear; but the eldest still said, it was only the princes, who were crying for joy. So they went on till they came to a great lake; and at the side of the lake there lay twelve little boats with twelve handsome princes in them, who seemed to be waiting there for the princesses.	And the soldier broke a branch from each; and every time there was a loud noise, which made the youngest sister tremble with fear; but the eldest still said, it was only the princes, who were crying for joy. So they went on till they came to a great lake; and at the side of the lake there lay twelve little boats with twelve handsome princes in them, who seemed to be waiting there for the princesses.	false	356.96	383.41	23
337_126286_000009_000000	One of the princesses went into each boat, and the soldier stepped into the same boat with the youngest.	One of the princesses went into each boat, and the soldier stepped into the same boat with the youngest.	true	383.63	390.01	21
337_126286_000009_000001	As they were rowing over the lake, the prince who was in the boat with the youngest princess and the soldier said, 'I do not know why it is, but though I am rowing with all my might we do not get on so fast as usual, and I am quite tired: the boat seems very heavy today.' 'It is only the heat of the weather,' said the princess: 'I feel it very warm too.'	As they were rowing over the lake, the prince who was in the boat with the youngest princess and the soldier said, 'I do not know why it is, but though I am rowing with all my might we do not get on so fast as usual, and I am quite tired: the boat seems very heavy today.' 'It is only the heat of the weather,' said the princess: 'I feel it very warm too.'	false	390.17	412.57	22
337_126286_000010_000000	On the other side of the lake stood a fine illuminated castle, from which came the merry music of horns and trumpets.	On the other side of the lake stood a fine illuminated castle, from which came the merry music of horns and trumpets.	true	412.64	420.73	19
337_126286_000010_000001	There they all landed, and went into the castle, and each prince danced with his princess; and the soldier, who was all the time invisible, danced with them too; and when any of the princesses had a cup of wine set by her, he drank it all up, so that when she put the cup to her mouth it was empty.	There they all landed, and went into the castle, and each prince danced with his princess; and the soldier, who was all the time invisible, danced with them too; and when any of the princesses had a cup of wine set by her, he drank it all up, so that when she put the cup to her mouth it was empty.	true	420.74	439.98	22
337_126286_000010_000002	At this, too, the youngest sister was terribly frightened, but the eldest always silenced her.	At this, too, the youngest sister was terribly frightened, but the eldest always silenced her.	false	439.98	445.87	23
337_126286_000010_000003	They danced on till three o'clock in the morning, and then all their shoes were worn out, so that they were obliged to leave off. The princes rowed them back again over the lake (but this time the soldier placed himself in the boat with the eldest princess); and on the opposite shore they took leave of each other, the princesses promising to come again the next night.	They danced on till three o'clock in the morning, and then all their shoes were worn out, so that they were obliged to leave off. The princes rowed them back again over the lake (but this time the soldier placed himself in the boat with the eldest princess); and on the opposite shore they took leave of each other, the princesses promising to come again the next night.	true	446.81	472.03	21.101095
337_126286_000011_000000	When they came to the stairs, the soldier ran on before the princesses, and laid himself down; and as the twelve sisters slowly came up very much tired, they heard him snoring in his bed; so they said, 'Now all is quite safe'; then they undressed themselves, put away their fine clothes, pulled off their shoes, and went to bed.	When they came to the stairs, the soldier ran on before the princesses, and laid himself down; and as the twelve sisters slowly came up very much tired, they heard him snoring in his bed; so they said, 'Now all is quite safe'; then they undressed themselves, put away their fine clothes, pulled off their shoes, and went to bed.	true	472.7	496.9	21.320309
337_126286_000011_000001	In the morning the soldier said nothing about what had happened, but determined to see more of this strange adventure, and went again the second and third night; and every thing happened just as before; the princesses danced each time till their shoes were worn to pieces, and then returned home.	In the morning the soldier said nothing about what had happened, but determined to see more of this strange adventure, and went again the second and third night; and every thing happened just as before; the princesses danced each time till their shoes were worn to pieces, and then returned home.	false	497.48	516.37	21
337_126286_000011_000002	However, on the third night the soldier carried away one of the golden cups as a token of where he had been.	However, on the third night the soldier carried away one of the golden cups as a token of where he had been.	true	516.74	523.81	21
337_126286_000012_000000	As soon as the time came when he was to declare the secret, he was taken before the king with the three branches and the golden cup; and the twelve princesses stood listening behind the door to hear what he would say.	As soon as the time came when he was to declare the secret, he was taken before the king with the three branches and the golden cup; and the twelve princesses stood listening behind the door to hear what he would say.	true	524.57	538.6	21
337_126286_000012_000001	And when the king asked him.	And when the king asked him.	true	539	540.675	23.794691
337_126286_000012_000002	'Where do my twelve daughters dance at night?' he answered, 'With twelve princes in a castle under ground.' And then he told the king all that had happened, and showed him the three branches and the golden cup which he had brought with him.	'Where do my twelve daughters dance at night?' he answered, 'With twelve princes in a castle under ground.' And then he told the king all that had happened, and showed him the three branches and the golden cup which he had brought with him.	true	540.675	556.09	23.697393
337_126286_000012_000003	Then the king called for the princesses, and asked them whether what the soldier said was true: and when they saw that they were discovered, and that it was of no use to deny what had happened, they confessed it all.	Then the king called for the princesses, and asked them whether what the soldier said was true: and when they saw that they were discovered, and that it was of no use to deny what had happened, they confessed it all.	false	556.43	569.29	21
337_126286_000012_000004	And the king asked the soldier which of them he would choose for his wife; and he answered, 'I am not very young, so I will have the eldest.'--And they were married that very day, and the soldier was chosen to be the king's heir.	And the king asked the soldier which of them he would choose for his wife; and he answered, 'I am not very young, so I will have the eldest.'--And they were married that very day, and the soldier was chosen to be the king's heir.	true	569.48	586.35	22.463858
337_126286_000013_000000	THE FISHERMAN AND HIS WIFE	THE FISHERMAN AND HIS WIFE	false	586.35	588.48	13.07735
337_126286_000014_000000	There was once a fisherman who lived with his wife in a pigsty, close by the seaside.	There was once a fisherman who lived with his wife in a pigsty, close by the seaside.	false	588.48	588.48	
337_126286_000014_000001	The fisherman used to go out all day long a-fishing; and one day, as he sat on the shore with his rod, looking at the sparkling waves and watching his line, all on a sudden his float was dragged away deep into the water: and in drawing it up he pulled out a great fish. But the fish said, 'Pray let me live!	The fisherman used to go out all day long a fishing; and one day, as he sat on the shore with his rod, looking at the sparkling waves and watching his line, all on a sudden his float was dragged away deep into the water: and in drawing it up he pulled out a great fish. But the fish said, 'Pray let me live!	false	588.48	588.57	-1
337_126286_000014_000002	I am not a real fish; I am an enchanted prince: put me in the water again, and let me go!' 'Oh, ho!' said the man, 'you need not make so many words about the matter; I will have nothing to do with a fish that can talk: so swim away, sir, as soon as you please!' Then he put him back into the water, and the fish darted straight down to the bottom, and left a long streak of blood behind him on the wave.	I am not a real fish; I am an enchanted prince: put me in the water again, and let me go!' 'Oh, ho!' said the man, 'you need not make so many words about the matter; I will have nothing to do with a fish that can talk: so swim away, sir, as soon as you please!' Then he put him back into the water, and the fish darted straight down to the bottom, and left a long streak of blood behind him on the wave.	false	588.57	591.12	18
