7933_113272_000002_000000	THE WANDERERS	THE WANDERERS
7933_113272_000018_000000	They accepted this offer very thankfully (for almost all the money they had brought was now spent), and when the wagon arrived at the place of exhibition and the waxwork had been set up, Mrs. Jarley put a long wand in little Nell's hand and taught her to point out each figure and describe it:	They accepted this offer very thankfully (for almost all the money they had brought was now spent), and when the wagon arrived at the place of exhibition and the waxwork had been set up, mrs Jarley put a long wand in little Nell's hand and taught her to point out each figure and describe it:
7933_113272_000019_000000	"This, ladies and gentlemen," little Nell learned to say, "is Jasper Packlemerton, who murdered fourteen wives by tickling the soles of their feet," or, "this is Queen Elizabeth's maid of honor, who died from pricking her finger while sewing on Sunday."	"This, ladies and gentlemen," little Nell learned to say, "is Jasper Packlemerton, who murdered fourteen wives by tickling the soles of their feet," or, "this is Queen Elizabeth's maid of honor, who died from pricking her finger while sewing on Sunday."
7933_113272_000020_000000	She was quick to learn and soon became a great favorite with the visitors.	She was quick to learn and soon became a great favorite with the visitors.
7933_113272_000022_000001	He made her give him the money she had earned from the waxwork, joined the gamblers and in a few hours had lost it all.	He made her give him the money she had earned from the waxwork, joined the gamblers and in a few hours had lost it all.
7933_113272_000023_000001	This she had to change into silver and to pay a part for their lodging.	This she had to change into silver and to pay a part for their lodging.
7933_113272_000023_000002	When she was abed she could not sleep for fear of the wicked men she had seen gambling.	When she was abed she could not sleep for fear of the wicked men she had seen gambling.
7933_113272_000024_000000	When at last she fell asleep she waked suddenly to see a figure in the room.	When at last she fell asleep she waked suddenly to see a figure in the room.
7933_113272_000024_000001	She was too frightened to scream, and lay very still and trembled. The robber searched her clothing, took the rest of the money and went out.	She was too frightened to scream, and lay very still and trembled. The robber searched her clothing, took the rest of the money and went out.
7933_113272_000024_000002	She was dreadfully afraid he might return to harm her.	She was dreadfully afraid he might return to harm her.
7933_113272_000024_000003	If she could get to her grandfather, she thought, she would be safe.	If she could get to her grandfather, she thought, she would be safe.
7933_113272_000025_000001	She caught a view of his face and then she knew that the figure was her own grandfather, and that, crazed by the gambling scene, he himself had robbed her!	She caught a view of his face and then she knew that the figure was her own grandfather, and that, crazed by the gambling scene, he himself had robbed her!
7933_113272_000026_000001	She knew, to be sure, that her grandfather was not a thief and that he did not know what he was doing when he stole her money; but she knew, too, that if people found out he was crazy they would take him away from her and shut him up where she could not be with him, and of this she could not bear to think.	She knew, to be sure, that her grandfather was not a thief and that he did not know what he was doing when he stole her money; but she knew, too, that if people found out he was crazy they would take him away from her and shut him up where she could not be with him, and of this she could not bear to think.
7933_113272_000027_000001	This, she soon knew, he gambled away, for often he was out all night, and even seemed to shun her; so she was sad and took many long walks alone through the fields.	This, she soon knew, he gambled away, for often he was out all night, and even seemed to shun her; so she was sad and took many long walks alone through the fields.
7933_113272_000028_000002	One, she saw, was her grandfather, and the others were the gamblers with whom he had played at the inn on the night of the storm.	One, she saw, was her grandfather, and the others were the gamblers with whom he had played at the inn on the night of the storm.
7933_113272_000029_000000	Little Nell crept close.	Little Nell crept close.
7933_113272_000029_000001	They were tempting the poor daft old man to steal the money from Mrs. Jarley's strong box, and while she listened he consented.	They were tempting the poor daft old man to steal the money from mrs Jarley's strong box, and while she listened he consented.
7933_113272_000030_000000	She ran home in terrible grief.	She ran home in terrible grief.
7933_113272_000030_000001	She tried to sleep, but could not.	She tried to sleep, but could not.
7933_113272_000030_000002	At last she could bear it no longer.	At last she could bear it no longer.
7933_113272_000030_000003	She went to the old man's room and wakened him.	She went to the old man's room and wakened him.
7933_113272_000031_000001	I can not stay!	I can not stay!
7933_113272_000031_000003	We must go."	We must go."
7933_113272_000032_000001	He dressed himself in fear, and with her little basket on her arm she led him out of the house, on, away from the town, into the country, far away from Mrs. Jarley, who had been so kind to them, and from the new home they had found.	He dressed himself in fear, and with her little basket on her arm she led him out of the house, on, away from the town, into the country, far away from mrs Jarley, who had been so kind to them, and from the new home they had found.
7933_113272_000036_000000	The place to which they finally came was a town of wretched workmen who toiled all day in iron furnaces for little wages, and were almost as miserable and hungry as the wanderers themselves.	The place to which they finally came was a town of wretched workmen who toiled all day in iron furnaces for little wages, and were almost as miserable and hungry as the wanderers themselves.
7933_113272_000037_000002	They begged, but no one would help them.	They begged, but no one would help them.
7933_113272_000038_000000	The child's strength was almost gone, when they met a traveler who was reading in a book as he walked along.	The child's strength was almost gone, when they met a traveler who was reading in a book as he walked along.
7933_113272_000038_000001	He looked up as they came near.	He looked up as they came near.
7933_113272_000038_000003	When she saw him little Nell shrieked and fell unconscious at his feet.	When she saw him little Nell shrieked and fell unconscious at his feet.
7933_113272_000039_000000	The schoolmaster carried her to an inn near by, where she was put to bed and doctored under his care, for she was very weak.	The schoolmaster carried her to an inn near by, where she was put to bed and doctored under his care, for she was very weak.
7933_113272_000039_000001	She told him all the story of their wanderings, and he heard it with astonishment and wonder to find such a great heart and heroism in a child.	She told him all the story of their wanderings, and he heard it with astonishment and wonder to find such a great heart and heroism in a child.
7933_113272_000040_000000	He had been appointed schoolmaster, he told her, in another town, to which he was then on his way, and he declared they should go with him and he would care for them.	He had been appointed schoolmaster, he told her, in another town, to which he was then on his way, and he declared they should go with him and he would care for them.
7933_113272_000042_000000	The child sewed the tattered curtains and mended the worn carpet and the schoolmaster trimmed the long grass and trained the ivy before the door. In the evening a bright fire was kindled and they all three took their supper together, and then the schoolmaster said a prayer before they went gladly to bed.	The child sewed the tattered curtains and mended the worn carpet and the schoolmaster trimmed the long grass and trained the ivy before the door. In the evening a bright fire was kindled and they all three took their supper together, and then the schoolmaster said a prayer before they went gladly to bed.
7933_113272_000043_000000	They were very happy in this new home.	They were very happy in this new home.
7933_113272_000046_000000	So the weeks passed into winter, and though she came soon to know that she was not long for earth, she thought of death without regret and of heaven with joy.	So the weeks passed into winter, and though she came soon to know that she was not long for earth, she thought of death without regret and of heaven with joy.
