4899_32639_000001_000000	Chapter 5	Chapter five
4899_32639_000016_000001	The wonder is that anybody gets there with so much to oppose--- so little to help one!	The wonder is that anybody gets there with so much to oppose--- so little to help one!
4899_32639_000017_000000	JULY 29.-It is high time to stop and think.	july twenty ninth.-It is high time to stop and think.
4899_32639_000017_000003	I feel restless and ill at ease.	I feel restless and ill at ease.
4899_32639_000017_000005	I want Him-but I want to have my own way, too.	I want Him but I want to have my own way, too.
4899_32639_000017_000006	I want to walk humbly and softly before Him, and I want to go where I shall be admired and applauded.	I want to walk humbly and softly before Him, and I want to go where I shall be admired and applauded.
4899_32639_000017_000008	To God?	To God?
4899_32639_000017_000009	Or to myself?	Or to myself?
4899_32639_000018_000000	JULY 30.-I met Dr. Cabot to-day, and could not, help asking the question:	july thirtieth.-I met dr Cabot to day, and could not, help asking the question:
4899_32639_000019_000000	"Is it right for me to sing and play in company when all I do it for is to be admired?"	"Is it right for me to sing and play in company when all I do it for is to be admired?"
4899_32639_000020_000000	"Are you sure it is all you do it for?" he returned.	"Are you sure it is all you do it for?" he returned.
4899_32639_000021_000000	"Oh," I said, "I suppose there may be a sprinkling of desire to entertain and please, mixed with the love of display."	"Oh," I said, "I suppose there may be a sprinkling of desire to entertain and please, mixed with the love of display."
4899_32639_000022_000000	"Do you suppose that your love of display, allowing you have it, would be forever slain by your merely refusing to sing in company?"	"Do you suppose that your love of display, allowing you have it, would be forever slain by your merely refusing to sing in company?"
4899_32639_000024_000001	"No child, go on singing; God has given you this power of entertaining and, gratifying your friends.	"No child, go on singing; God has given you this power of entertaining and, gratifying your friends.
4899_32639_000024_000002	But ,pray without ceasing, that you may sing from pure benevolence and not from pure self-love."	But ,pray without ceasing, that you may sing from pure benevolence and not from pure self love."
4899_32639_000025_000000	"Why, do people pray about such things as that?" I cried.	"Why, do people pray about such things as that?" I cried.
4899_32639_000026_000000	"Of course they do.	"Of course they do.
4899_32639_000026_000001	Why, I would pray about my little finger, if my little finger went astray."	Why, I would pray about my little finger, if my little finger went astray."
4899_32639_000027_000000	I looked at his little finger, but saw no signs of its becoming schismatic.	I looked at his little finger, but saw no signs of its becoming schismatic.
4899_32639_000028_000000	AUG. 3.-This morning I took great delight in praying for my little scholars, and went to Sunday-school as on wings.	august third.-This morning I took great delight in praying for my little scholars, and went to Sunday school as on wings.
4899_32639_000028_000001	But on reaching my seat, what was my horror to find Maria Perry there!	But on reaching my seat, what was my horror to find Maria Perry there!
4899_32639_000029_000000	Oh, your seat is changed," said she.	Oh, your seat is changed," said she.
4899_32639_000029_000001	"I am to have half your class, and I like this seat better than those higher up.	"I am to have half your class, and I like this seat better than those higher up.
4899_32639_000029_000002	I suppose you don't care?"	I suppose you don't care?"
4899_32639_000030_000001	I shall speak to Mr. Williams about it directly."	I shall speak to mr Williams about it directly."
4899_32639_000031_000001	"It is just as pleasant to me to have pretty children to teach as it is to you.	"It is just as pleasant to me to have pretty children to teach as it is to you.
4899_32639_000031_000002	Mr. Williams said he had no doubt you would be glad to divide your class with me, as it is so large; and I doubt if you gain anything by speaking to him.	mr Williams said he had no doubt you would be glad to divide your class with me, as it is so large; and I doubt if you gain anything by speaking to him.
4899_32639_000032_000001	I went to my new seat with great disgust, and found it very inconvenient.	I went to my new seat with great disgust, and found it very inconvenient.
4899_32639_000032_000002	The children could not cluster around me as they did before, and I got on with the lesson very badly.	The children could not cluster around me as they did before, and I got on with the lesson very badly.
4899_32639_000032_000003	I am sure Maria Perry has no gift at teaching little children, and I feel quite vexed and disappointed.	I am sure Maria Perry has no gift at teaching little children, and I feel quite vexed and disappointed.
4899_32639_000033_000000	AUG. 9.-Mr.	august ninth.-mr
4899_32639_000033_000001	Williams called this evening to say that I am to have my old seat and all the children again.	Williams called this evening to say that I am to have my old seat and all the children again.
4899_32639_000033_000004	I should have been greatly elated by these compliments, but for the display I made of myself to Maria Perry on Sunday.	I should have been greatly elated by these compliments, but for the display I made of myself to Maria Perry on Sunday.
4899_32639_000033_000005	Oh, that I could learn to bridle my unlucky tongue!	Oh, that I could learn to bridle my unlucky tongue!
4899_32639_000034_000001	That sounds very old, yet I feel pretty much as I did before.	That sounds very old, yet I feel pretty much as I did before.
4899_32639_000034_000003	As a general rule, I do not think poor people are very interesting, and they are always ungrateful.	As a general rule, I do not think poor people are very interesting, and they are always ungrateful.
4899_32639_000035_000000	We went first to see old Jacob Stone.	We went first to see old Jacob Stone.
4899_32639_000035_000003	He seemed in great distress of mind, and begged mother to pray with him.	He seemed in great distress of mind, and begged mother to pray with him.
4899_32639_000035_000004	I do not see how she could.	I do not see how she could.
4899_32639_000035_000006	How tenderly she prayed for him!	How tenderly she prayed for him!
4899_32639_000036_000001	She had made a carpet for her room by sewing together little bits of pieces given her, I suppose, by persons for whom she works, for she goes about fitting and making carpets.	She had made a carpet for her room by sewing together little bits of pieces given her, I suppose, by persons for whom she works, for she goes about fitting and making carpets.
4899_32639_000036_000002	It looked bright and cheerful.	It looked bright and cheerful.
4899_32639_000037_000000	"Mercy on us!" she cried out, "it ain't to sleep in!	"Mercy on us!" she cried out, "it ain't to sleep in!
4899_32639_000038_000000	Mother looked a little amused, and then she sat and listened, patiently, to a long account of how the poor old thing had invested her money; how Mr. Jones did not pay the interest regularly, and how Mr. Stevens haggled about the percentage.	Mother looked a little amused, and then she sat and listened, patiently, to a long account of how the poor old thing had invested her money; how mr Jones did not pay the interest regularly, and how mr Stevens haggled about the percentage.
4899_32639_000038_000001	After we came away, I asked mother how she could listen to such a rigmarole in patience, and what good she supposed she had done by her visit.	After we came away, I asked mother how she could listen to such a rigmarole in patience, and what good she supposed she had done by her visit.
4899_32639_000039_000000	"Why the poor creature likes to show off her bright carpet and nice bed, her chairs, her vases and her knick-knacks, and she likes to talk about her beloved money, and her bank stock.	"Why the poor creature likes to show off her bright carpet and nice bed, her chairs, her vases and her knick knacks, and she likes to talk about her beloved money, and her bank stock.
4899_32639_000039_000001	I may not have done her any good; but I have given her a pleasure, and so have you."	I may not have done her any good; but I have given her a pleasure, and so have you."
4899_32639_000040_000000	"Why, I hardly spoke a word."	"Why, I hardly spoke a word."
4899_32639_000041_000000	"Yes, but your mere presence gratified her.	"Yes, but your mere presence gratified her.
4899_32639_000041_000001	And if she ever gets into trouble, she will feel kindly towards us for the sake of our sympathy with her pleasures, and will let us sympathize with her sorrows."	And if she ever gets into trouble, she will feel kindly towards us for the sake of our sympathy with her pleasures, and will let us sympathize with her sorrows."
4899_32639_000042_000000	I confess this did not seem a privilege to be coveted.	I confess this did not seem a privilege to be coveted.
4899_32639_000042_000001	She is not nice at all, and takes snuff.	She is not nice at all, and takes snuff.
4899_32639_000043_000000	We went next to see Bridget Shannon.	We went next to see Bridget Shannon.
4899_32639_000043_000001	Mother had lost sight of her for some years, and had just heard that she was sick and in great want. We found her in bed; there was no furniture in the room, and three little half-naked children sat with their bare feet in some ashes where there had been a little fire.	Mother had lost sight of her for some years, and had just heard that she was sick and in great want. We found her in bed; there was no furniture in the room, and three little half naked children sat with their bare feet in some ashes where there had been a little fire.
4899_32639_000043_000002	Three such disconsolate faces I never saw.	Three such disconsolate faces I never saw.
4899_32639_000043_000004	I am going to cut up one or two old dresses to make the poor things something to cover them.	I am going to cut up one or two old dresses to make the poor things something to cover them.
4899_32639_000043_000007	Those few visits used up the very time I usually spend in drawing.	Those few visits used up the very time I usually spend in drawing.
4899_32639_000043_000008	But on the whole I am glad I went with mother, because it has gratified her.	But on the whole I am glad I went with mother, because it has gratified her.
4899_32639_000043_000009	Besides, one must either stop reading the Bible altogether, or else leave off spending one's whole time in just doing easy pleasant things one likes to do.	Besides, one must either stop reading the Bible altogether, or else leave off spending one's whole time in just doing easy pleasant things one likes to do.
4899_32639_000045_000000	"Look at the dear little thing, mother!" I cried; "doesn't she look like a line of poetry?"	"Look at the dear little thing, mother!" I cried; "doesn't she look like a line of poetry?"
4899_32639_000046_000000	"You foolish, romantic child!" quoth mother.	"You foolish, romantic child!" quoth mother.
4899_32639_000046_000001	"She looks, to me, like a very ordinary line of prose.	"She looks, to me, like a very ordinary line of prose.
4899_32639_000046_000002	A slice of bread and butter and a piece of gingerbread mean more to her than these elaborate ringlets possibly can.	A slice of bread and butter and a piece of gingerbread mean more to her than these elaborate ringlets possibly can.
4899_32639_000046_000003	They get in her eyes, and make her neck cold; see, they are dripping with water, and the child is all in a shiver."	They get in her eyes, and make her neck cold; see, they are dripping with water, and the child is all in a shiver."
4899_32639_000047_000000	So saying, mother folded a towel round its neck, to catch the falling drops, and went for bread and butter, of which the child consumed a quantity that, was absolutely appalling.	So saying, mother folded a towel round its neck, to catch the falling drops, and went for bread and butter, of which the child consumed a quantity that, was absolutely appalling.
