4438_48525_000000_000000	XV	fifteen	true	8.25	9.22	25.443027
4438_48525_000008_000002	But one learns a lot on a honeymoon, Lucy reflected, and one of the things she had learned was that Wemyss's mind was always made up.	But one learns a lot on a honeymoon, Lucy reflected, and one of the things she had learned was that Wemyss's mind was always made up.	false	310.04	319.06	21.755112
4438_48525_000008_000003	There seemed to be no moment when it was in a condition of becoming, and she might have slipped in a suggestion or laid a wish before him; his plans were sprung upon her full fledged, and they were unalterable.	There seemed to be no moment when it was in a condition of becoming, and she might have slipped in a suggestion or laid a wish before him; his plans were sprung upon her full fledged, and they were unalterable.	true	319.52	333.13	23.478024
4438_48525_000008_000004	Sometimes he said, 'Would you like----?' and if she didn't like, and answered truthfully, as she answered at first before she learned not to, there was trouble.	Sometimes he said, 'Would you like----?' and if she didn't like, and answered truthfully, as she answered at first before she learned not to, there was trouble.	true	333.8	343.87	24.111137
4438_48525_000008_000005	Silent trouble.	Silent trouble.	true	344.48	346.03	24.509602
4438_48525_000008_000006	A retiring of Wemyss into a hurt aloofness, for his question was only decorative, and his little Love should instinctively, he considered, like what he liked; and there outside this aloofness, after efforts to get at him with fond and anxious questions, she sat like a beggar in patient distress, waiting for him to emerge and be kind to her.	A retiring of Wemyss into a hurt aloofness, for his question was only decorative, and his little Love should instinctively, he considered, like what he liked; and there outside this aloofness, after efforts to get at him with fond and anxious questions, she sat like a beggar in patient distress, waiting for him to emerge and be kind to her.	false	346.76	369.04	24.441433
4438_48525_000009_000000	Of course as far as the minor wishes and preferences of every day went it was all quite easy, once she had grasped the right answer to the question, 'Would you like?' She instantly did like.	Of course as far as the minor wishes and preferences of every day went it was all quite easy, once she had grasped the right answer to the question, 'Would you like?' She instantly did like.	true	369.83	382.125	23.672749
4438_48525_000009_000001	'Oh yes--_very_ much!' she hastened to assure him; and then his face continued content and happy instead of clouding with aggrievement.	'Oh yes-underscore very underscore much!' she hastened to assure him; and then his face continued content and happy instead of clouding with aggrievement.	false	382.125	390.85	24.136097
4438_48525_000009_000002	But about the big things it wasn't easy, because of the difficulty of getting the right flavour of enthusiasm into her voice, and if she didn't get it in he would put his finger under her chin and turn her to the light and repeat the question in a solemn voice,--precursor, she had learned, of the beginning of the cloud on his face.	But about the big things it wasn't easy, because of the difficulty of getting the right flavour of enthusiasm into her voice, and if she didn't get it in he would put his finger under her chin and turn her to the light and repeat the question in a solemn voice,--precursor, she had learned, of the beginning of the cloud on his face.	false	391.85	413.59	23.760635
4438_48525_000010_000000	How difficult it was sometimes.	How difficult it was sometimes.	true	414.44	416.86	25.662899
4438_48525_000010_000001	When he said to her, 'You'll like the view from your sitting-room at The Willows,' she naturally wanted to cry out that she wouldn't, and ask him how he could suppose she would like what was to her a view for ever associated with death?	When he said to her, 'You'll like the view from your sitting room at The Willows,' she naturally wanted to cry out that she wouldn't, and ask him how he could suppose she would like what was to her a view for ever associated with death?	true	417.2	432.61	24.275011
4438_48525_000010_000002	Why shouldn't she be able to cry out naturally if she wanted to, to talk to him frankly, to get his help to cure herself of what was so ridiculous by laughing at it with him?	Why shouldn't she be able to cry out naturally if she wanted to, to talk to him frankly, to get his help to cure herself of what was so ridiculous by laughing at it with him?	true	433.97	445.81	23.830875
4438_48525_000010_000003	She couldn't laugh all alone, though she was always trying to; with him she could have, and so have become quite sensible.	She couldn't laugh all alone, though she was always trying to; with him she could have, and so have become quite sensible.	true	446.24	455.2	23.899008
4438_48525_000010_000004	For he was so much bigger than she was, so wonderful in the way he had triumphed over diseased thinking, and his wholesomeness would spread over her too, a purging, disinfecting influence, if only he would let her talk, if only he would help her to laugh.	For he was so much bigger than she was, so wonderful in the way he had triumphed over diseased thinking, and his wholesomeness would spread over her too, a purging, disinfecting influence, if only he would let her talk, if only he would help her to laugh.	true	456.02	474.7	23.93741
4438_48525_000010_000005	Instead, she found herself hurriedly saying in a small, anxious voice, 'Oh yes--_very_ much!'	Instead, she found herself hurriedly saying in a small, anxious voice, 'Oh yes-underscore very underscore much!'	false	474.95	482.26	24.21174
4438_48525_000011_000000	'Is it possible,' she thought, 'that I am abject?'	'Is it possible,' she thought, 'that I am abject?'	true	483.32	487.75	26.370783
4438_48525_000012_000000	Yes, she was extremely abject, she reflected, lying awake at night considering her behaviour during the day.	Yes, she was extremely abject, she reflected, lying awake at night considering her behaviour during the day.	true	488.54	496.51	22.693151
4438_48525_000012_000001	Love had made her so.	Love had made her so.	true	496.85	498.67	22.748041
4438_48525_000012_000002	Love did make one abject, for it was full of fear of hurting the beloved.	Love did make one abject, for it was full of fear of hurting the beloved.	true	499.07	504.01	24.04377
4438_48525_000012_000003	The assertion of the Scriptures that perfect love casteth out fear only showed, seeing that her love for Everard was certainly perfect, how little the Scriptures really knew what they were talking about.	The assertion of the Scriptures that perfect love casteth out fear only showed, seeing that her love for Everard was certainly perfect, how little the Scriptures really knew what they were talking about.	true	505.25	518.89	25.753021
4438_48525_000013_000000	Well, if she couldn't tell him the things she was feeling, why couldn't she get rid of the sorts of feelings she couldn't tell him, and just be wholesome?	Well, if she couldn't tell him the things she was feeling, why couldn't she get rid of the sorts of feelings she couldn't tell him, and just be wholesome?	true	519.71	528.04	23.74948
4438_48525_000013_000001	Why couldn't she be at least as wholesome about going to that house as Everard?	Why couldn't she be at least as wholesome about going to that house as Everard?	false	528.8	533.46	23.305206
4438_48525_000013_000002	If anybody was justified in shrinking from The Willows it was Everard, not herself.	If anybody was justified in shrinking from The Willows it was Everard, not herself.	false	533.46	538.51	20.803802
4438_48525_000013_000003	Sometimes Lucy would be sure that deep in his character there was a wonderful store of simple courage.	Sometimes Lucy would be sure that deep in his character there was a wonderful store of simple courage.	true	538.97	545.29	24.521946
4438_48525_000013_000004	He didn't speak of Vera's death, naturally he didn't wish to speak of that awful afternoon, but how often he must think of it, hiding his thoughts even from her, bearing them altogether alone.	He didn't speak of Vera's death, naturally he didn't wish to speak of that awful afternoon, but how often he must think of it, hiding his thoughts even from her, bearing them altogether alone.	true	545.72	559.24	24.895279
4438_48525_000013_000005	Sometimes she was sure of this, and sometimes she was equally sure of the very opposite.	Sometimes she was sure of this, and sometimes she was equally sure of the very opposite.	true	559.73	565.14	24.37437
4438_48525_000013_000006	From the way he looked, the way he spoke, from those tiny indications that one somehow has noticed without knowing that one has noticed and that are so far more revealing and conclusive than any words, she sometimes was sure he really had forgotten.	From the way he looked, the way he spoke, from those tiny indications that one somehow has noticed without knowing that one has noticed and that are so far more revealing and conclusive than any words, she sometimes was sure he really had forgotten.	false	565.14	583.27	22.881163
4438_48525_000013_000007	But this was too incredible.	But this was too incredible.	true	583.97	585.94	28.096733
4438_48525_000013_000008	She couldn't believe it.	She couldn't believe it.	true	586.13	587.62	27.880308
4438_48525_000013_000009	What had perhaps happened, she thought, was that in self-defence, for the preservation of his peace, he had made up his mind never to think of Vera.	What had perhaps happened, she thought, was that in self defence, for the preservation of his peace, he had made up his mind never to think of Vera.	true	588.74	598.72	26.30339
4438_48525_000013_000010	Only by banishing her altogether from his mind would he be safe.	Only by banishing her altogether from his mind would he be safe.	true	599.39	603.79	21.831062
4438_48525_000013_000011	Yet that couldn't be true either, for several times on the honeymoon he had begun talking of her, of things she had said, of things she had liked, and it was she, Lucy, who stopped him.	Yet that couldn't be true either, for several times on the honeymoon he had begun talking of her, of things she had said, of things she had liked, and it was she, Lucy, who stopped him.	true	605.06	617.2	23.453928
4438_48525_000013_000012	She shrank from hearing anything about Vera.	She shrank from hearing anything about Vera.	true	617.36	620.77	24.338335
4438_48525_000013_000013	She especially shrank from hearing her mentioned casually.	She especially shrank from hearing her mentioned casually.	true	621.86	625.24	22.52337
4438_48525_000013_000014	She was ready to brace herself to talk about her if it was to be a serious talk, because she wanted to help and comfort him whenever the remembrance of her death arose to torment him, but she couldn't bear to hear her mentioned casually.	She was ready to brace herself to talk about her if it was to be a serious talk, because she wanted to help and comfort him whenever the remembrance of her death arose to torment him, but she couldn't bear to hear her mentioned casually.	false	625.73	641.88	25.004324
4438_48525_000013_000015	In a way she admired this casualness, because it was a proof of the supreme wholesomeness Everard had attained to by sheer courageous determination, but even so she couldn't help thinking that she would have preferred a little less of just this kind of wholesomeness in her beloved.	In a way she admired this casualness, because it was a proof of the supreme wholesomeness Everard had attained to by sheer courageous determination, but even so she couldn't help thinking that she would have preferred a little less of just this kind of wholesomeness in her beloved.	false	641.88	661.66	23.24316
4438_48525_000013_000016	She might be too morbid, but wasn't it possible to be too wholesome?	She might be too morbid, but wasn't it possible to be too wholesome?	true	662.78	667.72	24.25756
4438_48525_000013_000017	Anyhow she shrank from the intrusion of Vera into her honeymoon.	Anyhow she shrank from the intrusion of Vera into her honeymoon.	true	668.39	673.27	19.917257
4438_48525_000013_000018	That, at least, ought to be kept free from her.	That, at least, ought to be kept free from her.	true	673.37	676.87	25.901766
4438_48525_000013_000019	Later on at The Willows....	Later on at The Willows....	true	677.18	679.39	22.612427
4438_48525_000014_000000	Lucy fought and fought against it, but always at the back of her mind was the thought, not looked at, slunk away from, but nevertheless fixed, that there at The Willows, waiting for her, was Vera.	Lucy fought and fought against it, but always at the back of her mind was the thought, not looked at, slunk away from, but nevertheless fixed, that there at The Willows, waiting for her, was Vera.	true	680.27	695.04	24.658846
4438_48525_000015_000000	XVI	sixteen	false	695.04	695.22	-20
4438_48525_000016_000000	Those who go to Strorley, and cross the bridge to the other side of the river, have only to follow the towpath for a little to come to The Willows.	Those who go to Strorley, and cross the bridge to the other side of the river, have only to follow the towpath for a little to come to The Willows.	false	695.22	696.63	23.300991
4438_48525_000016_000001	It can also be reached by road, through a white gate down a lane that grows more and more willowy as it gets nearer the river and the house, but is quite passable for carts and even for cars, except when there are floods.	It can also be reached by road, through a white gate down a lane that grows more and more willowy as it gets nearer the river and the house, but is quite passable for carts and even for cars, except when there are floods.	false	696.63	696.93	22
4438_48525_000016_000002	When there are floods this lane disappears, and when the floods have subsided it is black and oozing for a long time afterwards, with clouds of tiny flies dancing about in it if the weather is at all warm, and the shoes of those who walk stick in it and come off, and those who drive, especially if they drive a car, have trouble. But all is well once a second white gate is reached, on the other side of which is a gravel sweep, a variety of handsome shrubs, nicely kept lawns, and The Willows.	When there are floods this lane disappears, and when the floods have subsided it is black and oozing for a long time afterwards, with clouds of tiny flies dancing about in it if the weather is at all warm, and the shoes of those who walk stick in it and come off, and those who drive, especially if they drive a car, have trouble. But all is well once a second white gate is reached, on the other side of which is a gravel sweep, a variety of handsome shrubs, nicely kept lawns, and The Willows.	false	696.93	697.56	21
4438_48525_000016_000003	There are no big trees in the garden of The Willows, because it was built in the middle of meadows where there weren't any, but all round the iron railings of the square garden--the house being the centre of the square--and concealing the wire netting which keeps the pasturing cows from thrusting their heads through and eating the shrubs, is a fringe of willows.	There are no big trees in the garden of The Willows, because it was built in the middle of meadows where there weren't any, but all round the iron railings of the square garden-the house being the centre of the square-and concealing the wire netting which keeps the pasturing cows from thrusting their heads through and eating the shrubs, is a fringe of willows.	false	697.56	698.01	-20
4438_48525_000016_000004	Hence its name.	Hence its name.	false	698.01	698.04	-20
