7704_106974_000001_000000	Found	Found
7704_106974_000037_000000	'But, Major Tracy, you are giving us a shocking idea of the morals in the Service,' said one lady.	'But, Major Tracy, you are giving us a shocking idea of the morals in the Service,' said one lady.
7704_106974_000038_000000	He shrugged his shoulders.	He shrugged his shoulders.
7704_106974_000038_000001	'I grant you, on the whole, they are better than they were, but the Service is no place for highly strung boys like this one.	'I grant you, on the whole, they are better than they were, but the Service is no place for highly strung boys like this one.
7704_106974_000038_000002	The rougher, harder natures get on best.	The rougher, harder natures get on best.
7704_106974_000038_000003	When they get older, and have sense and strength enough to stick to their principles, then let them enlist.'	When they get older, and have sense and strength enough to stick to their principles, then let them enlist.'
7704_106974_000039_000000	'But I have always heard,' said Mrs. Graham, 'that the drummer boys are well looked after now.	'But I have always heard,' said mrs Graham, 'that the drummer boys are well looked after now.
7704_106974_000039_000001	They have a room to themselves, and the chaplains have classes for them.'	They have a room to themselves, and the chaplains have classes for them.'
7704_106974_000040_000000	'That may be.	'That may be.
7704_106974_000040_000001	I would only ask you to watch a boy, as I have, from the start, and see what kind of a man he grows into after having spent most of his early youth in the Service.	I would only ask you to watch a boy, as I have, from the start, and see what kind of a man he grows into after having spent most of his early youth in the Service.
7704_106974_000040_000002	There are exceptions, I know, but precious few, as far as my experience goes.'	There are exceptions, I know, but precious few, as far as my experience goes.'
7704_106974_000041_000000	Teddy did not understand this conversation, but he gathered from the major's tone that he did not approve of him.	Teddy did not understand this conversation, but he gathered from the major's tone that he did not approve of him.
7704_106974_000042_000000	'Do you think I'm too small to be a soldier?' he asked.	'Do you think I'm too small to be a soldier?' he asked.
7704_106974_000043_000000	The major laughed.	The major laughed.
7704_106974_000043_000001	'Don't bother your head about your size,' he said; 'you'll grow, and there's plenty of time before you.'	'Don't bother your head about your size,' he said; 'you'll grow, and there's plenty of time before you.'
7704_106974_000044_000000	'I don't want to be a drummer,' said Teddy earnestly; 'I'd rather wait and be a proper soldier--a soldier that fights.'	'I don't want to be a drummer,' said Teddy earnestly; 'I'd rather wait and be a proper soldier-a soldier that fights.'
7704_106974_000045_000000	'A capital decision--stick to it, little chap, and you have my hearty approval.'	'A capital decision-stick to it, little chap, and you have my hearty approval.'
7704_106974_000046_000000	'You have your father's blood in your veins,' said the colonel, laughing; 'meanwhile, I suppose you try your hand on the village boys, to content your fighting propensities.'	'You have your father's blood in your veins,' said the colonel, laughing; 'meanwhile, I suppose you try your hand on the village boys, to content your fighting propensities.'
7704_106974_000047_000000	'No,' said Teddy, a grave look coming into his sunny blue eyes.	'No,' said Teddy, a grave look coming into his sunny blue eyes.
7704_106974_000049_000000	'He's my own enemy; Mr. Upton told me about him.	'He's my own enemy; mr Upton told me about him.
7704_106974_000049_000001	You see, I belong to God's army.	You see, I belong to God's army.
7704_106974_000049_000002	He takes very little soldiers.	He takes very little soldiers.
7704_106974_000050_000000	There was silence on the little company for a minute, then Major Tracy said with a laugh, 'What an original little oddity it is!--quite a character!'	There was silence on the little company for a minute, then Major Tracy said with a laugh, 'What an original little oddity it is!--quite a character!'
7704_106974_000051_000000	And then Teddy was dismissed.	And then Teddy was dismissed.
7704_106974_000051_000001	He flew down the avenue home as fast as he could go.	He flew down the avenue home as fast as he could go.
7704_106974_000051_000002	Snow was falling, but he heeded it not, and burst into the kitchen a little later in a breathless state of excitement.	Snow was falling, but he heeded it not, and burst into the kitchen a little later in a breathless state of excitement.
7704_106974_000052_000000	His mother knew already, so was prepared for his news, but she was not prepared for the handsome adornment now on her boy's coat, and his grandmother and uncle were equally pleased and gratified at the colonel's kindness.	His mother knew already, so was prepared for his news, but she was not prepared for the handsome adornment now on her boy's coat, and his grandmother and uncle were equally pleased and gratified at the colonel's kindness.
7704_106974_000054_000000	'O God, I do thank You.	'O God, I do thank You.
7704_106974_000054_000001	I knew You would answer me, for You knew how dreadful it was to live without my button, and You knew how unhappy my heart was about it, though I tried to be brave, and not talk about it.	I knew You would answer me, for You knew how dreadful it was to live without my button, and You knew how unhappy my heart was about it, though I tried to be brave, and not talk about it.
7704_106974_000055_000000	The next morning before breakfast, Teddy ran off to tell Nancy, and to show her the long-lost treasure.	The next morning before breakfast, Teddy ran off to tell Nancy, and to show her the long lost treasure.
7704_106974_000055_000001	She was quite as delighted as he was, but said, a few minutes after, 'Button-boy, do you remember telling me you couldn't live without your-button?	She was quite as delighted as he was, but said, a few minutes after, 'Button boy, do you remember telling me you couldn't live without your button?
7704_106974_000056_000000	'Yes, I thought I should; but as soon as I began to pray about it I knew it was coming back, and so I got better.'	'Yes, I thought I should; but as soon as I began to pray about it I knew it was coming back, and so I got better.'
7704_106974_000057_000001	I would take great care of it.'	I would take great care of it.'
7704_106974_000058_000000	'I meant it to be buried with me,' said Teddy, considering, 'but I don't mind altering my mind about it, and if you promise not to give it to any one else, I will let you have it.'	'I meant it to be buried with me,' said Teddy, considering, 'but I don't mind altering my mind about it, and if you promise not to give it to any one else, I will let you have it.'
7704_106974_000060_000000	'And we'll always remember that soldiers and sailors are just as good as each other--they're quite even!'	'And we'll always remember that soldiers and sailors are just as good as each other-they're quite even!'
7704_106974_000061_000000	'Yes,' nodded Nancy; 'sailors and soldiers are quite even, and my father is just as good as your father was!'	'Yes,' nodded Nancy; 'sailors and soldiers are quite even, and my father is just as good as your father was!'
7704_106974_000063_000000	'And when you die, and I get the button, I shall wear it as a brooch!'	'And when you die, and I get the button, I shall wear it as a brooch!'
7704_106974_000064_000001	Is that wicked?	Is that wicked?
7704_106974_000064_000003	He does trouble me a lot now'	He does trouble me a lot now'
7704_106974_000065_000000	'Soldiers must never get tired of fighting, sonny, and you have your Captain to help you.'	'Soldiers must never get tired of fighting, sonny, and you have your Captain to help you.'
7704_106974_000066_000000	'Yes; and I suppose when I get bigger and stronger it will be much easier, won't it?	'Yes; and I suppose when I get bigger and stronger it will be much easier, won't it?
7704_106974_000066_000001	Mother, do you have any fighting?	Mother, do you have any fighting?
7704_106974_000066_000002	Have you got an enemy like me?'	Have you got an enemy like me?'
7704_106974_000067_000000	'Yes, indeed I have, my boy.'	'Yes, indeed I have, my boy.'
7704_106974_000068_000000	'But you're never beaten, are you?	'But you're never beaten, are you?
7704_106974_000068_000001	You never do anything wrong!'	You never do anything wrong!'
7704_106974_000070_000000	Teddy pondered over this.	Teddy pondered over this.
7704_106974_000071_000000	'No, darling; there will be no fighting with sin there.'	'No, darling; there will be no fighting with sin there.'
7704_106974_000072_000000	Teddy smiled.	Teddy smiled.
7704_106974_000073_000000	'There is a verse in the Bible that says, "He that ruleth his spirit is better than he that taketh a city." Mother would rather have her little son fight God's battles than be the bravest soldier in the Queen's army.'	'There is a verse in the Bible that says, "He that ruleth his spirit is better than he that taketh a city." Mother would rather have her little son fight God's battles than be the bravest soldier in the Queen's army.'
7704_106974_000074_000000	'But,' said Teddy, 'I mean to do both; and now, mother, just before I go to sleep, give me father's button to kiss!'	'But,' said Teddy, 'I mean to do both; and now, mother, just before I go to sleep, give me father's button to kiss!'
