3638_696_000005_000000	Chapter III.	Chapter three.
3638_696_000014_000009	You do stand firm, don't you? I like people who are firm like that whatever it is they stand by, even if they are such little fellows as you.	You do stand firm, don't you? I like people who are firm like that whatever it is they stand by, even if they are such little fellows as you.
3638_696_000014_000010	Your expectant eyes ceased to annoy me, I grew fond of them in the end, those expectant eyes.	Your expectant eyes ceased to annoy me, I grew fond of them in the end, those expectant eyes.
3638_696_000014_000011	You seem to love me for some reason, Alyosha?"	You seem to love me for some reason, Alyosha?"
3638_696_000015_000003	You are a riddle to me even now.	You are a riddle to me even now.
3638_696_000015_000004	But I understand something in you, and I did not understand it till this morning."	But I understand something in you, and I did not understand it till this morning."
3638_696_000017_000000	"You won't be angry?" Alyosha laughed too.	"You won't be angry?" Alyosha laughed too.
3638_696_000018_000000	"Well?"	"Well?"
3638_696_000019_000000	"That you are just as young as other young men of three and twenty, that you are just a young and fresh and nice boy, green in fact!	"That you are just as young as other young men of three and twenty, that you are just a young and fresh and nice boy, green in fact!
3638_696_000019_000001	Now, have I insulted you dreadfully?"	Now, have I insulted you dreadfully?"
3638_696_000020_000000	"On the contrary, I am struck by a coincidence," cried Ivan, warmly and good-humoredly.	"On the contrary, I am struck by a coincidence," cried Ivan, warmly and good humoredly.
3638_696_000020_000001	"Would you believe it that ever since that scene with her, I have thought of nothing else but my youthful greenness, and just as though you guessed that, you begin about it.	"Would you believe it that ever since that scene with her, I have thought of nothing else but my youthful greenness, and just as though you guessed that, you begin about it.
3638_696_000020_000003	At thirty, though, I shall be sure to leave the cup, even if I've not emptied it, and turn away--where I don't know.	At thirty, though, I shall be sure to leave the cup, even if I've not emptied it, and turn away-where I don't know.
3638_696_000020_000004	But till I am thirty, I know that my youth will triumph over everything--every disillusionment, every disgust with life.	But till I am thirty, I know that my youth will triumph over everything-every disillusionment, every disgust with life.
3638_696_000020_000005	I've asked myself many times whether there is in the world any despair that would overcome this frantic and perhaps unseemly thirst for life in me, and I've come to the conclusion that there isn't, that is till I am thirty, and then I shall lose it of myself, I fancy.	I've asked myself many times whether there is in the world any despair that would overcome this frantic and perhaps unseemly thirst for life in me, and I've come to the conclusion that there isn't, that is till I am thirty, and then I shall lose it of myself, I fancy.
3638_696_000020_000006	Some driveling consumptive moralists--and poets especially--often call that thirst for life base.	Some driveling consumptive moralists-and poets especially-often call that thirst for life base.
3638_696_000020_000007	It's a feature of the Karamazovs, it's true, that thirst for life regardless of everything; you have it no doubt too, but why is it base?	It's a feature of the Karamazovs, it's true, that thirst for life regardless of everything; you have it no doubt too, but why is it base?
3638_696_000020_000008	The centripetal force on our planet is still fearfully strong, Alyosha.	The centripetal force on our planet is still fearfully strong, Alyosha.
3638_696_000020_000009	I have a longing for life, and I go on living in spite of logic.	I have a longing for life, and I go on living in spite of logic.
3638_696_000020_000010	Though I may not believe in the order of the universe, yet I love the sticky little leaves as they open in spring.	Though I may not believe in the order of the universe, yet I love the sticky little leaves as they open in spring.
3638_696_000020_000011	I love the blue sky, I love some people, whom one loves you know sometimes without knowing why.	I love the blue sky, I love some people, whom one loves you know sometimes without knowing why.
3638_696_000020_000012	I love some great deeds done by men, though I've long ceased perhaps to have faith in them, yet from old habit one's heart prizes them.	I love some great deeds done by men, though I've long ceased perhaps to have faith in them, yet from old habit one's heart prizes them.
3638_696_000020_000013	Here they have brought the soup for you, eat it, it will do you good.	Here they have brought the soup for you, eat it, it will do you good.
3638_696_000020_000014	It's first-rate soup, they know how to make it here.	It's first rate soup, they know how to make it here.
3638_696_000020_000015	I want to travel in Europe, Alyosha, I shall set off from here. And yet I know that I am only going to a graveyard, but it's a most precious graveyard, that's what it is!	I want to travel in Europe, Alyosha, I shall set off from here. And yet I know that I am only going to a graveyard, but it's a most precious graveyard, that's what it is!
3638_696_000020_000016	Precious are the dead that lie there, every stone over them speaks of such burning life in the past, of such passionate faith in their work, their truth, their struggle and their science, that I know I shall fall on the ground and kiss those stones and weep over them; though I'm convinced in my heart that it's long been nothing but a graveyard.	Precious are the dead that lie there, every stone over them speaks of such burning life in the past, of such passionate faith in their work, their truth, their struggle and their science, that I know I shall fall on the ground and kiss those stones and weep over them; though I'm convinced in my heart that it's long been nothing but a graveyard.
3638_696_000020_000018	It's not a matter of intellect or logic, it's loving with one's inside, with one's stomach.	It's not a matter of intellect or logic, it's loving with one's inside, with one's stomach.
3638_696_000020_000019	One loves the first strength of one's youth.	One loves the first strength of one's youth.
3638_696_000020_000020	Do you understand anything of my tirade, Alyosha?" Ivan laughed suddenly.	Do you understand anything of my tirade, Alyosha?" Ivan laughed suddenly.
3638_696_000022_000000	"Love life more than the meaning of it?"	"Love life more than the meaning of it?"
3638_696_000023_000000	"Certainly, love it, regardless of logic as you say, it must be regardless of logic, and it's only then one will understand the meaning of it.	"Certainly, love it, regardless of logic as you say, it must be regardless of logic, and it's only then one will understand the meaning of it.
3638_696_000024_000000	"You are trying to save me, but perhaps I am not lost!	"You are trying to save me, but perhaps I am not lost!
3638_696_000024_000001	And what does your second half mean?"	And what does your second half mean?"
3638_696_000025_000000	"Why, one has to raise up your dead, who perhaps have not died after all. Come, let me have tea.	"Why, one has to raise up your dead, who perhaps have not died after all. Come, let me have tea.
3638_696_000026_000000	"I see you are feeling inspired.	"I see you are feeling inspired.
3638_696_000026_000002	You are a steadfast person, Alexey.	You are a steadfast person, Alexey.
3638_696_000026_000003	Is it true that you mean to leave the monastery?"	Is it true that you mean to leave the monastery?"
3638_696_000028_000001	We shall meet before I am thirty, when I shall begin to turn aside from the cup.	We shall meet before I am thirty, when I shall begin to turn aside from the cup.
3638_696_000028_000002	Father doesn't want to turn aside from his cup till he is seventy, he dreams of hanging on to eighty in fact, so he says.	Father doesn't want to turn aside from his cup till he is seventy, he dreams of hanging on to eighty in fact, so he says.
3638_696_000028_000005	But to hang on to seventy is nasty, better only to thirty; one might retain 'a shadow of nobility' by deceiving oneself.	But to hang on to seventy is nasty, better only to thirty; one might retain 'a shadow of nobility' by deceiving oneself.
3638_696_000030_000000	"But he begged me not to tell Dmitri that he had told me about him," added Alyosha.	"But he begged me not to tell Dmitri that he had told me about him," added Alyosha.
3638_696_000031_000000	"Are you frowning on Smerdyakov's account?" asked Alyosha.	"Are you frowning on Smerdyakov's account?" asked Alyosha.
3638_696_000032_000000	"Yes, on his account.	"Yes, on his account.
3638_696_000032_000001	Damn him, I certainly did want to see Dmitri, but now there's no need," said Ivan reluctantly.	Damn him, I certainly did want to see Dmitri, but now there's no need," said Ivan reluctantly.
3638_696_000033_000000	"But are you really going so soon, brother?"	"But are you really going so soon, brother?"
3638_696_000035_000000	"What of Dmitri and father?	"What of Dmitri and father?
3638_696_000035_000001	how will it end?" asked Alyosha anxiously.	how will it end?" asked Alyosha anxiously.
3638_696_000036_000000	"You are always harping upon it!	"You are always harping upon it!
3638_696_000036_000001	What have I to do with it?	What have I to do with it?
3638_696_000036_000003	"Cain's answer about his murdered brother, wasn't it? Perhaps that's what you're thinking at this moment?	"Cain's answer about his murdered brother, wasn't it? Perhaps that's what you're thinking at this moment?
3638_696_000036_000004	Well, damn it all, I can't stay here to be their keeper, can I? I've finished what I had to do, and I am going.	Well, damn it all, I can't stay here to be their keeper, can I? I've finished what I had to do, and I am going.
3638_696_000036_000006	I finished it.	I finished it.
3638_696_000036_000007	I am going.	I am going.
3638_696_000036_000008	I finished it just now, you were witness."	I finished it just now, you were witness."
3638_696_000038_000000	"Yes, and I've released myself once for all.	"Yes, and I've released myself once for all.
3638_696_000038_000001	And after all, what have I to do with Dmitri?	And after all, what have I to do with Dmitri?
3638_696_000038_000002	Dmitri doesn't come in.	Dmitri doesn't come in.
3638_696_000038_000003	I had my own business to settle with Katerina Ivanovna.	I had my own business to settle with Katerina Ivanovna.
3638_696_000038_000004	You know, on the contrary, that Dmitri behaved as though there was an understanding between us.	You know, on the contrary, that Dmitri behaved as though there was an understanding between us.
3638_696_000038_000006	It's all too funny.	It's all too funny.
3638_696_000038_000007	Ah, Alyosha, if you only knew how light my heart is now!	Ah, Alyosha, if you only knew how light my heart is now!
3638_696_000038_000008	Would you believe, it, I sat here eating my dinner and was nearly ordering champagne to celebrate my first hour of freedom.	Would you believe, it, I sat here eating my dinner and was nearly ordering champagne to celebrate my first hour of freedom.
3638_696_000038_000010	It's been going on nearly six months, and all at once I've thrown it off.	It's been going on nearly six months, and all at once I've thrown it off.
3638_696_000038_000011	I could never have guessed even yesterday, how easy it would be to put an end to it if I wanted."	I could never have guessed even yesterday, how easy it would be to put an end to it if I wanted."
3638_696_000040_000000	"Of my love, if you like.	"Of my love, if you like.
3638_696_000040_000001	I fell in love with the young lady, I worried myself over her and she worried me.	I fell in love with the young lady, I worried myself over her and she worried me.
3638_696_000040_000002	I sat watching over her ... and all at once it's collapsed!	I sat watching over her ... and all at once it's collapsed!
3638_696_000040_000004	Would you believe it?	Would you believe it?
3638_696_000040_000005	Yes, it's the literal truth."	Yes, it's the literal truth."
3638_696_000041_000000	"You seem very merry about it now," observed Alyosha, looking into his face, which had suddenly grown brighter.	"You seem very merry about it now," observed Alyosha, looking into his face, which had suddenly grown brighter.
3638_696_000042_000000	"But how could I tell that I didn't care for her a bit!	"But how could I tell that I didn't care for her a bit!
3638_696_000042_000001	Ha ha!	Ha ha!
3638_696_000042_000002	It appears after all I didn't.	It appears after all I didn't.
3638_696_000042_000003	And yet how she attracted me!	And yet how she attracted me!
3638_696_000042_000004	How attractive she was just now when I made my speech!	How attractive she was just now when I made my speech!
3638_696_000042_000005	And do you know she attracts me awfully even now, yet how easy it is to leave her.	And do you know she attracts me awfully even now, yet how easy it is to leave her.
3638_696_000042_000006	Do you think I am boasting?"	Do you think I am boasting?"
3638_696_000043_000000	"No, only perhaps it wasn't love."	"No, only perhaps it wasn't love."
3638_696_000044_000001	How you rushed into the discussion this morning!	How you rushed into the discussion this morning!
3638_696_000044_000003	But how she tormented me!	But how she tormented me!
3638_696_000044_000004	It certainly was sitting by a 'laceration.' Ah, she knew how I loved her!	It certainly was sitting by a 'laceration.' Ah, she knew how I loved her!
3638_696_000044_000005	She loved me and not Dmitri," Ivan insisted gayly.	She loved me and not Dmitri," Ivan insisted gayly.
3638_696_000044_000006	"Her feeling for Dmitri was simply a self-laceration.	"Her feeling for Dmitri was simply a self laceration.
3638_696_000044_000008	Well, it's better so; I can simply go away for good.	Well, it's better so; I can simply go away for good.
3638_696_000044_000010	What happened after I departed?"	What happened after I departed?"
3638_696_000045_000000	Alyosha told him she had been hysterical, and that she was now, he heard, unconscious and delirious.	Alyosha told him she had been hysterical, and that she was now, he heard, unconscious and delirious.
3638_696_000046_000000	"Isn't Madame Hohlakov laying it on?"	"Isn't Madame Hohlakov laying it on?"
3638_696_000047_000000	"I think not."	"I think not."
3638_696_000048_000000	"I must find out.	"I must find out.
3638_696_000048_000001	Nobody dies of hysterics, though.	Nobody dies of hysterics, though.
3638_696_000048_000002	They don't matter.	They don't matter.
3638_696_000048_000003	God gave woman hysterics as a relief.	God gave woman hysterics as a relief.
3638_696_000048_000004	I won't go to her at all.	I won't go to her at all.
3638_696_000048_000005	Why push myself forward again?"	Why push myself forward again?"
3638_696_000049_000000	"But you told her that she had never cared for you."	"But you told her that she had never cared for you."
3638_696_000050_000000	"I did that on purpose.	"I did that on purpose.
3638_696_000050_000001	Alyosha, shall I call for some champagne?	Alyosha, shall I call for some champagne?
3638_696_000050_000002	Let us drink to my freedom.	Let us drink to my freedom.
3638_696_000051_000000	"No, brother, we had better not drink," said Alyosha suddenly.	"No, brother, we had better not drink," said Alyosha suddenly.
3638_696_000051_000001	"Besides I feel somehow depressed."	"Besides I feel somehow depressed."
3638_696_000052_000000	"Yes, you've been depressed a long time, I've noticed it."	"Yes, you've been depressed a long time, I've noticed it."
3638_696_000054_000000	"Morning?	"Morning?
3638_696_000054_000001	I didn't say I should go in the morning....	I didn't say I should go in the morning....
3638_696_000054_000002	But perhaps it may be the morning.	But perhaps it may be the morning.
3638_696_000054_000003	Would you believe it, I dined here to-day only to avoid dining with the old man, I loathe him so.	Would you believe it, I dined here to day only to avoid dining with the old man, I loathe him so.
3638_696_000054_000004	I should have left long ago, so far as he is concerned.	I should have left long ago, so far as he is concerned.
3638_696_000054_000005	But why are you so worried about my going away? We've plenty of time before I go, an eternity!"	But why are you so worried about my going away? We've plenty of time before I go, an eternity!"
3638_696_000055_000000	"If you are going away to-morrow, what do you mean by an eternity?"	"If you are going away to morrow, what do you mean by an eternity?"
3638_696_000056_000001	"We've time enough for our talk, for what brought us here.	"We've time enough for our talk, for what brought us here.
3638_696_000056_000002	Why do you look so surprised?	Why do you look so surprised?
3638_696_000056_000003	Answer: why have we met here?	Answer: why have we met here?
3638_696_000056_000004	To talk of my love for Katerina Ivanovna, of the old man and Dmitri? of foreign travel? of the fatal position of Russia?	To talk of my love for Katerina Ivanovna, of the old man and Dmitri? of foreign travel? of the fatal position of Russia?
3638_696_000056_000005	Of the Emperor Napoleon?	Of the Emperor Napoleon?
3638_696_000056_000006	Is that it?"	Is that it?"
3638_696_000057_000000	"No."	"no"
3638_696_000058_000000	"Then you know what for.	"Then you know what for.
3638_696_000058_000001	It's different for other people; but we in our green youth have to settle the eternal questions first of all.	It's different for other people; but we in our green youth have to settle the eternal questions first of all.
3638_696_000058_000002	That's what we care about.	That's what we care about.
3638_696_000058_000004	Just when the old folks are all taken up with practical questions.	Just when the old folks are all taken up with practical questions.
3638_696_000058_000005	Why have you been looking at me in expectation for the last three months?	Why have you been looking at me in expectation for the last three months?
3638_696_000058_000006	To ask me, 'What do you believe, or don't you believe at all?' That's what your eyes have been meaning for these three months, haven't they?"	To ask me, 'What do you believe, or don't you believe at all?' That's what your eyes have been meaning for these three months, haven't they?"
3638_696_000059_000000	"Perhaps so," smiled Alyosha.	"Perhaps so," smiled Alyosha.
3638_696_000060_000000	"Me laughing!	"Me laughing!
3638_696_000060_000001	I don't want to wound my little brother who has been watching me with such expectation for three months.	I don't want to wound my little brother who has been watching me with such expectation for three months.
3638_696_000060_000002	Alyosha, look straight at me!	Alyosha, look straight at me!
3638_696_000060_000003	Of course I am just such a little boy as you are, only not a novice.	Of course I am just such a little boy as you are, only not a novice.
3638_696_000060_000004	And what have Russian boys been doing up till now, some of them, I mean?	And what have Russian boys been doing up till now, some of them, I mean?
3638_696_000060_000005	In this stinking tavern, for instance, here, they meet and sit down in a corner.	In this stinking tavern, for instance, here, they meet and sit down in a corner.
3638_696_000060_000006	They've never met in their lives before and, when they go out of the tavern, they won't meet again for forty years.	They've never met in their lives before and, when they go out of the tavern, they won't meet again for forty years.
3638_696_000060_000007	And what do they talk about in that momentary halt in the tavern?	And what do they talk about in that momentary halt in the tavern?
3638_696_000060_000008	Of the eternal questions, of the existence of God and immortality.	Of the eternal questions, of the existence of God and immortality.
3638_696_000060_000009	And those who do not believe in God talk of socialism or anarchism, of the transformation of all humanity on a new pattern, so that it all comes to the same, they're the same questions turned inside out.	And those who do not believe in God talk of socialism or anarchism, of the transformation of all humanity on a new pattern, so that it all comes to the same, they're the same questions turned inside out.
3638_696_000060_000010	And masses, masses of the most original Russian boys do nothing but talk of the eternal questions!	And masses, masses of the most original Russian boys do nothing but talk of the eternal questions!
3638_696_000060_000011	Isn't it so?"	Isn't it so?"
3638_696_000061_000000	"Yes, for real Russians the questions of God's existence and of immortality, or, as you say, the same questions turned inside out, come first and foremost, of course, and so they should," said Alyosha, still watching his brother with the same gentle and inquiring smile.	"Yes, for real Russians the questions of God's existence and of immortality, or, as you say, the same questions turned inside out, come first and foremost, of course, and so they should," said Alyosha, still watching his brother with the same gentle and inquiring smile.
3638_696_000062_000000	"Well, Alyosha, it's sometimes very unwise to be a Russian at all, but anything stupider than the way Russian boys spend their time one can hardly imagine.	"Well, Alyosha, it's sometimes very unwise to be a Russian at all, but anything stupider than the way Russian boys spend their time one can hardly imagine.
3638_696_000062_000001	But there's one Russian boy called Alyosha I am awfully fond of."	But there's one Russian boy called Alyosha I am awfully fond of."
3638_696_000063_000000	"How nicely you put that in!" Alyosha laughed suddenly.	"How nicely you put that in!" Alyosha laughed suddenly.
3638_696_000064_000000	"Well, tell me where to begin, give your orders.	"Well, tell me where to begin, give your orders.
3638_696_000064_000001	The existence of God, eh?"	The existence of God, eh?"
3638_696_000065_000000	"Begin where you like.	"Begin where you like.
3638_696_000065_000001	You declared yesterday at father's that there was no God." Alyosha looked searchingly at his brother.	You declared yesterday at father's that there was no God." Alyosha looked searchingly at his brother.
3638_696_000066_000000	"I said that yesterday at dinner on purpose to tease you and I saw your eyes glow.	"I said that yesterday at dinner on purpose to tease you and I saw your eyes glow.
3638_696_000066_000001	But now I've no objection to discussing with you, and I say so very seriously.	But now I've no objection to discussing with you, and I say so very seriously.
3638_696_000066_000002	I want to be friends with you, Alyosha, for I have no friends and want to try it.	I want to be friends with you, Alyosha, for I have no friends and want to try it.
3638_696_000067_000000	"Yes, of course, if you are not joking now."	"Yes, of course, if you are not joking now."
3638_696_000068_000000	"Joking?	"Joking?
3638_696_000068_000001	I was told at the elder's yesterday that I was joking.	I was told at the elder's yesterday that I was joking.
3638_696_000068_000002	You know, dear boy, there was an old sinner in the eighteenth century who declared that, if there were no God, he would have to be invented.	You know, dear boy, there was an old sinner in the eighteenth century who declared that, if there were no God, he would have to be invented.
3638_696_000068_000004	And what's strange, what would be marvelous, is not that God should really exist; the marvel is that such an idea, the idea of the necessity of God, could enter the head of such a savage, vicious beast as man.	And what's strange, what would be marvelous, is not that God should really exist; the marvel is that such an idea, the idea of the necessity of God, could enter the head of such a savage, vicious beast as man.
3638_696_000068_000005	So holy it is, so touching, so wise and so great a credit it does to man.	So holy it is, so touching, so wise and so great a credit it does to man.
3638_696_000068_000006	As for me, I've long resolved not to think whether man created God or God man.	As for me, I've long resolved not to think whether man created God or God man.
3638_696_000068_000007	And I won't go through all the axioms laid down by Russian boys on that subject, all derived from European hypotheses; for what's a hypothesis there, is an axiom with the Russian boy, and not only with the boys but with their teachers too, for our Russian professors are often just the same boys themselves.	And I won't go through all the axioms laid down by Russian boys on that subject, all derived from European hypotheses; for what's a hypothesis there, is an axiom with the Russian boy, and not only with the boys but with their teachers too, for our Russian professors are often just the same boys themselves.
3638_696_000068_000008	And so I omit all the hypotheses.	And so I omit all the hypotheses.
3638_696_000068_000009	For what are we aiming at now?	For what are we aiming at now?
3638_696_000068_000010	I am trying to explain as quickly as possible my essential nature, that is what manner of man I am, what I believe in, and for what I hope, that's it, isn't it?	I am trying to explain as quickly as possible my essential nature, that is what manner of man I am, what I believe in, and for what I hope, that's it, isn't it?
3638_696_000068_000011	And therefore I tell you that I accept God simply. But you must note this: if God exists and if He really did create the world, then, as we all know, He created it according to the geometry of Euclid and the human mind with the conception of only three dimensions in space.	And therefore I tell you that I accept God simply. But you must note this: if God exists and if He really did create the world, then, as we all know, He created it according to the geometry of Euclid and the human mind with the conception of only three dimensions in space.
3638_696_000068_000012	Yet there have been and still are geometricians and philosophers, and even some of the most distinguished, who doubt whether the whole universe, or to speak more widely the whole of being, was only created in Euclid's geometry; they even dare to dream that two parallel lines, which according to Euclid can never meet on earth, may meet somewhere in infinity.	Yet there have been and still are geometricians and philosophers, and even some of the most distinguished, who doubt whether the whole universe, or to speak more widely the whole of being, was only created in Euclid's geometry; they even dare to dream that two parallel lines, which according to Euclid can never meet on earth, may meet somewhere in infinity.
3638_696_000068_000013	I have come to the conclusion that, since I can't understand even that, I can't expect to understand about God.	I have come to the conclusion that, since I can't understand even that, I can't expect to understand about God.
3638_696_000068_000014	I acknowledge humbly that I have no faculty for settling such questions, I have a Euclidian earthly mind, and how could I solve problems that are not of this world? And I advise you never to think about it either, my dear Alyosha, especially about God, whether He exists or not.	I acknowledge humbly that I have no faculty for settling such questions, I have a Euclidian earthly mind, and how could I solve problems that are not of this world? And I advise you never to think about it either, my dear Alyosha, especially about God, whether He exists or not.
3638_696_000068_000015	All such questions are utterly inappropriate for a mind created with an idea of only three dimensions.	All such questions are utterly inappropriate for a mind created with an idea of only three dimensions.
3638_696_000068_000017	I believe in the Word to Which the universe is striving, and Which Itself was 'with God,' and Which Itself is God and so on, and so on, to infinity.	I believe in the Word to Which the universe is striving, and Which Itself was 'with God,' and Which Itself is God and so on, and so on, to infinity.
3638_696_000068_000018	There are all sorts of phrases for it.	There are all sorts of phrases for it.
3638_696_000068_000019	I seem to be on the right path, don't I? Yet would you believe it, in the final result I don't accept this world of God's, and, although I know it exists, I don't accept it at all.	I seem to be on the right path, don't I? Yet would you believe it, in the final result I don't accept this world of God's, and, although I know it exists, I don't accept it at all.
3638_696_000068_000020	It's not that I don't accept God, you must understand, it's the world created by Him I don't and cannot accept.	It's not that I don't accept God, you must understand, it's the world created by Him I don't and cannot accept.
3638_696_000068_000021	Let me make it plain.	Let me make it plain.
3638_696_000068_000023	I won't accept it.	I won't accept it.
3638_696_000068_000024	Even if parallel lines do meet and I see it myself, I shall see it and say that they've met, but still I won't accept it.	Even if parallel lines do meet and I see it myself, I shall see it and say that they've met, but still I won't accept it.
3638_696_000068_000025	That's what's at the root of me, Alyosha; that's my creed.	That's what's at the root of me, Alyosha; that's my creed.
3638_696_000068_000026	I am in earnest in what I say.	I am in earnest in what I say.
3638_696_000068_000027	I began our talk as stupidly as I could on purpose, but I've led up to my confession, for that's all you want.	I began our talk as stupidly as I could on purpose, but I've led up to my confession, for that's all you want.
3638_696_000068_000028	You didn't want to hear about God, but only to know what the brother you love lives by.	You didn't want to hear about God, but only to know what the brother you love lives by.
3638_696_000068_000029	And so I've told you."	And so I've told you."
3638_696_000070_000000	"And why did you begin 'as stupidly as you could'?" asked Alyosha, looking dreamily at him.	"And why did you begin 'as stupidly as you could'?" asked Alyosha, looking dreamily at him.
3638_696_000071_000000	"To begin with, for the sake of being Russian.	"To begin with, for the sake of being Russian.
3638_696_000071_000001	Russian conversations on such subjects are always carried on inconceivably stupidly.	Russian conversations on such subjects are always carried on inconceivably stupidly.
3638_696_000071_000002	And secondly, the stupider one is, the closer one is to reality.	And secondly, the stupider one is, the closer one is to reality.
3638_696_000071_000003	The stupider one is, the clearer one is.	The stupider one is, the clearer one is.
3638_696_000071_000004	Stupidity is brief and artless, while intelligence wriggles and hides itself.	Stupidity is brief and artless, while intelligence wriggles and hides itself.
3638_696_000071_000005	Intelligence is a knave, but stupidity is honest and straightforward.	Intelligence is a knave, but stupidity is honest and straightforward.
3638_696_000071_000006	I've led the conversation to my despair, and the more stupidly I have presented it, the better for me."	I've led the conversation to my despair, and the more stupidly I have presented it, the better for me."
3638_696_000072_000000	"You will explain why you don't accept the world?" said Alyosha.	"You will explain why you don't accept the world?" said Alyosha.
3638_696_000073_000000	"To be sure I will, it's not a secret, that's what I've been leading up to.	"To be sure I will, it's not a secret, that's what I've been leading up to.
