4148_183988_000010_000000	XVII	seventeen
4148_183988_000050_000005	THEN you might think it your duty to tell Mrs. Leath."	THEN you might think it your duty to tell mrs Leath."
4148_183988_000051_000000	She laid the case before him with a cold lucidity.	She laid the case before him with a cold lucidity.
4148_183988_000052_000000	"I shouldn't feel justified in telling her, behind your back, if I thought you unsuited for the place; but I should certainly feel justified," he rejoined after a pause, "in telling YOU if I thought the place unsuited to you."	"I shouldn't feel justified in telling her, behind your back, if I thought you unsuited for the place; but I should certainly feel justified," he rejoined after a pause, "in telling YOU if I thought the place unsuited to you."
4148_183988_000053_000000	"And that's what you're trying to tell me now?"	"And that's what you're trying to tell me now?"
4148_183988_000056_000001	You're too various, too gifted, too personal, to tie yourself down, at your age, to the dismal drudgery of teaching."	You're too various, too gifted, too personal, to tie yourself down, at your age, to the dismal drudgery of teaching."
4148_183988_000057_000000	"And is THAT what you've told Mrs. Leath?"	"And is THAT what you've told mrs Leath?"
4148_183988_000058_000000	She rushed the question out at him as if she expected to trip him up over it.	She rushed the question out at him as if she expected to trip him up over it.
4148_183988_000059_000000	"I've told her exactly nothing," he replied.	"I've told her exactly nothing," he replied.
4148_183988_000060_000000	"And what--exactly--do you mean by 'nothing'?	"And what-exactly-do you mean by 'nothing'?
4148_183988_000061_000000	Darrow felt his blood rise at the thrust.	Darrow felt his blood rise at the thrust.
4148_183988_000062_000000	"I've told her, simply, that I'd seen you once or twice at Mrs. Murrett's."	"I've told her, simply, that I'd seen you once or twice at mrs Murrett's."
4148_183988_000063_000000	"And not that you've ever seen me since?"	"And not that you've ever seen me since?"
4148_183988_000066_000000	He uttered a protesting exclamation, and his flush reflected itself in the girl's cheek.	He uttered a protesting exclamation, and his flush reflected itself in the girl's cheek.
4148_183988_000067_000000	"Oh, I beg your pardon!	"Oh, I beg your pardon!
4148_183988_000067_000001	I didn't mean to ask you that." She halted, and again cast a rapid glance behind and ahead of her.	I didn't mean to ask you that." She halted, and again cast a rapid glance behind and ahead of her.
4148_183988_000067_000002	Then she held out her hand.	Then she held out her hand.
4148_183988_000068_000002	And you'll give me a chance to talk things over with you?"	And you'll give me a chance to talk things over with you?"
4148_183988_000069_000000	She shook her head with a faint smile.	She shook her head with a faint smile.
4148_183988_000069_000001	"I'm not thinking of the stage. I've had another offer: that's all."	"I'm not thinking of the stage. I've had another offer: that's all."
4148_183988_000070_000000	The relief was hardly less great.	The relief was hardly less great.
4148_183988_000071_000000	"You'll tell me about that, then--won't you?"	"You'll tell me about that, then-won't you?"
4148_183988_000072_000000	Her smile flickered up.	Her smile flickered up.
4148_183988_000072_000001	"Oh, you'll hear about it soon...I must catch Effie now and drag her back to the blackboard."	"Oh, you'll hear about it soon...I must catch Effie now and drag her back to the blackboard."
4148_183988_000073_000000	She walked on for a few yards, and then paused again and confronted him. "I've been odious to you--and not quite honest," she broke out suddenly.	She walked on for a few yards, and then paused again and confronted him. "I've been odious to you-and not quite honest," she broke out suddenly.
4148_183988_000074_000000	"Not quite honest?" he repeated, caught in a fresh wave of wonder.	"Not quite honest?" he repeated, caught in a fresh wave of wonder.
4148_183988_000075_000000	"I mean, in seeming not to trust you.	"I mean, in seeming not to trust you.
4148_183988_000075_000001	It's come over me again as we talked that, at heart, I've always KNOWN I could..."	It's come over me again as we talked that, at heart, I've always KNOWN I could..."
4148_183988_000076_000000	Her colour rose in a bright wave, and her eyes clung to his for a swift instant of reminder and appeal.	Her colour rose in a bright wave, and her eyes clung to his for a swift instant of reminder and appeal.
4148_183988_000076_000001	For the same space of time the past surged up in him confusedly; then a veil dropped between them.	For the same space of time the past surged up in him confusedly; then a veil dropped between them.
4148_183988_000078_000003	Perhaps no one less familiar with her face than Darrow would have discerned the tension of the smile she transferred from himself to Owen Leath, or have remarked that her eyes had hardened from misty grey to a shining darkness.	Perhaps no one less familiar with her face than Darrow would have discerned the tension of the smile she transferred from himself to Owen Leath, or have remarked that her eyes had hardened from misty grey to a shining darkness.
4148_183988_000079_000000	The change, for Darrow, was less definable; but, perhaps for that reason, it struck him as more sharply significant.	The change, for Darrow, was less definable; but, perhaps for that reason, it struck him as more sharply significant.
4148_183988_000079_000001	Only--just what did it signify?	Only-just what did it signify?
4148_183988_000079_000002	Owen, like Sophy Viner, had the kind of face which seems less the stage on which emotions move than the very stuff they work in.	Owen, like Sophy Viner, had the kind of face which seems less the stage on which emotions move than the very stuff they work in.
4148_183988_000079_000004	Darrow, through the rapid flight of the shadows, could not seize on any specific indication of feeling: he merely perceived that the young man was unaccountably surprised at finding him with Miss Viner, and that the extent of his surprise might cover all manner of implications.	Darrow, through the rapid flight of the shadows, could not seize on any specific indication of feeling: he merely perceived that the young man was unaccountably surprised at finding him with Miss Viner, and that the extent of his surprise might cover all manner of implications.
4148_183988_000080_000000	Darrow's first idea was that Owen, if he suspected that the conversation was not the result of an accidental encounter, might wonder at his step-mother's suitor being engaged, at such an hour, in private talk with her little girl's governess.	Darrow's first idea was that Owen, if he suspected that the conversation was not the result of an accidental encounter, might wonder at his step mother's suitor being engaged, at such an hour, in private talk with her little girl's governess.
4148_183988_000080_000002	Presently he was struck by the fact that Owen Leath and the girl were silent also; and this gave a new turn to his thoughts.	Presently he was struck by the fact that Owen Leath and the girl were silent also; and this gave a new turn to his thoughts.
