4148_183988_000000_000000	The girl, a quick red in her cheeks, still hesitated on the threshold.	The girl, a quick red in her cheeks, still hesitated on the threshold.	false	0	2.28	18.997185
4148_183988_000019_000000	He had gathered that Effie's lessons were preceded by an early scamper in the park, and conjecturing that her governess might be with her he betook himself the next morning to the terrace, whence he wandered on to the gardens and the walks beyond.	He had gathered that Effie's lessons were preceded by an early scamper in the park, and conjecturing that her governess might be with her he betook himself the next morning to the terrace, whence he wandered on to the gardens and the walks beyond.	true	364.1	377.92	20.849346
4148_183988_000020_000000	The atmosphere was still and pale.	The atmosphere was still and pale.	true	379.01	381.76	22.193823
4148_183988_000020_000001	The muffled sunlight gleamed like gold tissue through grey gauze, and the beech alleys tapered away to a blue haze blent of sky and forest.	The muffled sunlight gleamed like gold tissue through grey gauze, and the beech alleys tapered away to a blue haze blent of sky and forest.	true	382.16	390.88	18
4148_183988_000020_000002	It was one of those elusive days when the familiar forms of things seem about to dissolve in a prismatic shimmer.	It was one of those elusive days when the familiar forms of things seem about to dissolve in a prismatic shimmer.	true	391.61	398.56	19
4148_183988_000021_000000	The stillness was presently broken by joyful barks, and Darrow, tracking the sound, overtook Effie flying down one of the long alleys at the head of her pack.	The stillness was presently broken by joyful barks, and Darrow, tracking the sound, overtook Effie flying down one of the long alleys at the head of her pack.	true	399.68	409.12	21.165768
4148_183988_000021_000001	Beyond her he saw Miss Viner seated near the stone-rimmed basin beside which he and Anna had paused on their first walk to the river.	Beyond her he saw Miss Viner seated near the stone rimmed basin beside which he and Anna had paused on their first walk to the river.	true	410.06	417.82	16
4148_183988_000022_000000	The girl, coming forward at his approach, returned his greeting almost gaily.	The girl, coming forward at his approach, returned his greeting almost gaily.	true	418.97	423.55	22.251335
4148_183988_000022_000001	His first glance showed him that she had regained her composure, and the change in her appearance gave him the measure of her fears.	His first glance showed him that she had regained her composure, and the change in her appearance gave him the measure of her fears.	true	424.22	431.11	18
4148_183988_000022_000002	For the first time he saw in her again the sidelong grace that had charmed his eyes in Paris; but he saw it now as in a painted picture.	For the first time he saw in her again the sidelong grace that had charmed his eyes in Paris; but he saw it now as in a painted picture.	true	431.87	440.17	20.550869
4148_183988_000023_000000	"Shall we sit down a minute?" he asked, as Effie trotted off.	"Shall we sit down a minute?" he asked, as Effie trotted off.	true	441.23	445.18	21.673674
4148_183988_000024_000000	The girl looked away from him.	The girl looked away from him.	true	446.03	447.79	23.7002
4148_183988_000024_000001	"I'm afraid there's not much time; we must be back at lessons at half-past nine."	"I'm afraid there's not much time; we must be back at lessons at half past nine."	true	448.34	452.77	21.857101
4148_183988_000025_000000	"But it's barely ten minutes past.	"But it's barely ten minutes past.	true	453.44	455.5	22.511917
4148_183988_000025_000001	Let's at least walk a little way toward the river."	Let's at least walk a little way toward the river."	true	455.57	458.23	22.843588
4148_183988_000026_000000	She glanced down the long walk ahead of them and then back in the direction of the house.	She glanced down the long walk ahead of them and then back in the direction of the house.	true	459.29	464.05	18
4148_183988_000026_000001	"If you like," she said in a low voice, with one of her quick fluctuations of colour; but instead of taking the way he proposed she turned toward a narrow path which branched off obliquely through the trees.	"If you like," she said in a low voice, with one of her quick fluctuations of colour; but instead of taking the way he proposed she turned toward a narrow path which branched off obliquely through the trees.	true	464.6	477.01	21.007074
4148_183988_000027_000000	Darrow was struck, and vaguely troubled, by the change in her look and tone.	Darrow was struck, and vaguely troubled, by the change in her look and tone.	true	477.92	482.92	21.105682
4148_183988_000027_000001	There was in them an undefinable appeal, whether for help or forbearance he could not tell.	There was in them an undefinable appeal, whether for help or forbearance he could not tell.	true	483.68	489.97	21.335114
4148_183988_000027_000002	Then it occurred to him that there might have been something misleading in his so pointedly seeking her, and he felt a momentary constraint.	Then it occurred to him that there might have been something misleading in his so pointedly seeking her, and he felt a momentary constraint.	true	491.12	498.82	20.486189
4148_183988_000027_000003	To ease it he made an abrupt dash at the truth.	To ease it he made an abrupt dash at the truth.	true	499.61	502.51	20.727404
4148_183988_000028_000000	"I came out to look for you because our talk of yesterday was so unsatisfactory.	"I came out to look for you because our talk of yesterday was so unsatisfactory.	true	503.99	508.42	19
4148_183988_000028_000001	I want to hear more about you--about your plans and prospects.	I want to hear more about you-about your plans and prospects.	true	509	512.65	21.306753
4148_183988_000028_000002	I've been wondering ever since why you've so completely given up the theatre."	I've been wondering ever since why you've so completely given up the theatre."	true	513.23	517.24	19.985155
4148_183988_000029_000000	Her face instantly sharpened to distrust.	Her face instantly sharpened to distrust.	true	518.15	521.445	22.370224
4148_183988_000029_000001	"I had to live," she said in an off-hand tone.	"I had to live," she said in an off hand tone.	true	521.445	524.38	22.536583
4148_183988_000030_000000	"I understand perfectly that you should like it here--for a time." His glance strayed down the gold-roofed windings ahead of them.	"I understand perfectly that you should like it here-for a time." His glance strayed down the gold roofed windings ahead of them.	true	525.29	532.45	20.048487
4148_183988_000030_000001	"It's delightful: you couldn't be better placed.	"It's delightful: you couldn't be better placed.	true	533	536.29	21.77278
4148_183988_000030_000002	Only I wonder a little at your having so completely given up any idea of a different future."	Only I wonder a little at your having so completely given up any idea of a different future."	true	537.2	542.41	19
4148_183988_000031_000000	She waited for a moment before answering: "I suppose I'm less restless than I used to be."	She waited for a moment before answering: "I suppose I'm less restless than I used to be."	true	543.41	549.34	20.42097
4148_183988_000032_000000	"It's certainly natural that you should be less restless here than at Mrs. Murrett's; yet somehow I don't seem to see you permanently given up to forming the young."	"It's certainly natural that you should be less restless here than at mrs Murrett's; yet somehow I don't seem to see you permanently given up to forming the young."	true	550.64	559.6	20.453222
4148_183988_000033_000000	"What--exactly--DO you seem to see me permanently given up to?	"What-exactly-DO you seem to see me permanently given up to?	true	560.3	564.64	22.19678
4148_183988_000033_000001	You know you warned me rather emphatically against the theatre." She threw off the statement without impatience, as though they were discussing together the fate of a third person in whom both were benevolently interested.	You know you warned me rather emphatically against the theatre." She threw off the statement without impatience, as though they were discussing together the fate of a third person in whom both were benevolently interested.	true	565.16	577.42	20.804249
4148_183988_000033_000002	Darrow considered his reply.	Darrow considered his reply.	true	578.24	580.18	20.151213
4148_183988_000033_000003	"If I did, it was because you so emphatically refused to let me help you to a start."	"If I did, it was because you so emphatically refused to let me help you to a start."	true	580.94	586.39	20.603325
4148_183988_000034_000000	She stopped short and faced him "And you think I may let you now?"	She stopped short and faced him "And you think I may let you now?"	true	586.7	591.37	20.478613
4148_183988_000035_000000	Darrow felt the blood in his cheek.	Darrow felt the blood in his cheek.	true	592.49	594.67	21.10015
4148_183988_000035_000001	He could not understand her attitude--if indeed she had consciously taken one, and her changes of tone did not merely reflect the involuntary alternations of her mood.	He could not understand her attitude-if indeed she had consciously taken one, and her changes of tone did not merely reflect the involuntary alternations of her mood.	true	595.37	604.96	19
4148_183988_000035_000002	It humbled him to perceive once more how little he had to guide him in his judgment of her.	It humbled him to perceive once more how little he had to guide him in his judgment of her.	true	605.66	610.63	15
4148_183988_000035_000003	He said to himself: "If I'd ever cared a straw for her I should know how to avoid hurting her now"--and his insensibility struck him as no better than a vulgar obtuseness.	He said to himself: "If I'd ever cared a straw for her I should know how to avoid hurting her now"--and his insensibility struck him as no better than a vulgar obtuseness.	true	611.48	622.21	19.110327
4148_183988_000035_000004	But he had a fixed purpose ahead and could only push on to it.	But he had a fixed purpose ahead and could only push on to it.	true	622.79	626.71	22.919497
4148_183988_000036_000000	"I hope, at any rate, you'll listen to my reasons.	"I hope, at any rate, you'll listen to my reasons.	true	627.56	630.64	20.594395
4148_183988_000036_000001	There's been time, on both sides, to think them over since----"	There's been time, on both sides, to think them over since----"	true	631.16	634.93	21
4148_183988_000036_000002	He caught himself back and hung helpless on the "since": whatever words he chose, he seemed to stumble among reminders of their past.	He caught himself back and hung helpless on the "since": whatever words he chose, he seemed to stumble among reminders of their past.	true	635.51	644.08	18.197754
4148_183988_000037_000000	She walked on beside him, her eyes on the ground.	She walked on beside him, her eyes on the ground.	true	645.05	648.4	21.66633
4148_183988_000037_000001	"Then I'm to understand--definitely--that you DO renew your offer?" she asked	"Then I'm to understand-definitely-that you DO renew your offer?" she asked	true	649.04	653.98	23.14338
4148_183988_000038_000000	"With all my heart!	"With all my heart!	true	654.44	655.78	21.254414
4148_183988_000038_000001	If you'll only let me----"	If you'll only let me----"	true	656.12	657.73	22.976496
4148_183988_000039_000000	She raised a hand, as though to check him.	She raised a hand, as though to check him.	false	657.86	661.35	19.810776
4148_183988_000039_000001	"It's extremely friendly of you--I DO believe you mean it as a friend--but I don't quite understand why, finding me, as you say, so well placed here, you should show more anxiety about my future than at a time when I was actually, and rather desperately, adrift."	"It's extremely friendly of you-I DO believe you mean it as a friend-but I don't quite understand why, finding me, as you say, so well placed here, you should show more anxiety about my future than at a time when I was actually, and rather desperately, adrift."	true	661.35	677.47	20.749832
4148_183988_000040_000000	"Oh, no, not more!"	"Oh, no, not more!"	true	677.99	679.54	20.85926
4148_183988_000041_000000	"If you show any at all, it must, at any rate, be for different reasons.--In fact, it can only be," she went on, with one of her disconcerting flashes of astuteness, "for one of two reasons; either because you feel you ought to help me, or because, for some reason, you think you owe it to Mrs. Leath to let her know what you know of me."	"If you show any at all, it must, at any rate, be for different reasons.--In fact, it can only be," she went on, with one of her disconcerting flashes of astuteness, "for one of two reasons; either because you feel you ought to help me, or because, for some reason, you think you owe it to mrs Leath to let her know what you know of me."	false	680.21	700.3	20.58276
4148_183988_000042_000000	Darrow stood still in the path.	Darrow stood still in the path.	true	701.69	703.87	25.483585
4148_183988_000042_000001	Behind him he heard Effie's call, and at the child's voice he saw Sophy turn her head with the alertness of one who is obscurely on the watch.	Behind him he heard Effie's call, and at the child's voice he saw Sophy turn her head with the alertness of one who is obscurely on the watch.	true	704.45	712.81	19
4148_183988_000042_000002	The look was so fugitive that he could not have said wherein it differed from her normal professional air of having her pupil on her mind.	The look was so fugitive that he could not have said wherein it differed from her normal professional air of having her pupil on her mind.	true	713.54	720.4	15
4148_183988_000043_000000	Effie sprang past them, and Darrow took up the girl's challenge.	Effie sprang past them, and Darrow took up the girl's challenge.	true	721.58	725.41	22.78948
4148_183988_000044_000000	"What you suggest about Mrs. Leath is hardly worth answering.	"What you suggest about mrs Leath is hardly worth answering.	true	726.59	730.15	19
4148_183988_000044_000001	As to my reasons for wanting to help you, a good deal depends on the words one uses to define rather indefinite things.	As to my reasons for wanting to help you, a good deal depends on the words one uses to define rather indefinite things.	true	730.7	737.53	17
4148_183988_000044_000002	It's true enough that I want to help you; but the wish isn't due to...to any past kindness on your part, but simply to my own interest in you.	It's true enough that I want to help you; but the wish isn't due to...to any past kindness on your part, but simply to my own interest in you.	true	738.14	747.82	21.338427
4148_183988_000044_000003	Why not put it that our friendship gives me the right to intervene for what I believe to be your benefit?"	Why not put it that our friendship gives me the right to intervene for what I believe to be your benefit?"	true	748.64	753.91	18
4148_183988_000045_000000	She took a few hesitating steps and then paused again.	She took a few hesitating steps and then paused again.	true	754.91	758.59	23.130663
4148_183988_000045_000001	Darrow noticed that she had grown pale and that there were rings of shade about her eyes.	Darrow noticed that she had grown pale and that there were rings of shade about her eyes.	true	759.44	764.26	18
4148_183988_000046_000000	"You've known Mrs. Leath a long time?" she asked him suddenly.	"You've known mrs Leath a long time?" she asked him suddenly.	true	765.11	768.46	17
4148_183988_000047_000000	He paused with a sense of approaching peril.	He paused with a sense of approaching peril.	true	769.13	771.67	19.54307
4148_183988_000047_000001	"A long time--yes."	"A long time-yes."	true	772.1	773.59	20
4148_183988_000048_000000	"She told me you were friends--great friends"	"She told me you were friends-great friends"	true	774.65	777.1	22.553978
4148_183988_000049_000000	"Yes," he admitted, "we're great friends."	"Yes," he admitted, "we're great friends."	true	777.5	779.83	20.937351
4148_183988_000050_000000	"Then you might naturally feel yourself justified in telling her that you don't think I'm the right person for Effie." He uttered a sound of protest, but she disregarded it.	"Then you might naturally feel yourself justified in telling her that you don't think I'm the right person for Effie." He uttered a sound of protest, but she disregarded it.	true	780.8	789.73	21.446768
4148_183988_000050_000001	"I don't say you'd LIKE to do it.	"I don't say you'd LIKE to do it.	true	790.43	792.43	20.254742
4148_183988_000050_000002	You wouldn't: you'd hate it.	You wouldn't: you'd hate it.	true	792.71	794.38	22.409931
4148_183988_000050_000003	And the natural alternative would be to try to persuade me that I'd be better off somewhere else than here.	And the natural alternative would be to try to persuade me that I'd be better off somewhere else than here.	true	794.96	800.26	16
4148_183988_000050_000004	But supposing that failed, and you saw I was determined to stay?	But supposing that failed, and you saw I was determined to stay?	true	800.93	804.82	21.480965
4148_183988_000050_000005	THEN you might think it your duty to tell Mrs. Leath."	THEN you might think it your duty to tell mrs Leath."	true	805.13	808.09	21.872816
4148_183988_000051_000000	She laid the case before him with a cold lucidity.	She laid the case before him with a cold lucidity.	true	809.15	812.44	21.510704
4148_183988_000051_000001	"I should, in your place, I believe," she ended with a little laugh.	"I should, in your place, I believe," she ended with a little laugh.	true	813.14	817.09	18.758043
4148_183988_000052_000000	"I shouldn't feel justified in telling her, behind your back, if I thought you unsuited for the place; but I should certainly feel justified," he rejoined after a pause, "in telling YOU if I thought the place unsuited to you."	"I shouldn't feel justified in telling her, behind your back, if I thought you unsuited for the place; but I should certainly feel justified," he rejoined after a pause, "in telling YOU if I thought the place unsuited to you."	true	817.88	831.43	20.779398
4148_183988_000053_000000	"And that's what you're trying to tell me now?"	"And that's what you're trying to tell me now?"	true	832.7	834.82	21.316212
4148_183988_000054_000000	"Yes; but not for the reasons you imagine."	"Yes; but not for the reasons you imagine."	true	835.55	838.81	19.314432
4148_183988_000055_000000	"What, then, are your reasons, if you please?"	"What, then, are your reasons, if you please?"	true	839.27	841.96	19
4148_183988_000056_000000	"I've already implied them in advising you not to give up all idea of the theatre.	"I've already implied them in advising you not to give up all idea of the theatre.	true	842.72	847.24	17.37747
4148_183988_000056_000001	You're too various, too gifted, too personal, to tie yourself down, at your age, to the dismal drudgery of teaching."	You're too various, too gifted, too personal, to tie yourself down, at your age, to the dismal drudgery of teaching."	true	847.76	854.92	21.61676
4148_183988_000057_000000	"And is THAT what you've told Mrs. Leath?"	"And is THAT what you've told mrs Leath?"	true	855.65	857.74	21.231714
4148_183988_000058_000000	She rushed the question out at him as if she expected to trip him up over it.	She rushed the question out at him as if she expected to trip him up over it.	true	858.38	862.9	21
4148_183988_000058_000001	He was moved by the simplicity of the stratagem.	He was moved by the simplicity of the stratagem.	true	863.42	866.17	19.69748
4148_183988_000059_000000	"I've told her exactly nothing," he replied.	"I've told her exactly nothing," he replied.	true	867.05	869.83	22.905434
4148_183988_000060_000000	"And what--exactly--do you mean by 'nothing'?	"And what-exactly-do you mean by 'nothing'?	true	870.38	873.4	24.967539
4148_183988_000060_000001	You and she were talking about me when I came into her sitting-room yesterday."	You and she were talking about me when I came into her sitting room yesterday."	true	873.98	877.72	18
4148_183988_000061_000000	Darrow felt his blood rise at the thrust.	Darrow felt his blood rise at the thrust.	true	878.42	881.05	20.473919
4148_183988_000062_000000	"I've told her, simply, that I'd seen you once or twice at Mrs. Murrett's."	"I've told her, simply, that I'd seen you once or twice at mrs Murrett's."	true	881.84	885.85	20
4148_183988_000063_000000	"And not that you've ever seen me since?"	"And not that you've ever seen me since?"	true	886.55	888.7	20.112488
4148_183988_000064_000000	"And not that I've ever seen you since..."	"And not that I've ever seen you since..."	true	889.04	891.13	19.926167
4148_183988_000065_000000	"And she believes you--she completely believes you?"	"And she believes you-she completely believes you?"	true	891.83	894.76	19.123407
4148_183988_000066_000000	He uttered a protesting exclamation, and his flush reflected itself in the girl's cheek.	He uttered a protesting exclamation, and his flush reflected itself in the girl's cheek.	true	895.55	900.97	22.230824
4148_183988_000067_000000	"Oh, I beg your pardon!	"Oh, I beg your pardon!	true	901.58	903.1	21.665787
4148_183988_000067_000001	I didn't mean to ask you that." She halted, and again cast a rapid glance behind and ahead of her.	I didn't mean to ask you that." She halted, and again cast a rapid glance behind and ahead of her.	true	903.38	910	21.718588
4148_183988_000067_000002	Then she held out her hand.	Then she held out her hand.	true	910.52	912.13	20.258276
4148_183988_000067_000003	"Well, then, thank you--and let me relieve your fears.	"Well, then, thank you-and let me relieve your fears.	true	912.95	916.87	19.358696
4148_183988_000067_000004	I sha'n't be Effie's governess much longer."	I sha'n't be Effie's governess much longer."	false	917.33	921.27	19.438267
