70_121130_000000_000000	"Ah, very good."	"Ah, very good."	false	0	0.45	3
70_121130_000011_000001	As for Benedetto, he gracefully wiped his lips with a fine cambric pocket-handkerchief.	As for Benedetto, he gracefully wiped his lips with a fine cambric pocket handkerchief.	true	241.7	245.86	21.72023
70_121130_000011_000002	"Your profession?"	"Your profession?"	true	246.35	247.48	23.554756
70_121130_000012_000000	"First I was a forger," answered Andrea, as calmly as possible; "then I became a thief, and lately have become an assassin." A murmur, or rather storm, of indignation burst from all parts of the assembly.	"First I was a forger," answered Andrea, as calmly as possible; "then I became a thief, and lately have become an assassin." A murmur, or rather storm, of indignation burst from all parts of the assembly.	false	248.54	261.19	20.275211
70_121130_000012_000001	The judges themselves appeared to be stupefied, and the jury manifested tokens of disgust for cynicism so unexpected in a man of fashion.	The judges themselves appeared to be stupefied, and the jury manifested tokens of disgust for cynicism so unexpected in a man of fashion.	true	261.35	268.92	22.549555
70_121130_000012_000002	M. de Villefort pressed his hand upon his brow, which, at first pale, had become red and burning; then he suddenly arose and looked around as though he had lost his senses--he wanted air.	M. de Villefort pressed his hand upon his brow, which, at first pale, had become red and burning; then he suddenly arose and looked around as though he had lost his senses-he wanted air.	false	268.92	280.21	21.2138
70_121130_000013_000000	"Are you looking for anything, Mr. Procureur?" asked Benedetto, with his most ingratiating smile.	"Are you looking for anything, mr Procureur?" asked Benedetto, with his most ingratiating smile.	false	281.27	287.22	23.540434
70_121130_000013_000001	M. de Villefort answered nothing, but sat, or rather threw himself down again upon his chair.	M. de Villefort answered nothing, but sat, or rather threw himself down again upon his chair.	false	287.22	293.62	22.612495
70_121130_000013_000002	"And now, prisoner, will you consent to tell your name?" said the president.	"And now, prisoner, will you consent to tell your name?" said the president.	true	294.83	298.69	22.479816
70_121130_000013_000003	"The brutal affectation with which you have enumerated and classified your crimes calls for a severe reprimand on the part of the court, both in the name of morality, and for the respect due to humanity.	"The brutal affectation with which you have enumerated and classified your crimes calls for a severe reprimand on the part of the court, both in the name of morality, and for the respect due to humanity.	false	299.12	310.21	21.832407
70_121130_000013_000004	You appear to consider this a point of honor, and it may be for this reason, that you have delayed acknowledging your name.	You appear to consider this a point of honor, and it may be for this reason, that you have delayed acknowledging your name.	true	310.28	316.12	20
70_121130_000013_000005	You wished it to be preceded by all these titles."	You wished it to be preceded by all these titles."	false	316.91	319.42	21.126919
70_121130_000014_000000	"It is quite wonderful, Mr. President, how entirely you have read my thoughts," said Benedetto, in his softest voice and most polite manner. "This is, indeed, the reason why I begged you to alter the order of the questions."	"It is quite wonderful, mr President, how entirely you have read my thoughts," said Benedetto, in his softest voice and most polite manner. "This is, indeed, the reason why I begged you to alter the order of the questions."	false	320.09	331.63	19.26334
70_121130_000014_000001	The public astonishment had reached its height.	The public astonishment had reached its height.	true	331.88	334	23.187311
70_121130_000014_000002	There was no longer any deceit or bravado in the manner of the accused.	There was no longer any deceit or bravado in the manner of the accused.	true	334.37	337.695	18.574726
70_121130_000014_000003	The audience felt that a startling revelation was to follow this ominous prelude.	The audience felt that a startling revelation was to follow this ominous prelude.	true	337.695	341.38	20
70_121130_000015_000000	"Well," said the president; "your name?"	"Well," said the president; "your name?"	true	342.59	345.19	20.535519
70_121130_000016_000000	"I cannot tell you my name, since I do not know it; but I know my father's, and can tell it to you."	"I cannot tell you my name, since I do not know it; but I know my father's, and can tell it to you."	true	345.8	351.13	22.6147
70_121130_000017_000000	A painful giddiness overwhelmed Villefort; great drops of acrid sweat fell from his face upon the papers which he held in his convulsed hand.	A painful giddiness overwhelmed Villefort; great drops of acrid sweat fell from his face upon the papers which he held in his convulsed hand.	true	351.71	358.9	22.284908
70_121130_000018_000000	"Repeat your father's name," said the president.	"Repeat your father's name," said the president.	true	359.72	362.44	21.346594
70_121130_000018_000001	Not a whisper, not a breath, was heard in that vast assembly; every one waited anxiously.	Not a whisper, not a breath, was heard in that vast assembly; every one waited anxiously.	true	362.48	367.84	20.11112
70_121130_000019_000000	"My father is king's attorney," replied Andrea calmly.	"My father is king's attorney," replied Andrea calmly.	true	368.63	372.28	24.06596
70_121130_000020_000000	"King's attorney?" said the president, stupefied, and without noticing the agitation which spread over the face of M. de Villefort; "king's attorney?"	"King's attorney?" said the president, stupefied, and without noticing the agitation which spread over the face of m de Villefort; "king's attorney?"	false	372.56	381.52	23.36281
70_121130_000021_000000	"Yes; and if you wish to know his name, I will tell it,--he is named Villefort." The explosion, which had been so long restrained from a feeling of respect to the court of justice, now burst forth like thunder from the breasts of all present; the court itself did not seek to restrain the feelings of the audience.	"Yes; and if you wish to know his name, I will tell it,--he is named Villefort." The explosion, which had been so long restrained from a feeling of respect to the court of justice, now burst forth like thunder from the breasts of all present; the court itself did not seek to restrain the feelings of the audience.	false	382.31	397.78	22.167994
70_121130_000021_000001	The exclamations, the insults addressed to Benedetto, who remained perfectly unconcerned, the energetic gestures, the movement of the gendarmes, the sneers of the scum of the crowd always sure to rise to the surface in case of any disturbance--all this lasted five minutes, before the door-keepers and magistrates were able to restore silence.	The exclamations, the insults addressed to Benedetto, who remained perfectly unconcerned, the energetic gestures, the movement of the gendarmes, the sneers of the scum of the crowd always sure to rise to the surface in case of any disturbance-all this lasted five minutes, before the door keepers and magistrates were able to restore silence.	false	397.97	414.49	20.968042
70_121130_000021_000002	In the midst of this tumult the voice of the president was heard to exclaim,--"Are you playing with justice, accused, and do you dare set your fellow-citizens an example of disorder which even in these times has never been equalled?"	In the midst of this tumult the voice of the president was heard to exclaim,--"Are you playing with justice, accused, and do you dare set your fellow citizens an example of disorder which even in these times has never been equalled?"	true	415.37	426.79	22.14492
70_121130_000022_000000	Several persons hurried up to M. de Villefort, who sat half bowed over in his chair, offering him consolation, encouragement, and protestations of zeal and sympathy.	Several persons hurried up to m de Villefort, who sat half bowed over in his chair, offering him consolation, encouragement, and protestations of zeal and sympathy.	false	427.88	436.96	21.105494
70_121130_000022_000001	Order was re-established in the hall, except that a few people still moved about and whispered to one another.	Order was re-established in the hall, except that a few people still moved about and whispered to one another.	true	437.78	442.48	21
70_121130_000022_000002	A lady, it was said, had just fainted; they had supplied her with a smelling-bottle, and she had recovered.	A lady, it was said, had just fainted; they had supplied her with a smelling bottle, and she had recovered.	false	443.21	448.21	20.941183
70_121130_000022_000003	During the scene of tumult, Andrea had turned his smiling face towards the assembly; then, leaning with one hand on the oaken rail of the dock, in the most graceful attitude possible, he said: "Gentlemen, I assure you I had no idea of insulting the court, or of making a useless disturbance in the presence of this honorable assembly.	During the scene of tumult, Andrea had turned his smiling face towards the assembly; then, leaning with one hand on the oaken rail of the dock, in the most graceful attitude possible, he said: "Gentlemen, I assure you I had no idea of insulting the court, or of making a useless disturbance in the presence of this honorable assembly.	true	448.49	467.32	20.511164
70_121130_000022_000004	They ask my age; I tell it.	They ask my age; I tell it.	true	467.57	469.6	25.60629
70_121130_000022_000005	They ask where I was born; I answer.	They ask where I was born; I answer.	true	469.67	471.97	19.849524
70_121130_000022_000006	They ask my name, I cannot give it, since my parents abandoned me.	They ask my name, I cannot give it, since my parents abandoned me.	true	472.1	476.14	22.124973
70_121130_000022_000007	But though I cannot give my own name, not possessing one, I can tell them my father's.	But though I cannot give my own name, not possessing one, I can tell them my father's.	true	476.18	481.15	21.522812
70_121130_000022_000008	Now I repeat, my father is named M. de Villefort, and I am ready to prove it."	Now I repeat, my father is named m de Villefort, and I am ready to prove it."	false	481.88	486.73	21.994555
70_121130_000023_000000	There was an energy, a conviction, and a sincerity in the manner of the young man, which silenced the tumult.	There was an energy, a conviction, and a sincerity in the manner of the young man, which silenced the tumult.	true	488.42	493.09	18
70_121130_000023_000001	All eyes were turned for a moment towards the procureur, who sat as motionless as though a thunderbolt had changed him into a corpse.	All eyes were turned for a moment towards the procureur, who sat as motionless as though a thunderbolt had changed him into a corpse.	false	493.52	499.57	21.536276
70_121130_000023_000002	"Gentlemen," said Andrea, commanding silence by his voice and manner; "I owe you the proofs and explanations of what I have said."	"Gentlemen," said Andrea, commanding silence by his voice and manner; "I owe you the proofs and explanations of what I have said."	true	500.39	507.4	21.752407
70_121130_000024_000000	"But," said the irritated president, "you called yourself Benedetto, declared yourself an orphan, and claimed Corsica as your country."	"But," said the irritated president, "you called yourself Benedetto, declared yourself an orphan, and claimed Corsica as your country."	true	508.31	515.5	23.672777
70_121130_000025_000000	"I said anything I pleased, in order that the solemn declaration I have just made should not be withheld, which otherwise would certainly have been the case.	"I said anything I pleased, in order that the solemn declaration I have just made should not be withheld, which otherwise would certainly have been the case.	true	516.05	523.6	23.077272
70_121130_000025_000001	I now repeat that I was born at Auteuil on the night of the 27th of September, 1817, and that I am the son of the procureur, M. de Villefort.	I now repeat that I was born at Auteuil on the night of the twenty seventh of September, eighteen seventeen, and that I am the son of the procureur, m de Villefort.	false	523.88	532.84	22.15307
70_121130_000025_000002	Do you wish for any further details?	Do you wish for any further details?	true	533.36	535.21	19.71771
70_121130_000025_000003	I will give them.	I will give them.	true	535.25	536.41	17.211756
70_121130_000025_000004	I was born in No. 28, Rue de la Fontaine, in a room hung with red damask; my father took me in his arms, telling my mother I was dead, wrapped me in a napkin marked with an H and an N, and carried me into a garden, where he buried me alive."	I was born in no twenty eight, Rue de la Fontaine, in a room hung with red damask; my father took me in his arms, telling my mother I was dead, wrapped me in a napkin marked with an H and an N, and carried me into a garden, where he buried me alive."	false	536.45	549.91	17
70_121130_000026_000000	A shudder ran through the assembly when they saw that the confidence of the prisoner increased in proportion to the terror of M. de Villefort. "But how have you become acquainted with all these details?" asked the president.	A shudder ran through the assembly when they saw that the confidence of the prisoner increased in proportion to the terror of m de Villefort. "But how have you become acquainted with all these details?" asked the president.	false	551.18	562.54	19.703117
70_121130_000027_000000	"I will tell you, Mr. President.	"I will tell you, mr President.	true	562.64	564.225	21
70_121130_000027_000001	A man who had sworn vengeance against my father, and had long watched his opportunity to kill him, had introduced himself that night into the garden in which my father buried me.	A man who had sworn vengeance against my father, and had long watched his opportunity to kill him, had introduced himself that night into the garden in which my father buried me.	true	564.225	572.68	15
70_121130_000027_000002	He was concealed in a thicket; he saw my father bury something in the ground, and stabbed him; then thinking the deposit might contain some treasure he turned up the ground, and found me still living.	He was concealed in a thicket; he saw my father bury something in the ground, and stabbed him; then thinking the deposit might contain some treasure he turned up the ground, and found me still living.	false	573.08	583.02	20.942636
70_121130_000027_000003	The man carried me to the foundling asylum, where I was registered under the number 37.	The man carried me to the foundling asylum, where I was registered under the number thirty seven.	true	583.02	587.68	16
70_121130_000027_000004	Three months afterwards, a woman travelled from Rogliano to Paris to fetch me, and having claimed me as her son, carried me away. Thus, you see, though born in Paris, I was brought up in Corsica."	Three months afterwards, a woman travelled from Rogliano to Paris to fetch me, and having claimed me as her son, carried me away. Thus, you see, though born in Paris, I was brought up in Corsica."	true	588.29	599.62	19.954575
70_121130_000028_000000	There was a moment's silence, during which one could have fancied the hall empty, so profound was the stillness.	There was a moment's silence, during which one could have fancied the hall empty, so profound was the stillness.	true	600.29	605.26	19
70_121130_000028_000001	"Proceed," said the president.	"Proceed," said the president.	true	605.69	607.42	17.324255
70_121130_000029_000000	"Certainly, I might have lived happily amongst those good people, who adored me, but my perverse disposition prevailed over the virtues which my adopted mother endeavored to instil into my heart.	"Certainly, I might have lived happily amongst those good people, who adored me, but my perverse disposition prevailed over the virtues which my adopted mother endeavored to instil into my heart.	false	607.94	616.87	15
70_121130_000029_000001	I increased in wickedness till I committed crime.	I increased in wickedness till I committed crime.	false	616.97	619.66	20
70_121130_000029_000002	One day when I cursed Providence for making me so wicked, and ordaining me to such a fate, my adopted father said to me, 'Do not blaspheme, unhappy child, the crime is that of your father, not yours,--of your father, who consigned you to hell if you died, and to misery if a miracle preserved you alive.' After that I ceased to blaspheme, but I cursed my father.	One day when I cursed Providence for making me so wicked, and ordaining me to such a fate, my adopted father said to me, 'Do not blaspheme, unhappy child, the crime is that of your father, not yours,--of your father, who consigned you to hell if you died, and to misery if a miracle preserved you alive.' After that I ceased to blaspheme, but I cursed my father.	false	619.7	638.68	20.796074
70_121130_000029_000003	That is why I have uttered the words for which you blame me; that is why I have filled this whole assembly with horror.	That is why I have uttered the words for which you blame me; that is why I have filled this whole assembly with horror.	true	638.81	644.02	18
70_121130_000029_000004	If I have committed an additional crime, punish me, but if you will allow that ever since the day of my birth my fate has been sad, bitter, and lamentable, then pity me."	If I have committed an additional crime, punish me, but if you will allow that ever since the day of my birth my fate has been sad, bitter, and lamentable, then pity me."	false	644.24	652.24	15
70_121130_000030_000000	"But your mother?" asked the president.	"But your mother?" asked the president.	true	653.15	655.39	23.45863
70_121130_000031_000000	"My mother thought me dead; she is not guilty.	"My mother thought me dead; she is not guilty.	true	655.46	657.73	21.701881
70_121130_000031_000001	I did not even wish to know her name, nor do I know it." Just then a piercing cry, ending in a sob, burst from the centre of the crowd, who encircled the lady who had before fainted, and who now fell into a violent fit of hysterics.	I did not even wish to know her name, nor do I know it." Just then a piercing cry, ending in a sob, burst from the centre of the crowd, who encircled the lady who had before fainted, and who now fell into a violent fit of hysterics.	false	658.49	669.91	18.81805
70_121130_000031_000002	She was carried out of the hall, the thick veil which concealed her face dropped off, and Madame Danglars was recognized.	She was carried out of the hall, the thick veil which concealed her face dropped off, and Madame Danglars was recognized.	true	670.25	675.97	18.78187
70_121130_000031_000003	Notwithstanding his shattered nerves, the ringing sensation in his ears, and the madness which turned his brain, Villefort rose as he perceived her.	Notwithstanding his shattered nerves, the ringing sensation in his ears, and the madness which turned his brain, Villefort rose as he perceived her.	false	676.16	683.14	14
70_121130_000031_000004	"The proofs, the proofs!" said the president; "remember this tissue of horrors must be supported by the clearest proofs."	"The proofs, the proofs!" said the president; "remember this tissue of horrors must be supported by the clearest proofs."	false	683.42	689.5	22
70_121130_000032_000000	"The proofs?" said Benedetto, laughing; "do you want proofs?"	"The proofs?" said Benedetto, laughing; "do you want proofs?"	true	690.68	693.88	20.954039
70_121130_000033_000000	"Yes."	"Yes."	true	694.16	694.99	21.578655
70_121130_000034_000000	"Well, then, look at M. de Villefort, and then ask me for proofs."	"Well, then, look at m de Villefort, and then ask me for proofs."	false	695.24	698.56	17
70_121130_000035_000000	Every one turned towards the procureur, who, unable to bear the universal gaze now riveted on him alone, advanced staggering into the midst of the tribunal, with his hair dishevelled and his face indented with the mark of his nails.	Every one turned towards the procureur, who, unable to bear the universal gaze now riveted on him alone, advanced staggering into the midst of the tribunal, with his hair dishevelled and his face indented with the mark of his nails.	false	699.05	709.96	15
70_121130_000035_000001	The whole assembly uttered a long murmur of astonishment.	The whole assembly uttered a long murmur of astonishment.	true	710.3	713.02	15.416958
70_121130_000035_000002	"Father," said Benedetto, "I am asked for proofs, do you wish me to give them?"	"Father," said Benedetto, "I am asked for proofs, do you wish me to give them?"	true	714.02	718.84	20.049482
70_121130_000036_000000	"No, no, it is useless," stammered M. de Villefort in a hoarse voice; "no, it is useless!"	"No, no, it is useless," stammered m de Villefort in a hoarse voice; "no, it is useless!"	false	720.05	726.01	16.94514
70_121130_000037_000000	"How useless?" cried the president, "what do you mean?"	"How useless?" cried the president, "what do you mean?"	true	726.5	729.88	19.156069
70_121130_000038_000000	"I mean that I feel it impossible to struggle against this deadly weight which crushes me.	"I mean that I feel it impossible to struggle against this deadly weight which crushes me.	false	730.16	734.41	16
70_121130_000038_000001	Gentlemen, I know I am in the hands of an avenging God!	Gentlemen, I know I am in the hands of an avenging God!	true	734.45	737.41	18
70_121130_000038_000002	We need no proofs; everything relating to this young man is true." A dull, gloomy silence, like that which precedes some awful phenomenon of nature, pervaded the assembly, who shuddered in dismay.	We need no proofs; everything relating to this young man is true." A dull, gloomy silence, like that which precedes some awful phenomenon of nature, pervaded the assembly, who shuddered in dismay.	true	737.42	748.12	20
70_121130_000038_000003	"What, M. de Villefort," cried the president, "do you yield to an hallucination? What, are you no longer in possession of your senses?	"What, m de Villefort," cried the president, "do you yield to an hallucination? What, are you no longer in possession of your senses?	false	748.82	756.04	19.352596
70_121130_000038_000004	This strange, unexpected, terrible accusation has disordered your reason.	This strange, unexpected, terrible accusation has disordered your reason.	true	756.11	759.495	15
70_121130_000038_000005	Come, recover."	Come, recover."	true	759.495	760.72	20.16111
70_121130_000039_000000	The procureur dropped his head; his teeth chattered like those of a man under a violent attack of fever, and yet he was deadly pale.	The procureur dropped his head; his teeth chattered like those of a man under a violent attack of fever, and yet he was deadly pale.	true	761.33	767.47	19
70_121130_000040_000000	"I am in possession of all my senses, sir," he said; "my body alone suffers, as you may suppose.	"I am in possession of all my senses, sir," he said; "my body alone suffers, as you may suppose.	true	768.26	774.165	19.129318
70_121130_000040_000001	I acknowledge myself guilty of all the young man has brought against me, and from this hour hold myself under the authority of the procureur who will succeed me."	I acknowledge myself guilty of all the young man has brought against me, and from this hour hold myself under the authority of the procureur who will succeed me."	true	774.165	781.87	16
70_121130_000041_000000	And as he spoke these words with a hoarse, choking voice, he staggered towards the door, which was mechanically opened by a door-keeper. The whole assembly were dumb with astonishment at the revelation and confession which had produced a catastrophe so different from that which had been expected during the last fortnight by the Parisian world.	And as he spoke these words with a hoarse, choking voice, he staggered towards the door, which was mechanically opened by a door keeper. The whole assembly were dumb with astonishment at the revelation and confession which had produced a catastrophe so different from that which had been expected during the last fortnight by the Parisian world.	true	782.27	798.37	19
70_121130_000042_000000	"Well," said Beauchamp, "let them now say that drama is unnatural!"	"Well," said Beauchamp, "let them now say that drama is unnatural!"	true	798.74	802.62	19.71134
70_121130_000043_000000	"Ma foi!" said Chateau-Renaud, "I would rather end my career like M. de Morcerf; a pistol-shot seems quite delightful compared with this catastrophe."	"Ma foi!" said Chateau Renaud, "I would rather end my career like m de Morcerf; a pistol shot seems quite delightful compared with this catastrophe."	false	802.62	811.36	20
70_121130_000044_000000	"And moreover, it kills," said Beauchamp.	"And moreover, it kills," said Beauchamp.	true	811.97	814.12	22.725363
70_121130_000045_000000	"And to think that I had an idea of marrying his daughter," said Debray. "She did well to die, poor girl!"	"And to think that I had an idea of marrying his daughter," said Debray. "She did well to die, poor girl!"	true	815.06	821.8	16.240862
70_121130_000046_000000	"The sitting is adjourned, gentlemen," said the president; "fresh inquiries will be made, and the case will be tried next session by another magistrate." As for Andrea, who was calm and more interesting than ever, he left the hall, escorted by gendarmes, who involuntarily paid him some attention.	"The sitting is adjourned, gentlemen," said the president; "fresh inquiries will be made, and the case will be tried next session by another magistrate." As for Andrea, who was calm and more interesting than ever, he left the hall, escorted by gendarmes, who involuntarily paid him some attention.	false	822.14	838.21	19.604603
70_121130_000046_000001	"Well, what do you think of this, my fine fellow?" asked Debray of the sergeant-at-arms, slipping a louis into his hand.	"Well, what do you think of this, my fine fellow?" asked Debray of the sergeant at arms, slipping a louis into his hand.	true	838.67	843.67	12
70_121130_000046_000002	"There will be extenuating circumstances," he replied.	"There will be extenuating circumstances," he replied.	false	844.55	859.98	18.219358
