1752_16632_000013_000000	CHAPTER I	CHAPTER one
1752_16632_000072_000004	One of them was a mere shapeless rag hanging by a thread.	One of them was a mere shapeless rag hanging by a thread.
1752_16632_000072_000005	He was dirty and discolored, and his tail was gone.	He was dirty and discolored, and his tail was gone.
1752_16632_000072_000006	But still he smiled with his red-thread mouth and seemed trying to make the best of things.	But still he smiled with his red thread mouth and seemed trying to make the best of things.
1752_16632_000073_000001	"I know there isn't a child in the city who wants such a looking thing.	"I know there isn't a child in the city who wants such a looking thing.
1752_16632_000073_000003	This isn't going to bring out any Christmas spirit," she sneered.	This isn't going to bring out any Christmas spirit," she sneered.
1752_16632_000073_000004	"I will try it and see."	"I will try it and see."
1752_16632_000074_000000	Once more she lifted the window and tossed the dog to the sidewalk.	Once more she lifted the window and tossed the dog to the sidewalk.
1752_16632_000074_000001	He rolled upon his back and lay pathetically with crooked legs yearning upward, still smiling.	He rolled upon his back and lay pathetically with crooked legs yearning upward, still smiling.
1752_16632_000074_000002	Hardly had Miss Terry time to conceal herself behind the curtain when she saw a figure approaching, airily waving a stick.	Hardly had Miss Terry time to conceal herself behind the curtain when she saw a figure approaching, airily waving a stick.
1752_16632_000075_000000	"No ragamuffin this time," she said.	"No ragamuffin this time," she said.
1752_16632_000075_000001	"Hello!	"Hello!
1752_16632_000075_000002	It is that good-for-nothing young Cooper fellow from the next block.	It is that good for nothing young Cooper fellow from the next block.
1752_16632_000075_000003	They say he is a millionaire. Well, he isn't even going to see the Flanton Dog."	They say he is a millionaire. Well, he isn't even going to see the Flanton Dog."
1752_16632_000076_000002	When he reached the spot in the sidewalk where the Flanton Dog lay, he paused a moment looking down.	When he reached the spot in the sidewalk where the Flanton Dog lay, he paused a moment looking down.
1752_16632_000076_000003	Then he poked the object with his stick.	Then he poked the object with his stick.
1752_16632_000076_000004	On the other side of the street a mother and her little boy were passing at the time.	On the other side of the street a mother and her little boy were passing at the time.
1752_16632_000076_000005	The child's eyes caught sight of the dog on the sidewalk, and he hung back, watching to see what the young man would do to it.	The child's eyes caught sight of the dog on the sidewalk, and he hung back, watching to see what the young man would do to it.
1752_16632_000076_000006	But his mother drew him after her.	But his mother drew him after her.
1752_16632_000076_000007	Just then an automobile came panting through the snow.	Just then an automobile came panting through the snow.
1752_16632_000076_000008	With a quick movement Cooper picked up the dog on the end of his stick and tossed it into the street, under the wheels of the machine.	With a quick movement Cooper picked up the dog on the end of his stick and tossed it into the street, under the wheels of the machine.
1752_16632_000076_000009	The baby across the street uttered a howl of anguish at the sight.	The baby across the street uttered a howl of anguish at the sight.
1752_16632_000076_000010	Miss Terry herself was surprised to feel a pang shoot through her as the car passed over the queer old toy.	Miss Terry herself was surprised to feel a pang shoot through her as the car passed over the queer old toy.
1752_16632_000076_000011	She retreated from the window quickly.	She retreated from the window quickly.
1752_16632_000077_000001	"I knew that fellow was a brute.	"I knew that fellow was a brute.
1752_16632_000077_000002	I might have expected something like that.	I might have expected something like that.
1752_16632_000077_000003	But it looked so--so--" She hesitated for a word, and did not finish her sentence, but bit her lip and sniffed cynically.	But it looked so-so-" She hesitated for a word, and did not finish her sentence, but bit her lip and sniffed cynically.
1752_16632_000078_000000	CHAPTER IV	CHAPTER four
1752_16632_000079_000000	THE NOAH'S ARK	THE NOAH'S ARK
1752_16632_000080_000000	"Now, what comes next?" Miss Terry rummaged in the box until her fingers met something odd-shaped, long, and smooth-sided.	"Now, what comes next?" Miss Terry rummaged in the box until her fingers met something odd shaped, long, and smooth sided.
1752_16632_000080_000001	With some difficulty she drew out the object, for it was of good size.	With some difficulty she drew out the object, for it was of good size.
1752_16632_000081_000001	The old Noah's ark," she said.	The old Noah's ark," she said.
1752_16632_000081_000002	"I wonder if all the animals are in there."	"I wonder if all the animals are in there."
1752_16632_000082_000000	She lifted the cover, and turned out into her lap the long-imprisoned animals and their round-bodied chief.	She lifted the cover, and turned out into her lap the long imprisoned animals and their round bodied chief.
1752_16632_000082_000001	Mrs. Noah and her sons had long since disappeared.	mrs Noah and her sons had long since disappeared.
1752_16632_000082_000002	But the ark-builder, hatless and one-armed, still presided over a menagerie of sorry beasts.	But the ark builder, hatless and one armed, still presided over a menagerie of sorry beasts.
1752_16632_000082_000004	To few of them the years had spared a tail.	To few of them the years had spared a tail.
1752_16632_000082_000005	From their close resemblance in their misery, it was not hard to believe in the kinship of all animal life.	From their close resemblance in their misery, it was not hard to believe in the kinship of all animal life.
1752_16632_000082_000006	She took them up and examined them curiously one by one. Finally she selected a shapeless slate-colored block from the mass.	She took them up and examined them curiously one by one. Finally she selected a shapeless slate colored block from the mass.
1752_16632_000082_000007	"This was the elephant," she mused.	"This was the elephant," she mused.
1752_16632_000082_000008	"I remember when Tom stepped on him and smashed his trunk.	"I remember when Tom stepped on him and smashed his trunk.
1752_16632_000082_000009	'I guess I'm going to be an expressman when I grow up,' he said, looking sorry.	'I guess I'm going to be an expressman when I grow up,' he said, looking sorry.
1752_16632_000082_000010	Tom was always full of his jokes.	Tom was always full of his jokes.
1752_16632_000082_000011	Now I'll try this and see what happens to the ark on its last voyage."	Now I'll try this and see what happens to the ark on its last voyage."
1752_16632_000083_000000	Just then there was a noise outside.	Just then there was a noise outside.
1752_16632_000083_000001	An automobile honked past, and Miss Terry shuddered, recalling the pathetic end of the Flanton Dog, which had given her quite a turn.	An automobile honked past, and Miss Terry shuddered, recalling the pathetic end of the Flanton Dog, which had given her quite a turn.
1752_16632_000084_000000	"I hate those horrid machines!" she exclaimed.	"I hate those horrid machines!" she exclaimed.
1752_16632_000084_000001	"They seem like Juggernaut. I'd like to forbid their going through this street."	"They seem like Juggernaut. I'd like to forbid their going through this street."
1752_16632_000085_000000	She crowded the elephant with Noah and the rest of his charge back into the ark and closed the lid.	She crowded the elephant with Noah and the rest of his charge back into the ark and closed the lid.
1752_16632_000085_000001	"I can't throw this out of the window," she reflected.	"I can't throw this out of the window," she reflected.
1752_16632_000085_000002	"They would spill.	"They would spill.
1752_16632_000085_000003	I must take it out on the sidewalk.	I must take it out on the sidewalk.
1752_16632_000085_000004	Land!	Land!
1752_16632_000085_000005	The fire's going out!	The fire's going out!
1752_16632_000085_000006	That girl doesn't know how to build fires so they will keep."	That girl doesn't know how to build fires so they will keep."
1752_16632_000086_000000	She laid the Noah's ark on the table, and going to the closet tugged out several big logs, which she arranged geometrically.	She laid the Noah's ark on the table, and going to the closet tugged out several big logs, which she arranged geometrically.
1752_16632_000086_000001	About laying fires, as about most other things, Miss Terry had her own positive theories.	About laying fires, as about most other things, Miss Terry had her own positive theories.
1752_16632_000086_000002	Taking the bellows in hand she blew furiously, and was presently rewarded with a brisk blaze.	Taking the bellows in hand she blew furiously, and was presently rewarded with a brisk blaze.
1752_16632_000086_000003	She smiled with satisfaction, and trotted upstairs to find her red knit shawl.	She smiled with satisfaction, and trotted upstairs to find her red knit shawl.
1752_16632_000086_000004	With this about her shoulders she was prepared to brave the December frost.	With this about her shoulders she was prepared to brave the December frost.
1752_16632_000086_000005	Down the steps she went, and deposited the ark discreetly at their foot; then returned to take up her position behind the curtains.	Down the steps she went, and deposited the ark discreetly at their foot; then returned to take up her position behind the curtains.
1752_16632_000087_000000	There were a good many people passing, but they seemed too preoccupied to glance down at the sidewalk.	There were a good many people passing, but they seemed too preoccupied to glance down at the sidewalk.
1752_16632_000087_000001	They were nearly all hurrying in one direction.	They were nearly all hurrying in one direction.
1752_16632_000087_000002	Some were running in the middle of the street.	Some were running in the middle of the street.
1752_16632_000088_000000	"They are in a great hurry," sniffed Miss Terry disdainfully.	"They are in a great hurry," sniffed Miss Terry disdainfully.
1752_16632_000088_000001	"One would think they had something really important on hand.	"One would think they had something really important on hand.
1752_16632_000088_000002	I suppose they are going to hear the singing.	I suppose they are going to hear the singing.
1752_16632_000088_000003	Fiddlestick!"	Fiddlestick!"
1752_16632_000089_000000	A man hastened by under the window; a woman; two children, a boy and a girl, running and gesticulating eagerly.	A man hastened by under the window; a woman; two children, a boy and a girl, running and gesticulating eagerly.
1752_16632_000089_000001	None of them noticed the Noah's ark lying at the foot of the steps.	None of them noticed the Noah's ark lying at the foot of the steps.
1752_16632_000090_000000	Miss Terry began to grow impatient.	Miss Terry began to grow impatient.
1752_16632_000090_000001	"Are they all blind?" she fretted. "What is the matter with them?	"Are they all blind?" she fretted. "What is the matter with them?
1752_16632_000090_000002	I wish somebody would find the thing.	I wish somebody would find the thing.
1752_16632_000090_000003	I am tired of seeing it lying there."	I am tired of seeing it lying there."
1752_16632_000091_000000	She tapped the floor impatiently with her slipper.	She tapped the floor impatiently with her slipper.
1752_16632_000091_000001	Just then a woman approached.	Just then a woman approached.
1752_16632_000091_000002	She was dressed in the most uncompromising of mourning, and she walked slowly, with bent head, never glancing at the lighted windows on either side.	She was dressed in the most uncompromising of mourning, and she walked slowly, with bent head, never glancing at the lighted windows on either side.
1752_16632_000092_000001	And sure enough, she did.	And sure enough, she did.
1752_16632_000092_000002	She stopped at the doorstep, drew her skirts aside, and bent over to look at the strange-shaped box at her feet.	She stopped at the doorstep, drew her skirts aside, and bent over to look at the strange shaped box at her feet.
1752_16632_000092_000003	Finally she lifted it But immediately she shivered and acted so strangely that Miss Terry thought she was about to break the toy in pieces on the steps or throw it into the street. Evidently she detested the sight of it.	Finally she lifted it But immediately she shivered and acted so strangely that Miss Terry thought she was about to break the toy in pieces on the steps or throw it into the street. Evidently she detested the sight of it.
1752_16632_000093_000000	Just then up came a second woman with two small boys hanging at her skirts. They were ragged and sick-looking.	Just then up came a second woman with two small boys hanging at her skirts. They were ragged and sick looking.
