534_123059_000000_000001	They were in a wretched state, worn out and worn down.	They were in a wretched state, worn out and worn down.
534_123059_000043_000002	She let her legs go limp like a spoiled child, and sat down on the trail.	She let her legs go limp like a spoiled child, and sat down on the trail.
534_123059_000043_000003	They went on their way, but she did not move.	They went on their way, but she did not move.
534_123059_000044_000000	In the excess of their own misery they were callous to the suffering of their animals.	In the excess of their own misery they were callous to the suffering of their animals.
534_123059_000044_000005	In its frozen state it was more like strips of galvanized iron, and when a dog wrestled it into his stomach it thawed into thin and innutritious leathery strings and into a mass of short hair, irritating and indigestible.	In its frozen state it was more like strips of galvanized iron, and when a dog wrestled it into his stomach it thawed into thin and innutritious leathery strings and into a mass of short hair, irritating and indigestible.
534_123059_000045_000000	And through it all Buck staggered along at the head of the team as in a nightmare.	And through it all Buck staggered along at the head of the team as in a nightmare.
534_123059_000045_000005	It was heartbreaking, only Buck's heart was unbreakable.	It was heartbreaking, only Buck's heart was unbreakable.
534_123059_000046_000001	They were perambulating skeletons.	They were perambulating skeletons.
534_123059_000046_000002	There were seven all together, including him.	There were seven all together, including him.
534_123059_000046_000006	They were simply so many bags of bones in which sparks of life fluttered faintly.	They were simply so many bags of bones in which sparks of life fluttered faintly.
534_123059_000047_000000	There came a day when Billee, the good-natured, fell and could not rise. Hal had traded off his revolver, so he took the axe and knocked Billee on the head as he lay in the traces, then cut the carcass out of the harness and dragged it to one side.	There came a day when Billee, the good-natured, fell and could not rise. Hal had traded off his revolver, so he took the axe and knocked Billee on the head as he lay in the traces, then cut the carcass out of the harness and dragged it to one side.
534_123059_000048_000000	It was beautiful spring weather, but neither dogs nor humans were aware of it.	It was beautiful spring weather, but neither dogs nor humans were aware of it.
534_123059_000048_000007	The sap was rising in the pines. The willows and aspens were bursting out in young buds.	The sap was rising in the pines. The willows and aspens were bursting out in young buds.
534_123059_000048_000008	Shrubs and vines were putting on fresh garbs of green.	Shrubs and vines were putting on fresh garbs of green.
534_123059_000049_000004	Air-holes formed, fissures sprang and spread apart, while thin sections of ice fell through bodily into the river.	Air holes formed, fissures sprang and spread apart, while thin sections of ice fell through bodily into the river.
534_123059_000050_000001	When they halted, the dogs dropped down as though they had all been struck dead.	When they halted, the dogs dropped down as though they had all been struck dead.
534_123059_000050_000003	Charles sat down on a log to rest.	Charles sat down on a log to rest.
534_123059_000050_000005	Hal did the talking.	Hal did the talking.
534_123059_000050_000006	John Thornton was whittling the last touches on an axe-handle he had made from a stick of birch.	john Thornton was whittling the last touches on an axe handle he had made from a stick of birch.
534_123059_000052_000000	"And they told you true," John Thornton answered.	"And they told you true," john Thornton answered.
534_123059_000052_000001	"The bottom's likely to drop out at any moment.	"The bottom's likely to drop out at any moment.
534_123059_000052_000003	I tell you straight, I wouldn't risk my carcass on that ice for all the gold in Alaska."	I tell you straight, I wouldn't risk my carcass on that ice for all the gold in Alaska."
534_123059_000053_000003	Hi! Get up there!	Hi! Get up there!
534_123059_000054_000001	It was idle, he knew, to get between a fool and his folly; while two or three fools more or less would not alter the scheme of things.	It was idle, he knew, to get between a fool and his folly; while two or three fools more or less would not alter the scheme of things.
534_123059_000055_000000	But the team did not get up at the command.	But the team did not get up at the command.
534_123059_000055_000003	John Thornton compressed his lips.	john Thornton compressed his lips.
534_123059_000055_000005	Teek followed. Joe came next, yelping with pain.	Teek followed. Joe came next, yelping with pain.
534_123059_000055_000006	Pike made painful efforts.	Pike made painful efforts.
534_123059_000055_000008	Buck made no effort.	Buck made no effort.
534_123059_000055_000012	A moisture came into his eyes, and, as the whipping continued, he arose and walked irresolutely up and down.	A moisture came into his eyes, and, as the whipping continued, he arose and walked irresolutely up and down.
534_123059_000056_000005	What of the thin and rotten ice he had felt under his feet all day, it seemed that he sensed disaster close at hand, out there ahead on the ice where his master was trying to drive him.	What of the thin and rotten ice he had felt under his feet all day, it seemed that he sensed disaster close at hand, out there ahead on the ice where his master was trying to drive him.
534_123059_000056_000006	He refused to stir.	He refused to stir.
534_123059_000056_000009	It was nearly out.	It was nearly out.
534_123059_000056_000011	As though from a great distance, he was aware that he was being beaten.	As though from a great distance, he was aware that he was being beaten.
534_123059_000056_000012	The last sensations of pain left him.	The last sensations of pain left him.
534_123059_000056_000013	He no longer felt anything, though very faintly he could hear the impact of the club upon his body.	He no longer felt anything, though very faintly he could hear the impact of the club upon his body.
534_123059_000060_000002	I'm going to Dawson."	I'm going to Dawson."
534_123059_000061_000003	He rapped his knuckles again as he tried to pick it up. Then he stooped, picked it up himself, and with two strokes cut Buck's traces.	He rapped his knuckles again as he tried to pick it up. Then he stooped, picked it up himself, and with two strokes cut Buck's traces.
534_123059_000062_000004	They were limping and staggering.	They were limping and staggering.
534_123059_000063_000000	As Buck watched them, Thornton knelt beside him and with rough, kindly hands searched for broken bones.	As Buck watched them, Thornton knelt beside him and with rough, kindly hands searched for broken bones.
534_123059_000063_000003	Suddenly, they saw its back end drop down, as into a rut, and the gee-pole, with Hal clinging to it, jerk into the air.	Suddenly, they saw its back end drop down, as into a rut, and the gee pole, with Hal clinging to it, jerk into the air.
534_123059_000063_000007	The bottom had dropped out of the trail.	The bottom had dropped out of the trail.
534_123059_000064_000000	John Thornton and Buck looked at each other.	john Thornton and Buck looked at each other.
534_123059_000065_000000	"You poor devil," said John Thornton, and Buck licked his hand.	"You poor devil," said john Thornton, and Buck licked his hand.
534_123059_000066_000000	Chapter VI.	Chapter six.
534_123059_000068_000000	A rest comes very good after one has travelled three thousand miles, and it must be confessed that Buck waxed lazy as his wounds healed, his muscles swelled out, and the flesh came back to cover his bones.	A rest comes very good after one has travelled three thousand miles, and it must be confessed that Buck waxed lazy as his wounds healed, his muscles swelled out, and the flesh came back to cover his bones.
534_123059_000068_000001	For that matter, they were all loafing,--Buck, John Thornton, and Skeet and Nig,--waiting for the raft to come that was to carry them down to Dawson.	For that matter, they were all loafing,--Buck, john Thornton, and Skeet and Nig,--waiting for the raft to come that was to carry them down to Dawson.
534_123059_000068_000002	Skeet was a little Irish setter who early made friends with Buck, who, in a dying condition, was unable to resent her first advances.	Skeet was a little Irish setter who early made friends with Buck, who, in a dying condition, was unable to resent her first advances.
534_123059_000068_000003	She had the doctor trait which some dogs possess; and as a mother cat washes her kittens, so she washed and cleansed Buck's wounds.	She had the doctor trait which some dogs possess; and as a mother cat washes her kittens, so she washed and cleansed Buck's wounds.
534_123059_000068_000004	Regularly, each morning after he had finished his breakfast, she performed her self-appointed task, till he came to look for her ministrations as much as he did for Thornton's.	Regularly, each morning after he had finished his breakfast, she performed her self appointed task, till he came to look for her ministrations as much as he did for Thornton's.
534_123059_000068_000005	Nig, equally friendly, though less demonstrative, was a huge black dog, half bloodhound and half deerhound, with eyes that laughed and a boundless good nature.	Nig, equally friendly, though less demonstrative, was a huge black dog, half bloodhound and half deerhound, with eyes that laughed and a boundless good nature.
534_123059_000069_000000	To Buck's surprise these dogs manifested no jealousy toward him.	To Buck's surprise these dogs manifested no jealousy toward him.
534_123059_000069_000002	As Buck grew stronger they enticed him into all sorts of ridiculous games, in which Thornton himself could not forbear to join; and in this fashion Buck romped through his convalescence and into a new existence.	As Buck grew stronger they enticed him into all sorts of ridiculous games, in which Thornton himself could not forbear to join; and in this fashion Buck romped through his convalescence and into a new existence.
534_123059_000069_000003	Love, genuine passionate love, was his for the first time.	Love, genuine passionate love, was his for the first time.
534_123059_000070_000000	This man had saved his life, which was something; but, further, he was the ideal master.	This man had saved his life, which was something; but, further, he was the ideal master.
534_123059_000070_000001	Other men saw to the welfare of their dogs from a sense of duty and business expediency; he saw to the welfare of his as if they were his own children, because he could not help it.	Other men saw to the welfare of their dogs from a sense of duty and business expediency; he saw to the welfare of his as if they were his own children, because he could not help it.
534_123059_000070_000002	And he saw further.	And he saw further.
534_123059_000070_000004	He had a way of taking Buck's head roughly between his hands, and resting his own head upon Buck's, of shaking him back and forth, the while calling him ill names that to Buck were love names.	He had a way of taking Buck's head roughly between his hands, and resting his own head upon Buck's, of shaking him back and forth, the while calling him ill names that to Buck were love names.
534_123059_000070_000005	Buck knew no greater joy than that rough embrace and the sound of murmured oaths, and at each jerk back and forth it seemed that his heart would be shaken out of his body so great was its ecstasy.	Buck knew no greater joy than that rough embrace and the sound of murmured oaths, and at each jerk back and forth it seemed that his heart would be shaken out of his body so great was its ecstasy.
534_123059_000070_000006	And when, released, he sprang to his feet, his mouth laughing, his eyes eloquent, his throat vibrant with unuttered sound, and in that fashion remained without movement, John Thornton would reverently exclaim, "God! you can all but speak!"	And when, released, he sprang to his feet, his mouth laughing, his eyes eloquent, his throat vibrant with unuttered sound, and in that fashion remained without movement, john Thornton would reverently exclaim, "God! you can all but speak!"
534_123059_000071_000000	Buck had a trick of love expression that was akin to hurt.	Buck had a trick of love expression that was akin to hurt.
534_123059_000071_000001	He would often seize Thornton's hand in his mouth and close so fiercely that the flesh bore the impress of his teeth for some time afterward.	He would often seize Thornton's hand in his mouth and close so fiercely that the flesh bore the impress of his teeth for some time afterward.
534_123059_000072_000000	For the most part, however, Buck's love was expressed in adoration. While he went wild with happiness when Thornton touched him or spoke to him, he did not seek these tokens.	For the most part, however, Buck's love was expressed in adoration. While he went wild with happiness when Thornton touched him or spoke to him, he did not seek these tokens.
534_123059_000072_000004	And often, such was the communion in which they lived, the strength of Buck's gaze would draw John Thornton's head around, and he would return the gaze, without speech, his heart shining out of his eyes as Buck's heart shone out.	And often, such was the communion in which they lived, the strength of Buck's gaze would draw john Thornton's head around, and he would return the gaze, without speech, his heart shining out of his eyes as Buck's heart shone out.
534_123059_000073_000000	For a long time after his rescue, Buck did not like Thornton to get out of his sight.	For a long time after his rescue, Buck did not like Thornton to get out of his sight.
534_123059_000073_000001	From the moment he left the tent to when he entered it again, Buck would follow at his heels.	From the moment he left the tent to when he entered it again, Buck would follow at his heels.
534_123059_000074_000000	But in spite of this great love he bore John Thornton, which seemed to bespeak the soft civilizing influence, the strain of the primitive, which the Northland had aroused in him, remained alive and active. Faithfulness and devotion, things born of fire and roof, were his; yet he retained his wildness and wiliness.	But in spite of this great love he bore john Thornton, which seemed to bespeak the soft civilizing influence, the strain of the primitive, which the Northland had aroused in him, remained alive and active. Faithfulness and devotion, things born of fire and roof, were his; yet he retained his wildness and wiliness.
534_123059_000074_000002	Because of his very great love, he could not steal from this man, but from any other man, in any other camp, he did not hesitate an instant; while the cunning with which he stole enabled him to escape detection.	Because of his very great love, he could not steal from this man, but from any other man, in any other camp, he did not hesitate an instant; while the cunning with which he stole enabled him to escape detection.
534_123059_000075_000001	Skeet and Nig were too good-natured for quarrelling,--besides, they belonged to John Thornton; but the strange dog, no matter what the breed or valor, swiftly acknowledged Buck's supremacy or found himself struggling for life with a terrible antagonist.	Skeet and Nig were too good-natured for quarrelling,--besides, they belonged to john Thornton; but the strange dog, no matter what the breed or valor, swiftly acknowledged Buck's supremacy or found himself struggling for life with a terrible antagonist.
534_123059_000075_000002	And Buck was merciless.	And Buck was merciless.
534_123059_000075_000007	It was misunderstood for fear, and such misunderstandings made for death.	It was misunderstood for fear, and such misunderstandings made for death.
534_123059_000075_000008	Kill or be killed, eat or be eaten, was the law; and this mandate, down out of the depths of Time, he obeyed.	Kill or be killed, eat or be eaten, was the law; and this mandate, down out of the depths of Time, he obeyed.
534_123059_000077_000002	But as often as he gained the soft unbroken earth and the green shade, the love for John Thornton drew him back to the fire again.	But as often as he gained the soft unbroken earth and the green shade, the love for john Thornton drew him back to the fire again.
534_123059_000079_000002	Nothing was too great for Buck to do, when Thornton commanded.	Nothing was too great for Buck to do, when Thornton commanded.
534_123059_000079_000003	One day (they had grub-staked themselves from the proceeds of the raft and left Dawson for the head-waters of the Tanana) the men and dogs were sitting on the crest of a cliff which fell away, straight down, to naked bed-rock three hundred feet below.	One day (they had grub staked themselves from the proceeds of the raft and left Dawson for the head waters of the Tanana) the men and dogs were sitting on the crest of a cliff which fell away, straight down, to naked bed rock three hundred feet below.
534_123059_000079_000004	John Thornton was sitting near the edge, Buck at his shoulder.	john Thornton was sitting near the edge, Buck at his shoulder.
534_123059_000080_000000	"It's uncanny," Pete said, after it was over and they had caught their speech.	"It's uncanny," Pete said, after it was over and they had caught their speech.
534_123059_000081_000001	"No, it is splendid, and it is terrible, too. Do you know, it sometimes makes me afraid."	"No, it is splendid, and it is terrible, too. Do you know, it sometimes makes me afraid."
534_123059_000083_000001	"Not mineself either."	"Not mineself either."
534_123059_000085_000004	A "miners' meeting," called on the spot, decided that the dog had sufficient provocation, and Buck was discharged.	A "miners' meeting," called on the spot, decided that the dog had sufficient provocation, and Buck was discharged.
534_123059_000086_000003	Buck, on the bank, worried and anxious, kept abreast of the boat, his eyes never off his master.	Buck, on the bank, worried and anxious, kept abreast of the boat, his eyes never off his master.
534_123059_000087_000001	This it did, and was flying down-stream in a current as swift as a mill-race, when Hans checked it with the rope and checked too suddenly.	This it did, and was flying down stream in a current as swift as a mill race, when Hans checked it with the rope and checked too suddenly.
534_123059_000088_000001	When he felt him grasp his tail, Buck headed for the bank, swimming with all his splendid strength.	When he felt him grasp his tail, Buck headed for the bank, swimming with all his splendid strength.
534_123059_000088_000002	But the progress shoreward was slow; the progress down-stream amazingly rapid.	But the progress shoreward was slow; the progress down stream amazingly rapid.
534_123059_000088_000004	The suck of the water as it took the beginning of the last steep pitch was frightful, and Thornton knew that the shore was impossible.	The suck of the water as it took the beginning of the last steep pitch was frightful, and Thornton knew that the shore was impossible.
534_123059_000088_000006	He clutched its slippery top with both hands, releasing Buck, and above the roar of the churning water shouted: "Go, Buck!	He clutched its slippery top with both hands, releasing Buck, and above the roar of the churning water shouted: "Go, Buck!
534_123059_000091_000000	Hans promptly snubbed with the rope, as though Buck were a boat.	Hans promptly snubbed with the rope, as though Buck were a boat.
534_123059_000091_000003	He staggered to his feet and fell down.	He staggered to his feet and fell down.
534_123059_000091_000004	The faint sound of Thornton's voice came to them, and though they could not make out the words of it, they knew that he was in his extremity.	The faint sound of Thornton's voice came to them, and though they could not make out the words of it, they knew that he was in his extremity.
534_123059_000092_000002	Hans paid out the rope, permitting no slack, while Pete kept it clear of coils.	Hans paid out the rope, permitting no slack, while Pete kept it clear of coils.
534_123059_000092_000004	Thornton saw him coming, and, as Buck struck him like a battering ram, with the whole force of the current behind him, he reached up and closed with both arms around the shaggy neck.	Thornton saw him coming, and, as Buck struck him like a battering ram, with the whole force of the current behind him, he reached up and closed with both arms around the shaggy neck.
534_123059_000093_000001	His first glance was for Buck, over whose limp and apparently lifeless body Nig was setting up a howl, while Skeet was licking the wet face and closed eyes.	His first glance was for Buck, over whose limp and apparently lifeless body Nig was setting up a howl, while Skeet was licking the wet face and closed eyes.
534_123059_000093_000002	Thornton was himself bruised and battered, and he went carefully over Buck's body, when he had been brought around, finding three broken ribs.	Thornton was himself bruised and battered, and he went carefully over Buck's body, when he had been brought around, finding three broken ribs.
534_123059_000095_000001	This exploit was particularly gratifying to the three men; for they stood in need of the outfit which it furnished, and were enabled to make a long-desired trip into the virgin East, where miners had not yet appeared.	This exploit was particularly gratifying to the three men; for they stood in need of the outfit which it furnished, and were enabled to make a long desired trip into the virgin East, where miners had not yet appeared.
534_123059_000095_000003	At the end of half an hour one man stated that his dog could start a sled with five hundred pounds and walk off with it; a second bragged six hundred for his dog; and a third, seven hundred.	At the end of half an hour one man stated that his dog could start a sled with five hundred pounds and walk off with it; a second bragged six hundred for his dog; and a third, seven hundred.
534_123059_000096_000000	"Pooh! pooh!" said John Thornton; "Buck can start a thousand pounds."	"Pooh! pooh!" said john Thornton; "Buck can start a thousand pounds."
534_123059_000097_000000	"And break it out?	"And break it out?
534_123059_000100_000000	Nobody spoke.	Nobody spoke.
534_123059_000100_000001	Thornton's bluff, if bluff it was, had been called.	Thornton's bluff, if bluff it was, had been called.
534_123059_000100_000002	He could feel a flush of warm blood creeping up his face.	He could feel a flush of warm blood creeping up his face.
534_123059_000100_000003	His tongue had tricked him.	His tongue had tricked him.
534_123059_000100_000005	The enormousness of it appalled him.	The enormousness of it appalled him.
534_123059_000100_000006	He had great faith in Buck's strength and had often thought him capable of starting such a load; but never, as now, had he faced the possibility of it, the eyes of a dozen men fixed upon him, silent and waiting.	He had great faith in Buck's strength and had often thought him capable of starting such a load; but never, as now, had he faced the possibility of it, the eyes of a dozen men fixed upon him, silent and waiting.
534_123059_000101_000000	"I've got a sled standing outside now, with twenty fiftypound sacks of flour on it," Matthewson went on with brutal directness; "so don't let that hinder you."	"I've got a sled standing outside now, with twenty fiftypound sacks of flour on it," Matthewson went on with brutal directness; "so don't let that hinder you."
534_123059_000102_000000	Thornton did not reply.	Thornton did not reply.
534_123059_000102_000001	He did not know what to say.	He did not know what to say.
534_123059_000104_000001	"Though it's little faith I'm having, John, that the beast can do the trick."	"Though it's little faith I'm having, john, that the beast can do the trick."
534_123059_000105_000005	A quibble arose concerning the phrase "break out." O'Brien contended it was Thornton's privilege to knock the runners loose, leaving Buck to "break it out" from a dead standstill.	A quibble arose concerning the phrase "break out." O'Brien contended it was Thornton's privilege to knock the runners loose, leaving Buck to "break it out" from a dead standstill.
534_123059_000105_000007	A majority of the men who had witnessed the making of the bet decided in his favor, whereat the odds went up to three to one against Buck.	A majority of the men who had witnessed the making of the bet decided in his favor, whereat the odds went up to three to one against Buck.
534_123059_000106_000001	Not a man believed him capable of the feat. Thornton had been hurried into the wager, heavy with doubt; and now that he looked at the sled itself, the concrete fact, with the regular team of ten dogs curled up in the snow before it, the more impossible the task appeared.	Not a man believed him capable of the feat. Thornton had been hurried into the wager, heavy with doubt; and now that he looked at the sled itself, the concrete fact, with the regular team of ten dogs curled up in the snow before it, the more impossible the task appeared.
534_123059_000106_000002	Matthewson waxed jubilant.	Matthewson waxed jubilant.
534_123059_000109_000000	The team of ten dogs was unhitched, and Buck, with his own harness, was put into the sled.	The team of ten dogs was unhitched, and Buck, with his own harness, was put into the sled.
534_123059_000110_000002	"I offer you eight hundred for him, sir, before the test, sir; eight hundred just as he stands."	"I offer you eight hundred for him, sir, before the test, sir; eight hundred just as he stands."
534_123059_000112_000000	"You must stand off from him," Matthewson protested.	"You must stand off from him," Matthewson protested.
534_123059_000112_000001	"Free play and plenty of room."	"Free play and plenty of room."
534_123059_000114_000000	Thornton knelt down by Buck's side.	Thornton knelt down by Buck's side.
534_123059_000114_000001	He took his head in his two hands and rested cheek on cheek.	He took his head in his two hands and rested cheek on cheek.
534_123059_000114_000003	"As you love me, Buck.	"As you love me, Buck.
534_123059_000114_000005	Buck whined with suppressed eagerness.	Buck whined with suppressed eagerness.
534_123059_000115_000000	The crowd was watching curiously.	The crowd was watching curiously.
534_123059_000115_000001	The affair was growing mysterious.	The affair was growing mysterious.
534_123059_000115_000004	It was the answer, in terms, not of speech, but of love.	It was the answer, in terms, not of speech, but of love.
534_123059_000115_000005	Thornton stepped well back.	Thornton stepped well back.
534_123059_000116_000000	"Now, Buck," he said.	"Now, Buck," he said.
534_123059_000118_000000	"Gee!" Thornton's voice rang out, sharp in the tense silence.	"Gee!" Thornton's voice rang out, sharp in the tense silence.
534_123059_000119_000001	The load quivered, and from under the runners arose a crisp crackling.	The load quivered, and from under the runners arose a crisp crackling.
534_123059_000121_000000	Buck duplicated the manoeuvre, this time to the left.	Buck duplicated the manoeuvre, this time to the left.
534_123059_000121_000002	The sled was broken out.	The sled was broken out.
534_123059_000122_000000	"Now, MUSH!"	"Now, MUSH!"
534_123059_000123_000000	Thornton's command cracked out like a pistol-shot.	Thornton's command cracked out like a pistol shot.
