6189_64708_000001_000000	THE ENCHANTED STAG	THE ENCHANTED STAG
6189_64708_000008_000000	Then she cried quickly, "Stay, brother, stay! do not drink, or you will become a wild beast, and tear me to pieces."	Then she cried quickly, "Stay, brother, stay! do not drink, or you will become a wild beast, and tear me to pieces."
6189_64708_000009_000000	Thirsty as he was, the brother conquered his desire to drink at her words, and said, "Dear sister, I will wait till we come to a spring." So they wandered farther, but as they approached, she heard in the bubbling spring the words--	Thirsty as he was, the brother conquered his desire to drink at her words, and said, "Dear sister, I will wait till we come to a spring." So they wandered farther, but as they approached, she heard in the bubbling spring the words-
6189_64708_000010_000000	"Who drinks of me, a wolf will be."	"Who drinks of me, a wolf will be."
6189_64708_000011_000000	"Brother, I pray you, do not drink of this brook; you will be changed into a wolf, and devour me."	"Brother, I pray you, do not drink of this brook; you will be changed into a wolf, and devour me."
6189_64708_000012_000000	Again the brother denied himself and promised to wait; but he said, "At the next stream I must drink, say what you will, my thirst is so great."	Again the brother denied himself and promised to wait; but he said, "At the next stream I must drink, say what you will, my thirst is so great."
6189_64708_000013_000000	Not far off ran a pretty streamlet, looking clear and bright; but here also in its murmuring waters, the sister heard the words--	Not far off ran a pretty streamlet, looking clear and bright; but here also in its murmuring waters, the sister heard the words-
6189_64708_000014_000000	"Who dares to drink of me, Turned to a stag will be."	"Who dares to drink of me, Turned to a stag will be."
6189_64708_000015_000000	"Dear brother, do not drink," she began; but she was too late, for her brother had already knelt by the stream to drink, and as the first drop of water touched his lips he became a fawn.	"Dear brother, do not drink," she began; but she was too late, for her brother had already knelt by the stream to drink, and as the first drop of water touched his lips he became a fawn.
6189_64708_000015_000001	How the little sister wept over the enchanted brother, and the fawn wept also.	How the little sister wept over the enchanted brother, and the fawn wept also.
6189_64708_000018_000000	Every morning she went out to gather dried roots, nuts, and berries, for her own food, and sweet fresh grass for the fawn, which he ate out of her hand, and the poor little animal went out with her, and played about as happy as the day was long.	Every morning she went out to gather dried roots, nuts, and berries, for her own food, and sweet fresh grass for the fawn, which he ate out of her hand, and the poor little animal went out with her, and played about as happy as the day was long.
6189_64708_000019_000000	When evening came, and the poor sister felt tired, she would kneel down and say her prayers, and then lay her delicate head on the fawn's back, which was a soft warm pillow, on which she could sleep peacefully.	When evening came, and the poor sister felt tired, she would kneel down and say her prayers, and then lay her delicate head on the fawn's back, which was a soft warm pillow, on which she could sleep peacefully.
6189_64708_000019_000002	After they had been alone in the forest for some time, and the little sister had grown a lovely maiden, and the fawn a large stag, a numerous hunting party came to the forest, and amongst them the king of the country.	After they had been alone in the forest for some time, and the little sister had grown a lovely maiden, and the fawn a large stag, a numerous hunting party came to the forest, and amongst them the king of the country.
6189_64708_000021_000000	"Oh dear," he said, "do let me go and see the hunt; I cannot restrain myself." And he begged so hard that at last she reluctantly consented.	"Oh dear," he said, "do let me go and see the hunt; I cannot restrain myself." And he begged so hard that at last she reluctantly consented.
6189_64708_000022_000000	"But remember," she said, "I must lock the cottage door against those huntsmen, so when you come back in the evening, and knock, I shall not admit you, unless you say, 'Dear little sister let me in.'"	"But remember," she said, "I must lock the cottage door against those huntsmen, so when you come back in the evening, and knock, I shall not admit you, unless you say, 'Dear little sister let me in.'"
6189_64708_000024_000000	He had not run far when the king's chief hunter caught sight of the beautiful animal, and started off in chase of him; but it was no easy matter to overtake such rapid footsteps.	He had not run far when the king's chief hunter caught sight of the beautiful animal, and started off in chase of him; but it was no easy matter to overtake such rapid footsteps.
6189_64708_000024_000001	Once, when he thought he had him safe, the fawn sprang over the bushes and disappeared.	Once, when he thought he had him safe, the fawn sprang over the bushes and disappeared.
6189_64708_000025_000000	As it was now nearly dark, he ran up to the little cottage, knocked at the door, and cried, "Dear little sister, let me in." The door was instantly opened, and oh, how glad his sister was to see him safely resting on his soft pleasant bed!	As it was now nearly dark, he ran up to the little cottage, knocked at the door, and cried, "Dear little sister, let me in." The door was instantly opened, and oh, how glad his sister was to see him safely resting on his soft pleasant bed!
6189_64708_000027_000000	She opened the door, and said, "I will let you go this time; but pray do not forget to say what I told you, when you return this evening."	She opened the door, and said, "I will let you go this time; but pray do not forget to say what I told you, when you return this evening."
6189_64708_000029_000000	They chased him with all their skill till the evening; but he was too light and nimble for them to catch, till a shot wounded him slightly in the foot, so that he was obliged to hide himself in the bushes, and, after the huntsmen were gone, limp slowly home.	They chased him with all their skill till the evening; but he was too light and nimble for them to catch, till a shot wounded him slightly in the foot, so that he was obliged to hide himself in the bushes, and, after the huntsmen were gone, limp slowly home.
6189_64708_000030_000000	One of them, however, determined to follow him at a distance, and discover where he went.	One of them, however, determined to follow him at a distance, and discover where he went.
6189_64708_000030_000001	What was his surprise at seeing him go up to a door and knock, and to hear him say, "Dear little sister, let me in." The door was only opened a little way, and quickly shut; but the huntsman had seen enough to make him full of wonder, when he returned and described to the king what he had seen.	What was his surprise at seeing him go up to a door and knock, and to hear him say, "Dear little sister, let me in." The door was only opened a little way, and quickly shut; but the huntsman had seen enough to make him full of wonder, when he returned and described to the king what he had seen.
6189_64708_000031_000000	"We will have one more chase to-morrow," said the king, "and discover this mystery."	"We will have one more chase to morrow," said the king, "and discover this mystery."
6189_64708_000032_000000	In the meantime the loving sister was terribly alarmed at finding the stag's foot wounded and bleeding.	In the meantime the loving sister was terribly alarmed at finding the stag's foot wounded and bleeding.
6189_64708_000033_000001	"Oh, dear sister, I must go once more; it will be easy for me to avoid the hunters now, and my foot feels quite well; they will not hunt me unless they see me running, and I don't mean to do that."	"Oh, dear sister, I must go once more; it will be easy for me to avoid the hunters now, and my foot feels quite well; they will not hunt me unless they see me running, and I don't mean to do that."
6189_64708_000034_000000	But his sister wept, and begged him not to go: "If they kill you, dear fawn, I shall be here alone in the forest, forsaken by the whole world."	But his sister wept, and begged him not to go: "If they kill you, dear fawn, I shall be here alone in the forest, forsaken by the whole world."
6189_64708_000036_000000	So at length his sister, with a heavy heart, set him free, and he bounded away joyfully into the forest.	So at length his sister, with a heavy heart, set him free, and he bounded away joyfully into the forest.
6189_64708_000037_000000	As soon as the king caught sight of him, he said to the huntsmen, "Follow that stag about, but don't hurt him." So they hunted him all day, but at the approach of sunset the king said to the hunter who had followed the fawn the day before, "Come and show me the little cottage."	As soon as the king caught sight of him, he said to the huntsmen, "Follow that stag about, but don't hurt him." So they hunted him all day, but at the approach of sunset the king said to the hunter who had followed the fawn the day before, "Come and show me the little cottage."
6189_64708_000038_000000	So they went together, and when the king saw it he sent his companion home, and went on alone so quickly that he arrived there before the fawn; and, going up to the little door, knocked and said softly, "Dear little sister, let me in."	So they went together, and when the king saw it he sent his companion home, and went on alone so quickly that he arrived there before the fawn; and, going up to the little door, knocked and said softly, "Dear little sister, let me in."
6189_64708_000039_000000	As the door opened, the king stepped in, and in great astonishment saw a maiden more beautiful than he had ever seen in his life standing before him.	As the door opened, the king stepped in, and in great astonishment saw a maiden more beautiful than he had ever seen in his life standing before him.
6189_64708_000039_000001	But how frightened she felt to see instead of her dear little fawn a noble gentleman walk in with a gold crown on his head.	But how frightened she felt to see instead of her dear little fawn a noble gentleman walk in with a gold crown on his head.
6189_64708_000040_000000	However, he appeared very friendly, and after a little talk he held out his hand to her, and said, "Wilt thou go with me to my castle and be my dear wife?"	However, he appeared very friendly, and after a little talk he held out his hand to her, and said, "Wilt thou go with me to my castle and be my dear wife?"
6189_64708_000041_000000	"Ah yes," replied the maiden, "I would willingly; but I cannot leave my dear fawn: he must go with me wherever I am."	"Ah yes," replied the maiden, "I would willingly; but I cannot leave my dear fawn: he must go with me wherever I am."
6189_64708_000042_000000	"He shall remain with you as long as you live," replied the king, "and I will never ask you to forsake him."	"He shall remain with you as long as you live," replied the king, "and I will never ask you to forsake him."
6189_64708_000043_000000	While they were talking, the fawn came bounding in, looking quite well and happy.	While they were talking, the fawn came bounding in, looking quite well and happy.
6189_64708_000043_000001	Then his sister fastened the string of rushes to his collar, took it in her hand, and led him away from the cottage in the wood to where the king's beautiful horse waited for him.	Then his sister fastened the string of rushes to his collar, took it in her hand, and led him away from the cottage in the wood to where the king's beautiful horse waited for him.
6189_64708_000044_000000	The king placed the maiden before him on his horse and rode away to his castle, the fawn following by their side.	The king placed the maiden before him on his horse and rode away to his castle, the fawn following by their side.
6189_64708_000044_000001	Soon after, their marriage was celebrated with great splendour, and the fawn was taken the greatest care of, and played where he pleased, or roamed about the castle grounds in happiness and safety.	Soon after, their marriage was celebrated with great splendour, and the fawn was taken the greatest care of, and played where he pleased, or roamed about the castle grounds in happiness and safety.
6189_64708_000045_000000	In the meantime the wicked stepmother, who had caused these two young people such misery, supposed that the sister had been devoured by wild beasts, and that the fawn had been hunted to death.	In the meantime the wicked stepmother, who had caused these two young people such misery, supposed that the sister had been devoured by wild beasts, and that the fawn had been hunted to death.
6189_64708_000045_000001	Therefore when she heard of their happiness, such envy and malice arose in her heart that she could find no rest till she had tried to destroy it.	Therefore when she heard of their happiness, such envy and malice arose in her heart that she could find no rest till she had tried to destroy it.
6189_64708_000046_000000	She and her ugly daughter came to the castle when the queen had a little baby, and one of them pretended to be a nurse, and at last got the mother and child into their power.	She and her ugly daughter came to the castle when the queen had a little baby, and one of them pretended to be a nurse, and at last got the mother and child into their power.
6189_64708_000047_000000	They shut the queen up in the bath, and tried to suffocate her, and the old woman put her own ugly daughter in the queen's bed that the king might not know she was away.	They shut the queen up in the bath, and tried to suffocate her, and the old woman put her own ugly daughter in the queen's bed that the king might not know she was away.
6189_64708_000048_000000	She would not, however, let him speak to her, but pretended that she must be kept quite quiet.	She would not, however, let him speak to her, but pretended that she must be kept quite quiet.
6189_64708_000049_000000	The queen escaped from the bath-room, where the wicked old woman had locked her up, but she did not go far, as she wanted to watch over her child and the little fawn.	The queen escaped from the bath room, where the wicked old woman had locked her up, but she did not go far, as she wanted to watch over her child and the little fawn.
6189_64708_000050_000000	For two nights the baby's nurse saw a figure of the queen come into the room and take up her baby and nurse it.	For two nights the baby's nurse saw a figure of the queen come into the room and take up her baby and nurse it.
6189_64708_000050_000001	Then she told the king, and he determined to watch himself.	Then she told the king, and he determined to watch himself.
6189_64708_000050_000002	The old stepmother, who acted as nurse to her ugly daughter, whom she tried to make the king believe was his wife, had said that the queen was too weak to see him, and never left her room.	The old stepmother, who acted as nurse to her ugly daughter, whom she tried to make the king believe was his wife, had said that the queen was too weak to see him, and never left her room.
6189_64708_000050_000003	"There cannot be two queens," said the king to himself, "so to-night I will watch in the nursery." As soon as the figure came in and took up her baby, he saw it was his real wife, and caught her in his arms, saying, "You are my own beloved wife, as beautiful as ever."	"There cannot be two queens," said the king to himself, "so to night I will watch in the nursery." As soon as the figure came in and took up her baby, he saw it was his real wife, and caught her in his arms, saying, "You are my own beloved wife, as beautiful as ever."
6189_64708_000051_000000	The wicked witch had thrown her into a trance, hoping she would die, and that the king would then marry her daughter; but on the king speaking to her, the spell was broken.	The wicked witch had thrown her into a trance, hoping she would die, and that the king would then marry her daughter; but on the king speaking to her, the spell was broken.
6189_64708_000051_000001	The queen told the king how cruelly she had been treated by her stepmother, and on hearing this he became very angry, and had the witch and her daughter brought to justice.	The queen told the king how cruelly she had been treated by her stepmother, and on hearing this he became very angry, and had the witch and her daughter brought to justice.
6189_64708_000051_000002	They were both sentenced to die--the daughter to be devoured by wild beasts, and the mother to be burnt alive.	They were both sentenced to die-the daughter to be devoured by wild beasts, and the mother to be burnt alive.
6189_64708_000053_000000	After this, the brother and sister lived happily and peacefully for the rest of their lives.	After this, the brother and sister lived happily and peacefully for the rest of their lives.
