510_130103_000001_000000	Chapter 11	Chapter eleven
510_130103_000006_000001	They were to confront the eager rush of the enemy.	They were to confront the eager rush of the enemy.
510_130103_000006_000003	They tumbled teams about with a fine feeling that it was no matter so long as their column got to the front in time.	They tumbled teams about with a fine feeling that it was no matter so long as their column got to the front in time.
510_130103_000006_000004	This importance made their faces grave and stern.	This importance made their faces grave and stern.
510_130103_000006_000005	And the backs of the officers were very rigid.	And the backs of the officers were very rigid.
510_130103_000007_000002	The separation was as great to him as if they had marched with weapons of flame and banners of sunlight.	The separation was as great to him as if they had marched with weapons of flame and banners of sunlight.
510_130103_000007_000003	He could never be like them.	He could never be like them.
510_130103_000007_000004	He could have wept in his longings.	He could have wept in his longings.
510_130103_000008_000000	He searched about in his mind for an adequate malediction for the indefinite cause, the thing upon which men turn the words of final blame.	He searched about in his mind for an adequate malediction for the indefinite cause, the thing upon which men turn the words of final blame.
510_130103_000008_000001	It--whatever it was--was responsible for him, he said.	It-whatever it was-was responsible for him, he said.
510_130103_000008_000002	There lay the fault.	There lay the fault.
510_130103_000009_000000	The haste of the column to reach the battle seemed to the forlorn young man to be something much finer than stout fighting.	The haste of the column to reach the battle seemed to the forlorn young man to be something much finer than stout fighting.
510_130103_000009_000001	Heroes, he thought, could find excuses in that long seething lane.	Heroes, he thought, could find excuses in that long seething lane.
510_130103_000009_000002	They could retire with perfect self-respect and make excuses to the stars.	They could retire with perfect self respect and make excuses to the stars.
510_130103_000010_000000	He wondered what those men had eaten that they could be in such haste to force their way to grim chances of death.	He wondered what those men had eaten that they could be in such haste to force their way to grim chances of death.
510_130103_000010_000001	As he watched his envy grew until he thought that he wished to change lives with one of them. He would have liked to have used a tremendous force, he said, throw off himself and become a better.	As he watched his envy grew until he thought that he wished to change lives with one of them. He would have liked to have used a tremendous force, he said, throw off himself and become a better.
510_130103_000010_000002	Swift pictures of himself, apart, yet in himself, came to him--a blue desperate figure leading lurid charges with one knee forward and a broken blade high--a blue, determined figure standing before a crimson and steel assault, getting calmly killed on a high place before the eyes of all.	Swift pictures of himself, apart, yet in himself, came to him-a blue desperate figure leading lurid charges with one knee forward and a broken blade high-a blue, determined figure standing before a crimson and steel assault, getting calmly killed on a high place before the eyes of all.
510_130103_000010_000003	He thought of the magnificent pathos of his dead body.	He thought of the magnificent pathos of his dead body.
510_130103_000011_000000	These thoughts uplifted him.	These thoughts uplifted him.
510_130103_000011_000001	He felt the quiver of war desire.	He felt the quiver of war desire.
510_130103_000011_000002	In his ears, he heard the ring of victory.	In his ears, he heard the ring of victory.
510_130103_000011_000003	He knew the frenzy of a rapid successful charge.	He knew the frenzy of a rapid successful charge.
510_130103_000011_000005	For a few moments he was sublime.	For a few moments he was sublime.
510_130103_000012_000000	He thought that he was about to start for the front.	He thought that he was about to start for the front.
510_130103_000012_000001	Indeed, he saw a picture of himself, dust-stained, haggard, panting, flying to the front at the proper moment to seize and throttle the dark, leering witch of calamity.	Indeed, he saw a picture of himself, dust stained, haggard, panting, flying to the front at the proper moment to seize and throttle the dark, leering witch of calamity.
510_130103_000013_000001	He hesitated, balancing awkwardly on one foot.	He hesitated, balancing awkwardly on one foot.
510_130103_000014_000000	He had no rifle; he could not fight with his hands, said he resentfully to his plan.	He had no rifle; he could not fight with his hands, said he resentfully to his plan.
510_130103_000014_000001	Well, rifles could be had for the picking.	Well, rifles could be had for the picking.
510_130103_000016_000000	He started forward slowly.	He started forward slowly.
510_130103_000016_000001	He stepped as if he expected to tread upon some explosive thing.	He stepped as if he expected to tread upon some explosive thing.
510_130103_000016_000002	Doubts and he were struggling.	Doubts and he were struggling.
510_130103_000017_000000	He would truly be a worm if any of his comrades should see him returning thus, the marks of his flight upon him.	He would truly be a worm if any of his comrades should see him returning thus, the marks of his flight upon him.
510_130103_000017_000001	There was a reply that the intent fighters did not care for what happened rearward saving that no hostile bayonets appeared there.	There was a reply that the intent fighters did not care for what happened rearward saving that no hostile bayonets appeared there.
510_130103_000017_000002	In the battle-blur his face would, in a way, be hidden, like the face of a cowled man.	In the battle blur his face would, in a way, be hidden, like the face of a cowled man.
510_130103_000018_000000	But then he said that his tireless fate would bring forth, when the strife lulled for a moment, a man to ask of him an explanation.	But then he said that his tireless fate would bring forth, when the strife lulled for a moment, a man to ask of him an explanation.
510_130103_000018_000001	In imagination he felt the scrutiny of his companions as he painfully labored through some lies.	In imagination he felt the scrutiny of his companions as he painfully labored through some lies.
510_130103_000020_000000	He was not cast down by this defeat of his plan, for, upon studying the affair carefully, he could not but admit that the objections were very formidable.	He was not cast down by this defeat of his plan, for, upon studying the affair carefully, he could not but admit that the objections were very formidable.
510_130103_000021_000000	Furthermore, various ailments had begun to cry out.	Furthermore, various ailments had begun to cry out.
510_130103_000022_000000	He discovered that he had a scorching thirst.	He discovered that he had a scorching thirst.
510_130103_000022_000001	His face was so dry and grimy that he thought he could feel his skin crackle.	His face was so dry and grimy that he thought he could feel his skin crackle.
510_130103_000022_000002	Each bone of his body had an ache in it, and seemingly threatened to break with each movement.	Each bone of his body had an ache in it, and seemingly threatened to break with each movement.
510_130103_000022_000003	His feet were like two sores.	His feet were like two sores.
510_130103_000022_000005	It was more powerful than a direct hunger.	It was more powerful than a direct hunger.
510_130103_000022_000006	There was a dull, weight-like feeling in his stomach, and, when he tried to walk, his head swayed and he tottered.	There was a dull, weight like feeling in his stomach, and, when he tried to walk, his head swayed and he tottered.
510_130103_000022_000007	He could not see with distinctness. Small patches of green mist floated before his vision.	He could not see with distinctness. Small patches of green mist floated before his vision.
510_130103_000023_000002	As he was at last compelled to pay attention to them, his capacity for self-hate was multiplied.	As he was at last compelled to pay attention to them, his capacity for self hate was multiplied.
510_130103_000023_000004	Those pictures of glory were piteous things.	Those pictures of glory were piteous things.
510_130103_000023_000005	He groaned from his heart and went staggering off.	He groaned from his heart and went staggering off.
510_130103_000024_000000	A certain mothlike quality within him kept him in the vicinity of the battle.	A certain mothlike quality within him kept him in the vicinity of the battle.
510_130103_000024_000001	He had a great desire to see, and to get news.	He had a great desire to see, and to get news.
510_130103_000024_000002	He wished to know who was winning.	He wished to know who was winning.
510_130103_000025_000002	Thus, many men of courage, he considered, would be obliged to desert the colors and scurry like chickens.	Thus, many men of courage, he considered, would be obliged to desert the colors and scurry like chickens.
510_130103_000025_000004	They would be sullen brothers in distress, and he could then easily believe he had not run any farther or faster than they.	They would be sullen brothers in distress, and he could then easily believe he had not run any farther or faster than they.
510_130103_000025_000005	And if he himself could believe in his virtuous perfection, he conceived that there would be small trouble in convincing all others.	And if he himself could believe in his virtuous perfection, he conceived that there would be small trouble in convincing all others.
510_130103_000026_000000	He said, as if in excuse for this hope, that previously the army had encountered great defeats and in a few months had shaken off all blood and tradition of them, emerging as bright and valiant as a new one; thrusting out of sight the memory of disaster, and appearing with the valor and confidence of unconquered legions.	He said, as if in excuse for this hope, that previously the army had encountered great defeats and in a few months had shaken off all blood and tradition of them, emerging as bright and valiant as a new one; thrusting out of sight the memory of disaster, and appearing with the valor and confidence of unconquered legions.
510_130103_000026_000002	He of course felt no compunctions for proposing a general as a sacrifice.	He of course felt no compunctions for proposing a general as a sacrifice.
510_130103_000026_000003	He could not tell who the chosen for the barbs might be, so he could center no direct sympathy upon him.	He could not tell who the chosen for the barbs might be, so he could center no direct sympathy upon him.
510_130103_000026_000005	It was quite probable they would hit the wrong man who, after he had recovered from his amazement would perhaps spend the rest of his days in writing replies to the songs of his alleged failure.	It was quite probable they would hit the wrong man who, after he had recovered from his amazement would perhaps spend the rest of his days in writing replies to the songs of his alleged failure.
510_130103_000026_000006	It would be very unfortunate, no doubt, but in this case a general was of no consequence to the youth.	It would be very unfortunate, no doubt, but in this case a general was of no consequence to the youth.
510_130103_000027_000000	In a defeat there would be a roundabout vindication of himself.	In a defeat there would be a roundabout vindication of himself.
510_130103_000027_000002	A serious prophet upon predicting a flood should be the first man to climb a tree.	A serious prophet upon predicting a flood should be the first man to climb a tree.
510_130103_000027_000003	This would demonstrate that he was indeed a seer.	This would demonstrate that he was indeed a seer.
510_130103_000028_000002	With his heart continually assuring him that he was despicable, he could not exist without making it, through his actions, apparent to all men.	With his heart continually assuring him that he was despicable, he could not exist without making it, through his actions, apparent to all men.
510_130103_000029_000001	If the din meant that now his army's flags were tilted forward he was a condemned wretch.	If the din meant that now his army's flags were tilted forward he was a condemned wretch.
510_130103_000029_000002	He would be compelled to doom himself to isolation.	He would be compelled to doom himself to isolation.
510_130103_000029_000003	If the men were advancing, their indifferent feet were trampling upon his chances for a successful life.	If the men were advancing, their indifferent feet were trampling upon his chances for a successful life.
510_130103_000030_000000	As these thoughts went rapidly through his mind, he turned upon them and tried to thrust them away.	As these thoughts went rapidly through his mind, he turned upon them and tried to thrust them away.
510_130103_000030_000001	He denounced himself as a villain.	He denounced himself as a villain.
510_130103_000030_000002	He said that he was the most unutterably selfish man in existence.	He said that he was the most unutterably selfish man in existence.
510_130103_000030_000003	His mind pictured the soldiers who would place their defiant bodies before the spear of the yelling battle fiend, and as he saw their dripping corpses on an imagined field, he said that he was their murderer.	His mind pictured the soldiers who would place their defiant bodies before the spear of the yelling battle fiend, and as he saw their dripping corpses on an imagined field, he said that he was their murderer.
510_130103_000031_000001	He believed that he envied a corpse.	He believed that he envied a corpse.
510_130103_000031_000002	Thinking of the slain, he achieved a great contempt for some of them, as if they were guilty for thus becoming lifeless. They might have been killed by lucky chances, he said, before they had had opportunities to flee or before they had been really tested.	Thinking of the slain, he achieved a great contempt for some of them, as if they were guilty for thus becoming lifeless. They might have been killed by lucky chances, he said, before they had had opportunities to flee or before they had been really tested.
510_130103_000031_000003	Yet they would receive laurels from tradition.	Yet they would receive laurels from tradition.
510_130103_000031_000004	He cried out bitterly that their crowns were stolen and their robes of glorious memories were shams.	He cried out bitterly that their crowns were stolen and their robes of glorious memories were shams.
510_130103_000032_000000	A defeat of the army had suggested itself to him as a means of escape from the consequences of his fall.	A defeat of the army had suggested itself to him as a means of escape from the consequences of his fall.
510_130103_000032_000003	He presently discarded all his speculations in the other direction.	He presently discarded all his speculations in the other direction.
510_130103_000032_000004	He returned to the creed of soldiers.	He returned to the creed of soldiers.
510_130103_000033_000000	When he perceived again that it was not possible for the army to be defeated, he tried to bethink him of a fine tale which he could take back to his regiment, and with it turn the expected shafts of derision.	When he perceived again that it was not possible for the army to be defeated, he tried to bethink him of a fine tale which he could take back to his regiment, and with it turn the expected shafts of derision.
510_130103_000034_000000	But, as he mortally feared these shafts, it became impossible for him to invent a tale he felt he could trust.	But, as he mortally feared these shafts, it became impossible for him to invent a tale he felt he could trust.
510_130103_000034_000001	He experimented with many schemes, but threw them aside one by one as flimsy.	He experimented with many schemes, but threw them aside one by one as flimsy.
510_130103_000034_000002	He was quick to see vulnerable places in them all.	He was quick to see vulnerable places in them all.
510_130103_000036_000000	He imagined the whole regiment saying: "Where's Henry Fleming?	He imagined the whole regiment saying: "Where's Henry Fleming?
510_130103_000036_000002	Oh, my!" He recalled various persons who would be quite sure to leave him no peace about it.	Oh, my!" He recalled various persons who would be quite sure to leave him no peace about it.
510_130103_000036_000003	They would doubtless question him with sneers, and laugh at his stammering hesitation.	They would doubtless question him with sneers, and laugh at his stammering hesitation.
510_130103_000036_000004	In the next engagement they would try to keep watch of him to discover when he would run.	In the next engagement they would try to keep watch of him to discover when he would run.
510_130103_000037_000000	Wherever he went in camp, he would encounter insolent and lingeringly cruel stares.	Wherever he went in camp, he would encounter insolent and lingeringly cruel stares.
510_130103_000037_000001	As he imagined himself passing near a crowd of comrades, he could hear one say, "There he goes!"	As he imagined himself passing near a crowd of comrades, he could hear one say, "There he goes!"
510_130103_000038_000001	He seemed to hear some one make a humorous remark in a low tone.	He seemed to hear some one make a humorous remark in a low tone.
510_130103_000038_000002	At it the others all crowed and cackled.	At it the others all crowed and cackled.
