4586_19665_000002_000000	CHAPTER TWENTY NINE.	CHAPTER TWENTY NINE.
4586_19665_000017_000002	You know that Hope is an able and most humane man in his profession, and that he does not steal dead bodies.	You know that Hope is an able and most humane man in his profession, and that he does not steal dead bodies.
4586_19665_000017_000003	You know the falsehood of the whole set of vulgar stories that you have put into circulation against him.	You know the falsehood of the whole set of vulgar stories that you have put into circulation against him.
4586_19665_000017_000004	You know, also, that my mother has entire confidence in him, and that it will go near to break her heart to have him dismissed for any one else.	You know, also, that my mother has entire confidence in him, and that it will go near to break her heart to have him dismissed for any one else.
4586_19665_000017_000005	This is the meaning of what I say.	This is the meaning of what I say.
4586_19665_000017_000006	As for what I mean to do--it is this.	As for what I mean to do-it is this.
4586_19665_000017_000007	I shall speak to Mr Walcot at once, before his intention to settle here is known."	I shall speak to Mr Walcot at once, before his intention to settle here is known."
4586_19665_000018_000000	"You are too late, my dear sir.	"You are too late, my dear sir.
4586_19665_000019_000000	"So much the worse for you, Priscilla.	"So much the worse for you, Priscilla.
4586_19665_000019_000001	I shall explain the whole of Hope's case to Mr Walcot, avoiding, if possible, all exposure of you--."	I shall explain the whole of Hope's case to Mr Walcot, avoiding, if possible, all exposure of you-."
4586_19665_000020_000000	"Oh, pray do not disturb yourself about that.	"Oh, pray do not disturb yourself about that.
4586_19665_000020_000001	Mr Walcot knows me very well.	Mr Walcot knows me very well.
4586_19665_000020_000002	I am not afraid."	I am not afraid."
4586_19665_000021_000001	If this gentleman be honourable, he will decline attending my mother, and go away more willingly than he came.	If this gentleman be honourable, he will decline attending my mother, and go away more willingly than he came.
4586_19665_000022_000000	"You take the tone of defiance, I see, Philip.	"You take the tone of defiance, I see, Philip.
4586_19665_000022_000001	I have not the slightest objection.	I have not the slightest objection.
4586_19665_000023_000002	I give you peremptory warning, leaving you opportunity to retrieve yourself, to repair the mischief you have done, and to alleviate the misery which I see is coming upon you."	I give you peremptory warning, leaving you opportunity to retrieve yourself, to repair the mischief you have done, and to alleviate the misery which I see is coming upon you."
4586_19665_000024_000000	"You are very good: but I know what I am about, and I shall proceed in my own way.	"You are very good: but I know what I am about, and I shall proceed in my own way.
4586_19665_000024_000001	I mean to get rid of these Hopes; and, perhaps, you may be surprised to see how soon I succeed."	I mean to get rid of these Hopes; and, perhaps, you may be surprised to see how soon I succeed."
4586_19665_000025_000000	"The Hopes shall remain as long as they wish to stay, if truth can prevail against falsehood.	"The Hopes shall remain as long as they wish to stay, if truth can prevail against falsehood.
4586_19665_000025_000001	I am sorry for you, if you cannot endure the presence of neighbours whose whole minds and conduct are noble and humane, and known by you to be so.	I am sorry for you, if you cannot endure the presence of neighbours whose whole minds and conduct are noble and humane, and known by you to be so.
4586_19665_000025_000003	I would have you look to it."	I would have you look to it."
4586_19665_000026_000000	"Is your sermon ended?	"Is your sermon ended?
4586_19665_000027_000000	"What I have to say is not finished.	"What I have to say is not finished.
4586_19665_000028_000000	"I said so, because it is true."	"I said so, because it is true."
4586_19665_000029_000000	The cool assurance with which she said this was too much for Enderby's gravity.	The cool assurance with which she said this was too much for Enderby's gravity.
4586_19665_000029_000001	He burst out a-laughing.	He burst out a laughing.
4586_19665_000030_000000	"If not precisely true when I said it, it was sure to be so soon; which is just the same thing.	"If not precisely true when I said it, it was sure to be so soon; which is just the same thing.
4586_19665_000030_000001	I mean that it shall be true.	I mean that it shall be true.
4586_19665_000030_000002	I have set my heart upon your marrying, and upon your marrying Mary Bruce.	I have set my heart upon your marrying, and upon your marrying Mary Bruce.
4586_19665_000030_000003	I know she would like it, and--"	I know she would like it, and-"
4586_19665_000031_000000	"Stop there!	"Stop there!
4586_19665_000031_000002	I will not have you take liberties with her name to me; and this is not the first time I have told you so.	I will not have you take liberties with her name to me; and this is not the first time I have told you so.
4586_19665_000031_000003	It is not true that she would like it--no more true than many other things that you have said: and if you were to repeat it till night, it would make no sort of impression upon me.	It is not true that she would like it-no more true than many other things that you have said: and if you were to repeat it till night, it would make no sort of impression upon me.
4586_19665_000031_000004	Miss Bruce knows little, and cares less, about me; and beware how you say to the contrary!--And now for the plain fact.	Miss Bruce knows little, and cares less, about me; and beware how you say to the contrary!--And now for the plain fact.
4586_19665_000031_000005	I am engaged elsewhere."	I am engaged elsewhere."
4586_19665_000033_000000	"Yes; I am."	"Yes; I am."
4586_19665_000034_000000	"You will marry no one but Mary Bruce at last, you will see, whatever you may think now."	"You will marry no one but Mary Bruce at last, you will see, whatever you may think now."
4586_19665_000036_000000	"I dare say you are?	"I dare say you are?
4586_19665_000036_000001	Margaret Ibbotson!	Margaret Ibbotson!
4586_19665_000038_000000	"I hope you will all make yourselves happy with your greatness and your beauty: for these friends of yours seem likely to have little else left to comfort themselves with."	"I hope you will all make yourselves happy with your greatness and your beauty: for these friends of yours seem likely to have little else left to comfort themselves with."
4586_19665_000039_000000	"They will be happy with their greatness and loveliness, sister; for it is Heaven's decree that they should.	"They will be happy with their greatness and loveliness, sister; for it is Heaven's decree that they should.
4586_19665_000039_000002	Why will you not throw off the restraint of bad feelings, and do magnanimous justice to this family, and, having thus opened and freed your mind, glory in their goodness-- the next best thing to being as good as they?	Why will you not throw off the restraint of bad feelings, and do magnanimous justice to this family, and, having thus opened and freed your mind, glory in their goodness- the next best thing to being as good as they?
4586_19665_000039_000003	You have power of mind to do this: the very force with which you persist in persecuting them shows that you have power for better things.	You have power of mind to do this: the very force with which you persist in persecuting them shows that you have power for better things.
4586_19665_000039_000004	Believe me, they are full of the spirit of forgiveness.	Believe me, they are full of the spirit of forgiveness.
4586_19665_000039_000005	Do but try--"	Do but try-"
4586_19665_000040_000000	"Thank you.	"Thank you.
4586_19665_000040_000002	If they forgive me for anything, it shall be for my power."	If they forgive me for anything, it shall be for my power."
4586_19665_000041_000000	"That is not for you to determine, happily.	"That is not for you to determine, happily.
4586_19665_000041_000001	To what extent they forgive is between God and themselves.	To what extent they forgive is between God and themselves.
4586_19665_000041_000002	You lie under their forgiveness, whether you will or not.	You lie under their forgiveness, whether you will or not.
4586_19665_000041_000003	I own, Priscilla, I would fain bestow on Margaret a sister whom she might respect rather than forgive."	I own, Priscilla, I would fain bestow on Margaret a sister whom she might respect rather than forgive."
4586_19665_000043_000000	"Very few; for your sake, scarcely any.	"Very few; for your sake, scarcely any.
4586_19665_000043_000003	You must now get out of the scrape in your own way."	You must now get out of the scrape in your own way."
4586_19665_000044_000000	"I am glad you have told so few people of your entanglement.	"I am glad you have told so few people of your entanglement.
4586_19665_000044_000002	I shall deny the engagement everywhere."	I shall deny the engagement everywhere."
4586_19665_000045_000000	"That will hardly avail against my testimony."	"That will hardly avail against my testimony."
4586_19665_000046_000000	"It will, when you are gone.	"It will, when you are gone.
4586_19665_000046_000002	Indeed, I think I have the majority with me now, as the events of last night pretty plainly show."	Indeed, I think I have the majority with me now, as the events of last night pretty plainly show."
4586_19665_000047_000001	Oh, Priscilla, I am unwilling to give you up!	Oh, Priscilla, I am unwilling to give you up!
4586_19665_000047_000002	Let me hope, that the pride, the insane pride of this morning, is but the reaction of your internal suffering from witnessing the results of your influence in the outrages of last night.	Let me hope, that the pride, the insane pride of this morning, is but the reaction of your internal suffering from witnessing the results of your influence in the outrages of last night.
4586_19665_000047_000003	Confide this to me now, and give yourself such ease as you yet can."	Confide this to me now, and give yourself such ease as you yet can."
4586_19665_000048_000000	"Thank you: but you are quite mistaken.	"Thank you: but you are quite mistaken.
4586_19665_000048_000001	I was extremely glad to arrive when I did.	I was extremely glad to arrive when I did.
4586_19665_000048_000002	It satisfied me as to the necessity of getting rid of these people; and it proved to Mr Walcot, as I observed to him at the time, how much he was wanted here.	It satisfied me as to the necessity of getting rid of these people; and it proved to Mr Walcot, as I observed to him at the time, how much he was wanted here.
4586_19665_000048_000003	Now, if you have nothing more to say to me, I must go.	Now, if you have nothing more to say to me, I must go.
4586_19665_000049_000000	Philip fixed his eyes upon her with an earnestness from which, for one moment, she shrank; but she instantly rallied, and returned him a stare which lasted till she reached the door.	Philip fixed his eyes upon her with an earnestness from which, for one moment, she shrank; but she instantly rallied, and returned him a stare which lasted till she reached the door.
4586_19665_000050_000000	"There is something almost sublime in audacity like this," thought he. "But it cannot last.	"There is something almost sublime in audacity like this," thought he. "But it cannot last.
4586_19665_000050_000001	It comes from internal torture--a thing as necessarily temporary as faith (the source of the other kind of strength) is durable.	It comes from internal torture-a thing as necessarily temporary as faith (the source of the other kind of strength) is durable.
4586_19665_000050_000002	Not the slightest compunction has she for having caused the misery she knows of: and not a whit would she relent, if she could become aware (which she never shall) of what she made Margaret suffer.	Not the slightest compunction has she for having caused the misery she knows of: and not a whit would she relent, if she could become aware (which she never shall) of what she made Margaret suffer.
4586_19665_000050_000005	No; not the only comfort.	No; not the only comfort.
4586_19665_000050_000006	She does not suffer from these things as she did.	She does not suffer from these things as she did.
4586_19665_000050_000009	Now for Mr Walcot!	Now for Mr Walcot!
4586_19665_000050_000010	I must catch him as he comes out of church, and see what I can make of him.	I must catch him as he comes out of church, and see what I can make of him.
4586_19665_000050_000011	If he is an honourable man, all may turn out well.	If he is an honourable man, all may turn out well.
