3717_21498_000000_000000	The Sprig of Rosemary	The Sprig of Rosemary	false	2.4	15.55	23.696781
3717_21498_000010_000010	But day by day the poor maiden grew more and more sad, till at last her mistress begged her to say what was the matter.	But day by day the poor maiden grew more and more sad, till at last her mistress begged her to say what was the matter.	true	223.1	230.02	24.40214
3717_21498_000010_000011	Then she told her story--how she was going through the world seeking after her husband.	Then she told her story-how she was going through the world seeking after her husband.	true	230.69	235.21	27.522379
3717_21498_000011_000000	And her mistress answered her, 'Where he is, none can tell better than the Sun, the Moon, and the Wind, for they go everywhere!'	And her mistress answered her, 'Where he is, none can tell better than the Sun, the Moon, and the Wind, for they go everywhere!'	false	235.97	245.32	24.77497
3717_21498_000012_000000	On hearing these words the damsel set forth once more, and walked till she reached the Golden Castle, where lived the Sun.	On hearing these words the damsel set forth once more, and walked till she reached the Golden Castle, where lived the sun	true	246.89	254.68	26.934616
3717_21498_000012_000001	And she knocked boldly at the door, saying, 'All hail, O Sun!	And she knocked boldly at the door, saying, 'All hail, O Sun!	true	255.17	259.33	22.25482
3717_21498_000012_000002	I have come to ask if, of your charity, you will help me in my need.	I have come to ask if, of your charity, you will help me in my need.	true	259.43	263.68	24.79497
3717_21498_000012_000003	By my own fault have I fallen into these straits, and I am weary, for I seek my husband through the wide world.'	By my own fault have I fallen into these straits, and I am weary, for I seek my husband through the wide world.'	false	263.78	270.64	25.880503
3717_21498_000013_000000	'Indeed!' spoke the Sun.	'Indeed!' spoke the sun	true	271.25	273.67	25.575327
3717_21498_000013_000001	'Do you, rich as you are, need help?	'Do you, rich as you are, need help?	true	273.8	277.39	28.24841
3717_21498_000013_000002	But though you live in a palace without windows, the Sun enters everywhere, and he knows you.'	But though you live in a palace without windows, the Sun enters everywhere, and he knows you.'	true	277.67	284.47	23.763197
3717_21498_000014_000000	Then the bride told him the whole story. and did not hide her own ill-doing.	Then the bride told him the whole story. and did not hide her own ill doing.	true	285.17	290.35	21.89298
3717_21498_000014_000001	And the Sun listened, and was sorry for her; and though he could not tell her where to go, he gave her a nut, and bid her open it in a time of great distress.	And the Sun listened, and was sorry for her; and though he could not tell her where to go, he gave her a nut, and bid her open it in a time of great distress.	true	290.6	299.74	26.19254
3717_21498_000014_000002	The damsel thanked him with all her heart, and departed, and walked and walked and walked, till she came to another castle, and knocked at the door which was opened by an old woman.	The damsel thanked him with all her heart, and departed, and walked and walked and walked, till she came to another castle, and knocked at the door which was opened by an old woman.	true	300.29	311.32	25.743977
3717_21498_000015_000000	'All hail!' said the girl.	'All hail!' said the girl.	true	312.02	314.17	24.054947
3717_21498_000015_000001	'I have come, of your charity, to ask your help!'	'I have come, of your charity, to ask your help!'	true	314.33	318.55	29.233145
3717_21498_000016_000000	'It is my mistress, the Moon, you seek.	'It is my mistress, the Moon, you seek.	true	318.71	321.49	24.3783
3717_21498_000016_000001	I will tell her of your prayer.'	I will tell her of your prayer.'	true	321.62	323.77	25.739262
3717_21498_000017_000000	So the Moon came out, and when she saw the maiden she knew her again, for she had watched her sleeping both in the cottage and in the palace. And she spake to her and said:	So the Moon came out, and when she saw the maiden she knew her again, for she had watched her sleeping both in the cottage and in the palace. And she spake to her and said:	true	324.92	334.72	23.612318
3717_21498_000018_000000	'Do you, rich as you are, need help?'	'Do you, rich as you are, need help?'	true	335.51	340.54	20.503416
3717_21498_000019_000000	Then the girl told her the whole story, and the Moon listened, and was sorry for her; and though she could not tell her where to find her husband, she gave her an almond, and told her to crack it when she was in great need.	Then the girl told her the whole story, and the Moon listened, and was sorry for her; and though she could not tell her where to find her husband, she gave her an almond, and told her to crack it when she was in great need.	false	340.58	354.4	26.757254
3717_21498_000019_000001	So the damsel thanked her, and departed, and walked and walked and walked till she came to another castle.	So the damsel thanked her, and departed, and walked and walked and walked till she came to another castle.	true	354.74	362.92	24.719835
3717_21498_000019_000002	And she knocked at the door, and said:	And she knocked at the door, and said:	true	363.08	364.87	24.849445
3717_21498_000020_000000	'All hail!	'All hail!	true	365.36	366.55	16.771826
3717_21498_000020_000001	I have come to ask if, of your charity, you will help me in my need.'	I have come to ask if, of your charity, you will help me in my need.'	true	366.59	371.5	25.722557
3717_21498_000021_000000	'It is my lord, the Wind, that you want,' answered the old woman who opened it.	'It is my lord, the Wind, that you want,' answered the old woman who opened it.	true	373.25	377.68	27.320864
3717_21498_000021_000001	'I will tell him of your prayer.'	'I will tell him of your prayer.'	false	377.75	379.6	32.42964
3717_21498_000022_000000	And the Wind looked on her and knew her again, for he had seen her in the cottage and in the palace, and he spake to her and said:	And the Wind looked on her and knew her again, for he had seen her in the cottage and in the palace, and he spake to her and said:	true	380.63	388.06	25.062075
3717_21498_000023_000000	'Do you, rich as you are, want help?'	'Do you, rich as you are, want help?'	false	388.82	395.58	21.372677
3717_21498_000024_000000	And she told him the whole story.	And she told him the whole story.	false	395.58	397.57	20.364809
3717_21498_000024_000001	And the Wind listened, and was sorry for her, and he gave her a walnut that she was to eat in time of need. But the girl did not go as the Wind expected.	And the Wind listened, and was sorry for her, and he gave her a walnut that she was to eat in time of need. But the girl did not go as the Wind expected.	true	397.76	408.6	24.950573
3717_21498_000024_000002	She was tired and sad, and knew not where to turn, so she began to weep bitterly.	She was tired and sad, and knew not where to turn, so she began to weep bitterly.	true	408.6	414.64	23.677582
3717_21498_000024_000003	The Wind wept too for company, and said:	The Wind wept too for company, and said:	true	414.98	417.31	27.93899
3717_21498_000025_000000	'Don't be frightened; I will go and see if I can find out something.'	'Don't be frightened; I will go and see if I can find out something.'	true	417.8	424.6	21.27877
3717_21498_000026_000000	And the Wind departed with a great noise and fuss, and in the twinkling of an eye he was back again, beaming with delight.	And the Wind departed with a great noise and fuss, and in the twinkling of an eye he was back again, beaming with delight.	true	426.59	433.9	24.858759
3717_21498_000027_000000	'From what one person and another have let fall,' he exclaimed, 'I have contrived to learn that he is in the palace of the king, who keeps him hidden lest anyone should see him; and that to-morrow he is to marry the princess, who, ugly creature that she is, has not been able to find any man to wed her.'	'From what one person and another have let fall,' he exclaimed, 'I have contrived to learn that he is in the palace of the king, who keeps him hidden lest anyone should see him; and that to morrow he is to marry the princess, who, ugly creature that she is, has not been able to find any man to wed her.'	true	434.9	457.54	24.71841
3717_21498_000028_000000	Who can tell the despair which seized the poor maiden when she heard this news!	Who can tell the despair which seized the poor maiden when she heard this news!	true	459.23	463.93	22
3717_21498_000028_000001	As soon as she could speak she implored the Wind to do all he could to get the wedding put off for two or three days, for it would take her all that time to reach the palace of the king.	As soon as she could speak she implored the Wind to do all he could to get the wedding put off for two or three days, for it would take her all that time to reach the palace of the king.	true	464.48	474.61	24.127886
3717_21498_000029_000000	The Wind gladly promised to do what he could, and as he travelled much faster than the maiden he soon arrived at the palace, where he found five tailors working night and day at the wedding clothes of the princess.	The Wind gladly promised to do what he could, and as he travelled much faster than the maiden he soon arrived at the palace, where he found five tailors working night and day at the wedding clothes of the princess.	true	475.43	487.24	25.136608
3717_21498_000030_000000	Down came the Wind right in the middle of their lace and satin and trimmings of pearl!	Down came the Wind right in the middle of their lace and satin and trimmings of pearl!	true	489.98	494.71	19.635593
3717_21498_000030_000001	Away they all went whiz! through the open windows, right up into the tops of the trees, across the river, among the dancing ears of corn!	Away they all went whiz! through the open windows, right up into the tops of the trees, across the river, among the dancing ears of corn!	false	495.29	503.71	20.99269
3717_21498_000030_000002	After them ran the tailors, catching, jumping, climbing, but all to no purpose!	After them ran the tailors, catching, jumping, climbing, but all to no purpose!	true	504.05	509.41	26.156948
3717_21498_000030_000003	The lace was torn, the satin stained, the pearls knocked off!	The lace was torn, the satin stained, the pearls knocked off!	true	509.66	514.74	24.657804
3717_21498_000030_000004	There was nothing for it but to go to the shops to buy fresh, and to begin all over again!	There was nothing for it but to go to the shops to buy fresh, and to begin all over again!	false	514.74	520.48	25.760038
3717_21498_000030_000005	It was plainly quite impossible that the wedding clothes could be ready next day.	It was plainly quite impossible that the wedding clothes could be ready next day.	true	520.88	525.37	27.728697
3717_21498_000031_000000	However, the king was much too anxious to see his daughter married to listen to any excuses, and he declared that a dress must be put together somehow for the bride to wear.	However, the king was much too anxious to see his daughter married to listen to any excuses, and he declared that a dress must be put together somehow for the bride to wear.	true	526.58	536.14	24.331104
3717_21498_000031_000001	But when he went to look at the princess, she was such a figure that he agreed that it would be unfitting for her position to be seen in such a gown, and he ordered the ceremony and the banquet to be postponed for a few hours, so that the tailors might take the dress to pieces and make it fit.	But when he went to look at the princess, she was such a figure that he agreed that it would be unfitting for her position to be seen in such a gown, and he ordered the ceremony and the banquet to be postponed for a few hours, so that the tailors might take the dress to pieces and make it fit.	true	536.75	554.35	26.060324
3717_21498_000032_000000	But by this time the maiden had arrived footsore and weary at the castle, and as soon as she reached the door she cracked her nut and drew out of it the most beautiful mantle in the world.	But by this time the maiden had arrived footsore and weary at the castle, and as soon as she reached the door she cracked her nut and drew out of it the most beautiful mantle in the world.	true	555.47	568.3	24.67727
3717_21498_000032_000001	Then she rang the bell, and asked:	Then she rang the bell, and asked:	true	568.52	570.67	22.81744
3717_21498_000033_000000	'Is not the princess to be married to-day?'	'Is not the princess to be married to day?'	true	571.04	573.49	30.641949
3717_21498_000034_000000	'Yes, she is.'	'Yes, she is.'	true	574.01	575.32	22.685709
3717_21498_000035_000000	'Ask her if she would like to buy this mantle.'	'Ask her if she would like to buy this mantle.'	true	576.02	578.71	32.663113
3717_21498_000036_000000	And when the princess saw the mantle she was delighted, for her wedding mantle had been spoilt with all the other things, and it was too late to make another.	And when the princess saw the mantle she was delighted, for her wedding mantle had been spoilt with all the other things, and it was too late to make another.	true	579.68	588.31	24.028118
3717_21498_000036_000001	So she told the maiden to ask what price she would, and it should be given her.	So she told the maiden to ask what price she would, and it should be given her.	false	588.47	593.17	26.261213
3717_21498_000037_000000	The maiden fixed a large sum, many pieces of gold, but the princess had set her heart on the mantle, and gave it readily.	The maiden fixed a large sum, many pieces of gold, but the princess had set her heart on the mantle, and gave it readily.	true	594.29	601.63	24.495481
3717_21498_000038_000000	Now the maiden hid her gold in the pocket of her dress, and turned away from the castle.	Now the maiden hid her gold in the pocket of her dress, and turned away from the castle.	true	602.75	607.66	22.262291
3717_21498_000038_000001	The moment she was out of sight she broke her almond, and drew from it the most magnificent petticoats that ever were seen. Then she went back to the castle, and asked if the princess wished to buy any petticoats.	The moment she was out of sight she broke her almond, and drew from it the most magnificent petticoats that ever were seen. Then she went back to the castle, and asked if the princess wished to buy any petticoats.	true	608	620.41	25.506414
3717_21498_000038_000002	No sooner did the princess cast her eyes on the petticoats than she declared they were even more beautiful than the mantle, and that she would give the maiden whatever price she wanted for them.	No sooner did the princess cast her eyes on the petticoats than she declared they were even more beautiful than the mantle, and that she would give the maiden whatever price she wanted for them.	false	621.14	631.06	26.312937
3717_21498_000038_000003	And the maiden named many pieces of gold, which the princess paid her gladly, so pleased was she with her new possessions.	And the maiden named many pieces of gold, which the princess paid her gladly, so pleased was she with her new possessions.	true	632.18	640.9	25.115211
3717_21498_000039_000000	Then the girl went down the steps where none could watch her and cracked her walnut, and out came the most splendid court dress that any dressmaker had ever invented; and, carrying it carefully in her arms, she knocked at the door, and asked if the princess wished to buy a court dress.	Then the girl went down the steps where none could watch her and cracked her walnut, and out came the most splendid court dress that any dressmaker had ever invented; and, carrying it carefully in her arms, she knocked at the door, and asked if the princess wished to buy a court dress.	true	641.57	657.94	26.658243
3717_21498_000040_000000	When the message was delivered the princess sprang to her feet with delight, for she had been thinking that after all it was not much use to have a lovely mantle and elegant petticoats if she had no dress, and she knew the tailors would never be ready in time.	When the message was delivered the princess sprang to her feet with delight, for she had been thinking that after all it was not much use to have a lovely mantle and elegant petticoats if she had no dress, and she knew the tailors would never be ready in time.	true	658.94	673.24	25.156271
3717_21498_000040_000001	So she sent at once to say she would buy the dress, and what sum did the maiden want for it.	So she sent at once to say she would buy the dress, and what sum did the maiden want for it.	true	673.43	679.36	23.811285
3717_21498_000041_000000	This time the maiden answered that the price of the dress was the permission to see the bridegroom.	This time the maiden answered that the price of the dress was the permission to see the bridegroom.	true	680.42	685.84	26.524134
3717_21498_000042_000000	The princess was not at all pleased when she heard the maiden's reply, but, as she could not do without the dress, she was forced to give in, and contented herself with thinking that after all it did not matter much.	The princess was not at all pleased when she heard the maiden's reply, but, as she could not do without the dress, she was forced to give in, and contented herself with thinking that after all it did not matter much.	true	686.51	699.37	27.32851
3717_21498_000043_000000	So the maiden was led to the rooms which had been given to her husband. And when she came near she touched him with the sprig of rosemary that she carried; and his memory came back, and he knew her, and kissed her, and declared that she was his true wife, and that he loved her and no other.	So the maiden was led to the rooms which had been given to her husband. And when she came near she touched him with the sprig of rosemary that she carried; and his memory came back, and he knew her, and kissed her, and declared that she was his true wife, and that he loved her and no other.	false	700.4	716.83	23.614523
3717_21498_000044_000000	Then they went back to the maiden's home, and grew to be very old, and lived happy all the days of their life.	Then they went back to the maiden's home, and grew to be very old, and lived happy all the days of their life.	false	717.8	727.11	24.679556
3717_21498_000045_000000	The White Dove	The White Dove	false	727.11	731.34	23.016373
3717_21498_000046_000000	From the Danish.	From the Danish.	false	731.34	735.15	23.905499
