2929_86777_000000_000000	Chapter 71.	Chapter seventy one.	false	0.84	20.35	20.714132
2929_86777_000008_000000	Mercedes let them fall, and sighed.	Mercedes let them fall, and sighed.	false	112.25	114.87	21.14624
2929_86777_000008_000001	A magnificent peach was hanging against an adjoining wall, ripened by the same artificial heat.	A magnificent peach was hanging against an adjoining wall, ripened by the same artificial heat.	true	114.87	120.61	19.0168
2929_86777_000008_000002	Mercedes drew near, and plucked the fruit.	Mercedes drew near, and plucked the fruit.	true	120.62	123.37	22.602493
2929_86777_000008_000003	"Take this peach, then," she said.	"Take this peach, then," she said.	true	123.47	125.86	22.426846
2929_86777_000008_000004	The count again refused.	The count again refused.	true	125.9	127.62	18.781631
2929_86777_000008_000005	"What, again?" she exclaimed, in so plaintive an accent that it seemed to stifle a sob; "really, you pain me."	"What, again?" she exclaimed, in so plaintive an accent that it seemed to stifle a sob; "really, you pain me."	false	127.62	135.46	20.879482
2929_86777_000009_000000	A long silence followed; the peach, like the grapes, fell to the ground.	A long silence followed; the peach, like the grapes, fell to the ground.	true	135.74	140.34	20.434925
2929_86777_000009_000001	"Count," added Mercedes with a supplicating glance, "there is a beautiful Arabian custom, which makes eternal friends of those who have together eaten bread and salt under the same roof."	"Count," added Mercedes with a supplicating glance, "there is a beautiful Arabian custom, which makes eternal friends of those who have together eaten bread and salt under the same roof."	true	140.34	151.11	19
2929_86777_000010_000000	"I know it, madame," replied the count; "but we are in France, and not in Arabia, and in France eternal friendships are as rare as the custom of dividing bread and salt with one another."	"I know it, madame," replied the count; "but we are in France, and not in Arabia, and in France eternal friendships are as rare as the custom of dividing bread and salt with one another."	false	151.11	162.93	20.781593
2929_86777_000011_000000	"But," said the countess, breathlessly, with her eyes fixed on Monte Cristo, whose arm she convulsively pressed with both hands, "we are friends, are we not?"	"But," said the countess, breathlessly, with her eyes fixed on Monte Cristo, whose arm she convulsively pressed with both hands, "we are friends, are we not?"	true	162.93	172.51	20.507334
2929_86777_000012_000000	The count became pale as death, the blood rushed to his heart, and then again rising, dyed his cheeks with crimson; his eyes swam like those of a man suddenly dazzled.	The count became pale as death, the blood rushed to his heart, and then again rising, dyed his cheeks with crimson; his eyes swam like those of a man suddenly dazzled.	true	172.55	182.86	20.039513
2929_86777_000012_000001	"Certainly, we are friends," he replied; "why should we not be?"	"Certainly, we are friends," he replied; "why should we not be?"	true	182.9	186.94	19.785395
2929_86777_000012_000002	The answer was so little like the one Mercedes desired, that she turned away to give vent to a sigh, which sounded more like a groan.	The answer was so little like the one Mercedes desired, that she turned away to give vent to a sigh, which sounded more like a groan.	true	187.13	194.23	19
2929_86777_000012_000003	"Thank you," she said.	"Thank you," she said.	true	194.27	195.795	22.535599
2929_86777_000012_000004	And they walked on again.	And they walked on again.	true	195.795	197.11	22.116484
2929_86777_000012_000005	They went the whole length of the garden without uttering a word.	They went the whole length of the garden without uttering a word.	true	197.21	200.35	19.15731
2929_86777_000012_000006	"Sir," suddenly exclaimed the countess, after their walk had continued ten minutes in silence, "is it true that you have seen so much, travelled so far, and suffered so deeply?"	"Sir," suddenly exclaimed the countess, after their walk had continued ten minutes in silence, "is it true that you have seen so much, travelled so far, and suffered so deeply?"	false	200.39	211.36	21.812254
2929_86777_000013_000000	"I have suffered deeply, madame," answered Monte Cristo.	"I have suffered deeply, madame," answered Monte Cristo.	true	211.55	214.69	19.458586
2929_86777_000014_000000	"But now you are happy?"	"But now you are happy?"	true	214.76	216.22	19.690836
2929_86777_000015_000000	"Doubtless," replied the count, "since no one hears me complain."	"Doubtless," replied the count, "since no one hears me complain."	true	216.41	220.42	21.002851
2929_86777_000016_000000	"And your present happiness, has it softened your heart?"	"And your present happiness, has it softened your heart?"	true	220.58	223.84	20.139212
2929_86777_000017_000000	"My present happiness equals my past misery," said the count.	"My present happiness equals my past misery," said the count.	true	224.09	228.22	20.01157
2929_86777_000018_000000	"Are you not married?" asked the countess.	"Are you not married?" asked the countess.	true	228.38	231.1	22
2929_86777_000018_000001	"I, married?" exclaimed Monte Cristo, shuddering; "who could have told you so?"	"I, married?" exclaimed Monte Cristo, shuddering; "who could have told you so?"	true	231.26	236.5	23.241684
2929_86777_000019_000000	"No one told me you were, but you have frequently been seen at the opera with a young and lovely woman."	"No one told me you were, but you have frequently been seen at the opera with a young and lovely woman."	false	236.69	242.23	19
2929_86777_000020_000000	"She is a slave whom I bought at Constantinople, madame, the daughter of a prince.	"She is a slave whom I bought at Constantinople, madame, the daughter of a prince.	true	242.54	247.29	20
2929_86777_000020_000001	I have adopted her as my daughter, having no one else to love in the world."	I have adopted her as my daughter, having no one else to love in the world."	false	247.29	251.37	21.197506
2929_86777_000021_000000	"You live alone, then?"	"You live alone, then?"	false	251.37	253.03	17.478474
2929_86777_000022_000000	"I do."	"I do."	true	253.28	254.14	22.480394
2929_86777_000023_000000	"You have no sister--no son--no father?"	"You have no sister-no son-no father?"	true	254.36	257.59	22.301983
2929_86777_000024_000000	"I have no one."	"I have no one."	true	257.75	258.97	20.252623
2929_86777_000025_000000	"How can you exist thus without any one to attach you to life?"	"How can you exist thus without any one to attach you to life?"	false	259.28	263.49	18.218401
2929_86777_000026_000000	"It is not my fault, madame.	"It is not my fault, madame.	true	263.49	265.06	19
2929_86777_000026_000001	At Malta, I loved a young girl, was on the point of marrying her, when war came and carried me away.	At Malta, I loved a young girl, was on the point of marrying her, when war came and carried me away.	false	265.07	271.18	21.062897
2929_86777_000026_000002	I thought she loved me well enough to wait for me, and even to remain faithful to my memory.	I thought she loved me well enough to wait for me, and even to remain faithful to my memory.	true	271.22	275.89	21.226967
2929_86777_000026_000003	When I returned she was married.	When I returned she was married.	true	275.96	277.96	19.769869
2929_86777_000026_000004	This is the history of most men who have passed twenty years of age.	This is the history of most men who have passed twenty years of age.	true	278.06	281.92	20.628126
2929_86777_000026_000005	Perhaps my heart was weaker than the hearts of most men, and I suffered more than they would have done in my place; that is all." The countess stopped for a moment, as if gasping for breath.	Perhaps my heart was weaker than the hearts of most men, and I suffered more than they would have done in my place; that is all." The countess stopped for a moment, as if gasping for breath.	true	281.99	292.24	20.111946
2929_86777_000026_000006	"Yes," she said, "and you have still preserved this love in your heart--one can only love once--and did you ever see her again?"	"Yes," she said, "and you have still preserved this love in your heart-one can only love once-and did you ever see her again?"	true	292.37	300.25	19.703737
2929_86777_000027_000000	"Never."	"Never."	true	300.44	301.21	22.950203
2929_86777_000028_000000	"Never?"	"Never?"	true	301.43	302.35	22.632067
2929_86777_000029_000000	"I never returned to the country where she lived."	"I never returned to the country where she lived."	true	302.63	305.35	20.23766
2929_86777_000030_000000	"To Malta?"	"To Malta?"	true	305.51	306.61	21.854294
2929_86777_000031_000000	"Yes; Malta."	"Yes; Malta."	true	306.71	307.9	20.915276
2929_86777_000032_000000	"She is, then, now at Malta?"	"She is, then, now at Malta?"	true	307.97	310.12	23.012548
2929_86777_000033_000000	"I think so."	"I think so."	true	310.37	311.47	21.0617
2929_86777_000034_000000	"And have you forgiven her for all she has made you suffer?"	"And have you forgiven her for all she has made you suffer?"	true	311.75	314.71	19
2929_86777_000035_000000	"Her,--yes."	"Her,--yes."	true	315.05	316.36	25.9357
2929_86777_000036_000000	"But only her; do you then still hate those who separated you?"	"But only her; do you then still hate those who separated you?"	true	316.7	320.35	19.939167
2929_86777_000037_000000	"I hate them?	"I hate them?	true	320.63	321.765	23.736362
2929_86777_000037_000001	Not at all; why should I?"	Not at all; why should I?"	true	321.765	323.59	19.80423
2929_86777_000037_000002	The countess placed herself before Monte Cristo, still holding in her hand a portion of the perfumed grapes.	The countess placed herself before Monte Cristo, still holding in her hand a portion of the perfumed grapes.	true	323.84	329.68	20.67523
2929_86777_000037_000003	"Take some," she said.	"Take some," she said.	true	329.9	331.57	23.67276
2929_86777_000037_000004	"Madame, I never eat Muscatel grapes," replied Monte Cristo, as if the subject had not been mentioned before. The countess dashed the grapes into the nearest thicket, with a gesture of despair.	"Madame, I never eat Muscatel grapes," replied Monte Cristo, as if the subject had not been mentioned before. The countess dashed the grapes into the nearest thicket, with a gesture of despair.	true	331.79	343.12	22.169725
2929_86777_000037_000005	"Inflexible man!" she murmured.	"Inflexible man!" she murmured.	true	343.43	346.09	18.10189
2929_86777_000037_000006	Monte Cristo remained as unmoved as if the reproach had not been addressed to him.	Monte Cristo remained as unmoved as if the reproach had not been addressed to him.	true	346.16	350.74	20
2929_86777_000037_000007	Albert at this moment ran in.	Albert at this moment ran in.	true	350.78	352.99	20.074656
2929_86777_000037_000008	"Oh, mother," he exclaimed, "such a misfortune has happened!"	"Oh, mother," he exclaimed, "such a misfortune has happened!"	true	353.18	357.04	22.581553
2929_86777_000038_000000	"What?	"What?	true	357.29	357.96	23.694777
2929_86777_000038_000001	What has happened?" asked the countess, as though awakening from a sleep to the realities of life; "did you say a misfortune?	What has happened?" asked the countess, as though awakening from a sleep to the realities of life; "did you say a misfortune?	true	357.96	365.2	20.591606
2929_86777_000038_000002	Indeed, I should expect misfortunes."	Indeed, I should expect misfortunes."	true	365.27	367.62	20.048676
2929_86777_000039_000000	"M. de Villefort is here."	"M. de Villefort is here."	false	367.62	370.96	20.148928
2929_86777_000040_000000	"Well?"	"Well?"	true	371.24	372.01	27.631887
2929_86777_000041_000000	"He comes to fetch his wife and daughter."	"He comes to fetch his wife and daughter."	true	372.41	374.5	18.674013
2929_86777_000042_000000	"Why so?"	"Why so?"	true	374.81	375.82	19.243341
2929_86777_000043_000000	"Because Madame de Saint-Meran is just arrived in Paris, bringing the news of M. de Saint-Meran's death, which took place on the first stage after he left Marseilles.	"Because Madame de Saint Meran is just arrived in Paris, bringing the news of m de Saint Meran's death, which took place on the first stage after he left Marseilles.	false	376.25	385.09	18
2929_86777_000043_000001	Madame de Villefort, who was in very good spirits, would neither believe nor think of the misfortune, but Mademoiselle Valentine, at the first words, guessed the whole truth, notwithstanding all the precautions of her father; the blow struck her like a thunderbolt, and she fell senseless."	Madame de Villefort, who was in very good spirits, would neither believe nor think of the misfortune, but Mademoiselle Valentine, at the first words, guessed the whole truth, notwithstanding all the precautions of her father; the blow struck her like a thunderbolt, and she fell senseless."	false	385.19	400.87	20.691095
2929_86777_000044_000000	"And how was M. de Saint-Meran related to Mademoiselle de Villefort?" said the count.	"And how was m de Saint Meran related to Mademoiselle de Villefort?" said the count.	false	401.24	405.73	19.690239
2929_86777_000045_000000	"He was her grandfather on the mother's side.	"He was her grandfather on the mother's side.	false	406.07	408.48	19.21539
2929_86777_000045_000001	He was coming here to hasten her marriage with Franz."	He was coming here to hasten her marriage with Franz."	true	408.48	411.4	18
2929_86777_000046_000000	"Ah, indeed?"	"Ah, indeed?"	true	411.62	413.05	22.817768
2929_86777_000047_000000	"So Franz must wait.	"So Franz must wait.	false	413.12	414.57	20.974121
2929_86777_000047_000001	Why was not M. de Saint-Meran also grandfather to Mademoiselle Danglars?"	Why was not m de Saint Meran also grandfather to Mademoiselle Danglars?"	false	414.57	418.84	18
2929_86777_000048_000000	"Albert, Albert," said Madame de Morcerf, in a tone of mild reproof, "what are you saying?	"Albert, Albert," said Madame de Morcerf, in a tone of mild reproof, "what are you saying?	true	419.21	425.08	21.761778
2929_86777_000048_000001	Ah, count, he esteems you so highly, tell him that he has spoken amiss." And she took two or three steps forward. Monte Cristo watched her with an air so thoughtful, and so full of affectionate admiration, that she turned back and grasped his hand; at the same time she seized that of her son, and joined them together.	Ah, count, he esteems you so highly, tell him that he has spoken amiss." And she took two or three steps forward. Monte Cristo watched her with an air so thoughtful, and so full of affectionate admiration, that she turned back and grasped his hand; at the same time she seized that of her son, and joined them together.	true	425.18	445	20.564709
2929_86777_000049_000000	"We are friends; are we not?" she asked.	"We are friends; are we not?" she asked.	true	445.1	447.97	20.825111
2929_86777_000050_000000	"Oh, madame, I do not presume to call myself your friend, but at all times I am your most respectful servant." The countess left with an indescribable pang in her heart, and before she had taken ten steps the count saw her raise her handkerchief to her eyes.	"Oh, madame, I do not presume to call myself your friend, but at all times I am your most respectful servant." The countess left with an indescribable pang in her heart, and before she had taken ten steps the count saw her raise her handkerchief to her eyes.	true	448.01	463.15	20.450895
2929_86777_000050_000001	"Do not my mother and you agree?" asked Albert, astonished.	"Do not my mother and you agree?" asked Albert, astonished.	true	463.34	467.29	21.135136
2929_86777_000051_000000	"On the contrary," replied the count, "did you not hear her declare that we were friends?"	"On the contrary," replied the count, "did you not hear her declare that we were friends?"	true	467.45	472.36	20.152952
2929_86777_000051_000001	They re-entered the drawing-room, which Valentine and Madame de Villefort had just quitted.	They re-entered the drawing room, which Valentine and Madame de Villefort had just quitted.	true	472.52	477.675	20.419666
2929_86777_000051_000002	It is perhaps needless to add that Morrel departed almost at the same time.	It is perhaps needless to add that Morrel departed almost at the same time.	false	477.675	484.38	19.224415
2929_86777_000052_000000	Chapter 72.	Chapter seventy two.	false	484.38	485.46	15
2929_86777_000052_000001	Madame de Saint-Meran.	Madame de Saint Meran.	false	485.46	485.46	
2929_86777_000053_000000	A gloomy scene had indeed just passed at the house of M. de Villefort. After the ladies had departed for the ball, whither all the entreaties of Madame de Villefort had failed in persuading him to accompany them, the procureur had shut himself up in his study, according to his custom, with a heap of papers calculated to alarm any one else, but which generally scarcely satisfied his inordinate desires.	A gloomy scene had indeed just passed at the house of m de Villefort. After the ladies had departed for the ball, whither all the entreaties of Madame de Villefort had failed in persuading him to accompany them, the procureur had shut himself up in his study, according to his custom, with a heap of papers calculated to alarm any one else, but which generally scarcely satisfied his inordinate desires.	false	485.46	491.46	15.418869
2929_86777_000053_000001	But this time the papers were a mere matter of form.	But this time the papers were a mere matter of form.	false	491.46	491.46	
2929_86777_000053_000002	Villefort had secluded himself, not to study, but to reflect; and with the door locked and orders given that he should not be disturbed excepting for important business, he sat down in his arm-chair and began to ponder over the events, the remembrance of which had during the last eight days filled his mind with so many gloomy thoughts and bitter recollections.	Villefort had secluded himself, not to study, but to reflect; and with the door locked and orders given that he should not be disturbed excepting for important business, he sat down in his arm chair and began to ponder over the events, the remembrance of which had during the last eight days filled his mind with so many gloomy thoughts and bitter recollections.	false	491.46	491.46	
2929_86777_000053_000003	Then, instead of plunging into the mass of documents piled before him, he opened the drawer of his desk, touched a spring, and drew out a parcel of cherished memoranda, amongst which he had carefully arranged, in characters only known to himself, the names of all those who, either in his political career, in money matters, at the bar, or in his mysterious love affairs, had become his enemies.	Then, instead of plunging into the mass of documents piled before him, he opened the drawer of his desk, touched a spring, and drew out a parcel of cherished memoranda, amongst which he had carefully arranged, in characters only known to himself, the names of all those who, either in his political career, in money matters, at the bar, or in his mysterious love affairs, had become his enemies.	false	491.46	491.46	
