4098_11547_000000_000000	"What for?" asked Theo, blushing.	"What for?" asked Theo, blushing.	false	0	2.79	26.366829
4098_11547_000005_000001	She had been deeply interested in Marguerite a minute before, and, in her heart-touched pleasure, had leant upon the edge of the box, her whole face thrilled with excitement.	She had been deeply interested in Marguerite a minute before, and, in her heart touched pleasure, had leant upon the edge of the box, her whole face thrilled with excitement.	true	30.05	39.25	24.203636
4098_11547_000005_000002	But the steady gaze magnetized her, and drew her eyes round to the shadowy corner where Denis sat; and she positively turned with just such a start as he himself had given when Theodora North, in rose-colored satin, burst upon him, in such vivid, glowing contrast to Priscilla Gower, in dun merino.	But the steady gaze magnetized her, and drew her eyes round to the shadowy corner where Denis sat; and she positively turned with just such a start as he himself had given when Theodora North, in rose colored satin, burst upon him, in such vivid, glowing contrast to Priscilla Gower, in dun merino.	false	39.29	57.04	23.586573
4098_11547_000006_000000	"Oh!" she said, and though the little exclamation was scarcely more than an indrawn breath, Denis heard it, and came out of his corner to take a seat at her side, and lean over the box-edge also.	"Oh!" she said, and though the little exclamation was scarcely more than an indrawn breath, Denis heard it, and came out of his corner to take a seat at her side, and lean over the box edge also.	false	57.83	69.55	24.165768
4098_11547_000007_000000	"What is it, Theodora?" he asked, in a low, clear voice.	"What is it, Theodora?" he asked, in a low, clear voice.	true	69.98	73.42	22.922228
4098_11547_000007_000001	"Is it Marguerite?"	"Is it Marguerite?"	true	73.49	74.74	21.019306
4098_11547_000008_000000	She looked at him in a little fright at herself.	She looked at him in a little fright at herself.	true	75.14	77.835	25.807726
4098_11547_000008_000001	She did not know why she had exclaimed--she scarcely knew how; but when she met his unembarrassed eyes, she began to think that possibly it might be Marguerite.	She did not know why she had exclaimed-she scarcely knew how; but when she met his unembarrassed eyes, she began to think that possibly it might be Marguerite.	true	77.835	86.23	22.352325
4098_11547_000008_000002	Indeed, a second later, she was quite sure it had been Marguerite.	Indeed, a second later, she was quite sure it had been Marguerite.	true	86.39	89.98	23.657774
4098_11547_000009_000000	"Yes--I think so," she faltered.	"Yes-I think so," she faltered.	true	90.53	92.92	25.334398
4098_11547_000009_000001	"Poor Marguerite!	"Poor Marguerite!	true	93.05	94.275	25.522915
4098_11547_000009_000002	If she could only have saved him?"	If she could only have saved him?"	true	94.275	96.25	22.105753
4098_11547_000010_000000	"How?" he asked.	"How?" he asked.	true	96.71	98.35	24.437563
4098_11547_000011_000000	"I don't--at least I scarcely know; but I think the author ought to have made her save him, someway.	"I don't-at least I scarcely know; but I think the author ought to have made her save him, someway.	true	98.54	103.69	25.052591
4098_11547_000011_000001	If--if she could have suffered something, or sacrificed something--"	If-if she could have suffered something, or sacrificed something-"	true	103.76	107.44	25.813929
4098_11547_000012_000000	"Would she have done it if she could?" commented Denis, languidly.	"Would she have done it if she could?" commented Denis, languidly.	true	108.05	111.61	23.887981
4098_11547_000012_000001	He had quite recovered himself by this time.	He had quite recovered himself by this time.	true	111.74	114.1	24.337526
4098_11547_000013_000000	"I would have done it if I had been Marguerite," Theo half whispered.	"I would have done it if I had been Marguerite," Theo half whispered.	true	114.44	118.3	23.440384
4098_11547_000014_000000	In his surprise he forgot his self-possession.	In his surprise he forgot his self possession.	true	118.67	121.27	21.671663
4098_11547_000014_000001	He turned upon her suddenly, and meeting her sweet, world-ignorant eyes, felt the faint, pained shock once more, and strangely enough his first thought was a disconnected one of Priscilla Gower.	He turned upon her suddenly, and meeting her sweet, world ignorant eyes, felt the faint, pained shock once more, and strangely enough his first thought was a disconnected one of Priscilla Gower.	true	121.43	133.08	24.305882
4098_11547_000015_000000	"You?" he said, the next moment.	"You?" he said, the next moment.	true	133.08	135.345	24.984287
4098_11547_000015_000001	"Yes, I believe you would, Theodora."	"Yes, I believe you would, Theodora."	true	135.345	137.56	24.904116
4098_11547_000016_000000	He was sure she would, after that swift glance of his, and--Well, what a happy man he would be for whom this tender young Marguerite would suffer or be sacrificed.	He was sure she would, after that swift glance of his, and-Well, what a happy man he would be for whom this tender young Marguerite would suffer or be sacrificed.	true	137.99	147.25	23.796724
4098_11547_000016_000001	The idea had really never occurred to him before that Theodora North was nearly a woman; but it occurred to him now with all the greater force, because he had been so oblivious to the fact before.	The idea had really never occurred to him before that Theodora North was nearly a woman; but it occurred to him now with all the greater force, because he had been so oblivious to the fact before.	false	147.44	157.78	22.776522
4098_11547_000017_000000	He sat by her side until the curtain fell; but his silent mood seemed to have come upon him again.	He sat by her side until the curtain fell; but his silent mood seemed to have come upon him again.	true	158.3	164.41	24.689617
4098_11547_000017_000001	He was very much interested in Marguerite after this, Theo thought; but it is very much to be doubted whether he could have given a clear account of what was passing before his eyes upon the stage.	He was very much interested in Marguerite after this, Theo thought; but it is very much to be doubted whether he could have given a clear account of what was passing before his eyes upon the stage.	false	164.6	174.67	23.69782
4098_11547_000017_000002	He did not even go into the house with them when they returned; but as he stood upon the door-step, touching his hat in a final adieu, he was keenly alive to a consciousness of Theodora North at the head of the stair-case, with billows of glistening rose-pink satin lying on the rich carpet about her feet, as she half turned toward him to bid him good-night.	He did not even go into the house with them when they returned; but as he stood upon the door step, touching his hat in a final adieu, he was keenly alive to a consciousness of Theodora North at the head of the stair case, with billows of glistening rose pink satin lying on the rich carpet about her feet, as she half turned toward him to bid him good night.	false	175.01	195.07	22.254236
4098_11547_000018_000000	Bright as the future was, it left a sense of discomfort, he could not explain why.	Bright as the future was, it left a sense of discomfort, he could not explain why.	true	195.47	200.17	23.437939
4098_11547_000018_000001	He dismissed the carriage, and walked down the street, feeling fairly depressed in spirits.	He dismissed the carriage, and walked down the street, feeling fairly depressed in spirits.	true	200.36	205.15	25.666676
4098_11547_000019_000000	He had, perhaps, never given the girl a thought before, unless when chance had thrown them together, and even then his thoughts had been common admiring ones.	He had, perhaps, never given the girl a thought before, unless when chance had thrown them together, and even then his thoughts had been common admiring ones.	true	205.49	214.71	24.161354
4098_11547_000019_000001	She had pleased him, and he had tried to amuse her in a careless, well-meant fashion, though he had never made fine speeches to her, as nine men out of ten would have done.	She had pleased him, and he had tried to amuse her in a careless, well meant fashion, though he had never made fine speeches to her, as nine men out of ten would have done.	true	214.71	224.38	22.138487
4098_11547_000019_000002	He had been so used to Priscilla, that it never occurred to him that a girl so young as this one could be a woman.	He had been so used to Priscilla, that it never occurred to him that a girl so young as this one could be a woman.	true	224.78	230.5	21
4098_11547_000019_000003	And, after all, his blindness had not been the result of any frivolous lack of thought.	And, after all, his blindness had not been the result of any frivolous lack of thought.	true	230.6	235.42	24.101063
4098_11547_000019_000004	A sharp experience had made him as thoroughly a man of the world as a man may be; but it had not made him callous or indifferent to the beauties of life.	A sharp experience had made him as thoroughly a man of the world as a man may be; but it had not made him callous or indifferent to the beauties of life.	true	235.82	244.3	22.53822
4098_11547_000019_000005	No one would ever have called him emotional, or prone to enthusiasms of a weak kind, and yet he was by no means hard of heart.	No one would ever have called him emotional, or prone to enthusiasms of a weak kind, and yet he was by no means hard of heart.	true	244.58	251.95	20.975431
4098_11547_000019_000006	He had quiet fancies of his own about people and things, and many of these reticent, rarely-expressed ideas were reverent, chivalrous ones of women.	He had quiet fancies of his own about people and things, and many of these reticent, rarely expressed ideas were reverent, chivalrous ones of women.	true	252.17	260.65	23.904385
4098_11547_000019_000007	The opposing force of a whole world could never have shaken his faith in Priscilla Gower, or touched his respect for her; but though, perhaps, he had never understood it so, he had never felt very enthusiastically concerning her.	The opposing force of a whole world could never have shaken his faith in Priscilla Gower, or touched his respect for her; but though, perhaps, he had never understood it so, he had never felt very enthusiastically concerning her.	true	261.23	274	22.606346
4098_11547_000019_000008	Truly, Priscilla Gower and enthusiasm were not in accordance with each other.	Truly, Priscilla Gower and enthusiasm were not in accordance with each other.	true	274.43	278.62	21.13658
4098_11547_000019_000009	Chance had thrown them together when both were very young, and propinquity did the rest.	Chance had thrown them together when both were very young, and propinquity did the rest.	true	278.66	283.57	19.217936
4098_11547_000019_000010	Propinquity is the strongest of agents in a love affair, and in Denis Oglethorpe's love affair, propinquity had accomplished what nothing else would have been likely to have done.	Propinquity is the strongest of agents in a love affair, and in Denis Oglethorpe's love affair, propinquity had accomplished what nothing else would have been likely to have done.	true	283.91	292.9	24.815916
4098_11547_000019_000011	The desperate young scribbler of twenty years had been the lodger of the elder Miss Gower, and Priscilla, aged seventeen, had brought in his frugal dinners to him, and receipted his modest bills on their weekly payment.	The desperate young scribbler of twenty years had been the lodger of the elder Miss Gower, and Priscilla, aged seventeen, had brought in his frugal dinners to him, and receipted his modest bills on their weekly payment.	true	293.18	305.62	24.163895
4098_11547_000020_000000	Priscilla at seventeen, silent, practical, grave and handsome, had, perhaps, softened unconsciously at the sight of his often pale face--he worked so hard and so far into the night; when at length they became friends, Priscilla gravely, and without any hesitation, volunteered to help him.	Priscilla at seventeen, silent, practical, grave and handsome, had, perhaps, softened unconsciously at the sight of his often pale face-he worked so hard and so far into the night; when at length they became friends, Priscilla gravely, and without any hesitation, volunteered to help him.	true	305.69	323.95	24.157068
4098_11547_000020_000001	She could copy well and clearly, and he could come into her aunt's room--it would save fires.	She could copy well and clearly, and he could come into her aunt's room-it would save fires.	true	324.05	329.41	24.094545
4098_11547_000020_000002	So she helped him calmly and decorously, bending her almost austerely-handsome young head over his papers for hours on the long winter nights.	So she helped him calmly and decorously, bending her almost austerely handsome young head over his papers for hours on the long winter nights.	false	329.54	338.23	21
4098_11547_000020_000003	It is easy to guess how the matter terminated.	It is easy to guess how the matter terminated.	true	339.02	341.71	23.167416
4098_11547_000020_000004	If ever he won success he determined to give it to Priscilla--and so he told her.	If ever he won success he determined to give it to Priscilla-and so he told her.	true	342.11	347.14	22.829113
4098_11547_000020_000005	He had never wavered in his faith for a second since, though he had encountered many beautiful and womanly women.	He had never wavered in his faith for a second since, though he had encountered many beautiful and womanly women.	false	347.36	354.22	21.847527
4098_11547_000020_000006	He had worked steadily for her sake, and shielded her from every care that it lay within his power to lighten.	He had worked steadily for her sake, and shielded her from every care that it lay within his power to lighten.	true	354.65	360.4	22.44673
4098_11547_000020_000007	He was not old Miss Elizabeth Gower's lodger now--he was her niece's husband in perspective. He was to marry Priscilla Gower in eight months.	He was not old Miss Elizabeth Gower's lodger now-he was her niece's husband in perspective. He was to marry Priscilla Gower in eight months.	true	361.19	369.58	20.78974
4098_11547_000020_000008	This was why Theodora North, in glistening rose-pink satin, sent him home confronting a suddenly-raised spirit of pain.	This was why Theodora North, in glistening rose pink satin, sent him home confronting a suddenly raised spirit of pain.	true	369.92	377.47	21.590239
4098_11547_000020_000009	Twice, in one night, he had found himself feeling toward Theodora North as he had never felt toward Priscilla Gower in his life.	Twice, in one night, he had found himself feeling toward Theodora North as he had never felt toward Priscilla Gower in his life.	true	377.99	385.245	23.451862
4098_11547_000020_000010	Twice, in one night, he had turned his eyes upon this girl of sixteen, and suffered a sudden shock of enthusiasm, or something like it.	Twice, in one night, he had turned his eyes upon this girl of sixteen, and suffered a sudden shock of enthusiasm, or something like it.	true	385.245	393.07	23.354504
4098_11547_000020_000011	He was startled and discomfited.	He was startled and discomfited.	false	393.44	395.25	21.51301
4098_11547_000020_000012	She had no right to win such admiration from him--he had no right to give it.	She had no right to win such admiration from him-he had no right to give it.	true	395.25	399.64	22
4098_11547_000021_000000	But as his walk in the night-air cooled him, it cooled his ardor of self-examination somewhat.	But as his walk in the night air cooled him, it cooled his ardor of self examination somewhat.	true	400.25	406.12	22.361206
4098_11547_000021_000001	His discontent was modified by the time he reached his own door, and took his latch-key out of his pocket.	His discontent was modified by the time he reached his own door, and took his latch key out of his pocket.	true	406.22	412.36	25.392197
4098_11547_000021_000002	The face that had looked down upon him beneath the light at the head of the stair-case, had faded into less striking color--it was only a girl's face again.	The face that had looked down upon him beneath the light at the head of the stair case, had faded into less striking color-it was only a girl's face again.	true	412.7	421.27	22.641594
4098_11547_000021_000003	He was on better terms with himself, and his weakness seemed less formidable.	He was on better terms with himself, and his weakness seemed less formidable.	true	421.64	426.37	26.317308
4098_11547_000022_000000	"I will keep my promise to-morrow," he said, "and Priscilla shall go with us.	"I will keep my promise to morrow," he said, "and Priscilla shall go with us.	true	426.86	431.02	24.810461
4098_11547_000022_000001	Poor Priscilla!--poor girl!	Poor Priscilla!--poor girl!	true	431.09	432.97	26.322485
4098_11547_000022_000002	Rose-pink satin would scarcely be in good taste in Broome street."	Rose pink satin would scarcely be in good taste in Broome street."	false	433.04	436.96	23.085197
4098_11547_000023_000000	The promise he had made was nothing more than a ratification of the old one.	The promise he had made was nothing more than a ratification of the old one.	true	437.21	441.01	23.22934
4098_11547_000023_000001	They were to see the lions together, and Priscilla was to guide them.	They were to see the lions together, and Priscilla was to guide them.	true	441.44	444.88	21.918724
4098_11547_000024_000000	And when the morrow came, he found it, after all, safe enough, and an easy enough matter, to tuck Theodora's small, gloved hand under his arm, when they set out on their tour of investigation and discovery.	And when the morrow came, he found it, after all, safe enough, and an easy enough matter, to tuck Theodora's small, gloved hand under his arm, when they set out on their tour of investigation and discovery.	true	445.31	457	22
4098_11547_000024_000001	The girl was pretty enough, too, in her soft, black merino--her "best" dress in Downport--but she was not dazzling.	The girl was pretty enough, too, in her soft, black merino-her "best" dress in Downport-but she was not dazzling.	true	457.19	464.26	22.50273
4098_11547_000024_000002	The little round, black-plumed hat was becoming also; but in his now more prosaic mood, he could stand that, too, pretty as it was in an innocent, unconsciously-coquettish way.	The little round, black plumed hat was becoming also; but in his now more prosaic mood, he could stand that, too, pretty as it was in an innocent, unconsciously coquettish way.	true	464.42	475.51	20.814558
4098_11547_000024_000003	Theo was never coquettish herself in the slightest degree.	Theo was never coquettish herself in the slightest degree.	true	475.91	479.44	20.653715
4098_11547_000024_000004	She was not world-wise enough for that yet.	She was not world wise enough for that yet.	true	479.63	482.26	22.348118
4098_11547_000024_000005	But she was quite exhilarating to-day; so glad to be out even in the London fog of November; so glad to be taken lion-hunting; so delighted with the shops and their gay windows; so ready to let her young tongue run on in a gay stream of chatter, altogether so bright, and pretty, and joyous, that her escort was fain to be delighted too.	But she was quite exhilarating to day; so glad to be out even in the London fog of November; so glad to be taken lion hunting; so delighted with the shops and their gay windows; so ready to let her young tongue run on in a gay stream of chatter, altogether so bright, and pretty, and joyous, that her escort was fain to be delighted too.	false	482.36	503.73	22.820753
4098_11547_000025_000000	"Guess where we are going to first?" said he. (He had not before openly spoken of Priscilla to her.)	"Guess where we are going to first?" said he. (He had not before openly spoken of Priscilla to her.)	false	503.73	509.53	26.224491
4098_11547_000026_000000	She glanced up into his face, brightly.	She glanced up into his face, brightly.	true	509.9	512.23	23.248001
4098_11547_000026_000001	She remembered what he had told her about his lady friend.	She remembered what he had told her about his lady friend.	true	512.39	515.47	21.46083
4098_11547_000027_000000	"I don't exactly know the name of the place," she said; "but I think I know the name of the person we are going to see."	"I don't exactly know the name of the place," she said; "but I think I know the name of the person we are going to see."	false	516.2	522.55	22.685675
4098_11547_000028_000000	"Do you?" was his reply.	"Do you?" was his reply.	true	523.28	525.13	23.397291
4098_11547_000028_000001	"Then say it to me--let me hear it."	"Then say it to me-let me hear it."	true	525.23	527.2	23.572372
4098_11547_000029_000000	"Miss Gower," she answered, softly, in a pretty reverence for him.	"Miss Gower," she answered, softly, in a pretty reverence for him.	true	527.96	532.155	23.283464
4098_11547_000029_000001	"Miss Priscilla Gower."	"Miss Priscilla Gower."	true	532.155	533.74	21.718082
4098_11547_000030_000000	He nodded, slightly, with a curious mixture of expressions in his face.	He nodded, slightly, with a curious mixture of expressions in his face.	true	534.17	538.51	24.469618
4098_11547_000031_000000	"Yes," he said.	"Yes," he said.	true	538.88	540.15	22.757885
4098_11547_000031_000001	"Miss Gower, or rather Miss Priscilla Gower, as you say. Number twenty-three, Broome street; and Broome street is not a fashionable locality, my dear Theodora."	"Miss Gower, or rather Miss Priscilla Gower, as you say. Number twenty three, Broome street; and Broome street is not a fashionable locality, my dear Theodora."	true	540.15	549.73	24.233036
4098_11547_000032_000000	"Isn't it?" queried Theo.	"Isn't it?" queried Theo.	true	550.37	552.4	28.23409
4098_11547_000032_000001	"Why not?"	"Why not?"	true	552.53	553.45	21.797266
4098_11547_000033_000000	He shrugged his shoulders.	He shrugged his shoulders.	true	554	555.31	21.708168
4098_11547_000034_000000	"Ask Lady Throckmorton," he said.	"Ask Lady Throckmorton," he said.	true	555.5	557.59	21.865171
4098_11547_000034_000001	"But do you know who Miss Priscilla Gower is, Theodora?"	"But do you know who Miss Priscilla Gower is, Theodora?"	true	557.81	560.92	23.36889
4098_11547_000035_000000	Her bright eyes crept up to his, half-timidly; but she said nothing, so he continued.	Her bright eyes crept up to his, half timidly; but she said nothing, so he continued.	true	561.26	566.5	23.4721
4098_11547_000036_000000	"Miss Priscilla Gower is the young lady to whom I am to be married next July.	"Miss Priscilla Gower is the young lady to whom I am to be married next July.	true	566.66	571.12	21
4098_11547_000036_000001	Did you know that?"	Did you know that?"	true	571.16	572.23	33.22355
4098_11547_000037_000000	"Yes," answered Theo, looking actually pleased, and blushing beautifully as he looked down at her.	"Yes," answered Theo, looking actually pleased, and blushing beautifully as he looked down at her.	true	573.08	578.71	24.637566
4098_11547_000037_000001	"But I am very much obliged to you for telling me, Mr. Oglethorpe."	"But I am very much obliged to you for telling me, mr Oglethorpe."	true	578.75	582.25	20.72082
4098_11547_000038_000000	"Why?" he asked.	"Why?" he asked.	true	582.56	584.2	21.155006
4098_11547_000038_000001	It was very preposterous, that even though his mood was so prosaic and paternal a one, he was absurdly, vacantly sensible of feeling some uneasiness at the brightness of her upturned face.	It was very preposterous, that even though his mood was so prosaic and paternal a one, he was absurdly, vacantly sensible of feeling some uneasiness at the brightness of her upturned face.	true	584.48	595.54	22
4098_11547_000038_000002	For pity's sake, why was it that he was impelled to such a puerile weakness--such a vanity, as he sternly called it.	For pity's sake, why was it that he was impelled to such a puerile weakness-such a vanity, as he sternly called it.	true	595.73	602.59	23.976719
4098_11547_000039_000000	"Because," returned Theo, "it makes me feel as if--I mean it makes me happy to think you trust me enough to tell me about what has made you happy.	"Because," returned Theo, "it makes me feel as if-I mean it makes me happy to think you trust me enough to tell me about what has made you happy.	false	602.93	611.38	23.7377
4098_11547_000039_000001	I hope--oh!	I hope-oh!	true	611.51	612.45	26.100435
4098_11547_000039_000002	I do hope Miss Priscilla Gower will like me."	I do hope Miss Priscilla Gower will like me."	true	612.45	615.01	23.580969
4098_11547_000040_000000	He had been looking straight before him while she spoke, but this brought his eyes to hers again, and to her face--bright, appealing, upturned--and he found himself absolutely obliged to steady himself with a jesting speech.	He had been looking straight before him while she spoke, but this brought his eyes to hers again, and to her face-bright, appealing, upturned-and he found himself absolutely obliged to steady himself with a jesting speech.	true	615.5	627.61	22.922453
4098_11547_000041_000000	"My dearest Theodora," he said.	"My dearest Theodora," he said.	true	627.74	630.045	22.813967
4098_11547_000041_000001	"Miss Priscilla Gower could not possibly help it."	"Miss Priscilla Gower could not possibly help it."	true	630.045	632.95	29.97146
4098_11547_000042_000000	Comforting as this assurance was to her, it must be confessed she found herself somewhat over-awed on reaching Broome street, and being taken into the tiny, dwarfed-looking parlor of number twenty-three; Miss Elizabeth Gower herself was there, in her company-cap, and long-cherished company-dress of snuff-colored satin.	Comforting as this assurance was to her, it must be confessed she found herself somewhat over awed on reaching Broome street, and being taken into the tiny, dwarfed looking parlor of number twenty three; Miss Elizabeth Gower herself was there, in her company cap, and long cherished company dress of snuff colored satin.	false	633.5	652.53	23.774488
4098_11547_000042_000001	There were not many shades of difference in either her snuff-colored gown, or her snuff-colored skin, or her neat, snuff-colored false-front, Theo fancied, but she was not at all afraid of her.	There were not many shades of difference in either her snuff colored gown, or her snuff colored skin, or her neat, snuff colored false front, Theo fancied, but she was not at all afraid of her.	false	652.53	664.03	23.763193
4098_11547_000042_000002	She was a trifle afraid of Miss Priscilla.	She was a trifle afraid of Miss Priscilla.	true	664.07	666.61	24.983368
4098_11547_000042_000003	Miss Priscilla was sitting at the table reading when they entered, and as she rose to greet them, holding her book in one hand, the thought entered Theo's mind that she could comprehend dimly why Lady Throckmorton disliked her, and thought her unsuited to Denis Oglethorpe.	Miss Priscilla was sitting at the table reading when they entered, and as she rose to greet them, holding her book in one hand, the thought entered Theo's mind that she could comprehend dimly why Lady Throckmorton disliked her, and thought her unsuited to Denis Oglethorpe.	true	666.74	680.53	21.588053
4098_11547_000042_000004	There was an absence of anything girl-like in her fine, ivory-pale face, somehow, though it was a young face and a handsome face, at whose fine lines and clear contour even a connoisseur could not have caviled.	There was an absence of anything girl like in her fine, ivory pale face, somehow, though it was a young face and a handsome face, at whose fine lines and clear contour even a connoisseur could not have caviled.	true	680.69	692.8	22.169922
4098_11547_000042_000005	Its long almond-shaped, agate-gray eyes, black-fringed and lustrous as they were, still were silent eyes--they did not speak even to Denis Oglethorpe.	Its long almond shaped, agate gray eyes, black fringed and lustrous as they were, still were silent eyes-they did not speak even to Denis Oglethorpe.	true	693.35	703.39	22.026426
4098_11547_000043_000000	"I am glad you have come," she said, simply, extending her hand in acknowledgment of Denis's introduction.	"I am glad you have come," she said, simply, extending her hand in acknowledgment of Denis's introduction.	true	703.76	709.93	22.582249
4098_11547_000043_000001	The quietness of this greeting speech was a fair sample of all her manner.	The quietness of this greeting speech was a fair sample of all her manner.	true	710.09	714.13	21.661036
4098_11547_000043_000002	It would have been sheerly impossible to expect anything like effusiveness from Priscilla Gower. The most sanguine and empty-headed of mortals would never have looked for it in her.	It would have been sheerly impossible to expect anything like effusiveness from Priscilla Gower. The most sanguine and empty headed of mortals would never have looked for it in her.	false	714.5	724.42	22.320398
4098_11547_000043_000003	She was constitutionally unenthusiastic, if such a thing may be.	She was constitutionally unenthusiastic, if such a thing may be.	true	724.97	729.13	23.216764
4098_11547_000044_000000	But she was gravely curious in this case concerning Theodora North.	But she was gravely curious in this case concerning Theodora North.	false	729.47	733.21	23.650656
4098_11547_000044_000001	The fact that Denis had spoken of her admiringly was sufficient to arouse in her mind an interest in this young creature, who was at once, and so inconsistently, beautiful, timid, and regal, without consciousness.	The fact that Denis had spoken of her admiringly was sufficient to arouse in her mind an interest in this young creature, who was at once, and so inconsistently, beautiful, timid, and regal, without consciousness.	true	733.22	745.21	22.940624
4098_11547_000045_000000	"Three years more will make her something wonderful, as far as beauty is concerned," he had said; and, accordingly, she had felt some slight pleasure in the anticipation of seeing her.	"Three years more will make her something wonderful, as far as beauty is concerned," he had said; and, accordingly, she had felt some slight pleasure in the anticipation of seeing her.	true	745.91	755.71	22.777079
4098_11547_000046_000000	Yet Theo had some faint misgivings during the day as to whether Miss Priscilla Gower would like her or not.	Yet Theo had some faint misgivings during the day as to whether Miss Priscilla Gower would like her or not.	true	756.62	762.73	26.111826
4098_11547_000046_000001	She was at first even inclined to fear that she would not, being so very handsome, and grave, and womanly. But toward the end of their journeying together, she felt more hopeful. Reticent as she was, Priscilla Gower was a very charming young person. She talked well, and with much clear, calm sense; she laughed musically when she laughed at all, and could make very telling, caustic speeches when occasion required; but still it was singular what a wide difference the difference of six years made in the two girls.	She was at first even inclined to fear that she would not, being so very handsome, and grave, and womanly. But toward the end of their journeying together, she felt more hopeful. Reticent as she was, Priscilla Gower was a very charming young person. She talked well, and with much clear, calm sense; she laughed musically when she laughed at all, and could make very telling, caustic speeches when occasion required; but still it was singular what a wide difference the difference of six years made in the two girls.	true	763.13	791.74	23.355665
4098_11547_000046_000002	As Lady Throckmorton had said, it was not a matter of age.	As Lady Throckmorton had said, it was not a matter of age.	true	791.96	795.58	21.968039
4098_11547_000046_000003	At twenty-two Theodora North would overflow with youth as joyously as she did now at seventeen; at seventeen Priscilla Gower had assisted her maiden aunt's lodger to copy his manuscript with as mature a gravity as she would have displayed to-day.	At twenty two Theodora North would overflow with youth as joyously as she did now at seventeen; at seventeen Priscilla Gower had assisted her maiden aunt's lodger to copy his manuscript with as mature a gravity as she would have displayed to day.	false	795.68	810.25	23.704771
4098_11547_000047_000000	"I hope," said Theodora, when, after their sight-seeing was over, she stood on the pavement before the door in Broome street, her nice little hand on Denis Oglethorpe's arm, "I hope you will let me come to see you again, Miss Gower."	"I hope," said Theodora, when, after their sight seeing was over, she stood on the pavement before the door in Broome street, her nice little hand on Denis Oglethorpe's arm, "I hope you will let me come to see you again, Miss Gower."	true	810.83	823.39	23.367142
4098_11547_000048_000000	Priscilla, standing upon the door-step, smiled down on her blooming girl's face, a smile that was a little like moonlight.	Priscilla, standing upon the door step, smiled down on her blooming girl's face, a smile that was a little like moonlight.	true	823.79	830.68	22.71213
4098_11547_000048_000001	All Priscilla's smiles were like moonlight.	All Priscilla's smiles were like moonlight.	true	830.87	833.28	23.674025
4098_11547_000048_000002	Theo's had a delicious glow of the sun.	Theo's had a delicious glow of the sun	true	833.28	836.05	18.74156
4098_11547_000049_000000	"Yes," she said, in her practical manner.	"Yes," she said, in her practical manner.	true	836.3	838.995	24.234112
4098_11547_000049_000001	"It will please me very much to see you, Miss Theodora.	"It will please me very much to see you, Miss Theodora.	true	838.995	841.77	20
4098_11547_000049_000002	Come as often as you can spare the time."	Come as often as you can spare the time."	true	841.77	843.97	27.329617
