7867_110742_000000_000000	XI	XI	false	22.62	23.01	-20
7867_110742_000007_000007	Under which Peter Rugg now labours I cannot say; therefore I am rather inclined to pity than to judge." "You speak like a humane man," said I, "and if you have known him so long, I pray you will give me some account of him.	Under which peter Rugg now labours I cannot say; therefore I am rather inclined to pity than to judge." "You speak like a humane man," said I, "and if you have known him so long, I pray you will give me some account of him.	true	474.08	487.87	21.197823
7867_110742_000007_000008	Has his appearance much altered in that time?"	Has his appearance much altered in that time?"	true	487.94	490.44	25.067703
7867_110742_000007_000009	"Why, yes; he looks as though he never ate, drank, or slept; and his child looks older than himself; and he looks like time broke off from eternity and anxious to gain a resting-place." "And how does his horse look?" said I. "As for his horse, he looks fatter and gayer, and shows more animation and courage, than he did twenty years ago.	"Why, yes; he looks as though he never ate, drank, or slept; and his child looks older than himself; and he looks like time broke off from eternity and anxious to gain a resting place." "And how does his horse look?" said i "As for his horse, he looks fatter and gayer, and shows more animation and courage, than he did twenty years ago.	false	490.44	511.035	20.257706
7867_110742_000007_000010	The last time Rugg spoke to me he inquired how far it was to Boston.	The last time Rugg spoke to me he inquired how far it was to Boston.	true	511.035	515.65	18
7867_110742_000007_000011	I told him just one hundred miles.	I told him just one hundred miles.	true	515.87	518.08	19.766552
7867_110742_000007_000012	'Why,' said he, 'how can you deceive me so?	'Why,' said he, 'how can you deceive me so?	false	518.24	520.47	17
7867_110742_000007_000013	It is cruel to deceive a traveller.	It is cruel to deceive a traveller.	true	520.47	522.49	20.001074
7867_110742_000007_000014	I have lost my way.	I have lost my way.	true	522.62	523.83	19.67035
7867_110742_000007_000015	Pray direct me the nearest way to Boston.' I repeated it was one hundred miles.	Pray direct me the nearest way to Boston.' I repeated it was one hundred miles.	true	523.83	528.7	19.138012
7867_110742_000007_000016	'How can you say so?' said he.	'How can you say so?' said he.	false	529.07	530.85	16.091938
7867_110742_000007_000017	'I was told last evening it was but fifty, and I have travelled all night.' 'But,' said I, 'you are now travelling from Boston.	'I was told last evening it was but fifty, and I have travelled all night.' 'But,' said I, 'you are now travelling from Boston.	true	530.85	537.39	15
7867_110742_000007_000018	You must turn back.' 'Alas!' said he, 'it is all turn back! Boston shifts with the wind, and plays all around the compass.	You must turn back.' 'Alas!' said he, 'it is all turn back! Boston shifts with the wind, and plays all around the compass.	true	537.39	546.37	19.445433
7867_110742_000007_000019	One man tells me it is to the east, another to the west; and the guide-posts, too, they all point the wrong way.' 'But will you not stop and rest?' said I; 'you seem wet and weary.' 'Yes,' said he, 'it has been foul weather since I left home.' 'Stop, then, and refresh yourself.' 'I must not stop, I must reach home to-night, if possible, though I think you must be mistaken in the distance to Boston.' He then gave the reins to his horse, which he restrained with difficulty, and disappeared in a moment.	One man tells me it is to the east, another to the west; and the guide posts, too, they all point the wrong way.' 'But will you not stop and rest?' said I; 'you seem wet and weary.' 'Yes,' said he, 'it has been foul weather since I left home.' 'Stop, then, and refresh yourself.' 'I must not stop, I must reach home to night, if possible, though I think you must be mistaken in the distance to Boston.' He then gave the reins to his horse, which he restrained with difficulty, and disappeared in a moment.	false	546.44	576.1	20.825827
7867_110742_000007_000020	A few days afterwards I met the man a little this side of Claremont, winding around the hills in Unity, at the rate, I believe, of twenty miles an hour."	A few days afterwards I met the man a little this side of Claremont, winding around the hills in Unity, at the rate, I believe, of twenty miles an hour."	true	576.38	584.43	17
7867_110742_000008_000000	"Is Peter Rugg his real name, or has he accidentally gained that name?"	"Is peter Rugg his real name, or has he accidentally gained that name?"	false	584.43	589.78	19.983507
7867_110742_000008_000001	"I know not, but presume he will not deny his name; you can ask him, for see, he has turned his horse and is passing this way." In a moment a dark-coloured, high-spirited horse approached, and would have passed without stopping, but I had resolved to speak to Peter Rugg, or whoever the man might be.	"I know not, but presume he will not deny his name; you can ask him, for see, he has turned his horse and is passing this way." In a moment a dark coloured, high spirited horse approached, and would have passed without stopping, but I had resolved to speak to peter Rugg, or whoever the man might be.	false	590.09	608.47	23.483797
7867_110742_000008_000002	Accordingly.	Accordingly.	true	608.78	609.48	38.236015
7867_110742_000008_000003	I stepped into the street, and as the horse approached I made a feint of stopping him.	I stepped into the street, and as the horse approached I made a feint of stopping him.	true	609.48	613.96	26.718649
7867_110742_000008_000004	The man immediately reined in his horse.	The man immediately reined in his horse.	false	614.3	616.33	22.388613
7867_110742_000008_000005	"Sir," said I, "may I be so bold as to inquire if you are not Mr. Rugg? for I think I have seen you before." "My name is Peter Rugg," said he; "I have unfortunately lost my way; I am wet and weary, and will take it kindly of you to direct me to Boston." "You live in Boston, do you, and in what street?"	"Sir," said I, "may I be so bold as to inquire if you are not mr Rugg? for I think I have seen you before." "My name is peter Rugg," said he; "I have unfortunately lost my way; I am wet and weary, and will take it kindly of you to direct me to Boston." "You live in Boston, do you, and in what street?"	false	617.09	637.33	22.487434
7867_110742_000008_000006	"In Middle Street." "When did you leave Boston?"	"In Middle Street." "When did you leave Boston?"	true	637.52	640.72	21.030537
7867_110742_000008_000007	"I cannot tell precisely; it seems a considerable time." "But how did you and your child become so wet?	"I cannot tell precisely; it seems a considerable time." "But how did you and your child become so wet?	true	641.12	647.77	22.030657
7867_110742_000008_000008	it has not rained here to-day." "It has just rained a heavy shower up the river.	it has not rained here to day." "It has just rained a heavy shower up the river.	false	647.81	652.69	27.67617
7867_110742_000008_000009	But I shall not reach Boston to-night if I tarry. Would you advise me to take the old road, or the turnpike?" "Why, the old road is one hundred and seventeen miles, and the turnpike is ninety-seven." "How can you say so?	But I shall not reach Boston to night if I tarry. Would you advise me to take the old road, or the turnpike?" "Why, the old road is one hundred and seventeen miles, and the turnpike is ninety seven." "How can you say so?	false	653.09	666.87	21.226555
7867_110742_000008_000010	you impose on me; it is wrong to trifle with a traveller; you know it is but forty miles from Newburyport to Boston." "But this is not Newburyport; this is Hartford." "Do not deceive me, sir.	you impose on me; it is wrong to trifle with a traveller; you know it is but forty miles from Newburyport to Boston." "But this is not Newburyport; this is Hartford." "Do not deceive me, sir.	true	666.87	679.3	19.281305
7867_110742_000008_000011	Is not this town Newburyport, and the river that I have been following the Merrimac?" "No, sir; this is Hartford, and the river the Connecticut." He wrung his hands and looked incredulous.	Is not this town Newburyport, and the river that I have been following the Merrimac?" "No, sir; this is Hartford, and the river the Connecticut." He wrung his hands and looked incredulous.	true	679.64	690.76	21.422379
7867_110742_000008_000012	"Have the rivers, too, changed their courses as the cities have changed places?	"Have the rivers, too, changed their courses as the cities have changed places?	true	691.34	696.27	21
7867_110742_000008_000013	But see, the clouds are gathering in the south, and we shall have a rainy night.	But see, the clouds are gathering in the south, and we shall have a rainy night.	false	696.27	702.33	23.562292
7867_110742_000008_000014	Ah, that fatal oath!" He would tarry no longer.	Ah, that fatal oath!" He would tarry no longer.	false	702.33	706.12	20.687162
7867_110742_000008_000015	His impatient horse leaped off, his hind flanks rising like wings--he seemed to devour all before him and to scorn all behind.	His impatient horse leaped off, his hind flanks rising like wings-he seemed to devour all before him and to scorn all behind.	true	706.16	714.16	20.128933
7867_110742_000009_000000	I had now, as I thought, discovered a clue to the history of Peter Rugg, and I determined, the next time my business called me to Boston, to make a further inquiry.	I had now, as I thought, discovered a clue to the history of peter Rugg, and I determined, the next time my business called me to Boston, to make a further inquiry.	true	714.98	723.73	17
7867_110742_000009_000001	Soon after I was enabled to collect the following particulars from Mrs. Croft, an aged lady in Middle Street, who has resided in Boston during the last twenty years.	Soon after I was enabled to collect the following particulars from mrs Croft, an aged lady in Middle Street, who has resided in Boston during the last twenty years.	true	724.19	733.75	21
7867_110742_000009_000002	Her narration is this: The last summer a person, just at twilight, stopped at the door of the late Mrs. Rugg.	Her narration is this: The last summer a person, just at twilight, stopped at the door of the late mrs Rugg.	true	734.12	741.885	23.700575
7867_110742_000009_000003	Mrs. Croft, on coming to the door, perceived a stranger, with a child by his side, in an old, weather-beaten carriage, with a black horse.	mrs Croft, on coming to the door, perceived a stranger, with a child by his side, in an old, weather beaten carriage, with a black horse.	true	741.885	749.47	24
7867_110742_000009_000004	The stranger asked for Mrs. Rugg, and was informed that Mrs. Rugg had died, at a good old age, more than twenty years before that time.	The stranger asked for mrs Rugg, and was informed that mrs Rugg had died, at a good old age, more than twenty years before that time.	true	749.9	758.23	23.300755
7867_110742_000009_000005	The stranger replied, "How can you deceive me so?	The stranger replied, "How can you deceive me so?	true	758.66	762.16	24.784698
7867_110742_000009_000006	do ask Mrs. Rugg to step to the door." "Sir, I assure you Mrs. Rugg has not lived here these nineteen years; no one lives here but myself, and my name is Betsey Croft." The stranger paused, and looked up and down the street and said, "Though the painting is rather faded, this looks like my house." "Yes," said the child, "that is the stone before the door that I used to sit on to eat my bread and milk." "But," said the stranger, "it seems to be on the wrong side of the street.	do ask mrs Rugg to step to the door." "Sir, I assure you mrs Rugg has not lived here these nineteen years; no one lives here but myself, and my name is Betsey Croft." The stranger paused, and looked up and down the street and said, "Though the painting is rather faded, this looks like my house." "Yes," said the child, "that is the stone before the door that I used to sit on to eat my bread and milk." "But," said the stranger, "it seems to be on the wrong side of the street.	true	762.35	795.82	23.80983
7867_110742_000009_000007	Indeed, everything here seems to be misplaced.	Indeed, everything here seems to be misplaced.	true	796.13	799.68	21
7867_110742_000009_000008	The streets are all changed, the people are all changed, the town seems changed, and, what is strangest of all, Catharine Rugg has deserted her husband and child." "Pray," said the stranger, "has John Foy come home from sea?	The streets are all changed, the people are all changed, the town seems changed, and, what is strangest of all, Catharine Rugg has deserted her husband and child." "Pray," said the stranger, "has john Foy come home from sea?	false	799.68	815.29	21.519058
7867_110742_000009_000009	He went a long voyage; he is my kinsman. If I could see him, he could give me some account of Mrs. Rugg." "Sir," said Mrs. Croft, "I never heard of John Foy.	He went a long voyage; he is my kinsman. If I could see him, he could give me some account of mrs Rugg." "Sir," said mrs Croft, "I never heard of john Foy.	true	815.54	825.1	21.826143
7867_110742_000009_000010	Where did he live?" "Just above here, in Orange-Tree Lane." "There is no such place in this neighbourhood." "What do you tell me!	Where did he live?" "Just above here, in Orange Tree Lane." "There is no such place in this neighbourhood." "What do you tell me!	true	825.14	833.88	23.083504
7867_110742_000009_000011	Are the streets gone? Orange-Tree Lane is at the head of Hanover Street, near Pemberton's Hill." "There is no such lane now." "Madam! you cannot be serious.	Are the streets gone? Orange Tree Lane is at the head of Hanover Street, near Pemberton's Hill." "There is no such lane now." "Madam! you cannot be serious.	true	833.88	845.17	25.18754
7867_110742_000009_000012	But you doubtless know my brother, William Rugg.	But you doubtless know my brother, William Rugg.	true	845.6	848.41	22.812817
7867_110742_000009_000013	He lives in Royal Exchange Lane, near King Street."	He lives in Royal Exchange Lane, near King Street."	true	848.54	851.53	25.189442
7867_110742_000009_000014	"I know of no such lane; and I I am sure there is no such street as King Street in this town." "No such street as King Street?	"I know of no such lane; and I I am sure there is no such street as King Street in this town." "No such street as King Street?	false	851.81	860.56	22.645454
7867_110742_000009_000015	Why, woman! you mock me.	Why, woman! you mock me.	true	860.57	862.6	18.34935
7867_110742_000009_000016	You may as well tell me there is no King George.	You may as well tell me there is no King George.	true	862.61	865.06	23.756166
7867_110742_000009_000017	However, madam, you see I am wet and weary.	However, madam, you see I am wet and weary.	true	865.4	867.84	18
7867_110742_000009_000018	I must find a resting place.	I must find a resting place.	true	867.84	869.38	20
7867_110742_000009_000019	I will go to Hart's tavern, near the market." "Which market, sir? for you seem perplexed; we have several markets." "You know there is but one market, near the town dock." "Oh, the old market.	I will go to Hart's tavern, near the market." "Which market, sir? for you seem perplexed; we have several markets." "You know there is but one market, near the town dock." "Oh, the old market.	false	869.6	882.58	26.758944
7867_110742_000009_000020	But no such man as Hart has kept there these twenty years."	But no such man as Hart has kept there these twenty years."	true	882.89	886.72	23.341822
7867_110742_000010_000000	Here the stranger seemed disconcerted, and muttered to himself quite audibly: "Strange mistake!	Here the stranger seemed disconcerted, and muttered to himself quite audibly: "Strange mistake!	true	887.87	895.33	24.526533
7867_110742_000010_000001	How much this looks like the town of Boston!	How much this looks like the town of Boston!	true	895.64	897.99	27.62931
7867_110742_000010_000002	It certainly has a great resemblance to it; but I perceive my mistake now.	It certainly has a great resemblance to it; but I perceive my mistake now.	false	897.99	902.77	21.049156
7867_110742_000010_000003	Some other Mrs. Rugg, some other Middle Street." Then said he, "Madam, can you direct me to Boston?" "Why, this is Boston, the city of Boston.	Some other mrs Rugg, some other Middle Street." Then said he, "Madam, can you direct me to Boston?" "Why, this is Boston, the city of Boston.	false	902.99	913.65	24.614264
7867_110742_000010_000004	I know of no other Boston." "City of Boston it may be, but it is not the Boston where I live.	I know of no other Boston." "City of Boston it may be, but it is not the Boston where I live.	true	913.65	919.455	24.177887
7867_110742_000010_000005	I recollect now, I came over a bridge instead of a ferry.	I recollect now, I came over a bridge instead of a ferry.	true	919.455	922.96	21.301962
7867_110742_000010_000006	Pray what bridge is that I just came over?" "It is Charles River Bridge." "I perceive my mistake; there is a ferry between Boston and Charlestown, there is no bridge.	Pray what bridge is that I just came over?" "It is Charles River Bridge." "I perceive my mistake; there is a ferry between Boston and Charlestown, there is no bridge.	false	923.03	933.39	20.60796
7867_110742_000010_000007	Ah, I perceive my mistake.	Ah, I perceive my mistake.	false	933.39	936.015	16
7867_110742_000010_000008	If I was in Boston, my horse would carry me directly to my own door.	If I was in Boston, my horse would carry me directly to my own door.	true	936.015	939.97	12
7867_110742_000010_000009	But my horse shows by his impatience that he is in a strange place.	But my horse shows by his impatience that he is in a strange place.	true	940.1	943.99	10
7867_110742_000010_000010	Absurd, that I should have mistaken this place for the old town of Boston!	Absurd, that I should have mistaken this place for the old town of Boston!	true	944.45	948.64	18
7867_110742_000010_000011	It is a much finer city than the town of Boston.	It is a much finer city than the town of Boston.	true	948.98	951.765	23
7867_110742_000010_000012	It has been built long since Boston.	It has been built long since Boston.	true	951.765	954	18
7867_110742_000010_000013	I fancy Boston must lie at a distance from this city, as the good woman seems ignorant of it." At these words his horse began to chafe, and strike the pavement with his fore feet; the stranger seemed a little bewildered, and said "No home to-night," and, giving the reins to his horse, passed up the street, and I saw no more of him.	I fancy Boston must lie at a distance from this city, as the good woman seems ignorant of it." At these words his horse began to chafe, and strike the pavement with his fore feet; the stranger seemed a little bewildered, and said "No home to night," and, giving the reins to his horse, passed up the street, and I saw no more of him.	false	954	975.28	21.438833
7867_110742_000011_000000	It was evident that the generation to which Peter Rugg belonged had passed away.	It was evident that the generation to which peter Rugg belonged had passed away.	true	976.01	980.02	20.909393
7867_110742_000012_000000	This was all the account of Peter Rugg I could obtain from Mrs. Croft; but she directed me to an elderly man, Mr. James Felt, who lived near her, and who had kept a record of the principal occurrences for the last fifty years.	This was all the account of peter Rugg I could obtain from mrs Croft; but she directed me to an elderly man, mr james Felt, who lived near her, and who had kept a record of the principal occurrences for the last fifty years.	true	980.36	992.44	23
7867_110742_000012_000001	At my request she sent for him; and, after I had related to him the object of my inquiry, Mr. Felt told me he had known Rugg in his youth; that his disappearance had caused some surprise; but as it sometimes happens that men run away, sometimes to be rid of others, and sometimes to be rid of themselves; and as Rugg took his child with him, and his own horse and chair; and as it did not appear that any creditors made a stir, the occurrence soon mingled itself in the stream of oblivion; and Rugg and his child, horse and chair, were soon forgotten.	At my request she sent for him; and, after I had related to him the object of my inquiry, mr Felt told me he had known Rugg in his youth; that his disappearance had caused some surprise; but as it sometimes happens that men run away, sometimes to be rid of others, and sometimes to be rid of themselves; and as Rugg took his child with him, and his own horse and chair; and as it did not appear that any creditors made a stir, the occurrence soon mingled itself in the stream of oblivion; and Rugg and his child, horse and chair, were soon forgotten.	true	992.63	1025.22	24.185692
7867_110742_000012_000002	"It is true," said Mr. Felt, "sundry stories grew out of Rugg's affair, whether true or false I cannot tell; but stranger things have happened in my day, without even a newspaper notice." "Sir," said I, "Peter Rugg is now living.	"It is true," said mr Felt, "sundry stories grew out of Rugg's affair, whether true or false I cannot tell; but stranger things have happened in my day, without even a newspaper notice." "Sir," said I, "peter Rugg is now living.	false	1025.22	1041.76	21.91998
