2592_166433_000001_000000	CHAPTER XIV.	CHAPTER fourteen.
2592_166433_000017_000001	"I learned that at the front where we got so we'd yelp for food even when the lads who'd been bringing it were all mixed up in it."	"I learned that at the front where we got so we'd yelp for food even when the lads who'd been bringing it were all mixed up in it."
2592_166433_000018_000000	She lifted Ventnor's head from her lap, rested it on the silks; arose, eyes wrathful, her little hands closed in fists as though to strike him.	She lifted Ventnor's head from her lap, rested it on the silks; arose, eyes wrathful, her little hands closed in fists as though to strike him.
2592_166433_000019_000000	"Oh--you brute!" she whispered.	"Oh-you brute!" she whispered.
2592_166433_000020_000000	"That's better," said Dick.	"That's better," said Dick.
2592_166433_000020_000001	"Go ahead and hit me if you want.	"Go ahead and hit me if you want.
2592_166433_000020_000002	The madder you get the better you'll feel."	The madder you get the better you'll feel."
2592_166433_000022_000000	"Thanks--Dick," she said quietly.	"Thanks-Dick," she said quietly.
2592_166433_000023_000000	And while I sat studying Ventnor, they put together a meal from the stores, brewed tea over the spirit-lamp with water from the bubbling spring.	And while I sat studying Ventnor, they put together a meal from the stores, brewed tea over the spirit lamp with water from the bubbling spring.
2592_166433_000023_000001	In these commonplaces I knew that she at least was finding relief from that strain of the abnormal under which we had labored so long.	In these commonplaces I knew that she at least was finding relief from that strain of the abnormal under which we had labored so long.
2592_166433_000023_000002	To my surprise I found that I was hungry, and with deep relief I watched Ruth partake of food and drink even though lightly.	To my surprise I found that I was hungry, and with deep relief I watched ruth partake of food and drink even though lightly.
2592_166433_000024_000000	About her seemed to hover something of the ethereal, elusive, and disquieting.	About her seemed to hover something of the ethereal, elusive, and disquieting.
2592_166433_000024_000001	Was it the strangely pellucid light that gave the effect, I wondered; and knew it was not, for as I scanned her covertly, there fell upon her face that shadow of inhuman tranquillity, of unearthly withdrawal which, I guessed, had more than anything else maddened Ventnor into his attack upon the Disk.	Was it the strangely pellucid light that gave the effect, I wondered; and knew it was not, for as I scanned her covertly, there fell upon her face that shadow of inhuman tranquillity, of unearthly withdrawal which, I guessed, had more than anything else maddened Ventnor into his attack upon the Disk.
2592_166433_000025_000000	I watched her fight against it, drive it back.	I watched her fight against it, drive it back.
2592_166433_000025_000002	And in her eyes I read both terror and--shame.	And in her eyes I read both terror and-shame.
2592_166433_000026_000000	It came to me that painful as it might be for her the time for questioning had come.	It came to me that painful as it might be for her the time for questioning had come.
2592_166433_000027_000000	"Ruth," I said, "I know it's not necessary to remind you that we're in a tight place.	"ruth," I said, "I know it's not necessary to remind you that we're in a tight place.
2592_166433_000027_000001	Every fact and every scrap of knowledge that we can lay hold of is of the utmost importance in enabling us to determine our course.	Every fact and every scrap of knowledge that we can lay hold of is of the utmost importance in enabling us to determine our course.
2592_166433_000028_000000	"I'm going to repeat your brother's question--what did Norhala do to you?	"I'm going to repeat your brother's question-what did Norhala do to you?
2592_166433_000028_000001	And what happened when you were floating before the Disk?"	And what happened when you were floating before the Disk?"
2592_166433_000029_000000	The blaze of interest in Drake's eyes at these questions changed to amazement at her stricken recoil from them.	The blaze of interest in Drake's eyes at these questions changed to amazement at her stricken recoil from them.
2592_166433_000030_000000	"There was nothing," she whispered--then defiantly--"nothing.	"There was nothing," she whispered-then defiantly-"nothing.
2592_166433_000030_000001	I don't know what you mean."	I don't know what you mean."
2592_166433_000031_000000	"Ruth!" I spoke sharply now, in my own perplexity.	"ruth!" I spoke sharply now, in my own perplexity.
2592_166433_000031_000001	"You do know.	"You do know.
2592_166433_000031_000002	You must tell us--for his sake." I pointed toward Ventnor.	You must tell us-for his sake." I pointed toward Ventnor.
2592_166433_000032_000000	She drew a long breath.	She drew a long breath.
2592_166433_000033_000000	"You're right--of course," she said unsteadily.	"You're right-of course," she said unsteadily.
2592_166433_000033_000001	"Only I--I thought maybe I could fight it out myself.	"Only I-I thought maybe I could fight it out myself.
2592_166433_000033_000002	But you'll have to know it--there's a taint upon me."	But you'll have to know it-there's a taint upon me."
2592_166433_000034_000000	I caught in Drake's swift glance the echo of my own thrill of apprehension for her sanity.	I caught in Drake's swift glance the echo of my own thrill of apprehension for her sanity.
2592_166433_000035_000000	"Yes," she said, now quietly.	"Yes," she said, now quietly.
2592_166433_000035_000001	"Some new and alien thing within my heart, my brain, my soul.	"Some new and alien thing within my heart, my brain, my soul.
2592_166433_000035_000002	It came to me from Norhala when we rode the flying block, and--he--sealed upon me when I was in--his"--again she crimsoned, "embrace."	It came to me from Norhala when we rode the flying block, and-he-sealed upon me when I was in-his"--again she crimsoned, "embrace."
2592_166433_000037_000000	"A thing that urges me to forget you two--and Martin--and all the world I've known.	"A thing that urges me to forget you two-and Martin-and all the world I've known.
2592_166433_000038_000000	"It whispered to me first," she said, "from Norhala--when she put her arm around me.	"It whispered to me first," she said, "from Norhala-when she put her arm around me.
2592_166433_000038_000001	It whispered and then seemed to float from her and cover me like--like a veil, and from head to foot.	It whispered and then seemed to float from her and cover me like-like a veil, and from head to foot.
2592_166433_000038_000002	It was a quietness and peace that held within it a happiness at one and the same time utterly tranquil and utterly free.	It was a quietness and peace that held within it a happiness at one and the same time utterly tranquil and utterly free.
2592_166433_000039_000000	"I seemed to be at the doorway to unknown ecstasies--and the life I had known only a dream--and you, all of you--even Martin, dreams within a dream.	"I seemed to be at the doorway to unknown ecstasies-and the life I had known only a dream-and you, all of you-even Martin, dreams within a dream.
2592_166433_000039_000001	You weren't--real--and you did not--matter."	You weren't-real-and you did not-matter."
2592_166433_000040_000000	"Hypnotism," muttered Drake, as she paused.	"Hypnotism," muttered Drake, as she paused.
2592_166433_000041_000000	"No." She shook her head.	"no" She shook her head.
2592_166433_000041_000001	"No--more than that.	"No-more than that.
2592_166433_000041_000002	The wonder of it grew--and grew.	The wonder of it grew-and grew.
2592_166433_000041_000003	I thrilled with it.	I thrilled with it.
2592_166433_000041_000004	I remember nothing of that ride, saw nothing--except that once through the peace enfolding me pierced warning that Martin was in peril, and I broke through to see him clutching Norhala and to see floating up in her eyes death for him.	I remember nothing of that ride, saw nothing-except that once through the peace enfolding me pierced warning that Martin was in peril, and I broke through to see him clutching Norhala and to see floating up in her eyes death for him.
2592_166433_000042_000000	"And I saved him--and again forgot.	"And I saved him-and again forgot.
2592_166433_000042_000001	Then, when I saw that beautiful, flaming Shape--I felt no terror, no fear--only a tremendous--joyous--anticipation, as though--as though--" She faltered, hung her head, then leaving that sentence unfinished, whispered: "and when--it--lifted me it was as though I had come at last out of some endless black ocean of despair into the full sun of paradise."	Then, when I saw that beautiful, flaming Shape-I felt no terror, no fear-only a tremendous-joyous-anticipation, as though-as though-" She faltered, hung her head, then leaving that sentence unfinished, whispered: "and when-it-lifted me it was as though I had come at last out of some endless black ocean of despair into the full sun of paradise."
2592_166433_000043_000000	"Ruth!" cried Drake, and at the pain in his cry she winced.	"ruth!" cried Drake, and at the pain in his cry she winced.
2592_166433_000044_000000	"Wait," she said, and held up a little, tremulous hand.	"Wait," she said, and held up a little, tremulous hand.
2592_166433_000044_000001	"You asked--and now you must listen."	"You asked-and now you must listen."
2592_166433_000045_000000	She was silent; and when once more she spoke her voice was low, curiously rhythmic; her eyes rapt:	She was silent; and when once more she spoke her voice was low, curiously rhythmic; her eyes rapt:
2592_166433_000046_000000	"I was free--free from every human fetter of fear or sorrow or love or hate; free even of hope--for what was there to hope for when everything desirable was mine?	"I was free-free from every human fetter of fear or sorrow or love or hate; free even of hope-for what was there to hope for when everything desirable was mine?
2592_166433_000046_000001	And I was elemental; one with the eternal things yet fully conscious that I was--I.	And I was elemental; one with the eternal things yet fully conscious that I was-I.
2592_166433_000047_000000	"It was as though I were the shining shadow of a star afloat upon the breast of some still and hidden woodland pool; as though I were a little wind dancing among the mountain tops; a mist whirling down a quiet glen; a shimmering lance of the aurora pulsing in the high solitudes.	"It was as though I were the shining shadow of a star afloat upon the breast of some still and hidden woodland pool; as though I were a little wind dancing among the mountain tops; a mist whirling down a quiet glen; a shimmering lance of the aurora pulsing in the high solitudes.
2592_166433_000048_000000	"And there was music--strange and wondrous music and terrible, but not terrible to me--who was part of it.	"And there was music-strange and wondrous music and terrible, but not terrible to me-who was part of it.
2592_166433_000048_000001	Vast chords and singing themes that rang like clusters of little swinging stars and harmonies that were like the very voice of infinite law resolving within itself all discords.	Vast chords and singing themes that rang like clusters of little swinging stars and harmonies that were like the very voice of infinite law resolving within itself all discords.
2592_166433_000049_000000	"Out of the Thing that held me, out from its fires pulsed vitality--a flood of inhuman energy in which I was bathed.	"Out of the Thing that held me, out from its fires pulsed vitality-a flood of inhuman energy in which I was bathed.
2592_166433_000049_000001	And it was as though this energy were--reassembling me, fitting me even closer to the elemental things, changing me fully into them.	And it was as though this energy were-reassembling me, fitting me even closer to the elemental things, changing me fully into them.
2592_166433_000050_000001	I saw Martin--blasted.	I saw Martin-blasted.
2592_166433_000051_000000	"And, O Walter--Dick--it hurt--it hurt--and for a breath before I ran to him it was like--like coming from a world in which there was no disorder, no sorrow, no doubts, a rhythmic, harmonious world of light and music, into--into a world that was like a black and dirty kitchen.	"And, O Walter-Dick-it hurt-it hurt-and for a breath before I ran to him it was like-like coming from a world in which there was no disorder, no sorrow, no doubts, a rhythmic, harmonious world of light and music, into-into a world that was like a black and dirty kitchen.
2592_166433_000052_000000	"And it's there," her voice rose, hysterically.	"And it's there," her voice rose, hysterically.
2592_166433_000052_000001	"It's still within me--whispering, whispering; urging me away from you, from Martin, from every human thing; bidding me give myself up, surrender my humanity.	"It's still within me-whispering, whispering; urging me away from you, from Martin, from every human thing; bidding me give myself up, surrender my humanity.
2592_166433_000053_000001	"No--HIS seal!	"No-HIS seal!
2592_166433_000053_000002	An alien consciousness sealed within me, that tries to make the human me a slave--that waits to overcome my will--and if I surrender gives me freedom, an incredible freedom--but makes me, being still human, a--monster."	An alien consciousness sealed within me, that tries to make the human me a slave-that waits to overcome my will-and if I surrender gives me freedom, an incredible freedom-but makes me, being still human, a-monster."
2592_166433_000054_000000	She hid her face in her hands, quivering.	She hid her face in her hands, quivering.
2592_166433_000055_000000	"If I could sleep," she wailed.	"If I could sleep," she wailed.
2592_166433_000055_000001	"But I'm afraid to sleep.	"But I'm afraid to sleep.
2592_166433_000055_000002	I think I shall never sleep again.	I think I shall never sleep again.
2592_166433_000055_000003	For sleeping how do I know what I may be when I wake?"	For sleeping how do I know what I may be when I wake?"
2592_166433_000056_000000	I caught Drake's eye; he nodded.	I caught Drake's eye; he nodded.
2592_166433_000056_000001	I slipped my hand down into the medicine-case, brought forth a certain potent and tasteless combination of drugs which I carry upon explorations.	I slipped my hand down into the medicine case, brought forth a certain potent and tasteless combination of drugs which I carry upon explorations.
2592_166433_000057_000000	I dropped a little into her cup, then held it to her lips.	I dropped a little into her cup, then held it to her lips.
2592_166433_000057_000001	Like a child, unthinking, she obeyed and drank.	Like a child, unthinking, she obeyed and drank.
2592_166433_000058_000000	"But I'll not surrender." Her eyes were tragic.	"But I'll not surrender." Her eyes were tragic.
2592_166433_000058_000001	"Never think it!	"Never think it!
2592_166433_000058_000002	I can win--don't you know I can?"	I can win-don't you know I can?"
2592_166433_000059_000000	"Win?" Drake dropped down beside her, drew her toward him.	"Win?" Drake dropped down beside her, drew her toward him.
2592_166433_000059_000002	And remember this--nine-tenths of what you're thinking now is purely over-wrought nerves and weariness.	And remember this-nine tenths of what you're thinking now is purely over wrought nerves and weariness.
2592_166433_000059_000003	You'll win--and we'll win, never doubt it."	You'll win-and we'll win, never doubt it."
2592_166433_000060_000000	"I don't," she said.	"I don't," she said.
2592_166433_000060_000001	"I know it--oh, it will be hard--but I will--I will--"	"I know it-oh, it will be hard-but I will-I will-"
