203_132069_000002_000000	THE PENDULUM	THE PENDULUM
203_132069_000022_000002	But no primrose way nor clicking cue could woo the remorseful soul of Perkins the bereft.	But no primrose way nor clicking cue could woo the remorseful soul of Perkins the bereft.
203_132069_000022_000003	The thing that was his, lightly held and half scorned, had been taken away from him, and he wanted it.	The thing that was his, lightly held and half scorned, had been taken away from him, and he wanted it.
203_132069_000023_000000	Near the right hand of John Perkins stood a chair.	Near the right hand of john Perkins stood a chair.
203_132069_000023_000001	On the back of it stood Katy's blue shirtwaist.	On the back of it stood Katy's blue shirtwaist.
203_132069_000023_000002	It still retained something of her contour.	It still retained something of her contour.
203_132069_000023_000003	Midway of the sleeves were fine, individual wrinkles made by the movements of her arms in working for his comfort and pleasure.	Midway of the sleeves were fine, individual wrinkles made by the movements of her arms in working for his comfort and pleasure.
203_132069_000023_000004	A delicate but impelling odor of bluebells came from it.	A delicate but impelling odor of bluebells came from it.
203_132069_000023_000005	John took it and looked long and soberly at the unresponsive grenadine.	john took it and looked long and soberly at the unresponsive grenadine.
203_132069_000023_000007	Tears:--yes, tears--came into John Perkins's eyes.	Tears:--yes, tears-came into john Perkins's eyes.
203_132069_000023_000009	He would make up for all his neglect.	He would make up for all his neglect.
203_132069_000023_000010	What was life without her?	What was life without her?
203_132069_000024_000000	The door opened.	The door opened.
203_132069_000024_000001	Katy walked in carrying a little hand satchel.	Katy walked in carrying a little hand satchel.
203_132069_000024_000002	John stared at her stupidly.	john stared at her stupidly.
203_132069_000025_000000	"My! I'm glad to get back," said Katy.	"My! I'm glad to get back," said Katy.
203_132069_000025_000001	"Ma wasn't sick to amount to anything.	"Ma wasn't sick to amount to anything.
203_132069_000025_000003	So I took the next train back.	So I took the next train back.
203_132069_000025_000004	I'm just dying for a cup of coffee."	I'm just dying for a cup of coffee."
203_132069_000026_000000	Nobody heard the click and rattle of the cog-wheels as the third-floor front of the Frogmore flats buzzed its machinery back into the Order of Things.	Nobody heard the click and rattle of the cog wheels as the third floor front of the Frogmore flats buzzed its machinery back into the Order of Things.
203_132069_000026_000001	A band slipped, a spring was touched, the gear was adjusted and the wheels revolve in their old orbit.	A band slipped, a spring was touched, the gear was adjusted and the wheels revolve in their old orbit.
203_132069_000027_000000	John Perkins looked at the clock.	john Perkins looked at the clock.
203_132069_000027_000002	He reached for his hat and walked to the door.	He reached for his hat and walked to the door.
203_132069_000028_000000	"Now, where are you going, I'd like to know, John Perkins?" asked Katy, in a querulous tone.	"Now, where are you going, I'd like to know, john Perkins?" asked Katy, in a querulous tone.
