203_132069_000000_000000	In some dungeon below the accurate ear of Mrs. Pickens, the landlady, located the smash.	In some dungeon below the accurate ear of mrs Pickens, the landlady, located the smash.	false	0	5.04	24.904333
203_132069_000006_000004	Exactly at eight Hickey & Mooney, of the vaudeville team (unbooked) in the flat across the hall, would yield to the gentle influence of delirium tremens and begin to overturn chairs under the delusion that Hammerstein was pursuing them with a five-hundred-dollar-a-week contract.	Exactly at eight Hickey and Mooney, of the vaudeville team (unbooked) in the flat across the hall, would yield to the gentle influence of delirium tremens and begin to overturn chairs under the delusion that Hammerstein was pursuing them with a five hundred dollar a week contract.	true	134.81	153.13	23.046772
203_132069_000006_000005	Then the gent at the window across the air-shaft would get out his flute; the nightly gas leak would steal forth to frolic in the highways; the dumbwaiter would slip off its trolley; the janitor would drive Mrs. Zanowitski's five children once more across the Yalu, the lady with the champagne shoes and the Skye terrier would trip downstairs and paste her Thursday name over her bell and letter-box--and the evening routine of the Frogmore flats would be under way.	Then the gent at the window across the air shaft would get out his flute; the nightly gas leak would steal forth to frolic in the highways; the dumbwaiter would slip off its trolley; the janitor would drive mrs Zanowitski's five children once more across the Yalu, the lady with the champagne shoes and the Skye terrier would trip downstairs and paste her Thursday name over her bell and letter box-and the evening routine of the Frogmore flats would be under way.	false	154.22	183.76	23.278124
203_132069_000007_000000	John Perkins knew these things would happen.	john Perkins knew these things would happen.	true	185.09	187.45	19.735027
203_132069_000007_000001	And he knew that at a quarter past eight he would summon his nerve and reach for his hat, and that his wife would deliver this speech in a querulous tone:	And he knew that at a quarter past eight he would summon his nerve and reach for his hat, and that his wife would deliver this speech in a querulous tone:	true	187.76	197.14	21.909761
203_132069_000008_000000	"Now, where are you going, I'd like to know, John Perkins?"	"Now, where are you going, I'd like to know, john Perkins?"	true	198.35	201.64	21.57907
203_132069_000009_000000	"Thought I'd drop up to McCloskey's," he would answer, "and play a game or two of pool with the fellows."	"Thought I'd drop up to McCloskey's," he would answer, "and play a game or two of pool with the fellows."	false	202.55	208.24	22.96919
203_132069_000010_000000	Of late such had been John Perkins's habit.	Of late such had been john Perkins's habit.	true	210.02	213.19	24.912651
203_132069_000010_000001	At ten or eleven he would return.	At ten or eleven he would return.	true	213.62	215.92	21.000462
203_132069_000010_000002	Sometimes Katy would be asleep; sometimes waiting up, ready to melt in the crucible of her ire a little more gold plating from the wrought steel chains of matrimony.	Sometimes Katy would be asleep; sometimes waiting up, ready to melt in the crucible of her ire a little more gold plating from the wrought steel chains of matrimony.	true	216.23	226.69	24.883387
203_132069_000010_000003	For these things Cupid will have to answer when he stands at the bar of justice with his victims from the Frogmore flats.	For these things Cupid will have to answer when he stands at the bar of justice with his victims from the Frogmore flats.	true	227.18	234.31	23.628721
203_132069_000011_000000	To-night John Perkins encountered a tremendous upheaval of the commonplace when he reached his door.	To night john Perkins encountered a tremendous upheaval of the commonplace when he reached his door.	true	236.12	241.99	23.730736
203_132069_000011_000001	No Katy was there with her affectionate, confectionate kiss.	No Katy was there with her affectionate, confectionate kiss.	true	242.57	246.61	24.501743
203_132069_000011_000002	The three rooms seemed in portentous disorder.	The three rooms seemed in portentous disorder.	true	246.68	249.64	21.443287
203_132069_000011_000003	All about lay her things in confusion.	All about lay her things in confusion.	true	250.13	252.73	23.088339
203_132069_000011_000004	Shoes in the middle of the floor, curling tongs, hair bows, kimonos, powder box, jumbled together on dresser and chairs--this was not Katy's way.	Shoes in the middle of the floor, curling tongs, hair bows, kimonos, powder box, jumbled together on dresser and chairs-this was not Katy's way.	true	253.04	264.07	22.89553
203_132069_000011_000005	With a sinking heart John saw the comb with a curling cloud of her brown hair among its teeth.	With a sinking heart john saw the comb with a curling cloud of her brown hair among its teeth.	true	264.65	270.79	23.966803
203_132069_000011_000006	Some unusual hurry and perturbation must have possessed her, for she always carefully placed these combings in the little blue vase on the mantel to be some day formed into the coveted feminine "rat."	Some unusual hurry and perturbation must have possessed her, for she always carefully placed these combings in the little blue vase on the mantel to be some day formed into the coveted feminine "rat."	false	270.83	282.7	21.121906
203_132069_000012_000000	Hanging conspicuously to the gas jet by a string was a folded paper. John seized it.	Hanging conspicuously to the gas jet by a string was a folded paper. john seized it.	true	284.48	291.19	25.961794
203_132069_000012_000001	It was a note from his wife running thus:	It was a note from his wife running thus:	true	291.41	294.4	24.252386
203_132069_000013_000000	Dear John: I just had a telegram saying mother is very sick. I am going to take the 4.30 train.	Dear john: I just had a telegram saying mother is very sick. I am going to take the four point three zero train.	false	295.19	302.65	24.22648
203_132069_000013_000001	Brother Sam is going to meet me at the depot there.	Brother Sam is going to meet me at the depot there.	true	302.87	305.62	21.94294
203_132069_000013_000002	There is cold mutton in the ice box.	There is cold mutton in the ice box.	true	306.08	308.35	26.020935
203_132069_000013_000003	I hope it isn't her quinzy again.	I hope it isn't her quinzy again.	false	309.2	311.32	21.285128
203_132069_000013_000004	Pay the milkman 50 cents.	Pay the milkman fifty cents.	true	311.45	313.54	26.533234
203_132069_000013_000005	She had it bad last spring.	She had it bad last spring.	true	314.09	316.24	21.842829
203_132069_000013_000006	Don't forget to write to the company about the gas meter, and your good socks are in the top drawer. I will write to-morrow.	Don't forget to write to the company about the gas meter, and your good socks are in the top drawer. I will write to morrow.	true	316.37	323.625	25.63548
203_132069_000014_000000	Hastily, KATY.	Hastily, KATY.	true	323.625	325.33	33.00669
203_132069_000015_000000	Never during their two years of matrimony had he and Katy been separated for a night.	Never during their two years of matrimony had he and Katy been separated for a night.	true	328.04	333.37	22.128195
203_132069_000015_000001	John read the note over and over in a dumbfounded way.	john read the note over and over in a dumbfounded way.	true	333.74	337.21	20
203_132069_000015_000002	Here was a break in a routine that had never varied, and it left him dazed.	Here was a break in a routine that had never varied, and it left him dazed.	false	338	342.28	24.770325
203_132069_000016_000000	There on the back of a chair hung, pathetically empty and formless, the red wrapper with black dots that she always wore while getting the meals.	There on the back of a chair hung, pathetically empty and formless, the red wrapper with black dots that she always wore while getting the meals.	true	343.19	351.82	23.607271
203_132069_000016_000001	Her week-day clothes had been tossed here and there in her haste.	Her week day clothes had been tossed here and there in her haste.	true	352.31	355.75	20.283197
203_132069_000016_000002	A little paper bag of her favorite butter-scotch lay with its string yet unwound.	A little paper bag of her favorite butter scotch lay with its string yet unwound.	true	356.15	361.24	23.948355
203_132069_000016_000003	A daily paper sprawled on the floor, gaping rectangularly where a railroad time-table had been clipped from it. Everything in the room spoke of a loss, of an essence gone, of its soul and life departed.	A daily paper sprawled on the floor, gaping rectangularly where a railroad time table had been clipped from it. Everything in the room spoke of a loss, of an essence gone, of its soul and life departed.	true	361.64	375.46	23.231808
203_132069_000016_000004	John Perkins stood among the dead remains with a queer feeling of desolation in his heart.	john Perkins stood among the dead remains with a queer feeling of desolation in his heart.	false	375.83	381.31	22.158869
203_132069_000017_000000	He began to set the rooms tidy as well as he could.	He began to set the rooms tidy as well as he could.	false	383.21	386.38	22.330717
203_132069_000017_000001	When he touched her clothes a thrill of something like terror went through him.	When he touched her clothes a thrill of something like terror went through him.	true	386.48	390.46	23.984755
203_132069_000017_000002	He had never thought what existence would be without Katy.	He had never thought what existence would be without Katy.	true	391.4	395.53	23.71713
203_132069_000017_000003	She had become so thoroughly annealed into his life that she was like the air he breathed--necessary but scarcely noticed.	She had become so thoroughly annealed into his life that she was like the air he breathed-necessary but scarcely noticed.	true	396.38	404.23	22.66744
203_132069_000017_000004	Now, without warning, she was gone, vanished, as completely absent as if she had never existed.	Now, without warning, she was gone, vanished, as completely absent as if she had never existed.	true	404.93	411.58	22.277925
203_132069_000017_000005	Of course it would be only for a few days, or at most a week or two, but it seemed to him as if the very hand of death had pointed a finger at his secure and uneventful home.	Of course it would be only for a few days, or at most a week or two, but it seemed to him as if the very hand of death had pointed a finger at his secure and uneventful home.	true	412.25	423.19	22.046436
203_132069_000018_000000	John dragged the cold mutton from the ice-box, made coffee and sat down to a lonely meal face to face with the strawberry marmalade's shameless certificate of purity.	john dragged the cold mutton from the ice box, made coffee and sat down to a lonely meal face to face with the strawberry marmalade's shameless certificate of purity.	false	424.37	434.62	21.963053
203_132069_000018_000001	Bright among withdrawn blessings now appeared to him the ghosts of pot roasts and the salad with tan polish dressing.	Bright among withdrawn blessings now appeared to him the ghosts of pot roasts and the salad with tan polish dressing.	true	435.2	442.75	23.310394
203_132069_000018_000002	His home was dismantled.	His home was dismantled.	true	443.06	445.03	25.218842
203_132069_000018_000003	A quinzied mother-in-law had knocked his lares and penates sky-high.	A quinzied mother in law had knocked his lares and penates sky high.	true	445.31	449.83	20.947573
203_132069_000018_000004	After his solitary meal John sat at a front window.	After his solitary meal john sat at a front window.	false	450.14	454.36	22.428663
203_132069_000019_000000	He did not care to smoke.	He did not care to smoke.	true	455.42	457.56	25.895433
203_132069_000019_000001	Outside the city roared to him to come join in its dance of folly and pleasure.	Outside the city roared to him to come join in its dance of folly and pleasure.	true	457.56	462.225	16
203_132069_000019_000002	The night was his.	The night was his.	true	462.225	463.42	20.887573
203_132069_000019_000003	He might go forth unquestioned and thrum the strings of jollity as free as any gay bachelor there.	He might go forth unquestioned and thrum the strings of jollity as free as any gay bachelor there.	true	463.85	470.29	22
203_132069_000019_000004	He might carouse and wander and have his fling until dawn if he liked; and there would be no wrathful Katy waiting for him, bearing the chalice that held the dregs of his joy. He might play pool at McCloskey's with his roistering friends until Aurora dimmed the electric bulbs if he chose.	He might carouse and wander and have his fling until dawn if he liked; and there would be no wrathful Katy waiting for him, bearing the chalice that held the dregs of his joy. He might play pool at McCloskey's with his roistering friends until Aurora dimmed the electric bulbs if he chose.	true	470.69	488.5	21.700495
203_132069_000019_000005	The hymeneal strings that had curbed him always when the Frogmore flats had palled upon him were loosened.	The hymeneal strings that had curbed him always when the Frogmore flats had palled upon him were loosened.	false	489.14	496.21	22.394382
203_132069_000019_000006	Katy was gone.	Katy was gone.	true	496.46	497.89	22.474052
203_132069_000020_000000	John Perkins was not accustomed to analyzing his emotions.	john Perkins was not accustomed to analyzing his emotions.	true	499.64	503.14	20.977676
203_132069_000020_000001	But as he sat in his Katy-bereft 10x12 parlor he hit unerringly upon the keynote of his discomfort.	But as he sat in his Katy bereft ten by twelve parlor he hit unerringly upon the keynote of his discomfort.	false	503.69	511.45	24.506035
203_132069_000020_000002	He knew now that Katy was necessary to his happiness.	He knew now that Katy was necessary to his happiness.	true	511.91	515.56	21.60861
203_132069_000020_000003	His feeling for her, lulled into unconsciousness by the dull round of domesticity, had been sharply stirred by the loss of her presence.	His feeling for her, lulled into unconsciousness by the dull round of domesticity, had been sharply stirred by the loss of her presence.	true	515.99	525.07	23.55549
203_132069_000020_000004	Has it not been dinned into us by proverb and sermon and fable that we never prize the music till the sweet-voiced bird has flown--or in other no less florid and true utterances?	Has it not been dinned into us by proverb and sermon and fable that we never prize the music till the sweet voiced bird has flown-or in other no less florid and true utterances?	false	526.31	538.42	21.25028
203_132069_000021_000000	"I'm a double-dyed dub," mused John Perkins, "the way I've been treating Katy.	"I'm a double dyed dub," mused john Perkins, "the way I've been treating Katy.	true	540.08	544.78	23.925577
203_132069_000021_000001	Off every night playing pool and bumming with the boys instead of staying home with her.	Off every night playing pool and bumming with the boys instead of staying home with her.	true	544.97	549.88	19
203_132069_000021_000002	The poor girl here all alone with nothing to amuse her, and me acting that way!	The poor girl here all alone with nothing to amuse her, and me acting that way!	true	550.13	555.01	24.670416
203_132069_000021_000003	John Perkins, you're the worst kind of a shine.	john Perkins, you're the worst kind of a shine.	false	555.65	558.135	22.716679
203_132069_000021_000004	I'm going to make it up for the little girl.	I'm going to make it up for the little girl.	true	558.135	560.29	21.828377
203_132069_000021_000005	I'll take her out and let her see some amusement.	I'll take her out and let her see some amusement.	true	560.54	563.17	20.808907
203_132069_000021_000006	And I'll cut out the McCloskey gang right from this minute."	And I'll cut out the McCloskey gang right from this minute."	true	563.33	566.8	27.462097
203_132069_000022_000000	Yes, there was the city roaring outside for John Perkins to come dance in the train of Momus.	Yes, there was the city roaring outside for john Perkins to come dance in the train of Momus.	false	568.13	574.47	23.47861
203_132069_000022_000001	And at McCloskey's the boys were knocking the balls idly into the pockets against the hour for the nightly game.	And at McCloskey's the boys were knocking the balls idly into the pockets against the hour for the nightly game.	true	574.47	580.99	22.47819
203_132069_000022_000002	But no primrose way nor clicking cue could woo the remorseful soul of Perkins the bereft.	But no primrose way nor clicking cue could woo the remorseful soul of Perkins the bereft.	true	581.36	587.8	22.966936
203_132069_000022_000003	The thing that was his, lightly held and half scorned, had been taken away from him, and he wanted it.	The thing that was his, lightly held and half scorned, had been taken away from him, and he wanted it.	true	588.32	595.21	20.569124
203_132069_000022_000004	Backward to a certain man named Adam, whom the cherubim bounced from the orchard, could Perkins, the remorseful, trace his descent.	Backward to a certain man named Adam, whom the cherubim bounced from the orchard, could Perkins, the remorseful, trace his descent.	false	595.76	604.36	24.989746
203_132069_000023_000000	Near the right hand of John Perkins stood a chair.	Near the right hand of john Perkins stood a chair.	true	607.01	609.81	22.545818
203_132069_000023_000001	On the back of it stood Katy's blue shirtwaist.	On the back of it stood Katy's blue shirtwaist.	true	609.81	612.7	23.780369
203_132069_000023_000002	It still retained something of her contour.	It still retained something of her contour.	true	612.83	615.34	24.175646
203_132069_000023_000003	Midway of the sleeves were fine, individual wrinkles made by the movements of her arms in working for his comfort and pleasure.	Midway of the sleeves were fine, individual wrinkles made by the movements of her arms in working for his comfort and pleasure.	true	615.74	623.23	20
203_132069_000023_000004	A delicate but impelling odor of bluebells came from it.	A delicate but impelling odor of bluebells came from it.	true	623.42	627.04	24.777838
203_132069_000023_000005	John took it and looked long and soberly at the unresponsive grenadine.	john took it and looked long and soberly at the unresponsive grenadine.	true	627.83	632.56	21.511623
203_132069_000023_000006	Katy had never been unresponsive.	Katy had never been unresponsive.	true	633.23	635.65	19.901802
203_132069_000023_000007	Tears:--yes, tears--came into John Perkins's eyes.	Tears:--yes, tears-came into john Perkins's eyes.	true	635.69	640.24	22.28993
203_132069_000023_000008	When she came back things would be different.	When she came back things would be different.	false	640.46	642.79	21.896946
203_132069_000023_000009	He would make up for all his neglect.	He would make up for all his neglect.	true	643.1	645.43	23.383116
203_132069_000023_000010	What was life without her?	What was life without her?	true	645.53	647.35	23.16216
203_132069_000024_000000	The door opened.	The door opened.	true	647.9	649.15	24.54034
203_132069_000024_000001	Katy walked in carrying a little hand satchel.	Katy walked in carrying a little hand satchel.	true	649.16	652.18	23.15309
203_132069_000024_000002	John stared at her stupidly.	john stared at her stupidly.	true	652.4	654.55	20.675295
203_132069_000025_000000	"My! I'm glad to get back," said Katy.	"My! I'm glad to get back," said Katy.	true	654.86	657.49	25.586475
203_132069_000025_000001	"Ma wasn't sick to amount to anything.	"Ma wasn't sick to amount to anything.	true	657.89	660.22	25.230366
203_132069_000025_000002	Sam was at the depot, and said she just had a little spell, and got all right soon after they telegraphed.	Sam was at the depot, and said she just had a little spell, and got all right soon after they telegraphed.	false	660.68	666.99	22.24411
203_132069_000025_000003	So I took the next train back.	So I took the next train back.	true	666.99	669.01	27.111238
203_132069_000025_000004	I'm just dying for a cup of coffee."	I'm just dying for a cup of coffee."	true	669.11	671.71	24.34617
203_132069_000026_000000	Nobody heard the click and rattle of the cog-wheels as the third-floor front of the Frogmore flats buzzed its machinery back into the Order of Things.	Nobody heard the click and rattle of the cog wheels as the third floor front of the Frogmore flats buzzed its machinery back into the Order of Things.	true	672.08	681.19	21.265738
203_132069_000026_000001	A band slipped, a spring was touched, the gear was adjusted and the wheels revolve in their old orbit.	A band slipped, a spring was touched, the gear was adjusted and the wheels revolve in their old orbit.	true	681.74	689.32	20.954573
203_132069_000027_000000	John Perkins looked at the clock.	john Perkins looked at the clock.	true	690.32	692.44	25.341213
203_132069_000027_000001	It was 8.15.	It was eight point one five.	false	692.66	694.53	23.591818
203_132069_000027_000002	He reached for his hat and walked to the door.	He reached for his hat and walked to the door.	true	694.53	697.09	24.897236
203_132069_000028_000000	"Now, where are you going, I'd like to know, John Perkins?" asked Katy, in a querulous tone.	"Now, where are you going, I'd like to know, john Perkins?" asked Katy, in a querulous tone.	true	697.7	703.48	23.329033
203_132069_000029_000000	"Thought I'd drop up to McCloskey's," said John, "and play a game or two of pool with the fellows."	"Thought I'd drop up to McCloskey's," said john, "and play a game or two of pool with the fellows."	false	704.21	717.45	22.143423
