6696_73296_000000_000000	FAMILY DOCTORS	FAMILY DOCTORS	true	27.09	28.41	26.759604
6696_73296_000024_000001	I hope you will think better of their looks to-morrow; for I assure you Mr. Wingfield told me that he did not believe he had ever sent us off, altogether, in such good case.	I hope you will think better of their looks to morrow; for I assure you mr Wingfield told me that he did not believe he had ever sent us off, altogether, in such good case.	true	353.3	362.2	22.220253
6696_73296_000024_000002	I trust at least that you do not think Mr. Knightley looking ill," turning her eyes with affectionate anxiety toward her husband.	I trust at least that you do not think mr Knightley looking ill," turning her eyes with affectionate anxiety toward her husband.	true	362.63	369.85	21.355827
6696_73296_000025_000000	"Middling, my dear; I cannot compliment you.	"Middling, my dear; I cannot compliment you.	true	369.98	373.21	23.115717
6696_73296_000025_000001	I think Mr. John Knightley very far from looking well."	I think mr john Knightley very far from looking well."	true	373.25	376.66	21.349878
6696_73296_000026_000000	"What is the matter, sir?	"What is the matter, sir?	true	376.91	378.48	19.586311
6696_73296_000026_000001	Did you speak to me?" cried Mr. John Knightley, hearing his own name.	Did you speak to me?" cried mr john Knightley, hearing his own name.	true	378.48	382.51	23.435015
6696_73296_000027_000000	"I am sorry to find, my love, that my father does not think you looking well; but I hope it is only from being a little fatigued.	"I am sorry to find, my love, that my father does not think you looking well; but I hope it is only from being a little fatigued.	true	382.67	389.85	23.48513
6696_73296_000027_000001	I could have wished, however, as you know, that you had seen Mr. Wingfield before you left home."	I could have wished, however, as you know, that you had seen mr Wingfield before you left home."	false	389.85	394.87	21.325926
6696_73296_000028_000000	"My dear Isabella," exclaimed he hastily, "pray do not concern yourself about my looks.	"My dear Isabella," exclaimed he hastily, "pray do not concern yourself about my looks.	true	395.18	401.44	22.796856
6696_73296_000028_000001	Be satisfied with doctoring and coddling yourself and the children, and let me look as I choose."	Be satisfied with doctoring and coddling yourself and the children, and let me look as I choose."	true	401.51	406.48	23.10833
6696_73296_000029_000000	"I did not thoroughly understand what you were telling your brother," cried Emma, "about your friend Mr. Graham's intending to have a bailiff from Scotland to look after his new estate.	"I did not thoroughly understand what you were telling your brother," cried Emma, "about your friend mr Graham's intending to have a bailiff from Scotland to look after his new estate.	true	406.64	416.29	22.748926
6696_73296_000029_000001	But will it answer?	But will it answer?	true	416.42	417.7	27.200861
6696_73296_000029_000002	Will not the old prejudice be too strong?"	Will not the old prejudice be too strong?"	true	417.71	420.25	24.46311
6696_73296_000030_000000	And she talked in this way so long and successfully that, when forced to give her attention again to her father and sister, she had nothing worse to hear than Isabella's kind inquiry after Jane Fairfax; and Jane Fairfax, though no great favorite with her in general, she was at that moment very happy to assist in praising.	And she talked in this way so long and successfully that, when forced to give her attention again to her father and sister, she had nothing worse to hear than Isabella's kind inquiry after Jane Fairfax; and Jane Fairfax, though no great favorite with her in general, she was at that moment very happy to assist in praising.	true	420.44	437.86	23.885057
6696_73296_000031_000000	"That sweet, amiable Jane Fairfax!" said Mrs. John Knightley.	"That sweet, amiable Jane Fairfax!" said mrs john Knightley.	true	438.08	442.72	22.725067
6696_73296_000031_000001	"It is so long since I have seen her, except now and then for a moment accidentally in town.	"It is so long since I have seen her, except now and then for a moment accidentally in town.	true	442.91	448.21	17.73722
6696_73296_000031_000002	What happiness it must be to her good old grandmother and excellent aunt when she comes to visit them!	What happiness it must be to her good old grandmother and excellent aunt when she comes to visit them!	false	448.43	453.52	22.263412
6696_73296_000031_000003	I always regret excessively, on dear Emma's account, that she cannot be more at Highbury; but now their daughter is married I suppose Colonel and Mrs. Campbell will not be able to part with her at all.	I always regret excessively, on dear Emma's account, that she cannot be more at Highbury; but now their daughter is married I suppose Colonel and mrs Campbell will not be able to part with her at all.	true	453.71	464.53	20.733393
6696_73296_000031_000004	She would be such a delightful companion for Emma."	She would be such a delightful companion for Emma."	true	465.08	468.16	22.757656
6696_73296_000032_000000	Mr. Woodhouse agreed to it all, but added:--	mr Woodhouse agreed to it all, but added:--	true	468.32	471.1	22.87804
6696_73296_000033_000000	"Our little friend Harriet Smith, however, is just such another pretty kind of young person.	"Our little friend Harriet Smith, however, is just such another pretty kind of young person.	true	471.2	476.835	21
6696_73296_000033_000001	You will like Harriet.	You will like Harriet.	true	476.835	478.47	28.5314
6696_73296_000033_000002	Emma could not have a better companion than Harriet."	Emma could not have a better companion than Harriet."	false	478.47	481.42	22.756426
6696_73296_000034_000000	"I am most happy to hear it; but only Jane Fairfax one knows to be so very accomplished and superior, and exactly Emma's age."	"I am most happy to hear it; but only Jane Fairfax one knows to be so very accomplished and superior, and exactly Emma's age."	false	482.03	489.76	20.953598
6696_73296_000035_000000	This topic was discussed very happily, and others succeeded of similar moment, and passed away with similar harmony; but the evening did not close without a little return of agitation.	This topic was discussed very happily, and others succeeded of similar moment, and passed away with similar harmony; but the evening did not close without a little return of agitation.	true	490.37	500.77	22.82904
6696_73296_000035_000001	The gruel came and supplied a great deal to be said--much praise and many comments--undoubting decision of its wholesomeness for every constitution, and pretty severe philippies upon the many houses where it was never met with tolerably; but unfortunately, among the failures which the daughter had to instance, the most recent and therefore most prominent was in her own cook at South End, a young woman hired for the time, who never had been able to understand what she meant by a basin of nice smooth gruel, thin, but not too thin.	The gruel came and supplied a great deal to be said-much praise and many comments-undoubting decision of its wholesomeness for every constitution, and pretty severe philippies upon the many houses where it was never met with tolerably; but unfortunately, among the failures which the daughter had to instance, the most recent and therefore most prominent was in her own cook at South End, a young woman hired for the time, who never had been able to understand what she meant by a basin of nice smooth gruel, thin, but not too thin.	false	500.93	532.48	21.067514
6696_73296_000035_000002	Often as she had wished for and ordered it, she had never been able to get anything tolerable.	Often as she had wished for and ordered it, she had never been able to get anything tolerable.	true	532.88	537.94	21.60694
6696_73296_000035_000003	Here was a dangerous opening.	Here was a dangerous opening.	true	538.25	540.22	19.38214
6696_73296_000036_000000	"Ah," said Mr. Woodhouse, shaking his head, and fixing his eyes on her with tender concern.	"Ah," said mr Woodhouse, shaking his head, and fixing his eyes on her with tender concern.	true	540.44	545.92	17.122284
6696_73296_000036_000001	The ejaculation in Emma's ear expressed, "Ah, there is no end of the sad consequences of your going to South End.	The ejaculation in Emma's ear expressed, "Ah, there is no end of the sad consequences of your going to South End.	false	546.32	553.89	19.991058
6696_73296_000036_000002	It does not bear talking of." And for a little while she hoped he would not talk of it, and that a silent rumination might suffice to restore him to the relish of his own smooth gruel.	It does not bear talking of." And for a little while she hoped he would not talk of it, and that a silent rumination might suffice to restore him to the relish of his own smooth gruel.	true	553.89	563.77	21.340267
6696_73296_000036_000003	After an interval of some minutes, however, he began with--	After an interval of some minutes, however, he began with-	true	564.23	567.49	21.76209
6696_73296_000037_000000	"I shall always be very sorry that you went to the sea this autumn, instead of coming here."	"I shall always be very sorry that you went to the sea this autumn, instead of coming here."	true	567.62	572.41	24
6696_73296_000038_000000	"But why should you be sorry, sir?	"But why should you be sorry, sir?	true	572.87	574.87	22.052225
6696_73296_000038_000001	I assure you it did the children a great deal of good."	I assure you it did the children a great deal of good."	true	575.12	578.29	26.097599
6696_73296_000039_000000	"And moreover, if you must go to the sea, it had better not have been to South End.	"And moreover, if you must go to the sea, it had better not have been to South End.	true	578.48	582.675	20.715654
6696_73296_000039_000001	South End is an unhealthy place.	South End is an unhealthy place.	true	582.675	584.565	18.06447
6696_73296_000039_000002	Perry was surprised to hear you had fixed upon South End."	Perry was surprised to hear you had fixed upon South End."	true	584.565	587.71	21.140684
6696_73296_000040_000000	"I know there is such an idea with many people, but indeed it is quite a mistake, sir.	"I know there is such an idea with many people, but indeed it is quite a mistake, sir.	true	588.17	592.42	20.520834
6696_73296_000040_000001	We all had our health perfectly well there, never found the least inconvenience from the mud, and Mr. Wingfield says it is entirely a mistake to suppose the place unhealthy; and I am sure he may be depended on, for he thoroughly understands the nature of the air, and his own brother and family have been there repeatedly."	We all had our health perfectly well there, never found the least inconvenience from the mud, and mr Wingfield says it is entirely a mistake to suppose the place unhealthy; and I am sure he may be depended on, for he thoroughly understands the nature of the air, and his own brother and family have been there repeatedly."	true	592.73	610.06	23.2939
6696_73296_000041_000000	"You should have gone to Cromer, my dear, if you went anywhere.	"You should have gone to Cromer, my dear, if you went anywhere.	true	610.49	613.57	21.323587
6696_73296_000041_000001	Perry was a week at Cromer once, and he holds it to be the best of all the sea-bathing places.	Perry was a week at Cromer once, and he holds it to be the best of all the sea bathing places.	true	613.64	618.735	20.704132
6696_73296_000041_000002	A fine open sea, he says, and very pure air.	A fine open sea, he says, and very pure air.	true	618.735	621.91	19.551697
6696_73296_000041_000003	And by what I understand, you might have had lodgings there quite away from the sea--a quarter of a mile off--very comfortable.	And by what I understand, you might have had lodgings there quite away from the sea-a quarter of a mile off-very comfortable.	true	622.07	628.84	20.839489
6696_73296_000041_000004	You should have consulted Perry."	You should have consulted Perry."	true	628.91	630.82	22.143406
6696_73296_000042_000000	"But my dear sir, the difference of the journey: only consider how great it would have been.	"But my dear sir, the difference of the journey: only consider how great it would have been.	true	631.19	636.28	21.017717
6696_73296_000042_000001	A hundred miles, perhaps, instead of forty."	A hundred miles, perhaps, instead of forty."	true	636.38	639	20.249779
6696_73296_000043_000000	"Ah, my dear, as Perry says, where health is at stake, nothing else should be considered; and if one is to travel, there is not much to choose between forty miles and a hundred.	"Ah, my dear, as Perry says, where health is at stake, nothing else should be considered; and if one is to travel, there is not much to choose between forty miles and a hundred.	false	639	649.365	23.40185
6696_73296_000043_000001	Better not move at all, better stay in London altogether than travel forty miles to get into a worse air.	Better not move at all, better stay in London altogether than travel forty miles to get into a worse air.	true	649.365	655.06	20
6696_73296_000043_000002	This is just what Perry said.	This is just what Perry said.	true	655.25	657.195	23.235247
6696_73296_000043_000003	It seemed to him a very ill-judged measure."	It seemed to him a very ill judged measure."	true	657.195	660.01	19.59412
6696_73296_000044_000000	Emma's attempts to stop her father had been vain; and when he had reached such a point as this, she could not wonder at her brother-in-law's breaking out.	Emma's attempts to stop her father had been vain; and when he had reached such a point as this, she could not wonder at her brother-in-law's breaking out.	true	660.32	668.17	20.928629
6696_73296_000045_000000	"Mr. Perry," said he, in a voice of very strong displeasure, "would do as well to keep his opinion till it is asked for.	"mr Perry," said he, in a voice of very strong displeasure, "would do as well to keep his opinion till it is asked for.	true	668.39	676.12	22.26929
6696_73296_000045_000001	Why does he make it any business of his to wonder at what I do at my taking my family to one part of the coast or another?	Why does he make it any business of his to wonder at what I do at my taking my family to one part of the coast or another?	false	676.19	682.57	21.719923
6696_73296_000045_000002	I may be allowed, I hope, the use of my judgment as well as Mr. Perry.	I may be allowed, I hope, the use of my judgment as well as mr Perry.	true	682.88	687.28	20.137438
6696_73296_000045_000003	I want his directions no more than his drugs." He paused, and growing cooler in a moment, added, with only sarcastic dryness, "If Mr. Perry can tell me how to convey a wife and five children a distance of a hundred and thirty miles with no greater expense or inconvenience than a distance of forty, I should be as willing to prefer Cromer to South End as he could himself."	I want his directions no more than his drugs." He paused, and growing cooler in a moment, added, with only sarcastic dryness, "If mr Perry can tell me how to convey a wife and five children a distance of a hundred and thirty miles with no greater expense or inconvenience than a distance of forty, I should be as willing to prefer Cromer to South End as he could himself."	true	687.53	711.52	21.113337
6696_73296_000046_000000	"True, true," cried Mr. Knightley, with most ready interposition, "very true.	"True, true," cried mr Knightley, with most ready interposition, "very true.	true	711.68	716.58	25.484867
6696_73296_000046_000001	That's a consideration, indeed.	That's a consideration, indeed.	true	716.58	718.9	21.726814
6696_73296_000046_000002	But, John, as to what I was telling you of my idea of moving the path to Langham, of turning it more to the right that it may not cut through the home meadows, I cannot conceive any difficulty.	But, john, as to what I was telling you of my idea of moving the path to Langham, of turning it more to the right that it may not cut through the home meadows, I cannot conceive any difficulty.	false	718.91	728.11	19.841301
6696_73296_000046_000003	I should not attempt it, if it were to be the means of inconvenience to the Highbury people, but if you call to mind exactly the present light of the path--The only way of proving it, however, will be to turn to our maps.	I should not attempt it, if it were to be the means of inconvenience to the Highbury people, but if you call to mind exactly the present light of the path-The only way of proving it, however, will be to turn to our maps.	false	728.24	739.21	21.489655
6696_73296_000046_000004	I shall see you at the Abbey to-morrow morning, I hope, and then we will look them over, and you shall give me your opinion."	I shall see you at the Abbey to morrow morning, I hope, and then we will look them over, and you shall give me your opinion."	false	739.43	745	18
6696_73296_000047_000000	Mr. Woodhouse was rather agitated by such harsh reflections on his friend Perry, to whom he had in fact, though unconsciously, been attributing many of his own feelings and expressions; but the soothing attentions of his daughters gradually removed the present evil, and the immediate alertness of one brother, and better recollections of the other, prevented any renewal of it.	mr Woodhouse was rather agitated by such harsh reflections on his friend Perry, to whom he had in fact, though unconsciously, been attributing many of his own feelings and expressions; but the soothing attentions of his daughters gradually removed the present evil, and the immediate alertness of one brother, and better recollections of the other, prevented any renewal of it.	false	745.43	771.72	21.095255
