6286_69422_000003_000002	Was the child determined to share her vigil?	Was the child determined to share her vigil?
6286_69422_000018_000000	Giving Reuther the rest of the work to do, she presently appeared before him with pail and broom and a pile of fresh linen.	Giving Reuther the rest of the work to do, she presently appeared before him with pail and broom and a pile of fresh linen.
6286_69422_000018_000001	Nothing more commonplace could be imagined, but to her, if not to him, there underlay this especial act of ordinary housewifery a possible enlightenment on a subject which had held the whole community in a state of curiosity for years.	Nothing more commonplace could be imagined, but to her, if not to him, there underlay this especial act of ordinary housewifery a possible enlightenment on a subject which had held the whole community in a state of curiosity for years.
6286_69422_000018_000002	She was going to enter the room which had been barred from public sight by poor Bela's dying body.	She was going to enter the room which had been barred from public sight by poor Bela's dying body.
6286_69422_000018_000004	The doubt gave a tremulous eagerness to her step and caused her eye to wander immediately to that forbidden corner soon as she had stepped over the threshold.	The doubt gave a tremulous eagerness to her step and caused her eye to wander immediately to that forbidden corner soon as she had stepped over the threshold.
6286_69422_000020_000000	But she could not, quite.	But she could not, quite.
6286_69422_000020_000001	Two facts of which she immediately became cognisant, prevented this.	Two facts of which she immediately became cognisant, prevented this.
6286_69422_000020_000002	First, the great room before her presented a bare floor, whereas on her first visit it had been very decently, if not cheerfully, covered by a huge carpet rug.	First, the great room before her presented a bare floor, whereas on her first visit it had been very decently, if not cheerfully, covered by a huge carpet rug.
6286_69422_000020_000004	Manifestly she was not to be allowed to pursue her duties unwatched.	Manifestly she was not to be allowed to pursue her duties unwatched.
6286_69422_000020_000005	Certainly she had to take more than one look at the every-day implements she carried to retain that balance of judgment which should prevent her from becoming the dupe of her own expectations.	Certainly she had to take more than one look at the every day implements she carried to retain that balance of judgment which should prevent her from becoming the dupe of her own expectations.
6286_69422_000021_000000	"I do not expect you to clean up here as thoroughly as you have your own rooms up stairs," he remarked, as she passed him.	"I do not expect you to clean up here as thoroughly as you have your own rooms up stairs," he remarked, as she passed him.
6286_69422_000021_000001	"You haven't the time, or I the patience for too many strokes of the broom.	"You haven't the time, or I the patience for too many strokes of the broom.
6286_69422_000021_000002	And Mrs. Scoville," he called out as she slipped through the doorway, "leave the door open and keep away as much as possible from the side of the room where I have nailed up the curtain.	And mrs Scoville," he called out as she slipped through the doorway, "leave the door open and keep away as much as possible from the side of the room where I have nailed up the curtain.
6286_69422_000021_000003	I had rather not have that touched."	I had rather not have that touched."
6286_69422_000022_000001	She felt that she had been set to work with a string tied round her feet.	She felt that she had been set to work with a string tied round her feet.
6286_69422_000022_000002	Not touch the curtain!	Not touch the curtain!
6286_69422_000022_000003	Why, that was the one thing in the room she wanted to touch; for in it she not only saw the carpet which had been taken up from the floor of the study, but a possible screen behind which anything might lurk--even his redoubtable secret.	Why, that was the one thing in the room she wanted to touch; for in it she not only saw the carpet which had been taken up from the floor of the study, but a possible screen behind which anything might lurk-even his redoubtable secret.
6286_69422_000023_000003	It would be like him to shut out light and air.	It would be like him to shut out light and air.
6286_69422_000023_000004	She would ask.	She would ask.
6286_69422_000025_000000	"No," was his short reply.	"No," was his short reply.
6286_69422_000026_000001	One thing was settled.	One thing was settled.
6286_69422_000026_000002	It was Bela's cot she saw before her--a cot without any sheets.	It was Bela's cot she saw before her-a cot without any sheets.
6286_69422_000026_000003	These had been left behind in the dead negro's room, and the judge had been sleeping just as she had feared, wrapped in a rug and with uncovered pillow.	These had been left behind in the dead negro's room, and the judge had been sleeping just as she had feared, wrapped in a rug and with uncovered pillow.
6286_69422_000026_000004	This pillow was his own; it had not been brought down with the bed.	This pillow was his own; it had not been brought down with the bed.
6286_69422_000026_000005	She hastily slipped a cover on it, and without calling any further attention to her act, began to make up the bed.	She hastily slipped a cover on it, and without calling any further attention to her act, began to make up the bed.
6286_69422_000028_000001	He coughed and shook his head, but did not budge an inch.	He coughed and shook his head, but did not budge an inch.
6286_69422_000028_000002	Before she had begun to put things in order, the clock struck the half-hour.	Before she had begun to put things in order, the clock struck the half hour.
6286_69422_000029_000000	"Oh!" she protested, with a pleading glance his way, "I'm not half done."	"Oh!" she protested, with a pleading glance his way, "I'm not half done."
6286_69422_000030_000000	"There's another day to follow," he dryly remarked, rising and taking a key from his pocket.	"There's another day to follow," he dryly remarked, rising and taking a key from his pocket.
6286_69422_000031_000000	The act expressed his wishes; and she was proceeding to carry out her things when a quick sliding noise from the wall she was passing, drew her attention and caused her to spring forward in an involuntary effort to catch a picture which had slipped its cord and was falling to the floor.	The act expressed his wishes; and she was proceeding to carry out her things when a quick sliding noise from the wall she was passing, drew her attention and caused her to spring forward in an involuntary effort to catch a picture which had slipped its cord and was falling to the floor.
6286_69422_000032_000001	She had grasped and lifted the picture and seen--	She had grasped and lifted the picture and seen-
6286_69422_000033_000000	But first, let me explain.	But first, let me explain.
6286_69422_000033_000001	This picture was not like the others hanging about.	This picture was not like the others hanging about.
6286_69422_000033_000002	It was a veiled one.	It was a veiled one.
6286_69422_000033_000003	From some motive of precaution or characteristic desire for concealment on the part of the judge, it had been closely wrapped about in heavy brown paper before being hung, and in the encounter which ensued between the falling picture and the spear of an image standing on a table underneath, this paper had received a slit through which Deborah had been given a glimpse of the canvas beneath.	From some motive of precaution or characteristic desire for concealment on the part of the judge, it had been closely wrapped about in heavy brown paper before being hung, and in the encounter which ensued between the falling picture and the spear of an image standing on a table underneath, this paper had received a slit through which Deborah had been given a glimpse of the canvas beneath.
6286_69422_000034_000000	The shock of what she saw would have unnerved a less courageous woman.	The shock of what she saw would have unnerved a less courageous woman.
6286_69422_000035_000000	IT WAS A HIGHLY FINISHED PORTRAIT OF OLIVER IN HIS YOUTH, WITH A BROAD BAND OF BLACK PAINTED DIRECTLY ACROSS THE EYES.	IT WAS A HIGHLY FINISHED PORTRAIT OF OLIVER IN HIS YOUTH, WITH A BROAD BAND OF BLACK PAINTED DIRECTLY ACROSS THE EYES.
