335_125951_000000_000000	218 Full page line-art drawing.	two hundred eighteen Full page line art drawing.	false	2.88	7.62	20.667067
335_125951_000014_000000	"Not so!" exclaimed a hollow voice.	"Not so!" exclaimed a hollow voice.	true	174.68	177.85	25.97584
335_125951_000015_000000	At this they all turned in surprise to look at the Scarecrow's head, which lay at the back of the nest.	At this they all turned in surprise to look at the Scarecrow's head, which lay at the back of the nest.	true	178.07	183.73	24
335_125951_000016_000000	"I am completely ruined!" declared the Scarecrow, as he noted their astonishment.	"I am completely ruined!" declared the Scarecrow, as he noted their astonishment.	true	184.22	188.74	21.198706
335_125951_000016_000001	"For where is the straw that stuffs my body?"	"For where is the straw that stuffs my body?"	false	188.87	191.44	22.039993
335_125951_000017_000000	The awful question startled them all.	The awful question startled them all.	true	192.47	194.59	23
335_125951_000017_000001	They gazed around the nest with horror, for not a vestige of straw remained.	They gazed around the nest with horror, for not a vestige of straw remained.	true	194.72	199.6	19.679033
335_125951_000017_000002	The	The	true	199.64	199.86	100
335_125951_000018_000000	222 Jackdaws had stolen it to the last wisp and flung it all into the chasm that yawned for hundreds of feet beneath the nest.	two hundred twenty two Jackdaws had stolen it to the last wisp and flung it all into the chasm that yawned for hundreds of feet beneath the nest.	false	199.86	207.7	20
335_125951_000019_000000	"My poor, poor friend!" said the Tin Woodman, taking up the Scarecrow's head and caressing it tenderly; "whoever could imagine you would come to this untimely end?"	"My poor, poor friend!" said the Tin Woodman, taking up the Scarecrow's head and caressing it tenderly; "whoever could imagine you would come to this untimely end?"	false	208.37	218.17	23.937447
335_125951_000020_000000	"I did it to save my friends," returned the head; "and I am glad that I perished in so noble and unselfish a manner."	"I did it to save my friends," returned the head; "and I am glad that I perished in so noble and unselfish a manner."	false	219.14	226.44	23.746315
335_125951_000021_000000	"But why are you all so despondent?" inquired the Woggle-Bug.	"But why are you all so despondent?" inquired the Woggle Bug.	false	226.44	231.885	22.282986
335_125951_000021_000001	"The Scarecrow's clothing is still safe."	"The Scarecrow's clothing is still safe."	true	231.885	233.89	29.470936
335_125951_000022_000000	"Yes," answered the Tin Woodman; "but our friend's clothes are useless without stuffing."	"Yes," answered the Tin Woodman; "but our friend's clothes are useless without stuffing."	true	234.65	239.98	22.646492
335_125951_000023_000000	"Why not stuff him with money?" asked Tip.	"Why not stuff him with money?" asked Tip.	true	241.25	243.94	23.101145
335_125951_000024_000000	"Money!" they all cried, in an amazed chorus.	"Money!" they all cried, in an amazed chorus.	true	244.58	247.39	22.51455
335_125951_000025_000000	"To be sure," said the boy.	"To be sure," said the boy.	true	248.03	250.305	25.744064
335_125951_000025_000001	"In the bottom of the nest are thousands of dollar bills--and two-dollar bills--and five-dollar bills--and tens, and twenties, and fifties.	"In the bottom of the nest are thousands of dollar bills-and two dollar bills-and five dollar bills-and tens, and twenties, and fifties.	true	250.305	256.3	18
335_125951_000025_000002	There are enough of them to stuff a dozen Scarecrows.	There are enough of them to stuff a dozen Scarecrows.	true	256.52	258.69	19
335_125951_000025_000003	Why not use the money?"	Why not use the money?"	true	258.69	260.47	20.483965
335_125951_000026_000000	The Tin Woodman began to turn over the rubbish with the handle of his axe; and, sure enough, what they had first thought only worthless papers were found to be all bills of various denominations,	The Tin Woodman began to turn over the rubbish with the handle of his axe; and, sure enough, what they had first thought only worthless papers were found to be all bills of various denominations,	false	260.99	271.74	18
335_125951_000027_000000	223 which the mischievous Jackdaws had for years been engaged in stealing from the villages and cities they visited.	two hundred twenty three which the mischievous Jackdaws had for years been engaged in stealing from the villages and cities they visited.	false	271.74	279.04	21.277576
335_125951_000028_000000	There was an immense fortune lying in that inaccessible nest; and Tip's suggestion was, with the Scarecrow's consent, quickly acted upon.	There was an immense fortune lying in that inaccessible nest; and Tip's suggestion was, with the Scarecrow's consent, quickly acted upon.	true	279.68	287.86	21
335_125951_000029_000000	They selected all the newest and cleanest bills and assorted them into various piles.	They selected all the newest and cleanest bills and assorted them into various piles.	true	288.05	292.665	19
335_125951_000029_000001	The Scarecrow's left leg and boot were stuffed with five- dollar bills; his right leg was stuffed with ten-dollar bills, and his body so closely filled with fifties, one-hundreds and one-thousands that he could scarcely button his jacket with comfort.	The Scarecrow's left leg and boot were stuffed with five dollar bills; his right leg was stuffed with ten dollar bills, and his body so closely filled with fifties, one hundreds and one thousands that he could scarcely button his jacket with comfort.	true	292.665	306.07	22.190134
335_125951_000030_000000	"You are now" said the Woggle-Bug, impressively, when the task had been completed, "the most valuable member of our party; and as you	"You are now" said the Woggle Bug, impressively, when the task had been completed, "the most valuable member of our party; and as you	true	307.1	314.22	22.163559
335_125951_000031_000000	Line-Art Drawing	Line Art Drawing	false	314.22	314.22	
335_125951_000032_000000	224 are among faithful friends there is little danger of your being spent."	two hundred twenty four are among faithful friends there is little danger of your being spent."	false	314.22	317.08	19
335_125951_000033_000000	"Thank you," returned the Scarecrow, gratefully.	"Thank you," returned the Scarecrow, gratefully.	true	318.11	320.65	28.592974
335_125951_000033_000001	"I feel like a new man; and although at first glance I might be mistaken for a Safety Deposit Vault, I beg you to remember that my Brains are still composed of the same old material.	"I feel like a new man; and although at first glance I might be mistaken for a Safety Deposit Vault, I beg you to remember that my Brains are still composed of the same old material.	false	320.75	330.76	24
335_125951_000033_000002	And these are the possessions that have always made me a person to be depended upon in an emergency."	And these are the possessions that have always made me a person to be depended upon in an emergency."	false	330.8	337.33	22.503515
335_125951_000034_000000	"Well, the emergency is here," observed Tip; "and unless your brains help us out of it we shall be compelled to pass the remainder of our lives in this nest."	"Well, the emergency is here," observed Tip; "and unless your brains help us out of it we shall be compelled to pass the remainder of our lives in this nest."	true	337.73	347.53	22.17777
335_125951_000035_000000	"How about these wishing pills?" enquired the Scarecrow, taking the box from his jacket pocket.	"How about these wishing pills?" enquired the Scarecrow, taking the box from his jacket pocket.	true	349.34	354.81	24.888128
335_125951_000035_000001	"Can't we use them to escape?"	"Can't we use them to escape?"	false	354.81	356.8	24.68427
335_125951_000036_000000	"Not unless we can count seventeen by twos," answered the Tin Woodman.	"Not unless we can count seventeen by twos," answered the Tin Woodman.	true	358.01	362.11	21.464119
335_125951_000036_000001	"But our friend the Woggle-Bug claims to be highly educated, so he ought easily to figure out how that can be done."	"But our friend the Woggle Bug claims to be highly educated, so he ought easily to figure out how that can be done."	true	362.3	368.61	22.913033
335_125951_000037_000000	"It isn't a question of education," returned the Insect; "it's merely a question of mathematics.	"It isn't a question of education," returned the Insect; "it's merely a question of mathematics.	false	368.61	375.555	25.006563
335_125951_000037_000001	I've seen the professor work lots of sums on the blackboard, and he claimed anything could be done with x's and y's and a's, and such things, by mixing them up with plenty of plusses and minuses and equals, and so forth.	I've seen the professor work lots of sums on the blackboard, and he claimed anything could be done with x's and y's and a's, and such things, by mixing them up with plenty of plusses and minuses and equals, and so forth.	true	375.555	384.48	17
335_125951_000037_000002	But he never said anything, so far as	But he never said anything, so far as	true	384.48	386.07	15
335_125951_000038_000000	225 I can remember, about counting up to the odd number of seventeen by the even numbers of twos."	two two five i can remember, about counting up to the odd number of seventeen by the even numbers of twos."	false	386.07	390.07	17
335_125951_000039_000000	"Stop! stop!" cried the Pumpkinhead.	"Stop! stop!" cried the Pumpkinhead.	true	391.37	394.44	28.881962
335_125951_000039_000001	"You're making my head ache."	"You're making my head ache."	true	394.44	396.07	25.953545
335_125951_000040_000000	"And mine," added the Scarecrow.	"And mine," added the Scarecrow.	true	396.89	399.1	20.283375
335_125951_000040_000001	"Your mathematics seem to me very like a bottle of mixed pickles the more you fish for what you want the less chance you have of getting it.	"Your mathematics seem to me very like a bottle of mixed pickles the more you fish for what you want the less chance you have of getting it.	true	399.17	406.39	24.742067
335_125951_000040_000002	I am certain that if the thing can be accomplished at all, it is in a very simple manner."	I am certain that if the thing can be accomplished at all, it is in a very simple manner."	true	406.79	413.11	21.58111
335_125951_000041_000000	"Yes," said Tip.	"Yes," said Tip.	true	414.59	416.43	21.974073
335_125951_000041_000001	"old Mombi couldn't use x's and minuses, for she never went to school."	"old Mombi couldn't use x's and minuses, for she never went to school."	false	416.43	420.46	21
335_125951_000042_000000	"Why not start counting at a half of one?" asked the Saw-Horse, abruptly. "Then anyone can count up to seventeen by twos very easily."	"Why not start counting at a half of one?" asked the Saw Horse, abruptly. "Then anyone can count up to seventeen by twos very easily."	true	421.58	429.16	23.349136
335_125951_000043_000000	They looked at each other in surprise, for the Saw-Horse was considered the most stupid of the entire party.	They looked at each other in surprise, for the Saw Horse was considered the most stupid of the entire party.	true	430.49	436.03	20
335_125951_000044_000000	"You make me quite ashamed of myself," said the Scarecrow, bowing low to the Saw-Horse.	"You make me quite ashamed of myself," said the Scarecrow, bowing low to the Saw Horse.	false	437.36	441.82	22.65316
335_125951_000045_000000	"Nevertheless, the creature is right," declared the Woggle-Bug; for twice one-half is one, and if you get to one it is easy to count from one up to seventeen by twos."	"Nevertheless, the creature is right," declared the Woggle Bug; for twice one half is one, and if you get to one it is easy to count from one up to seventeen by twos."	false	442.28	453.94	22.998213
335_125951_000046_000000	"I wonder I didn't think of that myself," said the Pumpkinhead.	"I wonder I didn't think of that myself," said the Pumpkinhead.	true	454.28	458.52	24.1722
335_125951_000047_000000	226	two hundred twenty six	false	458.52	460.05	15
335_125951_000048_000000	"I don't," returned the Scarecrow.	"I don't," returned the Scarecrow.	true	460.05	462.12	25.770226
335_125951_000048_000001	"You're no wiser than the rest of us, are you?	"You're no wiser than the rest of us, are you?	true	462.12	464.5	22
335_125951_000048_000002	But let us make a wish at once.	But let us make a wish at once.	true	464.9	466.815	24.620691
335_125951_000048_000003	Who will swallow the first pill?"	Who will swallow the first pill?"	true	466.815	468.4	23.939922
335_125951_000049_000000	"Suppose you do it," suggested Tip.	"Suppose you do it," suggested Tip.	true	469.55	472.03	24.536371
335_125951_000050_000000	"I can't," said the Scarecrow.	"I can't," said the Scarecrow.	true	472.07	474.28	26.745687
335_125951_000051_000000	"Why not?	"Why not?	false	474.47	475.47	28.029692
335_125951_000051_000001	You've a mouth, haven't you?" asked the boy.	You've a mouth, haven't you?" asked the boy.	false	475.47	477.94	26.2405
335_125951_000052_000000	"Yes; but my mouth is painted on, and there's no swallow connected with it,' answered the Scarecrow.	"Yes; but my mouth is painted on, and there's no swallow connected with it,' answered the Scarecrow.	true	478.34	483.52	23.051601
335_125951_000052_000001	"In fact," he continued, looking from one to another critically, "I believe the boy and the Woggle-Bug are the only ones in our party that are able to swallow."	"In fact," he continued, looking from one to another critically, "I believe the boy and the Woggle Bug are the only ones in our party that are able to swallow."	true	483.56	492.76	23.429619
335_125951_000053_000000	Observing the truth of this remark, Tip said:	Observing the truth of this remark, Tip said:	true	493.37	496.63	24.291456
335_125951_000054_000000	"Then I will undertake to make the first wish.	"Then I will undertake to make the first wish.	true	496.88	499.155	27
335_125951_000054_000001	Give me one of the Silver Pills."	Give me one of the Silver Pills."	true	499.155	500.71	23.161354
335_125951_000055_000000	This the Scarecrow tried to do; but his padded gloves were too clumsy to clutch so small an object, and he held the box toward the boy while Tip selected one of the pills and swallowed it.	This the Scarecrow tried to do; but his padded gloves were too clumsy to clutch so small an object, and he held the box toward the boy while Tip selected one of the pills and swallowed it.	true	501.98	511.72	22.473097
335_125951_000056_000000	"Count!" cried the Scarecrow.	"Count!" cried the Scarecrow.	true	514.13	516.37	23.865726
335_125951_000057_000000	"One-half, one, three, five, seven, nine, eleven,!" counted Tip.	"One half, one, three, five, seven, nine, eleven,!" counted Tip.	true	517.73	524.05	22.965536
335_125951_000057_000001	thirteen, fifteen, seventeen.	thirteen, fifteen, seventeen.	true	524.09	526.33	28.541023
335_125951_000058_000000	"Now wish!" said the Tin Woodman anxiously:	"Now wish!" said the Tin Woodman anxiously:	true	526.82	529.84	21.24211
335_125951_000059_000000	But Just then the boy began to suffer such fearful pains that he became alarmed.	But Just then the boy began to suffer such fearful pains that he became alarmed.	true	529.94	534.12	22
335_125951_000060_000000	227	two hundred twenty seven	false	534.12	534.57	9
335_125951_000061_000000	"The pill has poisoned me!" he gasped; "O--h!	"The pill has poisoned me!" he gasped; "O-h!	false	534.57	539.52	27.267412
335_125951_000061_000001	O-o-o-o-o!	O o o o o!	false	539.52	539.52	
335_125951_000061_000002	Ouch!	Ouch!	false	539.52	539.535	9
335_125951_000061_000003	Murder! Fire!	Murder! Fire!	true	539.535	541.065	22
335_125951_000061_000004	O-o-h!" and here he rolled upon the bottom of the nest in such contortions that he frightened them all.	O o h!" and here he rolled upon the bottom of the nest in such contortions that he frightened them all.	false	541.065	547	20.170559
335_125951_000062_000000	"What can we do for you.	"What can we do for you.	true	548.21	549.48	23.078724
335_125951_000062_000001	Speak, I beg!" entreated the Tin Woodman, tears of sympathy running down his nickel cheeks.	Speak, I beg!" entreated the Tin Woodman, tears of sympathy running down his nickel cheeks.	true	549.48	554.73	23.29174
335_125951_000063_000000	"I--I don't know!" answered Tip.	"I-I don't know!" answered Tip.	false	554.73	558.63	25.07195
335_125951_000063_000001	"O--h!	"O-h!	false	558.63	559.53	27.750807
335_125951_000063_000002	I wish I'd never swallowed that pill!"	I wish I'd never swallowed that pill!"	true	559.53	562.27	19
335_125951_000064_000000	Then at once the pain stopped, and the boy rose to his feet again and found the Scarecrow looking with amazement at the end of the pepper-box.	Then at once the pain stopped, and the boy rose to his feet again and found the Scarecrow looking with amazement at the end of the pepper box.	false	562.64	570.31	22.04353
335_125951_000065_000000	"What's happened?" asked the boy, a little ashamed of his recent exhibition.	"What's happened?" asked the boy, a little ashamed of his recent exhibition.	true	570.8	575.38	23.714678
335_125951_000066_000000	"Why, the three pills are in the box again!" said the Scarecrow.	"Why, the three pills are in the box again!" said the Scarecrow.	true	576.32	579.97	24.235718
335_125951_000067_000000	"Of course they are," the Woggle-Bug declared.	"Of course they are," the Woggle Bug declared.	true	580.76	583.48	24.424973
335_125951_000067_000001	"Didn't Tip wish that he'd never swallowed one of them?	"Didn't Tip wish that he'd never swallowed one of them?	false	583.7	586.15	19.394123
335_125951_000067_000002	Well, the wish came true, and he didn't swallow one of them.	Well, the wish came true, and he didn't swallow one of them.	true	586.16	588.525	19
335_125951_000067_000003	So of course they are all three in the box."	So of course they are all three in the box."	true	588.525	591.34	25.868773
335_125951_000068_000000	"That may be; but the pill gave me a dreadful pain, just the same," said the boy.	"That may be; but the pill gave me a dreadful pain, just the same," said the boy.	true	591.47	596.2	23.08684
335_125951_000069_000000	"Impossible!" declared the Woggle-	"Impossible!" declared the Woggle	true	597.17	598.74	23.145525
335_125951_000070_000000	Line-Art Drawing	Line Art Drawing	false	598.74	598.74	
335_125951_000071_000000	228 Bug.	two hundred twenty eight Bug.	false	598.74	599.235	25.942032
335_125951_000071_000001	"If you have never swallowed it, the pill can not have given you a pain.	"If you have never swallowed it, the pill can not have given you a pain.	false	599.235	602.07	20
335_125951_000071_000002	And as your wish, being granted, proves you did not swallow the pill, it is also plain that you suffered no pain."	And as your wish, being granted, proves you did not swallow the pill, it is also plain that you suffered no pain."	true	602.07	608.32	21.936028
335_125951_000072_000000	"Then it was a splendid imitation of a pain," retorted Tip, angrily. "Suppose you try the next pill yourself.	"Then it was a splendid imitation of a pain," retorted Tip, angrily. "Suppose you try the next pill yourself.	false	609.17	615.165	26.796099
335_125951_000072_000001	We've wasted one wish already."	We've wasted one wish already."	true	615.165	616.95	22.677849
335_125951_000073_000000	"Oh, no, we haven't!" protested the Scarecrow.	"Oh, no, we haven't!" protested the Scarecrow.	true	616.95	619.69	25.712502
335_125951_000073_000001	"Here are still three pills in the box, and each pill is good for a wish."	"Here are still three pills in the box, and each pill is good for a wish."	false	619.82	624	23.629227
335_125951_000074_000000	"Now you're making my head ache," said Tip.	"Now you're making my head ache," said Tip.	true	624	626.62	24.97177
335_125951_000074_000001	"I can't understand the thing at all.	"I can't understand the thing at all.	true	626.72	628.6	23.281506
335_125951_000074_000002	But I won't take another pill, I promise you!" and with this remark he retired sulkily to the back of the nest.	But I won't take another pill, I promise you!" and with this remark he retired sulkily to the back of the nest.	true	628.7	634.96	23.18341
335_125951_000075_000000	"Well," said the Woggle-Bug, "it remains for me to save us in my most Highly Magnified and Thoroughly Educated manner; for I seem to be the only one able and willing to make a wish.	"Well," said the Woggle Bug, "it remains for me to save us in my most Highly Magnified and Thoroughly Educated manner; for I seem to be the only one able and willing to make a wish.	true	635.51	645.195	21.448923
335_125951_000075_000001	Let me have one of the pills."	Let me have one of the pills."	false	645.195	687.24	23.098736
