439_122809_000000_000000	"Do you hear the cock crow, Tukey?	"Do you hear the cock crow, Tukey?	false	0	1.95	100
439_122809_000011_000001	"Come in, come in, and I will soon restore thee!	"Come in, come in, and I will soon restore thee!	true	109.46	112.81	17
439_122809_000011_000002	Thou shalt have wine and roasted apples, for thou art verily a charming child!" And the boy was so really.	Thou shalt have wine and roasted apples, for thou art verily a charming child!" And the boy was so really.	true	113.3	122.38	21.815073
439_122809_000011_000003	His eyes were like two bright stars; and although the water trickled down his hair, it waved in beautiful curls.	His eyes were like two bright stars; and although the water trickled down his hair, it waved in beautiful curls.	true	122.81	131.08	20.79583
439_122809_000011_000004	He looked exactly like a little angel, but he was so pale, and his whole body trembled with cold.	He looked exactly like a little angel, but he was so pale, and his whole body trembled with cold.	true	131.69	139.12	21.589163
439_122809_000011_000005	He had a nice little bow in his hand, but it was quite spoiled by the rain, and the tints of his many-colored arrows ran one into the other.	He had a nice little bow in his hand, but it was quite spoiled by the rain, and the tints of his many colored arrows ran one into the other.	true	139.61	149.32	18.565134
439_122809_000012_000000	The old poet seated himself beside his hearth, and took the little fellow on his lap; he squeezed the water out of his dripping hair, warmed his hands between his own, and boiled for him some sweet wine. Then the boy recovered, his cheeks again grew rosy, he jumped down from the lap where he was sitting, and danced round the kind old poet.	The old poet seated himself beside his hearth, and took the little fellow on his lap; he squeezed the water out of his dripping hair, warmed his hands between his own, and boiled for him some sweet wine. Then the boy recovered, his cheeks again grew rosy, he jumped down from the lap where he was sitting, and danced round the kind old poet.	true	150.74	177.13	19.551949
439_122809_000013_000000	"You are a merry fellow," said the old man.	"You are a merry fellow," said the old man.	true	178.82	182.17	21.857203
439_122809_000013_000001	"What's your name?"	"What's your name?"	true	182.39	183.85	20.479408
439_122809_000014_000000	"My name is Cupid," answered the boy.	"My name is Cupid," answered the boy.	true	185.06	188.14	24.955227
439_122809_000014_000001	"Don't you know me?	"Don't you know me?	true	188.57	189.97	25.342203
439_122809_000014_000002	There lies my bow; it shoots well, I can assure you!	There lies my bow; it shoots well, I can assure you!	true	190.28	194.41	19.021639
439_122809_000014_000003	Look, the weather is now clearing up, and the moon is shining clear again through the window."	Look, the weather is now clearing up, and the moon is shining clear again through the window."	true	195.05	201.07	21.914555
439_122809_000015_000000	"Why, your bow is quite spoiled," said the old poet.	"Why, your bow is quite spoiled," said the old poet.	true	202.52	206.2	18.841326
439_122809_000016_000000	"That were sad indeed," said the boy, and he took the bow in his hand and examined it on every side.	"That were sad indeed," said the boy, and he took the bow in his hand and examined it on every side.	true	207.02	214.09	17.594873
439_122809_000016_000001	"Oh, it is dry again, and is not hurt at all; the string is quite tight.	"Oh, it is dry again, and is not hurt at all; the string is quite tight.	true	215.33	221.47	18.519413
439_122809_000016_000002	I will try it directly." And he bent his bow, took aim, and shot an arrow at the old poet, right into his heart. "You see now that my bow was not spoiled," said he laughing; and away he ran.	I will try it directly." And he bent his bow, took aim, and shot an arrow at the old poet, right into his heart. "You see now that my bow was not spoiled," said he laughing; and away he ran.	true	222.11	238.63	19.935665
439_122809_000017_000000	The naughty boy, to shoot the old poet in that way; he who had taken him into his warm room, who had treated him so kindly, and who had given him warm wine and the very best apples!	The naughty boy, to shoot the old poet in that way; he who had taken him into his warm room, who had treated him so kindly, and who had given him warm wine and the very best apples!	true	239.42	253.27	17.839611
439_122809_000018_000000	The poor poet lay on the earth and wept, for the arrow had really flown into his heart.	The poor poet lay on the earth and wept, for the arrow had really flown into his heart.	true	254.03	260.41	22.128002
439_122809_000019_000000	"Fie!" said he.	"Fie!" said he.	true	260.72	262.92	14.965239
439_122809_000019_000001	"How naughty a boy Cupid is!	"How naughty a boy Cupid is!	false	262.92	266.08	17.162493
439_122809_000019_000002	I will tell all children about him, that they may take care and not play with him, for he will only cause them sorrow and many a heartache."	I will tell all children about him, that they may take care and not play with him, for he will only cause them sorrow and many a heartache."	true	266.39	276.04	23.08334
439_122809_000020_000000	And all good children to whom he related this story, took great heed of this naughty Cupid; but he made fools of them still, for he is astonishingly cunning.	And all good children to whom he related this story, took great heed of this naughty Cupid; but he made fools of them still, for he is astonishingly cunning.	true	277.37	288.64	21.236807
439_122809_000020_000001	When the university students come from the lectures, he runs beside them in a black coat, and with a book under his arm.	When the university students come from the lectures, he runs beside them in a black coat, and with a book under his arm.	true	289.76	297.31	18.945534
439_122809_000020_000002	It is quite impossible for them to know him, and they walk along with him arm in arm, as if he, too, were a student like themselves; and then, unperceived, he thrusts an arrow to their bosom.	It is quite impossible for them to know him, and they walk along with him arm in arm, as if he, too, were a student like themselves; and then, unperceived, he thrusts an arrow to their bosom.	false	297.65	311.29	20.142561
439_122809_000020_000003	When the young maidens come from being examined by the clergyman, or go to church to be confirmed, there he is again close behind them.	When the young maidens come from being examined by the clergyman, or go to church to be confirmed, there he is again close behind them.	false	311.84	320.77	21.964573
439_122809_000020_000004	Yes, he is forever following people.	Yes, he is forever following people.	true	321.29	324.16	20
439_122809_000020_000005	At the play, he sits in the great chandelier and burns in bright flames, so that people think it is really a flame, but they soon discover it is something else.	At the play, he sits in the great chandelier and burns in bright flames, so that people think it is really a flame, but they soon discover it is something else.	false	324.65	335.86	18.903856
439_122809_000020_000006	He roves about in the garden of the palace and upon the ramparts: yes, once he even shot your father and mother right in the heart.	He roves about in the garden of the palace and upon the ramparts: yes, once he even shot your father and mother right in the heart.	true	336.47	345.58	17.956057
439_122809_000020_000007	Ask them only and you will hear what they'll tell you.	Ask them only and you will hear what they'll tell you.	true	345.77	348.88	21.332212
439_122809_000020_000008	Oh, he is a naughty boy, that Cupid; you must never have anything to do with him.	Oh, he is a naughty boy, that Cupid; you must never have anything to do with him.	true	349.61	355.48	19.853052
439_122809_000020_000009	He is forever running after everybody.	He is forever running after everybody.	true	355.88	358.63	21
439_122809_000020_000010	Only think, he shot an arrow once at your old grandmother!	Only think, he shot an arrow once at your old grandmother!	true	359.27	363.46	20.00179
439_122809_000020_000011	But that is a long time ago, and it is all past now; however, a thing of that sort she never forgets.	But that is a long time ago, and it is all past now; however, a thing of that sort she never forgets.	true	363.98	371.95	22.027254
439_122809_000020_000012	Fie, naughty Cupid!	Fie, naughty Cupid!	true	373.13	375.13	19.283905
439_122809_000020_000013	But now you know him, and you know, too, how ill-behaved he is!	But now you know him, and you know, too, how ill behaved he is!	false	375.68	386.13	18.38626
