2589_22574_000009_000000	BY GEORGE MACDONALD	BY GEORGE MACDONALD
2589_22574_000044_000000	'But think of those whom we must leave behind us, master Herbert. How will it fare with them?' said the lady in troubled tone, and glancing in the direction of the window.	'But think of those whom we must leave behind us, master Herbert. How will it fare with them?' said the lady in troubled tone, and glancing in the direction of the window.
2589_22574_000045_000000	In the window sat a girl, gazing from it with the look of a child who had uttered all her incantations, and could imagine no abatement in the steady rain-pour.	In the window sat a girl, gazing from it with the look of a child who had uttered all her incantations, and could imagine no abatement in the steady rain pour.
2589_22574_000046_000000	'We shall leave behind us strong hearts and sound heads too,' said Mr. Herbert. 'And I bethink me there will be none stronger or sounder than those of your young cousins, my late pupils, of whom I hear brave things from Oxford, and in whose affection my spirit constantly rejoices.'	'We shall leave behind us strong hearts and sound heads too,' said mr Herbert. 'And I bethink me there will be none stronger or sounder than those of your young cousins, my late pupils, of whom I hear brave things from Oxford, and in whose affection my spirit constantly rejoices.'
2589_22574_000047_000000	'You will be glad to hear such good news of your relatives, Dorothy,' said the lady, addressing her daughter.	'You will be glad to hear such good news of your relatives, Dorothy,' said the lady, addressing her daughter.
2589_22574_000048_000000	Even as she said the words, the setting sun broke through the mass of grey cloud, and poured over the earth a level flood of radiance, in which the red wheat glowed, and the drops that hung on every ear flashed like diamonds.	Even as she said the words, the setting sun broke through the mass of grey cloud, and poured over the earth a level flood of radiance, in which the red wheat glowed, and the drops that hung on every ear flashed like diamonds.
2589_22574_000048_000001	The girl's hair caught it as she turned her face to answer her mother, and an aureole of brown-tinted gold gleamed for a moment about her head.	The girl's hair caught it as she turned her face to answer her mother, and an aureole of brown tinted gold gleamed for a moment about her head.
2589_22574_000050_000001	But the girl rose, and, turning again to the window, stood for a moment rapt in the transfiguration passing upon the world.	But the girl rose, and, turning again to the window, stood for a moment rapt in the transfiguration passing upon the world.
2589_22574_000050_000002	The vault of grey was utterly shattered, but, gathering glory from ruin, was hurrying in rosy masses away from under the loftier vault of blue.	The vault of grey was utterly shattered, but, gathering glory from ruin, was hurrying in rosy masses away from under the loftier vault of blue.
2589_22574_000050_000003	The ordered shocks upon twenty fields sent their long purple shadows across the flush; and the evening wind, like the sighing that follows departed tears, was shaking the jewels from their feathery tops.	The ordered shocks upon twenty fields sent their long purple shadows across the flush; and the evening wind, like the sighing that follows departed tears, was shaking the jewels from their feathery tops.
2589_22574_000050_000004	The sunflowers and hollyhocks no longer cowered under the tyranny of the rain, but bowed beneath the weight of the gems that adorned them.	The sunflowers and hollyhocks no longer cowered under the tyranny of the rain, but bowed beneath the weight of the gems that adorned them.
2589_22574_000050_000005	A flame burned as upon an altar on the top of every tree, and the very pools that lay on the distant road had their message of light to give to the hopeless earth.	A flame burned as upon an altar on the top of every tree, and the very pools that lay on the distant road had their message of light to give to the hopeless earth.
2589_22574_000050_000006	As she gazed, another hue than that of the sunset, yet rosy too, gradually flushed the face of the maiden. She turned suddenly from the window, and left the room, shaking a shower of diamonds from the honeysuckle as she passed out through the porch upon the gravel walk.	As she gazed, another hue than that of the sunset, yet rosy too, gradually flushed the face of the maiden. She turned suddenly from the window, and left the room, shaking a shower of diamonds from the honeysuckle as she passed out through the porch upon the gravel walk.
2589_22574_000051_000000	Possibly her elders found her departure a relief, for although they took no notice of it, their talk became more confidential, and was soon mingled with many names both of rank and note, with a familiarity which to a stranger might have seemed out of keeping with the humbler character of their surroundings.	Possibly her elders found her departure a relief, for although they took no notice of it, their talk became more confidential, and was soon mingled with many names both of rank and note, with a familiarity which to a stranger might have seemed out of keeping with the humbler character of their surroundings.
2589_22574_000052_000000	But when Dorothy Vaughan had passed a corner of the house to another garden more ancient in aspect, and in some things quaint even to grotesqueness, she was in front of a portion of the house which indicated a far statelier past--closed and done with, like the rooms within those shuttered windows.	But when Dorothy Vaughan had passed a corner of the house to another garden more ancient in aspect, and in some things quaint even to grotesqueness, she was in front of a portion of the house which indicated a far statelier past-closed and done with, like the rooms within those shuttered windows.
2589_22574_000052_000002	Such, however, was the character of lady Vaughan, that, although she mingled little with the great families in the neighbourhood, she was so much respected, that she would have been a welcome visitor to most of them.	Such, however, was the character of lady Vaughan, that, although she mingled little with the great families in the neighbourhood, she was so much respected, that she would have been a welcome visitor to most of them.
2589_22574_000053_000000	The reverend Mr. Matthew Herbert was a clergyman from the Welsh border, a man of some note and influence, who had been the personal friend both of his late relative George Herbert and of the famous Dr. Donne.	The reverend mr matthew Herbert was a clergyman from the Welsh border, a man of some note and influence, who had been the personal friend both of his late relative George Herbert and of the famous dr Donne.
2589_22574_000053_000001	Strongly attached to the English church, and recoiling with disgust from the practices of the puritans--as much, perhaps, from refinement of taste as abhorrence of schism--he had never yet fallen into such a passion for episcopacy as to feel any cordiality towards the schemes of the archbishop.	Strongly attached to the English church, and recoiling with disgust from the practices of the puritans-as much, perhaps, from refinement of taste as abhorrence of schism-he had never yet fallen into such a passion for episcopacy as to feel any cordiality towards the schemes of the archbishop.
2589_22574_000053_000002	To those who knew him his silence concerning it was a louder protest against the policy of Laud than the fiercest denunciations of the puritans.	To those who knew him his silence concerning it was a louder protest against the policy of Laud than the fiercest denunciations of the puritans.
