7538_100045_000000_000000	The big race for the ten-thousand-dollar prize was under way!	The big race for the ten thousand dollar prize was under way!	false	9.24	22.335	20.807423
7538_100045_000029_000003	Eagerly Tom waited for the right signal.	Eagerly Tom waited for the right signal.	true	319.19	321.31	21
7538_100045_000030_000000	Suddenly the wireless began buzzing again.	Suddenly the wireless began buzzing again.	true	322.16	324.3	16
7538_100045_000030_000001	Quickly the young inventor clamped the receiver to his ear.	Quickly the young inventor clamped the receiver to his ear.	true	324.3	326.95	22
7538_100045_000030_000002	Mr. Damon saw him turn pale.	mr Damon saw him turn pale.	true	327.08	329.05	20.23269
7538_100045_000031_000000	"Dr. Gladby says dad has a turn for the worse.	"dr Gladby says dad has a turn for the worse.	true	329.45	331.95	21
7538_100045_000031_000001	There is little hope," translated Tom.	There is little hope," translated Tom.	true	331.95	334.18	20.541641
7538_100045_000032_000000	"Will you--are you going to quit?" asked Mr. Damon.	"Will you-are you going to quit?" asked mr Damon.	true	334.46	338.05	27.086996
7538_100045_000033_000000	Tom shook his head.	Tom shook his head.	true	338.18	339.225	24.591198
7538_100045_000034_000000	"No!" he cried.	"No!" he cried.	true	339.225	340.47	18.241331
7538_100045_000034_000001	"My father has become unconscious, so Mr. Jackson says, but his last words were to me: 'Tell Tom to win the race!' And I'm going to do it!"	"My father has become unconscious, so mr Jackson says, but his last words were to me: 'Tell Tom to win the race!' And I'm going to do it!"	true	340.47	348.25	21.56999
7538_100045_000035_000000	Tom suddenly changed his plans.	Tom suddenly changed his plans.	true	348.74	350.8	22
7538_100045_000035_000001	There was to be no waiting for the signal now.	There was to be no waiting for the signal now.	true	350.9	353.35	18
7538_100045_000035_000002	He would begin his final spurt, and if possible finish the hundred miles at his utmost speed, win the race and then hasten to his father's side.	He would begin his final spurt, and if possible finish the hundred miles at his utmost speed, win the race and then hasten to his father's side.	true	353.36	360.52	20
7538_100045_000036_000000	With a menacing roar the motor of the Humming-Bird took up the additional power that Tom sent into her.	With a menacing roar the motor of the Humming Bird took up the additional power that Tom sent into her.	true	361.01	365.91	18
7538_100045_000036_000001	She shot ahead like an eagle darting after his prey.	She shot ahead like an eagle darting after his prey.	true	365.91	368.95	20
7538_100045_000036_000002	Tom opened up a big gap between his machine and the one nearest him, which, at that moment, was the Antoinette, with the Spaniard driving her.	Tom opened up a big gap between his machine and the one nearest him, which, at that moment, was the Antoinette, with the Spaniard driving her.	true	369.23	375.64	20
7538_100045_000037_000000	"Now to win!" cried Tom, grimly.	"Now to win!" cried Tom, grimly.	true	375.92	378.22	21.361513
7538_100045_000038_000000	Surely no race was ever flown as was that one!	Surely no race was ever flown as was that one!	true	378.8	382.33	17.37174
7538_100045_000038_000001	Tom flashed through the air so quickly that his speed was almost incredible.	Tom flashed through the air so quickly that his speed was almost incredible.	true	382.46	386.62	20
7538_100045_000038_000002	The gage registered one hundred and thirty miles an hour!	The gage registered one hundred and thirty miles an hour!	true	386.75	390.55	17.7424
7538_100045_000039_000000	Down below in the grand stands, and on the aviation field, there were yells of approval--of wonder--of fear.	Down below in the grand stands, and on the aviation field, there were yells of approval-of wonder-of fear.	false	391.01	397.15	19.418716
7538_100045_000039_000001	But Tom and Mr. Damon could not hear them.	But Tom and mr Damon could not hear them.	true	397.58	399.84	22
7538_100045_000039_000002	They only heard the powerful song of the motor.	They only heard the powerful song of the motor.	true	399.84	402.16	20.95668
7538_100045_000040_000000	Faster and faster flew the Humming-Bird.	Faster and faster flew the Humming Bird.	true	402.71	405.04	20.788914
7538_100045_000040_000001	Tom looked down, and saw the signal put up which meant that there were but three miles more to go. He felt that he could do it.	Tom looked down, and saw the signal put up which meant that there were but three miles more to go. He felt that he could do it.	true	405.05	410.715	21.939888
7538_100045_000040_000002	He was half a lap ahead of them all now. But he saw Andy Foger's machine pulling away from the bunch.	He was half a lap ahead of them all now. But he saw Andy Foger's machine pulling away from the bunch.	true	410.715	415.87	22.179693
7538_100045_000041_000000	"He's going to try to catch me!" exulted Tom.	"He's going to try to catch me!" exulted Tom.	true	416.18	418.72	21.228165
7538_100045_000042_000000	Then something happened.	Then something happened.	true	418.97	420.31	18.961523
7538_100045_000042_000001	The motor of the Humming-Bird suddenly slackened its speed, it missed explosions, and the trim little craft began to drop behind.	The motor of the Humming Bird suddenly slackened its speed, it missed explosions, and the trim little craft began to drop behind.	true	420.35	426.52	20
7538_100045_000043_000000	"What's the matter?" cried Mr. Damon.	"What's the matter?" cried mr Damon.	true	427.1	429.19	24.18563
7538_100045_000044_000000	"Three of the cylinders are out of business!" yelled Tom.	"Three of the cylinders are out of business!" yelled Tom.	true	429.5	432.015	18.070446
7538_100045_000044_000001	"We're done for, I guess."	"We're done for, I guess."	true	432.015	433.3	20.297272
7538_100045_000045_000000	On came the other machines, Andy in the lead, then the Santos-Dumont, then the Farman, and lastly the Wright.	On came the other machines, Andy in the lead, then the Santos Dumont, then the Farman, and lastly the Wright.	true	433.85	440.11	21.53122
7538_100045_000045_000001	They saw the plight of the Humming-Bird and determined to beat her.	They saw the plight of the Humming Bird and determined to beat her.	true	440.54	443.41	20
7538_100045_000045_000002	Tom cast a despairing look up at the motor.	Tom cast a despairing look up at the motor.	true	443.51	445.96	23
7538_100045_000045_000003	There was nothing to be done.	There was nothing to be done.	true	446.15	447.825	19
7538_100045_000045_000004	He could not reach it in mid-air.	He could not reach it in mid-air.	true	447.825	449.44	21.981339
7538_100045_000045_000005	He could only keep on, crippled as he was, and trust to luck.	He could only keep on, crippled as he was, and trust to luck.	false	449.48	452.56	21.967169
7538_100045_000046_000000	Andy passed by his rival with an evil smile on his ugly face.	Andy passed by his rival with an evil smile on his ugly face.	true	453.11	456.61	15
7538_100045_000046_000001	Then the Antoinette flashed by.	Then the Antoinette flashed by.	true	456.77	458.34	24.134445
7538_100045_000046_000002	In turn all the others left Tom in the rear.	In turn all the others left Tom in the rear.	false	458.34	461.16	17.955868
7538_100045_000046_000003	His heart was like lead.	His heart was like lead.	true	461.16	462.735	20.80883
7538_100045_000046_000004	Mr. Damon gazed blankly forward.	mr Damon gazed blankly forward.	true	462.735	464.85	21
7538_100045_000046_000005	They were beaten. It did not seem possible.	They were beaten. It did not seem possible.	true	464.85	467.44	21.98815
7538_100045_000047_000000	There was but a single chance.	There was but a single chance.	true	468.17	469.93	20.082851
7538_100045_000047_000001	If Tom shut off all power, coasted for a moment, and then, ere the propeller had ceased revolving, if he could start the motor on the spark, the silent cylinders might pick up, with the others, and begin again.	If Tom shut off all power, coasted for a moment, and then, ere the propeller had ceased revolving, if he could start the motor on the spark, the silent cylinders might pick up, with the others, and begin again.	true	469.97	481.12	22.850143
7538_100045_000047_000002	He would try it.	He would try it.	true	481.55	482.59	24.119104
7538_100045_000047_000003	They could be no worse off than they were.	They could be no worse off than they were.	true	482.72	484.66	23.076595
7538_100045_000048_000000	"A mile behind!" gasped Tom.	"A mile behind!" gasped Tom.	true	485.06	487.33	20.293839
7538_100045_000048_000001	"It's a long chance, but I'll take it."	"It's a long chance, but I'll take it."	true	487.34	489.04	22.894844
7538_100045_000049_000000	He shut off the power.	He shut off the power.	true	489.56	490.96	24.033756
7538_100045_000049_000001	The motor was silent, the Humming-Bird began to fall.	The motor was silent, the Humming Bird began to fall.	true	491	493.875	18.253195
7538_100045_000049_000002	But ere she had gone down ten feet Tom suddenly switched on the batteries.	But ere she had gone down ten feet Tom suddenly switched on the batteries.	true	493.875	497.53	18
7538_100045_000049_000003	There was a moment of silence, and then came the welcome roar that told of the rekindled motor.	There was a moment of silence, and then came the welcome roar that told of the rekindled motor.	true	497.84	502.215	15
7538_100045_000049_000004	And such a roar as it was!	And such a roar as it was!	true	502.215	504.16	20
7538_100045_000049_000005	Every cylinder was exploding as though none of them had ever stopped!	Every cylinder was exploding as though none of them had ever stopped!	false	504.59	508.39	20.422543
7538_100045_000050_000000	"We did it!" yelled Tom.	"We did it!" yelled Tom.	true	508.52	510.27	28.150675
7538_100045_000050_000001	Opening up at full speed, he sent the sky racer on the course to overtake and pass his rivals.	Opening up at full speed, he sent the sky racer on the course to overtake and pass his rivals.	false	510.27	515.23	22.661766
7538_100045_000051_000000	Slowly he crept on them.	Slowly he crept on them.	true	515.6	517.3	21.579584
7538_100045_000051_000001	They looked back and saw him coming.	They looked back and saw him coming.	true	517.31	519.01	24.27798
7538_100045_000051_000002	They tried to put on more speed, but it was impossible.	They tried to put on more speed, but it was impossible.	true	519.02	521.44	23.381086
7538_100045_000051_000003	Andy Foger was in the lead.	Andy Foger was in the lead.	true	521.51	523.005	17.70158
7538_100045_000051_000004	He was being slowly overhauled by the Santos-Dumont, with the queer tail-rudders.	He was being slowly overhauled by the Santos Dumont, with the queer tail rudders.	true	523.005	527.11	19
7538_100045_000052_000000	"I'll get him!" muttered Tom.	"I'll get him!" muttered Tom.	true	527.36	528.915	24.37712
7538_100045_000052_000001	"I'll pass 'em all!"	"I'll pass 'em all!"	true	528.915	530.05	25.261953
7538_100045_000053_000000	And he did.	And he did.	true	530.39	531.34	26.070076
7538_100045_000053_000001	With a wonderful burst of speed the little Humming-Bird overtook one after another of her larger rivals, and passed them.	With a wonderful burst of speed the little Humming Bird overtook one after another of her larger rivals, and passed them.	true	531.47	537.37	17
7538_100045_000053_000002	Then she crept up on Andy's Slugger.	Then she crept up on Andy's Slugger.	true	537.5	539.83	24.108097
7538_100045_000054_000000	In an instant more it was done, and, a good length in advance of the Foger craft, Tom shot over the finish line a winner, richer by ten thousand dollars, and, not only that, but he had picked up a mile that had been lost, and had snatched victory from almost certain defeat.	In an instant more it was done, and, a good length in advance of the Foger craft, Tom shot over the finish line a winner, richer by ten thousand dollars, and, not only that, but he had picked up a mile that had been lost, and had snatched victory from almost certain defeat.	true	540.23	554.71	22.264093
7538_100045_000055_000000	There was a succession of thundering cheers as he shut off the motor, and volplaned to earth, but he paid little attention to them.	There was a succession of thundering cheers as he shut off the motor, and volplaned to earth, but he paid little attention to them.	false	555.38	561.4	18
7538_100045_000055_000001	He brought his craft to a stop just as the wireless on it buzzed again.	He brought his craft to a stop just as the wireless on it buzzed again.	true	561.41	565	18
7538_100045_000056_000000	He listened with a look of pain on his face.	He listened with a look of pain on his face.	true	565.52	567.67	14
7538_100045_000057_000000	"My father is dying," he said simply.	"My father is dying," he said simply.	true	568.13	570.31	10
7538_100045_000057_000001	"I must go to him.	"I must go to him.	true	570.65	571.81	11
7538_100045_000057_000002	Mr. Damon, will you fill the tanks with oil and gasoline, while I send off a message?"	mr Damon, will you fill the tanks with oil and gasoline, while I send off a message?"	true	571.82	575.8	14
7538_100045_000058_000000	"Oil and gasoline," murmured the odd man, while hundreds pressed up to congratulate Tom Swift "What are you going to do?"	"Oil and gasoline," murmured the odd man, while hundreds pressed up to congratulate Tom Swift "What are you going to do?"	true	576.47	583.54	19
7538_100045_000059_000000	"I'm going to my father in the Humming-Bird," said Tom.	"I'm going to my father in the Humming Bird," said Tom.	true	584.12	586.455	19
7538_100045_000059_000001	"It's the only way I can see him alive," and he began to click off a message to Mr. Jackson, stating that he had won the race and was going to fly to Shopton, while Mr. Damon and several others replenished the fuel and oil of the aeroplane.	"It's the only way I can see him alive," and he began to click off a message to mr Jackson, stating that he had won the race and was going to fly to Shopton, while mr Damon and several others replenished the fuel and oil of the aeroplane.	true	586.455	597.52	15
7538_100045_000060_000000	Tom Swift had won one race.	Tom Swift had won one race.	true	598.25	600.28	16
7538_100045_000060_000001	Could he win the other?	Could he win the other?	false	600.41	608.88	15.834743
