7932_278228_000000_000000	And this was all that came of Laura Jocelyn's search for her father's portrait.	And this was all that came of Laura Jocelyn's search for her father's portrait.	false	3.48	16.125	22.42035
7932_278228_000012_000000	There could be only one reason for the sudden change in her sentiments about Henry Dunbar: the millionaire had bribed her to silence!	There could be only one reason for the sudden change in her sentiments about Henry Dunbar: the millionaire had bribed her to silence!	true	142.7	150.04	19.173702
7932_278228_000012_000001	This girl, who seemed the very incarnation of purity and candour, had her price, perhaps, as well as other people, and Henry Dunbar had bought the silence of his victim's daughter.	This girl, who seemed the very incarnation of purity and candour, had her price, perhaps, as well as other people, and Henry Dunbar had bought the silence of his victim's daughter.	true	150.29	161.74	21.477238
7932_278228_000013_000000	"It was the knowledge of this business that made her shrink away from me that night when she told me that she was a contaminated creature, unfit to be the associate of an honest man Oh, Margaret, Margaret!	"It was the knowledge of this business that made her shrink away from me that night when she told me that she was a contaminated creature, unfit to be the associate of an honest man Oh, Margaret, Margaret!	true	161.99	173.38	22
7932_278228_000013_000001	poverty must indeed be a bitter school if it has prepared you for such degradation as this!"	poverty must indeed be a bitter school if it has prepared you for such degradation as this!"	true	173.51	179.41	20
7932_278228_000014_000000	The longer Clement thought of the subject, the more certainly he arrived at the conclusion that Margaret Wilmot had been, either bribed or frightened into silence by Henry Dunbar.	The longer Clement thought of the subject, the more certainly he arrived at the conclusion that Margaret Wilmot had been, either bribed or frightened into silence by Henry Dunbar.	true	180.29	190.33	20
7932_278228_000014_000001	It might be that the banker had terrified this unhappy girl by some awful threat that had preyed upon her mind, and driven her from the man who loved her, whom she loved perhaps, in spite of those heartless words which she had spoken in the bitter hour of their parting.	It might be that the banker had terrified this unhappy girl by some awful threat that had preyed upon her mind, and driven her from the man who loved her, whom she loved perhaps, in spite of those heartless words which she had spoken in the bitter hour of their parting.	true	190.55	205.635	20
7932_278228_000015_000000	Clement could not thoroughly believe in the baseness of the woman he had trusted.	Clement could not thoroughly believe in the baseness of the woman he had trusted.	true	205.635	209.56	19
7932_278228_000015_000001	Again and again he went over the same ground, trying to find some lurking circumstance, no matter how unlikely in its nature, which should explain and justify Margaret's conduct.	Again and again he went over the same ground, trying to find some lurking circumstance, no matter how unlikely in its nature, which should explain and justify Margaret's conduct.	true	209.6	220.69	21
7932_278228_000016_000000	Sometimes in his dreams he saw the familiar face looking at him with pensive, half-reproachful glances; and then a dark figure that was strange to him came between him and that gentle shadow, and thrust the vision away with a ruthless hand.	Sometimes in his dreams he saw the familiar face looking at him with pensive, half reproachful glances; and then a dark figure that was strange to him came between him and that gentle shadow, and thrust the vision away with a ruthless hand.	false	221.24	235.12	19.711124
7932_278228_000016_000001	At last, by dint of going over the ground again and again, always pleading Margaret's cause against the stern witness of cruel facts, Clement came to look upon the girl's innocence as a settled thing.	At last, by dint of going over the ground again and again, always pleading Margaret's cause against the stern witness of cruel facts, Clement came to look upon the girl's innocence as a settled thing.	true	235.52	248.08	22
7932_278228_000017_000000	There was falsehood and treachery in the business, but Margaret Wilmot was neither false nor treacherous.	There was falsehood and treachery in the business, but Margaret Wilmot was neither false nor treacherous.	true	248.27	254.35	18
7932_278228_000017_000001	There was a mystery, and Henry Dunbar was at the bottom of it.	There was a mystery, and Henry Dunbar was at the bottom of it.	true	254.6	258.88	20.673597
7932_278228_000018_000000	"It seems as if the spirit of the murdered man troubled our lives, and cried to us for vengeance," Clement thought.	"It seems as if the spirit of the murdered man troubled our lives, and cried to us for vengeance," Clement thought.	false	259.13	265.48	21.45006
7932_278228_000018_000001	"There will be no peace for us until the secret of the deed done in the grove near Winchester has been brought to light."	"There will be no peace for us until the secret of the deed done in the grove near Winchester has been brought to light."	true	265.82	271.87	21.256552
7932_278228_000019_000000	This thought, working night and day in Clement Austin's brain, gave rise to a fixed resolve.	This thought, working night and day in Clement Austin's brain, gave rise to a fixed resolve.	true	272.24	278.2	22.958708
7932_278228_000019_000001	Before he went back to the quiet routine of life, he set himself a task to accomplish, and that task was the solution of the Winchester mystery.	Before he went back to the quiet routine of life, he set himself a task to accomplish, and that task was the solution of the Winchester mystery.	true	278.21	287.32	21.8455
7932_278228_000020_000000	On the very day after this resolution took a definite form, Clement received a letter from Margaret Wilmot.	On the very day after this resolution took a definite form, Clement received a letter from Margaret Wilmot.	true	287.78	293.41	21.707603
7932_278228_000020_000001	The sight of the well-known writing gave him a shock of mingled surprise and hope, and his fingers were faintly tremulous as they tore open the envelope.	The sight of the well-known writing gave him a shock of mingled surprise and hope, and his fingers were faintly tremulous as they tore open the envelope.	true	293.6	301.63	22.314232
7932_278228_000020_000002	The letter was carefully worded, and very brief.	The letter was carefully worded, and very brief.	true	301.76	304.74	26.598925
7932_278228_000021_000000	"_You are a good man, Mr. Austin_," Margaret wrote; "_and though you have reason to despise me, I do not think you will refuse to receive my testimony in favour of another who has been falsely suspected of a terrible crime, and who has need of justification.	"underscore You are a good man, mr Austin underscore," Margaret wrote; "underscore and though you have reason to despise me, I do not think you will refuse to receive my testimony in favour of another who has been falsely suspected of a terrible crime, and who has need of justification.	false	304.74	320.5	20.083363
7932_278228_000021_000001	Henry Dunbar was not the murderer of my father.	Henry Dunbar was not the murderer of my father.	true	321.08	324.645	21.322947
7932_278228_000021_000002	As Heaven is my witness, this is the truth, and I know it to be the truth.	As Heaven is my witness, this is the truth, and I know it to be the truth.	true	324.645	329.47	24.325169
7932_278228_000021_000003	Let this knowledge content you, and allow the secret of the murder to remain for ever a mystery upon earth, God knows the truth, and has doubtless punished the wretched sinner who was guilty of that crime, as He punishes every other sinner, sooner or later, in the course of His ineffable wisdom.	Let this knowledge content you, and allow the secret of the murder to remain for ever a mystery upon earth, God knows the truth, and has doubtless punished the wretched sinner who was guilty of that crime, as He punishes every other sinner, sooner or later, in the course of His ineffable wisdom.	true	329.87	345.49	21.766018
7932_278228_000021_000004	Leave the sinner, wherever he may be hidden, to the judgment of God, which penetrates every hiding-place; and forget that you have ever known me, or my miserable story._	Leave the sinner, wherever he may be hidden, to the judgment of God, which penetrates every hiding place; and forget that you have ever known me, or my miserable story.underscore	false	345.71	356.61	22.46319
7932_278228_000022_000000	"MARGARET WILMOT."	"MARGARET WILMOT."	true	356.61	357.79	28.344988
7932_278228_000023_000000	Even this letter did not shake Clement Austin's resolution.	Even this letter did not shake Clement Austin's resolution.	true	358.19	361.51	17.119068
7932_278228_000024_000000	"No, Margaret," he thought; "even your pleading shall not turn me from my purpose.	"No, Margaret," he thought; "even your pleading shall not turn me from my purpose.	true	361.76	367.18	27.47145
7932_278228_000024_000001	Besides, how can I tell in what manner this letter may have been written?	Besides, how can I tell in what manner this letter may have been written?	true	367.28	371.23	22.342167
7932_278228_000024_000002	It may have been written at Henry Dunbar's dictation, and under coercion.	It may have been written at Henry Dunbar's dictation, and under coercion.	true	371.45	375.4	23.466187
7932_278228_000024_000003	Be it as it may, the mystery of the Winchester murder shall be set at rest, if patience or intelligence can solve the enigma. No mystery shall separate me from the woman I love."	Be it as it may, the mystery of the Winchester murder shall be set at rest, if patience or intelligence can solve the enigma. No mystery shall separate me from the woman I love."	true	375.68	386.8	21.815853
7932_278228_000025_000000	Clement put Margaret's letter in his pocket, and went straight to Scotland Yard, where he obtained an introduction to a businesslike-looking man, short and stoutly built, with close-cropped hair, very little shirt-collar, a shabby black satin stock, and a coat buttoned tightly across the chest.	Clement put Margaret's letter in his pocket, and went straight to Scotland Yard, where he obtained an introduction to a businesslike looking man, short and stoutly built, with close cropped hair, very little shirt collar, a shabby black satin stock, and a coat buttoned tightly across the chest.	false	387.23	403.74	24.530266
7932_278228_000025_000001	He was a man whose appearance was something between the aspect of a shabby-genteel half-pay captain and an unlucky stockbroker: but Clement liked the steady light of his small grey eyes, and the decided expression of his thin lips and prominent chin.	He was a man whose appearance was something between the aspect of a shabby genteel half pay captain and an unlucky stockbroker: but Clement liked the steady light of his small grey eyes, and the decided expression of his thin lips and prominent chin.	true	403.74	418.63	20
7932_278228_000026_000000	The detective business happened to be rather dull just now.	The detective business happened to be rather dull just now.	true	419.12	422.17	20
7932_278228_000026_000001	There was nothing stirring but a Bank-of-England forgery case; and Mr. Carter informed Clement that there were more cats in Scotland Yard than could find mice to kill.	There was nothing stirring but a Bank of England forgery case; and mr Carter informed Clement that there were more cats in Scotland Yard than could find mice to kill.	true	422.3	431.02	17
7932_278228_000026_000002	Under these circumstances, Mr. Carter was able to enter into Clement's views, and sequestrate himself for a short period for the more deliberate investigation of the Winchester business.	Under these circumstances, mr Carter was able to enter into Clement's views, and sequestrate himself for a short period for the more deliberate investigation of the Winchester business.	true	431.15	441.13	18
7932_278228_000027_000000	"I'll look up a file of newspapers, and run my eye over the details of the case," said the detective.	"I'll look up a file of newspapers, and run my eye over the details of the case," said the detective.	true	441.44	447.19	23.7447
7932_278228_000027_000001	"I was away in Glasgow, hunting up the particulars of the great Scotch-plaid robberies, all last summer, and I can't say I remember much of what was done in the Wilmot business.	"I was away in Glasgow, hunting up the particulars of the great Scotch plaid robberies, all last summer, and I can't say I remember much of what was done in the Wilmot business.	true	447.44	456.97	21.223326
7932_278228_000027_000002	Mr. Dunbar himself offered a reward for the apprehension of the guilty party, didn't he?"	mr Dunbar himself offered a reward for the apprehension of the guilty party, didn't he?"	true	457.28	461.68	21.832321
7932_278228_000028_000000	"Yes; but that might be a blind."	"Yes; but that might be a blind."	true	462.2	464.47	23.49753
7932_278228_000029_000000	"Oh, of course it might; but then, on the other hand, it mightn't.	"Oh, of course it might; but then, on the other hand, it mightn't.	false	464.72	469.23	24.050732
7932_278228_000029_000001	You must always look at these sort of things from every point of view.	You must always look at these sort of things from every point of view.	true	469.23	472.33	20.410728
7932_278228_000029_000002	Start with a conviction of the man's guilt, and you'll go hunting up evidence to bolster that conviction.	Start with a conviction of the man's guilt, and you'll go hunting up evidence to bolster that conviction.	true	472.55	477.64	22.161957
7932_278228_000029_000003	My plan is to begin at the beginning; learn the alphabet of the case, and work up into the syntax and prosody."	My plan is to begin at the beginning; learn the alphabet of the case, and work up into the syntax and prosody."	true	477.74	483.85	23.973562
7932_278228_000030_000000	"I should like to help you in this business," Clement Austin said, "for I have a vital interest in the issue of the case."	"I should like to help you in this business," Clement Austin said, "for I have a vital interest in the issue of the case."	true	484.28	490.66	21.69964
7932_278228_000031_000000	"You're rather more likely to hinder than help, sir," Mr. Carter answered, with a smile; "but you're welcome to have a finger in the pie if you like, as long as you'll engage to hold your tongue when I tell you."	"You're rather more likely to hinder than help, sir," mr Carter answered, with a smile; "but you're welcome to have a finger in the pie if you like, as long as you'll engage to hold your tongue when I tell you."	true	490.88	502.78	20.99291
7932_278228_000032_000000	Clement promised to be the very spirit of discretion.	Clement promised to be the very spirit of discretion.	true	502.88	505.9	17.930014
7932_278228_000032_000001	The detective called upon him two days after the interview at Scotland Yard.	The detective called upon him two days after the interview at Scotland Yard.	true	506.36	510.99	24.316145
7932_278228_000033_000000	"I've read-up the Wilmot case, sir," Mr. Carter said; "and I think the next best thing I can do is to see the scene of the murder.	"I've read up the Wilmot case, sir," mr Carter said; "and I think the next best thing I can do is to see the scene of the murder.	true	510.99	518.16	24.930313
7932_278228_000033_000001	I shall start for Winchester to-morrow morning."	I shall start for Winchester to morrow morning."	false	518.16	520.72	22.120907
7932_278228_000034_000000	"Then I'll go with you," Clement said, promptly.	"Then I'll go with you," Clement said, promptly.	true	521.12	523.935	24.860884
7932_278228_000035_000000	"So be it, Mr. Austin.	"So be it, mr Austin.	true	523.935	525.51	23.41922
7932_278228_000035_000001	You may as well bring your cheque-book while you're about it, for this sort of thing is apt to come rather expensive."	You may as well bring your cheque book while you're about it, for this sort of thing is apt to come rather expensive."	false	525.51	531.96	23.431107
7932_278228_000036_000000	CHAPTER XXXVIII.	CHAPTER thirty eight.	false	531.96	533.07	21
7932_278228_000037_000000	NOTES FROM A JOURNAL KEPT BY CLEMENT AUSTIN DURING HIS JOURNEY TO WINCHESTER.	NOTES FROM A JOURNAL KEPT BY CLEMENT AUSTIN DURING HIS JOURNEY TO WINCHESTER.	false	533.07	538.35	32.970604
