2573_186232_000000_000000	CHAPTER XIX.	CHAPTER nineteen.
2573_186232_000026_000004	Always I would think that if you had not been hard and miserly this same money would have saved my mother's life.	Always I would think that if you had not been hard and miserly this same money would have saved my mother's life.
2573_186232_000026_000005	No!	No!
2573_186232_000026_000006	I loathe your money.	I loathe your money.
2573_186232_000026_000007	Keep it or throw it to the dogs, if you won't give it to the boy it belongs to.	Keep it or throw it to the dogs, if you won't give it to the boy it belongs to.
2573_186232_000026_000008	But don't you dare to will your selfish hoard to me."	But don't you dare to will your selfish hoard to me."
2573_186232_000027_000000	"Let us change the subject, Patricia."	"Let us change the subject, Patricia."
2573_186232_000028_000000	"Will you change your will?"	"Will you change your will?"
2573_186232_000029_000000	"No.".	"no".
2573_186232_000030_000000	"Then I won't talk to you.	"Then I won't talk to you.
2573_186232_000030_000001	I'm angry and hurt, and if I stay here I'll say things I shall be sorry for."	I'm angry and hurt, and if I stay here I'll say things I shall be sorry for."
2573_186232_000031_000000	With these words she marched out of the room, her cheeks flaming, and Aunt Jane looked after her with admiring eyes.	With these words she marched out of the room, her cheeks flaming, and Aunt Jane looked after her with admiring eyes.
2573_186232_000032_000000	"She's right," she whispered to herself.	"She's right," she whispered to herself.
2573_186232_000033_000000	This interview was but the beginning of a series that lasted during the next fortnight, during which time the invalid persisted in sending for Patricia and fighting the same fight over and over again.	This interview was but the beginning of a series that lasted during the next fortnight, during which time the invalid persisted in sending for Patricia and fighting the same fight over and over again.
2573_186232_000033_000001	Always the girl pleaded for Kenneth to inherit, and declared she would not accept the money and Elmhurst; and always Aunt Jane stubbornly refused to consider the boy and tried to tempt the girl with pictures of the luxury and pleasure that riches would bring her.	Always the girl pleaded for Kenneth to inherit, and declared she would not accept the money and Elmhurst; and always Aunt Jane stubbornly refused to consider the boy and tried to tempt the girl with pictures of the luxury and pleasure that riches would bring her.
2573_186232_000034_000000	The interviews were generally short and spirited, however, and during the intervals Patsy associated more than ever with her cousins, both of whom grew really fond of her.	The interviews were generally short and spirited, however, and during the intervals Patsy associated more than ever with her cousins, both of whom grew really fond of her.
2573_186232_000035_000001	With Patsy out of the field it was quite possible the estate would be divided between her cousins, or even go entire to one or the other of them; and this hope constantly buoyed their spirits and filled their days with interest as they watched the fight between their aunt and their cousin.	With Patsy out of the field it was quite possible the estate would be divided between her cousins, or even go entire to one or the other of them; and this hope constantly buoyed their spirits and filled their days with interest as they watched the fight between their aunt and their cousin.
2573_186232_000036_000000	Patricia never told them she was pleading so hard for the boy.	Patricia never told them she was pleading so hard for the boy.
2573_186232_000037_000000	Aunt Jane was really worn out with the constant squabbling with her favorite niece.	Aunt Jane was really worn out with the constant squabbling with her favorite niece.
2573_186232_000037_000001	She had taken a turn for the worse, too, and began to decline rapidly.	She had taken a turn for the worse, too, and began to decline rapidly.
2573_186232_000037_000002	So, her natural cunning and determination to have her own way enhanced by her illness, the woman decided to deceive Patricia and enjoy her few remaining days in peace.	So, her natural cunning and determination to have her own way enhanced by her illness, the woman decided to deceive Patricia and enjoy her few remaining days in peace.
2573_186232_000038_000000	"Suppose," she said to Mr. Watson, "my present will stands, and after my death the estate becomes the property of Patricia.	"Suppose," she said to mr Watson, "my present will stands, and after my death the estate becomes the property of Patricia.
2573_186232_000038_000001	Can she refuse it?"	Can she refuse it?"
2573_186232_000039_000000	"Not legally," returned the lawyer.	"Not legally," returned the lawyer.
2573_186232_000039_000001	"It would remain in her name, but under my control, during her minority.	"It would remain in her name, but under my control, during her minority.
2573_186232_000040_000000	"By that time she will have gained more sense," declared Aunt Jane, much pleased with this aspect of the case, "and it isn't reasonable that having enjoyed a fortune for a time any girl would throw it away. I'll stick to my point, Silas, but I'll try to make Patricia believe she has won me over."	"By that time she will have gained more sense," declared Aunt Jane, much pleased with this aspect of the case, "and it isn't reasonable that having enjoyed a fortune for a time any girl would throw it away. I'll stick to my point, Silas, but I'll try to make Patricia believe she has won me over."
2573_186232_000041_000000	Therefore, the very next time that the girl pleaded with her to make Kenneth her heir, she said, with a clever assumption of resignation:	Therefore, the very next time that the girl pleaded with her to make Kenneth her heir, she said, with a clever assumption of resignation:
2573_186232_000043_000000	Patricia could scarcely believe her ears.	Patricia could scarcely believe her ears.
2573_186232_000044_000000	"Do you really mean it, aunt?" she asked, flushing red with pleasure.	"Do you really mean it, aunt?" she asked, flushing red with pleasure.
2573_186232_000045_000000	"I mean exactly what I say, and now let us cease all bickerings, my dear, and my few remaining days will be peaceful and happy."	"I mean exactly what I say, and now let us cease all bickerings, my dear, and my few remaining days will be peaceful and happy."
2573_186232_000046_000000	Patricia thanked her aunt with eager words, and said, as indeed she felt, that she could almost love Aunt Jane for her final, if dilatory, act of justice.	Patricia thanked her aunt with eager words, and said, as indeed she felt, that she could almost love Aunt Jane for her final, if dilatory, act of justice.
2573_186232_000047_000000	Mr. Watson chanced to enter the room at that moment, and the girl cried out:	mr Watson chanced to enter the room at that moment, and the girl cried out:
2573_186232_000048_000000	"Tell him, aunt!	"Tell him, aunt!
2573_186232_000048_000001	Let him get the paper ready at once."	Let him get the paper ready at once."
2573_186232_000049_000000	"There is no reason for haste," said Aunt Jane, meeting; the lawyer's questioning gaze with some embarrassment.	"There is no reason for haste," said Aunt Jane, meeting; the lawyer's questioning gaze with some embarrassment.
2573_186232_000050_000000	Silas Watson was an honorable and upright man, and his client's frequent doubtful methods had in past years met his severe censure. Yet he had once promised his dead friend, Tom Bradley, that he would serve Jane Merrick faithfully.	Silas Watson was an honorable and upright man, and his client's frequent doubtful methods had in past years met his severe censure. Yet he had once promised his dead friend, Tom Bradley, that he would serve Jane Merrick faithfully.
2573_186232_000051_000000	Her recent questionings had prepared him for some act of duplicity, but he had by no means understood her present object, nor did she mean that he should.	Her recent questionings had prepared him for some act of duplicity, but he had by no means understood her present object, nor did she mean that he should.
2573_186232_000051_000001	So she answered his questioning look by saying:	So she answered his questioning look by saying:
2573_186232_000053_000000	The lawyer regarded her with amazement.	The lawyer regarded her with amazement.
2573_186232_000053_000001	Then his brow darkened, for he thought she was playing with the girl, and was not sincere.	Then his brow darkened, for he thought she was playing with the girl, and was not sincere.
2573_186232_000054_000000	"Tell him to draw up the paper right away, aunt!" begged Patricia, with sparkling eyes.	"Tell him to draw up the paper right away, aunt!" begged Patricia, with sparkling eyes.
2573_186232_000055_000000	"As soon as you can, Silas," said the invalid.	"As soon as you can, Silas," said the invalid.
2573_186232_000056_000000	"And, aunt, can't you spare a little more to Louise and Beth?	"And, aunt, can't you spare a little more to Louise and Beth?
2573_186232_000056_000001	It would make them so happy."	It would make them so happy."
2573_186232_000057_000000	"Double the amount I had allowed to each of them," the woman commanded her lawyer.	"Double the amount I had allowed to each of them," the woman commanded her lawyer.
2573_186232_000058_000000	"Can it all be ready to sign tonight?" asked Patsy, excitedly.	"Can it all be ready to sign tonight?" asked Patsy, excitedly.
2573_186232_000059_000000	"I'll try, my dear," replied the old lawyer, gravely.	"I'll try, my dear," replied the old lawyer, gravely.
2573_186232_000059_000001	Then he turned to Jane Merrick.	Then he turned to Jane Merrick.
2573_186232_000061_000000	Patsy's heart suddenly sank.	Patsy's heart suddenly sank.
2573_186232_000062_000000	"Yes," was the reply.	"Yes," was the reply.
2573_186232_000062_000001	"I am tired of opposing this child's wishes. What do I care what becomes of my money, when I am gone?	"I am tired of opposing this child's wishes. What do I care what becomes of my money, when I am gone?
2573_186232_000062_000002	All that I desire is to have my remaining days peaceful."	All that I desire is to have my remaining days peaceful."
2573_186232_000064_000000	"They shall be, aunt!" she cried.	"They shall be, aunt!" she cried.
2573_186232_000064_000001	"I promise it."	"I promise it."
