7665_104978_000000_000000	CHAPTER I. A SPY'S DUTY	CHAPTER one A SPY'S DUTY	false	0.57	23.32	19.128994
7665_104978_000018_000000	"I should be very glad to try such a situation," I replied.	"I should be very glad to try such a situation," I replied.	true	246.05	249.46	18.441841
7665_104978_000019_000000	A look of relief, so vivid that it startled me, altered at once the whole character of his countenance; and perceiving how intense was the power and fascination underlying his quiet exterior, I asked myself who and what this man was; no ordinary personage, I was sure, but who?	A look of relief, so vivid that it startled me, altered at once the whole character of his countenance; and perceiving how intense was the power and fascination underlying his quiet exterior, I asked myself who and what this man was; no ordinary personage, I was sure, but who?	false	250.1	269.68	18.814367
7665_104978_000019_000001	Had Miss Davies purposely withheld his name?	Had Miss Davies purposely withheld his name?	true	271.07	274.45	17
7665_104978_000019_000002	I began to think so.	I began to think so.	true	274.7	276.07	16.66067
7665_104978_000020_000000	"I have had some experience," I was proceeding--	"I have had some experience," I was proceeding-	true	278.06	280.96	15
7665_104978_000021_000000	But he waved this consideration aside, with a change back to his former gloomy aspect, and a careful glance at the door which did not escape me.	But he waved this consideration aside, with a change back to his former gloomy aspect, and a careful glance at the door which did not escape me.	true	281.3	289.09	17
7665_104978_000022_000000	"It is not experience which is so much needed as discretion."	"It is not experience which is so much needed as discretion."	true	290.06	293.41	16
7665_104978_000023_000000	Again that word.	Again that word.	true	293.72	295.18	15.681749
7665_104978_000024_000000	"The case is not a common one, or, rather,"--he caught himself up quickly, "the circumstances are not.	"The case is not a common one, or, rather,"--he caught himself up quickly, "the circumstances are not.	false	295.7	302.08	17.500881
7665_104978_000024_000001	My wife is well, but--she is not happy.	My wife is well, but-she is not happy.	true	302.27	305.38	19.093807
7665_104978_000024_000002	She is very unhappy, deeply, unaccountably so, and I do not know why."	She is very unhappy, deeply, unaccountably so, and I do not know why."	true	305.9	311.95	17.692173
7665_104978_000025_000000	Anxious to watch the effect of these words, he paused a moment, then added fervently:	Anxious to watch the effect of these words, he paused a moment, then added fervently:	true	312.89	317.61	14
7665_104978_000026_000000	"Would to God I did!	"Would to God I did!	false	317.61	319.56	14.75855
7665_104978_000026_000001	It would make a new man of me."	It would make a new man of me."	false	319.56	321.52	18.324371
7665_104978_000027_000000	The meaning, the deep meaning in his tone, if not in the adjuration itself, was undeniable; but my old habit of self-control stood me in good stead and I remained silent and watchful, weighing every look and word.	The meaning, the deep meaning in his tone, if not in the adjuration itself, was undeniable; but my old habit of self control stood me in good stead and I remained silent and watchful, weighing every look and word.	false	323.57	338.71	17.845201
7665_104978_000028_000000	"A week ago she was the lightest hearted woman in town,--the happiest wife, the merriest mother.	"A week ago she was the lightest hearted woman in town,--the happiest wife, the merriest mother.	true	339.83	346.02	16
7665_104978_000028_000001	To-day she is a mere wreck of her former self, pallid, drawn, almost speechless, yet she is not ill.	To day she is a mere wreck of her former self, pallid, drawn, almost speechless, yet she is not ill.	false	346.02	353.44	16.453012
7665_104978_000028_000002	She will not acknowledge to an ache or a pain; will not even admit that any change has taken place in her.	She will not acknowledge to an ache or a pain; will not even admit that any change has taken place in her.	false	353.75	361.24	15
7665_104978_000028_000003	But you have only to see her.	But you have only to see her.	true	362.27	363.91	16
7665_104978_000028_000004	And I am as ignorant of the cause of it all--as you are!" he burst out.	And I am as ignorant of the cause of it all-as you are!" he burst out.	false	364.1	369.36	16.574902
7665_104978_000029_000000	Still I remained silent, waiting, watchful.	Still I remained silent, waiting, watchful.	true	369.36	372.22	17.861153
7665_104978_000030_000000	"I have talked with her physician.	"I have talked with her physician.	true	373.13	375.21	15.202696
7665_104978_000030_000001	He says there is something serious the matter with her, but he can not help her, as it is not in any respect physical, and advises me to find out what is on her mind.	He says there is something serious the matter with her, but he can not help her, as it is not in any respect physical, and advises me to find out what is on her mind.	true	375.21	384.49	16
7665_104978_000030_000002	As if that had not been my first care!	As if that had not been my first care!	true	384.89	387.19	16
7665_104978_000030_000003	I have also consulted her most intimate friends, all who know her well, but they can give me no clue to her distress.	I have also consulted her most intimate friends, all who know her well, but they can give me no clue to her distress.	true	387.56	394.36	17
7665_104978_000030_000004	They see the difference in her, but can not tell the cause. And I am obliged to go away and leave her in this state.	They see the difference in her, but can not tell the cause. And I am obliged to go away and leave her in this state.	false	396.05	402.37	16
7665_104978_000030_000005	For two weeks, three weeks now, my movements will be very uncertain.	For two weeks, three weeks now, my movements will be very uncertain.	true	402.47	406.54	18
7665_104978_000030_000006	I am at the beck and call of the State Committee.	I am at the beck and call of the State Committee.	true	407.03	409.44	16
7665_104978_000030_000007	At any other time I would try change of scene, but she will neither consent to leave home without me nor to interrupt my plans in order that I may accompany her."	At any other time I would try change of scene, but she will neither consent to leave home without me nor to interrupt my plans in order that I may accompany her."	false	409.44	420.99	17.145805
7665_104978_000031_000000	"Miss Davies has not told me your name," I made bold to interpolate.	"Miss Davies has not told me your name," I made bold to interpolate.	true	420.99	424.78	13
7665_104978_000032_000000	He stared, shook himself together, and quietly, remarked:	He stared, shook himself together, and quietly, remarked:	true	425.3	428.5	14
7665_104978_000033_000000	"I am Henry Packard."	"I am Henry Packard."	true	429.23	430.8	15
7665_104978_000034_000000	The city's mayor! and not only that, the running candidate for governor. I knew him well by name, even if I did not know, or rather had not recognized his face.	The city's mayor! and not only that, the running candidate for governor. I knew him well by name, even if I did not know, or rather had not recognized his face.	false	430.8	442.21	15.697063
7665_104978_000035_000000	"I beg pardon," I somewhat tremulously began, but he waved the coming apology aside as easily, as he had my first attempt at ingratiation. In fact, he appeared to be impatient of every unnecessary word.	"I beg pardon," I somewhat tremulously began, but he waved the coming apology aside as easily, as he had my first attempt at ingratiation. In fact, he appeared to be impatient of every unnecessary word.	true	443.36	457.51	16
7665_104978_000035_000001	This I could, in a dim sort of way, understand.	This I could, in a dim sort of way, understand.	true	458.36	461.89	14
7665_104978_000035_000002	He was at the crisis of his fate, and so was his party.	He was at the crisis of his fate, and so was his party.	false	462.71	466.33	16
7665_104978_000035_000003	For several years a struggle had gone on between the two nearly matched elements in this western city, which, so far, had resulted in securing him two terms of office--possibly because his character appealed to men of all grades and varying convictions.	For several years a struggle had gone on between the two nearly matched elements in this western city, which, so far, had resulted in securing him two terms of office-possibly because his character appealed to men of all grades and varying convictions.	true	467.06	482.08	13
7665_104978_000035_000004	But the opposite party was strong in the state, and the question whether he could carry his ticket against such odds, and thus give hope to his party in the coming presidential election, was one yet to be tested. Forceful as a speaker, he was expected to reap hundreds of votes from the mixed elements that invariably thronged to hear him, and, ignorant as I necessarily was of the exigencies of such a campaign, I knew that not only his own ambition, but the hopes of his party, depended on the speeches he had been booked to make in all parts of the state.	But the opposite party was strong in the state, and the question whether he could carry his ticket against such odds, and thus give hope to his party in the coming presidential election, was one yet to be tested. Forceful as a speaker, he was expected to reap hundreds of votes from the mixed elements that invariably thronged to hear him, and, ignorant as I necessarily was of the exigencies of such a campaign, I knew that not only his own ambition, but the hopes of his party, depended on the speeches he had been booked to make in all parts of the state.	true	483.26	516.61	16
7665_104978_000035_000005	And now, three weeks before election, while every opposing force was coming to the surface, this trouble had come upon him.	And now, three weeks before election, while every opposing force was coming to the surface, this trouble had come upon him.	true	516.83	524.92	13
7665_104978_000035_000006	A mystery in his home and threatened death in his heart!	A mystery in his home and threatened death in his heart!	true	525.41	528.58	14
7665_104978_000035_000007	For he loved his wife--that was apparent to me from the first; loved her to idolatry, as such men sometimes do love,--often to their own undoing.	For he loved his wife-that was apparent to me from the first; loved her to idolatry, as such men sometimes do love,--often to their own undoing.	true	529.28	541.27	14.143214
7665_104978_000036_000000	All this, the thought of an instant.	All this, the thought of an instant.	true	541.82	544.21	17.424887
7665_104978_000036_000001	Meanwhile he had been studying me well.	Meanwhile he had been studying me well.	true	544.67	546.97	16
7665_104978_000037_000000	"You understand my position," he commented.	"You understand my position," he commented.	true	547.85	550.39	18.355183
7665_104978_000037_000001	"Wednesday night I speak in C---, Thursday, in R---, while she--" With an effort he pulled himself together.	"Wednesday night I speak in C---, Thursday, in R---, while she-" With an effort he pulled himself together.	true	550.76	560.1	16.121677
7665_104978_000037_000002	"Miss--"	"Miss-"	true	560.1	560.74	17
7665_104978_000038_000000	"Saunders," I put in.	"Saunders," I put in.	false	560.96	562.3	15.800306
7665_104978_000039_000000	"Miss Saunders, I can not leave her alone in the house.	"Miss Saunders, I can not leave her alone in the house.	true	562.94	566.8	16.874203
7665_104978_000039_000001	Some one must be there to guard and watch--"	Some one must be there to guard and watch-"	true	567.2	570.36	14
7665_104978_000040_000000	"Has she no mother?" I suggested in the pause he made.	"Has she no mother?" I suggested in the pause he made.	false	570.36	573.94	15
7665_104978_000041_000000	"She has no living relatives, and mine are uncongenial to her."	"She has no living relatives, and mine are uncongenial to her."	true	574.67	579.7	16.976088
7665_104978_000042_000000	This to save another question.	This to save another question.	true	581.18	583.18	17
7665_104978_000042_000001	I understood him perfectly.	I understood him perfectly.	true	583.34	584.95	14
7665_104978_000043_000000	"I can not ask any of them to stay with her," he pursued decisively. "She would not consent to it.	"I can not ask any of them to stay with her," he pursued decisively. "She would not consent to it.	true	586.04	592.12	17
7665_104978_000043_000001	Nor can I ask any of her friends.	Nor can I ask any of her friends.	true	592.79	594.82	15
7665_104978_000043_000002	That she does not wish, either.	That she does not wish, either.	true	594.86	596.59	14
7665_104978_000043_000003	But I can hire a companion.	But I can hire a companion.	true	597.29	599.41	14
7665_104978_000043_000004	To that she has already consented.	To that she has already consented.	true	599.87	601.84	16
7665_104978_000043_000005	That she will regard as a kindness, if the lady chosen should prove to be one of those rare beings who carry comfort in their looks without obtruding their services or displaying the extent of their interest.	That she will regard as a kindness, if the lady chosen should prove to be one of those rare beings who carry comfort in their looks without obtruding their services or displaying the extent of their interest.	true	602.87	614.35	13
7665_104978_000043_000006	You know there are some situations in which the presence of a stranger may be more grateful than that of a friend.	You know there are some situations in which the presence of a stranger may be more grateful than that of a friend.	true	614.96	620.44	15
7665_104978_000043_000007	Apparently, my wife feels herself so placed now."	Apparently, my wife feels herself so placed now."	true	621.17	625.425	15.583946
7665_104978_000044_000000	Here his eyes again read my face, an ordeal out of which I came triumphant; the satisfaction he evinced rightly indicated his mind.	Here his eyes again read my face, an ordeal out of which I came triumphant; the satisfaction he evinced rightly indicated his mind.	true	625.425	633.52	14
7665_104978_000045_000000	"Will you accept the position?" he asked.	"Will you accept the position?" he asked.	true	634.25	636.79	14
7665_104978_000045_000001	"We have one little child.	"We have one little child.	true	637.4	639.34	18
7665_104978_000045_000002	You will have no charge of her save as you may wish to make use of her in reaching the mother."	You will have no charge of her save as you may wish to make use of her in reaching the mother."	false	640.13	644.98	12
7665_104978_000046_000000	The hint conveyed in the last phrase gave me courage to say:	The hint conveyed in the last phrase gave me courage to say:	true	645.5	648.64	11
7665_104978_000047_000000	"You wish me to reach her?"	"You wish me to reach her?"	true	649.46	650.8	12
7665_104978_000048_000000	"With comfort," said he.	"With comfort," said he.	true	651.47	653.26	10
7665_104978_000049_000000	"And if in doing so I learn her trouble?"	"And if in doing so I learn her trouble?"	true	654.74	656.83	14
7665_104978_000050_000000	"You will win my eternal gratitude by telling it to one who would give ten years of his life to assuage it."	"You will win my eternal gratitude by telling it to one who would give ten years of his life to assuage it."	true	657.92	665.07	15
7665_104978_000051_000000	My head rose.	My head rose.	false	665.07	667.21	11
7665_104978_000051_000001	I began to feel that my next step must strike solid ground.	I began to feel that my next step must strike solid ground.	true	667.85	671.53	10
7665_104978_000052_000000	"In other words to be quite honest--you wish me to learn her trouble if I can."	"In other words to be quite honest-you wish me to learn her trouble if I can."	false	672.83	677.68	15.827985
7665_104978_000053_000000	"I believe you can be trusted to do so."	"I believe you can be trusted to do so."	true	679.22	681.46	11
7665_104978_000054_000000	"And then to reveal it to you?"	"And then to reveal it to you?"	true	682.76	684.4	11
7665_104978_000055_000000	"If your sense of duty permits,--which I think it will."	"If your sense of duty permits,--which I think it will."	true	685.76	689.35	12
7665_104978_000056_000000	I might have uttered in reply, "A spy's duty?" but the high-mindedness of his look forbade.	I might have uttered in reply, "A spy's duty?" but the high mindedness of his look forbade.	true	690.95	697.84	13
7665_104978_000056_000001	Whatever humiliation his wishes put upon me, there could be no question of the uprightness of his motives regarding his wife.	Whatever humiliation his wishes put upon me, there could be no question of the uprightness of his motives regarding his wife.	true	699.98	707.8	16.397032
7665_104978_000057_000000	I ventured one more question.	I ventured one more question.	true	708.53	710.26	16
7665_104978_000058_000000	"How far shall I feel myself at liberty to go in this attempt?"	"How far shall I feel myself at liberty to go in this attempt?"	true	711.71	715.06	13
7665_104978_000059_000000	"As far as your judgment approves and circumstances seem to warrant.	"As far as your judgment approves and circumstances seem to warrant.	true	716.36	720.76	14
7665_104978_000059_000001	I know that you will come upon nothing dishonorable to her, or detrimental to our relations as husband and wife, in this secret which is destroying our happiness.	I know that you will come upon nothing dishonorable to her, or detrimental to our relations as husband and wife, in this secret which is destroying our happiness.	true	721.34	731.35	15
7665_104978_000059_000002	Her affection for me is undoubted, but something--God knows what--has laid waste her life.	Her affection for me is undoubted, but something-God knows what-has laid waste her life.	false	732.05	739.27	15
7665_104978_000059_000003	To find and annihilate that something is my first and foremost duty.	To find and annihilate that something is my first and foremost duty.	true	739.88	744.34	14
7665_104978_000059_000004	It does not fit well with those other duties pressing upon me from the political field, does it?	It does not fit well with those other duties pressing upon me from the political field, does it?	false	744.95	751.17	16
7665_104978_000059_000005	That is why I have called in help.	That is why I have called in help.	true	751.17	753.55	14
7665_104978_000059_000006	That is why I have called you in."	That is why I have called you in."	true	754.61	757.27	11
7665_104978_000060_000000	The emphasis was delicately but sincerely given.	The emphasis was delicately but sincerely given.	true	759.26	762.73	14
7665_104978_000060_000001	It struck my heart and entered it.	It struck my heart and entered it.	true	763.64	766.24	13
7665_104978_000060_000002	Perhaps he had calculated upon this.	Perhaps he had calculated upon this.	true	767	769.3	12
7665_104978_000060_000003	If so, it was because he knew that a woman like myself works better when her feelings are roused.	If so, it was because he knew that a woman like myself works better when her feelings are roused.	true	769.7	775.39	11
7665_104978_000061_000000	Answering with a smile, I waited patiently while he talked terms and other equally necessary details, then dropping all these considerations, somewhat in his own grand manner, I made this remark:	Answering with a smile, I waited patiently while he talked terms and other equally necessary details, then dropping all these considerations, somewhat in his own grand manner, I made this remark:	true	776.69	789.43	13
7665_104978_000062_000000	"If your wife likes me, which very possibly she may fail to do, I shall have a few questions to ask you before I settle down to my duties.	"If your wife likes me, which very possibly she may fail to do, I shall have a few questions to ask you before I settle down to my duties.	true	790.49	799.65	14
7665_104978_000062_000001	Will you see that an opportunity is given me for doing this?"	Will you see that an opportunity is given me for doing this?"	false	799.65	803.56	13.918977
7665_104978_000063_000000	His assent was as frank as all the rest, and the next moment he left the room.	His assent was as frank as all the rest, and the next moment he left the room.	false	804.5	809.5	14
7665_104978_000064_000000	As he passed out I heard him remark to Miss Davies:	As he passed out I heard him remark to Miss Davies:	true	810.59	813.22	11
7665_104978_000065_000000	"I expect Miss Saunders at my house before nightfall.	"I expect Miss Saunders at my house before nightfall.	false	813.92	816.82	12
7665_104978_000065_000001	I shall reserve some minutes between half-past five and six in which to introduce her to Mrs. Packard."	I shall reserve some minutes between half past five and six in which to introduce her to mrs Packard."	false	817.73	830.28	15.111585
