1944_159230_000000_000000	IV	i v	false	29.64	30.9	-20
1944_159230_000008_000002	Dust off a chair, Patsey, and let the lady set down.	Dust off a chair, Patsey, and let the lady set down.	true	288.14	292.27	19
1944_159230_000008_000003	You go in the corner, and take turns lickin' the dish, while I see company," said Joe, disbanding his small troop, and shouldering the baby as if presenting arms in honor of his guest.	You go in the corner, and take turns lickin' the dish, while I see company," said Joe, disbanding his small troop, and shouldering the baby as if presenting arms in honor of his guest.	true	292.7	306.04	20
1944_159230_000009_000000	"Why didn't you let me know how sick you were?	"Why didn't you let me know how sick you were?	true	307.13	309.97	19
1944_159230_000009_000001	And how came they to think you dead?" I asked, as he festooned the wet linen out of the way, and prepared to enjoy himself as best he could.	And how came they to think you dead?" I asked, as he festooned the wet linen out of the way, and prepared to enjoy himself as best he could.	true	310.16	320.38	19
1944_159230_000010_000000	"I did send once, when things was at the wust; but you hadn't got back, and then somehow I thought I was goin' to be mustered out for good, and so wouldn't trouble nobody.	"I did send once, when things was at the wust; but you hadn't got back, and then somehow I thought I was goin' to be mustered out for good, and so wouldn't trouble nobody.	false	321.41	334.48	20.53925
1944_159230_000010_000001	But my orders ain't come yet, and I am doing the fust thing that come along.	But my orders ain't come yet, and I am doing the fust thing that come along.	true	335.03	340.81	20.868073
1944_159230_000010_000002	It ain't much, but the good soul stood by me, and I ain't ashamed to pay my debts this way, sence I can't do it in no other;" and Joe cradled the chubby baby in his one arm as tenderly as if it had been his own, though little Biddy was not an inviting infant.	It ain't much, but the good soul stood by me, and I ain't ashamed to pay my debts this way, sence I can't do it in no other;" and Joe cradled the chubby baby in his one arm as tenderly as if it had been his own, though little Biddy was not an inviting infant.	false	341.12	362.56	20.588085
1944_159230_000011_000000	"That is very beautiful and right, Joe, and I honor you for it; but you were not meant to tend babies, so sing your last lullabies, and be ready to go to the Home as soon as I can get you there."	"That is very beautiful and right, Joe, and I honor you for it; but you were not meant to tend babies, so sing your last lullabies, and be ready to go to the Home as soon as I can get you there."	false	363.32	376.9	19
1944_159230_000012_000000	"Really, ma'am?	"Really, ma'am?	true	377.78	379	20.0925
1944_159230_000012_000001	I used to lay and kind of dream about it when I couldn't stir without yellin' out; but I never thought it would ever come to happen.	I used to lay and kind of dream about it when I couldn't stir without yellin' out; but I never thought it would ever come to happen.	true	379.91	388.42	21.500568
1944_159230_000012_000002	I see a piece in the paper describing it, and it sounded dreadful nice.	I see a piece in the paper describing it, and it sounded dreadful nice.	true	389.39	394.84	20
1944_159230_000012_000003	Shouldn't wonder if I found some of my mates there.	Shouldn't wonder if I found some of my mates there.	true	395.42	398.8	16
1944_159230_000012_000004	They were a good lot, and deservin' of all that could be done for 'em," said Joe, trotting the baby briskly, as if the prospect excited him, as well it might, for the change from that damp nursery to the comfortable quarters prepared for him would be like going from Purgatory to Paradise.	They were a good lot, and deservin' of all that could be done for 'em," said Joe, trotting the baby briskly, as if the prospect excited him, as well it might, for the change from that damp nursery to the comfortable quarters prepared for him would be like going from Purgatory to Paradise.	false	399.44	420.55	22
1944_159230_000013_000000	"I don't wonder you don't get well living in such a place, Joe.	"I don't wonder you don't get well living in such a place, Joe.	true	421.73	425.71	16
1944_159230_000013_000001	You should have gone home to Woolwich, and let your friends help you," I said, feeling provoked with him for hiding himself.	You should have gone home to Woolwich, and let your friends help you," I said, feeling provoked with him for hiding himself.	true	426.08	434.62	20.186987
1944_159230_000014_000000	"No, ma'am!" he answered, with a look I never shall forget, it was so full of mingled patience, pride, and pain.	"No, ma'am!" he answered, with a look I never shall forget, it was so full of mingled patience, pride, and pain.	true	435.56	444.94	20.711601
1944_159230_000014_000001	"I haven't a relation in the world but a couple of poor old aunts, and they couldn't do anything for me.	"I haven't a relation in the world but a couple of poor old aunts, and they couldn't do anything for me.	true	446.03	453.01	17.947355
1944_159230_000014_000002	As for asking help of folks I used to know, I couldn't do it; and if you think I'd go to Lucindy, though she is wal off, you don't know Joe Collins.	As for asking help of folks I used to know, I couldn't do it; and if you think I'd go to Lucindy, though she is wal off, you don't know Joe Collins.	true	453.44	466.02	20.652645
1944_159230_000014_000003	I'd die fust!	I'd die fust!	false	466.02	468.07	19.832985
1944_159230_000014_000004	If she was poor and I rich, I'd do for her like a brother; but I couldn't ask no favors of her, not if I begged my vittles in the street, or starved.	If she was poor and I rich, I'd do for her like a brother; but I couldn't ask no favors of her, not if I begged my vittles in the street, or starved.	false	468.2	480.07	22.370497
1944_159230_000014_000005	I forgive, but I don't forgit in a hurry; and the woman that stood by me when I was down is the woman I believe in, and can take my bread from without shame.	I forgive, but I don't forgit in a hurry; and the woman that stood by me when I was down is the woman I believe in, and can take my bread from without shame.	false	480.62	492.07	20.776438
1944_159230_000014_000006	Hooray for Biddy Flanagin!	Hooray for Biddy Flanagin!	true	492.68	494.68	24.387173
1944_159230_000014_000007	God bless her!" and, as if to find a vent for the emotion that filled his eyes with grateful tears, Joe led off the cheer, which the children shrilly echoed, and I joined heartily.	God bless her!" and, as if to find a vent for the emotion that filled his eyes with grateful tears, Joe led off the cheer, which the children shrilly echoed, and I joined heartily.	true	494.75	509.02	20.382368
1944_159230_000015_000000	"I shall come for you in a few days; so cuddle the baby and make much of the children before you part.	"I shall come for you in a few days; so cuddle the baby and make much of the children before you part.	true	509.81	516.28	19
1944_159230_000015_000001	It won't take you long to pack up, will it?" I asked, as we subsided with a general laugh.	It won't take you long to pack up, will it?" I asked, as we subsided with a general laugh.	true	516.59	522.7	21
1944_159230_000016_000000	"I reckon not as I don't own any clothes but what I set in, except a couple of old shirts and them socks.	"I reckon not as I don't own any clothes but what I set in, except a couple of old shirts and them socks.	true	523.64	531.58	22.424934
1944_159230_000016_000001	My hat's stoppin' up the winder, and my old coat is my bed-cover.	My hat's stoppin' up the winder, and my old coat is my bed cover.	true	532.01	536.95	23
1944_159230_000016_000002	I'm awful shabby, ma'am, and that's one reason I don't go out more.	I'm awful shabby, ma'am, and that's one reason I don't go out more.	true	537.53	542.14	23
1944_159230_000016_000003	I can hobble some, but I ain't got used to bein' a scarecrow yet," and Joe glanced from the hose without heels that hung on the line to the ragged suit he wore, with a resigned expression that made me long to rush out and buy up half the contents of Oak Hall on the spot.	I can hobble some, but I ain't got used to bein' a scarecrow yet," and Joe glanced from the hose without heels that hung on the line to the ragged suit he wore, with a resigned expression that made me long to rush out and buy up half the contents of Oak Hall on the spot.	false	542.57	562.87	20.53782
1944_159230_000017_000000	Curbing this wild impulse I presently departed with promises of speedy transportation for Joe, and unlimited oranges to assuage the pangs of parting for the young Flanagins, who escorted me to the door, while Joe waved the baby like a triumphal banner till I got round the corner.	Curbing this wild impulse I presently departed with promises of speedy transportation for Joe, and unlimited oranges to assuage the pangs of parting for the young Flanagins, who escorted me to the door, while Joe waved the baby like a triumphal banner till I got round the corner.	true	563.93	584.8	18.83794
1944_159230_000018_000000	There was such a beautiful absence of red tape about the new institution that it only needed a word in the right ear to set things going; and then, with a long pull, a strong pull, and a pull all together, Joe Collins was taken up and safely landed in the Home he so much needed and so well deserved.	There was such a beautiful absence of red tape about the new institution that it only needed a word in the right ear to set things going; and then, with a long pull, a strong pull, and a pull all together, Joe Collins was taken up and safely landed in the Home he so much needed and so well deserved.	true	585.86	609.85	20.345253
1944_159230_000019_000000	A happier man or a more grateful one it would be hard to find, and if a visitor wants an enthusiastic guide about the place, Joe is the one to take, for all is comfort, sunshine, and good-will to him; and he unconsciously shows how great the need of this refuge is, as he hobbles about on his lame feet, pointing out its beauties, conveniences, and delights with his one arm, while his face shines, and his voice quavers a little as he says gratefully,--	A happier man or a more grateful one it would be hard to find, and if a visitor wants an enthusiastic guide about the place, Joe is the one to take, for all is comfort, sunshine, and good will to him; and he unconsciously shows how great the need of this refuge is, as he hobbles about on his lame feet, pointing out its beauties, conveniences, and delights with his one arm, while his face shines, and his voice quavers a little as he says gratefully,--	false	610.88	648.04	21.26221
1944_159230_000020_000000	"The State don't forget us, you see, and this is a Home wuth havin'. Long life to it!"	"The State don't forget us, you see, and this is a Home wuth havin'. Long life to it!"	false	648.89	666.42	21.485899
