7874_110243_000000_000000	Barrymore was crouching at the window with the candle held against the glass.	Barrymore was crouching at the window with the candle held against the glass.	false	0	2.22	20.005556
7874_110243_000003_000007	The man is a striking-looking fellow, very well equipped to steal the heart of a country girl, so that this theory seemed to have something to support it.	The man is a striking looking fellow, very well equipped to steal the heart of a country girl, so that this theory seemed to have something to support it.	true	116.39	123.9	23.604328
7874_110243_000003_000008	That opening of the door which I had heard after I had returned to my room might mean that he had gone out to keep some clandestine appointment.	That opening of the door which I had heard after I had returned to my room might mean that he had gone out to keep some clandestine appointment.	true	123.9	131.47	22
7874_110243_000003_000009	So I reasoned with myself in the morning, and I tell you the direction of my suspicions, however much the result may have shown that they were unfounded.	So I reasoned with myself in the morning, and I tell you the direction of my suspicions, however much the result may have shown that they were unfounded.	true	131.66	139.36	23.149542
7874_110243_000004_000000	But whatever the true explanation of Barrymore's movements might be, I felt that the responsibility of keeping them to myself until I could explain them was more than I could bear.	But whatever the true explanation of Barrymore's movements might be, I felt that the responsibility of keeping them to myself until I could explain them was more than I could bear.	true	139.49	149.23	22.222637
7874_110243_000004_000001	I had an interview with the baronet in his study after breakfast, and I told him all that I had seen.	I had an interview with the baronet in his study after breakfast, and I told him all that I had seen.	false	149.57	155.29	23.018244
7874_110243_000004_000002	He was less surprised than I had expected.	He was less surprised than I had expected.	true	155.42	157.84	23.579185
7874_110243_000005_000000	"I knew that Barrymore walked about nights, and I had a mind to speak to him about it," said he.	"I knew that Barrymore walked about nights, and I had a mind to speak to him about it," said he.	true	158.51	164.13	24.411386
7874_110243_000005_000001	"Two or three times I have heard his steps in the passage, coming and going, just about the hour you name."	"Two or three times I have heard his steps in the passage, coming and going, just about the hour you name."	false	164.13	170.35	22.66632
7874_110243_000006_000000	"Perhaps then he pays a visit every night to that particular window," I suggested.	"Perhaps then he pays a visit every night to that particular window," I suggested.	true	170.69	174.94	23.014044
7874_110243_000007_000000	"Perhaps he does.	"Perhaps he does.	true	175.07	176.04	20.86056
7874_110243_000007_000001	If so, we should be able to shadow him and see what it is that he is after.	If so, we should be able to shadow him and see what it is that he is after.	false	176.04	180.82	19.140999
7874_110243_000007_000002	I wonder what your friend Holmes would do if he were here."	I wonder what your friend Holmes would do if he were here."	true	181.16	184.21	22.071287
7874_110243_000008_000000	"I believe that he would do exactly what you now suggest," said I. "He would follow Barrymore and see what he did."	"I believe that he would do exactly what you now suggest," said i "He would follow Barrymore and see what he did."	true	184.58	190.81	21.567513
7874_110243_000009_000000	"Then we shall do it together."	"Then we shall do it together."	false	191.24	192.73	21.436787
7874_110243_000010_000000	"But surely he would hear us."	"But surely he would hear us."	true	193.13	194.62	21.891655
7874_110243_000011_000000	"The man is rather deaf, and in any case we must take our chance of that.	"The man is rather deaf, and in any case we must take our chance of that.	true	195.02	199.66	20.873617
7874_110243_000011_000001	We'll sit up in my room tonight and wait until he passes." Sir Henry rubbed his hands with pleasure, and it was evident that he hailed the adventure as a relief to his somewhat quiet life upon the moor.	We'll sit up in my room tonight and wait until he passes." Sir Henry rubbed his hands with pleasure, and it was evident that he hailed the adventure as a relief to his somewhat quiet life upon the moor.	true	199.88	210.73	21.764969
7874_110243_000012_000000	The baronet has been in communication with the architect who prepared the plans for Sir Charles, and with a contractor from London, so that we may expect great changes to begin here soon.	The baronet has been in communication with the architect who prepared the plans for Sir Charles, and with a contractor from London, so that we may expect great changes to begin here soon.	true	211.43	221.89	22.803438
7874_110243_000012_000001	There have been decorators and furnishers up from Plymouth, and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family.	There have been decorators and furnishers up from Plymouth, and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family.	true	222.08	232.84	22.562193
7874_110243_000012_000002	When the house is renovated and refurnished, all that he will need will be a wife to make it complete.	When the house is renovated and refurnished, all that he will need will be a wife to make it complete.	true	233.3	238.935	19.267437
7874_110243_000012_000003	Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing, for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour, Miss Stapleton.	Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing, for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour, Miss Stapleton.	true	238.935	251.68	22.903679
7874_110243_000012_000004	And yet the course of true love does not run quite as smoothly as one would under the circumstances expect.	And yet the course of true love does not run quite as smoothly as one would under the circumstances expect.	true	251.9	257.62	22.7324
7874_110243_000012_000005	Today, for example, its surface was broken by a very unexpected ripple, which has caused our friend considerable perplexity and annoyance.	Today, for example, its surface was broken by a very unexpected ripple, which has caused our friend considerable perplexity and annoyance.	true	258.29	266.86	24.124474
7874_110243_000013_000000	After the conversation which I have quoted about Barrymore, Sir Henry put on his hat and prepared to go out.	After the conversation which I have quoted about Barrymore, Sir Henry put on his hat and prepared to go out.	true	267.26	273.4	22.97817
7874_110243_000013_000001	As a matter of course I did the same.	As a matter of course I did the same.	true	273.62	275.86	20.043013
7874_110243_000014_000000	"What, are you coming, Watson?" he asked, looking at me in a curious way.	"What, are you coming, Watson?" he asked, looking at me in a curious way.	true	276.29	281.26	25.884066
7874_110243_000015_000000	"That depends on whether you are going on the moor," said I.	"That depends on whether you are going on the moor," said i	true	281.36	284.8	21.065544
7874_110243_000016_000000	"Yes, I am."	"Yes, I am."	true	284.99	286.09	22.570324
7874_110243_000017_000000	"Well, you know what my instructions are.	"Well, you know what my instructions are.	true	286.25	288.49	24.320986
7874_110243_000017_000001	I am sorry to intrude, but you heard how earnestly Holmes insisted that I should not leave you, and especially that you should not go alone upon the moor."	I am sorry to intrude, but you heard how earnestly Holmes insisted that I should not leave you, and especially that you should not go alone upon the moor."	true	288.62	296.92	24.293957
7874_110243_000018_000000	Sir Henry put his hand upon my shoulder with a pleasant smile.	Sir Henry put his hand upon my shoulder with a pleasant smile.	true	297.41	300.64	23.729635
7874_110243_000019_000000	"My dear fellow," said he, "Holmes, with all his wisdom, did not foresee some things which have happened since I have been on the moor.	"My dear fellow," said he, "Holmes, with all his wisdom, did not foresee some things which have happened since I have been on the moor.	true	301.1	308.38	22.409075
7874_110243_000019_000001	You understand me?	You understand me?	true	308.6	309.88	22.482267
7874_110243_000019_000002	I am sure that you are the last man in the world who would wish to be a spoil-sport.	I am sure that you are the last man in the world who would wish to be a spoil sport.	true	310.01	314.29	21.154903
7874_110243_000019_000003	I must go out alone."	I must go out alone."	true	314.51	316.18	23.739603
7874_110243_000020_000000	It put me in a most awkward position.	It put me in a most awkward position.	true	316.4	318.88	24.77645
7874_110243_000020_000001	I was at a loss what to say or what to do, and before I had made up my mind he picked up his cane and was gone.	I was at a loss what to say or what to do, and before I had made up my mind he picked up his cane and was gone.	false	318.89	324.97	23.236185
7874_110243_000021_000000	But when I came to think the matter over my conscience reproached me bitterly for having on any pretext allowed him to go out of my sight. I imagined what my feelings would be if I had to return to you and to confess that some misfortune had occurred through my disregard for your instructions.	But when I came to think the matter over my conscience reproached me bitterly for having on any pretext allowed him to go out of my sight. I imagined what my feelings would be if I had to return to you and to confess that some misfortune had occurred through my disregard for your instructions.	false	325.46	342.43	23.474018
7874_110243_000021_000001	I assure you my cheeks flushed at the very thought.	I assure you my cheeks flushed at the very thought.	true	342.74	345.73	25.433054
7874_110243_000021_000002	It might not even now be too late to overtake him, so I set off at once in the direction of Merripit House.	It might not even now be too late to overtake him, so I set off at once in the direction of Merripit House.	false	346.07	352.75	24.834341
7874_110243_000022_000000	I hurried along the road at the top of my speed without seeing anything of Sir Henry, until I came to the point where the moor path branches off.	I hurried along the road at the top of my speed without seeing anything of Sir Henry, until I came to the point where the moor path branches off.	true	353.21	361.12	23.684973
7874_110243_000022_000001	There, fearing that perhaps I had come in the wrong direction after all, I mounted a hill from which I could command a view--the same hill which is cut into the dark quarry.	There, fearing that perhaps I had come in the wrong direction after all, I mounted a hill from which I could command a view-the same hill which is cut into the dark quarry.	false	361.31	371.59	24.409464
7874_110243_000022_000002	Thence I saw him at once.	Thence I saw him at once.	true	372.11	373.9	23.837957
7874_110243_000022_000003	He was on the moor path about a quarter of a mile off, and a lady was by his side who could only be Miss Stapleton.	He was on the moor path about a quarter of a mile off, and a lady was by his side who could only be Miss Stapleton.	false	374.18	380.59	22.27976
7874_110243_000022_000004	It was clear that there was already an understanding between them and that they had met by appointment.	It was clear that there was already an understanding between them and that they had met by appointment.	true	380.84	386.65	21.122072
7874_110243_000022_000005	They were walking slowly along in deep conversation, and I saw her making quick little movements of her hands as if she were very earnest in what she was saying, while he listened intently, and once or twice shook his head in strong dissent.	They were walking slowly along in deep conversation, and I saw her making quick little movements of her hands as if she were very earnest in what she was saying, while he listened intently, and once or twice shook his head in strong dissent.	true	387.29	401.47	22.101767
7874_110243_000022_000006	I stood among the rocks watching them, very much puzzled as to what I should do next.	I stood among the rocks watching them, very much puzzled as to what I should do next.	true	401.87	406.84	24.598597
7874_110243_000022_000007	To follow them and break into their intimate conversation seemed to be an outrage, and yet my clear duty was never for an instant to let him out of my sight.	To follow them and break into their intimate conversation seemed to be an outrage, and yet my clear duty was never for an instant to let him out of my sight.	true	407.09	416.35	23.317322
7874_110243_000022_000008	To act the spy upon a friend was a hateful task.	To act the spy upon a friend was a hateful task.	true	416.78	420.07	22.96808
7874_110243_000022_000009	Still, I could see no better course than to observe him from the hill, and to clear my conscience by confessing to him afterwards what I had done.	Still, I could see no better course than to observe him from the hill, and to clear my conscience by confessing to him afterwards what I had done.	true	420.29	428.32	22.626701
7874_110243_000022_000010	It is true that if any sudden danger had threatened him I was too far away to be of use, and yet I am sure that you will agree with me that the position was very difficult, and that there was nothing more which I could do.	It is true that if any sudden danger had threatened him I was too far away to be of use, and yet I am sure that you will agree with me that the position was very difficult, and that there was nothing more which I could do.	false	428.6	441.16	22.673227
7874_110243_000023_000000	Our friend, Sir Henry, and the lady had halted on the path and were standing deeply absorbed in their conversation, when I was suddenly aware that I was not the only witness of their interview.	Our friend, Sir Henry, and the lady had halted on the path and were standing deeply absorbed in their conversation, when I was suddenly aware that I was not the only witness of their interview.	true	442.31	453.58	22.025171
7874_110243_000023_000001	A wisp of green floating in the air caught my eye, and another glance showed me that it was carried on a stick by a man who was moving among the broken ground.	A wisp of green floating in the air caught my eye, and another glance showed me that it was carried on a stick by a man who was moving among the broken ground.	true	454.13	462.91	21.752338
7874_110243_000023_000002	It was Stapleton with his butterfly-net.	It was Stapleton with his butterfly net.	true	463.25	465.73	25.982132
7874_110243_000023_000003	He was very much closer to the pair than I was, and he appeared to be moving in their direction. At this instant Sir Henry suddenly drew Miss Stapleton to his side.	He was very much closer to the pair than I was, and he appeared to be moving in their direction. At this instant Sir Henry suddenly drew Miss Stapleton to his side.	true	466.13	475.6	21.794008
7874_110243_000023_000004	His arm was round her, but it seemed to me that she was straining away from him with her face averted.	His arm was round her, but it seemed to me that she was straining away from him with her face averted.	true	475.61	481.48	22.512684
7874_110243_000023_000005	He stooped his head to hers, and she raised one hand as if in protest.	He stooped his head to hers, and she raised one hand as if in protest.	true	481.82	485.98	24.749374
7874_110243_000023_000006	Next moment I saw them spring apart and turn hurriedly round.	Next moment I saw them spring apart and turn hurriedly round.	true	486.41	490.15	22
7874_110243_000023_000007	Stapleton was the cause of the interruption.	Stapleton was the cause of the interruption.	true	490.22	492.7	21.172054
7874_110243_000023_000008	He was running wildly towards them, his absurd net dangling behind him.	He was running wildly towards them, his absurd net dangling behind him.	true	492.92	497.32	23.761799
7874_110243_000023_000009	He gesticulated and almost danced with excitement in front of the lovers. What the scene meant I could not imagine, but it seemed to me that Stapleton was abusing Sir Henry, who offered explanations, which became more angry as the other refused to accept them.	He gesticulated and almost danced with excitement in front of the lovers. What the scene meant I could not imagine, but it seemed to me that Stapleton was abusing Sir Henry, who offered explanations, which became more angry as the other refused to accept them.	true	497.36	513.58	22.743336
7874_110243_000023_000010	The lady stood by in haughty silence.	The lady stood by in haughty silence.	true	513.8	516.34	23.596155
7874_110243_000023_000011	Finally Stapleton turned upon his heel and beckoned in a peremptory way to his sister, who, after an irresolute glance at Sir Henry, walked off by the side of her brother.	Finally Stapleton turned upon his heel and beckoned in a peremptory way to his sister, who, after an irresolute glance at Sir Henry, walked off by the side of her brother.	true	516.62	526.93	24.96978
7874_110243_000023_000012	The naturalist's angry gestures showed that the lady was included in his displeasure.	The naturalist's angry gestures showed that the lady was included in his displeasure.	true	527.48	531.73	22.111977
7874_110243_000023_000013	The baronet stood for a minute looking after them, and then he walked slowly back the way that he had come, his head hanging, the very picture of dejection.	The baronet stood for a minute looking after them, and then he walked slowly back the way that he had come, his head hanging, the very picture of dejection.	false	532.07	541.42	25.160051
7874_110243_000024_000000	What all this meant I could not imagine, but I was deeply ashamed to have witnessed so intimate a scene without my friend's knowledge.	What all this meant I could not imagine, but I was deeply ashamed to have witnessed so intimate a scene without my friend's knowledge.	false	542	549.49	22.891869
7874_110243_000024_000001	I ran down the hill therefore and met the baronet at the bottom.	I ran down the hill therefore and met the baronet at the bottom.	true	549.8	553.81	21.040138
7874_110243_000024_000002	His face was flushed with anger and his brows were wrinkled, like one who is at his wit's ends what to do.	His face was flushed with anger and his brows were wrinkled, like one who is at his wit's ends what to do.	false	554	560.19	24.05086
7874_110243_000025_000000	"Halloa, Watson!	"Halloa, Watson!	false	560.19	562.03	23.09282
7874_110243_000025_000001	Where have you dropped from?" said he.	Where have you dropped from?" said he.	true	562.16	564.28	24.57992
7874_110243_000025_000002	"You don't mean to say that you came after me in spite of all?"	"You don't mean to say that you came after me in spite of all?"	true	564.38	567.55	22.630226
7874_110243_000026_000000	I explained everything to him: how I had found it impossible to remain behind, how I had followed him, and how I had witnessed all that had occurred.	I explained everything to him: how I had found it impossible to remain behind, how I had followed him, and how I had witnessed all that had occurred.	true	568.07	577.21	22.51543
7874_110243_000026_000001	For an instant his eyes blazed at me, but my frankness disarmed his anger, and he broke at last into a rather rueful laugh.	For an instant his eyes blazed at me, but my frankness disarmed his anger, and he broke at last into a rather rueful laugh.	false	577.73	585.1	21.6956
7874_110243_000027_000000	"You would have thought the middle of that prairie a fairly safe place for a man to be private," said he, "but, by thunder, the whole countryside seems to have been out to see me do my wooing--and a mighty poor wooing at that!	"You would have thought the middle of that prairie a fairly safe place for a man to be private," said he, "but, by thunder, the whole countryside seems to have been out to see me do my wooing-and a mighty poor wooing at that!	false	585.41	597.45	24.740671
7874_110243_000027_000001	Where had you engaged a seat?"	Where had you engaged a seat?"	false	597.45	599.68	23.42315
7874_110243_000028_000000	"I was on that hill."	"I was on that hill."	true	599.81	601.36	22.349321
7874_110243_000029_000000	"Quite in the back row, eh?	"Quite in the back row, eh?	true	601.49	603.04	23.081839
7874_110243_000029_000001	But her brother was well up to the front. Did you see him come out on us?"	But her brother was well up to the front. Did you see him come out on us?"	true	603.32	607.75	24.120445
7874_110243_000030_000000	"Yes, I did."	"Yes, I did."	true	607.97	608.91	24.156776
7874_110243_000031_000000	"Did he ever strike you as being crazy--this brother of hers?"	"Did he ever strike you as being crazy-this brother of hers?"	false	608.91	612.61	23.680347
7874_110243_000032_000000	"I can't say that he ever did."	"I can't say that he ever did."	true	612.74	614.65	24.211098
7874_110243_000033_000000	"I dare say not.	"I dare say not.	true	614.9	616.36	20.139671
7874_110243_000033_000001	I always thought him sane enough until today, but you can take it from me that either he or I ought to be in a straitjacket. What's the matter with me, anyhow?	I always thought him sane enough until today, but you can take it from me that either he or I ought to be in a straitjacket. What's the matter with me, anyhow?	true	616.55	626.64	23.44699
7874_110243_000033_000002	You've lived near me for some weeks, Watson.	You've lived near me for some weeks, Watson.	false	626.64	629.41	24.566416
7874_110243_000033_000003	Tell me straight, now!	Tell me straight, now!	true	629.54	630.97	23.09015
7874_110243_000033_000004	Is there anything that would prevent me from making a good husband to a woman that I loved?"	Is there anything that would prevent me from making a good husband to a woman that I loved?"	true	631.16	635.92	22.218761
7874_110243_000034_000000	"I should say not."	"I should say not."	true	636.08	637.36	22.815115
7874_110243_000035_000000	"He can't object to my worldly position, so it must be myself that he has this down on.	"He can't object to my worldly position, so it must be myself that he has this down on.	true	638.06	643.21	23.932755
7874_110243_000035_000001	What has he against me?	What has he against me?	false	643.4	644.98	21.812378
7874_110243_000035_000002	I never hurt man or woman in my life that I know of.	I never hurt man or woman in my life that I know of.	false	645.2	648.16	23
7874_110243_000035_000003	And yet he would not so much as let me touch the tips of her fingers."	And yet he would not so much as let me touch the tips of her fingers."	true	648.29	652.3	26.810984
7874_110243_000036_000000	"Did he say so?"	"Did he say so?"	true	652.79	654.04	19.89492
7874_110243_000037_000000	"That, and a deal more.	"That, and a deal more.	false	654.53	656.02	26.076582
7874_110243_000037_000001	I tell you, Watson, I've only known her these few weeks, but from the first I just felt that she was made for me, and she, too--she was happy when she was with me, and that I'll swear. There's a light in a woman's eyes that speaks louder than words.	I tell you, Watson, I've only known her these few weeks, but from the first I just felt that she was made for me, and she, too-she was happy when she was with me, and that I'll swear. There's a light in a woman's eyes that speaks louder than words.	true	656.12	670.87	22.890926
7874_110243_000037_000002	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone.	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone.	true	670.88	678.225	22
7874_110243_000037_000003	She was glad to meet me, but when she did it was not love that she would talk about, and she wouldn't have let me talk about it either if she could have stopped it.	She was glad to meet me, but when she did it was not love that she would talk about, and she wouldn't have let me talk about it either if she could have stopped it.	true	678.225	687.34	24.218206
7874_110243_000037_000004	She kept coming back to it that this was a place of danger, and that she would never be happy until I had left it.	She kept coming back to it that this was a place of danger, and that she would never be happy until I had left it.	false	687.71	693.94	24.882301
7874_110243_000037_000005	I told her that since I had seen her I was in no hurry to leave it, and that if she really wanted me to go, the only way to work it was for her to arrange to go with me.	I told her that since I had seen her I was in no hurry to leave it, and that if she really wanted me to go, the only way to work it was for her to arrange to go with me.	false	693.98	704.17	21.644844
7874_110243_000037_000006	With that I offered in as many words to marry her, but before she could answer, down came this brother of hers, running at us with a face on him like a madman.	With that I offered in as many words to marry her, but before she could answer, down came this brother of hers, running at us with a face on him like a madman.	true	704.21	714	22.32474
7874_110243_000037_000007	He was just white with rage, and those light eyes of his were blazing with fury.	He was just white with rage, and those light eyes of his were blazing with fury.	true	714	719.2	22.557362
7874_110243_000037_000008	What was I doing with the lady?	What was I doing with the lady?	true	719.69	721.54	20
7874_110243_000037_000009	How dared I offer her attentions which were distasteful to her? Did I think that because I was a baronet I could do what I liked?	How dared I offer her attentions which were distasteful to her? Did I think that because I was a baronet I could do what I liked?	false	721.58	729.64	25.004469
7874_110243_000037_000010	If he had not been her brother I should have known better how to answer him. As it was I told him that my feelings towards his sister were such as I was not ashamed of, and that I hoped that she might honour me by becoming my wife.	If he had not been her brother I should have known better how to answer him. As it was I told him that my feelings towards his sister were such as I was not ashamed of, and that I hoped that she might honour me by becoming my wife.	false	730.13	743.8	23.152182
7874_110243_000037_000011	That seemed to make the matter no better, so then I lost my temper too, and I answered him rather more hotly than I should perhaps, considering that she was standing by.	That seemed to make the matter no better, so then I lost my temper too, and I answered him rather more hotly than I should perhaps, considering that she was standing by.	false	744.11	753.13	20.795399
7874_110243_000037_000012	So it ended by his going off with her, as you saw, and here am I as badly puzzled a man as any in this county.	So it ended by his going off with her, as you saw, and here am I as badly puzzled a man as any in this county.	false	753.38	760.41	23.061867
7874_110243_000037_000013	Just tell me what it all means, Watson, and I'll owe you more than ever I can hope to pay."	Just tell me what it all means, Watson, and I'll owe you more than ever I can hope to pay."	false	760.41	765.4	23.697079
7874_110243_000038_000000	I tried one or two explanations, but, indeed, I was completely puzzled myself.	I tried one or two explanations, but, indeed, I was completely puzzled myself.	true	765.68	770.8	23.820711
7874_110243_000038_000001	Our friend's title, his fortune, his age, his character, and his appearance are all in his favour, and I know nothing against him unless it be this dark fate which runs in his family.	Our friend's title, his fortune, his age, his character, and his appearance are all in his favour, and I know nothing against him unless it be this dark fate which runs in his family.	true	770.84	781.48	23.731947
7874_110243_000038_000002	That his advances should be rejected so brusquely without any reference to the lady's own wishes and that the lady should accept the situation without protest is very amazing.	That his advances should be rejected so brusquely without any reference to the lady's own wishes and that the lady should accept the situation without protest is very amazing.	false	781.61	792.58	22.06143
7874_110243_000038_000003	However, our conjectures were set at rest by a visit from Stapleton himself that very afternoon.	However, our conjectures were set at rest by a visit from Stapleton himself that very afternoon.	true	792.77	798.97	24.2613
7874_110243_000038_000004	He had come to offer apologies for his rudeness of the morning, and after a long private interview with Sir Henry in his study the upshot of their conversation was that the breach is quite healed, and that we are to dine at Merripit House next Friday as a sign of it.	He had come to offer apologies for his rudeness of the morning, and after a long private interview with Sir Henry in his study the upshot of their conversation was that the breach is quite healed, and that we are to dine at Merripit House next Friday as a sign of it.	true	799.04	813.615	23.217743
7874_110243_000039_000000	"I don't say now that he isn't a crazy man," said Sir Henry; "I can't forget the look in his eyes when he ran at me this morning, but I must allow that no man could make a more handsome apology than he has done."	"I don't say now that he isn't a crazy man," said Sir Henry; "I can't forget the look in his eyes when he ran at me this morning, but I must allow that no man could make a more handsome apology than he has done."	false	813.615	825.07	22.426134
7874_110243_000040_000000	"Did he give any explanation of his conduct?"	"Did he give any explanation of his conduct?"	true	825.26	828.01	22.053215
7874_110243_000041_000000	"His sister is everything in his life, he says.	"His sister is everything in his life, he says.	true	828.17	830.62	23.851942
7874_110243_000041_000001	That is natural enough, and I am glad that he should understand her value.	That is natural enough, and I am glad that he should understand her value.	true	830.9	834.85	21.87507
7874_110243_000041_000002	They have always been together, and according to his account he has been a very lonely man with only her as a companion, so that the thought of losing her was really terrible to him.	They have always been together, and according to his account he has been a very lonely man with only her as a companion, so that the thought of losing her was really terrible to him.	true	835.13	845.43	22.755985
7874_110243_000041_000003	He had not understood, he said, that I was becoming attached to her, but when he saw with his own eyes that it was really so, and that she might be taken away from him, it gave him such a shock that for a time he was not responsible for what he said or did. He was very sorry for all that had passed, and he recognized how foolish and how selfish it was that he should imagine that he could hold a beautiful woman like his sister to himself for her whole life.	He had not understood, he said, that I was becoming attached to her, but when he saw with his own eyes that it was really so, and that she might be taken away from him, it gave him such a shock that for a time he was not responsible for what he said or did. He was very sorry for all that had passed, and he recognized how foolish and how selfish it was that he should imagine that he could hold a beautiful woman like his sister to himself for her whole life.	false	845.43	871.48	22.86057
7874_110243_000041_000004	If she had to leave him he had rather it was to a neighbour like myself than to anyone else.	If she had to leave him he had rather it was to a neighbour like myself than to anyone else.	true	871.91	877.36	22
7874_110243_000041_000005	But in any case it was a blow to him and it would take him some time before he could prepare himself to meet it.	But in any case it was a blow to him and it would take him some time before he could prepare himself to meet it.	true	877.64	883.36	26.914621
7874_110243_000041_000006	He would withdraw all opposition upon his part if I would promise for three months to let the matter rest and to be content with cultivating the lady's friendship during that time without claiming her love.	He would withdraw all opposition upon his part if I would promise for three months to let the matter rest and to be content with cultivating the lady's friendship during that time without claiming her love.	true	883.67	895.305	24.51256
7874_110243_000041_000007	This I promised, and so the matter rests."	This I promised, and so the matter rests."	true	895.305	898.33	22.83875
7874_110243_000042_000000	So there is one of our small mysteries cleared up.	So there is one of our small mysteries cleared up.	true	899.69	902.29	19.710884
