7874_110243_000001_000000	Chapter 9.	Chapter nine.
7874_110243_000011_000001	We'll sit up in my room tonight and wait until he passes." Sir Henry rubbed his hands with pleasure, and it was evident that he hailed the adventure as a relief to his somewhat quiet life upon the moor.	We'll sit up in my room tonight and wait until he passes." Sir Henry rubbed his hands with pleasure, and it was evident that he hailed the adventure as a relief to his somewhat quiet life upon the moor.
7874_110243_000012_000000	The baronet has been in communication with the architect who prepared the plans for Sir Charles, and with a contractor from London, so that we may expect great changes to begin here soon.	The baronet has been in communication with the architect who prepared the plans for Sir Charles, and with a contractor from London, so that we may expect great changes to begin here soon.
7874_110243_000012_000001	There have been decorators and furnishers up from Plymouth, and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family.	There have been decorators and furnishers up from Plymouth, and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family.
7874_110243_000012_000003	Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing, for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour, Miss Stapleton.	Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing, for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour, Miss Stapleton.
7874_110243_000012_000004	And yet the course of true love does not run quite as smoothly as one would under the circumstances expect.	And yet the course of true love does not run quite as smoothly as one would under the circumstances expect.
7874_110243_000012_000005	Today, for example, its surface was broken by a very unexpected ripple, which has caused our friend considerable perplexity and annoyance.	Today, for example, its surface was broken by a very unexpected ripple, which has caused our friend considerable perplexity and annoyance.
7874_110243_000013_000000	After the conversation which I have quoted about Barrymore, Sir Henry put on his hat and prepared to go out.	After the conversation which I have quoted about Barrymore, Sir Henry put on his hat and prepared to go out.
7874_110243_000013_000001	As a matter of course I did the same.	As a matter of course I did the same.
7874_110243_000014_000000	"What, are you coming, Watson?" he asked, looking at me in a curious way.	"What, are you coming, Watson?" he asked, looking at me in a curious way.
7874_110243_000015_000000	"That depends on whether you are going on the moor," said I.	"That depends on whether you are going on the moor," said i
7874_110243_000016_000000	"Yes, I am."	"Yes, I am."
7874_110243_000017_000000	"Well, you know what my instructions are.	"Well, you know what my instructions are.
7874_110243_000017_000001	I am sorry to intrude, but you heard how earnestly Holmes insisted that I should not leave you, and especially that you should not go alone upon the moor."	I am sorry to intrude, but you heard how earnestly Holmes insisted that I should not leave you, and especially that you should not go alone upon the moor."
7874_110243_000018_000000	Sir Henry put his hand upon my shoulder with a pleasant smile.	Sir Henry put his hand upon my shoulder with a pleasant smile.
7874_110243_000019_000000	"My dear fellow," said he, "Holmes, with all his wisdom, did not foresee some things which have happened since I have been on the moor.	"My dear fellow," said he, "Holmes, with all his wisdom, did not foresee some things which have happened since I have been on the moor.
7874_110243_000019_000001	You understand me?	You understand me?
7874_110243_000019_000002	I am sure that you are the last man in the world who would wish to be a spoil-sport.	I am sure that you are the last man in the world who would wish to be a spoil sport.
7874_110243_000019_000003	I must go out alone."	I must go out alone."
7874_110243_000020_000000	It put me in a most awkward position.	It put me in a most awkward position.
7874_110243_000021_000001	I assure you my cheeks flushed at the very thought.	I assure you my cheeks flushed at the very thought.
7874_110243_000022_000000	I hurried along the road at the top of my speed without seeing anything of Sir Henry, until I came to the point where the moor path branches off.	I hurried along the road at the top of my speed without seeing anything of Sir Henry, until I came to the point where the moor path branches off.
7874_110243_000022_000002	Thence I saw him at once.	Thence I saw him at once.
7874_110243_000022_000004	It was clear that there was already an understanding between them and that they had met by appointment.	It was clear that there was already an understanding between them and that they had met by appointment.
7874_110243_000022_000005	They were walking slowly along in deep conversation, and I saw her making quick little movements of her hands as if she were very earnest in what she was saying, while he listened intently, and once or twice shook his head in strong dissent.	They were walking slowly along in deep conversation, and I saw her making quick little movements of her hands as if she were very earnest in what she was saying, while he listened intently, and once or twice shook his head in strong dissent.
7874_110243_000022_000006	I stood among the rocks watching them, very much puzzled as to what I should do next.	I stood among the rocks watching them, very much puzzled as to what I should do next.
7874_110243_000022_000007	To follow them and break into their intimate conversation seemed to be an outrage, and yet my clear duty was never for an instant to let him out of my sight.	To follow them and break into their intimate conversation seemed to be an outrage, and yet my clear duty was never for an instant to let him out of my sight.
7874_110243_000022_000008	To act the spy upon a friend was a hateful task.	To act the spy upon a friend was a hateful task.
7874_110243_000022_000009	Still, I could see no better course than to observe him from the hill, and to clear my conscience by confessing to him afterwards what I had done.	Still, I could see no better course than to observe him from the hill, and to clear my conscience by confessing to him afterwards what I had done.
7874_110243_000023_000000	Our friend, Sir Henry, and the lady had halted on the path and were standing deeply absorbed in their conversation, when I was suddenly aware that I was not the only witness of their interview.	Our friend, Sir Henry, and the lady had halted on the path and were standing deeply absorbed in their conversation, when I was suddenly aware that I was not the only witness of their interview.
7874_110243_000023_000001	A wisp of green floating in the air caught my eye, and another glance showed me that it was carried on a stick by a man who was moving among the broken ground.	A wisp of green floating in the air caught my eye, and another glance showed me that it was carried on a stick by a man who was moving among the broken ground.
7874_110243_000023_000002	It was Stapleton with his butterfly-net.	It was Stapleton with his butterfly net.
7874_110243_000023_000003	He was very much closer to the pair than I was, and he appeared to be moving in their direction. At this instant Sir Henry suddenly drew Miss Stapleton to his side.	He was very much closer to the pair than I was, and he appeared to be moving in their direction. At this instant Sir Henry suddenly drew Miss Stapleton to his side.
7874_110243_000023_000004	His arm was round her, but it seemed to me that she was straining away from him with her face averted.	His arm was round her, but it seemed to me that she was straining away from him with her face averted.
7874_110243_000023_000005	He stooped his head to hers, and she raised one hand as if in protest.	He stooped his head to hers, and she raised one hand as if in protest.
7874_110243_000023_000006	Next moment I saw them spring apart and turn hurriedly round.	Next moment I saw them spring apart and turn hurriedly round.
7874_110243_000023_000007	Stapleton was the cause of the interruption.	Stapleton was the cause of the interruption.
7874_110243_000023_000008	He was running wildly towards them, his absurd net dangling behind him.	He was running wildly towards them, his absurd net dangling behind him.
7874_110243_000023_000009	He gesticulated and almost danced with excitement in front of the lovers. What the scene meant I could not imagine, but it seemed to me that Stapleton was abusing Sir Henry, who offered explanations, which became more angry as the other refused to accept them.	He gesticulated and almost danced with excitement in front of the lovers. What the scene meant I could not imagine, but it seemed to me that Stapleton was abusing Sir Henry, who offered explanations, which became more angry as the other refused to accept them.
7874_110243_000023_000010	The lady stood by in haughty silence.	The lady stood by in haughty silence.
7874_110243_000023_000011	Finally Stapleton turned upon his heel and beckoned in a peremptory way to his sister, who, after an irresolute glance at Sir Henry, walked off by the side of her brother.	Finally Stapleton turned upon his heel and beckoned in a peremptory way to his sister, who, after an irresolute glance at Sir Henry, walked off by the side of her brother.
7874_110243_000023_000012	The naturalist's angry gestures showed that the lady was included in his displeasure.	The naturalist's angry gestures showed that the lady was included in his displeasure.
7874_110243_000024_000001	I ran down the hill therefore and met the baronet at the bottom.	I ran down the hill therefore and met the baronet at the bottom.
7874_110243_000025_000001	Where have you dropped from?" said he.	Where have you dropped from?" said he.
7874_110243_000025_000002	"You don't mean to say that you came after me in spite of all?"	"You don't mean to say that you came after me in spite of all?"
7874_110243_000026_000000	I explained everything to him: how I had found it impossible to remain behind, how I had followed him, and how I had witnessed all that had occurred.	I explained everything to him: how I had found it impossible to remain behind, how I had followed him, and how I had witnessed all that had occurred.
7874_110243_000028_000000	"I was on that hill."	"I was on that hill."
7874_110243_000029_000000	"Quite in the back row, eh?	"Quite in the back row, eh?
7874_110243_000029_000001	But her brother was well up to the front. Did you see him come out on us?"	But her brother was well up to the front. Did you see him come out on us?"
7874_110243_000030_000000	"Yes, I did."	"Yes, I did."
7874_110243_000032_000000	"I can't say that he ever did."	"I can't say that he ever did."
7874_110243_000033_000000	"I dare say not.	"I dare say not.
7874_110243_000033_000001	I always thought him sane enough until today, but you can take it from me that either he or I ought to be in a straitjacket. What's the matter with me, anyhow?	I always thought him sane enough until today, but you can take it from me that either he or I ought to be in a straitjacket. What's the matter with me, anyhow?
7874_110243_000033_000003	Tell me straight, now!	Tell me straight, now!
7874_110243_000033_000004	Is there anything that would prevent me from making a good husband to a woman that I loved?"	Is there anything that would prevent me from making a good husband to a woman that I loved?"
7874_110243_000034_000000	"I should say not."	"I should say not."
7874_110243_000035_000000	"He can't object to my worldly position, so it must be myself that he has this down on.	"He can't object to my worldly position, so it must be myself that he has this down on.
7874_110243_000035_000003	And yet he would not so much as let me touch the tips of her fingers."	And yet he would not so much as let me touch the tips of her fingers."
7874_110243_000037_000001	I tell you, Watson, I've only known her these few weeks, but from the first I just felt that she was made for me, and she, too--she was happy when she was with me, and that I'll swear. There's a light in a woman's eyes that speaks louder than words.	I tell you, Watson, I've only known her these few weeks, but from the first I just felt that she was made for me, and she, too-she was happy when she was with me, and that I'll swear. There's a light in a woman's eyes that speaks louder than words.
7874_110243_000037_000002	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone.	But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone.
7874_110243_000037_000003	She was glad to meet me, but when she did it was not love that she would talk about, and she wouldn't have let me talk about it either if she could have stopped it.	She was glad to meet me, but when she did it was not love that she would talk about, and she wouldn't have let me talk about it either if she could have stopped it.
7874_110243_000037_000006	With that I offered in as many words to marry her, but before she could answer, down came this brother of hers, running at us with a face on him like a madman.	With that I offered in as many words to marry her, but before she could answer, down came this brother of hers, running at us with a face on him like a madman.
7874_110243_000037_000007	He was just white with rage, and those light eyes of his were blazing with fury.	He was just white with rage, and those light eyes of his were blazing with fury.
7874_110243_000037_000008	What was I doing with the lady?	What was I doing with the lady?
7874_110243_000038_000000	I tried one or two explanations, but, indeed, I was completely puzzled myself.	I tried one or two explanations, but, indeed, I was completely puzzled myself.
7874_110243_000038_000001	Our friend's title, his fortune, his age, his character, and his appearance are all in his favour, and I know nothing against him unless it be this dark fate which runs in his family.	Our friend's title, his fortune, his age, his character, and his appearance are all in his favour, and I know nothing against him unless it be this dark fate which runs in his family.
7874_110243_000038_000003	However, our conjectures were set at rest by a visit from Stapleton himself that very afternoon.	However, our conjectures were set at rest by a visit from Stapleton himself that very afternoon.
7874_110243_000038_000004	He had come to offer apologies for his rudeness of the morning, and after a long private interview with Sir Henry in his study the upshot of their conversation was that the breach is quite healed, and that we are to dine at Merripit House next Friday as a sign of it.	He had come to offer apologies for his rudeness of the morning, and after a long private interview with Sir Henry in his study the upshot of their conversation was that the breach is quite healed, and that we are to dine at Merripit House next Friday as a sign of it.
7874_110243_000040_000000	"Did he give any explanation of his conduct?"	"Did he give any explanation of his conduct?"
7874_110243_000041_000000	"His sister is everything in his life, he says.	"His sister is everything in his life, he says.
7874_110243_000041_000001	That is natural enough, and I am glad that he should understand her value.	That is natural enough, and I am glad that he should understand her value.
7874_110243_000041_000002	They have always been together, and according to his account he has been a very lonely man with only her as a companion, so that the thought of losing her was really terrible to him.	They have always been together, and according to his account he has been a very lonely man with only her as a companion, so that the thought of losing her was really terrible to him.
7874_110243_000041_000004	If she had to leave him he had rather it was to a neighbour like myself than to anyone else.	If she had to leave him he had rather it was to a neighbour like myself than to anyone else.
7874_110243_000041_000005	But in any case it was a blow to him and it would take him some time before he could prepare himself to meet it.	But in any case it was a blow to him and it would take him some time before he could prepare himself to meet it.
7874_110243_000041_000006	He would withdraw all opposition upon his part if I would promise for three months to let the matter rest and to be content with cultivating the lady's friendship during that time without claiming her love.	He would withdraw all opposition upon his part if I would promise for three months to let the matter rest and to be content with cultivating the lady's friendship during that time without claiming her love.
7874_110243_000041_000007	This I promised, and so the matter rests."	This I promised, and so the matter rests."
7874_110243_000042_000002	And now I pass on to another thread which I have extricated out of the tangled skein, the mystery of the sobs in the night, of the tear-stained face of Mrs. Barrymore, of the secret journey of the butler to the western lattice window.	And now I pass on to another thread which I have extricated out of the tangled skein, the mystery of the sobs in the night, of the tear stained face of mrs Barrymore, of the secret journey of the butler to the western lattice window.
7874_110243_000042_000004	All these things have by one night's work been thoroughly cleared.	All these things have by one night's work been thoroughly cleared.
7874_110243_000043_000000	I have said "by one night's work," but, in truth, it was by two nights' work, for on the first we drew entirely blank.	I have said "by one night's work," but, in truth, it was by two nights' work, for on the first we drew entirely blank.
7874_110243_000043_000001	I sat up with Sir Henry in his rooms until nearly three o'clock in the morning, but no sound of any sort did we hear except the chiming clock upon the stairs.	I sat up with Sir Henry in his rooms until nearly three o'clock in the morning, but no sound of any sort did we hear except the chiming clock upon the stairs.
7874_110243_000043_000002	It was a most melancholy vigil and ended by each of us falling asleep in our chairs.	It was a most melancholy vigil and ended by each of us falling asleep in our chairs.
7874_110243_000043_000003	Fortunately we were not discouraged, and we determined to try again.	Fortunately we were not discouraged, and we determined to try again.
7874_110243_000043_000004	The next night we lowered the lamp and sat smoking cigarettes without making the least sound.	The next night we lowered the lamp and sat smoking cigarettes without making the least sound.
7874_110243_000044_000000	Very stealthily we heard it pass along until it died away in the distance.	Very stealthily we heard it pass along until it died away in the distance.
7874_110243_000044_000001	Then the baronet gently opened his door and we set out in pursuit.	Then the baronet gently opened his door and we set out in pursuit.
7874_110243_000044_000003	Softly we stole along until we had come into the other wing.	Softly we stole along until we had come into the other wing.
7874_110243_000044_000004	We were just in time to catch a glimpse of the tall, black-bearded figure, his shoulders rounded as he tiptoed down the passage.	We were just in time to catch a glimpse of the tall, black bearded figure, his shoulders rounded as he tiptoed down the passage.
7874_110243_000044_000005	Then he passed through the same door as before, and the light of the candle framed it in the darkness and shot one single yellow beam across the gloom of the corridor.	Then he passed through the same door as before, and the light of the candle framed it in the darkness and shot one single yellow beam across the gloom of the corridor.
7874_110243_000044_000006	We shuffled cautiously towards it, trying every plank before we dared to put our whole weight upon it.	We shuffled cautiously towards it, trying every plank before we dared to put our whole weight upon it.
7874_110243_000044_000007	We had taken the precaution of leaving our boots behind us, but, even so, the old boards snapped and creaked beneath our tread.	We had taken the precaution of leaving our boots behind us, but, even so, the old boards snapped and creaked beneath our tread.
7874_110243_000044_000009	However, the man is fortunately rather deaf, and he was entirely preoccupied in that which he was doing.	However, the man is fortunately rather deaf, and he was entirely preoccupied in that which he was doing.
7874_110243_000044_000010	When at last we reached the door and peeped through we found him crouching at the window, candle in hand, his white, intent face pressed against the pane, exactly as I had seen him two nights before.	When at last we reached the door and peeped through we found him crouching at the window, candle in hand, his white, intent face pressed against the pane, exactly as I had seen him two nights before.
7874_110243_000045_000000	We had arranged no plan of campaign, but the baronet is a man to whom the most direct way is always the most natural.	We had arranged no plan of campaign, but the baronet is a man to whom the most direct way is always the most natural.
7874_110243_000045_000001	He walked into the room, and as he did so Barrymore sprang up from the window with a sharp hiss of his breath and stood, livid and trembling, before us.	He walked into the room, and as he did so Barrymore sprang up from the window with a sharp hiss of his breath and stood, livid and trembling, before us.
7874_110243_000045_000002	His dark eyes, glaring out of the white mask of his face, were full of horror and astonishment as he gazed from Sir Henry to me.	His dark eyes, glaring out of the white mask of his face, were full of horror and astonishment as he gazed from Sir Henry to me.
7874_110243_000047_000002	I go round at night to see that they are fastened."	I go round at night to see that they are fastened."
7874_110243_000048_000000	"On the second floor?"	"On the second floor?"
7874_110243_000050_000000	"Look here, Barrymore," said Sir Henry sternly, "we have made up our minds to have the truth out of you, so it will save you trouble to tell it sooner rather than later.	"Look here, Barrymore," said Sir Henry sternly, "we have made up our minds to have the truth out of you, so it will save you trouble to tell it sooner rather than later.
7874_110243_000050_000001	Come, now!	Come, now!
7874_110243_000050_000002	No lies!	No lies!
7874_110243_000050_000003	What were you doing at that window?"	What were you doing at that window?"
7874_110243_000052_000001	I was holding a candle to the window."	I was holding a candle to the window."
7874_110243_000053_000000	"And why were you holding a candle to the window?"	"And why were you holding a candle to the window?"
7874_110243_000054_000000	"Don't ask me, Sir Henry--don't ask me!	"Don't ask me, Sir Henry-don't ask me!
7874_110243_000054_000002	If it concerned no one but myself I would not try to keep it from you."	If it concerned no one but myself I would not try to keep it from you."
7874_110243_000056_000002	And then I gave a cry of exultation, for a tiny pinpoint of yellow light had suddenly transfixed the dark veil, and glowed steadily in the centre of the black square framed by the window.	And then I gave a cry of exultation, for a tiny pinpoint of yellow light had suddenly transfixed the dark veil, and glowed steadily in the centre of the black square framed by the window.
7874_110243_000057_000000	"There it is!" I cried.	"There it is!" I cried.
7874_110243_000059_000000	"Move your light across the window, Watson!" cried the baronet.	"Move your light across the window, Watson!" cried the baronet.
7874_110243_000059_000001	"See, the other moves also!	"See, the other moves also!
7874_110243_000059_000003	Who is your confederate out yonder, and what is this conspiracy that is going on?"	Who is your confederate out yonder, and what is this conspiracy that is going on?"
7874_110243_000060_000000	The man's face became openly defiant.	The man's face became openly defiant.
7874_110243_000060_000001	"It is my business, and not yours. I will not tell."	"It is my business, and not yours. I will not tell."
7874_110243_000062_000000	"Very good, sir.	"Very good, sir.
7874_110243_000062_000001	If I must I must."	If I must I must."
7874_110243_000063_000000	"And you go in disgrace.	"And you go in disgrace.
7874_110243_000064_000000	"No, no, sir; no, not against you!"	"No, no, sir; no, not against you!"
7874_110243_000064_000001	It was a woman's voice, and Mrs. Barrymore, paler and more horror-struck than her husband, was standing at the door.	It was a woman's voice, and mrs Barrymore, paler and more horror struck than her husband, was standing at the door.
7874_110243_000064_000002	Her bulky figure in a shawl and skirt might have been comic were it not for the intensity of feeling upon her face.	Her bulky figure in a shawl and skirt might have been comic were it not for the intensity of feeling upon her face.
7874_110243_000065_000000	"We have to go, Eliza.	"We have to go, Eliza.
7874_110243_000065_000001	This is the end of it.	This is the end of it.
7874_110243_000065_000002	You can pack our things," said the butler.	You can pack our things," said the butler.
7874_110243_000066_000000	"Oh, John, John, have I brought you to this?	"Oh, john, john, have I brought you to this?
7874_110243_000066_000001	It is my doing, Sir Henry--all mine.	It is my doing, Sir Henry-all mine.
7874_110243_000066_000002	He has done nothing except for my sake and because I asked him."	He has done nothing except for my sake and because I asked him."
7874_110243_000067_000000	"Speak out, then!	"Speak out, then!
7874_110243_000067_000001	What does it mean?"	What does it mean?"
7874_110243_000068_000000	"My unhappy brother is starving on the moor.	"My unhappy brother is starving on the moor.
7874_110243_000068_000001	We cannot let him perish at our very gates.	We cannot let him perish at our very gates.
7874_110243_000068_000002	The light is a signal to him that food is ready for him, and his light out yonder is to show the spot to which to bring it."	The light is a signal to him that food is ready for him, and his light out yonder is to show the spot to which to bring it."
7874_110243_000069_000000	"Then your brother is--"	"Then your brother is-"
7874_110243_000071_000000	"That's the truth, sir," said Barrymore.	"That's the truth, sir," said Barrymore.
7874_110243_000071_000001	"I said that it was not my secret and that I could not tell it to you.	"I said that it was not my secret and that I could not tell it to you.
7874_110243_000071_000002	But now you have heard it, and you will see that if there was a plot it was not against you."	But now you have heard it, and you will see that if there was a plot it was not against you."
7874_110243_000072_000000	This, then, was the explanation of the stealthy expeditions at night and the light at the window.	This, then, was the explanation of the stealthy expeditions at night and the light at the window.
7874_110243_000072_000001	Sir Henry and I both stared at the woman in amazement.	Sir Henry and I both stared at the woman in amazement.
7874_110243_000072_000002	Was it possible that this stolidly respectable person was of the same blood as one of the most notorious criminals in the country?	Was it possible that this stolidly respectable person was of the same blood as one of the most notorious criminals in the country?
7874_110243_000073_000000	"Yes, sir, my name was Selden, and he is my younger brother.	"Yes, sir, my name was Selden, and he is my younger brother.
7874_110243_000073_000003	From crime to crime he sank lower and lower until it is only the mercy of God which has snatched him from the scaffold; but to me, sir, he was always the little curly-headed boy that I had nursed and played with as an elder sister would.	From crime to crime he sank lower and lower until it is only the mercy of God which has snatched him from the scaffold; but to me, sir, he was always the little curly headed boy that I had nursed and played with as an elder sister would.
7874_110243_000073_000004	That was why he broke prison, sir.	That was why he broke prison, sir.
7874_110243_000073_000005	He knew that I was here and that we could not refuse to help him.	He knew that I was here and that we could not refuse to help him.
7874_110243_000073_000006	When he dragged himself here one night, weary and starving, with the warders hard at his heels, what could we do?	When he dragged himself here one night, weary and starving, with the warders hard at his heels, what could we do?
7874_110243_000073_000007	We took him in and fed him and cared for him.	We took him in and fed him and cared for him.
7874_110243_000073_000008	Then you returned, sir, and my brother thought he would be safer on the moor than anywhere else until the hue and cry was over, so he lay in hiding there. But every second night we made sure if he was still there by putting a light in the window, and if there was an answer my husband took out some bread and meat to him.	Then you returned, sir, and my brother thought he would be safer on the moor than anywhere else until the hue and cry was over, so he lay in hiding there. But every second night we made sure if he was still there by putting a light in the window, and if there was an answer my husband took out some bread and meat to him.
7874_110243_000073_000009	Every day we hoped that he was gone, but as long as he was there we could not desert him.	Every day we hoped that he was gone, but as long as he was there we could not desert him.
7874_110243_000073_000010	That is the whole truth, as I am an honest Christian woman and you will see that if there is blame in the matter it does not lie with my husband but with me, for whose sake he has done all that he has."	That is the whole truth, as I am an honest Christian woman and you will see that if there is blame in the matter it does not lie with my husband but with me, for whose sake he has done all that he has."
7874_110243_000074_000000	The woman's words came with an intense earnestness which carried conviction with them.	The woman's words came with an intense earnestness which carried conviction with them.
7874_110243_000076_000000	"Yes, Sir Henry.	"Yes, Sir Henry.
7874_110243_000076_000001	Every word of it."	Every word of it."
7874_110243_000077_000000	"Well, I cannot blame you for standing by your own wife.	"Well, I cannot blame you for standing by your own wife.
7874_110243_000077_000001	Forget what I have said.	Forget what I have said.
7874_110243_000077_000002	Go to your room, you two, and we shall talk further about this matter in the morning."	Go to your room, you two, and we shall talk further about this matter in the morning."
7874_110243_000078_000000	When they were gone we looked out of the window again.	When they were gone we looked out of the window again.
7874_110243_000078_000002	Far away in the black distance there still glowed that one tiny point of yellow light.	Far away in the black distance there still glowed that one tiny point of yellow light.
7874_110243_000079_000000	"I wonder he dares," said Sir Henry.	"I wonder he dares," said Sir Henry.
7874_110243_000080_000000	"It may be so placed as to be only visible from here."	"It may be so placed as to be only visible from here."
7874_110243_000081_000000	"Very likely.	"Very likely.
7874_110243_000081_000001	How far do you think it is?"	How far do you think it is?"
7874_110243_000083_000000	"Not more than a mile or two off."	"Not more than a mile or two off."
7874_110243_000084_000000	"Hardly that."	"Hardly that."
7874_110243_000086_000000	The same thought had crossed my own mind.	The same thought had crossed my own mind.
7874_110243_000086_000002	Their secret had been forced from them.	Their secret had been forced from them.
7874_110243_000086_000003	The man was a danger to the community, an unmitigated scoundrel for whom there was neither pity nor excuse.	The man was a danger to the community, an unmitigated scoundrel for whom there was neither pity nor excuse.
7874_110243_000086_000006	Any night, for example, our neighbours the Stapletons might be attacked by him, and it may have been the thought of this which made Sir Henry so keen upon the adventure.	Any night, for example, our neighbours the Stapletons might be attacked by him, and it may have been the thought of this which made Sir Henry so keen upon the adventure.
7874_110243_000087_000000	"I will come," said I.	"I will come," said i
7874_110243_000088_000000	"Then get your revolver and put on your boots.	"Then get your revolver and put on your boots.
7874_110243_000088_000001	The sooner we start the better, as the fellow may put out his light and be off."	The sooner we start the better, as the fellow may put out his light and be off."
7874_110243_000089_000002	Now and again the moon peeped out for an instant, but clouds were driving over the face of the sky, and just as we came out on the moor a thin rain began to fall.	Now and again the moon peeped out for an instant, but clouds were driving over the face of the sky, and just as we came out on the moor a thin rain began to fall.
7874_110243_000089_000003	The light still burned steadily in front.	The light still burned steadily in front.
7874_110243_000090_000000	"Are you armed?" I asked.	"Are you armed?" I asked.
7874_110243_000091_000000	"I have a hunting-crop."	"I have a hunting crop."
7874_110243_000092_000000	"We must close in on him rapidly, for he is said to be a desperate fellow.	"We must close in on him rapidly, for he is said to be a desperate fellow.
7874_110243_000092_000001	We shall take him by surprise and have him at our mercy before he can resist."	We shall take him by surprise and have him at our mercy before he can resist."
7874_110243_000093_000000	"I say, Watson," said the baronet, "what would Holmes say to this?	"I say, Watson," said the baronet, "what would Holmes say to this?
7874_110243_000093_000001	How about that hour of darkness in which the power of evil is exalted?"	How about that hour of darkness in which the power of evil is exalted?"
7874_110243_000094_000000	As if in answer to his words there rose suddenly out of the vast gloom of the moor that strange cry which I had already heard upon the borders of the great Grimpen Mire.	As if in answer to his words there rose suddenly out of the vast gloom of the moor that strange cry which I had already heard upon the borders of the great Grimpen Mire.
7874_110243_000094_000002	Again and again it sounded, the whole air throbbing with it, strident, wild, and menacing.	Again and again it sounded, the whole air throbbing with it, strident, wild, and menacing.
