225_131256_000002_000000	A visit to Mrs. Manson Mingott was always an amusing episode to the young man.	A visit to mrs Manson Mingott was always an amusing episode to the young man.
225_131256_000006_000003	Old Mrs. Mingott was delighted with the engagement, which, being long foreseen by watchful relatives, had been carefully passed upon in family council; and the engagement ring, a large thick sapphire set in invisible claws, met with her unqualified admiration.	Old mrs Mingott was delighted with the engagement, which, being long foreseen by watchful relatives, had been carefully passed upon in family council; and the engagement ring, a large thick sapphire set in invisible claws, met with her unqualified admiration.
225_131256_000007_000000	"It's the new setting: of course it shows the stone beautifully, but it looks a little bare to old-fashioned eyes," Mrs. Welland had explained, with a conciliatory side-glance at her future son-in-law.	"It's the new setting: of course it shows the stone beautifully, but it looks a little bare to old-fashioned eyes," mrs Welland had explained, with a conciliatory side glance at her future son in law.
225_131256_000008_000000	"Old-fashioned eyes?	"old-fashioned eyes?
225_131256_000008_000002	I like all the novelties," said the ancestress, lifting the stone to her small bright orbs, which no glasses had ever disfigured.	I like all the novelties," said the ancestress, lifting the stone to her small bright orbs, which no glasses had ever disfigured.
225_131256_000008_000005	But it's the hand that sets off the ring, isn't it, my dear Mr. Archer?" and she waved one of her tiny hands, with small pointed nails and rolls of aged fat encircling the wrist like ivory bracelets.	But it's the hand that sets off the ring, isn't it, my dear mr Archer?" and she waved one of her tiny hands, with small pointed nails and rolls of aged fat encircling the wrist like ivory bracelets.
225_131256_000008_000008	Her hand is large--it's these modern sports that spread the joints--but the skin is white.--And when's the wedding to be?" she broke off, fixing her eyes on Archer's face.	Her hand is large-it's these modern sports that spread the joints-but the skin is white.--And when's the wedding to be?" she broke off, fixing her eyes on Archer's face.
225_131256_000009_000000	"Oh--" Mrs. Welland murmured, while the young man, smiling at his betrothed, replied: "As soon as ever it can, if only you'll back me up, Mrs. Mingott."	"Oh-" mrs Welland murmured, while the young man, smiling at his betrothed, replied: "As soon as ever it can, if only you'll back me up, mrs Mingott."
225_131256_000010_000000	"We must give them time to get to know each other a little better, mamma," Mrs. Welland interposed, with the proper affectation of reluctance; to which the ancestress rejoined: "Know each other? Fiddlesticks!	"We must give them time to get to know each other a little better, mamma," mrs Welland interposed, with the proper affectation of reluctance; to which the ancestress rejoined: "Know each other? Fiddlesticks!
225_131256_000011_000000	These successive statements were received with the proper expressions of amusement, incredulity and gratitude; and the visit was breaking up in a vein of mild pleasantry when the door opened to admit the Countess Olenska, who entered in bonnet and mantle followed by the unexpected figure of Julius Beaufort.	These successive statements were received with the proper expressions of amusement, incredulity and gratitude; and the visit was breaking up in a vein of mild pleasantry when the door opened to admit the Countess Olenska, who entered in bonnet and mantle followed by the unexpected figure of Julius Beaufort.
225_131256_000012_000000	There was a cousinly murmur of pleasure between the ladies, and Mrs. Mingott held out Ferrigiani's model to the banker.	There was a cousinly murmur of pleasure between the ladies, and mrs Mingott held out Ferrigiani's model to the banker.
225_131256_000013_000000	"Thanks.	"Thanks.
225_131256_000014_000001	"Sit down--sit down, Beaufort: push up the yellow armchair; now I've got you I want a good gossip.	"Sit down-sit down, Beaufort: push up the yellow armchair; now I've got you I want a good gossip.
225_131256_000015_000000	She had forgotten her relatives, who were drifting out into the hall under Ellen Olenska's guidance.	She had forgotten her relatives, who were drifting out into the hall under Ellen Olenska's guidance.
225_131256_000015_000001	Old Mrs. Mingott had always professed a great admiration for Julius Beaufort, and there was a kind of kinship in their cool domineering way and their short-cuts through the conventions.	Old mrs Mingott had always professed a great admiration for Julius Beaufort, and there was a kind of kinship in their cool domineering way and their short cuts through the conventions.
225_131256_000016_000000	In the hall, while Mrs. Welland and May drew on their furs, Archer saw that the Countess Olenska was looking at him with a faintly questioning smile.	In the hall, while mrs Welland and May drew on their furs, Archer saw that the Countess Olenska was looking at him with a faintly questioning smile.
225_131256_000017_000000	"Of course you know already--about May and me," he said, answering her look with a shy laugh.	"Of course you know already-about May and me," he said, answering her look with a shy laugh.
