249_121331_000000_000000	CHAPTER 4.	CHAPTER four.
249_121331_000078_000000	"Well, let's waive it--we won't get anywhere, and besides I haven't quite made up my mind about it myself.	"Well, let's waive it-we won't get anywhere, and besides I haven't quite made up my mind about it myself.
249_121331_000080_000000	"Yes."	"Yes."
249_121331_000081_000000	"That's what Tom and I figured," Amory agreed.	"That's what Tom and I figured," Amory agreed.
249_121331_000083_000000	"People unconsciously admit it," said Amory.	"People unconsciously admit it," said Amory.
249_121331_000083_000002	If a blond girl doesn't talk we call her a 'doll'; if a light-haired man is silent he's considered stupid.	If a blond girl doesn't talk we call her a 'doll'; if a light haired man is silent he's considered stupid.
249_121331_000085_000000	"I'm not so sure." Amory was all for classical features.	"I'm not so sure." Amory was all for classical features.
249_121331_000086_000000	"Oh, yes--I'll show you," and Burne pulled out of his desk a photographic collection of heavily bearded, shaggy celebrities--Tolstoi, Whitman, Carpenter, and others.	"Oh, yes-I'll show you," and Burne pulled out of his desk a photographic collection of heavily bearded, shaggy celebrities-Tolstoi, Whitman, Carpenter, and others.
249_121331_000087_000000	"Aren't they wonderful?"	"Aren't they wonderful?"
249_121331_000088_000000	Amory tried politely to appreciate them, and gave up laughingly.	Amory tried politely to appreciate them, and gave up laughingly.
249_121331_000091_000000	Amory shook his head.	Amory shook his head.
249_121331_000092_000000	"No! Call them remarkable-looking or anything you want--but ugly they certainly are."	"No! Call them remarkable looking or anything you want-but ugly they certainly are."
249_121331_000093_000000	Unabashed, Burne ran his hand lovingly across the spacious foreheads, and piling up the pictures put them back in his desk.	Unabashed, Burne ran his hand lovingly across the spacious foreheads, and piling up the pictures put them back in his desk.
249_121331_000095_000000	"I hate the dark," Amory objected.	"I hate the dark," Amory objected.
249_121331_000095_000001	"I didn't use to--except when I was particularly imaginative, but now, I really do--I'm a regular fool about it."	"I didn't use to-except when I was particularly imaginative, but now, I really do-I'm a regular fool about it."
249_121331_000097_000000	"Quite possibly."	"Quite possibly."
249_121331_000098_000000	"We'll go east," Burne suggested, "and down that string of roads through the woods."	"We'll go east," Burne suggested, "and down that string of roads through the woods."
249_121331_000099_000000	"Doesn't sound very appealing to me," admitted Amory reluctantly, "but let's go."	"Doesn't sound very appealing to me," admitted Amory reluctantly, "but let's go."
249_121331_000101_000001	"And this very walking at night is one of the things I was afraid about.	"And this very walking at night is one of the things I was afraid about.
249_121331_000101_000002	I'm going to tell you why I can walk anywhere now and not be afraid."	I'm going to tell you why I can walk anywhere now and not be afraid."
249_121331_000102_000000	"Go on," Amory urged eagerly.	"Go on," Amory urged eagerly.
249_121331_000103_000000	"I used to come out here alone at night, oh, three months ago, and I always stopped at that cross-road we just passed.	"I used to come out here alone at night, oh, three months ago, and I always stopped at that cross road we just passed.
249_121331_000103_000002	Of course, I peopled the woods with everything ghastly, just like you do; don't you?"	Of course, I peopled the woods with everything ghastly, just like you do; don't you?"
249_121331_000105_000001	That made it all right--as it always makes everything all right to project yourself completely into another's place.	That made it all right-as it always makes everything all right to project yourself completely into another's place.
249_121331_000105_000003	Then I thought of my watch.	Then I thought of my watch.
249_121331_000105_000005	No; I decided, it's better on the whole that I should lose a watch than that I should turn back--and I did go into them--not only followed the road through them, but walked into them until I wasn't frightened any more--did it until one night I sat down and dozed off in there; then I knew I was through being afraid of the dark."	No; I decided, it's better on the whole that I should lose a watch than that I should turn back-and I did go into them-not only followed the road through them, but walked into them until I wasn't frightened any more-did it until one night I sat down and dozed off in there; then I knew I was through being afraid of the dark."
249_121331_000106_000000	"Lordy," Amory breathed.	"Lordy," Amory breathed.
249_121331_000106_000002	I'd have come out half-way, and the first time an automobile passed and made the dark thicker when its lamps disappeared, I'd have come in."	I'd have come out half-way, and the first time an automobile passed and made the dark thicker when its lamps disappeared, I'd have come in."
249_121331_000107_000000	"Well," Burne said suddenly, after a few moments' silence, "we're half-way through, let's turn back."	"Well," Burne said suddenly, after a few moments' silence, "we're half-way through, let's turn back."
249_121331_000108_000000	On the return he launched into a discussion of will.	On the return he launched into a discussion of will.
249_121331_000109_000002	I've never met a man who led a rotten life and didn't have a weak will."	I've never met a man who led a rotten life and didn't have a weak will."
249_121331_000110_000000	"How about great criminals?"	"How about great criminals?"
249_121331_000111_000001	If not, they're weak.	If not, they're weak.
249_121331_000112_000000	"Burne, I disagree with you altogether; how about the superman?"	"Burne, I disagree with you altogether; how about the superman?"
249_121331_000113_000000	"Well?"	"Well?"
249_121331_000114_000000	"He's evil, I think, yet he's strong and sane."	"He's evil, I think, yet he's strong and sane."
249_121331_000115_000000	"I've never met him.	"I've never met him.
249_121331_000116_000000	"I've met him over and over and he's neither.	"I've met him over and over and he's neither.
249_121331_000117_000000	"I'm sure I'm not--and so I don't believe in imprisonment except for the insane."	"I'm sure I'm not-and so I don't believe in imprisonment except for the insane."
249_121331_000118_000000	On this point Amory could not agree.	On this point Amory could not agree.
249_121331_000118_000001	It seemed to him that life and history were rife with the strong criminal, keen, but often self-deluding; in politics and business one found him and among the old statesmen and kings and generals; but Burne never agreed and their courses began to split on that point.	It seemed to him that life and history were rife with the strong criminal, keen, but often self deluding; in politics and business one found him and among the old statesmen and kings and generals; but Burne never agreed and their courses began to split on that point.
249_121331_000119_000000	Burne was drawing farther and farther away from the world about him.	Burne was drawing farther and farther away from the world about him.
249_121331_000119_000003	Sometimes Amory would see him squirm in his seat; and his face would light up; he was on fire to debate a point.	Sometimes Amory would see him squirm in his seat; and his face would light up; he was on fire to debate a point.
249_121331_000122_000000	"It's a bad time to admit it--people are beginning to think he's odd."	"It's a bad time to admit it-people are beginning to think he's odd."
249_121331_000124_000000	Tom grew rather annoyed.	Tom grew rather annoyed.
249_121331_000125_000000	"What's he trying to do--be excessively holy?"	"What's he trying to do-be excessively holy?"
249_121331_000126_000000	"No! not like anybody you've ever seen.	"No! not like anybody you've ever seen.
249_121331_000126_000002	He has no faith in that rot.	He has no faith in that rot.
249_121331_000126_000003	He doesn't believe that public swimming-pools and a kind word in time will right the wrongs of the world; moreover, he takes a drink whenever he feels like it."	He doesn't believe that public swimming pools and a kind word in time will right the wrongs of the world; moreover, he takes a drink whenever he feels like it."
249_121331_000128_000000	"Have you talked to him lately?"	"Have you talked to him lately?"
249_121331_000132_000000	"It's odd," Amory said to Tom one night when they had grown more amicable on the subject, "that the people who violently disapprove of Burne's radicalism are distinctly the Pharisee class--I mean they're the best-educated men in college--the editors of the papers, like yourself and Ferrenby, the younger professors....	"It's odd," Amory said to Tom one night when they had grown more amicable on the subject, "that the people who violently disapprove of Burne's radicalism are distinctly the Pharisee class-I mean they're the best educated men in college-the editors of the papers, like yourself and Ferrenby, the younger professors....
249_121331_000132_000001	The illiterate athletes like Langueduc think he's getting eccentric, but they just say, 'Good old Burne has got some queer ideas in his head,' and pass on--the Pharisee class--Gee! they ridicule him unmercifully."	The illiterate athletes like Langueduc think he's getting eccentric, but they just say, 'Good old Burne has got some queer ideas in his head,' and pass on-the Pharisee class-Gee! they ridicule him unmercifully."
249_121331_000133_000000	The next morning he met Burne hurrying along McCosh walk after a recitation.	The next morning he met Burne hurrying along McCosh walk after a recitation.
249_121331_000134_000000	"Whither bound, Tsar?"	"Whither bound, Tsar?"
249_121331_000135_000000	"Over to the Prince office to see Ferrenby," he waved a copy of the morning's Princetonian at Amory.	"Over to the Prince office to see Ferrenby," he waved a copy of the morning's Princetonian at Amory.
249_121331_000135_000001	"He wrote this editorial."	"He wrote this editorial."
249_121331_000136_000000	"Going to flay him alive?"	"Going to flay him alive?"
249_121331_000137_000000	"No--but he's got me all balled up.	"No-but he's got me all balled up.
249_121331_000137_000001	Either I've misjudged him or he's suddenly become the world's worst radical."	Either I've misjudged him or he's suddenly become the world's worst radical."
249_121331_000138_000001	Burne had come into the editor's sanctum displaying the paper cheerfully.	Burne had come into the editor's sanctum displaying the paper cheerfully.
249_121331_000139_000000	"Hello, Jesse."	"Hello, Jesse."
249_121331_000140_000000	"Hello there, Savonarola."	"Hello there, Savonarola."
249_121331_000141_000000	"I just read your editorial."	"I just read your editorial."
249_121331_000143_000000	"Jesse, you startled me."	"Jesse, you startled me."
249_121331_000144_000000	"How so?"	"How so?"
249_121331_000147_000000	"Like this morning."	"Like this morning."
249_121331_000148_000000	"What the devil--that editorial was on the coaching system."	"What the devil-that editorial was on the coaching system."
249_121331_000149_000000	"Yes, but that quotation--"	"Yes, but that quotation-"
249_121331_000150_000000	Jesse sat up.	Jesse sat up.
249_121331_000151_000000	"What quotation?"	"What quotation?"
249_121331_000153_000000	"Well--what about it?"	"Well-what about it?"
249_121331_000154_000000	Jesse was puzzled but not alarmed.	Jesse was puzzled but not alarmed.
