188_141613_000000_000000	What she said she never could remember afterwards; but what the boy said, she never forgot.	What she said she never could remember afterwards; but what the boy said, she never forgot.	false	0	7.77	25.476587
188_141613_000024_000000	And Pollyanna told him.	And Pollyanna told him.	true	395.36	398.02	26.361948
188_141613_000025_000000	In talking of Jamie, Pollyanna lost her worried, baffled look. Pollyanna loved to talk of Jamie.	In talking of Jamie, Pollyanna lost her worried, baffled look. Pollyanna loved to talk of Jamie.	true	398.21	404.95	21.125084
188_141613_000025_000001	Here was something she understood. Here was no problem that had to deal with big, fearsome-sounding words.	Here was something she understood. Here was no problem that had to deal with big, fearsome sounding words.	true	405.41	413.23	22.767622
188_141613_000025_000002	Besides, in this particular instance--would not Mr. Pendleton be especially interested in Mrs. Carew's taking the boy into her home, for who better than himself could understand the need of a child's presence?	Besides, in this particular instance-would not mr Pendleton be especially interested in mrs Carew's taking the boy into her home, for who better than himself could understand the need of a child's presence?	true	413.84	428.17	22.27423
188_141613_000026_000000	For that matter, Pollyanna talked to everybody about Jamie.	For that matter, Pollyanna talked to everybody about Jamie.	true	429.89	433.36	26.268902
188_141613_000026_000001	She assumed that everybody would be as interested as she herself was.	She assumed that everybody would be as interested as she herself was.	true	433.79	437.95	23.172646
188_141613_000026_000002	On most occasions she was not disappointed in the interest shown; but one day she met with a surprise.	On most occasions she was not disappointed in the interest shown; but one day she met with a surprise.	true	439.16	446.2	21.56385
188_141613_000026_000003	It came through Jimmy Pendleton.	It came through Jimmy Pendleton.	true	447.11	449.44	26.698338
188_141613_000027_000000	"Say, look a-here," he demanded one afternoon, irritably.	"Say, look a here," he demanded one afternoon, irritably.	true	450.26	453.79	21
188_141613_000027_000001	"Wasn't there ANYBODY else down to Boston but just that everlasting 'Jamie'?"	"Wasn't there ANYBODY else down to Boston but just that everlasting 'Jamie'?"	true	454.13	459.07	23.916943
188_141613_000028_000000	"Why, Jimmy Bean, what do you mean?" cried Pollyanna.	"Why, Jimmy Bean, what do you mean?" cried Pollyanna.	true	460.49	463.9	23.963387
188_141613_000029_000000	The boy lifted his chin a little.	The boy lifted his chin a little.	true	464.9	466.9	25.367735
188_141613_000030_000000	"I'm not Jimmy Bean.	"I'm not Jimmy Bean.	true	467.69	469.275	18
188_141613_000030_000001	I'm Jimmy Pendleton.	I'm Jimmy Pendleton.	true	469.275	470.8	29.206816
188_141613_000030_000002	And I mean that I should think, from your talk, that there wasn't ANYBODY down to Boston but just that loony boy who calls them birds and squirrels 'Lady Lancelot,' and all that tommyrot."	And I mean that I should think, from your talk, that there wasn't ANYBODY down to Boston but just that loony boy who calls them birds and squirrels 'Lady Lancelot,' and all that tommyrot."	true	471.08	484.96	22.429121
188_141613_000031_000000	"Why, Jimmy Be--Pendleton!" gasped Pollyanna.	"Why, Jimmy Be-Pendleton!" gasped Pollyanna.	true	485.9	490.21	22.315899
188_141613_000031_000001	Then, with some spirit: "Jamie isn't loony!	Then, with some spirit: "Jamie isn't loony!	true	490.34	494.44	25.181698
188_141613_000031_000002	He is a very nice boy.	He is a very nice boy.	true	494.57	496.96	21.23938
188_141613_000031_000003	And he knows a lot--books and stories!	And he knows a lot-books and stories!	true	497.06	500.53	25.17255
188_141613_000031_000004	Why, he can MAKE stories right out of his own head! Besides, it isn't 'Lady Lancelot,'--it's 'Sir Lancelot.' If you knew half as much as he does you'd know that, too!" she finished, with flashing eyes.	Why, he can MAKE stories right out of his own head! Besides, it isn't 'Lady Lancelot,'--it's 'Sir Lancelot.' If you knew half as much as he does you'd know that, too!" she finished, with flashing eyes.	true	501.05	517.06	23.940443
188_141613_000032_000000	Jimmy Pendleton flushed miserably and looked utterly wretched.	Jimmy Pendleton flushed miserably and looked utterly wretched.	true	518.81	522.91	27.710184
188_141613_000032_000001	Growing more and more jealous moment by moment, still doggedly he held his ground.	Growing more and more jealous moment by moment, still doggedly he held his ground.	true	523.52	528.52	22.51092
188_141613_000033_000000	"Well, anyhow," he scoffed, "I don't think much of his name.	"Well, anyhow," he scoffed, "I don't think much of his name.	false	529.58	534.16	23.110977
188_141613_000033_000001	'Jamie'! Humph!--sounds sissy!	'Jamie'! Humph!--sounds sissy!	false	534.23	537.25	20.553854
188_141613_000033_000002	And I know somebody else that said so, too."	And I know somebody else that said so, too."	true	537.92	540.37	22.22705
188_141613_000034_000000	"Who was it?"	"Who was it?"	true	541.16	542.2	21.255295
188_141613_000035_000000	There was no answer.	There was no answer.	true	542.84	544.26	24.211746
188_141613_000036_000000	"WHO WAS IT?" demanded Pollyanna, more peremptorily.	"w h o WAS IT?" demanded Pollyanna, more peremptorily.	false	544.26	549.73	23.502665
188_141613_000037_000000	"Dad." The boy's voice was sullen.	"Dad." The boy's voice was sullen.	true	550.97	553.69	19.141178
188_141613_000038_000000	"Your--dad?" repeated Pollyanna, in amazement.	"Your-dad?" repeated Pollyanna, in amazement.	true	554.3	557.38	21.708364
188_141613_000038_000001	"Why, how could he know Jamie?"	"Why, how could he know Jamie?"	true	557.69	559.57	21.10947
188_141613_000039_000000	"He didn't. 'Twasn't about that Jamie. 'Twas about me." The boy still spoke sullenly, with his eyes turned away.	"He didn't. 'Twasn't about that Jamie. 'twas about me." The boy still spoke sullenly, with his eyes turned away.	true	560.54	569.8	23.052593
188_141613_000039_000001	Yet there was a curious softness in his voice that was always noticeable whenever he spoke of his father.	Yet there was a curious softness in his voice that was always noticeable whenever he spoke of his father.	true	570.41	577.06	23.973795
188_141613_000040_000000	"YOU!"	"YOU!"	true	577.76	578.71	26.263027
188_141613_000041_000000	"Yes. 'Twas just a little while before he died.	"Yes. 'twas just a little while before he died.	true	579.44	582.25	18.643475
188_141613_000041_000001	We stopped 'most a week with a farmer.	We stopped 'most a week with a farmer.	true	582.68	585.04	24.198418
188_141613_000041_000002	Dad helped about the hayin'--and I did, too, some. The farmer's wife was awful good to me, and pretty quick she was callin' me 'Jamie.' I don't know why, but she just did.	Dad helped about the hayin'--and I did, too, some. The farmer's wife was awful good to me, and pretty quick she was callin' me 'Jamie.' I don't know why, but she just did.	true	585.29	597.49	21.571136
188_141613_000041_000003	And one day father heard her.	And one day father heard her.	true	598.22	600.55	25.319153
188_141613_000041_000004	He got awful mad--so mad that I remembered it always--what he said.	He got awful mad-so mad that I remembered it always-what he said.	true	600.83	606.19	22.564024
188_141613_000041_000005	He said 'Jamie' wasn't no sort of a name for a boy, and that no son of his should ever be called it.	He said 'Jamie' wasn't no sort of a name for a boy, and that no son of his should ever be called it.	true	606.71	614.08	20.694302
188_141613_000041_000006	He said 'twas a sissy name, and he hated it.	He said 'twas a sissy name, and he hated it.	true	614.63	617.53	20.395903
188_141613_000041_000007	'Seems so I never saw him so mad as he was that night.	'Seems so I never saw him so mad as he was that night.	true	618.59	622.24	18.407305
188_141613_000041_000008	He wouldn't even stay to finish the work, but him and me took to the road again that night.	He wouldn't even stay to finish the work, but him and me took to the road again that night.	true	622.82	628.18	23.530182
188_141613_000041_000009	I was kind of sorry, 'cause I liked her--the farmer's wife, I mean.	I was kind of sorry, 'cause I liked her-the farmer's wife, I mean.	true	629.12	633.28	24.30516
188_141613_000041_000010	She was good to me."	She was good to me."	true	633.38	634.81	26.276909
188_141613_000042_000000	Pollyanna nodded, all sympathy and interest.	Pollyanna nodded, all sympathy and interest.	true	636.53	639.43	21.08106
188_141613_000042_000001	It was not often that Jimmy said much of that mysterious past life of his, before she had known him.	It was not often that Jimmy said much of that mysterious past life of his, before she had known him.	true	640.25	646.24	24.643778
188_141613_000043_000000	"And what happened next?" she prompted.	"And what happened next?" she prompted.	true	647.3	649.54	20.010263
188_141613_000043_000001	Pollyanna had, for the moment, forgotten all about the original subject of the controversy--the name "Jamie" that was dubbed "sissy."	Pollyanna had, for the moment, forgotten all about the original subject of the controversy-the name "Jamie" that was dubbed "sissy."	true	650.42	659.14	20.126621
188_141613_000044_000000	The boy sighed.	The boy sighed.	true	660.62	662.29	21.455774
188_141613_000045_000000	"We just went on till we found another place.	"We just went on till we found another place.	true	663.17	665.8	23.836864
188_141613_000045_000001	And 'twas there dad--died.	And 'twas there dad-died.	true	665.99	669.61	21.419657
188_141613_000045_000002	Then they put me in the 'sylum."	Then they put me in the 'sylum."	true	669.98	671.95	22.62853
188_141613_000046_000000	"And then you ran away and I found you that day, down by Mrs. Snow's," exulted Pollyanna, softly.	"And then you ran away and I found you that day, down by mrs Snow's," exulted Pollyanna, softly.	true	672.95	678.79	21.56405
188_141613_000046_000001	"And I've known you ever since."	"And I've known you ever since."	true	679.16	681.1	22.315681
188_141613_000047_000000	"Oh, yes--and you've known me ever since," repeated Jimmy--but in a far different voice: Jimmy had suddenly come back to the present, and to his grievance.	"Oh, yes-and you've known me ever since," repeated Jimmy-but in a far different voice: Jimmy had suddenly come back to the present, and to his grievance.	true	682.07	693.46	21.839792
188_141613_000047_000001	"But, then, I ain't 'JAMIE,' you know," he finished with scornful emphasis, as he turned loftily away, leaving a distressed, bewildered Pollyanna behind him.	"But, then, I ain't 'JAMIE,' you know," he finished with scornful emphasis, as he turned loftily away, leaving a distressed, bewildered Pollyanna behind him.	true	694.19	704.53	22.368183
188_141613_000048_000000	"Well, anyway, I can be glad he doesn't always act like this," sighed the little girl, as she mournfully watched the sturdy, boyish figure with its disagreeable, amazing swagger.	"Well, anyway, I can be glad he doesn't always act like this," sighed the little girl, as she mournfully watched the sturdy, boyish figure with its disagreeable, amazing swagger.	false	706.97	729.15	23.61445
