166_352_000000_000000	Chapter 5	Chapter five	true	34.05	35.56	25.185543
166_352_000006_000002	I did not dare return to the apartment which I inhabited, but felt impelled to hurry on, although drenched by the rain which poured from a black and comfortless sky.	I did not dare return to the apartment which I inhabited, but felt impelled to hurry on, although drenched by the rain which poured from a black and comfortless sky.	true	385.34	396.37	20.610422
166_352_000007_000000	I continued walking in this manner for some time, endeavouring by bodily exercise to ease the load that weighed upon my mind.	I continued walking in this manner for some time, endeavouring by bodily exercise to ease the load that weighed upon my mind.	true	398.27	406.06	16
166_352_000007_000001	I traversed the streets without any clear conception of where I was or what I was doing.	I traversed the streets without any clear conception of where I was or what I was doing.	true	406.91	411.91	12
166_352_000007_000002	My heart palpitated in the sickness of fear, and I hurried on with irregular steps, not daring to look about me:	My heart palpitated in the sickness of fear, and I hurried on with irregular steps, not daring to look about me:	true	413.15	421	21
166_352_000008_000000	Like one who, on a lonely road, Doth walk in fear and dread, And, having once turned round, walks on, And turns no more his head; Because he knows a frightful fiend Doth close behind him tread.	Like one who, on a lonely road, Doth walk in fear and dread, And, having once turned round, walks on, And turns no more his head; Because he knows a frightful fiend Doth close behind him tread.	false	423.05	436.3	19.225851
166_352_000009_000000	[Coleridge's "Ancient Mariner."]	[Coleridge's "Ancient Mariner."]	true	436.64	438.46	20
166_352_000010_000000	Continuing thus, I came at length opposite to the inn at which the various diligences and carriages usually stopped.	Continuing thus, I came at length opposite to the inn at which the various diligences and carriages usually stopped.	true	440.51	448.06	20
166_352_000010_000001	Here I paused, I knew not why; but I remained some minutes with my eyes fixed on a coach that was coming towards me from the other end of the street.	Here I paused, I knew not why; but I remained some minutes with my eyes fixed on a coach that was coming towards me from the other end of the street.	true	448.64	458.2	21.586445
166_352_000010_000002	As it drew nearer I observed that it was the Swiss diligence; it stopped just where I was standing, and on the door being opened, I perceived Henry Clerval, who, on seeing me, instantly sprung out.	As it drew nearer I observed that it was the Swiss diligence; it stopped just where I was standing, and on the door being opened, I perceived Henry Clerval, who, on seeing me, instantly sprung out.	false	459.23	473.05	20.411669
166_352_000010_000003	"My dear Frankenstein," exclaimed he, "how glad I am to see you!	"My dear Frankenstein," exclaimed he, "how glad I am to see you!	true	473.36	478.03	19
166_352_000010_000004	How fortunate that you should be here at the very moment of my alighting!"	How fortunate that you should be here at the very moment of my alighting!"	true	478.28	482.26	14
166_352_000011_000000	Nothing could equal my delight on seeing Clerval; his presence brought back to my thoughts my father, Elizabeth, and all those scenes of home so dear to my recollection.	Nothing could equal my delight on seeing Clerval; his presence brought back to my thoughts my father, Elizabeth, and all those scenes of home so dear to my recollection.	true	483.38	494.2	20.750563
166_352_000011_000001	I grasped his hand, and in a moment forgot my horror and misfortune; I felt suddenly, and for the first time during many months, calm and serene joy.	I grasped his hand, and in a moment forgot my horror and misfortune; I felt suddenly, and for the first time during many months, calm and serene joy.	false	494.96	506.68	20.102108
166_352_000011_000002	I welcomed my friend, therefore, in the most cordial manner, and we walked towards my college.	I welcomed my friend, therefore, in the most cordial manner, and we walked towards my college.	true	507.68	513.13	15
166_352_000011_000003	Clerval continued talking for some time about our mutual friends and his own good fortune in being permitted to come to Ingolstadt.	Clerval continued talking for some time about our mutual friends and his own good fortune in being permitted to come to Ingolstadt.	true	514.34	522.52	20
166_352_000011_000004	"You may easily believe," said he, "how great was the difficulty to persuade my father that all necessary knowledge was not comprised in the noble art of book-keeping; and, indeed, I believe I left him incredulous to the last, for his constant answer to my unwearied entreaties was the same as that of the Dutch schoolmaster in The Vicar of Wakefield: 'I have ten thousand florins a year without Greek, I eat heartily without Greek.' But his affection for me at length overcame his dislike of learning, and he has permitted me to undertake a voyage of discovery to the land of knowledge."	"You may easily believe," said he, "how great was the difficulty to persuade my father that all necessary knowledge was not comprised in the noble art of book keeping; and, indeed, I believe I left him incredulous to the last, for his constant answer to my unwearied entreaties was the same as that of the Dutch schoolmaster in The Vicar of Wakefield: 'I have ten thousand florins a year without Greek, I eat heartily without Greek.' But his affection for me at length overcame his dislike of learning, and he has permitted me to undertake a voyage of discovery to the land of knowledge."	true	523.46	561.31	20.491598
166_352_000012_000000	"It gives me the greatest delight to see you; but tell me how you left my father, brothers, and Elizabeth."	"It gives me the greatest delight to see you; but tell me how you left my father, brothers, and Elizabeth."	true	563.3	569.59	21.52043
166_352_000013_000000	"Very well, and very happy, only a little uneasy that they hear from you so seldom.	"Very well, and very happy, only a little uneasy that they hear from you so seldom.	true	570.62	576.7	18.299202
166_352_000013_000001	By the by, I mean to lecture you a little upon their account myself.	By the by, I mean to lecture you a little upon their account myself.	true	578.06	582.43	20.380335
166_352_000013_000002	But, my dear Frankenstein," continued he, stopping short and gazing full in my face, "I did not before remark how very ill you appear; so thin and pale; you look as if you had been watching for several nights."	But, my dear Frankenstein," continued he, stopping short and gazing full in my face, "I did not before remark how very ill you appear; so thin and pale; you look as if you had been watching for several nights."	true	583.16	598.51	20.883411
166_352_000014_000000	"You have guessed right; I have lately been so deeply engaged in one occupation that I have not allowed myself sufficient rest, as you see; but I hope, I sincerely hope, that all these employments are now at an end and that I am at length free."	"You have guessed right; I have lately been so deeply engaged in one occupation that I have not allowed myself sufficient rest, as you see; but I hope, I sincerely hope, that all these employments are now at an end and that I am at length free."	true	600.59	619.81	19.659946
166_352_000015_000000	I trembled excessively; I could not endure to think of, and far less to allude to, the occurrences of the preceding night.	I trembled excessively; I could not endure to think of, and far less to allude to, the occurrences of the preceding night.	true	620.84	629.86	20.487207
166_352_000015_000001	I walked with a quick pace, and we soon arrived at my college.	I walked with a quick pace, and we soon arrived at my college.	true	631.16	635.47	25.01281
166_352_000015_000002	I then reflected, and the thought made me shiver, that the creature whom I had left in my apartment might still be there, alive and walking about.	I then reflected, and the thought made me shiver, that the creature whom I had left in my apartment might still be there, alive and walking about.	true	636.59	646.39	20.699394
166_352_000015_000003	I dreaded to behold this monster, but I feared still more that Henry should see him. Entreating him, therefore, to remain a few minutes at the bottom of the stairs, I darted up towards my own room.	I dreaded to behold this monster, but I feared still more that Henry should see him. Entreating him, therefore, to remain a few minutes at the bottom of the stairs, I darted up towards my own room.	true	647.3	661.27	19.96196
166_352_000015_000004	My hand was already on the lock of the door before I recollected myself.	My hand was already on the lock of the door before I recollected myself.	true	661.97	666.37	19
166_352_000015_000005	I then paused, and a cold shivering came over me.	I then paused, and a cold shivering came over me.	true	668.09	671.44	16
166_352_000015_000006	I threw the door forcibly open, as children are accustomed to do when they expect a spectre to stand in waiting for them on the other side; but nothing appeared.	I threw the door forcibly open, as children are accustomed to do when they expect a spectre to stand in waiting for them on the other side; but nothing appeared.	true	672.47	682.54	21.657656
166_352_000015_000007	I stepped fearfully in: the apartment was empty, and my bedroom was also freed from its hideous guest.	I stepped fearfully in: the apartment was empty, and my bedroom was also freed from its hideous guest.	true	683.36	690.58	19.720888
166_352_000015_000008	I could hardly believe that so great a good fortune could have befallen me, but when I became assured that my enemy had indeed fled, I clapped my hands for joy and ran down to Clerval.	I could hardly believe that so great a good fortune could have befallen me, but when I became assured that my enemy had indeed fled, I clapped my hands for joy and ran down to Clerval.	true	691.34	703.69	20.817467
166_352_000016_000000	We ascended into my room, and the servant presently brought breakfast; but I was unable to contain myself.	We ascended into my room, and the servant presently brought breakfast; but I was unable to contain myself.	true	706.01	713.26	19.994911
166_352_000016_000001	It was not joy only that possessed me; I felt my flesh tingle with excess of sensitiveness, and my pulse beat rapidly.	It was not joy only that possessed me; I felt my flesh tingle with excess of sensitiveness, and my pulse beat rapidly.	true	714.23	723.22	22.661118
166_352_000016_000002	I was unable to remain for a single instant in the same place; I jumped over the chairs, clapped my hands, and laughed aloud. Clerval at first attributed my unusual spirits to joy on his arrival, but when he observed me more attentively, he saw a wildness in my eyes for which he could not account, and my loud, unrestrained, heartless laughter frightened and astonished him.	I was unable to remain for a single instant in the same place; I jumped over the chairs, clapped my hands, and laughed aloud. Clerval at first attributed my unusual spirits to joy on his arrival, but when he observed me more attentively, he saw a wildness in my eyes for which he could not account, and my loud, unrestrained, heartless laughter frightened and astonished him.	true	724.4	752.82	19.430235
166_352_000017_000000	"My dear Victor," cried he, "what, for God's sake, is the matter?	"My dear Victor," cried he, "what, for God's sake, is the matter?	true	752.82	757.51	22.231401
166_352_000017_000001	Do not laugh in that manner.	Do not laugh in that manner.	true	758	759.66	14.804331
166_352_000017_000002	How ill you are!	How ill you are!	true	759.66	761.08	21.092175
166_352_000017_000003	What is the cause of all this?"	What is the cause of all this?"	true	761.36	763.3	19.716043
166_352_000018_000000	"Do not ask me," cried I, putting my hands before my eyes, for I thought I saw the dreaded spectre glide into the room; "HE can tell. Oh, save me!	"Do not ask me," cried I, putting my hands before my eyes, for I thought I saw the dreaded spectre glide into the room; "HE can tell. Oh, save me!	true	764	775.57	18.907907
166_352_000018_000001	Save me!" I imagined that the monster seized me; I struggled furiously and fell down in a fit.	Save me!" I imagined that the monster seized me; I struggled furiously and fell down in a fit.	true	775.73	783.67	19.99838
166_352_000019_000000	Poor Clerval!	Poor Clerval!	true	784.49	786.07	23.46325
166_352_000019_000001	What must have been his feelings?	What must have been his feelings?	true	786.56	788.95	20
166_352_000019_000002	A meeting, which he anticipated with such joy, so strangely turned to bitterness.	A meeting, which he anticipated with such joy, so strangely turned to bitterness.	true	789.5	795.28	20
166_352_000019_000003	But I was not the witness of his grief, for I was lifeless and did not recover my senses for a long, long time.	But I was not the witness of his grief, for I was lifeless and did not recover my senses for a long, long time.	true	796.19	804.49	17
166_352_000020_000000	This was the commencement of a nervous fever which confined me for several months.	This was the commencement of a nervous fever which confined me for several months.	true	807.26	811.78	14
166_352_000020_000001	During all that time Henry was my only nurse.	During all that time Henry was my only nurse.	true	812.69	815.77	11
166_352_000020_000002	I afterwards learned that, knowing my father's advanced age and unfitness for so long a journey, and how wretched my sickness would make Elizabeth, he spared them this grief by concealing the extent of my disorder.	I afterwards learned that, knowing my father's advanced age and unfitness for so long a journey, and how wretched my sickness would make Elizabeth, he spared them this grief by concealing the extent of my disorder.	true	816.68	829.87	17
166_352_000020_000003	He knew that I could not have a more kind and attentive nurse than himself; and, firm in the hope he felt of my recovery, he did not doubt that, instead of doing harm, he performed the kindest action that he could towards them.	He knew that I could not have a more kind and attentive nurse than himself; and, firm in the hope he felt of my recovery, he did not doubt that, instead of doing harm, he performed the kindest action that he could towards them.	true	831.17	847.18	21.458763
166_352_000021_000000	But I was in reality very ill, and surely nothing but the unbounded and unremitting attentions of my friend could have restored me to life. The form of the monster on whom I had bestowed existence was forever before my eyes, and I raved incessantly concerning him.	But I was in reality very ill, and surely nothing but the unbounded and unremitting attentions of my friend could have restored me to life. The form of the monster on whom I had bestowed existence was forever before my eyes, and I raved incessantly concerning him.	true	849.08	867.28	19.729452
166_352_000021_000001	Doubtless my words surprised Henry; he at first believed them to be the wanderings of my disturbed imagination, but the pertinacity with which I continually recurred to the same subject persuaded him that my disorder indeed owed its origin to some uncommon and terrible event.	Doubtless my words surprised Henry; he at first believed them to be the wanderings of my disturbed imagination, but the pertinacity with which I continually recurred to the same subject persuaded him that my disorder indeed owed its origin to some uncommon and terrible event.	true	868.25	888.1	19.773695
166_352_000022_000000	By very slow degrees, and with frequent relapses that alarmed and grieved my friend, I recovered.	By very slow degrees, and with frequent relapses that alarmed and grieved my friend, I recovered.	true	889.97	897.13	20.411188
166_352_000022_000001	I remember the first time I became capable of observing outward objects with any kind of pleasure, I perceived that the fallen leaves had disappeared and that the young buds were shooting forth from the trees that shaded my window.	I remember the first time I became capable of observing outward objects with any kind of pleasure, I perceived that the fallen leaves had disappeared and that the young buds were shooting forth from the trees that shaded my window.	true	898.22	910.93	19
166_352_000022_000002	It was a divine spring, and the season contributed greatly to my convalescence.	It was a divine spring, and the season contributed greatly to my convalescence.	true	912.02	916.81	13
166_352_000022_000003	I felt also sentiments of joy and affection revive in my bosom; my gloom disappeared, and in a short time I became as cheerful as before I was attacked by the fatal passion.	I felt also sentiments of joy and affection revive in my bosom; my gloom disappeared, and in a short time I became as cheerful as before I was attacked by the fatal passion.	true	919.22	930.28	18.612133
166_352_000023_000000	"Dearest Clerval," exclaimed I, "how kind, how very good you are to me. This whole winter, instead of being spent in study, as you promised yourself, has been consumed in my sick room.	"Dearest Clerval," exclaimed I, "how kind, how very good you are to me. This whole winter, instead of being spent in study, as you promised yourself, has been consumed in my sick room.	true	931.64	946.78	21.30658
166_352_000023_000001	How shall I ever repay you?	How shall I ever repay you?	true	947.27	949.45	19
166_352_000023_000002	I feel the greatest remorse for the disappointment of which I have been the occasion, but you will forgive me."	I feel the greatest remorse for the disappointment of which I have been the occasion, but you will forgive me."	true	950.03	956.98	19.8531
166_352_000024_000000	"You will repay me entirely if you do not discompose yourself, but get well as fast as you can; and since you appear in such good spirits, I may speak to you on one subject, may I not?"	"You will repay me entirely if you do not discompose yourself, but get well as fast as you can; and since you appear in such good spirits, I may speak to you on one subject, may I not?"	true	959.48	971.26	21
166_352_000025_000000	I trembled.	I trembled.	true	972.02	973.21	20.614527
166_352_000025_000001	One subject!	One subject!	true	973.73	975.13	17.99756
166_352_000025_000002	What could it be?	What could it be?	true	975.62	977.02	19.286465
166_352_000025_000003	Could he allude to an object on whom I dared not even think?	Could he allude to an object on whom I dared not even think?	true	977.78	981.28	18
166_352_000025_000004	"Compose yourself," said Clerval, who observed my change of colour, "I will not mention it if it agitates you; but your father and cousin would be very happy if they received a letter from you in your own handwriting.	"Compose yourself," said Clerval, who observed my change of colour, "I will not mention it if it agitates you; but your father and cousin would be very happy if they received a letter from you in your own handwriting.	true	982.52	995.29	18.890709
166_352_000025_000005	They hardly know how ill you have been and are uneasy at your long silence."	They hardly know how ill you have been and are uneasy at your long silence."	true	996.53	1000.59	10
166_352_000026_000000	"Is that all, my dear Henry?	"Is that all, my dear Henry?	false	1000.59	1003.87	14.908762
166_352_000026_000001	How could you suppose that my first thought would not fly towards those dear, dear friends whom I love and who are so deserving of my love?"	How could you suppose that my first thought would not fly towards those dear, dear friends whom I love and who are so deserving of my love?"	false	1004	1012.83	20.309101
166_352_000027_000000	"If this is your present temper, my friend, you will perhaps be glad to see a letter that has been lying here some days for you; it is from your cousin, I believe."	"If this is your present temper, my friend, you will perhaps be glad to see a letter that has been lying here some days for you; it is from your cousin, I believe."	true	1012.83	1022.67	20
166_352_000028_000000	Chapter 6	Chapter six	false	1022.67	1022.7	-20
166_352_000029_000000	Clerval then put the following letter into my hands.	Clerval then put the following letter into my hands.	false	1022.7	1022.82	-20
166_352_000029_000001	It was from my own Elizabeth:	It was from my own Elizabeth:	false	1022.82	1022.91	-20
166_352_000030_000000	"My dearest Cousin,	"My dearest Cousin,	false	1022.91	1022.97	-7
166_352_000031_000000	"You have been ill, very ill, and even the constant letters of dear kind Henry are not sufficient to reassure me on your account.	"You have been ill, very ill, and even the constant letters of dear kind Henry are not sufficient to reassure me on your account.	false	1022.97	1023.36	-20
166_352_000031_000001	You are forbidden to write--to hold a pen; yet one word from you, dear Victor, is necessary to calm our apprehensions.	You are forbidden to write-to hold a pen; yet one word from you, dear Victor, is necessary to calm our apprehensions.	false	1023.36	1023.69	-20
166_352_000031_000002	For a long time I have thought that each post would bring this line, and my persuasions have restrained my uncle from undertaking a journey to Ingolstadt.	For a long time I have thought that each post would bring this line, and my persuasions have restrained my uncle from undertaking a journey to Ingolstadt.	false	1023.69	1024.11	87
166_352_000031_000003	I have prevented his encountering the inconveniences and perhaps dangers of so long a journey, yet how often have I regretted not being able to perform it myself!	I have prevented his encountering the inconveniences and perhaps dangers of so long a journey, yet how often have I regretted not being able to perform it myself!	false	1024.11	1024.2	-20
166_352_000031_000004	I figure to myself that the task of attending on your sickbed has devolved on some mercenary old nurse, who could never guess your wishes nor minister to them with the care and affection of your poor cousin.	I figure to myself that the task of attending on your sickbed has devolved on some mercenary old nurse, who could never guess your wishes nor minister to them with the care and affection of your poor cousin.	false	1024.2	1026.06	19
166_352_000031_000005	Yet that is over now: Clerval writes that indeed you are getting better.	Yet that is over now: Clerval writes that indeed you are getting better.	false	1026.06	1026.63	-1
166_352_000031_000006	I eagerly hope that you will confirm this intelligence soon in your own handwriting.	I eagerly hope that you will confirm this intelligence soon in your own handwriting.	false	1026.63	1027.23	36.726498
