4116_13256_000000_000000	Virginia was angry.	Virginia was angry.	false	0	0.81	22.561434
4116_13256_000013_000002	"Loreen!" she said, and that was all.	"Loreen!" she said, and that was all.	true	169.53	172.75	17.832111
4116_13256_000013_000003	The girl looked into her face, and her own changed into a look of utter horror.	The girl looked into her face, and her own changed into a look of utter horror.	false	172.85	178.03	23.297913
4116_13256_000013_000004	The girls in the carriage were smitten into helpless astonishment.	The girls in the carriage were smitten into helpless astonishment.	true	178.1	181.57	28.565346
4116_13256_000013_000005	The saloon-keeper had come to the door of the saloon and was standing there looking on with his hands on his hips.	The saloon keeper had come to the door of the saloon and was standing there looking on with his hands on his hips.	true	181.64	187.54	20.196697
4116_13256_000013_000006	And the Rectangle from its windows, its saloon steps, its filthy sidewalk, gutter and roadway, paused, and with undisguised wonder stared at the two girls.	And the Rectangle from its windows, its saloon steps, its filthy sidewalk, gutter and roadway, paused, and with undisguised wonder stared at the two girls.	true	187.61	197.2	26.091778
4116_13256_000013_000007	Over the scene the warm sun of spring poured its mellow light.	Over the scene the warm sun of spring poured its mellow light.	true	197.39	201.225	21
4116_13256_000013_000008	A faint breath of music from the band-stand in the park floated into the Rectangle.	A faint breath of music from the band stand in the park floated into the Rectangle.	true	201.225	205.81	26.00559
4116_13256_000013_000009	The concert had begun, and the fashion and wealth of Raymond were displaying themselves up town on the boulevard.	The concert had begun, and the fashion and wealth of Raymond were displaying themselves up town on the boulevard.	true	205.88	212.44	20.109623
4116_13256_000014_000000	When Virginia left the carriage and went up to Loreen she had no definite idea as to what she would do or what the result of her action would be.	When Virginia left the carriage and went up to Loreen she had no definite idea as to what she would do or what the result of her action would be.	true	212.69	220.51	21
4116_13256_000014_000001	She simply saw a soul that had tasted of the joy of a better life slipping back again into its old hell of shame and death.	She simply saw a soul that had tasted of the joy of a better life slipping back again into its old hell of shame and death.	true	220.52	228.15	18.150366
4116_13256_000014_000002	And before she had touched the drunken girl's arm she had asked only one question, "What would Jesus do?" That question was becoming with her, as with many others, a habit of life.	And before she had touched the drunken girl's arm she had asked only one question, "What would Jesus do?" That question was becoming with her, as with many others, a habit of life.	false	228.15	239.13	22.194153
4116_13256_000015_000000	She looked around now as she stood close by Loreen, and the whole scene was cruelly vivid to her.	She looked around now as she stood close by Loreen, and the whole scene was cruelly vivid to her.	true	239.13	245.055	23.275026
4116_13256_000015_000001	She thought first of the girls in the carriage.	She thought first of the girls in the carriage.	false	245.055	247.57	31.223753
4116_13256_000016_000000	"Drive on; don't wait for me.	"Drive on; don't wait for me.	true	247.7	249.855	19.535967
4116_13256_000016_000001	I am going to see my friend home," she said calmly enough.	I am going to see my friend home," she said calmly enough.	true	249.855	253.09	19.21468
4116_13256_000017_000000	The girl with the red parasol seemed to gasp at the word "friend," when Virginia spoke it.	The girl with the red parasol seemed to gasp at the word "friend," when Virginia spoke it.	true	253.16	258.075	28.61453
4116_13256_000017_000001	She did not say anything.	She did not say anything.	true	258.075	259.99	25.799992
4116_13256_000018_000000	The other girls seemed speechless.	The other girls seemed speechless.	true	260.03	262.21	24.114935
4116_13256_000019_000000	"Go on.	"Go on.	true	262.46	263.37	23.873178
4116_13256_000019_000001	I cannot go back with you," said Virginia.	I cannot go back with you," said Virginia.	false	263.37	265.96	26.096668
4116_13256_000019_000002	The driver started the horses slowly.	The driver started the horses slowly.	true	266.15	268.515	22.760483
4116_13256_000019_000003	One of the girls leaned a little out of the carriage.	One of the girls leaned a little out of the carriage.	true	268.515	271.15	22.087269
4116_13256_000020_000000	"Can't we--that is--do you want our help?	"Can't we-that is-do you want our help?	true	271.19	274.875	25.628246
4116_13256_000020_000001	Couldn't you--"	Couldn't you-"	true	274.875	275.805	21.937506
4116_13256_000021_000000	"No, no!" exclaimed Virginia.	"No, no!" exclaimed Virginia.	true	275.805	278.055	23.554775
4116_13256_000021_000001	"You cannot be of any help to me."	"You cannot be of any help to me."	true	278.055	279.73	27.243048
4116_13256_000022_000000	The carriage moved on and Virginia was alone with her charge.	The carriage moved on and Virginia was alone with her charge.	true	279.92	283.75	20.187551
4116_13256_000022_000001	She looked up and around.	She looked up and around.	true	283.88	285.795	22.184153
4116_13256_000022_000002	Many faces in the crowd were sympathetic.	Many faces in the crowd were sympathetic.	true	285.795	288.15	29.673712
4116_13256_000022_000003	They were not all cruel or brutal.	They were not all cruel or brutal.	false	288.15	289.845	24.55171
4116_13256_000022_000004	The Holy Spirit had softened a good deal of the Rectangle.	The Holy Spirit had softened a good deal of the Rectangle.	true	289.845	293.11	21.795414
4116_13256_000023_000000	"Where does she live?" asked Virginia.	"Where does she live?" asked Virginia.	true	293.12	295.6	23.467234
4116_13256_000024_000000	No one answered.	No one answered.	true	295.88	297.19	28.707747
4116_13256_000024_000001	It occurred to Virginia afterward when she had time to think it over, that the Rectangle showed a delicacy in its sad silence that would have done credit to the boulevard.	It occurred to Virginia afterward when she had time to think it over, that the Rectangle showed a delicacy in its sad silence that would have done credit to the boulevard.	false	297.29	306.46	26.985374
4116_13256_000024_000002	For the first time it flashed across her that the immortal being who was flung like wreckage upon the shore of this early hell called the saloon, had no place that could be called home.	For the first time it flashed across her that the immortal being who was flung like wreckage upon the shore of this early hell called the saloon, had no place that could be called home.	false	306.71	317.02	28.405584
4116_13256_000024_000003	The girl suddenly wrenched her arm from Virginia's grasp.	The girl suddenly wrenched her arm from Virginia's grasp.	true	317.21	320.46	18.910864
4116_13256_000024_000004	In doing so she nearly threw Virginia down.	In doing so she nearly threw Virginia down.	true	320.46	322.84	19.715242
4116_13256_000025_000000	"You shall not touch me!	"You shall not touch me!	true	322.97	324.66	28.778984
4116_13256_000025_000001	Leave me!	Leave me!	true	324.66	325.57	22.019163
4116_13256_000025_000002	Let me go to hell!	Let me go to hell!	true	325.67	326.85	21.740366
4116_13256_000025_000003	That's where I belong!	That's where I belong!	true	326.85	328.06	27.447206
4116_13256_000025_000004	The devil is waiting for me.	The devil is waiting for me.	true	328.1	329.67	20.614223
4116_13256_000025_000005	See him!" she exclaimed hoarsely.	See him!" she exclaimed hoarsely.	true	329.67	331.86	25.504135
4116_13256_000025_000006	She turned and pointed with a shaking finger at the saloon-keeper.	She turned and pointed with a shaking finger at the saloon keeper.	true	331.86	335.62	22.266668
4116_13256_000025_000007	The crowd laughed.	The crowd laughed.	true	335.87	337.42	26.50017
4116_13256_000025_000008	Virginia stepped up to her and put her arm about her.	Virginia stepped up to her and put her arm about her.	true	337.43	340.81	25.101797
4116_13256_000026_000000	"Loreen," she said firmly, "come with me.	"Loreen," she said firmly, "come with me.	true	340.88	343.875	22.830925
4116_13256_000026_000001	You do not belong to hell. You belong to Jesus and He will save you.	You do not belong to hell. You belong to Jesus and He will save you.	true	343.875	348.48	24.371964
4116_13256_000026_000002	Come."	Come."	true	348.48	349.12	22.517
4116_13256_000027_000000	The girl suddenly burst into tears.	The girl suddenly burst into tears.	true	349.46	351.58	24.53861
4116_13256_000027_000001	She was only partly sobered by the shock of meeting Virginia.	She was only partly sobered by the shock of meeting Virginia.	true	351.68	354.91	27.036661
4116_13256_000028_000000	Virginia looked around again.	Virginia looked around again.	true	355.1	356.92	24.926119
4116_13256_000028_000001	"Where does Mr. Gray live?" she asked. She knew that the evangelist boarded somewhere near the tent.	"Where does mr Gray live?" she asked. She knew that the evangelist boarded somewhere near the tent.	true	357.17	362.86	20.890749
4116_13256_000028_000002	A number of voices gave the direction.	A number of voices gave the direction.	true	362.93	365.01	23
4116_13256_000029_000000	"Come, Loreen, I want you to go with me to Mr. Gray's," she said, still keeping her hold of the swaying, trembling creature who moaned and sobbed and now clung to her as firmly as before she had repulsed her.	"Come, Loreen, I want you to go with me to mr Gray's," she said, still keeping her hold of the swaying, trembling creature who moaned and sobbed and now clung to her as firmly as before she had repulsed her.	false	365.01	377.17	19.82904
4116_13256_000030_000000	So the two moved on through the Rectangle toward the evangelist's lodging place.	So the two moved on through the Rectangle toward the evangelist's lodging place.	true	377.36	381.58	22
4116_13256_000030_000001	The sight seemed to impress the Rectangle seriously. It never took itself seriously when it was drunk, but this was different.	The sight seemed to impress the Rectangle seriously. It never took itself seriously when it was drunk, but this was different.	true	382.1	389.56	25.020458
4116_13256_000030_000002	The fact that one of the richest, most beautifully-dressed girls in all Raymond was taking care of one of the Rectangle's most noted characters, who reeled along under the influence of liquor, was a fact astounding enough to throw more or less dignity and importance about Loreen herself.	The fact that one of the richest, most beautifully dressed girls in all Raymond was taking care of one of the Rectangle's most noted characters, who reeled along under the influence of liquor, was a fact astounding enough to throw more or less dignity and importance about Loreen herself.	false	389.66	405.28	22
4116_13256_000030_000003	The event of Loreen's stumbling through the gutter dead-drunk always made the Rectangle laugh and jest.	The event of Loreen's stumbling through the gutter dead drunk always made the Rectangle laugh and jest.	true	405.32	411.43	21.959297
4116_13256_000030_000004	But Loreen staggering along with a young lady from the society circles uptown supporting her, was another thing.	But Loreen staggering along with a young lady from the society circles uptown supporting her, was another thing.	true	411.53	417.88	19.764486
4116_13256_000030_000005	The Rectangle viewed it with soberness and more or less wondering admiration.	The Rectangle viewed it with soberness and more or less wondering admiration.	true	418.1	422.77	25.099068
4116_13256_000031_000000	When they finally reached Mr. Gray's lodging place the woman who answered Virginia's knock said that both Mr. and Mrs. Gray were out somewhere and would not be back until six o'clock.	When they finally reached mr Gray's lodging place the woman who answered Virginia's knock said that both mr and mrs Gray were out somewhere and would not be back until six o'clock.	true	423.23	432.51	22.27928
4116_13256_000032_000000	Virginia had not planned anything farther than a possible appeal to the Grays, either to take charge of Loreen for a while or find some safe place for her until she was sober.	Virginia had not planned anything farther than a possible appeal to the Grays, either to take charge of Loreen for a while or find some safe place for her until she was sober.	true	432.51	441.61	24
4116_13256_000032_000001	She stood now at the door after the woman had spoken, and she was really at a loss to know what to do.	She stood now at the door after the woman had spoken, and she was really at a loss to know what to do.	true	441.62	447.1	22.944757
4116_13256_000032_000002	Loreen sank down stupidly on the steps and buried her face in her arms.	Loreen sank down stupidly on the steps and buried her face in her arms.	false	447.29	451.96	20.782282
4116_13256_000032_000003	Virginia eyed the miserable figure of the girl with a feeling that she was afraid would grow into disgust.	Virginia eyed the miserable figure of the girl with a feeling that she was afraid would grow into disgust.	true	452.09	457.21	22
4116_13256_000033_000000	Finally a thought possessed her that she could not escape.	Finally a thought possessed her that she could not escape.	true	457.25	460.215	23.126991
4116_13256_000033_000001	What was to hinder her from taking Loreen home with her?	What was to hinder her from taking Loreen home with her?	true	460.215	463.2	22
4116_13256_000033_000002	Why should not this homeless, wretched creature, reeking with the fumes of liquor, be cared for in Virginia's own home instead of being consigned to strangers in some hospital or house of charity?	Why should not this homeless, wretched creature, reeking with the fumes of liquor, be cared for in Virginia's own home instead of being consigned to strangers in some hospital or house of charity?	false	463.2	473.17	19
4116_13256_000033_000003	Virginia really knew very little about any such places of refuge.	Virginia really knew very little about any such places of refuge.	true	473.42	476.98	17.318834
4116_13256_000033_000004	As a matter of fact, there were two or three such institutions in Raymond, but it is doubtful if any of them would have taken a person like Loreen in her present condition.	As a matter of fact, there were two or three such institutions in Raymond, but it is doubtful if any of them would have taken a person like Loreen in her present condition.	false	477.11	485.68	20
4116_13256_000033_000005	But that was not the question with Virginia just now.	But that was not the question with Virginia just now.	true	485.84	488.71	25.611721
4116_13256_000033_000006	"What would Jesus do with Loreen?"	"What would Jesus do with Loreen?"	true	488.84	491.11	27.499187
4116_13256_000033_000007	That was what Virginia faced, and she finally answered it by touching the girl again.	That was what Virginia faced, and she finally answered it by touching the girl again.	true	491.24	495.76	23.198603
4116_13256_000034_000000	"Loreen, come.	"Loreen, come.	true	495.95	497.49	21.75718
4116_13256_000034_000001	You are going home with me.	You are going home with me.	false	497.49	499	21.692871
4116_13256_000034_000002	We will take the car here at the corner."	We will take the car here at the corner."	true	499.07	501.37	24.326845
4116_13256_000035_000000	Loreen staggered to her feet and, to Virginia's surprise, made no trouble.	Loreen staggered to her feet and, to Virginia's surprise, made no trouble.	false	501.53	505.845	24.732534
4116_13256_000035_000001	She had expected resistance or a stubborn refusal to move. When they reached the corner and took the car it was nearly full of people going uptown.	She had expected resistance or a stubborn refusal to move. When they reached the corner and took the car it was nearly full of people going uptown.	true	505.845	514.23	23.926413
4116_13256_000035_000002	Virginia was painfully conscious of the stare that greeted her and her companion as they entered.	Virginia was painfully conscious of the stare that greeted her and her companion as they entered.	true	514.23	519.045	22.534649
4116_13256_000035_000003	But her thought was directed more and more to the approaching scene with her grandmother.	But her thought was directed more and more to the approaching scene with her grandmother.	true	519.045	523.06	23.642208
4116_13256_000035_000004	What would Madam Page say?	What would Madam Page say?	true	523.07	524.89	23.9558
4116_13256_000036_000000	Loreen was nearly sober now.	Loreen was nearly sober now.	true	525.11	526.93	18.79365
4116_13256_000036_000001	But she was lapsing into a state of stupor.	But she was lapsing into a state of stupor.	true	527.09	529.63	28.782383
4116_13256_000036_000002	Virginia was obliged to hold fast to her arm.	Virginia was obliged to hold fast to her arm.	true	529.79	532.47	24.00236
4116_13256_000036_000003	Several times the girl lurched heavily against her, and as the two went up the avenue a curious crowd of so-called civilized people turned and gazed at them.	Several times the girl lurched heavily against her, and as the two went up the avenue a curious crowd of so-called civilized people turned and gazed at them.	true	532.47	541.71	26
4116_13256_000036_000004	When she mounted the steps of her handsome house Virginia breathed a sigh of relief, even in the face of the interview with the grandmother, and when the door shut and she was in the wide hall with her homeless outcast, she felt equal to anything that might now come.	When she mounted the steps of her handsome house Virginia breathed a sigh of relief, even in the face of the interview with the grandmother, and when the door shut and she was in the wide hall with her homeless outcast, she felt equal to anything that might now come.	false	541.71	555.13	22
4116_13256_000037_000000	Madam Page was in the library.	Madam Page was in the library.	true	555.41	557.38	25.432537
4116_13256_000037_000001	Hearing Virginia come in, she came into the hall.	Hearing Virginia come in, she came into the hall.	true	557.39	560.41	22.781122
4116_13256_000037_000002	Virginia stood there supporting Loreen, who stared stupidly at the rich magnificence of the furnishings around her.	Virginia stood there supporting Loreen, who stared stupidly at the rich magnificence of the furnishings around her.	true	560.48	566.41	21
4116_13256_000038_000000	"Grandmother," Virginia spoke without hesitation and very clearly, "I have brought one of my friends from the Rectangle.	"Grandmother," Virginia spoke without hesitation and very clearly, "I have brought one of my friends from the Rectangle.	true	566.57	573.52	22.9267
4116_13256_000038_000001	She is in trouble and has no home.	She is in trouble and has no home.	true	573.53	575.89	17.829006
4116_13256_000038_000002	I am going to care for her here a little while."	I am going to care for her here a little while."	true	576.02	578.77	19.259602
4116_13256_000039_000000	Madam Page glanced from her granddaughter to Loreen in astonishment.	Madam Page glanced from her granddaughter to Loreen in astonishment.	true	579.11	583.66	22.742392
4116_13256_000040_000000	"Did you say she is one of your friends?" she asked in a cold, sneering voice that hurt Virginia more than anything she had yet felt.	"Did you say she is one of your friends?" she asked in a cold, sneering voice that hurt Virginia more than anything she had yet felt.	false	583.88	592.99	20.98411
4116_13256_000041_000000	"Yes, I said so." Virginia's face flushed, but she seemed to recall a verse that Mr. Gray had used for one of his recent sermons, "A friend of publicans and sinners." Surely, Jesus would do this that she was doing.	"Yes, I said so." Virginia's face flushed, but she seemed to recall a verse that mr Gray had used for one of his recent sermons, "A friend of publicans and sinners." Surely, Jesus would do this that she was doing.	true	593.15	608.02	24.105629
4116_13256_000042_000000	"Do you know what this girl is?" asked Madam Page, in an angry whisper, stepping near Virginia.	"Do you know what this girl is?" asked Madam Page, in an angry whisper, stepping near Virginia.	true	608.3	615.46	24.673756
4116_13256_000043_000000	"I know very well.	"I know very well.	true	615.59	617.07	23.549263
4116_13256_000043_000001	She is an outcast.	She is an outcast.	true	617.07	618.435	20.46546
4116_13256_000043_000002	You need not tell me, grandmother.	You need not tell me, grandmother.	false	618.435	620.91	33.193436
4116_13256_000043_000003	I know it even better than you do.	I know it even better than you do.	true	620.91	623.11	28.022636
4116_13256_000043_000004	She is drunk at this minute.	She is drunk at this minute.	true	623.24	624.94	27.52854
4116_13256_000043_000005	But she is also a child of God.	But she is also a child of God.	true	625.13	627.18	25.852583
4116_13256_000043_000006	I have seen her on her knees, repentant.	I have seen her on her knees, repentant.	true	627.18	629.5	16.590849
4116_13256_000043_000007	And I have seen hell reach out its horrible fingers after her again.	And I have seen hell reach out its horrible fingers after her again.	true	629.84	633.73	19.513748
4116_13256_000043_000008	And by the grace of Christ I feel that the least that I can do is to rescue her from such peril.	And by the grace of Christ I feel that the least that I can do is to rescue her from such peril.	false	633.95	638.92	26
4116_13256_000043_000009	Grandmother, we call ourselves Christians.	Grandmother, we call ourselves Christians.	true	639.26	642.37	21.736517
4116_13256_000043_000010	Here is a poor, lost human creature without a home, slipping back into a life of misery and possibly eternal loss, and we have more than enough.	Here is a poor, lost human creature without a home, slipping back into a life of misery and possibly eternal loss, and we have more than enough.	true	642.56	650.85	23.786964
4116_13256_000043_000011	I have brought her here, and I shall keep her."	I have brought her here, and I shall keep her."	false	650.85	653.41	25.547068
4116_13256_000044_000000	Madam Page glared at Virginia and clenched her hands.	Madam Page glared at Virginia and clenched her hands.	true	653.57	657.69	21.538311
4116_13256_000044_000001	All this was contrary to her social code of conduct.	All this was contrary to her social code of conduct.	true	657.69	661.215	21.617756
4116_13256_000044_000002	How could society excuse familiarity with the scum of the streets?	How could society excuse familiarity with the scum of the streets?	false	661.215	665.65	30
4116_13256_000044_000003	What would Virginia's action cost the family in the way of criticism and loss of standing, and all that long list of necessary relations which people of wealth and position must sustain to the leaders of society?	What would Virginia's action cost the family in the way of criticism and loss of standing, and all that long list of necessary relations which people of wealth and position must sustain to the leaders of society?	false	665.93	677.67	20
4116_13256_000044_000004	To Madam Page society represented more than the church or any other institution. It was a power to be feared and obeyed.	To Madam Page society represented more than the church or any other institution. It was a power to be feared and obeyed.	true	677.67	685.15	21.10521
4116_13256_000044_000005	The loss of its good-will was a loss more to be dreaded than anything except the loss of wealth itself.	The loss of its good will was a loss more to be dreaded than anything except the loss of wealth itself.	true	685.16	690.61	24.305513
4116_13256_000045_000000	She stood erect and stern and confronted Virginia, fully roused and determined.	She stood erect and stern and confronted Virginia, fully roused and determined.	true	690.71	696.1	22.945278
4116_13256_000045_000001	Virginia placed her arm about Loreen and calmly looked her grandmother in the face.	Virginia placed her arm about Loreen and calmly looked her grandmother in the face.	true	696.38	701.5	26.627308
4116_13256_000046_000000	"You shall not do this, Virginia!	"You shall not do this, Virginia!	true	701.84	704.1	27.696922
4116_13256_000046_000001	You can send her to the asylum for helpless women.	You can send her to the asylum for helpless women.	true	704.1	706.75	25.068703
4116_13256_000046_000002	We can pay all the expenses.	We can pay all the expenses.	true	706.82	708.58	29.278822
4116_13256_000046_000003	We cannot afford for the sake of our reputations to shelter such a person."	We cannot afford for the sake of our reputations to shelter such a person."	true	708.62	712.72	24.204062
4116_13256_000047_000000	"Grandmother, I do not wish to do anything that is displeasing to you, but I must keep Loreen here tonight, and longer if it seems best."	"Grandmother, I do not wish to do anything that is displeasing to you, but I must keep Loreen here tonight, and longer if it seems best."	true	713.06	721.48	23.74849
4116_13256_000048_000000	"Then you can answer for the consequences!	"Then you can answer for the consequences!	true	721.85	724.69	28.810793
4116_13256_000048_000001	I do not stay in the same house with a miserable--" Madam Page lost her self-control.	I do not stay in the same house with a miserable-" Madam Page lost her self control.	false	724.94	731.02	21.583086
4116_13256_000048_000002	Virginia stopped her before she could speak the next word.	Virginia stopped her before she could speak the next word.	true	731.03	734.04	28.345295
4116_13256_000049_000000	"Grandmother, this house is mine.	"Grandmother, this house is mine.	true	734.04	736.93	23.666815
4116_13256_000049_000001	It is your home with me as long as you choose to remain.	It is your home with me as long as you choose to remain.	true	737.12	740.28	19.446617
4116_13256_000049_000002	But in this matter I must act as I fully believe Jesus would in my place.	But in this matter I must act as I fully believe Jesus would in my place.	true	740.28	744.7	21
4116_13256_000049_000003	I am willing to bear all that society may say or do.	I am willing to bear all that society may say or do.	true	744.89	748.095	22.60184
4116_13256_000049_000004	Society is not my God.	Society is not my God.	true	748.095	750.4	25.801159
4116_13256_000049_000005	By the side of this poor soul I do not count the verdict of society as of any value."	By the side of this poor soul I do not count the verdict of society as of any value."	false	750.47	755.29	21.951902
4116_13256_000050_000000	"I shall not stay here, then!" said Madam Page.	"I shall not stay here, then!" said Madam Page.	true	755.6	758.86	25.100578
4116_13256_000050_000001	She turned suddenly and walked to the end of the hall.	She turned suddenly and walked to the end of the hall.	true	759.05	761.95	23.187502
4116_13256_000050_000002	She then came back, and going up to Virginia said, with an emphasis that revealed her intensive excitement of passion: "You can always remember that you have driven your grandmother out of your house in favor of a drunken woman;" then, without waiting for Virginia to reply, she turned again and went upstairs.	She then came back, and going up to Virginia said, with an emphasis that revealed her intensive excitement of passion: "You can always remember that you have driven your grandmother out of your house in favor of a drunken woman;" then, without waiting for Virginia to reply, she turned again and went upstairs.	true	762.11	779.26	22.871328
4116_13256_000050_000003	Virginia called a servant and soon had Loreen cared for.	Virginia called a servant and soon had Loreen cared for.	true	779.42	783.25	20.471977
4116_13256_000050_000004	She was fast lapsing into a wretched condition.	She was fast lapsing into a wretched condition.	true	783.32	786.07	19.825314
4116_13256_000050_000005	During the brief scene in the hall she had clung to Virginia so hard that her arm was sore from the clutch of the girl's fingers.	During the brief scene in the hall she had clung to Virginia so hard that her arm was sore from the clutch of the girl's fingers.	false	786.26	801.75	20.81577
