1638_84447_000000_000000	STAVE IV: THE LAST OF THE SPIRITS	STAVE i v: THE LAST OF THE SPIRITS	false	0.6	19.03	23.605509
1638_84447_000012_000000	"Lead on!" said Scrooge.	"Lead on!" said Scrooge.	true	164.52	166.29	19.628387
1638_84447_000012_000001	"Lead on!	"Lead on!	true	166.29	167.14	27.863106
1638_84447_000012_000002	The night is waning fast, and it is precious time to me, I know.	The night is waning fast, and it is precious time to me, I know.	true	167.3	171.13	23.31998
1638_84447_000012_000003	Lead on, Spirit!"	Lead on, Spirit!"	true	171.14	172.54	38.817047
1638_84447_000013_000000	The Phantom moved away as it had come towards him. Scrooge followed in the shadow of its dress, which bore him up, he thought, and carried him along.	The Phantom moved away as it had come towards him. Scrooge followed in the shadow of its dress, which bore him up, he thought, and carried him along.	true	173	182.26	21.685009
1638_84447_000014_000000	They scarcely seemed to enter the city; for the city rather seemed to spring up about them, and encompass them of its own act.	They scarcely seemed to enter the city; for the city rather seemed to spring up about them, and encompass them of its own act.	true	182.63	190.63	23.665817
1638_84447_000014_000001	But there they were, in the heart of it; on 'Change, amongst the merchants; who hurried up and down, and chinked the money in their pockets, and conversed in groups, and looked at their watches, and trifled thoughtfully with their great gold seals; and so forth, as Scrooge had seen them often.	But there they were, in the heart of it; on 'Change, amongst the merchants; who hurried up and down, and chinked the money in their pockets, and conversed in groups, and looked at their watches, and trifled thoughtfully with their great gold seals; and so forth, as Scrooge had seen them often.	true	190.7	209.95	24.196651
1638_84447_000015_000000	The Spirit stopped beside one little knot of business men. Observing that the hand was pointed to them, Scrooge advanced to listen to their talk.	The Spirit stopped beside one little knot of business men. Observing that the hand was pointed to them, Scrooge advanced to listen to their talk.	true	210.53	220	22.23349
1638_84447_000016_000000	"No," said a great fat man with a monstrous chin, "I don't know much about it, either way.	"No," said a great fat man with a monstrous chin, "I don't know much about it, either way.	true	220.22	227.05	18
1638_84447_000016_000001	I only know he's dead."	I only know he's dead."	true	227.09	229.39	20.738497
1638_84447_000017_000000	"When did he die?" inquired another.	"When did he die?" inquired another.	true	229.85	233.29	23.036398
1638_84447_000018_000000	"Last night, I believe."	"Last night, I believe."	true	233.42	235.6	19.477577
1638_84447_000019_000000	"Why, what was the matter with him?" asked a third, taking a vast quantity of snuff out of a very large snuff-box. "I thought he'd never die."	"Why, what was the matter with him?" asked a third, taking a vast quantity of snuff out of a very large snuff box. "I thought he'd never die."	true	235.85	245.17	23.057629
1638_84447_000020_000000	"God knows," said the first, with a yawn.	"God knows," said the first, with a yawn.	true	245.99	250.515	20.199297
1638_84447_000021_000000	"What has he done with his money?" asked a red-faced gentleman with a pendulous excrescence on the end of his nose, that shook like the gills of a turkey-cock.	"What has he done with his money?" asked a red faced gentleman with a pendulous excrescence on the end of his nose, that shook like the gills of a turkey cock.	true	250.515	260.2	23.40455
1638_84447_000022_000000	"I haven't heard," said the man with the large chin, yawning again.	"I haven't heard," said the man with the large chin, yawning again.	true	260.57	264.64	17.644157
1638_84447_000022_000001	"Left it to his company, perhaps.	"Left it to his company, perhaps.	true	265.22	267.57	27.13659
1638_84447_000022_000002	He hasn't left it to me.	He hasn't left it to me.	true	267.57	269.175	12
1638_84447_000022_000003	That's all I know."	That's all I know."	true	269.175	270.49	19.65794
1638_84447_000023_000000	This pleasantry was received with a general laugh.	This pleasantry was received with a general laugh.	true	271.25	274.39	22.23959
1638_84447_000024_000000	"It's likely to be a very cheap funeral," said the same speaker; "for upon my life I don't know of anybody to go to it.	"It's likely to be a very cheap funeral," said the same speaker; "for upon my life I don't know of anybody to go to it.	false	275.09	283.72	21.271845
1638_84447_000024_000001	Suppose we make up a party and volunteer?"	Suppose we make up a party and volunteer?"	false	283.85	286.66	26.49432
1638_84447_000025_000000	"I don't mind going if a lunch is provided," observed the gentleman with the excrescence on his nose.	"I don't mind going if a lunch is provided," observed the gentleman with the excrescence on his nose.	true	287.96	294.76	21.166014
1638_84447_000025_000001	"But I must be fed, if I make one."	"But I must be fed, if I make one."	true	295.01	297.49	28.42783
1638_84447_000026_000000	Another laugh.	Another laugh.	true	297.95	299.26	25.412285
1638_84447_000027_000000	"Well, I am the most disinterested among you, after all," said the first speaker, "for I never wear black gloves, and I never eat lunch.	"Well, I am the most disinterested among you, after all," said the first speaker, "for I never wear black gloves, and I never eat lunch.	true	299.27	309.36	19.58365
1638_84447_000027_000001	But I'll offer to go, if anybody else will. When I come to think of it, I'm not at all sure that I wasn't his most particular friend; for we used to stop and speak whenever we met.	But I'll offer to go, if anybody else will. When I come to think of it, I'm not at all sure that I wasn't his most particular friend; for we used to stop and speak whenever we met.	false	309.36	322.87	21.651226
1638_84447_000027_000002	Bye, bye!"	Bye, bye!"	true	323.3	324.28	26.946606
1638_84447_000028_000000	Speakers and listeners strolled away, and mixed with other groups.	Speakers and listeners strolled away, and mixed with other groups.	true	325.43	330.19	23.724998
1638_84447_000028_000001	Scrooge knew the men, and looked towards the Spirit for an explanation.	Scrooge knew the men, and looked towards the Spirit for an explanation.	true	330.41	334.27	22.010536
1638_84447_000029_000000	The Phantom glided on into a street.	The Phantom glided on into a street.	true	334.73	337.26	27.996729
1638_84447_000029_000001	Its finger pointed to two persons meeting.	Its finger pointed to two persons meeting.	false	337.26	339.79	26
1638_84447_000029_000002	Scrooge listened again, thinking that the explanation might lie here.	Scrooge listened again, thinking that the explanation might lie here.	true	340.13	344.23	22.62696
1638_84447_000030_000000	He knew these men, also, perfectly.	He knew these men, also, perfectly.	true	344.75	347.32	21.729868
1638_84447_000030_000001	They were men of business: very wealthy, and of great importance.	They were men of business: very wealthy, and of great importance.	true	347.51	352.18	21.652266
1638_84447_000030_000002	He had made a point always of standing well in their esteem: in a business point of view, that is; strictly in a business point of view.	He had made a point always of standing well in their esteem: in a business point of view, that is; strictly in a business point of view.	true	352.7	361.39	24.598099
1638_84447_000031_000000	"How are you?" said one.	"How are you?" said one.	true	362.12	363.585	31.812176
1638_84447_000032_000000	"How are you?" returned the other.	"How are you?" returned the other.	true	363.585	365.085	24.837015
1638_84447_000033_000000	"Well!" said the first.	"Well!" said the first.	true	365.085	366.42	21.026484
1638_84447_000033_000001	"Old Scratch has got his own at last, hey?"	"Old Scratch has got his own at last, hey?"	false	366.42	368.64	22.23441
1638_84447_000034_000000	"So I am told," returned the second.	"So I am told," returned the second.	true	368.64	370.305	15
1638_84447_000034_000001	"Cold, isn't it?"	"Cold, isn't it?"	true	370.305	371.26	26.519482
1638_84447_000035_000000	"Seasonable for Christmas time.	"Seasonable for Christmas time.	false	371.3	372.87	23.552406
1638_84447_000035_000001	You're not a skater, I suppose?"	You're not a skater, I suppose?"	false	372.87	374.265	13
1638_84447_000036_000000	"No.	"no	true	374.265	374.685	26
1638_84447_000036_000001	No.	no	true	374.685	375.19	14
1638_84447_000036_000002	Something else to think of.	Something else to think of.	true	375.26	376.47	23
1638_84447_000036_000003	Good morning!"	Good morning!"	true	376.47	377.2	35.487843
1638_84447_000037_000000	Not another word.	Not another word.	true	377.51	378.97	22.146578
1638_84447_000037_000001	That was their meeting, their conversation, and their parting.	That was their meeting, their conversation, and their parting.	true	379.07	383.2	26.71498
1638_84447_000038_000000	Scrooge was at first inclined to be surprised that the Spirit should attach importance to conversations apparently so trivial; but feeling assured that they must have some hidden purpose, he set himself to consider what it was likely to be. They could scarcely be supposed to have any bearing on the death of Jacob, his old partner, for that was Past, and this Ghost's province was the Future.	Scrooge was at first inclined to be surprised that the Spirit should attach importance to conversations apparently so trivial; but feeling assured that they must have some hidden purpose, he set himself to consider what it was likely to be. They could scarcely be supposed to have any bearing on the death of Jacob, his old partner, for that was Past, and this Ghost's province was the Future.	false	383.72	406.62	22.526064
1638_84447_000038_000001	Nor could he think of any one immediately connected with himself, to whom he could apply them.	Nor could he think of any one immediately connected with himself, to whom he could apply them.	true	406.62	411.76	22.761671
1638_84447_000038_000002	But nothing doubting that to whomsoever they applied they had some latent moral for his own improvement, he resolved to treasure up every word he heard, and everything he saw; and especially to observe the shadow of himself when it appeared.	But nothing doubting that to whomsoever they applied they had some latent moral for his own improvement, he resolved to treasure up every word he heard, and everything he saw; and especially to observe the shadow of himself when it appeared.	false	411.83	427.66	22.911526
1638_84447_000038_000003	For he had an expectation that the conduct of his future self would give him the clue he missed, and would render the solution of these riddles easy.	For he had an expectation that the conduct of his future self would give him the clue he missed, and would render the solution of these riddles easy.	true	427.85	436.72	24
1638_84447_000039_000000	He looked about in that very place for his own image; but another man stood in his accustomed corner, and though the clock pointed to his usual time of day for being there, he saw no likeness of himself among the multitudes that poured in through the Porch.	He looked about in that very place for his own image; but another man stood in his accustomed corner, and though the clock pointed to his usual time of day for being there, he saw no likeness of himself among the multitudes that poured in through the Porch.	true	437.06	451.96	25.069447
1638_84447_000039_000001	It gave him little surprise, however; for he had been revolving in his mind a change of life, and thought and hoped he saw his new-born resolutions carried out in this.	It gave him little surprise, however; for he had been revolving in his mind a change of life, and thought and hoped he saw his new born resolutions carried out in this.	true	452.54	465.34	22.196995
1638_84447_000040_000000	Quiet and dark, beside him stood the Phantom, with its outstretched hand.	Quiet and dark, beside him stood the Phantom, with its outstretched hand.	true	465.53	471.04	26
1638_84447_000040_000001	When he roused himself from his thoughtful quest, he fancied from the turn of the hand, and its situation in reference to himself, that the Unseen Eyes were looking at him keenly.	When he roused himself from his thoughtful quest, he fancied from the turn of the hand, and its situation in reference to himself, that the Unseen Eyes were looking at him keenly.	true	471.53	483.13	19
1638_84447_000040_000002	It made him shudder, and feel very cold.	It made him shudder, and feel very cold.	true	483.47	487.09	23.06235
1638_84447_000041_000000	They left the busy scene, and went into an obscure part of the town, where Scrooge had never penetrated before, although he recognised its situation, and its bad repute.	They left the busy scene, and went into an obscure part of the town, where Scrooge had never penetrated before, although he recognised its situation, and its bad repute.	false	487.19	497.65	25
1638_84447_000041_000001	The ways were foul and narrow; the shops and houses wretched; the people half-naked, drunken, slipshod, ugly.	The ways were foul and narrow; the shops and houses wretched; the people half naked, drunken, slipshod, ugly.	true	498.2	507.79	24.309744
1638_84447_000041_000002	Alleys and archways, like so many cesspools, disgorged their offences of smell, and dirt, and life, upon the straggling streets; and the whole quarter reeked with crime, with filth, and misery.	Alleys and archways, like so many cesspools, disgorged their offences of smell, and dirt, and life, upon the straggling streets; and the whole quarter reeked with crime, with filth, and misery.	false	508.43	523.54	24.50333
1638_84447_000042_000000	Far in this den of infamous resort, there was a low-browed, beetling shop, below a pent-house roof, where iron, old rags, bottles, bones, and greasy offal, were bought.	Far in this den of infamous resort, there was a low browed, beetling shop, below a pent house roof, where iron, old rags, bottles, bones, and greasy offal, were bought.	true	524.39	538	21.657349
1638_84447_000042_000001	Upon the floor within, were piled up heaps of rusty keys, nails, chains, hinges, files, scales, weights, and refuse iron of all kinds.	Upon the floor within, were piled up heaps of rusty keys, nails, chains, hinges, files, scales, weights, and refuse iron of all kinds.	true	538.4	549.91	23.128466
1638_84447_000042_000002	Secrets that few would like to scrutinise were bred and hidden in mountains of unseemly rags, masses of corrupted fat, and sepulchres of bones.	Secrets that few would like to scrutinise were bred and hidden in mountains of unseemly rags, masses of corrupted fat, and sepulchres of bones.	false	550.73	561.88	18
1638_84447_000042_000003	Sitting in among the wares he dealt in, by a charcoal stove, made of old bricks, was a grey-haired rascal, nearly seventy years of age; who had screened himself from the cold air without, by a frousy curtaining of miscellaneous tatters, hung upon a line; and smoked his pipe in all the luxury of calm retirement.	Sitting in among the wares he dealt in, by a charcoal stove, made of old bricks, was a grey haired rascal, nearly seventy years of age; who had screened himself from the cold air without, by a frousy curtaining of miscellaneous tatters, hung upon a line; and smoked his pipe in all the luxury of calm retirement.	false	562.22	584.14	19
1638_84447_000043_000000	Scrooge and the Phantom came into the presence of this man, just as a woman with a heavy bundle slunk into the shop.	Scrooge and the Phantom came into the presence of this man, just as a woman with a heavy bundle slunk into the shop.	false	584.6	592.12	21.487814
1638_84447_000043_000001	But she had scarcely entered, when another woman, similarly laden, came in too; and she was closely followed by a man in faded black, who was no less startled by the sight of them, than they had been upon the recognition of each other.	But she had scarcely entered, when another woman, similarly laden, came in too; and she was closely followed by a man in faded black, who was no less startled by the sight of them, than they had been upon the recognition of each other.	true	592.49	606.87	22.083473
1638_84447_000043_000002	After a short period of blank astonishment, in which the old man with the pipe had joined them, they all three burst into a laugh.	After a short period of blank astonishment, in which the old man with the pipe had joined them, they all three burst into a laugh.	true	606.87	614.98	24.550112
1638_84447_000044_000000	"Let the charwoman alone to be the first!" cried she who had entered first.	"Let the charwoman alone to be the first!" cried she who had entered first.	true	615.2	620.02	20.626822
1638_84447_000044_000001	"Let the laundress alone to be the second; and let the undertaker's man alone to be the third.	"Let the laundress alone to be the second; and let the undertaker's man alone to be the third.	false	620.12	626.445	17
1638_84447_000044_000002	Look here, old Joe, here's a chance!	Look here, old Joe, here's a chance!	true	626.445	629.325	12
1638_84447_000044_000003	If we haven't all three met here without meaning it!"	If we haven't all three met here without meaning it!"	true	629.325	632.56	15
1638_84447_000045_000000	"You couldn't have met in a better place," said old Joe, removing his pipe from his mouth.	"You couldn't have met in a better place," said old Joe, removing his pipe from his mouth.	false	632.93	638.77	27.588581
1638_84447_000045_000001	"Come into the parlour. You were made free of it long ago, you know; and the other two an't strangers.	"Come into the parlour. You were made free of it long ago, you know; and the other two an't strangers.	false	638.93	646.42	22.560406
1638_84447_000045_000002	Stop till I shut the door of the shop. Ah!	Stop till I shut the door of the shop. Ah!	true	646.79	650.13	29.55909
1638_84447_000045_000003	How it skreeks!	How it skreeks!	false	650.13	651.87	24.343178
1638_84447_000045_000004	There an't such a rusty bit of metal in the place as its own hinges, I believe; and I'm sure there's no such old bones here, as mine.	There an't such a rusty bit of metal in the place as its own hinges, I believe; and I'm sure there's no such old bones here, as mine.	false	651.87	660.84	13
1638_84447_000045_000005	Ha, ha!	Ha, ha!	false	660.84	661.71	15
1638_84447_000045_000006	We're all suitable to our calling, we're well matched.	We're all suitable to our calling, we're well matched.	true	661.71	665.745	17
1638_84447_000045_000007	Come into the parlour.	Come into the parlour.	true	665.745	667.275	25.794918
1638_84447_000045_000008	Come into the parlour."	Come into the parlour."	true	667.275	669.94	26.31775
1638_84447_000046_000000	The parlour was the space behind the screen of rags.	The parlour was the space behind the screen of rags.	false	670.16	673.72	25.084349
1638_84447_000046_000001	The old man raked the fire together with an old stair-rod, and having trimmed his smoky lamp (for it was night), with the stem of his pipe, put it in his mouth again.	The old man raked the fire together with an old stair rod, and having trimmed his smoky lamp (for it was night), with the stem of his pipe, put it in his mouth again.	true	673.88	684.76	24.773182
1638_84447_000047_000000	While he did this, the woman who had already spoken threw her bundle on the floor, and sat down in a flaunting manner on a stool; crossing her elbows on her knees, and looking with a bold defiance at the other two.	While he did this, the woman who had already spoken threw her bundle on the floor, and sat down in a flaunting manner on a stool; crossing her elbows on her knees, and looking with a bold defiance at the other two.	true	684.95	699.16	22
1638_84447_000048_000000	"What odds then!	"What odds then!	true	699.62	701.115	26.35701
1638_84447_000048_000001	What odds, Mrs. Dilber?" said the woman.	What odds, mrs Dilber?" said the woman.	true	701.115	704.08	24.82146
1638_84447_000048_000002	"Every person has a right to take care of themselves. He always did."	"Every person has a right to take care of themselves. He always did."	true	704.15	708.67	24
1638_84447_000049_000000	"That's true, indeed!" said the laundress.	"That's true, indeed!" said the laundress.	true	708.98	711.795	24.219318
1638_84447_000049_000001	"No man more so."	"No man more so."	true	711.795	713.52	23.905098
1638_84447_000050_000000	"Why then, don't stand staring as if you was afraid, woman; who's the wiser?	"Why then, don't stand staring as if you was afraid, woman; who's the wiser?	true	713.52	719.35	22.97329
1638_84447_000050_000001	We're not going to pick holes in each other's coats, I suppose?"	We're not going to pick holes in each other's coats, I suppose?"	true	719.45	723.25	24
1638_84447_000051_000000	"No, indeed!" said Mrs. Dilber and the man together. "We should hope not."	"No, indeed!" said mrs Dilber and the man together. "We should hope not."	true	723.47	728.62	25.586409
1638_84447_000052_000000	"Very well, then!" cried the woman.	"Very well, then!" cried the woman.	true	728.96	731.205	18.234444
1638_84447_000052_000001	"That's enough. Who's the worse for the loss of a few things like these? Not a dead man, I suppose."	"That's enough. Who's the worse for the loss of a few things like these? Not a dead man, I suppose."	true	731.205	738.13	23.679499
1638_84447_000053_000000	"No, indeed," said Mrs. Dilber, laughing.	"No, indeed," said mrs Dilber, laughing.	true	738.77	742.875	25.053104
1638_84447_000054_000000	"If he wanted to keep 'em after he was dead, a wicked old screw," pursued the woman, "why wasn't he natural in his lifetime?	"If he wanted to keep 'em after he was dead, a wicked old screw," pursued the woman, "why wasn't he natural in his lifetime?	true	742.875	750.4	21
1638_84447_000054_000001	If he had been, he'd have had somebody to look after him when he was struck with Death, instead of lying gasping out his last there, alone by himself."	If he had been, he'd have had somebody to look after him when he was struck with Death, instead of lying gasping out his last there, alone by himself."	false	750.56	759.94	22
1638_84447_000055_000000	"It's the truest word that ever was spoke," said Mrs. Dilber.	"It's the truest word that ever was spoke," said mrs Dilber.	true	760.76	764.89	26.184443
1638_84447_000055_000001	"It's a judgment on him."	"It's a judgment on him."	true	765.38	767.14	27.49602
1638_84447_000056_000000	"I wish it was a little heavier judgment," replied the woman; "and it should have been, you may depend upon it, if I could have laid my hands on anything else.	"I wish it was a little heavier judgment," replied the woman; "and it should have been, you may depend upon it, if I could have laid my hands on anything else.	true	767.81	778.29	24.978466
1638_84447_000056_000001	Open that bundle, old Joe, and let me know the value of it.	Open that bundle, old Joe, and let me know the value of it.	true	778.29	781.71	22
1638_84447_000056_000002	Speak out plain.	Speak out plain.	true	781.71	782.835	26.527252
1638_84447_000056_000003	I'm not afraid to be the first, nor afraid for them to see it.	I'm not afraid to be the first, nor afraid for them to see it.	true	782.835	786.37	18
1638_84447_000056_000004	We know pretty well that we were helping ourselves, before we met here, I believe.	We know pretty well that we were helping ourselves, before we met here, I believe.	true	786.41	790.845	18
1638_84447_000056_000005	It's no sin.	It's no sin.	true	790.845	791.86	33.61123
1638_84447_000056_000006	Open the bundle, Joe."	Open the bundle, Joe."	true	791.87	793.33	22.064451
1638_84447_000057_000000	But the gallantry of her friends would not allow of this; and the man in faded black, mounting the breach first, produced his plunder.	But the gallantry of her friends would not allow of this; and the man in faded black, mounting the breach first, produced his plunder.	true	793.79	801.64	23.79368
1638_84447_000057_000001	It was not extensive.	It was not extensive.	true	802.19	803.74	25.111904
1638_84447_000057_000002	A seal or two, a pencil-case, a pair of sleeve-buttons, and a brooch of no great value, were all.	A seal or two, a pencil case, a pair of sleeve buttons, and a brooch of no great value, were all.	true	803.9	810.52	25.505192
1638_84447_000057_000003	They were severally examined and appraised by old Joe, who chalked the sums he was disposed to give for each, upon the wall, and added them up into a total when he found there was nothing more to come.	They were severally examined and appraised by old Joe, who chalked the sums he was disposed to give for each, upon the wall, and added them up into a total when he found there was nothing more to come.	false	810.56	822.28	21
1638_84447_000058_000000	"That's your account," said Joe, "and I wouldn't give another sixpence, if I was to be boiled for not doing it. Who's next?"	"That's your account," said Joe, "and I wouldn't give another sixpence, if I was to be boiled for not doing it. Who's next?"	true	822.59	832.36	25.108095
1638_84447_000059_000000	Mrs. Dilber was next.	mrs Dilber was next.	true	833.03	834.82	26.338741
1638_84447_000059_000001	Sheets and towels, a little wearing apparel, two old-fashioned silver teaspoons, a pair of sugar-tongs, and a few boots.	Sheets and towels, a little wearing apparel, two old-fashioned silver teaspoons, a pair of sugar tongs, and a few boots.	true	834.95	843.58	23
1638_84447_000059_000002	Her account was stated on the wall in the same manner.	Her account was stated on the wall in the same manner.	true	843.89	847.6	22.30674
1638_84447_000060_000000	"I always give too much to ladies.	"I always give too much to ladies.	true	847.97	850.93	25
1638_84447_000060_000001	It's a weakness of mine, and that's the way I ruin myself," said old Joe.	It's a weakness of mine, and that's the way I ruin myself," said old Joe.	true	851	857.35	20.70663
1638_84447_000060_000002	"That's your account.	"That's your account.	true	858.11	859.69	33.460243
1638_84447_000060_000003	If you asked me for another penny, and made it an open question, I'd repent of being so liberal and knock off half-a-crown."	If you asked me for another penny, and made it an open question, I'd repent of being so liberal and knock off half a crown."	false	859.76	867.94	22.227636
1638_84447_000061_000000	"And now undo my bundle, Joe," said the first woman.	"And now undo my bundle, Joe," said the first woman.	true	868.43	871.99	22.47427
1638_84447_000062_000000	Joe went down on his knees for the greater convenience of opening it, and having unfastened a great many knots, dragged out a large and heavy roll of some dark stuff.	Joe went down on his knees for the greater convenience of opening it, and having unfastened a great many knots, dragged out a large and heavy roll of some dark stuff.	true	872.39	883.36	24.152151
1638_84447_000063_000000	"What do you call this?" said Joe.	"What do you call this?" said Joe.	true	883.55	886.39	26.013527
1638_84447_000063_000001	"Bed-curtains!"	"Bed curtains!"	true	886.46	887.98	29.278809
1638_84447_000064_000000	"Ah!" returned the woman, laughing and leaning forward on her crossed arms.	"Ah!" returned the woman, laughing and leaning forward on her crossed arms.	true	888.44	893.65	25
1638_84447_000064_000001	"Bed-curtains!"	"Bed curtains!"	true	893.9	895.39	31.865147
1638_84447_000065_000000	"You don't mean to say you took 'em down, rings and all, with him lying there?" said Joe.	"You don't mean to say you took 'em down, rings and all, with him lying there?" said Joe.	true	896.21	902.29	21.832918
1638_84447_000066_000000	"Yes I do," replied the woman.	"Yes I do," replied the woman.	true	902.81	905.13	20
1638_84447_000066_000001	"Why not?"	"Why not?"	true	905.13	906.07	28.315964
1638_84447_000067_000000	"You were born to make your fortune," said Joe, "and you'll certainly do it."	"You were born to make your fortune," said Joe, "and you'll certainly do it."	true	906.65	911.92	22.894173
1638_84447_000068_000000	"I certainly shan't hold my hand, when I can get anything in it by reaching it out, for the sake of such a man as He was, I promise you, Joe," returned the woman coolly.	"I certainly shan't hold my hand, when I can get anything in it by reaching it out, for the sake of such a man as He was, I promise you, Joe," returned the woman coolly.	true	912.2	922.93	18
1638_84447_000068_000001	"Don't drop that oil upon the blankets, now."	"Don't drop that oil upon the blankets, now."	true	923.24	925.93	29.511414
1638_84447_000069_000000	"His blankets?" asked Joe.	"His blankets?" asked Joe.	true	926.39	929.13	29.519642
1638_84447_000070_000000	"Whose else's do you think?" replied the woman.	"Whose else's do you think?" replied the woman.	false	929.13	932.92	23.733177
1638_84447_000070_000001	"He isn't likely to take cold without 'em, I dare say."	"He isn't likely to take cold without 'em, I dare say."	true	932.99	936.22	26.395838
1638_84447_000071_000000	"I hope he didn't die of anything catching?	"I hope he didn't die of anything catching?	true	936.65	939.39	22.7781
1638_84447_000071_000001	Eh?" said old Joe, stopping in his work, and looking up.	Eh?" said old Joe, stopping in his work, and looking up.	false	939.39	944.02	27.278826
1638_84447_000072_000000	"Don't you be afraid of that," returned the woman.	"Don't you be afraid of that," returned the woman.	true	944.3	947.44	20.008495
1638_84447_000072_000001	"I an't so fond of his company that I'd loiter about him for such things, if he did.	"I an't so fond of his company that I'd loiter about him for such things, if he did.	false	947.48	952.54	21
1638_84447_000072_000002	Ah! you may look through that shirt till your eyes ache; but you won't find a hole in it, nor a threadbare place.	Ah! you may look through that shirt till your eyes ache; but you won't find a hole in it, nor a threadbare place.	false	952.79	959.83	22
1638_84447_000072_000003	It's the best he had, and a fine one too. They'd have wasted it, if it hadn't been for me."	It's the best he had, and a fine one too. They'd have wasted it, if it hadn't been for me."	true	959.87	966.22	24.371252
1638_84447_000073_000000	"What do you call wasting of it?" asked old Joe.	"What do you call wasting of it?" asked old Joe.	false	966.56	970.39	28.171835
1638_84447_000074_000000	"Putting it on him to be buried in, to be sure," replied the woman with a laugh.	"Putting it on him to be buried in, to be sure," replied the woman with a laugh.	true	970.43	975.93	24.560635
1638_84447_000074_000001	"Somebody was fool enough to do it, but I took it off again.	"Somebody was fool enough to do it, but I took it off again.	true	975.93	979.755	25
1638_84447_000074_000002	If calico an't good enough for such a purpose, it isn't good enough for anything.	If calico an't good enough for such a purpose, it isn't good enough for anything.	true	979.755	984.07	20
