4054_11077_000000_000000	"Oh, will you?"--forgetting her grief--"that will be lovely.	"Oh, will you?"--forgetting her grief-"that will be lovely.	false	0	2.52	33.172398
4054_11077_000004_000003	No instinct bids us to delay or to hasten the opening of the letter or telegram, or the lifting of the latch of the door at which stands the messenger of good or ill.	No instinct bids us to delay or to hasten the opening of the letter or telegram, or the lifting of the latch of the door at which stands the messenger of good or ill.	true	53.025	62.62	26.317911
4054_11077_000004_000004	And because it may be, and often is, happy tidings that come, and joyful things which happen, each fresh day as it dawns upon us is like an unread story, full of possible interest and adventure, to be made ours as soon as we have cut the pages and begun to read.	And because it may be, and often is, happy tidings that come, and joyful things which happen, each fresh day as it dawns upon us is like an unread story, full of possible interest and adventure, to be made ours as soon as we have cut the pages and begun to read.	true	63.23	78.135	25.024363
4054_11077_000005_000000	Nothing whispered to Katy Carr, as she sat at the window mending a long rent in Johnnie's school coat, and saw Mrs. Ashe come in at the side gate and ring the office bell, that the visit had any special significance for her.	Nothing whispered to Katy Carr, as she sat at the window mending a long rent in Johnnie's school coat, and saw mrs Ashe come in at the side gate and ring the office bell, that the visit had any special significance for her.	true	78.135	90.13	25.86002
4054_11077_000005_000001	Mrs. Ashe often did come to the office to consult Dr. Carr.	mrs Ashe often did come to the office to consult dr Carr.	true	90.44	93.85	28.754595
4054_11077_000005_000002	Amy might not be quite well, Katy thought, or there might be a letter with something about Walter in it, or perhaps matters had gone wrong at the house, where paperers and painters were still at work.	Amy might not be quite well, Katy thought, or there might be a letter with something about Walter in it, or perhaps matters had gone wrong at the house, where paperers and painters were still at work.	true	94.13	104.38	26.8719
4054_11077_000005_000003	So she went calmly on with her darning, drawing the "ravelling," with which her needle was threaded, carefully in and out, and taking nice even stitches without one prophetic thrill or tremor; while, if only she could have looked through the two walls and two doors which separated the room in which she sat from the office, and have heard what Mrs. Ashe was saying, the school coat would have been thrown to the winds, and for all her tall stature and propriety, she would have been skipping with delight and astonishment.	So she went calmly on with her darning, drawing the "ravelling," with which her needle was threaded, carefully in and out, and taking nice even stitches without one prophetic thrill or tremor; while, if only she could have looked through the two walls and two doors which separated the room in which she sat from the office, and have heard what mrs Ashe was saying, the school coat would have been thrown to the winds, and for all her tall stature and propriety, she would have been skipping with delight and astonishment.	true	105.56	130.83	24.516409
4054_11077_000005_000004	For Mrs. Ashe was asking papa to let her do the very thing of all others that she most longed to do; she was asking him to let Katy go with her to Europe!	For mrs Ashe was asking papa to let her do the very thing of all others that she most longed to do; she was asking him to let Katy go with her to Europe!	true	130.83	139.59	27.4484
4054_11077_000006_000000	"I am not very well," she told the Doctor.	"I am not very well," she told the Doctor.	false	139.59	141.855	23.712526
4054_11077_000006_000001	"I got tired and run down while Walter was ill, and I don't seem to throw it off as I hoped I should.	"I got tired and run down while Walter was ill, and I don't seem to throw it off as I hoped I should.	true	141.855	146.29	27.949642
4054_11077_000006_000002	I feel as if a change would do me good.	I feel as if a change would do me good.	false	146.51	148.575	25.24426
4054_11077_000006_000003	Don't you think so yourself?"	Don't you think so yourself?"	true	148.575	150.1	20.99762
4054_11077_000007_000000	"Yes, I do," Dr. Carr admitted.	"Yes, I do," dr Carr admitted.	true	150.53	152.59	29.025658
4054_11077_000008_000000	"This idea of Europe is not altogether a new one," continued Mrs. Ashe. "I have always meant to go some time, and have put it off, partly because I dreaded going alone, and didn't know anybody whom I exactly wanted to take with me.	"This idea of Europe is not altogether a new one," continued mrs Ashe. "I have always meant to go some time, and have put it off, partly because I dreaded going alone, and didn't know anybody whom I exactly wanted to take with me.	false	153.14	164.5	24.048332
4054_11077_000008_000001	But if you will let me have Katy, Dr. Carr, it will settle all my difficulties.	But if you will let me have Katy, dr Carr, it will settle all my difficulties.	true	165.08	168.85	25.91735
4054_11077_000008_000002	Amy loves her dearly, and so do I; she is just the companion I need; if I have her with me, I sha'n't be afraid of anything.	Amy loves her dearly, and so do I; she is just the companion I need; if I have her with me, I sha'n't be afraid of anything.	false	169.22	175.95	24.123804
4054_11077_000008_000003	I do hope you will consent."	I do hope you will consent."	true	175.95	177.52	28.697601
4054_11077_000009_000000	"How long do you mean to be away?" asked Dr. Carr, divided between pleasure at these compliments to Katy and dismay at the idea of losing her.	"How long do you mean to be away?" asked dr Carr, divided between pleasure at these compliments to Katy and dismay at the idea of losing her.	true	178.01	185.44	30.608526
4054_11077_000010_000000	"About a year, I think.	"About a year, I think.	true	186.08	187.39	33.413254
4054_11077_000010_000001	My plans are rather vague as yet; but my idea was to spend a few weeks in Scotland and England first,--I have some cousins in London who will be good to us; and an old friend of mine married a gentleman who lives on the Isle of Wight; perhaps we might go there.	My plans are rather vague as yet; but my idea was to spend a few weeks in Scotland and England first,--I have some cousins in London who will be good to us; and an old friend of mine married a gentleman who lives on the Isle of Wight; perhaps we might go there.	true	187.55	199.785	24.912634
4054_11077_000010_000002	Then we could cross over to France and visit Paris and a few other places; and before it gets cold go down to Nice, and from there to Italy.	Then we could cross over to France and visit Paris and a few other places; and before it gets cold go down to Nice, and from there to Italy.	true	199.785	206.56	27.041988
4054_11077_000010_000003	Katy would like to see Italy.	Katy would like to see Italy.	true	207.05	208.29	26.669191
4054_11077_000010_000004	Don't you think so?"	Don't you think so?"	true	208.29	209.14	27.69728
4054_11077_000011_000000	"I dare say she would," said Dr. Carr, with a smile.	"I dare say she would," said dr Carr, with a smile.	true	209.78	212.205	28.687725
4054_11077_000011_000001	"She would be a queer girl if she didn't."	"She would be a queer girl if she didn't."	true	212.205	214.09	24.464663
4054_11077_000012_000000	"There is one reason why I thought Italy would be particularly pleasant this winter for me and for her too," went on Mrs. Ashe; "and that is, because my brother will be there.	"There is one reason why I thought Italy would be particularly pleasant this winter for me and for her too," went on mrs Ashe; "and that is, because my brother will be there.	false	214.79	222.165	25.917526
4054_11077_000012_000001	He is a lieutenant in the navy, you know, and his ship, the 'Natchitoches,' is one of the Mediterranean squadron.	He is a lieutenant in the navy, you know, and his ship, the 'Natchitoches,' is one of the Mediterranean squadron.	false	222.165	228.79	27.40443
4054_11077_000012_000002	They will be in Naples by and by, and if we were there at the same time we should have Ned to go about with; and he would take us to the receptions on the frigate, and all that, which would be a nice chance for Katy.	They will be in Naples by and by, and if we were there at the same time we should have Ned to go about with; and he would take us to the receptions on the frigate, and all that, which would be a nice chance for Katy.	false	229.31	239.5	25.140827
4054_11077_000012_000003	Then toward spring I should like to go to Florence and Venice, and visit the Italian lakes and Switzerland in the early summer. But all this depends on your letting Katy go.	Then toward spring I should like to go to Florence and Venice, and visit the Italian lakes and Switzerland in the early summer. But all this depends on your letting Katy go.	true	239.54	248.13	22.311478
4054_11077_000012_000004	If you decide against it, I shall give the whole thing up.	If you decide against it, I shall give the whole thing up.	true	248.13	250.59	23.250303
4054_11077_000012_000005	But you won't decide against it,"--coaxingly,--"you will be kinder than that.	But you won't decide against it,"--coaxingly,--"you will be kinder than that.	false	250.59	255.28	28.148346
4054_11077_000012_000006	I will take the best possible care of her, and do all I can to make her happy, if only you will consent to lend her to me; and I shall consider it _such_ a favor. And it is to cost you nothing.	I will take the best possible care of her, and do all I can to make her happy, if only you will consent to lend her to me; and I shall consider it underscore such underscore a favor. And it is to cost you nothing.	false	255.62	264.585	24.721687
4054_11077_000012_000007	You understand, Doctor, she is to be my guest all through.	You understand, Doctor, she is to be my guest all through.	true	264.585	267.67	25.85901
4054_11077_000012_000008	That is a point I want to make clear in the outset; for she goes for my sake, and I cannot take her on any other conditions. Now, Dr. Carr, please, please!	That is a point I want to make clear in the outset; for she goes for my sake, and I cannot take her on any other conditions. Now, dr Carr, please, please!	false	268.01	277.035	26.59576
4054_11077_000012_000009	I am sure you won't deny me, when I have so set my heart upon having her."	I am sure you won't deny me, when I have so set my heart upon having her."	true	277.035	280.36	24.804081
4054_11077_000013_000000	Mrs. Ashe was very pretty and persuasive, but still Dr. Carr hesitated. To send Katy for a year's pleasuring in Europe was a thing that had never occurred to his mind as possible.	mrs Ashe was very pretty and persuasive, but still dr Carr hesitated. To send Katy for a year's pleasuring in Europe was a thing that had never occurred to his mind as possible.	true	281.33	290.62	27.682322
4054_11077_000013_000001	The cost alone would have prevented; for country doctors with six children are not apt to be rich men, even in the limited and old-fashioned construction of the word "wealth." It seemed equally impossible to let her go at Mrs. Ashe's expense; at the same time, the chance was such a good one, and Mrs. Ashe so much in earnest and so urgent, that it was difficult to refuse point blank.	The cost alone would have prevented; for country doctors with six children are not apt to be rich men, even in the limited and old-fashioned construction of the word "wealth." It seemed equally impossible to let her go at mrs Ashe's expense; at the same time, the chance was such a good one, and mrs Ashe so much in earnest and so urgent, that it was difficult to refuse point blank.	false	290.87	310.81	25.283007
4054_11077_000013_000002	He finally consented to take time for consideration before making his decision.	He finally consented to take time for consideration before making his decision.	true	311.06	315.07	24.30364
4054_11077_000014_000000	"I will talk it over with Katy," he said.	"I will talk it over with Katy," he said.	true	315.35	317.35	28.1136
4054_11077_000014_000001	"The child ought to have a say in the matter; and whatever we decide, you must let me thank you in her name as well as my own for your great kindness in proposing it."	"The child ought to have a say in the matter; and whatever we decide, you must let me thank you in her name as well as my own for your great kindness in proposing it."	true	317.51	325.66	25.191792
4054_11077_000015_000000	"Doctor, I'm not kind at all, and I don't want to be thanked.	"Doctor, I'm not kind at all, and I don't want to be thanked.	true	325.97	328.635	29.181051
4054_11077_000015_000001	My desire to take Katy with me to Europe is purely selfish.	My desire to take Katy with me to Europe is purely selfish.	true	328.635	331.455	25.383469
4054_11077_000015_000002	I am a lonely person," she went on; "I have no mother or sister, and no cousins of my own age. My brother's profession keeps him at sea; I scarcely ever see him.	I am a lonely person," she went on; "I have no mother or sister, and no cousins of my own age. My brother's profession keeps him at sea; I scarcely ever see him.	true	331.455	339.75	21.298779
4054_11077_000015_000003	I have no one but a couple of old aunts, too feeble in health to travel with me or to be counted on in case of any emergency.	I have no one but a couple of old aunts, too feeble in health to travel with me or to be counted on in case of any emergency.	true	339.75	345.675	28.636744
4054_11077_000015_000004	You see, I am a real case for pity."	You see, I am a real case for pity."	true	345.675	347.95	28.36491
4054_11077_000016_000000	Mrs. Ashe spoke gayly, but her brown eyes were dim with tears as she ended her little appeal.	mrs Ashe spoke gayly, but her brown eyes were dim with tears as she ended her little appeal.	true	348.23	352.48	24.530571
4054_11077_000016_000001	Dr. Carr, who was soft-hearted where women were concerned, was touched.	dr Carr, who was soft hearted where women were concerned, was touched.	true	352.52	356.71	27.87834
4054_11077_000016_000002	Perhaps his face showed it, for Mrs. Ashe added in a more hopeful tone,--	Perhaps his face showed it, for mrs Ashe added in a more hopeful tone,--	true	356.78	360.76	27.273523
4054_11077_000017_000000	"But I won't tease any more.	"But I won't tease any more.	true	361.13	362.475	27.850885
4054_11077_000017_000001	I know you will not refuse me unless you think it right and necessary; and," she continued mischievously, "I have great faith in Katy as an ally.	I know you will not refuse me unless you think it right and necessary; and," she continued mischievously, "I have great faith in Katy as an ally.	true	362.475	370.305	22.425539
4054_11077_000017_000002	I am pretty sure that she will say that she wants to go."	I am pretty sure that she will say that she wants to go."	true	370.305	373.27	25.257313
4054_11077_000018_000000	And indeed Katy's cry of delight when the plan was proposed to her said that sufficiently, without need of further explanation.	And indeed Katy's cry of delight when the plan was proposed to her said that sufficiently, without need of further explanation.	true	374.03	380.11	25.515228
4054_11077_000018_000001	To go to Europe for a year with Mrs. Ashe and Amy seemed simply too delightful to be true.	To go to Europe for a year with mrs Ashe and Amy seemed simply too delightful to be true.	true	380.33	385.12	23.850824
4054_11077_000018_000002	All the things she had heard about and read about--cathedrals, pictures, Alpine peaks, famous places, famous people--came rushing into her mind in a sort of bewildering tide as dazzling as it was overwhelming.	All the things she had heard about and read about-cathedrals, pictures, Alpine peaks, famous places, famous people-came rushing into her mind in a sort of bewildering tide as dazzling as it was overwhelming.	false	385.31	395.47	23.437578
4054_11077_000018_000003	Dr. Carr's objections, his reluctance to part with her, melted before the radiance of her satisfaction.	dr Carr's objections, his reluctance to part with her, melted before the radiance of her satisfaction.	true	395.54	401.08	27.506815
4054_11077_000018_000004	He had no idea that Katy would care so much about it.	He had no idea that Katy would care so much about it.	true	401.24	405.06	25.215076
4054_11077_000018_000005	After all, it was a great chance,--perhaps the only one of the sort that she would ever have. Mrs. Ashe could well afford to give Katy this treat, he knew; and it was quite true what she said, that it was a favor to her as well as to Katy.	After all, it was a great chance,--perhaps the only one of the sort that she would ever have. mrs Ashe could well afford to give Katy this treat, he knew; and it was quite true what she said, that it was a favor to her as well as to Katy.	true	405.06	416.625	27.08189
4054_11077_000018_000006	This train of reasoning led to its natural results.	This train of reasoning led to its natural results.	true	416.625	419.23	26.418913
4054_11077_000018_000007	Dr. Carr began to waver in his mind.	dr Carr began to waver in his mind.	true	419.33	421.99	30.675224
4054_11077_000019_000000	But, the first excitement over, Katy's second thoughts were more sober ones.	But, the first excitement over, Katy's second thoughts were more sober ones.	true	422.93	426.37	26.576456
4054_11077_000019_000001	How could papa manage without her for a whole year, she asked herself.	How could papa manage without her for a whole year, she asked herself.	true	426.5	430.09	27.909445
4054_11077_000019_000002	He would miss her, she well knew, and might not the charge of the house be too much for Clover?	He would miss her, she well knew, and might not the charge of the house be too much for Clover?	true	430.16	434.98	26.79621
4054_11077_000019_000003	The preserves were almost all made, that was one comfort; but there were the winter clothes to be seen to; Dorry needed new flannels, Elsie's dresses must be altered over for Johnnie,--there were cucumbers to pickle, the coal to order!	The preserves were almost all made, that was one comfort; but there were the winter clothes to be seen to; Dorry needed new flannels, Elsie's dresses must be altered over for Johnnie,--there were cucumbers to pickle, the coal to order!	false	435.2	447.31	24.818483
4054_11077_000019_000004	A host of housewifely cares began to troop through Katy's mind, and a little pucker came into her forehead, and a worried look across the face which had been so bright a few minutes before.	A host of housewifely cares began to troop through Katy's mind, and a little pucker came into her forehead, and a worried look across the face which had been so bright a few minutes before.	true	447.65	457.54	24.583046
4054_11077_000019_000005	Strange to say, it was that little pucker and the look of worry which decided Dr. Carr.	Strange to say, it was that little pucker and the look of worry which decided dr Carr.	false	457.79	463.09	20.95827
4054_11077_000020_000000	"She is only twenty-one," he reflected; "hardly out of childhood.	"She is only twenty one," he reflected; "hardly out of childhood.	true	463.34	466.425	25.926395
4054_11077_000020_000001	I don't want her to settle into an anxious, drudging state and lose her youth with caring for us all.	I don't want her to settle into an anxious, drudging state and lose her youth with caring for us all.	true	466.425	471.61	27.153582
4054_11077_000020_000002	She shall go; though how we are to manage without her I don't see.	She shall go; though how we are to manage without her I don't see.	true	472.13	475.12	26.99745
4054_11077_000020_000003	Little Clover will have to come to the fore, and show what sort of stuff there is in her."	Little Clover will have to come to the fore, and show what sort of stuff there is in her."	false	475.19	478.71	23.592463
4054_11077_000021_000000	"Little Clover" came gallantly "to the fore" when the first shock of surprise was over, and she had relieved her mind with one long private cry over having to do without Katy for a year.	"Little Clover" came gallantly "to the fore" when the first shock of surprise was over, and she had relieved her mind with one long private cry over having to do without Katy for a year.	true	478.71	487.83	27.755375
4054_11077_000021_000001	Then she wiped her eyes, and began to revel unselfishly in the idea of her sister's having so great a treat.	Then she wiped her eyes, and began to revel unselfishly in the idea of her sister's having so great a treat.	false	487.83	493.6	24.865353
4054_11077_000021_000002	Anything and everything seemed possible to secure it for her; and she made light of all Katy's many anxieties and apprehensions.	Anything and everything seemed possible to secure it for her; and she made light of all Katy's many anxieties and apprehensions.	true	493.73	500.08	23.379086
4054_11077_000022_000000	"My dear child, I know a flannel undershirt when I see one, just as well as you do," she declared.	"My dear child, I know a flannel undershirt when I see one, just as well as you do," she declared.	true	500.51	505.005	24.057497
4054_11077_000022_000001	"Tucks in Johnnie's dress, forsooth!	"Tucks in Johnnie's dress, forsooth!	true	505.005	507.135	25.243818
4054_11077_000022_000002	why, of course.	why, of course.	true	507.135	508.57	25.869102
4054_11077_000022_000003	Ripping out a tuck doesn't require any superhuman ingenuity! Give me your scissors, and I'll show you at once.	Ripping out a tuck doesn't require any superhuman ingenuity! Give me your scissors, and I'll show you at once.	true	508.67	513.94	27.615637
4054_11077_000022_000004	Quince marmalade? Debby can make that.	Quince marmalade? Debby can make that.	true	514.13	516.48	32.26965
4054_11077_000022_000005	Hers is about as good as yours; and if it wasn't, what should we care, as long as you are ascending Mont Blanc, and hob-nobbing with Michael Angelo and the crowned heads of Europe?	Hers is about as good as yours; and if it wasn't, what should we care, as long as you are ascending Mont Blanc, and hob nobbing with Michael Angelo and the crowned heads of Europe?	false	516.48	526.12	24.330172
4054_11077_000022_000006	I'll make the spiced peaches!	I'll make the spiced peaches!	true	526.22	527.74	28.736317
4054_11077_000022_000007	I'll order the kindling!	I'll order the kindling!	true	527.84	529.125	25.727177
4054_11077_000022_000008	And if there ever comes a time when I feel lost and can't manage without advice, I'll go across to Mrs. Hall.	And if there ever comes a time when I feel lost and can't manage without advice, I'll go across to mrs Hall.	false	529.125	534.1	23.8501
4054_11077_000022_000009	Don't worry about us.	Don't worry about us.	true	534.44	535.875	28.085196
4054_11077_000022_000010	We shall get on happily and easily; in fact, I shouldn't be surprised if I developed such a turn for housekeeping, that when you come back the family refused to change, and you had just to sit for the rest of your life and twirl your thumbs and watch me do it!	We shall get on happily and easily; in fact, I shouldn't be surprised if I developed such a turn for housekeeping, that when you come back the family refused to change, and you had just to sit for the rest of your life and twirl your thumbs and watch me do it!	false	535.875	548.08	25.580263
4054_11077_000022_000011	Wouldn't that be fine?" and Clover laughed merrily.	Wouldn't that be fine?" and Clover laughed merrily.	true	548.15	550.84	22.100817
4054_11077_000022_000012	"So, Katy darling, cast that shadow from your brow, and look as a girl ought to look who's going to Europe.	"So, Katy darling, cast that shadow from your brow, and look as a girl ought to look who's going to Europe.	true	551.12	556.12	28.325441
4054_11077_000022_000013	Why, if it were I who were going, I should simply stand on my head every moment of the time!"	Why, if it were I who were going, I should simply stand on my head every moment of the time!"	false	556.22	561.01	22.618864
4054_11077_000023_000000	"Not a very convenient position for packing," said Katy, smiling.	"Not a very convenient position for packing," said Katy, smiling.	true	561.62	565.03	30.60677
4054_11077_000024_000000	"Yes, it is, if you just turn your trunk upside down!	"Yes, it is, if you just turn your trunk upside down!	true	565.37	567.88	24.774975
4054_11077_000024_000001	When I think of all the delightful things you are going to do, I can hardly sit still.	When I think of all the delightful things you are going to do, I can hardly sit still.	true	567.92	571.5	29.142307
4054_11077_000024_000002	I _love_ Mrs. Ashe for inviting you."	I underscore love underscore mrs Ashe for inviting you."	false	571.5	574.36	23.758839
4054_11077_000025_000000	"So do I," said Katy, soberly.	"So do I," said Katy, soberly.	true	574.97	576.72	26.951353
4054_11077_000025_000001	"It was the kindest thing!	"It was the kindest thing!	true	576.72	578.115	25.895632
4054_11077_000025_000002	I can't think why she did it."	I can't think why she did it."	true	578.115	579.82	26.767597
4054_11077_000026_000000	"Well, I can," replied Clover, always ready to defend Katy even against herself.	"Well, I can," replied Clover, always ready to defend Katy even against herself.	true	580.67	584.895	24.280985
4054_11077_000026_000001	"She did it because she wanted you, and she wanted you because you are the dearest old thing in the world, and the nicest to have about.	"She did it because she wanted you, and she wanted you because you are the dearest old thing in the world, and the nicest to have about.	true	584.895	590.89	25.137653
4054_11077_000026_000002	You needn't say you're not, for you are!	You needn't say you're not, for you are!	true	591.11	592.905	22.027561
4054_11077_000026_000003	Now, Katy, don't waste another thought on such miserable things as pickles and undershirts.	Now, Katy, don't waste another thought on such miserable things as pickles and undershirts.	true	592.905	596.95	24.629417
4054_11077_000026_000004	We shall get along perfectly well, I do assure you.	We shall get along perfectly well, I do assure you.	true	597.2	599.505	25.662897
4054_11077_000026_000005	Just fix your mind instead on the dome of St. Peter's, or try to fancy how you'll feel the first time you step into a gondola or see the Mediterranean.	Just fix your mind instead on the dome of saint Peter's, or try to fancy how you'll feel the first time you step into a gondola or see the Mediterranean.	true	599.505	607.78	24.482483
4054_11077_000026_000006	There will be a moment!	There will be a moment!	true	607.88	609.13	28.162933
4054_11077_000026_000007	I feel a forty-horse power of housekeeping developing within me; and what fun it will be to get your letters!	I feel a forty horse power of housekeeping developing within me; and what fun it will be to get your letters!	true	609.8	615.975	24.49305
4054_11077_000026_000008	We shall fetch out the Encyclopaedia and the big Atlas and the 'History of Modern Europe,' and read all about everything you see and all the places you go to; and it will be as good as a lesson in geography and history and political economy all combined, only a great deal more interesting!	We shall fetch out the Encyclopaedia and the big Atlas and the 'History of Modern Europe,' and read all about everything you see and all the places you go to; and it will be as good as a lesson in geography and history and political economy all combined, only a great deal more interesting!	false	615.975	630.22	25.92131
4054_11077_000026_000009	We shall stick out all over with knowledge before you come back; and this makes it a plain duty to go, if it were only for our sakes." With these zealous promises, Katy was forced to be content.	We shall stick out all over with knowledge before you come back; and this makes it a plain duty to go, if it were only for our sakes." With these zealous promises, Katy was forced to be content.	true	630.95	641.77	22.13077
4054_11077_000026_000010	Indeed, contentment was not difficult with such a prospect of delight before her.	Indeed, contentment was not difficult with such a prospect of delight before her.	true	641.78	645.7	25.67603
4054_11077_000026_000011	When once her little anxieties had been laid aside, the idea of the coming journey grew in pleasantness every moment.	When once her little anxieties had been laid aside, the idea of the coming journey grew in pleasantness every moment.	true	645.95	651.16	24.31046
4054_11077_000026_000012	Night after night she and papa and the children pored over maps and made out schemes for travel and sight-seeing, every one of which was likely to be discarded as soon as the real journey began.	Night after night she and papa and the children pored over maps and made out schemes for travel and sight seeing, every one of which was likely to be discarded as soon as the real journey began.	false	651.32	660.19	27.022673
4054_11077_000026_000013	But they didn't know that, and it made no real difference.	But they didn't know that, and it made no real difference.	true	660.35	662.88	24.082655
4054_11077_000026_000014	Such schemes are the preliminary joys of travel, and it doesn't signify that they come to nothing after they have served their purpose.	Such schemes are the preliminary joys of travel, and it doesn't signify that they come to nothing after they have served their purpose.	false	662.88	669.52	26.155428
4054_11077_000027_000000	Katy learned a great deal while thus talking over what she was to see and do.	Katy learned a great deal while thus talking over what she was to see and do.	true	670.76	674.205	25.641314
4054_11077_000027_000001	She read every scrap she could lay her hand on which related to Rome or Florence or Venice or London.	She read every scrap she could lay her hand on which related to Rome or Florence or Venice or London.	true	674.205	678.85	28.440855
4054_11077_000027_000002	The driest details had a charm for her now that she was likely to see the real places.	The driest details had a charm for her now that she was likely to see the real places.	true	679.37	683.05	23.040262
4054_11077_000027_000003	She went about with scraps of paper in her pocket, on which were written such things as these: "Forum.	She went about with scraps of paper in her pocket, on which were written such things as these: "Forum.	true	683.75	688.785	25.975061
4054_11077_000027_000004	When built?	When built?	true	688.785	689.655	25.894478
4054_11077_000027_000005	By whom built?	By whom built?	true	689.655	690.735	23.419842
4054_11077_000027_000006	More than one?"	More than one?"	true	690.735	691.6	22.874739
4054_11077_000027_000007	"What does _Cenacola_ mean?"	"What does underscore Cenacola underscore mean?"	false	691.82	694.8	25.152147
4054_11077_000027_000008	"Cecilia Metella.	"Cecilia Metella.	true	694.8	696.075	29.908297
4054_11077_000027_000009	Who was she?" "Find out about Saint Catherine of Siena." "Who was Beatrice Cenci?" How she wished that she had studied harder and more carefully before this wonderful chance came to her.	Who was she?" "Find out about Saint Catherine of Siena." "Who was Beatrice Cenci?" How she wished that she had studied harder and more carefully before this wonderful chance came to her.	false	696.075	707.05	23.802744
4054_11077_000027_000010	People always wish this when they are starting for Europe; and they wish it more and more after they get there, and realize of what value exact ideas and information and a fuller knowledge of the foreign languages are to all travellers; how they add to the charm of everything seen, and enhance the ease of everything done.	People always wish this when they are starting for Europe; and they wish it more and more after they get there, and realize of what value exact ideas and information and a fuller knowledge of the foreign languages are to all travellers; how they add to the charm of everything seen, and enhance the ease of everything done.	true	707.33	722.29	25.685324
4054_11077_000028_000000	All Burnet took an interest in Katy's plans, and almost everybody had some sort of advice or help, or some little gift to offer.	All Burnet took an interest in Katy's plans, and almost everybody had some sort of advice or help, or some little gift to offer.	true	722.81	729.13	27.115314
4054_11077_000028_000001	Old Mrs. Worrett, who, though fatter than ever, still retained the power of locomotion, drove in from Conic Section in her roomy carryall with the present of a rather obsolete copy of "Murray's Guide," in faded red covers, which her father had used in his youth, and which she was sure Katy would find convenient; also a bottle of Brown's Jamaica Ginger, in case of sea-sickness.	Old mrs Worrett, who, though fatter than ever, still retained the power of locomotion, drove in from Conic Section in her roomy carryall with the present of a rather obsolete copy of "Murray's Guide," in faded red covers, which her father had used in his youth, and which she was sure Katy would find convenient; also a bottle of Brown's Jamaica Ginger, in case of sea sickness.	false	729.17	750.43	27.10371
4054_11077_000028_000002	Debby's sister-in-law brought a bundle of dried chamomile for the same purpose.	Debby's sister in law brought a bundle of dried chamomile for the same purpose.	true	750.65	755.14	26.89646
4054_11077_000028_000003	Some one had told her it was the "handiest thing in the world to take along with you on them steamboats." Cecy sent a wonderful old-gold and scarlet contrivance to hang on the wall of the stateroom.	Some one had told her it was the "handiest thing in the world to take along with you on them steamboats." Cecy sent a wonderful old gold and scarlet contrivance to hang on the wall of the stateroom.	false	755.27	765.25	24.141605
4054_11077_000028_000004	There were pockets for watches, and pockets for medicines, and pockets for handkerchief and hairpins,--in short, there were pockets for everything; besides a pincushion with "Bon Voyage" in rows of shining pins, a bottle of eau-de-cologne, a cake of soap, and a hammer and tacks to nail the whole up with.	There were pockets for watches, and pockets for medicines, and pockets for handkerchief and hairpins,--in short, there were pockets for everything; besides a pincushion with "Bon Voyage" in rows of shining pins, a bottle of eau de cologne, a cake of soap, and a hammer and tacks to nail the whole up with.	false	765.47	782.47	27.429224
