688_1070_000000_000000	"And now," he said quietly, "how long are you and I to play OUR little comedy, Mr. Bailey?"	"And now," he said quietly, "how long are you and I to play OUR little comedy, mr Bailey?"	false	3.39	19.8	24.9999
688_1070_000011_000000	But the law has long arms.	But the law has long arms.	true	176.9	178.87	23.248646
688_1070_000011_000001	Paul Armstrong evidently studied the situation carefully.	Paul Armstrong evidently studied the situation carefully.	true	179.03	182.32	23.780472
688_1070_000011_000002	Just as the only good Indian is a dead Indian, so the only safe defaulter is a dead defaulter.	Just as the only good Indian is a dead Indian, so the only safe defaulter is a dead defaulter.	true	182.39	188.2	26.038054
688_1070_000011_000003	He decided to die, to all appearances, and when the hue and cry subsided, he would be able to enjoy his money almost anywhere he wished.	He decided to die, to all appearances, and when the hue and cry subsided, he would be able to enjoy his money almost anywhere he wished.	true	188.36	196.15	23.028051
688_1070_000012_000000	The first necessity was an accomplice.	The first necessity was an accomplice.	true	196.82	199.12	27.747179
688_1070_000012_000001	The connivance of Doctor Walker was suggested by his love for Louise.	The connivance of Doctor Walker was suggested by his love for Louise.	true	199.25	203.08	21.861023
688_1070_000012_000002	The man was unscrupulous, and with the girl as a bait, Paul Armstrong soon had him fast.	The man was unscrupulous, and with the girl as a bait, Paul Armstrong soon had him fast.	true	203.33	208.75	26.577646
688_1070_000012_000003	The plan was apparently the acme of simplicity: a small town in the west, an attack of heart disease, a body from a medical college dissecting-room shipped in a trunk to Doctor Walker by a colleague in San Francisco, and palmed off for the supposed dead banker.	The plan was apparently the acme of simplicity: a small town in the west, an attack of heart disease, a body from a medical college dissecting room shipped in a trunk to Doctor Walker by a colleague in San Francisco, and palmed off for the supposed dead banker.	true	209.42	224.98	26.205036
688_1070_000012_000004	What was simpler?	What was simpler?	true	225.11	226.3	27.753334
688_1070_000013_000000	The woman, Nina Carrington, was the cog that slipped.	The woman, Nina Carrington, was the cog that slipped.	true	226.76	229.81	25.206745
688_1070_000013_000001	What she only suspected, what she really knew, we never learned.	What she only suspected, what she really knew, we never learned.	true	229.82	233.71	24.177576
688_1070_000013_000002	She was a chambermaid in the hotel at C--, and it was evidently her intention to blackmail Doctor Walker.	She was a chambermaid in the hotel at C-, and it was evidently her intention to blackmail Doctor Walker.	true	233.9	240.61	27.21556
688_1070_000013_000003	His position at that time was uncomfortable: to pay the woman to keep quiet would be confession.	His position at that time was uncomfortable: to pay the woman to keep quiet would be confession.	false	240.77	246.43	29.267815
688_1070_000013_000004	He denied the whole thing, and she went to Halsey.	He denied the whole thing, and she went to Halsey.	true	246.92	249.82	24.995855
688_1070_000014_000000	It was this that had taken Halsey to the doctor the night he disappeared.	It was this that had taken Halsey to the doctor the night he disappeared.	true	250.07	253.78	22.905334
688_1070_000014_000001	He accused the doctor of the deception, and, crossing the lawn, had said something cruel to Louise.	He accused the doctor of the deception, and, crossing the lawn, had said something cruel to Louise.	true	253.97	259.18	22.787947
688_1070_000014_000002	Then, furious at her apparent connivance, he had started for the station.	Then, furious at her apparent connivance, he had started for the station.	true	259.61	264.34	22.037779
688_1070_000014_000003	Doctor Walker and Paul Armstrong--the latter still lame where I had shot him--hurried across to the embankment, certain only of one thing.	Doctor Walker and Paul Armstrong-the latter still lame where I had shot him-hurried across to the embankment, certain only of one thing.	true	264.47	272.745	24.731934
688_1070_000014_000004	Halsey must not tell the detective what he suspected until the money had been removed from the chimney-room.	Halsey must not tell the detective what he suspected until the money had been removed from the chimney room.	true	272.745	278.23	23.821617
688_1070_000014_000005	They stepped into the road in front of the car to stop it, and fate played into their hands.	They stepped into the road in front of the car to stop it, and fate played into their hands.	true	278.54	283.24	24.836723
688_1070_000014_000006	The car struck the train, and they had only to dispose of the unconscious figure in the road.	The car struck the train, and they had only to dispose of the unconscious figure in the road.	true	284.12	289.27	23.28203
688_1070_000014_000007	This they did as I have told.	This they did as I have told.	true	289.34	291.28	27.162445
688_1070_000014_000008	For three days Halsey lay in the box car, tied hand and foot, suffering tortures of thirst, delirious at times, and discovered by a tramp at Johnsville only in time to save his life.	For three days Halsey lay in the box car, tied hand and foot, suffering tortures of thirst, delirious at times, and discovered by a tramp at Johnsville only in time to save his life.	true	291.38	302.41	24.159832
688_1070_000015_000000	To go back to Paul Armstrong.	To go back to Paul Armstrong.	true	303.29	305.26	26.743677
688_1070_000015_000001	At the last moment his plans had been frustrated.	At the last moment his plans had been frustrated.	true	305.3	308.13	23.568842
688_1070_000015_000002	Sunnyside, with its hoard in the chimney-room, had been rented without his knowledge!	Sunnyside, with its hoard in the chimney room, had been rented without his knowledge!	true	308.13	312.49	25.54712
688_1070_000015_000003	Attempts to dislodge me having failed, he was driven to breaking into his own house.	Attempts to dislodge me having failed, he was driven to breaking into his own house.	true	312.56	317.44	23.00884
688_1070_000015_000004	The ladder in the chute, the burning of the stable and the entrance through the card-room window--all were in the course of a desperate attempt to get into the chimney-room.	The ladder in the chute, the burning of the stable and the entrance through the card room window-all were in the course of a desperate attempt to get into the chimney room.	true	317.72	326.14	23.121702
688_1070_000016_000000	Louise and her mother had, from the first, been the great stumbling-blocks.	Louise and her mother had, from the first, been the great stumbling blocks.	true	326.96	330.79	22.348677
688_1070_000016_000001	The plan had been to send Louise away until it was too late for her to interfere, but she came back to the hotel at C-- just at the wrong time.	The plan had been to send Louise away until it was too late for her to interfere, but she came back to the hotel at C- just at the wrong time.	true	331.01	338.86	23.665363
688_1070_000016_000002	There was a terrible scene.	There was a terrible scene.	true	339.02	340.63	24.326279
688_1070_000016_000003	The girl was told that something of the kind was necessary, that the bank was about to close and her stepfather would either avoid arrest and disgrace in this way, or kill himself.	The girl was told that something of the kind was necessary, that the bank was about to close and her stepfather would either avoid arrest and disgrace in this way, or kill himself.	true	340.76	350.14	25.165724
688_1070_000016_000004	Fanny Armstrong was a weakling, but Louise was more difficult to manage.	Fanny Armstrong was a weakling, but Louise was more difficult to manage.	false	350.54	355.09	26.605703
688_1070_000016_000005	She had no love for her stepfather, but her devotion to her mother was entire, self-sacrificing.	She had no love for her stepfather, but her devotion to her mother was entire, self sacrificing.	true	355.16	360.91	20.202879
688_1070_000016_000006	Forced into acquiescence by her mother's appeals, overwhelmed by the situation, the girl consented and fled.	Forced into acquiescence by her mother's appeals, overwhelmed by the situation, the girl consented and fled.	true	361.25	368.8	27.726353
688_1070_000017_000000	From somewhere in Colorado she sent an anonymous telegram to Jack Bailey at the Traders' Bank.	From somewhere in Colorado she sent an anonymous telegram to Jack Bailey at the Traders' Bank.	true	369.08	374.71	22.51298
688_1070_000017_000001	Trapped as she was, she did not want to see an innocent man arrested.	Trapped as she was, she did not want to see an innocent man arrested.	true	374.87	378.76	22.056763
688_1070_000017_000002	The telegram, received on Thursday, had sent the cashier to the bank that night in a frenzy.	The telegram, received on Thursday, had sent the cashier to the bank that night in a frenzy.	true	378.86	384.13	22.748083
688_1070_000018_000000	Louise arrived at Sunnyside and found the house rented.	Louise arrived at Sunnyside and found the house rented.	true	384.74	388	21.165909
688_1070_000018_000001	Not knowing what to do, she sent for Arnold at the Greenwood Club, and told him a little, not all.	Not knowing what to do, she sent for Arnold at the Greenwood Club, and told him a little, not all.	true	388.04	393.55	25.255913
688_1070_000018_000002	She told him that there was something wrong, and that the bank was about to close.	She told him that there was something wrong, and that the bank was about to close.	true	393.83	398.02	27.186888
688_1070_000018_000003	That his father was responsible.	That his father was responsible.	true	398.18	400.21	20.53545
688_1070_000018_000004	Of the conspiracy she said nothing.	Of the conspiracy she said nothing.	true	400.52	402.82	23.033943
688_1070_000018_000005	To her surprise, Arnold already knew, through Bailey that night, that things were not right.	To her surprise, Arnold already knew, through Bailey that night, that things were not right.	true	402.95	407.98	24.997118
688_1070_000018_000006	Moreover, he suspected what Louise did not, that the money was hidden at Sunnyside. He had a scrap of paper that indicated a concealed room somewhere.	Moreover, he suspected what Louise did not, that the money was hidden at Sunnyside. He had a scrap of paper that indicated a concealed room somewhere.	true	408.17	417.55	23.384705
688_1070_000019_000000	His inherited cupidity was aroused.	His inherited cupidity was aroused.	true	418.19	420.79	22.899998
688_1070_000019_000001	Eager to get Halsey and Jack Bailey out of the house, he went up to the east entry, and in the billiard-room gave the cashier what he had refused earlier in the evening--the address of Paul Armstrong in California and a telegram which had been forwarded to the club for Bailey, from Doctor Walker. It was in response to one Bailey had sent, and it said that Paul Armstrong was very ill.	Eager to get Halsey and Jack Bailey out of the house, he went up to the east entry, and in the billiard room gave the cashier what he had refused earlier in the evening-the address of Paul Armstrong in California and a telegram which had been forwarded to the club for Bailey, from Doctor Walker. It was in response to one Bailey had sent, and it said that Paul Armstrong was very ill.	false	420.8	443.53	24.500595
688_1070_000020_000000	Bailey was almost desperate.	Bailey was almost desperate.	true	443.93	445.72	26.670338
688_1070_000020_000001	He decided to go west and find Paul Armstrong, and to force him to disgorge.	He decided to go west and find Paul Armstrong, and to force him to disgorge.	true	445.79	450.67	26.138752
688_1070_000020_000002	But the catastrophe at the bank occurred sooner than he had expected.	But the catastrophe at the bank occurred sooner than he had expected.	true	450.95	454.57	23.596062
688_1070_000020_000003	On the moment of starting west, at Andrews Station, where Mr. Jamieson had located the car, he read that the bank had closed, and, going back, surrendered himself.	On the moment of starting west, at Andrews Station, where mr Jamieson had located the car, he read that the bank had closed, and, going back, surrendered himself.	true	454.58	463.72	23.697012
688_1070_000021_000000	John Bailey had known Paul Armstrong intimately.	john Bailey had known Paul Armstrong intimately.	true	463.91	466.78	25.340584
688_1070_000021_000001	He did not believe that the money was gone; in fact, it was hardly possible in the interval since the securities had been taken.	He did not believe that the money was gone; in fact, it was hardly possible in the interval since the securities had been taken.	true	466.82	473.35	25.172592
688_1070_000021_000002	Where was it?	Where was it?	true	473.54	474.55	24.929178
688_1070_000021_000003	And from some chance remark let fall some months earlier by Arnold Armstrong at a dinner, Bailey felt sure there was a hidden room at Sunnyside.	And from some chance remark let fall some months earlier by Arnold Armstrong at a dinner, Bailey felt sure there was a hidden room at Sunnyside.	true	474.92	482.8	21.382557
688_1070_000021_000004	He tried to see the architect of the building, but, like the contractor, if he knew of the such a room he refused any information.	He tried to see the architect of the building, but, like the contractor, if he knew of the such a room he refused any information.	false	483.17	490.03	24.48861
688_1070_000021_000005	It was Halsey's idea that John Bailey come to the house as a gardener, and pursue his investigations as he could.	It was Halsey's idea that john Bailey come to the house as a gardener, and pursue his investigations as he could.	false	490.67	497.04	20.567957
688_1070_000021_000006	His smooth upper lip had been sufficient disguise, with his change of clothes, and a hair-cut by a country barber.	His smooth upper lip had been sufficient disguise, with his change of clothes, and a hair cut by a country barber.	true	497.04	502.99	25.237307
688_1070_000022_000000	So it was Alex, Jack Bailey, who had been our ghost.	So it was Alex, Jack Bailey, who had been our ghost.	true	503.75	507.91	25.741806
688_1070_000022_000001	Not only had he alarmed--Louise and himself, he admitted--on the circular staircase, but he had dug the hole in the trunk-room wall, and later sent Eliza into hysteria.	Not only had he alarmed-Louise and himself, he admitted-on the circular staircase, but he had dug the hole in the trunk room wall, and later sent Eliza into hysteria.	true	508.13	517.39	22.160496
688_1070_000022_000002	The note Liddy had found in Gertrude's scrap-basket was from him, and it was he who had startled me into unconsciousness by the clothes chute, and, with Gertrude's help, had carried me to Louise's room.	The note Liddy had found in Gertrude's scrap basket was from him, and it was he who had startled me into unconsciousness by the clothes chute, and, with Gertrude's help, had carried me to Louise's room.	true	517.76	528.46	23.806854
688_1070_000022_000003	Gertrude, I learned, had watched all night beside me, in an extremity of anxiety about me.	Gertrude, I learned, had watched all night beside me, in an extremity of anxiety about me.	true	528.68	534.1	22.733177
688_1070_000023_000000	That old Thomas had seen his master, and thought he had seen the Sunnyside ghost, there could be no doubt.	That old Thomas had seen his master, and thought he had seen the Sunnyside ghost, there could be no doubt.	true	535.16	540.67	23.1141
688_1070_000023_000001	Of that story of Thomas', about seeing Jack Bailey in the footpath between the club and Sunnyside, the night Liddy and I heard the noise on the circular staircase--that, too, was right.	Of that story of Thomas', about seeing Jack Bailey in the footpath between the club and Sunnyside, the night Liddy and I heard the noise on the circular staircase-that, too, was right.	true	540.83	551.02	24.800894
688_1070_000023_000002	On the night before Arnold Armstrong was murdered, Jack Bailey had made his first attempt to search for the secret room.	On the night before Arnold Armstrong was murdered, Jack Bailey had made his first attempt to search for the secret room.	true	551.21	557.17	23.68089
688_1070_000023_000003	He secured Arnold's keys from his room at the club and got into the house, armed with a golf-stick for sounding the walls.	He secured Arnold's keys from his room at the club and got into the house, armed with a golf stick for sounding the walls.	true	557.96	564.04	21.73818
688_1070_000023_000004	He ran against the hamper at the head of the stairs, caught his cuff-link in it, and dropped the golf-stick with a crash.	He ran against the hamper at the head of the stairs, caught his cuff link in it, and dropped the golf stick with a crash.	true	564.44	570.4	24.935368
688_1070_000023_000005	He was glad enough to get away without an alarm being raised, and he took the "owl" train to town.	He was glad enough to get away without an alarm being raised, and he took the "owl" train to town.	true	570.56	575.77	26.413902
688_1070_000024_000000	The oddest thing to me was that Mr. Jamieson had known for some time that Alex was Jack Bailey.	The oddest thing to me was that mr Jamieson had known for some time that Alex was Jack Bailey.	true	576.8	582.25	23.859459
688_1070_000024_000001	But the face of the pseudo-gardener was very queer indeed, when that night, in the card-room, the detective turned to him and said:	But the face of the pseudo gardener was very queer indeed, when that night, in the card room, the detective turned to him and said:	true	582.38	589.69	25.55916
688_1070_000025_000000	"How long are you and I going to play our little comedy, MR.	"How long are you and I going to play our little comedy, mr	true	589.85	592.68	25
688_1070_000025_000001	BAILEY?"	BAILEY?"	true	592.68	593.38	31
688_1070_000026_000000	Well, it is all over now.	Well, it is all over now.	true	594.23	595.99	23.440016
688_1070_000026_000001	Paul Armstrong rests in Casanova churchyard, and this time there is no mistake.	Paul Armstrong rests in Casanova churchyard, and this time there is no mistake.	true	596	600.675	25.465618
688_1070_000026_000002	I went to the funeral, because I wanted to be sure he was really buried, and I looked at the step of the shaft where I had sat that night, and wondered if it was all real. Sunnyside is for sale--no, I shall not buy it.	I went to the funeral, because I wanted to be sure he was really buried, and I looked at the step of the shaft where I had sat that night, and wondered if it was all real. Sunnyside is for sale-no, I shall not buy it.	true	600.675	612.94	24.34411
688_1070_000026_000003	Little Lucien Armstrong is living with his step-grandmother, and she is recovering gradually from troubles that had extended over the entire period of her second marriage.	Little Lucien Armstrong is living with his step grandmother, and she is recovering gradually from troubles that had extended over the entire period of her second marriage.	true	613.16	622.17	22.13002
688_1070_000026_000004	Anne Watson lies not far from the man she killed, and who as surely caused her death.	Anne Watson lies not far from the man she killed, and who as surely caused her death.	false	622.17	628.21	22.662378
688_1070_000026_000005	Thomas, the fourth victim of the conspiracy, is buried on the hill.	Thomas, the fourth victim of the conspiracy, is buried on the hill.	true	628.79	632.74	22.672804
688_1070_000026_000006	With Nina Carrington, five lives were sacrificed in the course of this grim conspiracy.	With Nina Carrington, five lives were sacrificed in the course of this grim conspiracy.	true	632.84	638.26	24.076946
688_1070_000027_000000	There will be two weddings before long, and Liddy has asked for my heliotrope poplin to wear to the church.	There will be two weddings before long, and Liddy has asked for my heliotrope poplin to wear to the church.	true	638.45	644.115	22.920483
688_1070_000027_000001	I knew she would.	I knew she would.	true	644.115	645.345	22.882795
688_1070_000027_000002	She has wanted it for three years, and she was quite ugly the time I spilled coffee on it.	She has wanted it for three years, and she was quite ugly the time I spilled coffee on it.	true	645.345	650.08	24.348602
688_1070_000027_000003	We are very quiet, just the two of us.	We are very quiet, just the two of us.	true	650.3	652.57	24.403008
688_1070_000027_000004	Liddy still clings to her ghost theory, and points to my wet and muddy boots in the trunk-room as proof.	Liddy still clings to her ghost theory, and points to my wet and muddy boots in the trunk room as proof.	true	652.76	658.54	24.006388
688_1070_000027_000005	I am gray, I admit, but I haven't felt as well in a dozen years.	I am gray, I admit, but I haven't felt as well in a dozen years.	true	658.76	662.83	23.615042
688_1070_000027_000006	Sometimes, when I am bored, I ring for Liddy, and we talk things over.	Sometimes, when I am bored, I ring for Liddy, and we talk things over.	true	662.93	666.82	23.675266
688_1070_000027_000007	When Warner married Rosie, Liddy sniffed and said what I took for faithfulness in Rosie had been nothing but mawkishness. I have not yet outlived Liddy's contempt because I gave them silver knives and forks as a wedding gift.	When Warner married Rosie, Liddy sniffed and said what I took for faithfulness in Rosie had been nothing but mawkishness. I have not yet outlived Liddy's contempt because I gave them silver knives and forks as a wedding gift.	true	667.25	680.23	22.541502
688_1070_000028_000000	So we sit and talk, and sometimes Liddy threatens to leave, and often I discharge her, but we stay together somehow.	So we sit and talk, and sometimes Liddy threatens to leave, and often I discharge her, but we stay together somehow.	true	680.96	687.63	24.890266
688_1070_000028_000001	I am talking of renting a house next year, and Liddy says to be sure there is no ghost.	I am talking of renting a house next year, and Liddy says to be sure there is no ghost.	true	687.63	692.38	25.323656
688_1070_000028_000002	To be perfectly frank, I never really lived until that summer.	To be perfectly frank, I never really lived until that summer.	true	693.02	696.61	24.289999
688_1070_000028_000003	Time has passed since I began this story.	Time has passed since I began this story.	true	696.62	699.06	21.342016
688_1070_000028_000004	My neighbors are packing up for another summer.	My neighbors are packing up for another summer.	true	699.06	701.44	24.06751
688_1070_000028_000005	Liddy is having the awnings put up, and the window boxes filled.	Liddy is having the awnings put up, and the window boxes filled.	true	701.45	704.8	19.209799
688_1070_000028_000006	Liddy or no Liddy, I shall advertise to-morrow for a house in the country, and I don't care if it has a Circular Staircase.	Liddy or no Liddy, I shall advertise to morrow for a house in the country, and I don't care if it has a Circular Staircase.	false	704.81	715.125	23.921104
688_1070_000029_000000	End of Project Gutenberg's The Circular Staircase, by Mary Roberts Rinehart	End of Project Gutenberg's The Circular Staircase, by Mary Roberts Rinehart	false	715.125	717.99	23.536858
