6054_41610_000002_000000	JULIA PERFORMS A SACRED DUTY	JULIA PERFORMS A SACRED DUTY
6054_41610_000010_000003	One of the things that our sorority has pledged itself to do this year is to look up the stray girls in High School, and see that they are not lonely and homesick during holiday seasons.	One of the things that our sorority has pledged itself to do this year is to look up the stray girls in High School, and see that they are not lonely and homesick during holiday seasons.
6054_41610_000011_000002	"Mrs. Gray had planned a party for us, but when we told her what we were about to do, she gave up her party and agreed to go to mine instead, on condition that Anne's family, plus Anne's two guests, should have dinner with her."	"mrs Gray had planned a party for us, but when we told her what we were about to do, she gave up her party and agreed to go to mine instead, on condition that Anne's family, plus Anne's two guests, should have dinner with her."
6054_41610_000012_000000	"Bless her dear heart," said David, "she is always thinking of the pleasure of others.	"Bless her dear heart," said David, "she is always thinking of the pleasure of others.
6054_41610_000012_000001	Now about the football game.	Now about the football game.
6054_41610_000012_000002	Bring your girls along and I'll do my best to give them a good time, although I'm generally anything but a success with new girls.	Bring your girls along and I'll do my best to give them a good time, although I'm generally anything but a success with new girls.
6054_41610_000012_000003	However, Hippy makes up for what I lack.	However, Hippy makes up for what I lack.
6054_41610_000012_000004	He can entertain a regiment of them, and not even exert himself. Now I must leave you, for I have a very important engagement at home."	He can entertain a regiment of them, and not even exert himself. Now I must leave you, for I have a very important engagement at home."
6054_41610_000013_000000	"In the laboratory, I suppose," said Anne teasingly.	"In the laboratory, I suppose," said Anne teasingly.
6054_41610_000014_000000	"Just so," replied David.	"Just so," replied David.
6054_41610_000014_000001	"Good-bye, girls.	"Good bye, girls.
6054_41610_000014_000002	Let me know how many tickets you want for the game." He raised his cap, mounted his machine and was off down the street.	Let me know how many tickets you want for the game." He raised his cap, mounted his machine and was off down the street.
6054_41610_000016_000000	"We do seem to be getting awfully serious and settled of late," replied Anne.	"We do seem to be getting awfully serious and settled of late," replied Anne.
6054_41610_000016_000002	We've had so many special meetings."	We've had so many special meetings."
6054_41610_000018_000001	Last season seems like a dream to me now."	Last season seems like a dream to me now."
6054_41610_000019_000001	"I have forgiven, long ago, but I have not forgotten the way some of those girls performed last year.	"I have forgiven, long ago, but I have not forgotten the way some of those girls performed last year.
6054_41610_000019_000002	It was remarkable that things ever straightened themselves.	It was remarkable that things ever straightened themselves.
6054_41610_000020_000000	Anne pressed Grace's hand by way of answer.	Anne pressed Grace's hand by way of answer.
6054_41610_000020_000001	The sophomore year had been crowded with many trials, some of them positive school tragedies, in which Anne and Grace had been the principal actors.	The sophomore year had been crowded with many trials, some of them positive school tragedies, in which Anne and Grace had been the principal actors.
6054_41610_000021_000000	"What are you two mooning over?" asked a gay voice, and the two girls turned with a start to find Julia Crosby grinning cheerfully at them.	"What are you two mooning over?" asked a gay voice, and the two girls turned with a start to find Julia Crosby grinning cheerfully at them.
6054_41610_000022_000000	"O Julia, how glad I am to see you at close range!" exclaimed Grace. "Admiring you from a distance isn't a bit satisfactory."	"O Julia, how glad I am to see you at close range!" exclaimed Grace. "Admiring you from a distance isn't a bit satisfactory."
6054_41610_000023_000001	"That's the only thing that keeps me from your side.	"That's the only thing that keeps me from your side.
6054_41610_000023_000002	The duties of the class president are many and irksome.	The duties of the class president are many and irksome.
6054_41610_000023_000003	At the present moment I've a duty on hand that I don't in the least relish, and I want your august assistance.	At the present moment I've a duty on hand that I don't in the least relish, and I want your august assistance.
6054_41610_000024_000000	"Why, of course," answered Grace and Anne in the same breath.	"Why, of course," answered Grace and Anne in the same breath.
6054_41610_000024_000001	"What is it you want us to do?"	"What is it you want us to do?"
6054_41610_000025_000000	"Well, it seems that some of your juniors are still in need of discipline.	"Well, it seems that some of your juniors are still in need of discipline.
6054_41610_000025_000001	You remember the hatchet that we buried last year with such pomp and ceremony?"	You remember the hatchet that we buried last year with such pomp and ceremony?"
6054_41610_000026_000000	"Yes, yes," was the answer.	"Yes, yes," was the answer.
6054_41610_000027_000000	"This morning I overheard certain girls planning to go out to the Omnibus House after school to-morrow and dig up the poor hatchet and flaunt it in the seniors' faces the day of the opening basketball game, simply to rattle us.	"This morning I overheard certain girls planning to go out to the Omnibus House after school to morrow and dig up the poor hatchet and flaunt it in the seniors' faces the day of the opening basketball game, simply to rattle us.
6054_41610_000027_000001	Just as though it wouldn't upset your team as much as ours.	Just as though it wouldn't upset your team as much as ours.
6054_41610_000027_000002	It's an idiotic trick, at any rate, and anything but funny.	It's an idiotic trick, at any rate, and anything but funny.
6054_41610_000027_000003	Now I propose to take four of our class, and you must select four of yours. We'll hustle out there the minute school is over to-morrow, and be ready to receive the marauders when they arrive.	Now I propose to take four of our class, and you must select four of yours. We'll hustle out there the minute school is over to morrow, and be ready to receive the marauders when they arrive.
6054_41610_000027_000004	Select your girls, but don't tell them what you want or they may tell some one about it beforehand."	Select your girls, but don't tell them what you want or they may tell some one about it beforehand."
6054_41610_000028_000001	"Who are the girls, Julia?	"Who are the girls, Julia?
6054_41610_000028_000002	Are you sure they're juniors?"	Are you sure they're juniors?"
6054_41610_000029_000000	"The two I heard talking are juniors.	"The two I heard talking are juniors.
6054_41610_000030_000000	"Tell us who they are, Julia," said Grace.	"Tell us who they are, Julia," said Grace.
6054_41610_000030_000001	"We don't want to go into this blindfolded."	"We don't want to go into this blindfolded."
6054_41610_000031_000000	"Wait and see," replied Julia tantalizingly.	"Wait and see," replied Julia tantalizingly.
6054_41610_000031_000001	"Then you'll feel more indignant and can help my cause along all the better.	"Then you'll feel more indignant and can help my cause along all the better.
6054_41610_000031_000002	I give you my word that the girls I overheard talking are not particular friends of yours. You aren't going to back out, are you, and leave me without proper support?"	I give you my word that the girls I overheard talking are not particular friends of yours. You aren't going to back out, are you, and leave me without proper support?"
6054_41610_000032_000000	"Of course not," laughed Grace.	"Of course not," laughed Grace.
6054_41610_000032_000001	"Don't worry.	"Don't worry.
6054_41610_000032_000002	We'll support you, only you must agree to do all the talking."	We'll support you, only you must agree to do all the talking."
6054_41610_000033_000000	"I shall endeavor to overcome their insane freshness with a few well-chosen words," Julia promised.	"I shall endeavor to overcome their insane freshness with a few well chosen words," Julia promised.
6054_41610_000033_000001	"Be sure and be on hand early."	"Be sure and be on hand early."
6054_41610_000034_000000	Grace chose Anne, Nora, Jessica and Marian Barber, the latter three being considerably mystified at her request, but nevertheless agreeing to be on hand when school closed.	Grace chose Anne, Nora, Jessica and Marian Barber, the latter three being considerably mystified at her request, but nevertheless agreeing to be on hand when school closed.
6054_41610_000034_000001	They were met at the gate by Julia and four other seniors, and the whole party set out for the Omnibus House without delay.	They were met at the gate by Julia and four other seniors, and the whole party set out for the Omnibus House without delay.
6054_41610_000035_000000	Grace walked with Julia, and the two girls found plenty to say to each other during the walk.	Grace walked with Julia, and the two girls found plenty to say to each other during the walk.
6054_41610_000035_000001	Julia was studying hard, she told Grace.	Julia was studying hard, she told Grace.
6054_41610_000035_000002	She wanted to enter Smith next year.	She wanted to enter Smith next year.
6054_41610_000036_000000	"I don't know where I shall go after I finish High School," said Grace. "Ethel Post wants me to go to Wellesley.	"I don't know where I shall go after I finish High School," said Grace. "Ethel Post wants me to go to Wellesley.
6054_41610_000036_000001	She'll be a junior when I'm a freshman.	She'll be a junior when I'm a freshman.
6054_41610_000036_000003	But I don't know whether I should like Wellesley.	But I don't know whether I should like Wellesley.
6054_41610_000036_000004	I shall not try to decide where I want to go for a while yet."	I shall not try to decide where I want to go for a while yet."
6054_41610_000037_000000	"Wherever we are we'll write and always be friends," said Julia, and Grace warmly acquiesced.	"Wherever we are we'll write and always be friends," said Julia, and Grace warmly acquiesced.
6054_41610_000038_000000	As they neared the old Omnibus House they could see no one about.	As they neared the old Omnibus House they could see no one about.
6054_41610_000039_000000	"We're early!" exclaimed Julia.	"We're early!" exclaimed Julia.
6054_41610_000039_000001	"The enemy has not arrived.	"The enemy has not arrived.
6054_41610_000039_000002	Thank goodness, it's not cold to-day or we might have a chilly vigil.	Thank goodness, it's not cold to day or we might have a chilly vigil.
6054_41610_000039_000003	Now listen, all ye faithful, while I set forth the object of this walk." She thereupon related what Grace and Anne already knew.	Now listen, all ye faithful, while I set forth the object of this walk." She thereupon related what Grace and Anne already knew.
6054_41610_000040_000001	"It isn't the hatchet we care for, it's the principle of the thing.	"It isn't the hatchet we care for, it's the principle of the thing.
6054_41610_000040_000002	Give them what they deserve, Julia."	Give them what they deserve, Julia."
6054_41610_000041_000000	"Never fear," replied Julia.	"Never fear," replied Julia.
6054_41610_000041_000001	"I'll effectually attend to their case.	"I'll effectually attend to their case.
6054_41610_000041_000002	Now we'd better dodge around the corner and keep out of sight until they get here.	Now we'd better dodge around the corner and keep out of sight until they get here.
6054_41610_000041_000003	Then we'll swoop down upon them unawares."	Then we'll swoop down upon them unawares."
6054_41610_000043_000000	They had not waited long before they heard voices.	They had not waited long before they heard voices.
6054_41610_000044_000000	"They're coming," whispered Julia.	"They're coming," whispered Julia.
6054_41610_000044_000001	"There are eight of them.	"There are eight of them.
6054_41610_000044_000002	Form in line and when they get nicely started, we'll circle about them and hem them in.	Form in line and when they get nicely started, we'll circle about them and hem them in.
6054_41610_000045_000000	The girls waited in silence.	The girls waited in silence.
6054_41610_000045_000001	"They have trowels," Julia informed them from time to time.	"They have trowels," Julia informed them from time to time.
6054_41610_000045_000002	"They have a spade.	"They have a spade.
6054_41610_000045_000003	They've begun to dig, and they are having their own troubles, for the ground is hard.	They've begun to dig, and they are having their own troubles, for the ground is hard.
6054_41610_000045_000004	All ready! March!"	All ready! March!"
6054_41610_000046_000000	Softly the procession approached the spot where the marauders were energetically digging.	Softly the procession approached the spot where the marauders were energetically digging.
6054_41610_000047_000000	The girl using the spade was Eleanor.	The girl using the spade was Eleanor.
6054_41610_000048_000000	"Now I'm in for it," groaned Grace.	"Now I'm in for it," groaned Grace.
6054_41610_000048_000001	"She's down on me now, and she'll be sure to think I organized the whole thing." For an instant Grace regretted making the promise to Julia, before learning the situation; then, holding her head a trifle more erect, she decided to make the best of her unfortunate predicament.	"She's down on me now, and she'll be sure to think I organized the whole thing." For an instant Grace regretted making the promise to Julia, before learning the situation; then, holding her head a trifle more erect, she decided to make the best of her unfortunate predicament.
6054_41610_000049_000000	"It isn't Julia's fault," she thought.	"It isn't Julia's fault," she thought.
6054_41610_000049_000001	"She probably knows nothing about our acquaintance with Eleanor; besides, Eleanor has no business to play such tricks.	"She probably knows nothing about our acquaintance with Eleanor; besides, Eleanor has no business to play such tricks.
6054_41610_000049_000002	Edna Wright must have told her all about last year."	Edna Wright must have told her all about last year."
6054_41610_000050_000000	Her reflections were cut short, for one of the girls glanced up from her digging with a sudden exclamation which drew all eyes toward Julia and her party.	Her reflections were cut short, for one of the girls glanced up from her digging with a sudden exclamation which drew all eyes toward Julia and her party.
6054_41610_000051_000000	"Well, little folks," said Julia in mock surprise, "what sort of a party is this?	"Well, little folks," said Julia in mock surprise, "what sort of a party is this?
6054_41610_000052_000000	At Julia's first words Eleanor dropped the small spade she held and straightened up, the picture of defiance.	At Julia's first words Eleanor dropped the small spade she held and straightened up, the picture of defiance.
6054_41610_000052_000002	The other diggers looked sheepishly at Julia, who stood eyeing them in a way that made them feel "too foolish for anything," as one of them afterwards expressed it.	The other diggers looked sheepishly at Julia, who stood eyeing them in a way that made them feel "too foolish for anything," as one of them afterwards expressed it.
6054_41610_000053_000000	"Why don't you answer me, little girls?" asked Julia.	"Why don't you answer me, little girls?" asked Julia.
6054_41610_000054_000000	This was too much for Eleanor.	This was too much for Eleanor.
6054_41610_000055_000000	"How dare you speak to us in that manner and treat us as though we were children?" she burst forth.	"How dare you speak to us in that manner and treat us as though we were children?" she burst forth.
6054_41610_000055_000001	"What business is it of yours why we are here?	"What business is it of yours why we are here?
6054_41610_000056_000001	"Do you?"	"Do you?"
6054_41610_000057_000000	"No," replied Eleanor a trifle less rudely, "but we have as much right here as you have."	"No," replied Eleanor a trifle less rudely, "but we have as much right here as you have."
6054_41610_000058_000000	"Granted," replied Julia calmly.	"Granted," replied Julia calmly.
6054_41610_000058_000001	"However, there is this difference. You are here to make mischief and we are here to prevent it, and, furthermore, are going to do so."	"However, there is this difference. You are here to make mischief and we are here to prevent it, and, furthermore, are going to do so."
6054_41610_000060_000000	"Just this," replied Julia.	"Just this," replied Julia.
6054_41610_000060_000001	"Last year the girls belonging to the present senior and junior classes met on this very spot and amicably disposed of a two-year-old class grudge.	"Last year the girls belonging to the present senior and junior classes met on this very spot and amicably disposed of a two year old class grudge.
6054_41610_000060_000002	Emblematic of this they buried a hatchet, once occupying a humble though honorable position in the Crosby family, but cheerfully sacrificed for the good of the cause.	Emblematic of this they buried a hatchet, once occupying a humble though honorable position in the Crosby family, but cheerfully sacrificed for the good of the cause.
6054_41610_000061_000000	"Yesterday," continued Julia, "I overheard two juniors plotting to get possession of this same hatchet for the purpose of flaunting it in the faces of the seniors at the opening basketball game.	"Yesterday," continued Julia, "I overheard two juniors plotting to get possession of this same hatchet for the purpose of flaunting it in the faces of the seniors at the opening basketball game.
6054_41610_000061_000001	Therefore I decided to take a hand in things, and here I am, backed by girls from both classes, who are of the self-same mind."	Therefore I decided to take a hand in things, and here I am, backed by girls from both classes, who are of the self same mind."
6054_41610_000062_000000	"Really, Miss Crosby," said Edna Wright, "you are very amusing."	"Really, Miss Crosby," said Edna Wright, "you are very amusing."
6054_41610_000063_000000	"My friends all think so," returned Julia sweetly, "but never mind now about my amusing qualities, Edna.	"My friends all think so," returned Julia sweetly, "but never mind now about my amusing qualities, Edna.
6054_41610_000063_000001	Let's talk about the present situation."	Let's talk about the present situation."
6054_41610_000064_000000	She looked at Edna with the old-time aggravating smile that was always warranted to further incense her opponent.	She looked at Edna with the old time aggravating smile that was always warranted to further incense her opponent.
6054_41610_000064_000001	It had its desired effect, for Edna fairly bristled with indignation and was about to make a furious reply when she was pushed aside by Eleanor, who said loftily, "Allow me to talk to this person, Edna."	It had its desired effect, for Edna fairly bristled with indignation and was about to make a furious reply when she was pushed aside by Eleanor, who said loftily, "Allow me to talk to this person, Edna."
6054_41610_000065_000000	"No," said Julia resolutely, every vestige of a smile leaving her face at Eleanor's words.	"No," said Julia resolutely, every vestige of a smile leaving her face at Eleanor's words.
6054_41610_000065_000002	But you have with you seven girls who do know all about the enmity that was buried here last spring, and who ought to have enough good sense to know that this afternoon's performance is liable to bring it to life again.	But you have with you seven girls who do know all about the enmity that was buried here last spring, and who ought to have enough good sense to know that this afternoon's performance is liable to bring it to life again.
6054_41610_000066_000000	"If you girls carry this hatchet to school and exhibit it to the seniors on the day of the game you are apt to start bad feeling all over again," she said, turning to the others.	"If you girls carry this hatchet to school and exhibit it to the seniors on the day of the game you are apt to start bad feeling all over again," she said, turning to the others.
6054_41610_000067_000000	"That's the reason I asked Grace to appoint a committee of juniors and come out here with me.	"That's the reason I asked Grace to appoint a committee of juniors and come out here with me.
6054_41610_000067_000001	I feel sure that under the circumstances the absent members of both classes would agree with us if they were present. Digging up a rusty old hatchet is nothing, but digging up a rusty old grudge is quite another matter.	I feel sure that under the circumstances the absent members of both classes would agree with us if they were present. Digging up a rusty old hatchet is nothing, but digging up a rusty old grudge is quite another matter.
6054_41610_000067_000002	We didn't come here to quarrel, but I appeal to you, as members of the junior class, to think before you do something that is bound to cause us all annoyance and perhaps unhappiness."	We didn't come here to quarrel, but I appeal to you, as members of the junior class, to think before you do something that is bound to cause us all annoyance and perhaps unhappiness."
6054_41610_000068_000000	There was complete silence after Julia finished speaking.	There was complete silence after Julia finished speaking.
6054_41610_000068_000002	Eleanor alone looked belligerent.	Eleanor alone looked belligerent.
6054_41610_000069_000000	"Perhaps we'd better let the old hatchet alone," Daisy Culver said sullenly.	"Perhaps we'd better let the old hatchet alone," Daisy Culver said sullenly.
6054_41610_000069_000001	"The fun is all spoiled now, and everyone will know about it before school begins to-morrow."	"The fun is all spoiled now, and everyone will know about it before school begins to morrow."
6054_41610_000070_000000	"Daisy, how can you say so?" exclaimed Grace, who, fearing a scene with Eleanor, had hitherto remained silent.	"Daisy, how can you say so?" exclaimed Grace, who, fearing a scene with Eleanor, had hitherto remained silent.
6054_41610_000070_000001	"You know perfectly well that none of us will say anything about it.	"You know perfectly well that none of us will say anything about it.
6054_41610_000071_000000	This was Eleanor's opportunity.	This was Eleanor's opportunity.
6054_41610_000071_000001	Turning furiously on Grace, her eyes flashing, she exclaimed: "Yes, there is one girl who would tell anything, and that girl is you!	Turning furiously on Grace, her eyes flashing, she exclaimed: "Yes, there is one girl who would tell anything, and that girl is you!
6054_41610_000071_000002	You pretend to be honorable and high-principled, but you are nothing but a hypocrite and a sneak. I would not trust you as far as I could see you.	You pretend to be honorable and high principled, but you are nothing but a hypocrite and a sneak. I would not trust you as far as I could see you.
6054_41610_000071_000004	You seem determined to meddle with matters that do not concern you, and I warn you that if you do not change your tactics you may regret it.	You seem determined to meddle with matters that do not concern you, and I warn you that if you do not change your tactics you may regret it.
6054_41610_000072_000000	"You seem to think yourself the idol of your class, but there are some of the girls who are too clever to be deceived.	"You seem to think yourself the idol of your class, but there are some of the girls who are too clever to be deceived.
6054_41610_000072_000001	They do not belong among the number who trail tamely after you, either.	They do not belong among the number who trail tamely after you, either.
6054_41610_000072_000002	And now I wish to say that I despise you and all your friends, and wish never to speak to any of you again.	And now I wish to say that I despise you and all your friends, and wish never to speak to any of you again.
6054_41610_000072_000004	Let them keep their trumpery hatchet."	Let them keep their trumpery hatchet."
6054_41610_000073_000000	With these words she turned and stalked across the field to the road, where her runabout stood.	With these words she turned and stalked across the field to the road, where her runabout stood.
6054_41610_000073_000001	After an instant's hesitation, she was followed by Edna, Daisy Culver and those who had come with her. Henceforth there would again be two distinct factions in the junior class.	After an instant's hesitation, she was followed by Edna, Daisy Culver and those who had come with her. Henceforth there would again be two distinct factions in the junior class.
6054_41610_000074_000000	"Good gracious," exclaimed Julia Crosby.	"Good gracious," exclaimed Julia Crosby.
6054_41610_000074_000002	What on earth did you ever do to her, Grace?"	What on earth did you ever do to her, Grace?"
6054_41610_000075_000000	But Grace could not answer.	But Grace could not answer.
6054_41610_000075_000001	She was winking hard to keep back the tears. Twice she attempted to speak and failed.	She was winking hard to keep back the tears. Twice she attempted to speak and failed.
6054_41610_000076_000000	"I can't help feeling badly," said Grace, with a sob.	"I can't help feeling badly," said Grace, with a sob.
6054_41610_000076_000001	"She said such dreadful things."	"She said such dreadful things."
6054_41610_000077_000000	"No one who knows you would believe them," replied Julia.	"No one who knows you would believe them," replied Julia.
6054_41610_000077_000001	"By the way, who is she?	"By the way, who is she?
6054_41610_000078_000000	"I'll tell you about her as we walk along," replied Grace, wiping her eyes and smiling a little.	"I'll tell you about her as we walk along," replied Grace, wiping her eyes and smiling a little.
6054_41610_000079_000001	"The battle is over.	"The battle is over.
6054_41610_000079_000002	No one has been killed and only one wounded.	No one has been killed and only one wounded.
