2882_147159_000002_000000	CHAPTER XVII.	CHAPTER seventeen.
2882_147159_000030_000000	Mary could not help laughing outright, in spite of her depression, at the idea of Margaret as an angel; it was so difficult (even to her dress-making imagination) to fancy where, and how, the wings would be fastened to the brown stuff gown, or the blue and yellow print.	Mary could not help laughing outright, in spite of her depression, at the idea of Margaret as an angel; it was so difficult (even to her dress making imagination) to fancy where, and how, the wings would be fastened to the brown stuff gown, or the blue and yellow print.
2882_147159_000031_000001	Then he said--	Then he said-
2882_147159_000033_000001	It was unkind of him.	It was unkind of him.
2882_147159_000033_000002	He did not notice her change of look and of complexion.	He did not notice her change of look and of complexion.
2882_147159_000034_000000	"I thought--I think, that when I come back from this voyage, I will speak.	"I thought-I think, that when I come back from this voyage, I will speak.
2882_147159_000035_000000	Mary had a very decided opinion of her own on the subject, but she did not feel as if she had any right to give it.	Mary had a very decided opinion of her own on the subject, but she did not feel as if she had any right to give it.
2882_147159_000036_000000	"You must ask Margaret, not me, Will; she's never named your name to me." His countenance fell.	"You must ask Margaret, not me, Will; she's never named your name to me." His countenance fell.
2882_147159_000036_000001	"But I should say that was a good sign from a girl like her.	"But I should say that was a good sign from a girl like her.
2882_147159_000036_000002	I've no right to say what I think; but, if I was you, I would not leave her now without speaking."	I've no right to say what I think; but, if I was you, I would not leave her now without speaking."
2882_147159_000037_000001	I cannot speak!	I cannot speak!
2882_147159_000037_000002	I have tried.	I have tried.
2882_147159_000037_000003	I've been in to wish them good-bye, and my voice stuck in my throat.	I've been in to wish them good bye, and my voice stuck in my throat.
2882_147159_000037_000006	So, will you give it to her, Mary, when I'm gone?	So, will you give it to her, Mary, when I'm gone?
2882_147159_000037_000007	and, if you can slip in something tender,--something, you know, of what I feel,--may-be she would listen to you, Mary."	and, if you can slip in something tender,--something, you know, of what I feel,--may be she would listen to you, Mary."
2882_147159_000038_000000	Mary promised that she would do all that he asked.	Mary promised that she would do all that he asked.
2882_147159_000039_000001	You'll often speak of me to her, Mary?	You'll often speak of me to her, Mary?
2882_147159_000039_000002	And if I should meet with any mischance, tell her how dear, how very dear, she was to me, and bid her, for the sake of one who loved her well, try and comfort my poor aunt Alice.	And if I should meet with any mischance, tell her how dear, how very dear, she was to me, and bid her, for the sake of one who loved her well, try and comfort my poor aunt Alice.
2882_147159_000039_000007	How pleased I used to be when she would take me into the fields with her to gather herbs! I've tasted tea in China since then, but it wasn't half so good as the herb tea she used to make for me o' Sunday nights.	How pleased I used to be when she would take me into the fields with her to gather herbs! I've tasted tea in China since then, but it wasn't half so good as the herb tea she used to make for me o' Sunday nights.
2882_147159_000039_000008	And she knew such a deal about plants and birds, and their ways!	And she knew such a deal about plants and birds, and their ways!
2882_147159_000039_000010	Dear! and how different it is!	Dear! and how different it is!
2882_147159_000039_000011	Here is she still in a back street o' Manchester, never likely to see her own home again; and I, a sailor, off for America next week.	Here is she still in a back street o' Manchester, never likely to see her own home again; and I, a sailor, off for America next week.
2882_147159_000039_000012	I wish she had been able to go to Burton once afore she died."	I wish she had been able to go to Burton once afore she died."
2882_147159_000040_000000	"She would may be have found all sadly changed," said Mary, though her heart echoed Will's feeling.	"She would may be have found all sadly changed," said Mary, though her heart echoed Will's feeling.
2882_147159_000041_000001	I dare say it's best.	I dare say it's best.
2882_147159_000041_000003	Oh Mary! many a hasty word comes sorely back on the heart, when one thinks one shall never see the person whom one has grieved again!"	Oh Mary! many a hasty word comes sorely back on the heart, when one thinks one shall never see the person whom one has grieved again!"
2882_147159_000042_000000	They both stood thinking.	They both stood thinking.
2882_147159_000042_000001	Suddenly Mary started.	Suddenly Mary started.
2882_147159_000043_000000	"That's father's step.	"That's father's step.
2882_147159_000043_000001	And his shirt's not ready!"	And his shirt's not ready!"
2882_147159_000044_000000	She hurried to her irons, and tried to make up for lost time.	She hurried to her irons, and tried to make up for lost time.
2882_147159_000045_000000	John Barton came in.	john Barton came in.
2882_147159_000045_000002	He looked at Will, but spoke no word of greeting or welcome.	He looked at Will, but spoke no word of greeting or welcome.
2882_147159_000046_000000	"I'm come to bid you good bye," said the sailor, and would in his sociable friendly humour have gone on speaking.	"I'm come to bid you good bye," said the sailor, and would in his sociable friendly humour have gone on speaking.
2882_147159_000046_000001	But John answered abruptly,	But john answered abruptly,
2882_147159_000048_000000	There was that in his manner which left no doubt of his desire to get rid of the visitor, and Will accordingly shook hands with Mary, and looked at John, as if doubting how far to offer to shake hands with him.	There was that in his manner which left no doubt of his desire to get rid of the visitor, and Will accordingly shook hands with Mary, and looked at john, as if doubting how far to offer to shake hands with him.
2882_147159_000049_000000	"You'll think on me on Tuesday, Mary.	"You'll think on me on Tuesday, Mary.
2882_147159_000049_000001	That's the day we shall hoist our blue Peter, Jack Harris says."	That's the day we shall hoist our blue peter, Jack Harris says."
2882_147159_000050_000002	He was so restless; not speaking (she wished he would), but starting up and then sitting down, and meddling with her irons; he seemed so fierce, too, to judge from his face.	He was so restless; not speaking (she wished he would), but starting up and then sitting down, and meddling with her irons; he seemed so fierce, too, to judge from his face.
2882_147159_000050_000003	She wondered if he disliked Will being there; or if he were vexed to find that she had not got further on with her work.	She wondered if he disliked Will being there; or if he were vexed to find that she had not got further on with her work.
2882_147159_000050_000004	At last she could bear his nervous way no longer, it made her equally nervous and fidgetty.	At last she could bear his nervous way no longer, it made her equally nervous and fidgetty.
2882_147159_000050_000005	She would speak.	She would speak.
2882_147159_000051_000000	"When are you going, father?	"When are you going, father?
2882_147159_000052_000000	"And why shouldst thou know?" replied he, gruffly.	"And why shouldst thou know?" replied he, gruffly.
2882_147159_000053_000000	"I wanted to get you something to eat first," answered she, gently.	"I wanted to get you something to eat first," answered she, gently.
2882_147159_000054_000000	"Thou dost not know that I'm larning to do without food," said he.	"Thou dost not know that I'm larning to do without food," said he.
2882_147159_000055_000000	Mary looked at him to see if he spoke jestingly.	Mary looked at him to see if he spoke jestingly.
2882_147159_000055_000001	No! he looked savagely grave.	No! he looked savagely grave.
2882_147159_000056_000000	She finished her bit of ironing, and began preparing the food she was sure her father needed; for by this time her experience in the degrees of hunger had taught her that his present irritability was increased, if not caused, by want of food.	She finished her bit of ironing, and began preparing the food she was sure her father needed; for by this time her experience in the degrees of hunger had taught her that his present irritability was increased, if not caused, by want of food.
2882_147159_000058_000000	"If thou'rt doing that for me, Mary, thou may'st spare thy labour.	"If thou'rt doing that for me, Mary, thou may'st spare thy labour.
2882_147159_000058_000001	I telled thee I were not for eating."	I telled thee I were not for eating."
2882_147159_000059_000000	"Just a little bit, father, before starting," coaxed Mary, perseveringly.	"Just a little bit, father, before starting," coaxed Mary, perseveringly.
2882_147159_000060_000001	It was not often he came, but when he did pay visits, Mary knew from past experience they were any thing but short.	It was not often he came, but when he did pay visits, Mary knew from past experience they were any thing but short.
2882_147159_000060_000002	Her father's countenance fell back into the deep gloom from which it was but just emerging at the sound of Mary's sweet voice, and pretty pleading.	Her father's countenance fell back into the deep gloom from which it was but just emerging at the sound of Mary's sweet voice, and pretty pleading.
2882_147159_000060_000004	Job, however, did not stand upon ceremony.	Job, however, did not stand upon ceremony.
2882_147159_000060_000005	He had come to pay a visit, and was not to be daunted from his purpose.	He had come to pay a visit, and was not to be daunted from his purpose.
2882_147159_000060_000006	He was interested in John Barton's mission to Glasgow, and wanted to hear all about it; so he sat down, and made himself comfortable, in a manner that Mary saw was meant to be stationary.	He was interested in john Barton's mission to Glasgow, and wanted to hear all about it; so he sat down, and made himself comfortable, in a manner that Mary saw was meant to be stationary.
2882_147159_000063_000000	"When art starting?"	"When art starting?"
2882_147159_000064_000000	"To-night."	"To night."
2882_147159_000065_000001	But by what train?"	But by what train?"
2882_147159_000066_000000	That was just what Mary wanted to know; but what apparently her father was in no mood to tell.	That was just what Mary wanted to know; but what apparently her father was in no mood to tell.
2882_147159_000066_000001	He got up without speaking, and went up-stairs.	He got up without speaking, and went up stairs.
2882_147159_000066_000002	Mary knew from his step, and his way, how much he was put out, and feared Job would see it, too.	Mary knew from his step, and his way, how much he was put out, and feared Job would see it, too.
2882_147159_000066_000003	But no! Job seemed imperturbable.	But no! Job seemed imperturbable.
2882_147159_000066_000004	So much the better, and perhaps she could cover her father's rudeness by her own civility to so kind a friend.	So much the better, and perhaps she could cover her father's rudeness by her own civility to so kind a friend.
2882_147159_000068_000000	"When does thy father start, Mary?"	"When does thy father start, Mary?"
2882_147159_000069_000000	That plaguing question again.	That plaguing question again.
2882_147159_000070_000001	I'm just getting him a bit of supper.	I'm just getting him a bit of supper.
2882_147159_000070_000002	Is Margaret very well?"	Is Margaret very well?"
2882_147159_000071_000000	"Yes, she's well enough.	"Yes, she's well enough.
2882_147159_000072_000000	"Yes, they've given him a sovereign.	"Yes, they've given him a sovereign.
2882_147159_000073_000003	there's no harm in that.	there's no harm in that.
2882_147159_000073_000004	But then they won't let me be silly in peace and quietness, but will force me to be as wise as they are; now that's not British liberty, I say.	But then they won't let me be silly in peace and quietness, but will force me to be as wise as they are; now that's not British liberty, I say.
2882_147159_000073_000005	I'm forced to be wise according to their notions, else they parsecute me, and sarve me out."	I'm forced to be wise according to their notions, else they parsecute me, and sarve me out."
2882_147159_000074_000000	What could her father be doing up-stairs?	What could her father be doing up stairs?
2882_147159_000074_000002	Or why did not Job go?	Or why did not Job go?
2882_147159_000074_000003	The supper would be spoilt.	The supper would be spoilt.
2882_147159_000075_000000	But Job had no notion of going.	But Job had no notion of going.
2882_147159_000076_000000	"You see my folly is this, Mary.	"You see my folly is this, Mary.
2882_147159_000076_000001	I would take what I could get; I think half a loaf is better than no bread.	I would take what I could get; I think half a loaf is better than no bread.
2882_147159_000076_000002	I would work for low wages rather than sit idle and starve.	I would work for low wages rather than sit idle and starve.
2882_147159_000076_000003	But, comes the Trades' Union, and says, 'Well, if you take the half-loaf, we'll worry you out of your life.	But, comes the Trades' Union, and says, 'Well, if you take the half loaf, we'll worry you out of your life.
2882_147159_000077_000000	Creak, creak, went the stairs.	Creak, creak, went the stairs.
2882_147159_000077_000001	Her father was coming down at last.	Her father was coming down at last.
2882_147159_000078_000000	Yes, he came down, but more doggedly fierce than before, and made up for his journey, too; with his little bundle on his arm.	Yes, he came down, but more doggedly fierce than before, and made up for his journey, too; with his little bundle on his arm.
2882_147159_000078_000001	He went up to Job, and, more civilly than Mary expected, wished him good-bye.	He went up to Job, and, more civilly than Mary expected, wished him good bye.
2882_147159_000078_000002	He then turned to her, and in a short cold manner, bade her farewell.	He then turned to her, and in a short cold manner, bade her farewell.
2882_147159_000079_000000	"Oh! father, don't go yet.	"Oh! father, don't go yet.
2882_147159_000079_000001	Your supper is all ready.	Your supper is all ready.
2882_147159_000079_000002	Stay one moment!"	Stay one moment!"
2882_147159_000080_000000	But he pushed her away, and was gone.	But he pushed her away, and was gone.
2882_147159_000080_000001	She followed him to the door, her eyes blinded by sudden tears; she stood there looking after him. He was so strange, so cold, so hard.	She followed him to the door, her eyes blinded by sudden tears; she stood there looking after him. He was so strange, so cold, so hard.
2882_147159_000080_000002	Suddenly, at the end of the court, he turned, and saw her standing there; he came back quickly, and took her in his arms.	Suddenly, at the end of the court, he turned, and saw her standing there; he came back quickly, and took her in his arms.
2882_147159_000081_000000	"God bless thee, Mary!--God in heaven bless thee, poor child!" She threw her arms round his neck.	"God bless thee, Mary!--God in heaven bless thee, poor child!" She threw her arms round his neck.
2882_147159_000082_000000	"Don't go yet, father; I can't bear you to go yet.	"Don't go yet, father; I can't bear you to go yet.
2882_147159_000082_000001	Come in, and eat some supper; you look so ghastly; dear father, do!"	Come in, and eat some supper; you look so ghastly; dear father, do!"
2882_147159_000083_000000	"No," he said, faintly and mournfully.	"No," he said, faintly and mournfully.
2882_147159_000083_000001	"It's best as it is.	"It's best as it is.
2882_147159_000083_000002	I couldn't eat, and it's best to be off.	I couldn't eat, and it's best to be off.
2882_147159_000083_000003	I cannot be still at home. I must be moving."	I cannot be still at home. I must be moving."
2882_147159_000084_000000	So saying, he unlaced her soft twining arms, and kissing her once more, set off on his fierce errand.	So saying, he unlaced her soft twining arms, and kissing her once more, set off on his fierce errand.
2882_147159_000085_000000	And he was out of sight!	And he was out of sight!
2882_147159_000085_000001	She did not know why, but she had never before felt so depressed, so desolate.	She did not know why, but she had never before felt so depressed, so desolate.
2882_147159_000085_000002	She turned in to Job, who sat there still.	She turned in to Job, who sat there still.
2882_147159_000085_000003	Her father, as soon as he was out of sight, slackened his pace, and fell into that heavy listless step, which told as well as words could do, of hopelessness and weakness.	Her father, as soon as he was out of sight, slackened his pace, and fell into that heavy listless step, which told as well as words could do, of hopelessness and weakness.
2882_147159_000085_000004	It was getting dark, but he loitered on, returning no greeting to any one.	It was getting dark, but he loitered on, returning no greeting to any one.
2882_147159_000086_000000	A child's cry caught his ear.	A child's cry caught his ear.
2882_147159_000086_000001	His thoughts were running on little Tom; on the dead and buried child of happier years.	His thoughts were running on little Tom; on the dead and buried child of happier years.
2882_147159_000086_000003	So, aided by inquiries here and there from a passer-by, he led and carried the little fellow home, where his mother had been too busy to miss him, but now received him with thankfulness, and with an eloquent Irish blessing.	So, aided by inquiries here and there from a passer by, he led and carried the little fellow home, where his mother had been too busy to miss him, but now received him with thankfulness, and with an eloquent Irish blessing.
2882_147159_000086_000004	When John heard the words of blessing, he shook his head mournfully, and turned away to retrace his steps.	When john heard the words of blessing, he shook his head mournfully, and turned away to retrace his steps.
2882_147159_000087_000000	Let us leave him.	Let us leave him.
2882_147159_000088_000000	Mary took her sewing after he had gone, and sat on, and sat on, trying to listen to Job, who was more inclined to talk than usual. She had conquered her feeling of impatience towards him so far as to be able to offer him her father's rejected supper; and she even tried to eat herself.	Mary took her sewing after he had gone, and sat on, and sat on, trying to listen to Job, who was more inclined to talk than usual. She had conquered her feeling of impatience towards him so far as to be able to offer him her father's rejected supper; and she even tried to eat herself.
2882_147159_000088_000001	But her heart failed her.	But her heart failed her.
2882_147159_000088_000002	A leaden weight seemed to hang over her; a sort of presentiment of evil, or perhaps only an excess of low-spirited feeling in consequence of the two departures which had taken place that afternoon.	A leaden weight seemed to hang over her; a sort of presentiment of evil, or perhaps only an excess of low spirited feeling in consequence of the two departures which had taken place that afternoon.
2882_147159_000089_000000	She wondered how long Job Legh would sit.	She wondered how long Job Legh would sit.
2882_147159_000089_000001	She did not like putting down her work, and crying before him, and yet she had never in her life longed so much to be alone in order to indulge in a good hearty burst of tears.	She did not like putting down her work, and crying before him, and yet she had never in her life longed so much to be alone in order to indulge in a good hearty burst of tears.
2882_147159_000090_000001	Only I wonder as Margaret is not come back."	Only I wonder as Margaret is not come back."
2882_147159_000091_000000	"But perhaps she is," suggested Mary.	"But perhaps she is," suggested Mary.
2882_147159_000092_000001	Look ye here!" and he pulled out the great house-key.	Look ye here!" and he pulled out the great house key.
2882_147159_000094_000001	At first I were afraid o' trusting her, and I used to follow her a bit behind; never letting on, of course.	At first I were afraid o' trusting her, and I used to follow her a bit behind; never letting on, of course.
2882_147159_000094_000002	But, bless you! she goes along as steadily as can be; rather slow, to be sure, and her head a bit on one side as if she were listening.	But, bless you! she goes along as steadily as can be; rather slow, to be sure, and her head a bit on one side as if she were listening.
2882_147159_000094_000005	Hark! that's her!"	Hark! that's her!"
2882_147159_000096_000000	"What's the matter, my wench?" said Job, hastily.	"What's the matter, my wench?" said Job, hastily.
2882_147159_000097_000000	"Oh! grandfather!	"Oh! grandfather!
2882_147159_000097_000001	Alice Wilson's so bad!" She could say no more, for her breathless agitation.	Alice Wilson's so bad!" She could say no more, for her breathless agitation.
2882_147159_000098_000000	"What is it?	"What is it?
2882_147159_000098_000001	Do tell us, Margaret!" said Mary, placing her in a chair, and loosening her bonnet-strings.	Do tell us, Margaret!" said Mary, placing her in a chair, and loosening her bonnet strings.
2882_147159_000101_000001	She spoke a bit, but not much; but that were only natural, for Mrs. Wilson likes to have the talk to hersel, you know.	She spoke a bit, but not much; but that were only natural, for mrs Wilson likes to have the talk to hersel, you know.
2882_147159_000102_000000	"Where was Jem?	"Where was Jem?
2882_147159_000102_000001	Why didn't he go for the doctor?"	Why didn't he go for the doctor?"
2882_147159_000105_000000	"No, no," said Margaret.	"No, no," said Margaret.
2882_147159_000105_000001	"But, oh!	"But, oh!
2882_147159_000105_000002	grandfather; it's now I feel how hard it is to have lost my sight.	grandfather; it's now I feel how hard it is to have lost my sight.
2882_147159_000105_000003	I should have so loved to nurse her; and I did try, until I found I did more harm than good.	I should have so loved to nurse her; and I did try, until I found I did more harm than good.
2882_147159_000105_000004	Oh! grandfather; if I could but see!"	Oh! grandfather; if I could but see!"
2882_147159_000106_000000	She sobbed a little; and they let her give that ease to her heart. Then she went on--	She sobbed a little; and they let her give that ease to her heart. Then she went on-
2882_147159_000107_000000	"No!	"No!
2882_147159_000107_000001	I went round by Mrs. Davenport's, and she were hard at work; but, the minute I told my errand, she were ready and willing to go to Jane Wilson, and stop up all night with Alice."	I went round by mrs Davenport's, and she were hard at work; but, the minute I told my errand, she were ready and willing to go to Jane Wilson, and stop up all night with Alice."
2882_147159_000108_000000	"And what does the doctor say?" asked Mary.	"And what does the doctor say?" asked Mary.
2882_147159_000109_000001	He's ordered her leeches to her head."	He's ordered her leeches to her head."
2882_147159_000110_000000	Margaret, having told her tale, leant back with weariness, both of body and mind.	Margaret, having told her tale, leant back with weariness, both of body and mind.
2882_147159_000110_000001	Mary hastened to make her a cup of tea; while Job, lately so talkative, sat quiet and mournfully silent.	Mary hastened to make her a cup of tea; while Job, lately so talkative, sat quiet and mournfully silent.
2882_147159_000113_000001	"It's perhaps as well he shouldn't see her now, for they say her face is sadly drawn.	"It's perhaps as well he shouldn't see her now, for they say her face is sadly drawn.
2882_147159_000114_000000	With a few more sorrowful remarks they separated for the night, and Mary was left alone in her house, to meditate on the heavy day that had passed over her head.	With a few more sorrowful remarks they separated for the night, and Mary was left alone in her house, to meditate on the heavy day that had passed over her head.
2882_147159_000114_000002	Will gone; her father gone--and so strangely too!	Will gone; her father gone-and so strangely too!
2882_147159_000114_000003	And to a place so mysteriously distant as Glasgow seemed to be to her!	And to a place so mysteriously distant as Glasgow seemed to be to her!
2882_147159_000114_000004	She had felt his presence as a protection against Harry Carson and his threats; and now she dreaded lest he should learn she was alone.	She had felt his presence as a protection against Harry Carson and his threats; and now she dreaded lest he should learn she was alone.
2882_147159_000114_000005	Her heart began to despair, too, about Jem.	Her heart began to despair, too, about Jem.
2882_147159_000114_000006	She feared he had ceased to love her; and she--she only loved him more and more for his seeming neglect.	She feared he had ceased to love her; and she-she only loved him more and more for his seeming neglect.
