6339_65554_000000_000000	"Listen to me, Bessy.	"Listen to me, Bessy.	false	0	0.78	25.787716
6339_65554_000026_000000	It was Cyrus who spoke, advancing into the room like a stern, hard impersonation of judgment.	It was Cyrus who spoke, advancing into the room like a stern, hard impersonation of judgment.	true	551.76	557.475	20
6339_65554_000026_000001	Joscelyn's outstretched arm fell to her side and she turned sharply around; fear came into her face and the light went out of it.	Joscelyn's outstretched arm fell to her side and she turned sharply around; fear came into her face and the light went out of it.	true	557.475	565.83	19
6339_65554_000026_000002	A moment before she had been a woman, splendid, unafraid; now she was again the schoolgirl, too confused and shamed to speak.	A moment before she had been a woman, splendid, unafraid; now she was again the schoolgirl, too confused and shamed to speak.	true	565.83	574.125	23
6339_65554_000027_000000	"What are you doing, Josie?" asked her grandfather again, "dressed up in that indecent manner and talking and twisting to yourself?"	"What are you doing, Josie?" asked her grandfather again, "dressed up in that indecent manner and talking and twisting to yourself?"	false	574.125	579.51	18
6339_65554_000028_000000	Joscelyn's face, that had grown pale, flamed scarlet again.	Joscelyn's face, that had grown pale, flamed scarlet again.	true	579.51	583.12	15
6339_65554_000028_000001	She lifted her head proudly.	She lifted her head proudly.	true	583.25	585.16	21.70571
6339_65554_000029_000000	"I was trying Aunt Annice's part in her new play," she answered.	"I was trying Aunt Annice's part in her new play," she answered.	false	585.26	589.36	24
6339_65554_000029_000001	"I have not been doing anything wrong, Grandfather."	"I have not been doing anything wrong, Grandfather."	true	589.52	592.24	23.795895
6339_65554_000030_000000	"Wrong!	"Wrong!	true	592.28	593.35	22.681717
6339_65554_000030_000001	It's your mother's blood coming out in you, girl, in spite of all our care!	It's your mother's blood coming out in you, girl, in spite of all our care!	true	593.36	597.4	20
6339_65554_000030_000002	Where did you get that play?"	Where did you get that play?"	true	597.5	599.2	25.318428
6339_65554_000031_000000	"Aunt Annice sent it to me," answered Joscelyn, casting a quick glance at the book on the table.	"Aunt Annice sent it to me," answered Joscelyn, casting a quick glance at the book on the table.	true	599.36	604.99	23.512604
6339_65554_000031_000001	Then, when her grandfather picked it up gingerly, as if he feared contamination, she added quickly, "Oh, give it to me, please, Grandfather.	Then, when her grandfather picked it up gingerly, as if he feared contamination, she added quickly, "Oh, give it to me, please, Grandfather.	true	605.12	612.78	19
6339_65554_000031_000002	Don't take it away."	Don't take it away."	true	612.78	613.98	22
6339_65554_000032_000000	"I am going to burn it," said Cyrus Morgan sternly.	"I am going to burn it," said Cyrus Morgan sternly.	false	613.98	617.98	26.263262
6339_65554_000033_000000	"Oh, don't, Grandfather," cried Joscelyn, with a sob in her voice. "Don't burn it, please.	"Oh, don't, Grandfather," cried Joscelyn, with a sob in her voice. "Don't burn it, please.	false	618.32	624.075	25.380661
6339_65554_000033_000001	I ... I ... won't practise out of it any more. I'm sorry I've displeased you.	I ... I ... won't practise out of it any more. I'm sorry I've displeased you.	false	624.075	629.38	24.382341
6339_65554_000033_000002	Please give me my book."	Please give me my book."	true	629.42	631.05	24.847149
6339_65554_000034_000000	"No," was the stern reply.	"No," was the stern reply.	true	631.05	633.345	21.445257
6339_65554_000034_000001	"Go to your room, girl, and take off that rig.	"Go to your room, girl, and take off that rig.	true	633.345	636.28	22.433004
6339_65554_000034_000002	There is to be no more play-acting in my house, remember that."	There is to be no more play acting in my house, remember that."	true	636.32	640.27	19
6339_65554_000035_000000	He flung the book into the fire that was burning in the grate.	He flung the book into the fire that was burning in the grate.	true	640.61	643.96	19
6339_65554_000035_000001	For the first time in her life Joscelyn flamed out into passionate defiance.	For the first time in her life Joscelyn flamed out into passionate defiance.	true	644.03	648.91	15
6339_65554_000036_000000	"You are cruel and unjust, Grandfather.	"You are cruel and unjust, Grandfather.	true	649.49	652.6	25.535145
6339_65554_000036_000001	I have done no wrong ... it is not doing wrong to develop the one gift I have.	I have done no wrong ... it is not doing wrong to develop the one gift I have.	true	652.64	657.615	22
6339_65554_000036_000002	It's the only thing I can do ... and I am going to do it.	It's the only thing I can do ... and I am going to do it.	true	657.615	661.09	21
6339_65554_000036_000003	My mother was an actress and a good woman.	My mother was an actress and a good woman.	true	661.1	663.7	21
6339_65554_000036_000004	So is Aunt Annice.	So is Aunt Annice.	true	663.74	664.995	13
6339_65554_000036_000005	So I mean to be."	So I mean to be."	true	664.995	666.43	20.965223
6339_65554_000037_000000	"Oh, Josie, Josie," said her grandmother in a scared voice.	"Oh, Josie, Josie," said her grandmother in a scared voice.	true	666.77	671.92	20.64505
6339_65554_000037_000001	Her grandfather only repeated sternly, "Go, take that rig off, girl, and let us hear no more of this."	Her grandfather only repeated sternly, "Go, take that rig off, girl, and let us hear no more of this."	false	672.05	678.43	21.289183
6339_65554_000038_000000	Joscelyn went but she left consternation behind her.	Joscelyn went but she left consternation behind her.	true	678.71	682.36	22.143812
6339_65554_000038_000001	Cyrus and Deborah could not have been more shocked if they had discovered the girl robbing her grandfather's desk.	Cyrus and Deborah could not have been more shocked if they had discovered the girl robbing her grandfather's desk.	true	682.49	688.24	17
6339_65554_000038_000002	They talked the matter over bitterly at the kitchen hearth that night.	They talked the matter over bitterly at the kitchen hearth that night.	true	688.61	692.05	20
6339_65554_000039_000000	"We haven't been strict enough with the girl, Mother," said Cyrus angrily.	"We haven't been strict enough with the girl, Mother," said Cyrus angrily.	true	692.27	696.34	21
6339_65554_000039_000001	"We'll have to be stricter if we don't want to have her disgracing us.	"We'll have to be stricter if we don't want to have her disgracing us.	true	696.53	699.97	15
6339_65554_000039_000002	Did you hear how she defied me?	Did you hear how she defied me?	true	700.1	702.105	20
6339_65554_000039_000003	'So I mean to be,' she says.	'So I mean to be,' she says.	true	702.105	704.62	19.98902
6339_65554_000039_000004	Mother, we'll have trouble with that girl yet."	Mother, we'll have trouble with that girl yet."	true	704.93	707.35	20
6339_65554_000040_000000	"Don't be too harsh with her, Pa ... it'll maybe only drive her to worse," sobbed Deborah.	"Don't be too harsh with her, Pa ... it'll maybe only drive her to worse," sobbed Deborah.	false	707.63	713.32	21
6339_65554_000041_000000	"I ain't going to be harsh.	"I ain't going to be harsh.	true	713.51	715.3	23.949692
6339_65554_000041_000001	What I do is for her own good, you know that, Mother.	What I do is for her own good, you know that, Mother.	true	715.52	718.59	18
6339_65554_000041_000002	Josie is as dear to me as she is to you, but we've got to be stricter with her."	Josie is as dear to me as she is to you, but we've got to be stricter with her."	true	718.59	723.4	18
6339_65554_000042_000000	They were.	They were.	true	723.47	724.45	19.923006
6339_65554_000042_000001	From that day Josie was watched and distrusted.	From that day Josie was watched and distrusted.	true	724.79	728.02	21
6339_65554_000042_000002	She was never permitted to be alone.	She was never permitted to be alone.	true	728.15	730.3	19.371428
6339_65554_000042_000003	There were no more solitary walks.	There were no more solitary walks.	true	730.43	732.435	15
6339_65554_000042_000004	She felt herself under the surveillance of cold, unsympathetic eyes every moment and her very soul writhed.	She felt herself under the surveillance of cold, unsympathetic eyes every moment and her very soul writhed.	true	732.435	739.42	16
6339_65554_000042_000005	Joscelyn Morgan, the high-spirited daughter of high-spirited parents, could not long submit to such treatment.	Joscelyn Morgan, the high spirited daughter of high spirited parents, could not long submit to such treatment.	false	739.43	745.6	18
6339_65554_000042_000006	It might have passed with a child; to a woman, thrilling with life and conscious power to her very fingertips, it was galling beyond measure.	It might have passed with a child; to a woman, thrilling with life and conscious power to her very fingertips, it was galling beyond measure.	true	746.09	754.63	18
6339_65554_000042_000007	Joscelyn rebelled, but she did nothing secretly ... that was not her nature.	Joscelyn rebelled, but she did nothing secretly ... that was not her nature.	true	754.79	759.61	22.469997
6339_65554_000042_000008	She wrote to her Aunt Annice, and when she received her reply she went straight and fearlessly to her grandparents with it.	She wrote to her Aunt Annice, and when she received her reply she went straight and fearlessly to her grandparents with it.	true	760.01	766.45	18
6339_65554_000043_000000	"Grandfather, this letter is from my aunt.	"Grandfather, this letter is from my aunt.	true	766.55	769.15	22.76776
6339_65554_000043_000001	She wishes me to go and live with her and prepare for the stage.	She wishes me to go and live with her and prepare for the stage.	true	769.46	772.99	17
6339_65554_000043_000002	I told her I wished to do so. I am going."	I told her I wished to do so. I am going."	true	773.09	776.29	21.314949
6339_65554_000044_000000	Cyrus and Deborah looked at her in mute dismay.	Cyrus and Deborah looked at her in mute dismay.	false	776.75	779.97	22.658537
6339_65554_000045_000000	"I know you despise the profession of an actress," the girl went on with heightened colour.	"I know you despise the profession of an actress," the girl went on with heightened colour.	true	779.97	784.92	22
6339_65554_000045_000001	"I am sorry you think so about it because it is the only one open to me.	"I am sorry you think so about it because it is the only one open to me.	false	784.92	789.85	21.898983
6339_65554_000045_000002	I must go ...	I must go ...	true	790.16	791.265	24.191584
6339_65554_000045_000003	I must."	I must."	true	791.265	792.19	23.905716
6339_65554_000046_000000	"Yes, you must," said Cyrus cruelly.	"Yes, you must," said Cyrus cruelly.	true	792.44	796.06	21.921957
6339_65554_000046_000001	"It's in your blood ... your bad blood, girl."	"It's in your blood ... your bad blood, girl."	true	796.19	799.81	20.393621
6339_65554_000047_000000	"My blood isn't bad," cried Joscelyn proudly.	"My blood isn't bad," cried Joscelyn proudly.	true	800.09	803.83	25.392038
6339_65554_000047_000001	"My mother was a sweet, true, good woman.	"My mother was a sweet, true, good woman.	true	803.96	807.25	22.48456
6339_65554_000047_000002	You are unjust, Grandfather.	You are unjust, Grandfather.	true	807.65	809.83	22.56471
6339_65554_000047_000003	But I don't want you to be angry with me.	But I don't want you to be angry with me.	true	810.08	812.41	20
6339_65554_000047_000004	I love you both and I am very grateful indeed for all your kindness to me.	I love you both and I am very grateful indeed for all your kindness to me.	true	812.42	816.97	19
6339_65554_000047_000005	I wish that you could understand what...."	I wish that you could understand what...."	true	817.31	819.52	23.12048
6339_65554_000048_000000	"We understand enough," interrupted Cyrus harshly.	"We understand enough," interrupted Cyrus harshly.	true	819.56	823.09	19.395494
6339_65554_000048_000001	"This is all I have to say.	"This is all I have to say.	true	823.25	825.19	20.667286
6339_65554_000048_000002	Go to your play-acting aunt if you want to.	Go to your play acting aunt if you want to.	true	825.38	827.98	20
6339_65554_000048_000003	Your grandmother and me won't hinder you.	Your grandmother and me won't hinder you.	true	828.29	830.47	19.931692
6339_65554_000048_000004	But you'll come back here no more.	But you'll come back here no more.	true	830.72	832.87	15
6339_65554_000048_000005	We'll have nothing further to do with you.	We'll have nothing further to do with you.	true	833.24	835.45	17
6339_65554_000048_000006	You can choose your own way and walk in it."	You can choose your own way and walk in it."	true	835.79	838.96	22.866228
6339_65554_000049_000000	With this dictum Joscelyn went from Spring Valley.	With this dictum Joscelyn went from Spring Valley.	true	839.33	842.29	18
6339_65554_000049_000001	She clung to Deborah and wept at parting, but Cyrus did not even say goodbye to her.	She clung to Deborah and wept at parting, but Cyrus did not even say goodbye to her.	true	842.45	847.84	21
6339_65554_000049_000002	On the morning of her departure he went away on business and did not return until evening.	On the morning of her departure he went away on business and did not return until evening.	true	848.24	852.97	15
6339_65554_000050_000000	Joscelyn went on the stage.	Joscelyn went on the stage.	true	853.43	855.46	17
6339_65554_000050_000001	Her aunt's influence and her mother's fame helped her much.	Her aunt's influence and her mother's fame helped her much.	true	855.53	858.79	18
6339_65554_000050_000002	She missed the hard experiences that come to the unassisted beginner.	She missed the hard experiences that come to the unassisted beginner.	true	858.86	862.75	15
6339_65554_000050_000003	But her own genius must have won in any case.	But her own genius must have won in any case.	true	862.94	866.05	14
