3549_9203_000000_000000	VILLIERS DE L'ISLE ADAM	VILLIERS DE L'ISLE ADAM	false	26.22	29.16	22.320421
3549_9203_000006_000002	This ceremony over, the captive was left, solitary and bewildered, in the darkness.	This ceremony over, the captive was left, solitary and bewildered, in the darkness.	true	247.13	253.15	21.853647
3549_9203_000007_000000	Rabbi Aser Abarbanel, with parched lips and visage worn by suffering, at first gazed at the closed door with vacant eyes.	Rabbi Aser Abarbanel, with parched lips and visage worn by suffering, at first gazed at the closed door with vacant eyes.	false	255.44	264.43	21.325
3549_9203_000007_000001	Closed?	Closed?	true	265.16	266.32	25.647383
3549_9203_000007_000002	The word unconsciously roused a vague fancy in his mind, the fancy that he had seen for an instant the light of the lanterns through a chink between the door and the wall.	The word unconsciously roused a vague fancy in his mind, the fancy that he had seen for an instant the light of the lanterns through a chink between the door and the wall.	false	266.42	277.15	20.712303
3549_9203_000007_000003	A morbid idea of hope, due to the weakness of his brain, stirred his whole being.	A morbid idea of hope, due to the weakness of his brain, stirred his whole being.	true	277.61	283.36	19.902107
3549_9203_000007_000004	He dragged himself toward the strange _appearance_.	He dragged himself toward the strange underscore appearance underscore.	false	284.15	287.52	21.602098
3549_9203_000007_000005	Then, very gently and cautiously, slipping one finger into the crevice, he drew the door toward him.	Then, very gently and cautiously, slipping one finger into the crevice, he drew the door toward him.	true	287.52	294.34	22.272583
3549_9203_000007_000006	Marvelous!	Marvelous!	true	294.8	295.81	21.867037
3549_9203_000007_000007	By an extraordinary accident the familiar who closed it had turned the huge key an instant before it struck the stone casing, so that the rusty bolt not having entered the hole, the door again rolled on its hinges.	By an extraordinary accident the familiar who closed it had turned the huge key an instant before it struck the stone casing, so that the rusty bolt not having entered the hole, the door again rolled on its hinges.	true	295.97	309.31	22.436455
3549_9203_000008_000000	The rabbi ventured to glance outside.	The rabbi ventured to glance outside.	true	311.12	313.75	21.686115
3549_9203_000008_000001	By the aid of a sort of luminous dusk he distinguished at first a semicircle of walls indented by winding stairs; and opposite to him, at the top of five or six stone steps, a sort of black portal, opening into an immense corridor, whose first arches only were visible from below.	By the aid of a sort of luminous dusk he distinguished at first a semicircle of walls indented by winding stairs; and opposite to him, at the top of five or six stone steps, a sort of black portal, opening into an immense corridor, whose first arches only were visible from below.	true	314.33	335.05	22.621748
3549_9203_000009_000000	Stretching himself flat he crept to the threshold.	Stretching himself flat he crept to the threshold.	true	336.8	339.97	22.226864
3549_9203_000009_000001	Yes, it was really a corridor, but endless in length.	Yes, it was really a corridor, but endless in length.	true	340.4	344.38	22.012144
3549_9203_000009_000002	A wan light illumined it: lamps suspended from the vaulted ceiling lightened at intervals the dull hue of the atmosphere--the distance was veiled in shadow.	A wan light illumined it: lamps suspended from the vaulted ceiling lightened at intervals the dull hue of the atmosphere-the distance was veiled in shadow.	false	344.6	354.73	21.6768
3549_9203_000009_000003	Not a single door appeared in the whole extent!	Not a single door appeared in the whole extent!	true	355.67	358.6	19
3549_9203_000009_000004	Only on one side, the left, heavily grated loopholes, sunk in the walls, admitted a light which must be that of evening, for crimson bars at intervals rested on the flags of the pavement.	Only on one side, the left, heavily grated loopholes, sunk in the walls, admitted a light which must be that of evening, for crimson bars at intervals rested on the flags of the pavement.	true	359.24	372.52	19.765429
3549_9203_000009_000005	What a terrible silence!	What a terrible silence!	true	373.13	375.01	22.43172
3549_9203_000009_000006	Yet, yonder, at the far end of that passage there might be a doorway of escape!	Yet, yonder, at the far end of that passage there might be a doorway of escape!	true	375.47	381.19	22.687984
3549_9203_000009_000007	The Jew's vacillating hope was tenacious, for it was _the last_.	The Jew's vacillating hope was tenacious, for it was underscore the last underscore.	false	381.65	388.77	18.826153
3549_9203_000010_000000	Without hesitating, he ventured on the flags, keeping close under the loopholes, trying to make himself part of the blackness of the long walls.	Without hesitating, he ventured on the flags, keeping close under the loopholes, trying to make himself part of the blackness of the long walls.	true	388.77	397.09	20
3549_9203_000010_000001	He advanced slowly, dragging himself along on his breast, forcing back the cry of pain when some raw wound sent a keen pang through his whole body.	He advanced slowly, dragging himself along on his breast, forcing back the cry of pain when some raw wound sent a keen pang through his whole body.	true	398	408.31	21.053665
3549_9203_000011_000000	Suddenly the sound of a sandaled foot approaching reached his ears.	Suddenly the sound of a sandaled foot approaching reached his ears.	true	410.99	415.75	19.499422
3549_9203_000011_000001	He trembled violently, fear stifled him, his sight grew dim.	He trembled violently, fear stifled him, his sight grew dim.	true	416.09	421.21	19.364029
3549_9203_000011_000002	Well, it was over, no doubt.	Well, it was over, no doubt.	true	422.36	424.87	21.331318
3549_9203_000011_000003	He pressed himself into a niche and, half lifeless with terror, waited.	He pressed himself into a niche and, half lifeless with terror, waited.	true	425.12	430.48	21.750181
3549_9203_000012_000000	It was a familiar hurrying along.	It was a familiar hurrying along.	true	431.3	433.6	17.52792
3549_9203_000012_000001	He passed swiftly by, holding in his clenched hand an instrument of torture--a frightful figure--and vanished.	He passed swiftly by, holding in his clenched hand an instrument of torture-a frightful figure-and vanished.	true	433.64	441.58	20.378965
3549_9203_000012_000002	The suspense which the rabbi had endured seemed to have suspended the functions of life, and he lay nearly an hour unable to move.	The suspense which the rabbi had endured seemed to have suspended the functions of life, and he lay nearly an hour unable to move.	true	442.31	450.43	20.406332
3549_9203_000012_000003	Fearing an increase of tortures if he were captured, he thought of returning to his dungeon.	Fearing an increase of tortures if he were captured, he thought of returning to his dungeon.	true	451.13	456.4	21.393171
3549_9203_000012_000004	But the old hope whispered in his soul that divine _perhaps_, which comforts us in our sorest trials.	But the old hope whispered in his soul that divine underscore perhaps underscore, which comforts us in our sorest trials.	false	457.04	464.38	21.277828
3549_9203_000012_000005	A miracle had happened.	A miracle had happened.	true	465.05	466.75	23
3549_9203_000012_000006	He could doubt no longer.	He could doubt no longer.	true	467	468.67	21.059172
3549_9203_000012_000007	He began to crawl toward the chance of escape.	He began to crawl toward the chance of escape.	true	469.28	472.39	24.878294
3549_9203_000012_000008	Exhausted by suffering and hunger, trembling with pain, he pressed onward.	Exhausted by suffering and hunger, trembling with pain, he pressed onward.	true	472.67	478.15	20.46138
3549_9203_000012_000009	The sepulchral corridor seemed to lengthen mysteriously, while he, still advancing, gazed into the gloom where there _must_ be some avenue of escape.	The sepulchral corridor seemed to lengthen mysteriously, while he, still advancing, gazed into the gloom where there underscore must underscore be some avenue of escape.	false	479.39	490.03	21.797838
3549_9203_000013_000000	Oh! oh!	Oh! oh!	false	491.42	492.96	19.515291
3549_9203_000013_000001	He again heard footsteps, but this time they were slower, more heavy.	He again heard footsteps, but this time they were slower, more heavy.	true	492.96	497.8	20.897554
3549_9203_000013_000002	The white and black forms of two inquisitors appeared, emerging from the obscurity beyond.	The white and black forms of two inquisitors appeared, emerging from the obscurity beyond.	true	498.29	504.28	22.499435
3549_9203_000013_000003	They were conversing in low tones, and seemed to be discussing some important subject, for they were gesticulating vehemently.	They were conversing in low tones, and seemed to be discussing some important subject, for they were gesticulating vehemently.	true	505.04	512.56	21.363869
3549_9203_000014_000000	At this spectacle Rabbi Aser Abarbanel closed his eyes: his heart beat so violently that it almost suffocated him; his rags were damp with the cold sweat of agony; he lay motionless by the wall, his mouth wide open, under the rays of a lamp, praying to the God of David.	At this spectacle Rabbi Aser Abarbanel closed his eyes: his heart beat so violently that it almost suffocated him; his rags were damp with the cold sweat of agony; he lay motionless by the wall, his mouth wide open, under the rays of a lamp, praying to the God of David.	false	514.88	534.7	21.361242
3549_9203_000015_000000	Just opposite to him the two inquisitors paused under the light of the lamp--doubtless owing to some accident due to the course of their argument.	Just opposite to him the two inquisitors paused under the light of the lamp-doubtless owing to some accident due to the course of their argument.	true	536.48	545.98	22.762701
3549_9203_000015_000001	One, while listening to his companion, gazed at the rabbi! And, beneath the look--whose absence of expression the hapless man did not at first notice--he fancied he again felt the burning pincers scorch his flesh, he was to be once more a living wound.	One, while listening to his companion, gazed at the rabbi! And, beneath the look-whose absence of expression the hapless man did not at first notice-he fancied he again felt the burning pincers scorch his flesh, he was to be once more a living wound.	true	547.01	566.2	21.11904
3549_9203_000015_000002	Fainting, breathless, with fluttering eyelids, he shivered at the touch of the monk's floating robe.	Fainting, breathless, with fluttering eyelids, he shivered at the touch of the monk's floating robe.	true	566.9	573.28	20.204735
3549_9203_000015_000003	But--strange yet natural fact--the inquisitor's gaze was evidently that of a man deeply absorbed in his intended reply, engrossed by what he was hearing; his eyes were fixed--and seemed to look at the Jew _without seeing him_.	But-strange yet natural fact-the inquisitor's gaze was evidently that of a man deeply absorbed in his intended reply, engrossed by what he was hearing; his eyes were fixed-and seemed to look at the Jew underscore without seeing him underscore.	false	573.89	593.16	20.141275
3549_9203_000016_000000	In fact, after the lapse of a few minutes, the two gloomy figures slowly pursued their way, still conversing in low tones, toward the place whence the prisoner had come; HE HAD NOT BEEN SEEN!	In fact, after the lapse of a few minutes, the two gloomy figures slowly pursued their way, still conversing in low tones, toward the place whence the prisoner had come; HE HAD NOT BEEN SEEN!	false	593.16	607.81	22.379745
3549_9203_000016_000001	Amid the horrible confusion of the rabbi's thoughts, the idea darted through his brain: "Can I be already dead that they did not see me?" A hideous impression roused him from his lethargy: in looking at the wall against which his face was pressed, he imagined he beheld two fierce eyes watching him!	Amid the horrible confusion of the rabbi's thoughts, the idea darted through his brain: "Can I be already dead that they did not see me?" A hideous impression roused him from his lethargy: in looking at the wall against which his face was pressed, he imagined he beheld two fierce eyes watching him!	true	608.36	629.29	20.980247
3549_9203_000016_000002	He flung his head back in a sudden frenzy of fright, his hair fairly bristling!	He flung his head back in a sudden frenzy of fright, his hair fairly bristling!	false	629.48	634.6	21.077168
3549_9203_000016_000003	Yet, no! No.	Yet, no! no	true	635.27	637.69	23.935232
3549_9203_000016_000004	His hand groped over the stones: it was the _reflection_ of the inquisitor's eyes, still retained in his own, which had been refracted from two spots on the wall.	His hand groped over the stones: it was the underscore reflection underscore of the inquisitor's eyes, still retained in his own, which had been refracted from two spots on the wall.	false	638.15	649.12	20.674643
3549_9203_000017_000000	Forward!	Forward!	true	650.06	651.16	21.445145
3549_9203_000017_000001	He must hasten toward that goal which he fancied (absurdly, no doubt) to be deliverance, toward the darkness from which he was now barely thirty paces distant.	He must hasten toward that goal which he fancied (absurdly, no doubt) to be deliverance, toward the darkness from which he was now barely thirty paces distant.	true	651.17	661.51	21.32977
3549_9203_000017_000002	He pressed forward faster on his knees, his hands, at full length, dragging himself painfully along, and soon entered the dark portion of this terrible corridor.	He pressed forward faster on his knees, his hands, at full length, dragging himself painfully along, and soon entered the dark portion of this terrible corridor.	true	662.6	673.72	22.039536
3549_9203_000018_000000	Suddenly the poor wretch felt a gust of cold air on the hands resting upon the flags; it came from under the little door to which the two walls led.	Suddenly the poor wretch felt a gust of cold air on the hands resting upon the flags; it came from under the little door to which the two walls led.	true	675.26	684.43	22.708614
3549_9203_000019_000000	Oh, Heaven, if that door should open outward.	Oh, Heaven, if that door should open outward.	true	686	689.26	18.205935
3549_9203_000019_000001	Every nerve in the miserable fugitive's body thrilled with hope.	Every nerve in the miserable fugitive's body thrilled with hope.	true	689.51	693.67	21.307709
3549_9203_000019_000002	He examined it from top to bottom, though scarcely able to distinguish its outlines in the surrounding darkness.	He examined it from top to bottom, though scarcely able to distinguish its outlines in the surrounding darkness.	true	693.92	700.6	21.50693
3549_9203_000019_000003	He passed his hand over it: no bolt, no lock!	He passed his hand over it: no bolt, no lock!	true	701.42	705.76	23.952211
3549_9203_000019_000004	A latch!	A latch!	true	706.22	707.11	25.676805
3549_9203_000019_000005	He started up, the latch yielded to the pressure of his thumb: the door silently swung open before him.	He started up, the latch yielded to the pressure of his thumb: the door silently swung open before him.	true	707.15	713.77	20.254696
3549_9203_000020_000000	"HALLELUIA!" murmured the rabbi in a transport of gratitude as, standing on the threshold, he beheld the scene before him.	"HALLELUIA!" murmured the rabbi in a transport of gratitude as, standing on the threshold, he beheld the scene before him.	true	715.01	724.03	20.645796
3549_9203_000021_000000	The door had opened into the gardens, above which arched a starlit sky, into spring, liberty, life!	The door had opened into the gardens, above which arched a starlit sky, into spring, liberty, life!	true	725.51	733.81	22.016863
3549_9203_000021_000001	It revealed the neighboring fields, stretching toward the sierras, whose sinuous blue lines were relieved against the horizon.	It revealed the neighboring fields, stretching toward the sierras, whose sinuous blue lines were relieved against the horizon.	true	735.26	743.26	21.54605
3549_9203_000021_000002	Yonder lay freedom!	Yonder lay freedom!	true	743.48	745.39	20.029226
3549_9203_000021_000003	Oh, to escape!	Oh, to escape!	true	745.85	747.7	28.518925
3549_9203_000021_000004	He would journey all night through the lemon groves, whose fragrance reached him.	He would journey all night through the lemon groves, whose fragrance reached him.	true	747.8	752.14	20.362848
3549_9203_000021_000005	Once in the mountains and he was safe!	Once in the mountains and he was safe!	true	752.45	754.96	21.379461
3549_9203_000021_000006	He inhaled the delicious air; the breeze revived him, his lungs expanded!	He inhaled the delicious air; the breeze revived him, his lungs expanded!	true	755.18	760.12	22.774776
3549_9203_000021_000007	He felt in his swelling heart the _Veni foras_ of Lazarus!	He felt in his swelling heart the underscore Veni foras underscore of Lazarus!	false	760.97	765.34	22.66618
3549_9203_000021_000008	And to thank once more the God who had bestowed this mercy upon him, he extended his arms, raising his eyes toward Heaven.	And to thank once more the God who had bestowed this mercy upon him, he extended his arms, raising his eyes toward Heaven.	true	765.92	774.58	20.87615
3549_9203_000021_000009	It was an ecstasy of joy!	It was an ecstasy of joy!	true	774.71	777.22	22.38011
3549_9203_000022_000000	Then he fancied he saw the shadow of his arms approach him--fancied that he felt these shadowy arms inclose, embrace him--and that he was pressed tenderly to some one's breast.	Then he fancied he saw the shadow of his arms approach him-fancied that he felt these shadowy arms inclose, embrace him-and that he was pressed tenderly to some one's breast.	true	778.46	789.64	20.648914
3549_9203_000022_000001	A tall figure actually did stand directly before him.	A tall figure actually did stand directly before him.	true	790.61	794.05	19.77432
3549_9203_000022_000002	He lowered his eyes--and remained motionless, gasping for breath, dazed, with fixed eyes, fairly driveling with terror.	He lowered his eyes-and remained motionless, gasping for breath, dazed, with fixed eyes, fairly driveling with terror.	true	794.39	803.53	21.172964
3549_9203_000023_000000	Horror!	Horror!	true	804.89	805.785	25.480831
3549_9203_000023_000001	He was in the clasp of the Grand Inquisitor himself, the venerable Pedro Arbuez d'Espila, who gazed at him with tearful eyes, like a good shepherd who had found his stray lamb.	He was in the clasp of the Grand Inquisitor himself, the venerable Pedro Arbuez d'Espila, who gazed at him with tearful eyes, like a good shepherd who had found his stray lamb.	true	805.785	817.12	20.095
3549_9203_000024_000000	The dark-robed priest pressed the hapless Jew to his heart with so fervent an outburst of love, that the edges of the monochal haircloth rubbed the Dominican's breast.	The dark robed priest pressed the hapless Jew to his heart with so fervent an outburst of love, that the edges of the monochal haircloth rubbed the Dominican's breast.	true	818.6	828.58	23.210154
3549_9203_000024_000001	And while Aser Abarbanel with protruding eyes gasped in agony in the ascetic's embrace, vaguely comprehending that _all the phases of this fatal evening were only a prearranged torture, that of_ HOPE, the Grand Inquisitor, with an accent of touching reproach and a look of consternation, murmured in his ear, his breath parched and burning from long fasting:	And while Aser Abarbanel with protruding eyes gasped in agony in the ascetic's embrace, vaguely comprehending that underscore all the phases of this fatal evening were only a prearranged torture, that of underscore HOPE, the Grand Inquisitor, with an accent of touching reproach and a look of consternation, murmured in his ear, his breath parched and burning from long fasting:	false	829.19	856.48	22.074234
3549_9203_000025_000000	"What, my son!	"What, my son!	true	857.36	859.27	19.031982
3549_9203_000025_000001	On the eve, perchance, of salvation--you wished to leave us?"	On the eve, perchance, of salvation-you wished to leave us?"	true	859.61	865.29	19.554588
3549_9203_000026_000000	ERCKMANN-CHATRIAN	e r c k m a n n c h a t r i a n	false	865.29	871.17	18.967932
3549_9203_000027_000000	_The Owl's Ear_	underscore The Owl's Ear underscore	false	871.17	871.29	7
3549_9203_000028_000000	On the 29th of July, 1835, Kasper Boeck, a shepherd of the little village of Hirschwiller, with his large felt hat tipped back, his wallet of stringy sackcloth hanging at his hip, and his great tawny dog at his heels, presented himself at about nine o'clock in the evening at the house of the burgomaster, Petrus Mauerer, who had just finished supper and was taking a little glass of kirchwasser to facilitate digestion.	On the twenty ninth of July, eighteen thirty five, Kasper Boeck, a shepherd of the little village of Hirschwiller, with his large felt hat tipped back, his wallet of stringy sackcloth hanging at his hip, and his great tawny dog at his heels, presented himself at about nine o'clock in the evening at the house of the burgomaster, Petrus Mauerer, who had just finished supper and was taking a little glass of kirchwasser to facilitate digestion.	false	871.29	879.48	18.34327
