4519_80189_000000_000000	HONORE DE BALZAC.	HONORE DE BALZAC.	false	0	4.56	24.970428
4519_80189_000006_000001	The rosy hearthstone and sheltered rug were too circumspect for him.	The rosy hearthstone and sheltered rug were too circumspect for him.	true	136.55	140.8	22.618975
4519_80189_000006_000002	Surrounded by the comforts of middle-class respectability, and profoundly oppressed, even in his youth, by the Puritan ideals of the household, he sometimes experienced a sense of suffocation.	Surrounded by the comforts of middle class respectability, and profoundly oppressed, even in his youth, by the Puritan ideals of the household, he sometimes experienced a sense of suffocation.	true	141.17	153.01	22.261536
4519_80189_000006_000003	He wanted free air and he wanted free life; he wanted the lights, the lights, and the music.	He wanted free air and he wanted free life; he wanted the lights, the lights, and the music.	false	153.32	159.4	20.34922
4519_80189_000006_000004	He abandoned the _bourgeoisie_ irrevocably.	He abandoned the underscore bourgeoisie underscore irrevocably.	false	159.44	162.16	21.615591
4519_80189_000006_000005	He went forth in a May twilight, carrying the evening beefsteak with him, and joined the underworld.	He went forth in a May twilight, carrying the evening beefsteak with him, and joined the underworld.	true	162.2	168.79	24
4519_80189_000007_000000	His extraordinary size, his daring, and his utter lack of sympathy soon made him the leader--and, at the same time, the terror--of all the loose-lived cats in a wide neighbourhood.	His extraordinary size, his daring, and his utter lack of sympathy soon made him the leader-and, at the same time, the terror-of all the loose lived cats in a wide neighbourhood.	true	169.85	180.94	20
4519_80189_000007_000001	He contracted no friendships and had no confidants.	He contracted no friendships and had no confidants.	true	181.28	184.63	22.559061
4519_80189_000007_000002	He seldom slept in the same place twice in succession, and though he was wanted by the police, he was not found.	He seldom slept in the same place twice in succession, and though he was wanted by the police, he was not found.	true	184.82	191.77	19.937044
4519_80189_000007_000003	In appearance he did not lack distinction of an ominous sort; the slow, rhythmic, perfectly controlled mechanism of his tail, as he impressively walked abroad, was incomparably sinister.	In appearance he did not lack distinction of an ominous sort; the slow, rhythmic, perfectly controlled mechanism of his tail, as he impressively walked abroad, was incomparably sinister.	true	192.23	203.77	22.391212
4519_80189_000007_000004	This stately and dangerous walk of his, his long, vibrant whiskers, his scars, his yellow eye, so ice-cold, so fire-hot, haughty as the eye of Satan, gave him the deadly air of a mousquetaire duellist.	This stately and dangerous walk of his, his long, vibrant whiskers, his scars, his yellow eye, so ice cold, so fire hot, haughty as the eye of Satan, gave him the deadly air of a mousquetaire duellist.	true	203.99	219.31	22.673878
4519_80189_000007_000005	His soul was in that walk and in that eye; it could be read--the soul of a bravo of fortune, living on his wits and his valour, asking no favours and granting no quarter. Intolerant, proud, sullen, yet watchful and constantly planning--purely a militarist, believing in slaughter as in a religion, and confident that art, science, poetry, and the good of the world were happily advanced thereby--Gipsy had become, though technically not a wildcat, undoubtedly the most untamed cat at large in the civilized world.	His soul was in that walk and in that eye; it could be read-the soul of a bravo of fortune, living on his wits and his valour, asking no favours and granting no quarter. Intolerant, proud, sullen, yet watchful and constantly planning-purely a militarist, believing in slaughter as in a religion, and confident that art, science, poetry, and the good of the world were happily advanced thereby-Gipsy had become, though technically not a wildcat, undoubtedly the most untamed cat at large in the civilized world.	true	219.47	257.95	21.726526
4519_80189_000007_000006	Such, in brief, was the terrifying creature which now elongated its neck, and, over the top step of the porch, bent a calculating scrutiny upon the wistful and slumberous Duke.	Such, in brief, was the terrifying creature which now elongated its neck, and, over the top step of the porch, bent a calculating scrutiny upon the wistful and slumberous Duke.	true	258.05	270.58	22.277603
4519_80189_000008_000000	The scrutiny was searching but not prolonged.	The scrutiny was searching but not prolonged.	true	271.4	274.48	22.322027
4519_80189_000008_000001	Gipsy muttered contemptuously to himself, "Oh, sheol; I'm not afraid o' _that_!" And he approached the fishbone, his padded feet making no noise upon the boards.	Gipsy muttered contemptuously to himself, "Oh, sheol; I'm not afraid o' underscore that underscore!" And he approached the fishbone, his padded feet making no noise upon the boards.	false	274.61	285.97	21.314737
4519_80189_000008_000002	It was a desirable fishbone, large, with a considerable portion of the fish's tail still attached to it.	It was a desirable fishbone, large, with a considerable portion of the fish's tail still attached to it.	true	286.37	292.78	21.291807
4519_80189_000009_000000	It was about a foot from Duke's nose, and the little dog's dreams began to be troubled by his olfactory nerve.	It was about a foot from Duke's nose, and the little dog's dreams began to be troubled by his olfactory nerve.	true	293.03	299.38	21.930758
4519_80189_000009_000001	This faithful sentinel, on guard even while Duke slept, signalled that alarums and excursions by parties unknown were taking place, and suggested that attention might well be paid.	This faithful sentinel, on guard even while Duke slept, signalled that alarums and excursions by parties unknown were taking place, and suggested that attention might well be paid.	true	299.63	311.86	21.638798
4519_80189_000009_000002	Duke opened one drowsy eye.	Duke opened one drowsy eye.	true	312.41	314.86	21.509129
4519_80189_000009_000003	What that eye beheld was monstrous.	What that eye beheld was monstrous.	true	315.35	318.61	20
4519_80189_000010_000000	Here was a strange experience--the horrific vision in the midst of things so accustomed.	Here was a strange experience-the horrific vision in the midst of things so accustomed.	true	319.19	325.59	22.358467
4519_80189_000010_000001	Sunshine fell sweetly upon porch and backyard; yonder was the familiar stable, and from its interior came the busy hum of a carpenter shop, established that morning by Duke's young master, in association with Samuel Williams and Herman.	Sunshine fell sweetly upon porch and backyard; yonder was the familiar stable, and from its interior came the busy hum of a carpenter shop, established that morning by Duke's young master, in association with Samuel Williams and Herman.	true	325.59	341.08	20
4519_80189_000010_000002	Here, close by, were the quiet refuse-can and the wonted brooms and mops leaning against the latticed wall at the end of the porch, and there, by the foot of the steps, was the stone slab of the cistern, with the iron cover displaced and lying beside the round opening, where the carpenters had left it, not half an hour ago, after lowering a stick of wood into the water, "to season it." All about Duke were these usual and reassuring environs of his daily life, and yet it was his fate to behold, right in the midst of them, and in ghastly juxtaposition to his face, a thing of nightmare and lunacy.	Here, close by, were the quiet refuse can and the wonted brooms and mops leaning against the latticed wall at the end of the porch, and there, by the foot of the steps, was the stone slab of the cistern, with the iron cover displaced and lying beside the round opening, where the carpenters had left it, not half an hour ago, after lowering a stick of wood into the water, "to season it." All about Duke were these usual and reassuring environs of his daily life, and yet it was his fate to behold, right in the midst of them, and in ghastly juxtaposition to his face, a thing of nightmare and lunacy.	true	341.54	378.76	22.228327
4519_80189_000011_000000	Gipsy had seized the fishbone by the middle.	Gipsy had seized the fishbone by the middle.	true	379.31	382.03	22.68658
4519_80189_000011_000001	Out from one side of his head, and mingling with his whiskers, projected the long, spiked spine of the big fish: down from the other side of that ferocious head dangled the fish's tail, and from above the remarkable effect thus produced shot the intolerable glare of two yellow eyes.	Out from one side of his head, and mingling with his whiskers, projected the long, spiked spine of the big fish: down from the other side of that ferocious head dangled the fish's tail, and from above the remarkable effect thus produced shot the intolerable glare of two yellow eyes.	true	382.1	399.43	21.912704
4519_80189_000011_000002	To the gaze of Duke, still blurred by slumber, this monstrosity was all of one piece--the bone seemed a living part of it.	To the gaze of Duke, still blurred by slumber, this monstrosity was all of one piece-the bone seemed a living part of it.	true	399.71	407.89	22.218328
4519_80189_000011_000003	What he saw was like those interesting insect-faces which the magnifying glass reveals to great M. Fabre.	What he saw was like those interesting insect faces which the magnifying glass reveals to great m Fabre.	false	408.02	414.76	19
4519_80189_000011_000004	It was impossible for Duke to maintain the philosophic calm of M. Fabre, however; there was no magnifying glass between him and this spined and spiky face.	It was impossible for Duke to maintain the philosophic calm of m Fabre, however; there was no magnifying glass between him and this spined and spiky face.	false	415.22	424.93	21.491886
4519_80189_000011_000005	Indeed, Duke was not in a position to think the matter over quietly.	Indeed, Duke was not in a position to think the matter over quietly.	true	425.39	429.76	20.73225
4519_80189_000011_000006	If he had been able to do that, he would have said to himself: "We have here an animal of most peculiar and unattractive appearance, though, upon examination, it seems to be only a cat stealing a fishbone. Nevertheless, as the thief is large beyond all my recollection of cats and has an unpleasant stare, I will leave this spot at once."	If he had been able to do that, he would have said to himself: "We have here an animal of most peculiar and unattractive appearance, though, upon examination, it seems to be only a cat stealing a fishbone. Nevertheless, as the thief is large beyond all my recollection of cats and has an unpleasant stare, I will leave this spot at once."	true	429.89	452.8	22.66231
4519_80189_000012_000000	On the contrary, Duke was so electrified by his horrid awakening that he completely lost his presence of mind.	On the contrary, Duke was so electrified by his horrid awakening that he completely lost his presence of mind.	true	453.95	461.98	23.523756
4519_80189_000012_000001	In the very instant of his first eye's opening, the other eye and his mouth behaved similarly, the latter loosing upon the quiet air one shriek of mental agony before the little dog scrambled to his feet and gave further employment to his voice in a frenzy of profanity.	In the very instant of his first eye's opening, the other eye and his mouth behaved similarly, the latter loosing upon the quiet air one shriek of mental agony before the little dog scrambled to his feet and gave further employment to his voice in a frenzy of profanity.	true	462.05	479.11	21
4519_80189_000012_000002	At the same time the subterranean diapason of a demoniac bass viol was heard; it rose to a wail, and rose and rose again till it screamed like a small siren.	At the same time the subterranean diapason of a demoniac bass viol was heard; it rose to a wail, and rose and rose again till it screamed like a small siren.	true	479.39	491.56	19
4519_80189_000012_000003	It was Gipsy's war-cry, and, at the sound of it, Duke became a frothing maniac.	It was Gipsy's war cry, and, at the sound of it, Duke became a frothing maniac.	true	491.78	497.68	24.4666
4519_80189_000012_000004	He made a convulsive frontal attack upon the hobgoblin--and the massacre began.	He made a convulsive frontal attack upon the hobgoblin-and the massacre began.	true	497.72	503.47	21.693773
4519_80189_000013_000000	Never releasing the fishbone for an instant, Gipsy laid back his ears in a chilling way, beginning to shrink into himself like a concertina, but rising amidships so high that he appeared to be giving an imitation of that peaceful beast, the dromedary.	Never releasing the fishbone for an instant, Gipsy laid back his ears in a chilling way, beginning to shrink into himself like a concertina, but rising amidships so high that he appeared to be giving an imitation of that peaceful beast, the dromedary.	true	504.02	518.47	19.972769
4519_80189_000013_000001	Such was not his purpose, however, for, having attained his greatest possible altitude, he partially sat down and elevated his right arm after the manner of a semaphore.	Such was not his purpose, however, for, having attained his greatest possible altitude, he partially sat down and elevated his right arm after the manner of a semaphore.	true	518.75	528.88	22
4519_80189_000013_000002	This semaphore arm remained rigid for a second, threatening; then it vibrated with inconceivable rapidity, feinting.	This semaphore arm remained rigid for a second, threatening; then it vibrated with inconceivable rapidity, feinting.	true	529.31	537.19	21.191164
4519_80189_000013_000003	But it was the treacherous left that did the work.	But it was the treacherous left that did the work.	true	537.29	540.015	24.81666
4519_80189_000013_000004	Seemingly this left gave Duke three lightning little pats upon the right ear, but the change in his voice indicated that these were no love-taps.	Seemingly this left gave Duke three lightning little pats upon the right ear, but the change in his voice indicated that these were no love taps.	true	540.015	549.01	22.158861
4519_80189_000013_000005	He yelled "help!" and "bloody murder!"	He yelled "help!" and "bloody murder!"	false	549.08	552.1	20.19235
4519_80189_000014_000000	Never had such a shattering uproar, all vocal, broken out upon a peaceful afternoon.	Never had such a shattering uproar, all vocal, broken out upon a peaceful afternoon.	true	552.35	558.04	25
4519_80189_000014_000001	Gipsy possessed a vocabulary for cat-swearing certainly second to none out of Italy, and probably equal to the best there, while Duke remembered and uttered things he had not thought of for years.	Gipsy possessed a vocabulary for cat swearing certainly second to none out of Italy, and probably equal to the best there, while Duke remembered and uttered things he had not thought of for years.	true	558.11	569.62	22.507519
4519_80189_000015_000000	The hum of the carpenter shop ceased, and Sam Williams appeared in the stable doorway.	The hum of the carpenter shop ceased, and Sam Williams appeared in the stable doorway.	true	570.11	575.5	21.27131
4519_80189_000015_000001	He stared insanely.	He stared insanely.	true	575.69	577.63	22.207447
4519_80189_000016_000000	"My gorry!" he shouted.	"My gorry!" he shouted.	true	578.06	580.21	21.67875
4519_80189_000016_000001	"Duke's havin' a fight with the biggest cat you ever saw in your life!	"Duke's havin' a fight with the biggest cat you ever saw in your life!	true	580.28	584.17	22.647154
4519_80189_000016_000002	C'mon!"	C'mon!"	true	584.33	585.34	24.276966
4519_80189_000017_000000	His feet were already in motion toward the battlefield, with Penrod and Herman hurrying in his wake.	His feet were already in motion toward the battlefield, with Penrod and Herman hurrying in his wake.	true	585.95	592.02	20.121008
4519_80189_000017_000001	Onward they sped, and Duke was encouraged by the sight and sound of these reinforcements to increase his own outrageous clamours and to press home his attack.	Onward they sped, and Duke was encouraged by the sight and sound of these reinforcements to increase his own outrageous clamours and to press home his attack.	true	592.02	602.02	22.48688
4519_80189_000017_000002	But he was ill-advised.	But he was ill advised.	true	602.06	604.09	20.420776
4519_80189_000017_000003	This time it was the right arm of the semaphore that dipped--and Duke's honest nose was but too conscious of what happened in consequence.	This time it was the right arm of the semaphore that dipped-and Duke's honest nose was but too conscious of what happened in consequence.	true	604.16	612.04	23.538458
4519_80189_000018_000000	A lump of dirt struck the refuse-can with violence, and Gipsy beheld the advance of overwhelming forces.	A lump of dirt struck the refuse can with violence, and Gipsy beheld the advance of overwhelming forces.	true	612.32	619.12	19.842848
4519_80189_000018_000001	They rushed upon him from two directions, cutting off the steps of the porch.	They rushed upon him from two directions, cutting off the steps of the porch.	true	619.37	624.07	23.341705
4519_80189_000018_000002	Undaunted, the formidable cat raked Duke's nose again, somewhat more lingeringly, and prepared to depart with his fishbone.	Undaunted, the formidable cat raked Duke's nose again, somewhat more lingeringly, and prepared to depart with his fishbone.	true	624.23	631.9	22
4519_80189_000018_000003	He had little fear for himself, because he was inclined to think that, unhampered, he could whip anything on earth; still, things seemed to be growing rather warm and he saw nothing to prevent his leaving.	He had little fear for himself, because he was inclined to think that, unhampered, he could whip anything on earth; still, things seemed to be growing rather warm and he saw nothing to prevent his leaving.	true	632.03	644.8	21.785305
4519_80189_000019_000000	And though he could laugh in the face of so unequal an antagonist as Duke, Gipsy felt that he was never at his best or able to do himself full justice unless he could perform that feline operation inaccurately known as "spitting." To his notion, this was an absolute essential to combat; but, as all cats of the slightest pretensions to technique perfectly understand, it can neither be well done nor produce the best effects unless the mouth be opened to its utmost capacity so as to expose the beginnings of the alimentary canal, down which--at least that is the intention of the threat--the opposing party will soon be passing. And Gipsy could not open his mouth without relinquishing his fishbone.	And though he could laugh in the face of so unequal an antagonist as Duke, Gipsy felt that he was never at his best or able to do himself full justice unless he could perform that feline operation inaccurately known as "spitting." To his notion, this was an absolute essential to combat; but, as all cats of the slightest pretensions to technique perfectly understand, it can neither be well done nor produce the best effects unless the mouth be opened to its utmost capacity so as to expose the beginnings of the alimentary canal, down which-at least that is the intention of the threat-the opposing party will soon be passing. And Gipsy could not open his mouth without relinquishing his fishbone.	false	645.11	691.57	22.473232
4519_80189_000020_000000	Therefore, on small accounts he decided to leave the field to his enemies and to carry the fishbone elsewhere.	Therefore, on small accounts he decided to leave the field to his enemies and to carry the fishbone elsewhere.	true	691.94	699.61	21.662416
4519_80189_000020_000001	He took two giant leaps. The first landed him upon the edge of the porch.	He took two giant leaps. The first landed him upon the edge of the porch.	true	700.04	705.25	24.480785
4519_80189_000020_000002	There, without an instant's pause, he gathered his fur-sheathed muscles, concentrated himself into one big steel spring, and launched himself superbly into space.	There, without an instant's pause, he gathered his fur sheathed muscles, concentrated himself into one big steel spring, and launched himself superbly into space.	true	705.32	716.59	21.449617
4519_80189_000020_000003	He made a stirring picture, however brief, as he left the solid porch behind him and sailed upward on an ascending curve into the sunlit air.	He made a stirring picture, however brief, as he left the solid porch behind him and sailed upward on an ascending curve into the sunlit air.	true	716.81	727.33	23
4519_80189_000020_000004	His head was proudly up; he was the incarnation of menacing power and of self-confidence.	His head was proudly up; he was the incarnation of menacing power and of self confidence.	true	727.52	734.53	20.228662
4519_80189_000020_000005	It is possible that the white-fish's spinal column and flopping tail had interfered with his vision, and in launching himself he may have mistaken the dark, round opening of the cistern for its dark, round cover.	It is possible that the white fish's spinal column and flopping tail had interfered with his vision, and in launching himself he may have mistaken the dark, round opening of the cistern for its dark, round cover.	true	735.71	749.95	21
4519_80189_000020_000006	In that case, it was a leap calculated and executed with precision, for as the boys clamoured their pleased astonishment, Gipsy descended accurately into the orifice and passed majestically from public view, with the fishbone still in his mouth and his haughty head still high.	In that case, it was a leap calculated and executed with precision, for as the boys clamoured their pleased astonishment, Gipsy descended accurately into the orifice and passed majestically from public view, with the fishbone still in his mouth and his haughty head still high.	true	750.32	769.39	23.070488
4519_80189_000021_000000	There was a grand splash!	There was a grand splash!	false	769.91	771.39	17.271297
4519_80189_000021_000001	BOOTH TARKINGTON.	BOOTH TARKINGTON.	false	771.39	771.81	16
4519_80189_000022_000000	THE BLUE DRYAD	THE BLUE DRYAD	false	771.81	772.47	3
4519_80189_000023_000000	"According to that theory"--said a critical friend, _a propos_ of the last story but one--"susceptibility of 'discipline' would be the chief test of animal character, which means that the best dogs get their character from men.	"According to that theory"--said a critical friend, underscore a propos underscore of the last story but one-"susceptibility of 'discipline' would be the chief test of animal character, which means that the best dogs get their character from men.	false	772.47	782.31	17.533997
4519_80189_000023_000001	If so--"	If so-"	false	782.31	782.82	-20
