459_127522_000000_000000	14	fourteen
459_127522_000011_000000	I could tell the direction of the speakers pretty exactly, not only by the sound of their voices but by the behaviour of the few birds that still hung in alarm above the heads of the intruders.	I could tell the direction of the speakers pretty exactly, not only by the sound of their voices but by the behaviour of the few birds that still hung in alarm above the heads of the intruders.
459_127522_000012_000000	Crawling on all fours, I made steadily but slowly towards them, till at last, raising my head to an aperture among the leaves, I could see clear down into a little green dell beside the marsh, and closely set about with trees, where Long John Silver and another of the crew stood face to face in conversation.	Crawling on all fours, I made steadily but slowly towards them, till at last, raising my head to an aperture among the leaves, I could see clear down into a little green dell beside the marsh, and closely set about with trees, where Long john Silver and another of the crew stood face to face in conversation.
459_127522_000013_000000	The sun beat full upon them.	The sun beat full upon them.
459_127522_000013_000001	Silver had thrown his hat beside him on the ground, and his great, smooth, blond face, all shining with heat, was lifted to the other man's in a kind of appeal.	Silver had thrown his hat beside him on the ground, and his great, smooth, blond face, all shining with heat, was lifted to the other man's in a kind of appeal.
459_127522_000014_000000	"Mate," he was saying, "it's because I thinks gold dust of you--gold dust, and you may lay to that!	"Mate," he was saying, "it's because I thinks gold dust of you-gold dust, and you may lay to that!
459_127522_000014_000001	If I hadn't took to you like pitch, do you think I'd have been here a-warning of you?	If I hadn't took to you like pitch, do you think I'd have been here a warning of you?
459_127522_000015_000000	"Silver," said the other man--and I observed he was not only red in the face, but spoke as hoarse as a crow, and his voice shook too, like a taut rope--"Silver," says he, "you're old, and you're honest, or has the name for it; and you've money too, which lots of poor sailors hasn't; and you're brave, or I'm mistook.	"Silver," said the other man-and I observed he was not only red in the face, but spoke as hoarse as a crow, and his voice shook too, like a taut rope-"Silver," says he, "you're old, and you're honest, or has the name for it; and you've money too, which lots of poor sailors hasn't; and you're brave, or I'm mistook.
459_127522_000015_000001	And will you tell me you'll let yourself be led away with that kind of a mess of swabs?	And will you tell me you'll let yourself be led away with that kind of a mess of swabs?
459_127522_000015_000002	Not you!	Not you!
459_127522_000015_000003	As sure as God sees me, I'd sooner lose my hand.	As sure as God sees me, I'd sooner lose my hand.
459_127522_000015_000004	If I turn agin my dooty--"	If I turn agin my dooty-"
459_127522_000016_000000	And then all of a sudden he was interrupted by a noise.	And then all of a sudden he was interrupted by a noise.
459_127522_000016_000001	I had found one of the honest hands--well, here, at that same moment, came news of another.	I had found one of the honest hands-well, here, at that same moment, came news of another.
459_127522_000016_000002	Far away out in the marsh there arose, all of a sudden, a sound like the cry of anger, then another on the back of it; and then one horrid, long-drawn scream.	Far away out in the marsh there arose, all of a sudden, a sound like the cry of anger, then another on the back of it; and then one horrid, long drawn scream.
459_127522_000016_000003	The rocks of the Spy-glass re-echoed it a score of times; the whole troop of marsh-birds rose again, darkening heaven, with a simultaneous whirr; and long after that death yell was still ringing in my brain, silence had re-established its empire, and only the rustle of the redescending birds and the boom of the distant surges disturbed the languor of the afternoon.	The rocks of the Spy glass re echoed it a score of times; the whole troop of marsh birds rose again, darkening heaven, with a simultaneous whirr; and long after that death yell was still ringing in my brain, silence had re-established its empire, and only the rustle of the redescending birds and the boom of the distant surges disturbed the languor of the afternoon.
459_127522_000017_000000	Tom had leaped at the sound, like a horse at the spur, but Silver had not winked an eye.	Tom had leaped at the sound, like a horse at the spur, but Silver had not winked an eye.
459_127522_000017_000001	He stood where he was, resting lightly on his crutch, watching his companion like a snake about to spring.	He stood where he was, resting lightly on his crutch, watching his companion like a snake about to spring.
459_127522_000018_000000	"John!" said the sailor, stretching out his hand.	"john!" said the sailor, stretching out his hand.
459_127522_000019_000000	"Hands off!" cried Silver, leaping back a yard, as it seemed to me, with the speed and security of a trained gymnast.	"Hands off!" cried Silver, leaping back a yard, as it seemed to me, with the speed and security of a trained gymnast.
459_127522_000020_000000	"Hands off, if you like, John Silver," said the other.	"Hands off, if you like, john Silver," said the other.
459_127522_000020_000001	"It's a black conscience that can make you feared of me.	"It's a black conscience that can make you feared of me.
459_127522_000020_000002	But in heaven's name, tell me, what was that?"	But in heaven's name, tell me, what was that?"
459_127522_000021_000000	"That?" returned Silver, smiling away, but warier than ever, his eye a mere pin-point in his big face, but gleaming like a crumb of glass. "That?	"That?" returned Silver, smiling away, but warier than ever, his eye a mere pin point in his big face, but gleaming like a crumb of glass. "That?
459_127522_000022_000000	And at this point Tom flashed out like a hero.	And at this point Tom flashed out like a hero.
459_127522_000023_000000	"Alan!" he cried.	"Alan!" he cried.
459_127522_000023_000001	"Then rest his soul for a true seaman!	"Then rest his soul for a true seaman!
459_127522_000023_000002	And as for you, John Silver, long you've been a mate of mine, but you're mate of mine no more.	And as for you, john Silver, long you've been a mate of mine, but you're mate of mine no more.
459_127522_000023_000003	If I die like a dog, I'll die in my dooty.	If I die like a dog, I'll die in my dooty.
459_127522_000023_000004	You've killed Alan, have you?	You've killed Alan, have you?
459_127522_000023_000005	Kill me too, if you can.	Kill me too, if you can.
459_127522_000023_000006	But I defies you."	But I defies you."
459_127522_000024_000000	And with that, this brave fellow turned his back directly on the cook and set off walking for the beach.	And with that, this brave fellow turned his back directly on the cook and set off walking for the beach.
459_127522_000024_000001	But he was not destined to go far. With a cry John seized the branch of a tree, whipped the crutch out of his armpit, and sent that uncouth missile hurtling through the air. It struck poor Tom, point foremost, and with stunning violence, right between the shoulders in the middle of his back.	But he was not destined to go far. With a cry john seized the branch of a tree, whipped the crutch out of his armpit, and sent that uncouth missile hurtling through the air. It struck poor Tom, point foremost, and with stunning violence, right between the shoulders in the middle of his back.
459_127522_000024_000002	His hands flew up, he gave a sort of gasp, and fell.	His hands flew up, he gave a sort of gasp, and fell.
459_127522_000025_000000	Whether he were injured much or little, none could ever tell.	Whether he were injured much or little, none could ever tell.
459_127522_000025_000001	Like enough, to judge from the sound, his back was broken on the spot.	Like enough, to judge from the sound, his back was broken on the spot.
459_127522_000025_000002	But he had no time given him to recover.	But he had no time given him to recover.
459_127522_000025_000003	Silver, agile as a monkey even without leg or crutch, was on the top of him next moment and had twice buried his knife up to the hilt in that defenceless body.	Silver, agile as a monkey even without leg or crutch, was on the top of him next moment and had twice buried his knife up to the hilt in that defenceless body.
459_127522_000025_000004	From my place of ambush, I could hear him pant aloud as he struck the blows.	From my place of ambush, I could hear him pant aloud as he struck the blows.
459_127522_000026_000000	I do not know what it rightly is to faint, but I do know that for the next little while the whole world swam away from before me in a whirling mist; Silver and the birds, and the tall Spy-glass hilltop, going round and round and topsy-turvy before my eyes, and all manner of bells ringing and distant voices shouting in my ear.	I do not know what it rightly is to faint, but I do know that for the next little while the whole world swam away from before me in a whirling mist; Silver and the birds, and the tall Spy glass hilltop, going round and round and topsy turvy before my eyes, and all manner of bells ringing and distant voices shouting in my ear.
459_127522_000027_000000	When I came again to myself the monster had pulled himself together, his crutch under his arm, his hat upon his head.	When I came again to myself the monster had pulled himself together, his crutch under his arm, his hat upon his head.
459_127522_000028_000000	But now John put his hand into his pocket, brought out a whistle, and blew upon it several modulated blasts that rang far across the heated air.	But now john put his hand into his pocket, brought out a whistle, and blew upon it several modulated blasts that rang far across the heated air.
459_127522_000028_000001	I could not tell, of course, the meaning of the signal, but it instantly awoke my fears.	I could not tell, of course, the meaning of the signal, but it instantly awoke my fears.
459_127522_000028_000002	More men would be coming.	More men would be coming.
459_127522_000028_000003	I might be discovered.	I might be discovered.
459_127522_000028_000004	They had already slain two of the honest people; after Tom and Alan, might not I come next?	They had already slain two of the honest people; after Tom and Alan, might not I come next?
459_127522_000029_000000	Instantly I began to extricate myself and crawl back again, with what speed and silence I could manage, to the more open portion of the wood.	Instantly I began to extricate myself and crawl back again, with what speed and silence I could manage, to the more open portion of the wood.
459_127522_000029_000001	As I did so, I could hear hails coming and going between the old buccaneer and his comrades, and this sound of danger lent me wings.	As I did so, I could hear hails coming and going between the old buccaneer and his comrades, and this sound of danger lent me wings.
459_127522_000029_000002	As soon as I was clear of the thicket, I ran as I never ran before, scarce minding the direction of my flight, so long as it led me from the murderers; and as I ran, fear grew and grew upon me until it turned into a kind of frenzy.	As soon as I was clear of the thicket, I ran as I never ran before, scarce minding the direction of my flight, so long as it led me from the murderers; and as I ran, fear grew and grew upon me until it turned into a kind of frenzy.
459_127522_000030_000000	Indeed, could anyone be more entirely lost than I?	Indeed, could anyone be more entirely lost than I?
459_127522_000030_000001	When the gun fired, how should I dare to go down to the boats among those fiends, still smoking from their crime?	When the gun fired, how should I dare to go down to the boats among those fiends, still smoking from their crime?
459_127522_000030_000002	Would not the first of them who saw me wring my neck like a snipe's?	Would not the first of them who saw me wring my neck like a snipe's?
459_127522_000030_000003	Would not my absence itself be an evidence to them of my alarm, and therefore of my fatal knowledge?	Would not my absence itself be an evidence to them of my alarm, and therefore of my fatal knowledge?
459_127522_000030_000004	It was all over, I thought.	It was all over, I thought.
459_127522_000030_000005	Good-bye to the HISPANIOLA; good-bye to the squire, the doctor, and the captain!	Good bye to the HISPANIOLA; good bye to the squire, the doctor, and the captain!
459_127522_000030_000006	There was nothing left for me but death by starvation or death by the hands of the mutineers.	There was nothing left for me but death by starvation or death by the hands of the mutineers.
459_127522_000031_000000	All this while, as I say, I was still running, and without taking any notice, I had drawn near to the foot of the little hill with the two peaks and had got into a part of the island where the live-oaks grew more widely apart and seemed more like forest trees in their bearing and dimensions.	All this while, as I say, I was still running, and without taking any notice, I had drawn near to the foot of the little hill with the two peaks and had got into a part of the island where the live oaks grew more widely apart and seemed more like forest trees in their bearing and dimensions.
459_127522_000031_000001	Mingled with these were a few scattered pines, some fifty, some nearer seventy, feet high.	Mingled with these were a few scattered pines, some fifty, some nearer seventy, feet high.
459_127522_000031_000002	The air too smelt more freshly than down beside the marsh.	The air too smelt more freshly than down beside the marsh.
459_127522_000032_000000	And here a fresh alarm brought me to a standstill with a thumping heart.	And here a fresh alarm brought me to a standstill with a thumping heart.
