369_125882_000007_000000	CHAPTER 35	CHAPTER thirty five
369_125882_000015_000006	He was the one who gave me the five gold pieces for you, but I met the Fox and the Cat, who took me to the Inn of the Red Lobster.	He was the one who gave me the five gold pieces for you, but I met the Fox and the Cat, who took me to the Inn of the Red Lobster.
369_125882_000015_000007	There they ate like wolves and I left the Inn alone and I met the Assassins in the wood.	There they ate like wolves and I left the Inn alone and I met the Assassins in the wood.
369_125882_000015_000010	It grew and it grew, till I couldn't get it through the door of the room.	It grew and it grew, till I couldn't get it through the door of the room.
369_125882_000015_000014	The trap caught me and the Farmer put a collar on me and made me a watchdog.	The trap caught me and the Farmer put a collar on me and made me a watchdog.
369_125882_000015_000015	He found out I was innocent when I caught the Weasels and he let me go.	He found out I was innocent when I caught the Weasels and he let me go.
369_125882_000016_000001	The sea was rough and the whitecaps overturned the boat.	The sea was rough and the whitecaps overturned the boat.
369_125882_000017_000000	"And how long have you been shut away in here?"	"And how long have you been shut away in here?"
369_125882_000019_000002	And the matches with which to light it--where did you get them?"	And the matches with which to light it-where did you get them?"
369_125882_000020_000001	The sailors were all saved, but the ship went right to the bottom of the sea, and the same Terrible Shark that swallowed me, swallowed most of it."	The sailors were all saved, but the ship went right to the bottom of the sea, and the same Terrible Shark that swallowed me, swallowed most of it."
369_125882_000021_000000	"What!	"What!
369_125882_000021_000001	Swallowed a ship?" asked Pinocchio in astonishment.	Swallowed a ship?" asked Pinocchio in astonishment.
369_125882_000022_000000	"At one gulp.	"At one gulp.
369_125882_000022_000002	To my own good luck, that ship was loaded with meat, preserved foods, crackers, bread, bottles of wine, raisins, cheese, coffee, sugar, wax candles, and boxes of matches.	To my own good luck, that ship was loaded with meat, preserved foods, crackers, bread, bottles of wine, raisins, cheese, coffee, sugar, wax candles, and boxes of matches.
369_125882_000023_000000	"And then?"	"And then?"
369_125882_000025_000000	"Then, my dear Father," said Pinocchio, "there is no time to lose.	"Then, my dear Father," said Pinocchio, "there is no time to lose.
369_125882_000025_000001	We must try to escape."	We must try to escape."
369_125882_000026_000000	"Escape!	"Escape!
369_125882_000026_000001	How?"	How?"
369_125882_000027_000000	"We can run out of the Shark's mouth and dive into the sea."	"We can run out of the Shark's mouth and dive into the sea."
369_125882_000028_000000	"You speak well, but I cannot swim, my dear Pinocchio."	"You speak well, but I cannot swim, my dear Pinocchio."
369_125882_000029_000000	"Why should that matter?	"Why should that matter?
369_125882_000029_000001	You can climb on my shoulders and I, who am a fine swimmer, will carry you safely to the shore."	You can climb on my shoulders and I, who am a fine swimmer, will carry you safely to the shore."
369_125882_000031_000001	And in any case, if it is written that we must die, we shall at least die together."	And in any case, if it is written that we must die, we shall at least die together."
369_125882_000033_000000	"Follow me and have no fear."	"Follow me and have no fear."
369_125882_000034_000000	They walked a long distance through the stomach and the whole body of the Shark.	They walked a long distance through the stomach and the whole body of the Shark.
369_125882_000034_000001	When they reached the throat of the monster, they stopped for a while to wait for the right moment in which to make their escape.	When they reached the throat of the monster, they stopped for a while to wait for the right moment in which to make their escape.
369_125882_000035_000000	I want you to know that the Shark, being very old and suffering from asthma and heart trouble, was obliged to sleep with his mouth open. Because of this, Pinocchio was able to catch a glimpse of the sky filled with stars, as he looked up through the open jaws of his new home.	I want you to know that the Shark, being very old and suffering from asthma and heart trouble, was obliged to sleep with his mouth open. Because of this, Pinocchio was able to catch a glimpse of the sky filled with stars, as he looked up through the open jaws of his new home.
369_125882_000036_000000	"The time has come for us to escape," he whispered, turning to his father.	"The time has come for us to escape," he whispered, turning to his father.
369_125882_000036_000001	"The Shark is fast asleep.	"The Shark is fast asleep.
369_125882_000036_000002	The sea is calm and the night is as bright as day.	The sea is calm and the night is as bright as day.
369_125882_000036_000003	Follow me closely, dear Father, and we shall soon be saved."	Follow me closely, dear Father, and we shall soon be saved."
369_125882_000037_000001	They climbed up the throat of the monster till they came to that immense open mouth.	They climbed up the throat of the monster till they came to that immense open mouth.
369_125882_000037_000002	There they had to walk on tiptoes, for if they tickled the Shark's long tongue he might awaken--and where would they be then?	There they had to walk on tiptoes, for if they tickled the Shark's long tongue he might awaken-and where would they be then?
369_125882_000037_000003	The tongue was so wide and so long that it looked like a country road.	The tongue was so wide and so long that it looked like a country road.
369_125882_000038_000000	To make matters worse, the candle went out and father and son were left in the dark.	To make matters worse, the candle went out and father and son were left in the dark.
369_125882_000039_000000	"And now?" asked Pinocchio with a serious face.	"And now?" asked Pinocchio with a serious face.
369_125882_000040_000000	"Now we are lost."	"Now we are lost."
369_125882_000041_000000	"Why lost?	"Why lost?
369_125882_000041_000001	Give me your hand, dear Father, and be careful not to slip!"	Give me your hand, dear Father, and be careful not to slip!"
369_125882_000042_000000	"Where will you take me?"	"Where will you take me?"
369_125882_000043_000000	"We must try again.	"We must try again.
369_125882_000043_000001	Come with me and don't be afraid."	Come with me and don't be afraid."
369_125882_000044_000000	With these words Pinocchio took his father by the hand and, always walking on tiptoes, they climbed up the monster's throat for a second time.	With these words Pinocchio took his father by the hand and, always walking on tiptoes, they climbed up the monster's throat for a second time.
369_125882_000044_000002	But before they took the last great leap, the Marionette said to his father:	But before they took the last great leap, the Marionette said to his father:
369_125882_000045_000000	"Climb on my back and hold on tightly to my neck.	"Climb on my back and hold on tightly to my neck.
369_125882_000045_000001	I'll take care of everything else."	I'll take care of everything else."
369_125882_000046_000000	As soon as Geppetto was comfortably seated on his shoulders, Pinocchio, very sure of what he was doing, dived into the water and started to swim.	As soon as Geppetto was comfortably seated on his shoulders, Pinocchio, very sure of what he was doing, dived into the water and started to swim.
