724_123284_000002_000000	CHAPTER XXXI.	CHAPTER thirty one.
724_123284_000024_000000	"Horizontally, three hundred and fifty leagues from Iceland."	"Horizontally, three hundred and fifty leagues from Iceland."
724_123284_000025_000000	"So much as that?"	"So much as that?"
724_123284_000026_000000	"I am sure of not being a mile out of my reckoning."	"I am sure of not being a mile out of my reckoning."
724_123284_000027_000000	"And does the compass still show south-east?"	"And does the compass still show south-east?"
724_123284_000029_000000	"Would you then conclude," I said, "that the magnetic pole is somewhere between the surface of the globe and the point where we are?"	"Would you then conclude," I said, "that the magnetic pole is somewhere between the surface of the globe and the point where we are?"
724_123284_000030_000000	"Exactly so; and it is likely enough that if we were to reach the spot beneath the polar regions, about that seventy-first degree where Sir James Ross has discovered the magnetic pole to be situated, we should see the needle point straight up.	"Exactly so; and it is likely enough that if we were to reach the spot beneath the polar regions, about that seventy first degree where Sir james Ross has discovered the magnetic pole to be situated, we should see the needle point straight up.
724_123284_000030_000001	Therefore that mysterious centre of attraction is at no great depth."	Therefore that mysterious centre of attraction is at no great depth."
724_123284_000031_000000	I remarked: "It is so; and here is a fact which science has scarcely suspected."	I remarked: "It is so; and here is a fact which science has scarcely suspected."
724_123284_000032_000000	"Science, my lad, has been built upon many errors; but they are errors which it was good to fall into, for they led to the truth."	"Science, my lad, has been built upon many errors; but they are errors which it was good to fall into, for they led to the truth."
724_123284_000033_000000	"What depth have we now reached?"	"What depth have we now reached?"
724_123284_000034_000000	"We are thirty-five leagues below the surface."	"We are thirty five leagues below the surface."
724_123284_000036_000000	"Yes," answered the Professor laughing.	"Yes," answered the Professor laughing.
724_123284_000036_000002	The great Architect has built it of the best materials; and never could man have given it so wide a stretch.	The great Architect has built it of the best materials; and never could man have given it so wide a stretch.
724_123284_000036_000003	What are the finest arches of bridges and the arcades of cathedrals, compared with this far reaching vault, with a radius of three leagues, beneath which a wide and tempest-tossed ocean may flow at its ease?"	What are the finest arches of bridges and the arcades of cathedrals, compared with this far reaching vault, with a radius of three leagues, beneath which a wide and tempest tossed ocean may flow at its ease?"
724_123284_000037_000000	"Oh, I am not afraid that it will fall down upon my head.	"Oh, I am not afraid that it will fall down upon my head.
724_123284_000037_000001	But now what are your plans?	But now what are your plans?
724_123284_000037_000002	Are you not thinking of returning to the surface now?"	Are you not thinking of returning to the surface now?"
724_123284_000039_000000	"But how are we to get down below this liquid surface?"	"But how are we to get down below this liquid surface?"
724_123284_000040_000000	"Oh, I am not going to dive head foremost.	"Oh, I am not going to dive head foremost.
724_123284_000040_000001	But if all oceans are properly speaking but lakes, since they are encompassed by land, of course this internal sea will be surrounded by a coast of granite, and on the opposite shores we shall find fresh passages opening."	But if all oceans are properly speaking but lakes, since they are encompassed by land, of course this internal sea will be surrounded by a coast of granite, and on the opposite shores we shall find fresh passages opening."
724_123284_000041_000000	"How long do you suppose this sea to be?"	"How long do you suppose this sea to be?"
724_123284_000042_000000	"Thirty or forty leagues; so that we have no time to lose, and we shall set sail to-morrow."	"Thirty or forty leagues; so that we have no time to lose, and we shall set sail to morrow."
724_123284_000044_000000	"Set sail, shall we?	"Set sail, shall we?
724_123284_000044_000001	But I should like to see my boat first."	But I should like to see my boat first."
724_123284_000045_000000	"It will not be a boat at all, but a good, well-made raft."	"It will not be a boat at all, but a good, well made raft."
724_123284_000046_000000	"Why," I said, "a raft would be just as hard to make as a boat, and I don't see--"	"Why," I said, "a raft would be just as hard to make as a boat, and I don't see-"
724_123284_000047_000000	"I know you don't see; but you might hear if you would listen.	"I know you don't see; but you might hear if you would listen.
724_123284_000047_000001	Don't you hear the hammer at work?	Don't you hear the hammer at work?
724_123284_000049_000001	Come, and you will see for yourself."	Come, and you will see for yourself."
724_123284_000050_000000	After half an hour's walking, on the other side of the promontory which formed the little natural harbour, I perceived Hans at work.	After half an hour's walking, on the other side of the promontory which formed the little natural harbour, I perceived Hans at work.
724_123284_000050_000001	In a few more steps I was at his side.	In a few more steps I was at his side.
724_123284_000050_000002	To my great surprise a half-finished raft was already lying on the sand, made of a peculiar kind of wood, and a great number of planks, straight and bent, and of frames, were covering the ground, enough almost for a little fleet.	To my great surprise a half finished raft was already lying on the sand, made of a peculiar kind of wood, and a great number of planks, straight and bent, and of frames, were covering the ground, enough almost for a little fleet.
724_123284_000051_000000	"Uncle, what wood is this?" I cried.	"Uncle, what wood is this?" I cried.
724_123284_000052_000000	"It is fir, pine, or birch, and other northern coniferae, mineralised by the action of the sea.	"It is fir, pine, or birch, and other northern coniferae, mineralised by the action of the sea.
724_123284_000052_000001	It is called surturbrand, a variety of brown coal or lignite, found chiefly in Iceland."	It is called surturbrand, a variety of brown coal or lignite, found chiefly in Iceland."
724_123284_000054_000001	Just look," added my uncle, throwing into the sea one of those precious waifs.	Just look," added my uncle, throwing into the sea one of those precious waifs.
724_123284_000055_000000	The bit of wood, after disappearing, returned to the surface and oscillated to and fro with the waves.	The bit of wood, after disappearing, returned to the surface and oscillated to and fro with the waves.
724_123284_000056_000000	"Are you convinced?" said my uncle.	"Are you convinced?" said my uncle.
724_123284_000057_000000	"I am quite convinced, although it is incredible!"	"I am quite convinced, although it is incredible!"
724_123284_000058_000000	By next evening, thanks to the industry and skill of our guide, the raft was made.	By next evening, thanks to the industry and skill of our guide, the raft was made.
