4848_29108_000000_000000	CHAPTER XXVII.	CHAPTER twenty seven.	false	0.66	26.98	19.125805
4848_29108_000011_000007	I know you're doing all you can, and I don't want to seem repining and ungrateful--for I'm not, Beriah--you know I'm not, don't you?"	I know you're doing all you can, and I don't want to seem repining and ungrateful-for I'm not, Beriah-you know I'm not, don't you?"	true	234.92	243.67	20
4848_29108_000012_000000	"Lord bless you, child, I know you are the very best little woman that ever lived--that ever lived on the whole face of the Earth!	"Lord bless you, child, I know you are the very best little woman that ever lived-that ever lived on the whole face of the Earth!	false	244.16	251.56	16
4848_29108_000012_000001	And I know that I would be a dog not to work for you and think for you and scheme for you with all my might.	And I know that I would be a dog not to work for you and think for you and scheme for you with all my might.	false	251.75	258.16	17
4848_29108_000012_000002	And I'll bring things all right yet, honey--cheer up and don't you fear.	And I'll bring things all right yet, honey-cheer up and don't you fear.	true	258.56	262.695	23
4848_29108_000012_000003	The railroad----"	The railroad----"	true	262.695	263.89	20.690878
4848_29108_000013_000000	"Oh, I had forgotten the railroad, dear, but when a body gets blue, a body forgets everything.	"Oh, I had forgotten the railroad, dear, but when a body gets blue, a body forgets everything.	true	264.32	270.49	20.398415
4848_29108_000013_000001	Yes, the railroad--tell me about the railroad."	Yes, the railroad-tell me about the railroad."	true	270.8	273.75	18.294664
4848_29108_000014_000000	"Aha, my girl, don't you see?	"Aha, my girl, don't you see?	false	273.75	276.1	17.587364
4848_29108_000014_000001	Things ain't so dark, are they?	Things ain't so dark, are they?	true	276.29	278.29	22.725975
4848_29108_000014_000002	Now I didn't forget the railroad.	Now I didn't forget the railroad.	true	278.51	280.78	19.94212
4848_29108_000014_000003	Now just think for a moment--just figure up a little on the future dead moral certainties.	Now just think for a moment-just figure up a little on the future dead moral certainties.	true	280.97	287.11	21.319399
4848_29108_000014_000004	For instance, call this waiter St. Louis.	For instance, call this waiter saint Louis.	true	287.54	290.86	21.732876
4848_29108_000015_000000	"And we'll lay this fork (representing the railroad) from St. Louis to this potato, which is Slouchburg:	"And we'll lay this fork (representing the railroad) from saint Louis to this potato, which is Slouchburg:	true	291.59	300.58	20.041801
4848_29108_000016_000000	"Then with this carving knife we'll continue the railroad from Slouchburg to Doodleville, shown by the black pepper:	"Then with this carving knife we'll continue the railroad from Slouchburg to Doodleville, shown by the black pepper:	true	301.04	309.7	21.167639
4848_29108_000017_000000	"Then we run along the--yes--the comb--to the tumbler that's Brimstone:	"Then we run along the-yes-the comb-to the tumbler that's Brimstone:	true	310.19	316.75	19.664762
4848_29108_000018_000000	"Thence by the pipe to Belshazzar, which is the salt-cellar:	"Thence by the pipe to Belshazzar, which is the salt cellar:	true	317.33	322.48	22.719034
4848_29108_000019_000000	"Thence to, to--that quill--Catfish--hand me the pincushion, Marie Antoinette:	"Thence to, to-that quill-Catfish-hand me the pincushion, Marie Antoinette:	true	323.48	331.6	22.329971
4848_29108_000020_000000	"Thence right along these shears to this horse, Babylon:	"Thence right along these shears to this horse, Babylon:	true	332.06	336.43	19.05691
4848_29108_000021_000000	"Then by the spoon to Bloody Run--thank you, the ink:	"Then by the spoon to Bloody Run-thank you, the ink:	true	337.16	341.68	21.625507
4848_29108_000022_000000	"Thence to Hail Columbia--snuffers, Polly, please move that cup and saucer close up, that's Hail Columbia:	"Thence to Hail Columbia-snuffers, Polly, please move that cup and saucer close up, that's Hail Columbia:	true	342.08	350.05	23.506655
4848_29108_000023_000000	"Then--let me open my knife--to Hark-from-the-Tomb, where we'll put the candle-stick--only a little distance from Hail Columbia to Hark-from-the-Tomb--down-grade all the way.	"Then-let me open my knife-to Hark from the Tomb, where we'll put the candle stick-only a little distance from Hail Columbia to Hark from the Tomb-down grade all the way.	false	350.57	364.21	22.497337
4848_29108_000024_000000	"And there we strike Columbus River--pass me two or three skeins of thread to stand for the river; the sugar bowl will do for Hawkeye, and the rat trap for Stone's Landing--Napoleon, I mean--and you can see how much better Napoleon is located than Hawkeye.	"And there we strike Columbus River-pass me two or three skeins of thread to stand for the river; the sugar bowl will do for Hawkeye, and the rat trap for Stone's Landing-Napoleon, I mean-and you can see how much better Napoleon is located than Hawkeye.	true	365.12	384.04	21.178026
4848_29108_000024_000001	Now here you are with your railroad complete, and showing its continuation to Hallelujah and thence to Corruptionville.	Now here you are with your railroad complete, and showing its continuation to Hallelujah and thence to Corruptionville.	true	384.71	392.41	18
4848_29108_000025_000000	"Now then--there you are!	"Now then-there you are!	true	393.14	395.14	26.563747
4848_29108_000025_000001	It's a beautiful road, beautiful.	It's a beautiful road, beautiful.	true	395.66	397.75	21.6323
4848_29108_000025_000002	Jeff Thompson can out-engineer any civil engineer that ever sighted through an aneroid, or a theodolite, or whatever they call it--he calls it sometimes one and sometimes the other just whichever levels off his sentence neatest, I reckon.	Jeff Thompson can out engineer any civil engineer that ever sighted through an aneroid, or a theodolite, or whatever they call it-he calls it sometimes one and sometimes the other just whichever levels off his sentence neatest, I reckon.	true	398.15	415.99	19.008137
4848_29108_000025_000003	But ain't it a ripping road, though?	But ain't it a ripping road, though?	true	416.78	418.81	22.755207
4848_29108_000025_000004	I tell you, it'll make a stir when it gets along.	I tell you, it'll make a stir when it gets along.	true	419.12	422.26	20.441675
4848_29108_000025_000005	Just see what a country it goes through.	Just see what a country it goes through.	true	422.66	425.17	23.384506
4848_29108_000025_000006	There's your onions at Slouchburg--noblest onion country that graces God's footstool; and there's your turnip country all around Doodleville--bless my life, what fortunes are going to be made there when they get that contrivance perfected for extracting olive oil out of turnips--if there's any in them; and I reckon there is, because Congress has made an appropriation of money to test the thing, and they wouldn't have done that just on conjecture, of course.	There's your onions at Slouchburg-noblest onion country that graces God's footstool; and there's your turnip country all around Doodleville-bless my life, what fortunes are going to be made there when they get that contrivance perfected for extracting olive oil out of turnips-if there's any in them; and I reckon there is, because Congress has made an appropriation of money to test the thing, and they wouldn't have done that just on conjecture, of course.	false	425.75	458.89	21.316263
4848_29108_000025_000007	And now we come to the Brimstone region--cattle raised there till you can't rest--and corn, and all that sort of thing.	And now we come to the Brimstone region-cattle raised there till you can't rest-and corn, and all that sort of thing.	true	459.32	467.44	21.392374
4848_29108_000025_000008	Then you've got a little stretch along through Belshazzar that don't produce anything now--at least nothing but rocks--but irrigation will fetch it.	Then you've got a little stretch along through Belshazzar that don't produce anything now-at least nothing but rocks-but irrigation will fetch it.	true	467.78	478.24	19.84074
4848_29108_000025_000009	Then from Catfish to Babylon it's a little swampy, but there's dead loads of peat down under there somewhere.	Then from Catfish to Babylon it's a little swampy, but there's dead loads of peat down under there somewhere.	true	478.64	486.94	21.121964
4848_29108_000025_000010	Next is the Bloody Run and Hail Columbia country--tobacco enough can be raised there to support two such railroads.	Next is the Bloody Run and Hail Columbia country-tobacco enough can be raised there to support two such railroads.	true	487.52	496.63	22.987635
4848_29108_000025_000011	Next is the sassparilla region.	Next is the sassparilla region.	true	497.27	499.96	22
4848_29108_000025_000012	I reckon there's enough of that truck along in there on the line of the pocket-knife, from Hail Columbia to Hark-from-the Tomb to fat up all the consumptives in all the hospitals from Halifax to the Holy Land.	I reckon there's enough of that truck along in there on the line of the pocket knife, from Hail Columbia to Hark from the Tomb to fat up all the consumptives in all the hospitals from Halifax to the Holy Land.	true	500.24	514.23	20
4848_29108_000025_000013	It just grows like weeds!	It just grows like weeds!	false	514.23	516.25	21.893112
4848_29108_000025_000014	I've got a little belt of sassparilla land in there just tucked away unobstrusively waiting for my little Universal Expectorant to get into shape in my head.	I've got a little belt of sassparilla land in there just tucked away unobstrusively waiting for my little Universal Expectorant to get into shape in my head.	true	516.92	527.83	19
4848_29108_000025_000015	And I'll fix that, you know.	And I'll fix that, you know.	true	528.05	529.81	22.195227
4848_29108_000025_000016	One of these days I'll have all the nations of the earth expecto--"	One of these days I'll have all the nations of the earth expecto-"	false	530.06	534.27	20.447147
4848_29108_000026_000000	"But Beriah, dear--"	"But Beriah, dear-"	true	534.27	535.57	25
4848_29108_000027_000000	"Don't interrupt me; Polly--I don't want you to lose the run of the map--well, take your toy-horse, James Fitz-James, if you must have it--and run along with you.	"Don't interrupt me; Polly-I don't want you to lose the run of the map-well, take your toy horse, james Fitz james, if you must have it-and run along with you.	true	535.85	546.67	21.40867
4848_29108_000027_000001	Here, now--the soap will do for Babylon. Let me see--where was I? Oh yes--now we run down to Stone's Lan--Napoleon--now we run down to Napoleon.	Here, now-the soap will do for Babylon. Let me see-where was I? Oh yes-now we run down to Stone's Lan-Napoleon-now we run down to Napoleon.	false	547.46	560.38	19.514507
4848_29108_000027_000002	Beautiful road.	Beautiful road.	true	561.02	562.395	18.017208
4848_29108_000027_000003	Look at that, now.	Look at that, now.	true	562.395	563.59	27.513538
4848_29108_000027_000004	Perfectly straight line-straight as the way to the grave.	Perfectly straight line straight as the way to the grave.	true	564.08	568.06	21.313389
4848_29108_000028_000000	And see where it leaves Hawkeye-clear out in the cold, my dear, clear out in the cold.	And see where it leaves Hawkeye clear out in the cold, my dear, clear out in the cold.	true	568.31	573.79	21.008911
4848_29108_000028_000001	That town's as bound to die as--well if I owned it I'd get its obituary ready, now, and notify the mourners.	That town's as bound to die as-well if I owned it I'd get its obituary ready, now, and notify the mourners.	false	574.16	582.97	19.260633
4848_29108_000028_000002	Polly, mark my words--in three years from this, Hawkeye'll be a howling wilderness. You'll see.	Polly, mark my words-in three years from this, Hawkeye'll be a howling wilderness. You'll see.	true	583.67	591.73	20.205633
4848_29108_000028_000003	And just look at that river--noblest stream that meanders over the thirsty earth!--calmest, gentlest artery that refreshes her weary bosom!	And just look at that river-noblest stream that meanders over the thirsty earth!--calmest, gentlest artery that refreshes her weary bosom!	true	592.49	603.31	20.270094
4848_29108_000028_000004	Railroad goes all over it and all through it--wades right along on stilts.	Railroad goes all over it and all through it-wades right along on stilts.	true	603.95	609.82	19.000162
4848_29108_000028_000005	Seventeen bridges in three miles and a half--forty-nine bridges from Hark-from-the-Tomb to Stone's Landing altogether--forty nine bridges, and culverts enough to culvert creation itself! Hadn't skeins of thread enough to represent them all--but you get an idea--perfect trestle-work of bridges for seventy two miles: Jeff Thompson and I fixed all that, you know; he's to get the contracts and I'm to put them through on the divide.	Seventeen bridges in three miles and a half-forty nine bridges from Hark from the Tomb to Stone's Landing altogether-forty nine bridges, and culverts enough to culvert creation itself! Hadn't skeins of thread enough to represent them all-but you get an idea-perfect trestle work of bridges for seventy two miles: Jeff Thompson and I fixed all that, you know; he's to get the contracts and I'm to put them through on the divide.	false	610.37	643.09	20.42275
4848_29108_000028_000006	Just oceans of money in those bridges.	Just oceans of money in those bridges.	true	643.58	646.36	17.38418
4848_29108_000028_000007	It's the only part of the railroad I'm interested in,--down along the line--and it's all I want, too.	It's the only part of the railroad I'm interested in,--down along the line-and it's all I want, too.	false	646.64	653.56	19
4848_29108_000028_000008	It's enough, I should judge. Now here we are at Napoleon.	It's enough, I should judge. Now here we are at Napoleon.	true	654.5	659.41	21.310364
4848_29108_000028_000009	Good enough country plenty good enough--all it wants is population.	Good enough country plenty good enough-all it wants is population.	false	659.99	664.63	22.474167
4848_29108_000028_000010	That's all right--that will come.	That's all right-that will come.	true	665.42	667.54	24.581059
4848_29108_000028_000011	And it's no bad country now for calmness and solitude, I can tell you--though there's no money in that, of course.	And it's no bad country now for calmness and solitude, I can tell you-though there's no money in that, of course.	true	667.79	675.94	21.16444
4848_29108_000028_000012	No money, but a man wants rest, a man wants peace--a man don't want to rip and tear around all the time. And here we go, now, just as straight as a string for Hallelujah--it's a beautiful angle--handsome up grade all the way--and then away you go to Corruptionville, the gaudiest country for early carrots and cauliflowers that ever--good missionary field, too.	No money, but a man wants rest, a man wants peace-a man don't want to rip and tear around all the time. And here we go, now, just as straight as a string for Hallelujah-it's a beautiful angle-handsome up grade all the way-and then away you go to Corruptionville, the gaudiest country for early carrots and cauliflowers that ever-good missionary field, too.	true	676.7	705.13	19.58136
4848_29108_000028_000013	There ain't such another missionary field outside the jungles of Central Africa.	There ain't such another missionary field outside the jungles of Central Africa.	true	706.01	711.43	19
4848_29108_000028_000014	And patriotic?--why they named it after Congress itself.	And patriotic?--why they named it after Congress itself.	true	711.83	716.65	21.731302
4848_29108_000028_000015	Oh, I warn you, my dear, there's a good time coming, and it'll be right along before you know what you're about, too.	Oh, I warn you, my dear, there's a good time coming, and it'll be right along before you know what you're about, too.	true	716.99	724.03	17.844986
4848_29108_000028_000016	That railroad's fetching it.	That railroad's fetching it.	true	724.58	726.55	20.043116
4848_29108_000028_000017	You see what it is as far as I've got, and if I had enough bottles and soap and boot-jacks and such things to carry it along to where it joins onto the Union Pacific, fourteen hundred miles from here, I should exhibit to you in that little internal improvement a spectacle of inconceivable sublimity.	You see what it is as far as I've got, and if I had enough bottles and soap and boot jacks and such things to carry it along to where it joins onto the Union Pacific, fourteen hundred miles from here, I should exhibit to you in that little internal improvement a spectacle of inconceivable sublimity.	false	727.25	749.5	20.395031
4848_29108_000028_000018	So, don't you see?	So, don't you see?	true	749.75	751.12	17.877106
4848_29108_000028_000019	We've got the rail road to fall back on; and in the meantime, what are we worrying about that $200,000 appropriation for?	We've got the rail road to fall back on; and in the meantime, what are we worrying about that two hundred thousand dollars appropriation for?	false	751.4	760.18	20
4848_29108_000028_000020	That's all right.	That's all right.	true	760.82	762.07	27.816364
4848_29108_000028_000021	I'd be willing to bet anything that the very next letter that comes from Harry will--"	I'd be willing to bet anything that the very next letter that comes from Harry will-"	true	762.59	768.01	16
4848_29108_000029_000000	The eldest boy entered just in the nick of time and brought a letter, warm from the post-office.	The eldest boy entered just in the nick of time and brought a letter, warm from the post office.	true	768.44	774.49	18
4848_29108_000030_000000	"Things do look bright, after all, Beriah.	"Things do look bright, after all, Beriah.	false	775.34	778.41	23.38709
4848_29108_000030_000001	I'm sorry I was blue, but it did seem as if everything had been going against us for whole ages.	I'm sorry I was blue, but it did seem as if everything had been going against us for whole ages.	true	778.41	785.05	16
4848_29108_000030_000002	Open the letter--open it quick, and let's know all about it before we stir out of our places.	Open the letter-open it quick, and let's know all about it before we stir out of our places.	true	785.27	791.64	22.247616
4848_29108_000030_000003	I am all in a fidget to know what it says."	I am all in a fidget to know what it says."	false	791.64	795.34	19.411337
4848_29108_000031_000000	The letter was opened, without any unnecessary delay.	The letter was opened, without any unnecessary delay.	true	795.98	799.77	17
4848_29108_000032_000000	Part 4.	Part four.	false	799.77	801.06	-20
4848_29108_000033_000000	CONTENTS	CONTENTS	false	801.06	801.705	17.093472
4848_29108_000034_000000	CHAPTER XXVIII Visit to Headquarters in Wall Street--How Appropriations Are Obtained and Their Cost	CHAPTER twenty eight Visit to Headquarters in Wall Street-How Appropriations Are Obtained and Their Cost	false	801.705	806.61	22.794046
4848_29108_000035_000000	CHAPTER XXIX Philip's Experience With the Rail--Road Conductor--Surveys His Mining Property	CHAPTER twenty nine Philip's Experience With the Rail-Road Conductor-Surveys His Mining Property	false	806.61	810.81	-20
