5918_46890_000000_000000	CHAPTER TEN.	CHAPTER TEN.
5918_46890_000058_000001	"We can now take things quietly; and as it's your watch below, I'd recommend you to turn in and get a bit of a snooze.	"We can now take things quietly; and as it's your watch below, I'd recommend you to turn in and get a bit of a snooze.
5918_46890_000058_000002	It's your eight hours out to-night, my lad, and if the breeze should happen to freshen about sundown, and that chap comes after us--and, by the piper, he means that same, for I'm blest if he isn't in stays--you'll need to keep both eyes open all your watch."	It's your eight hours out to night, my lad, and if the breeze should happen to freshen about sundown, and that chap comes after us-and, by the piper, he means that same, for I'm blest if he isn't in stays-you'll need to keep both eyes open all your watch."
5918_46890_000060_000000	I had not been below above two minutes when I heard his voice shouting to me to come on deck again.	I had not been below above two minutes when I heard his voice shouting to me to come on deck again.
5918_46890_000060_000001	Wondering what was now in the wind, I sprang up the short companion-ladder, and my eye at once falling upon the brig (which was now dead astern of us, heading in the same direction as ourselves, though not lying so close to the wind), I saw in a moment that our troubles were not yet by any means over.	Wondering what was now in the wind, I sprang up the short companion ladder, and my eye at once falling upon the brig (which was now dead astern of us, heading in the same direction as ourselves, though not lying so close to the wind), I saw in a moment that our troubles were not yet by any means over.
5918_46890_000061_000000	The wind had by this time fallen so light that we were not making above three knots' way through the water, whilst the pirate appeared barely to have steerage-way--in fact, his canvas was flapping to the mast with every sluggish roll which the vessel took over the long, scarcely perceptible swell.	The wind had by this time fallen so light that we were not making above three knots' way through the water, whilst the pirate appeared barely to have steerage way-in fact, his canvas was flapping to the mast with every sluggish roll which the vessel took over the long, scarcely perceptible swell.
5918_46890_000062_000000	Friend Johnson was evidently greatly nettled at our having slipped so handsomely through his fingers as we had, and seemed determined to have a word or two with us yet, whether we would or no; for he had lowered one of his boats, and she was just leaving the vessel in chase.	Friend Johnson was evidently greatly nettled at our having slipped so handsomely through his fingers as we had, and seemed determined to have a word or two with us yet, whether we would or no; for he had lowered one of his boats, and she was just leaving the vessel in chase.
5918_46890_000063_000000	I took the glass, and counted six men at the oars, besides one or two (I could not be sure which) in the stern-sheets.	I took the glass, and counted six men at the oars, besides one or two (I could not be sure which) in the stern sheets.
5918_46890_000064_000000	This was serious indeed; for a light boat, propelled by six good oarsmen, would go about two feet to our one at our then rate of sailing, and must necessarily soon overhaul us.	This was serious indeed; for a light boat, propelled by six good oarsmen, would go about two feet to our one at our then rate of sailing, and must necessarily soon overhaul us.
5918_46890_000065_000000	Our case appeared pretty nearly desperate; but a seaman never gives up "whilst there is a shot in the locker," or a fresh expedient to be tried.	Our case appeared pretty nearly desperate; but a seaman never gives up "whilst there is a shot in the locker," or a fresh expedient to be tried.
5918_46890_000065_000001	So I directed Bob to keep the cutter away about three points, and then lash the tiller, and lend me a hand to get our balloon canvas set.	So I directed Bob to keep the cutter away about three points, and then lash the tiller, and lend me a hand to get our balloon canvas set.
5918_46890_000067_000000	This additional spread of canvas, coupled with the fact that we were running far enough off the wind to permit of its drawing well, made a perceptible difference in our speed--quite a knot, I considered, and Bob agreed with me.	This additional spread of canvas, coupled with the fact that we were running far enough off the wind to permit of its drawing well, made a perceptible difference in our speed-quite a knot, I considered, and Bob agreed with me.
5918_46890_000069_000004	By the time that we have it ready, they will be within range; and I think we may persuade them to turn back yet."	By the time that we have it ready, they will be within range; and I think we may persuade them to turn back yet."
5918_46890_000070_000000	"So be it," replied Bob gleefully.	"So be it," replied Bob gleefully.
5918_46890_000071_000000	This gun was, as I think I have mentioned before, a four-pound rifled piece, which was specially made to my order by an eminent firm.	This gun was, as I think I have mentioned before, a four pound rifled piece, which was specially made to my order by an eminent firm.
5918_46890_000071_000001	It was a most beautiful little weapon, exquisitely finished; was a breech- loader, and threw a solid shot about a mile, and a shell nearly half as far again.	It was a most beautiful little weapon, exquisitely finished; was a breech loader, and threw a solid shot about a mile, and a shell nearly half as far again.
5918_46890_000071_000002	It was mounted on a swivel or pivot, which we had the means of firmly fixing to the deck.	It was mounted on a swivel or pivot, which we had the means of firmly fixing to the deck.
5918_46890_000072_000000	We got it out and upon deck, and soon had it mounted and ready for service.	We got it out and upon deck, and soon had it mounted and ready for service.
5918_46890_000072_000001	Bob took the tiller, desiring me to work the gun, as I was not only a more practised artillerist than he, but knew also how to handle a breech-loader, and I had the knack somehow of shooting straight.	Bob took the tiller, desiring me to work the gun, as I was not only a more practised artillerist than he, but knew also how to handle a breech loader, and I had the knack somehow of shooting straight.
5918_46890_000073_000000	I had it loaded, and was in the act of levelling it, when Bob said, "Suppose we was to let them chaps get a bit nearer, Hal, afore we opens fire.	I had it loaded, and was in the act of levelling it, when Bob said, "Suppose we was to let them chaps get a bit nearer, Hal, afore we opens fire.
5918_46890_000075_000000	At length, however, they were within half a mile of us, and I thought we might now fairly commence operations.	At length, however, they were within half a mile of us, and I thought we might now fairly commence operations.
5918_46890_000075_000001	I carefully levelled the piece accordingly, and desiring Bob to sit well out of the line of fire and steer as steadily as possible, I watched the heave of the cutter, and pulled the trigger-line.	I carefully levelled the piece accordingly, and desiring Bob to sit well out of the line of fire and steer as steadily as possible, I watched the heave of the cutter, and pulled the trigger line.
5918_46890_000076_000000	The shot sped straight for the boat, but, striking the water just before it reached her, bounded clear over her and into the sea beyond.	The shot sped straight for the boat, but, striking the water just before it reached her, bounded clear over her and into the sea beyond.
5918_46890_000080_000000	I was too busy with the gun to reply just then, and in another moment I fired once more.	I was too busy with the gun to reply just then, and in another moment I fired once more.
5918_46890_000081_000001	This looked like a fixed determination to come alongside at any price, so I this time inserted a shell instead of a solid shot, which I had before been firing.	This looked like a fixed determination to come alongside at any price, so I this time inserted a shell instead of a solid shot, which I had before been firing.
5918_46890_000082_000001	We saw four fall from the thwarts, at all events, and all hands ceased pulling, whilst three of the oars slipped unnoticed overboard.	We saw four fall from the thwarts, at all events, and all hands ceased pulling, whilst three of the oars slipped unnoticed overboard.
5918_46890_000084_000000	"Now," shouted I, "luff you may, Bob, and let's heave the craft to, and finish the job for them."	"Now," shouted I, "luff you may, Bob, and let's heave the craft to, and finish the job for them."
5918_46890_000085_000000	As I said this, Bob put his helm down, whilst I hauled the jib-sheet to windward, and then I sprang aft again to the gun.	As I said this, Bob put his helm down, whilst I hauled the jib sheet to windward, and then I sprang aft again to the gun.
5918_46890_000086_000000	By this time they had taken to their oars again, but there were only two of them pulling: a sure indication of the extent to which our last shot had told.	By this time they had taken to their oars again, but there were only two of them pulling: a sure indication of the extent to which our last shot had told.
5918_46890_000086_000001	They were turning the boat round to pull back to the ship, and seeing this I felt some compunction about firing on them again, and said so.	They were turning the boat round to pull back to the ship, and seeing this I felt some compunction about firing on them again, and said so.
5918_46890_000087_000000	"Don't be such a soft-hearted donkey, Harry, lad," retorted Bob. "Settle the whole lot if you can, boy; it'll only be so many skulking cut-throats the less in the world.	"Don't be such a soft hearted donkey, Harry, lad," retorted Bob. "Settle the whole lot if you can, boy; it'll only be so many skulking cut throats the less in the world.
5918_46890_000088_000000	I accordingly loaded again, and fired; but, probably from excitement, fired too high, and the missile flew harmlessly over the boat.	I accordingly loaded again, and fired; but, probably from excitement, fired too high, and the missile flew harmlessly over the boat.
5918_46890_000089_000000	The next time I was more careful, aiming with the utmost deliberation. At length I pulled the trigger-line, and immediately leapt to my feet to watch for the result.	The next time I was more careful, aiming with the utmost deliberation. At length I pulled the trigger line, and immediately leapt to my feet to watch for the result.
5918_46890_000090_000000	The shell struck the boat's stern fairly amidships, and close to the water-line; there was an explosion, but both the oarsmen appeared to be unhurt.	The shell struck the boat's stern fairly amidships, and close to the water line; there was an explosion, but both the oarsmen appeared to be unhurt.
5918_46890_000090_000001	Almost immediately, however, one of them sprang aft and crouched down, doing something that we could not make out.	Almost immediately, however, one of them sprang aft and crouched down, doing something that we could not make out.
5918_46890_000091_000000	I took the glass, and then saw that a large gap had been made by the explosion of the shell, through which the water was doubtless pouring rapidly.	I took the glass, and then saw that a large gap had been made by the explosion of the shell, through which the water was doubtless pouring rapidly.
5918_46890_000093_000000	"It is time we were off once more, Bob," I remarked, as soon as I saw this; "so another shot at our friends here, and then we'll fill away."	"It is time we were off once more, Bob," I remarked, as soon as I saw this; "so another shot at our friends here, and then we'll fill away."
5918_46890_000094_000000	The boat was very much disabled, and appeared to be sinking gradually, notwithstanding their efforts to keep her afloat, for they were now baling rapidly;--but I thought it best to make sure of her, so once more loaded and fired.	The boat was very much disabled, and appeared to be sinking gradually, notwithstanding their efforts to keep her afloat, for they were now baling rapidly;--but I thought it best to make sure of her, so once more loaded and fired.
5918_46890_000095_000000	The shell passed through her stern this time also, and exploded; there was a shrill scream from more than one agonised throat, and the baling and pulling ceased altogether; every man in her was wounded, if not killed outright.	The shell passed through her stern this time also, and exploded; there was a shrill scream from more than one agonised throat, and the baling and pulling ceased altogether; every man in her was wounded, if not killed outright.
5918_46890_000096_000000	Satisfied with our work of destruction, and not particularly caring to expose ourselves to the fire of the gun in the other boat, which was no doubt much heavier than our own toy of a weapon, we filled away; and I once more swayed up the spinnaker forward, desiring Bob to keep just sufficiently away to permit of our balloon canvas fully drawing, but no more.	Satisfied with our work of destruction, and not particularly caring to expose ourselves to the fire of the gun in the other boat, which was no doubt much heavier than our own toy of a weapon, we filled away; and I once more swayed up the spinnaker forward, desiring Bob to keep just sufficiently away to permit of our balloon canvas fully drawing, but no more.
5918_46890_000097_000000	As soon as I had got the spinnaker set, I took the glass and had a good look at the boat we had beaten off.	As soon as I had got the spinnaker set, I took the glass and had a good look at the boat we had beaten off.
5918_46890_000097_000001	She was nearly full of water, her gunwale being but an inch or two above the surface.	She was nearly full of water, her gunwale being but an inch or two above the surface.
5918_46890_000098_000000	I saw three or four figures rouse themselves on board her, and recommence baling feebly; but their efforts were useless; she sank lower and lower, and at length rolled heavily bottom upwards, throwing her wounded crew into the water.	I saw three or four figures rouse themselves on board her, and recommence baling feebly; but their efforts were useless; she sank lower and lower, and at length rolled heavily bottom upwards, throwing her wounded crew into the water.
5918_46890_000099_000000	Almost immediately there was a furious splashing, and by the aid of the glass I distinctly saw the dorsal fins of several sharks darting here and there among them, whilst over the glassy surface of the water a shriek or two came faintly towards us.	Almost immediately there was a furious splashing, and by the aid of the glass I distinctly saw the dorsal fins of several sharks darting here and there among them, whilst over the glassy surface of the water a shriek or two came faintly towards us.
5918_46890_000100_000000	In less than a minute all was over with the miserable wretches; the voracious sharks made short work of it with them, tearing living and dead alike to pieces in their eagerness to obtain a share of the prey.	In less than a minute all was over with the miserable wretches; the voracious sharks made short work of it with them, tearing living and dead alike to pieces in their eagerness to obtain a share of the prey.
5918_46890_000102_000000	They paused for a moment on their oars as though paralysed with horror; and then with a vengeful shout gave way more energetically than before.	They paused for a moment on their oars as though paralysed with horror; and then with a vengeful shout gave way more energetically than before.
5918_46890_000104_000000	The pirates tugged at their oars with might and main, passing within oar's length of the wreck of the first boat, when they again raised a furious yell, straining away at their stout ash blades until they made them bend like willow wands.	The pirates tugged at their oars with might and main, passing within oar's length of the wreck of the first boat, when they again raised a furious yell, straining away at their stout ash blades until they made them bend like willow wands.
5918_46890_000105_000001	Judging that more powder would have to be burned after all, I once more loaded our little piece, charging with shell as before; and whilst I was doing this our pursuers opened fire upon us.	Judging that more powder would have to be burned after all, I once more loaded our little piece, charging with shell as before; and whilst I was doing this our pursuers opened fire upon us.
5918_46890_000106_000000	They miscalculated their distance, however, or the powers of their gun; for the shot fell considerably short of us, much to Bob's delight, to which he gave expression by the utterance of a few remarks of such biting sarcasm and raillery that they would infallibly have still further incensed the individuals to whom they were addressed could they but have heard them.	They miscalculated their distance, however, or the powers of their gun; for the shot fell considerably short of us, much to Bob's delight, to which he gave expression by the utterance of a few remarks of such biting sarcasm and raillery that they would infallibly have still further incensed the individuals to whom they were addressed could they but have heard them.
5918_46890_000109_000000	I accordingly levelled the breech-loader, and then waited for a favourable opportunity to fire.	I accordingly levelled the breech loader, and then waited for a favourable opportunity to fire.
5918_46890_000109_000001	At length it came.	At length it came.
5918_46890_000109_000002	The shell entered the starboard-bow of the pursuing boat, about midway between her gunwale and her water-line; and immediately, to our great surprise, there was a violent explosion on board her.	The shell entered the starboard bow of the pursuing boat, about midway between her gunwale and her water line; and immediately, to our great surprise, there was a violent explosion on board her.
