4138_11079_000000_000000	CHAPTER IV.	CHAPTER four.
4138_11079_000013_000000	"By post!" cried Katy, in amazement; "why, how can that be?" Then catching sight of Rose's handwriting on the envelope, she understood, and smiled at her own simplicity.	"By post!" cried Katy, in amazement; "why, how can that be?" Then catching sight of Rose's handwriting on the envelope, she understood, and smiled at her own simplicity.
4138_11079_000015_000000	The letter was not long, but it was very like its writer.	The letter was not long, but it was very like its writer.
4138_11079_000018_000000	"But this horrible ship keeps on, And is never a moment still, And I yearn for the touch of the nice dry land, Where I needn't feel so ill!	"But this horrible ship keeps on, And is never a moment still, And I yearn for the touch of the nice dry land, Where I needn't feel so ill!
4138_11079_000019_000000	"Break! break!	"Break! break!
4138_11079_000019_000001	break! There is no good left in me; For the dinner I ate on the shore so late Has vanished into the sea!"	break! There is no good left in me; For the dinner I ate on the shore so late Has vanished into the sea!"
4138_11079_000020_000001	Amy had fallen asleep at last and must not be waked up, so their interview was conducted in whispers.	Amy had fallen asleep at last and must not be waked up, so their interview was conducted in whispers.
4138_11079_000020_000002	Mrs. Ashe had by no means got to the tea-and-toast stage yet, and was feeling miserable enough.	mrs Ashe had by no means got to the tea and toast stage yet, and was feeling miserable enough.
4138_11079_000021_000001	"All day yesterday, when she wasn't sick she was raging at me from the upper berth, and I too ill to say a word in reply.	"All day yesterday, when she wasn't sick she was raging at me from the upper berth, and I too ill to say a word in reply.
4138_11079_000021_000003	And it seemed very neglectful not to come to see after you, poor dear child! but really I couldn't raise my head."	And it seemed very neglectful not to come to see after you, poor dear child! but really I couldn't raise my head."
4138_11079_000022_000000	"Neither could I, and I felt just as guilty not to be taking care of you," said Katy.	"Neither could I, and I felt just as guilty not to be taking care of you," said Katy.
4138_11079_000022_000001	"Well, the worst is over with all of us, I hope.	"Well, the worst is over with all of us, I hope.
4138_11079_000022_000002	The vessel doesn't pitch half so much now, and the stewardess says we shall feel a great deal better as soon as we get on deck.	The vessel doesn't pitch half so much now, and the stewardess says we shall feel a great deal better as soon as we get on deck.
4138_11079_000024_000000	"Oh no, h'indeed, mum,--no, you won't," put in Mrs. Barrett, who at that moment appeared, gruel-cup in hand.	"Oh no, h'indeed, mum,--no, you won't," put in mrs Barrett, who at that moment appeared, gruel cup in hand.
4138_11079_000024_000002	I h'always gets them on deck as soon as possible to get the h'air.	I h'always gets them on deck as soon as possible to get the h'air.
4138_11079_000025_000000	Stewardesses are all-powerful on board ship, and Mrs. Barrett was so persuasive as well as positive that it was not possible to resist her. She got Katy into her dress and wraps, and seated her on deck in a chair with a great rug wrapped about her feet, with very little effort on Katy's part.	Stewardesses are all powerful on board ship, and mrs Barrett was so persuasive as well as positive that it was not possible to resist her. She got Katy into her dress and wraps, and seated her on deck in a chair with a great rug wrapped about her feet, with very little effort on Katy's part.
4138_11079_000025_000002	Amy gave a scream of joy at the sight of Katy, and cuddled down in her lap under the warm rug with a sigh of relief and satisfaction.	Amy gave a scream of joy at the sight of Katy, and cuddled down in her lap under the warm rug with a sigh of relief and satisfaction.
4138_11079_000026_000000	"I thought I was never going to see you again," she said, with a little squeeze.	"I thought I was never going to see you again," she said, with a little squeeze.
4138_11079_000026_000001	"Oh, Miss Katy, it has been so horrid!	"Oh, Miss Katy, it has been so horrid!
4138_11079_000026_000002	I never thought that going to Europe meant such dreadful things as this!"	I never thought that going to Europe meant such dreadful things as this!"
4138_11079_000027_000000	"This is only the beginning; we shall get across the sea in a few days, and then we shall find out what going to Europe really means.	"This is only the beginning; we shall get across the sea in a few days, and then we shall find out what going to Europe really means.
4138_11079_000027_000001	But what made you behave so, Amy, and cry and scold poor mamma when she was sick? I could hear you all the way across the entry."	But what made you behave so, Amy, and cry and scold poor mamma when she was sick? I could hear you all the way across the entry."
4138_11079_000028_000000	"Could you?	"Could you?
4138_11079_000028_000001	Then why didn't you come to me?"	Then why didn't you come to me?"
4138_11079_000029_000000	"I wanted to; but I was sick too, so sick that I couldn't move.	"I wanted to; but I was sick too, so sick that I couldn't move.
4138_11079_000030_000000	"I didn't mean to be naughty, but I couldn't help crying.	"I didn't mean to be naughty, but I couldn't help crying.
4138_11079_000030_000001	You would have cried too, and so would Johnnie, if you had been cooped up in a dreadful old berth at the top of the wall that you couldn't get out of, and hadn't had anything to eat, and nobody to bring you any water when you wanted some.	You would have cried too, and so would Johnnie, if you had been cooped up in a dreadful old berth at the top of the wall that you couldn't get out of, and hadn't had anything to eat, and nobody to bring you any water when you wanted some.
4138_11079_000030_000002	And mamma wouldn't answer when I called to her."	And mamma wouldn't answer when I called to her."
4138_11079_000031_000000	"She couldn't answer; she was too ill," explained Katy.	"She couldn't answer; she was too ill," explained Katy.
4138_11079_000032_000000	"Mabel looks quite pale; she was sick, too," said Amy, regarding the doll in her arms with an anxious air.	"Mabel looks quite pale; she was sick, too," said Amy, regarding the doll in her arms with an anxious air.
4138_11079_000032_000001	"I hope the fresh h'air will do her good."	"I hope the fresh h'air will do her good."
4138_11079_000033_000000	"Is she going to have any fresh hair?" asked Katy, wilfully misunderstanding.	"Is she going to have any fresh hair?" asked Katy, wilfully misunderstanding.
4138_11079_000034_000000	"That was what that woman called it,--the fat one who made me come up here.	"That was what that woman called it,--the fat one who made me come up here.
4138_11079_000034_000001	But I'm glad she did, for I feel heaps better already; only I keep thinking of poor little Maria Matilda shut up in the trunk in that dark place, and wondering if she's sick.	But I'm glad she did, for I feel heaps better already; only I keep thinking of poor little Maria Matilda shut up in the trunk in that dark place, and wondering if she's sick.
4138_11079_000035_000000	"They say that you don't feel the motion half so much in the bottom of the ship," said Katy.	"They say that you don't feel the motion half so much in the bottom of the ship," said Katy.
4138_11079_000035_000001	"Perhaps she hasn't noticed it at all.	"Perhaps she hasn't noticed it at all.
4138_11079_000035_000003	I wish they would bring us something to eat."	I wish they would bring us something to eat."
4138_11079_000036_000000	A good many passengers had come up by this time; and Robert, the deck steward, was going about, tray in hand, taking orders for lunch.	A good many passengers had come up by this time; and Robert, the deck steward, was going about, tray in hand, taking orders for lunch.
4138_11079_000036_000001	Amy and Katy both felt suddenly ravenous; and when Mrs. Ashe awhile later was helped up the stairs, she was amazed to find them eating cold beef and roasted potatoes, with the finest appetites in the world.	Amy and Katy both felt suddenly ravenous; and when mrs Ashe awhile later was helped up the stairs, she was amazed to find them eating cold beef and roasted potatoes, with the finest appetites in the world.
4138_11079_000036_000002	"They had served out their apprenticeships," the kindly old captain told them, "and were made free of the nautical guild from that time on." So it proved; for after these two bad days none of the party were sick again during the voyage.	"They had served out their apprenticeships," the kindly old captain told them, "and were made free of the nautical guild from that time on." So it proved; for after these two bad days none of the party were sick again during the voyage.
4138_11079_000037_000001	It might with equal propriety have been called "The Adventures of two little Girls who didn't have any Adventures," for nothing in particular happened to either Violet or Emma during the whole course of their long-drawn-out history.	It might with equal propriety have been called "The Adventures of two little Girls who didn't have any Adventures," for nothing in particular happened to either Violet or Emma during the whole course of their long drawn out history.
4138_11079_000037_000002	Amy, however, found them perfectly enchanting, and was never weary of hearing how they went to school and came home again, how they got into scrapes and got out of them, how they made good resolutions and broke them, about their Christmas presents and birthday treats, and what they said and how they felt.	Amy, however, found them perfectly enchanting, and was never weary of hearing how they went to school and came home again, how they got into scrapes and got out of them, how they made good resolutions and broke them, about their Christmas presents and birthday treats, and what they said and how they felt.
4138_11079_000039_000000	Captain Bryce was exactly the kind of sea-captain that is found in story-books, but not always in real life.	Captain Bryce was exactly the kind of sea captain that is found in story books, but not always in real life.
4138_11079_000039_000001	He was stout and grizzled and brown and kind.	He was stout and grizzled and brown and kind.
4138_11079_000039_000002	He had a bluff weather-beaten face, lit up with a pair of shrewd blue eyes which twinkled when he was pleased; and his manner, though it was full of the habit of command, was quiet and pleasant.	He had a bluff weather beaten face, lit up with a pair of shrewd blue eyes which twinkled when he was pleased; and his manner, though it was full of the habit of command, was quiet and pleasant.
4138_11079_000039_000003	He was a Martinet on board his ship.	He was a Martinet on board his ship.
4138_11079_000039_000004	Not a sailor under him would have dared dispute his orders for a moment; but he was very popular with them, notwithstanding; they liked him as much as they feared him, for they knew him to be their best friend if it came to sickness or trouble with any of them.	Not a sailor under him would have dared dispute his orders for a moment; but he was very popular with them, notwithstanding; they liked him as much as they feared him, for they knew him to be their best friend if it came to sickness or trouble with any of them.
4138_11079_000040_000000	Katy and he grew quite intimate during their long morning talk.	Katy and he grew quite intimate during their long morning talk.
4138_11079_000040_000001	The Captain liked girls.	The Captain liked girls.
4138_11079_000040_000002	He had one of his own, about Katy's age, and was fond of talking about her.	He had one of his own, about Katy's age, and was fond of talking about her.
4138_11079_000040_000003	Lucy was his mainstay at home, he told Katy. Her mother had been "weakly" now this long time back, and Bess and Nanny were but children yet, so Lucy had to take command and keep things ship-shape when he was away.	Lucy was his mainstay at home, he told Katy. Her mother had been "weakly" now this long time back, and Bess and Nanny were but children yet, so Lucy had to take command and keep things ship shape when he was away.
4138_11079_000041_000000	"She'll be on the lookout when the steamer comes in," said the Captain. "There's a signal we've arranged which means 'All's well,' and when we get up the river a little way I always look to see if it's flying.	"She'll be on the lookout when the steamer comes in," said the Captain. "There's a signal we've arranged which means 'All's well,' and when we get up the river a little way I always look to see if it's flying.
4138_11079_000041_000001	It's a bit of a towel hung from a particular window; and when I see it I say to myself, 'Thank God! another voyage safely done and no harm come of it.' It's a sad kind of work for a man to go off for a twenty-four days' cruise leaving a sick wife on shore behind him.	It's a bit of a towel hung from a particular window; and when I see it I say to myself, 'Thank God! another voyage safely done and no harm come of it.' It's a sad kind of work for a man to go off for a twenty four days' cruise leaving a sick wife on shore behind him.
4138_11079_000042_000002	She seemed such a very nice girl, and Katy thought she should like to know her.	She seemed such a very nice girl, and Katy thought she should like to know her.
4138_11079_000043_000000	The deck had dried fast in the fresh sea-wind, and the Captain had just arranged Katy in her chair, and was wrapping the rug about her feet in a fatherly way, when Mrs. Barrett, all smiles, appeared from below.	The deck had dried fast in the fresh sea wind, and the Captain had just arranged Katy in her chair, and was wrapping the rug about her feet in a fatherly way, when mrs Barrett, all smiles, appeared from below.
4138_11079_000044_000001	I couldn't think what 'ad come to you so early; and you're looking ever so well again, I'm pleased to see; and 'ere's a bundle just arrived, Miss, by the Parcels Delivery."	I couldn't think what 'ad come to you so early; and you're looking ever so well again, I'm pleased to see; and 'ere's a bundle just arrived, Miss, by the Parcels Delivery."
4138_11079_000045_000000	"What!" cried simple Katy.	"What!" cried simple Katy.
4138_11079_000045_000001	Then she laughed at her own foolishness, and took the "bundle," which was directed in Rose's unmistakable hand.	Then she laughed at her own foolishness, and took the "bundle," which was directed in Rose's unmistakable hand.
4138_11079_000046_000000	It contained a pretty little green-bound copy of Emerson's Poems, with Katy's name and "To be read at sea," written on the flyleaf.	It contained a pretty little green bound copy of Emerson's Poems, with Katy's name and "To be read at sea," written on the flyleaf.
4138_11079_000046_000002	With a half-happy, half-tearful pleasure Katy recognized the fact that distance counts for little if people love one another, and that hearts have a telegraph of their own whose messages are as sure and swift as any of those sent over the material lines which link continent to continent and shore with shore.	With a half happy, half tearful pleasure Katy recognized the fact that distance counts for little if people love one another, and that hearts have a telegraph of their own whose messages are as sure and swift as any of those sent over the material lines which link continent to continent and shore with shore.
4138_11079_000047_000000	Later in the morning, Katy, going down to her stateroom for something, came across a pallid, exhausted-looking lady, who lay stretched on one of the long sofas in the cabin, with a baby in her arms and a little girl sitting at her feet, quite still, with a pair of small hands folded in her lap.	Later in the morning, Katy, going down to her stateroom for something, came across a pallid, exhausted looking lady, who lay stretched on one of the long sofas in the cabin, with a baby in her arms and a little girl sitting at her feet, quite still, with a pair of small hands folded in her lap.
4138_11079_000047_000001	The little girl did not seem to be more than four years old. She had two pig-tails of thick flaxen hair hanging over her shoulders, and at Katy's approach raised a pair of solemn blue eyes, which had so much appeal in them, though she said nothing, that Katy stopped at once.	The little girl did not seem to be more than four years old. She had two pig tails of thick flaxen hair hanging over her shoulders, and at Katy's approach raised a pair of solemn blue eyes, which had so much appeal in them, though she said nothing, that Katy stopped at once.
4138_11079_000048_000000	"Can I do anything for you?" she asked.	"Can I do anything for you?" she asked.
4138_11079_000048_000001	"I am afraid you have been very ill."	"I am afraid you have been very ill."
4138_11079_000049_000000	At the sound of her voice the lady on the sofa opened her eyes.	At the sound of her voice the lady on the sofa opened her eyes.
4138_11079_000049_000001	She tried to speak, but to Katy's dismay began to cry instead; and when the words came they were strangled with sobs.	She tried to speak, but to Katy's dismay began to cry instead; and when the words came they were strangled with sobs.
4138_11079_000050_000001	"If you would give my little girl something to eat!	"If you would give my little girl something to eat!
4138_11079_000051_000001	How did it happen?"	How did it happen?"
4138_11079_000052_000000	"Everybody has been sick on our side the ship," explained the poor lady, "and I suppose the stewardess thought, as I had a maid with me, that I needed her less than the others.	"Everybody has been sick on our side the ship," explained the poor lady, "and I suppose the stewardess thought, as I had a maid with me, that I needed her less than the others.
4138_11079_000052_000001	But my maid has been sick, too; and oh, so selfish!	But my maid has been sick, too; and oh, so selfish!
4138_11079_000052_000002	She wouldn't even take the baby into the berth with her; and I have had all I could do to manage with him, when I couldn't lift up my head.	She wouldn't even take the baby into the berth with her; and I have had all I could do to manage with him, when I couldn't lift up my head.
4138_11079_000052_000003	Little Gretchen has had to go without anything; and she has been so good and patient!"	Little Gretchen has had to go without anything; and she has been so good and patient!"
4138_11079_000053_000000	Katy lost no time, but ran for Mrs. Barrett, whose indignation knew no bounds when she heard how the helpless party had been neglected.	Katy lost no time, but ran for mrs Barrett, whose indignation knew no bounds when she heard how the helpless party had been neglected.
4138_11079_000054_000002	I'm h'ashamed that such a thing should 'appen on the 'Spartacus,' ma'am,--I h'am, h'indeed.	I'm h'ashamed that such a thing should 'appen on the 'Spartacus,' ma'am,--I h'am, h'indeed.
4138_11079_000055_000000	All the time that she talked Mrs. Barrett was busy in making Mrs. Ware--for that, it seemed, was the sick lady's name--more comfortable; and Katy was feeding Gretchen out of a big bowl full of bread and milk which one of the stewards had brought.	All the time that she talked mrs Barrett was busy in making mrs Ware-for that, it seemed, was the sick lady's name-more comfortable; and Katy was feeding Gretchen out of a big bowl full of bread and milk which one of the stewards had brought.
4138_11079_000055_000001	The little uncomplaining thing was evidently half starved, but with the mouthfuls the pink began to steal back into her cheeks and lips, and the dark circles lessened under the blue eyes.	The little uncomplaining thing was evidently half starved, but with the mouthfuls the pink began to steal back into her cheeks and lips, and the dark circles lessened under the blue eyes.
4138_11079_000057_000001	They kept her on deck with them a great deal, and she was perfectly content with them and very good, though always solemn and quiet.	They kept her on deck with them a great deal, and she was perfectly content with them and very good, though always solemn and quiet.
4138_11079_000057_000002	Pleasant people turned up among the passengers, as always happens on an ocean steamship, and others not so pleasant, perhaps, who were rather curious and interesting to watch.	Pleasant people turned up among the passengers, as always happens on an ocean steamship, and others not so pleasant, perhaps, who were rather curious and interesting to watch.
4138_11079_000058_000000	Katy grew to feel as if she knew a great deal about her fellow travellers as time went on.	Katy grew to feel as if she knew a great deal about her fellow travellers as time went on.
4138_11079_000058_000001	There was the young girl going out to join her parents under the care of a severe governess, whom everybody on board rather pitied.	There was the young girl going out to join her parents under the care of a severe governess, whom everybody on board rather pitied.
4138_11079_000058_000002	There was the other girl on her way to study art, who was travelling quite alone, and seemed to have nobody to meet her or to go to except a fellow student of her own age, already in Paris, but who seemed quite unconscious of her lonely position and competent to grapple with anything or anybody.	There was the other girl on her way to study art, who was travelling quite alone, and seemed to have nobody to meet her or to go to except a fellow student of her own age, already in Paris, but who seemed quite unconscious of her lonely position and competent to grapple with anything or anybody.
4138_11079_000058_000004	A great sea-going steamer is a little world in itself, and gives one a glimpse of all sorts and conditions of people and characters.	A great sea going steamer is a little world in itself, and gives one a glimpse of all sorts and conditions of people and characters.
4138_11079_000059_000000	On the whole, there was no one on the "Spartacus" whom Katy liked so well as sedate little Gretchen except the dear old Captain, with whom she was a prime favorite.	On the whole, there was no one on the "Spartacus" whom Katy liked so well as sedate little Gretchen except the dear old Captain, with whom she was a prime favorite.
4138_11079_000059_000001	He gave Mrs. Ashe and herself the seats next to him at table, looked after their comfort in every possible way, and each night at dinner sent Katy one of the apple-dumplings made specially for him by the cook, who had gone many voyages with the Captain and knew his fancies.	He gave mrs Ashe and herself the seats next to him at table, looked after their comfort in every possible way, and each night at dinner sent Katy one of the apple dumplings made specially for him by the cook, who had gone many voyages with the Captain and knew his fancies.
4138_11079_000059_000002	Katy did not care particularly for the dumpling, but she valued it as a mark of regard, and always ate it when she could.	Katy did not care particularly for the dumpling, but she valued it as a mark of regard, and always ate it when she could.
4138_11079_000060_000000	Meanwhile, every morning brought a fresh surprise from that dear, painstaking Rose, who had evidently worked hard and thought harder in contriving pleasures for Katy's first voyage at sea.	Meanwhile, every morning brought a fresh surprise from that dear, painstaking Rose, who had evidently worked hard and thought harder in contriving pleasures for Katy's first voyage at sea.
4138_11079_000060_000001	Mrs. Barrett was enlisted in the plot, there could be no doubt of that, and enjoyed the joke as much as any one, as she presented herself each day with the invariable formula, "A letter for you, ma'am," or "A bundle, Miss, come by the Parcels Delivery." On the fourth morning it was a photograph of Baby Rose, in a little flat morocco case.	mrs Barrett was enlisted in the plot, there could be no doubt of that, and enjoyed the joke as much as any one, as she presented herself each day with the invariable formula, "A letter for you, ma'am," or "A bundle, Miss, come by the Parcels Delivery." On the fourth morning it was a photograph of Baby Rose, in a little flat morocco case.
4138_11079_000060_000002	The fifth brought a wonderful epistle, full of startling pieces of news, none of them true.	The fifth brought a wonderful epistle, full of startling pieces of news, none of them true.
4138_11079_000060_000003	On the sixth appeared a long narrow box containing a fountain pen.	On the sixth appeared a long narrow box containing a fountain pen.
4138_11079_000060_000004	Then came Mr. Howells's "A Foregone Conclusion," which Katy had never seen; then a box of quinine pills; then a sachet for her trunk; then another burlesque poem; last of all, a cake of delicious violet soap, "to wash the sea-smell from her hands," the label said.	Then came mr Howells's "A Foregone Conclusion," which Katy had never seen; then a box of quinine pills; then a sachet for her trunk; then another burlesque poem; last of all, a cake of delicious violet soap, "to wash the sea smell from her hands," the label said.
4138_11079_000060_000005	It grew to be one of the little excitements of ship life to watch for the arrival of these daily gifts; and "What did the mail bring for you this time, Miss Carr?" was a question frequently asked.	It grew to be one of the little excitements of ship life to watch for the arrival of these daily gifts; and "What did the mail bring for you this time, Miss Carr?" was a question frequently asked.
4138_11079_000061_000000	Katy never forgot the thrill that went through her when, after so many days of sea, her eyes first caught sight of the dim line of the Irish coast.	Katy never forgot the thrill that went through her when, after so many days of sea, her eyes first caught sight of the dim line of the Irish coast.
4138_11079_000061_000002	It was late afternoon when they entered the Mersey, and dusk had fallen before the Captain got out his glass to look for the white fluttering speck in his own window which meant so much to him.	It was late afternoon when they entered the Mersey, and dusk had fallen before the Captain got out his glass to look for the white fluttering speck in his own window which meant so much to him.
4138_11079_000061_000003	Long he studied before he made quite sure that it was there.	Long he studied before he made quite sure that it was there.
4138_11079_000061_000004	At last he shut the glass with a satisfied air.	At last he shut the glass with a satisfied air.
4138_11079_000062_000000	"It's all right," he said to Katy, who stood near, almost as much interested as he.	"It's all right," he said to Katy, who stood near, almost as much interested as he.
4138_11079_000062_000001	"Lucy never forgets, bless her!	"Lucy never forgets, bless her!
4138_11079_000062_000003	It's a load taken from my mind."	It's a load taken from my mind."
4138_11079_000063_000000	The moon had risen and was shining softly on the river as the crowded tender landed the passengers from the "Spartacus" at the Liverpool docks.	The moon had risen and was shining softly on the river as the crowded tender landed the passengers from the "Spartacus" at the Liverpool docks.
4138_11079_000064_000000	"We shall meet again in London or in Paris," said one to another, and cards and addresses were exchanged.	"We shall meet again in London or in Paris," said one to another, and cards and addresses were exchanged.
4138_11079_000065_000000	"Four-wheeler or hansom, ma'am?" said a porter to Mrs. Ashe.	"Four wheeler or hansom, ma'am?" said a porter to mrs Ashe.
4138_11079_000066_000000	"Which, Katy?"	"Which, Katy?"
