724_123285_000003_000000	CHAPTER XXXII.	CHAPTER thirty two.
724_123285_000040_000002	My feverish hand has vainly attempted to describe upon paper its strange and wonderful details.	My feverish hand has vainly attempted to describe upon paper its strange and wonderful details.
724_123285_000040_000003	I have forgotten everything that surrounds me.	I have forgotten everything that surrounds me.
724_123285_000040_000004	The Professor, the guide, the raft--are all gone out of my ken.	The Professor, the guide, the raft-are all gone out of my ken.
724_123285_000040_000005	An illusion has laid hold upon me.	An illusion has laid hold upon me.
724_123285_000041_000000	"What is the matter?" my uncle breaks in.	"What is the matter?" my uncle breaks in.
724_123285_000042_000000	My staring eyes are fixed vacantly upon him.	My staring eyes are fixed vacantly upon him.
724_123285_000044_000000	At that moment I felt the sinewy hand of Hans seizing me vigorously. But for him, carried away by my dream, I should have thrown myself into the sea.	At that moment I felt the sinewy hand of Hans seizing me vigorously. But for him, carried away by my dream, I should have thrown myself into the sea.
724_123285_000045_000000	"Is he mad?" cried the Professor.	"Is he mad?" cried the Professor.
724_123285_000046_000000	"What is it all about?" at last I cried, returning to myself.	"What is it all about?" at last I cried, returning to myself.
724_123285_000047_000000	"Do you feel ill?" my uncle asked.	"Do you feel ill?" my uncle asked.
724_123285_000048_000001	Is all going on right?"	Is all going on right?"
