8113_301693_000001_000000	III	three
8113_301693_000021_000002	His shaggy brows swept down over his eyes like ashes quenching flame.	His shaggy brows swept down over his eyes like ashes quenching flame.
8113_301693_000021_000003	Then he lifted his face and spoke.	Then he lifted his face and spoke.
8113_301693_000022_000000	"None of these things will please the god.	"None of these things will please the god.
8113_301693_000022_000001	More costly is the offering that shall cleanse your sin, more precious the crimson dew that shall send new life into this holy tree of blood.	More costly is the offering that shall cleanse your sin, more precious the crimson dew that shall send new life into this holy tree of blood.
8113_301693_000022_000002	Thor claims your dearest and your noblest gift."	Thor claims your dearest and your noblest gift."
8113_301693_000024_000000	"Here," said the old man, with his voice vibrating as when a thick rope is strained by a ship swinging from her moorings, "here is the chosen one, the eldest son of the Chief, the darling of the people.	"Here," said the old man, with his voice vibrating as when a thick rope is strained by a ship swinging from her moorings, "here is the chosen one, the eldest son of the Chief, the darling of the people.
8113_301693_000024_000001	Hearken, Bernhard, wilt thou go to Valhalla, where the heroes dwell with the gods, to bear a message to Thor?"	Hearken, Bernhard, wilt thou go to Valhalla, where the heroes dwell with the gods, to bear a message to Thor?"
8113_301693_000025_000000	The boy answered, swift and clear:	The boy answered, swift and clear:
8113_301693_000026_000000	"Yes, priest, I will go if my father bids me.	"Yes, priest, I will go if my father bids me.
8113_301693_000026_000001	Is it far away? Shall I run quickly?	Is it far away? Shall I run quickly?
8113_301693_000026_000002	Must I take my bow and arrows for the wolves?"	Must I take my bow and arrows for the wolves?"
8113_301693_000027_000002	The other dragged at the silver chain about her neck until the rough links pierced her flesh, and the red drops fell unheeded on the snow of her breast.	The other dragged at the silver chain about her neck until the rough links pierced her flesh, and the red drops fell unheeded on the snow of her breast.
8113_301693_000029_000000	"Yes, my Prince, both bow and spear shalt thou have, for the way is long, and thou art a brave huntsman.	"Yes, my Prince, both bow and spear shalt thou have, for the way is long, and thou art a brave huntsman.
8113_301693_000029_000001	But in darkness thou must journey for a little space, and with eyes blindfolded.	But in darkness thou must journey for a little space, and with eyes blindfolded.
8113_301693_000029_000002	Fearest thou?"	Fearest thou?"
8113_301693_000030_000000	"Naught fear I," said the boy, "neither darkness, nor the great bear, nor the were-wolf.	"Naught fear I," said the boy, "neither darkness, nor the great bear, nor the were wolf.
8113_301693_000031_000000	Then the priest led the child in his raiment of lamb's-wool to a broad stone in front of the fire.	Then the priest led the child in his raiment of lamb's wool to a broad stone in front of the fire.
8113_301693_000031_000001	He gave him his little bow tipped with silver, and his spear with shining head of steel.	He gave him his little bow tipped with silver, and his spear with shining head of steel.
8113_301693_000031_000002	He bound the child's eyes with a white cloth, and bade him kneel beside the stone with his face to the east.	He bound the child's eyes with a white cloth, and bade him kneel beside the stone with his face to the east.
8113_301693_000031_000004	Winfried moved noiselessly until he stood close behind the priest.	Winfried moved noiselessly until he stood close behind the priest.
8113_301693_000032_000000	The old man stooped to lift a black hammer of stone from the ground,--the sacred hammer of the god Thor.	The old man stooped to lift a black hammer of stone from the ground,--the sacred hammer of the god Thor.
8113_301693_000032_000001	Summoning all the strength of his withered arms, he swung it high in the air.	Summoning all the strength of his withered arms, he swung it high in the air.
8113_301693_000032_000002	It poised for an instant above the child's fair head--then turned to fall.	It poised for an instant above the child's fair head-then turned to fall.
8113_301693_000033_000000	One keen cry shrilled out from where the women stood: "Me! take me!	One keen cry shrilled out from where the women stood: "Me! take me!
8113_301693_000033_000001	not Bernhard!"	not Bernhard!"
8113_301693_000034_000001	But swifter still was the hand of the deliverer.	But swifter still was the hand of the deliverer.
8113_301693_000035_000000	Winfried's heavy staff thrust mightily against the hammer's handle as it fell.	Winfried's heavy staff thrust mightily against the hammer's handle as it fell.
8113_301693_000035_000001	Sideways it glanced from the old man's grasp, and the black stone, striking on the altar's edge, split in twain.	Sideways it glanced from the old man's grasp, and the black stone, striking on the altar's edge, split in twain.
8113_301693_000035_000003	The branches of the oak shivered.	The branches of the oak shivered.
